Till statsrådet Maj-Inger Klingvall ;I//PP//case//1 januari//NN|UTR|SIN|IND|NOM//obl//3 1997//RG|NOM//nummod//1 beslutade//VB|PRT|AKT//ROOT//3 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//3 om//PP//case//6 direktiv//NN|NEU|PLU|IND|NOM//obl//3 som//HP|-|-|-//nsubj//8 gav//VB|PRT|AKT//acl:relcl//6 en//DT|UTR|SIN|IND//det//11 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//11 utredare//NN|UTR|SIN|IND|NOM//obj//8 i//PP//case//13 uppdrag//NN|NEU|SIN|IND|NOM//obl//8 att//IE//mark//15 utforma//VB|INF|AKT//advcl//8 förslag//NN|NEU|PLU|IND|NOM//obj//15 till//PP//case//20 ett//DT|NEU|SIN|IND//det//20 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//20 system//NN|NEU|SIN|IND|NOM//nmod//16 för//PP//case//23 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//23 ersättning//NN|UTR|SIN|IND|NOM//nmod//20 vid//PP//case//27 långvarigt//AB|POS//advmod//26 nedsatt//PC|PRF|UTR|SIN|IND|NOM//amod//27 arbetsförmåga//NN|UTR|SIN|IND|NOM//obl//15 (//PAD//punct//3 dir//NN|AN//nmod//30 1997:9//RG|NOM//appos//3 )//PAD//punct//30 .//MAD//punct//3
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Det//DT|NEU|SIN|DEF//det//30 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 synsättet//NN|NEU|SIN|DEF|NOM//nsubj//31 tar//VB|PRS|AKT//parataxis//1 fasta//NN|UTR|SIN|IND|NOM//obj//31 på//PP//mark//36 att//SN//mark//36 personerna//NN|UTR|PLU|DEF|NOM//nsubj//36 har//VB|PRS|AKT//advcl//31 ett//DT|NEU|SIN|IND//det//38 funktionshinder//NN|NEU|SIN|IND|NOM//obj//36 som//HP|-|-|-//nsubj//40 försvårar//VB|PRS|AKT//acl:relcl//38 för//PP//case//42 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//40 att//IE//mark//44 studera//VB|INF|AKT//xcomp//40 och//KN//cc//46 leva//VB|INF|AKT//conj//44 ett//DT|NEU|SIN|IND//det//51 aktivt//JJ|POS|NEU|SIN|IND|NOM//amod//51 och//KN//cc//50 självständigt//JJ|POS|NEU|SIN|IND|NOM//conj//48 liv//NN|NEU|SIN|IND|NOM//obj//46 i//PP//advmod//46 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//52 .//MID//punct//1
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//64 kan//VB|PRS|AKT//aux//64 med//PP//case//61 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//57 i//PP//fixed//57 en//DT|UTR|SIN|IND//det//61 renodlingstanke//NN|UTR|SIN|IND|NOM//obl//64 då//AB//advmod//64 vara//VB|INF|AKT//cop//64 naturligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//1 att//SN//mark//87 en//DT|UTR|SIN|IND//det//67 individ//NN|UTR|SIN|IND|NOM//nsubj//87 som//HP|-|-|-//nsubj:pass//77 på//PP//case//73 grund//NN|UTR|SIN|IND|NOM//fixed//69 av//PP//fixed//69 ett//DT|NEU|SIN|IND//det//73 funktionshinder//NN|NEU|SIN|IND|NOM//obl//77 har//VB|PRS|AKT//aux//77 nedsatt//PC|PRF|UTR|SIN|IND|NOM//amod//76 arbetsförmåga//NN|UTR|SIN|IND|NOM//nsubj:pass//77 omfattas//VB|PRS|SFO//acl:relcl//67 av//PP//case//79 inkomstbortfallsskyddet//NN|NEU|SIN|DEF|NOM//obl:agent//77 inom//PP//case//81 ohälsoförsäkringen//NN|UTR|SIN|DEF|NOM//obl//77 och//KN//cc//84 i//PP//case//84 princip//NN|UTR|SIN|IND|NOM//conj//81 därför//AB//advmod//87 bör//VB|PRS|AKT//aux//87 få//VB|INF|AKT//csubj//64 sin//PS|UTR|SIN|DEF//nmod:poss//89 försörjning//NN|UTR|SIN|IND|NOM//obj//87 från//PP//case//92 detta//DT|NEU|SIN|DEF//det//92 system//NN|NEU|SIN|IND|NOM//obl//87 .//MAD//punct//64
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Det//DT|NEU|SIN|DEF//det//96 andra//RO|NOM//amod//96 synsättet//NN|NEU|SIN|DEF|NOM//nsubj//97 betonar//VB|PRS|AKT//parataxis//64 det//DT|NEU|SIN|DEF//det//99 faktum//NN|NEU|SIN|DEF|NOM//obj//97 att//SN//mark//102 personerna//NN|UTR|PLU|DEF|NOM//nsubj//102 bedriver//VB|PRS|AKT//acl//99 studier//NN|UTR|PLU|IND|NOM//obj//102 .//MAD//punct//1
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//106 ligger//VB|PRS|AKT//parataxis//1 då//AB//advmod//106 nära//AB|POS//advmod//106 till//PP//case//110 hands//NN|UTR|SIN|IND|NOM//obl//106 att//SN//mark//115 det//DT|NEU|SIN|DEF//det//113 studiesociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//114 systemet//NN|NEU|SIN|DEF|NOM//nsubj//115 tar//VB|PRS|AKT//csubj//106 ett//DT|NEU|SIN|IND//det//117 huvudansvar//NN|NEU|SIN|IND|NOM//obj//115 för//PP//case//119 försörjningsstödet//NN|NEU|SIN|DEF|NOM//obl//115 också//AB//advmod//115 för//PP//case//123 denna//DT|UTR|SIN|DEF//det//123 grupp//NN|UTR|SIN|IND|NOM//obl//115 och//KN//cc//127 att//SN//mark//127 stödet//NN|NEU|SIN|DEF|NOM//nsubj:pass//127 utges//VB|PRS|SFO//conj//115 i//PP//case//130 den//DT|UTR|SIN|DEF//det//130 form//NN|UTR|SIN|IND|NOM//obl//127 som//HP|-|-|-//nsubj//134 i//PP//advmod//134 allmänhet//NN|UTR|SIN|IND|NOM//fixed//132 gäller//VB|PRS|AKT//acl:relcl//130 för//PP//case//136 studenter//NN|UTR|PLU|IND|NOM//obl//134 .//MAD//punct//106
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Ofta//AB|POS//advmod//1 hävdas//VB|PRS|SFO//ROOT//1 att//SN//mark//11 socialförsäkringsersättning//NN|UTR|SIN|IND|NOM//nsubj:pass//11 av//PP//case//6 rena//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 rättviseskäl//NN|NEU|PLU|IND|NOM//nmod//3 i//PP//case//8 princip//NN|UTR|SIN|IND|NOM//nmod//3 inte//AB//advmod//11 bör//VB|PRS|AKT//aux//11 utges//VB|INF|SFO//ccomp//1 under//PP//case//13 tid//NN|UTR|SIN|IND|NOM//obl//11 då//HA//mark//16 den//DT|UTR|SIN|DEF//det//16 försäkrade//PC|PRF|UTR/NEU|SIN|DEF|NOM//acl:relcl//13 bedriver//VB|PRS|AKT//xcomp//16 studier//NN|UTR|PLU|IND|NOM//obj//17 på//PP//case//21 exempelvis//AB//advmod//21 högskolan//NN|UTR|SIN|DEF|NOM//nmod//18 ,//MID//punct//30 eftersom//SN//mark//30 han//PN|UTR|SIN|DEF|SUB//nsubj//30 eller//KN//cc//26 hon//PN|UTR|SIN|DEF|SUB//conj//24 i//PP//case//29 annat//JJ|POS|NEU|SIN|IND|NOM//amod//29 fall//NN|NEU|SIN|IND|NOM//obl//30 ges//VB|PRS|SFO//advcl//11 möjlighet//NN|UTR|SIN|IND|NOM//nsubj:pass//30 att//IE//fixed//31 på//PP//case//35 försäkringens//NN|UTR|SIN|DEF|GEN//nmod:poss//35 bekostnad//NN|UTR|SIN|IND|NOM//nmod//31 ”//PAD//punct//37 investera//VB|INF|AKT//xcomp//30 ”//PAD//punct//37 i//PP//case//42 en//DT|UTR|SIN|IND//det//42 höjd//PC|PRF|UTR|SIN|IND|NOM//amod//42 kompetens//NN|UTR|SIN|IND|NOM//obl//37 .//MAD//punct//42
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Ett//DT|NEU|SIN|IND//det//46 konsekvent//JJ|POS|NEU|SIN|IND|NOM//amod//46 hävdande//NN|NEU|SIN|IND|NOM//appos//42 av//PP//case//49 denna//DT|UTR|SIN|DEF//det//49 ståndpunkt//NN|UTR|SIN|IND|NOM//nmod//46 innebär//VB|PRS|AKT//conj//1 dock//AB//advmod//50 att//SN//mark//57 i//PP//case//54 princip//NN|UTR|SIN|IND|NOM//obl//57 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj:pass//57 skall//VB|PRS|AKT//aux//57 hänvisas//VB|INF|SFO//ccomp//50 till//PP//case//59 försörjning//NN|UTR|SIN|IND|NOM//obl//57 genom//PP//case//63 det//DT|NEU|SIN|DEF//det//62 studiesociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//63 systemet//NN|NEU|SIN|DEF|NOM//obl//57 under//PP//case//65 tid//NN|UTR|SIN|IND|NOM//nmod//63 då//HA//mark//68 man//PN|UTR|SIN|IND|SUB//nsubj//68 studerar//VB|PRS|AKT//acl:relcl//63 .//MAD//punct//1
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Skulle//VB|PRT|AKT//aux//74 en//DT|UTR|SIN|IND//det//73 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//73 linje//NN|UTR|SIN|IND|NOM//nsubj//74 få//VB|INF|AKT//advcl//79 fullt//JJ|POS|NEU|SIN|IND|NOM//amod//76 genomslag//NN|NEU|SIN|IND|NOM//obj//74 skulle//VB|PRT|AKT//aux//79 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//79 krävas//VB|INF|SFO//parataxis//1 att//SN//mark//104 en//DT|UTR|SIN|IND//det//83 uttrycklig//JJ|POS|UTR|SIN|IND|NOM//amod//83 regel//NN|UTR|SIN|IND|NOM//nsubj//104 i//PP//case//85 ohälsoförsäkringen//NN|UTR|SIN|DEF|NOM//nmod//83 som//HP|-|-|-//nsubj//87 förbjöd//VB|PRT|AKT//acl:relcl//85 att//SN//mark//90 man//PN|UTR|SIN|IND|SUB//nsubj//90 bedriver//VB|PRS|AKT//ccomp//87 studier//NN|UTR|PLU|IND|NOM//obj//90 under//PP//case//93 tid//NN|UTR|SIN|IND|NOM//obl//90 med//PP//case//96 exempelvis//AB//advmod//96 förtidspension//NN|UTR|SIN|IND|NOM//nmod//93 eller//KN//cc//98 sjukbidrag//NN|NEU|SIN|IND|NOM//conj//96 .//MAD//punct//83
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;I//PP//case//101 förlängningen//NN|UTR|SIN|DEF|NOM//obl//104 skulle//VB|PRT|AKT//aux//104 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//104 få//VB|INF|AKT//ccomp//79 till//PP//compound:prt//104 följd//NN|UTR|SIN|IND|NOM//fixed//105 att//SN//mark//110 ett//DT|NEU|SIN|IND//det//109 förbud//NN|NEU|SIN|IND|NOM//nsubj:pass//110 införs//VB|PRS|SFO//ccomp//104 mot//PP//mark//117 att//IE//mark//117 under//PP//case//116 tid//NN|UTR|SIN|IND|NOM//fixed//113 med//PP//case//116 ersättning//NN|UTR|SIN|IND|NOM//obl//117 bedriva//VB|INF|AKT//advcl//110 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//119 aktivitet//NN|UTR|SIN|IND|NOM//obj//117 som//HP|-|-|-//nsubj//122 kan//VB|PRS|AKT//aux//122 leda//VB|INF|AKT//acl:relcl//119 till//PP//mark//126 att//SN//mark//126 arbetsförmåga//NN|UTR|SIN|IND|NOM//nsubj:pass//126 uppnås//VB|PRS|SFO//advcl//122 samtidigt//AB//mark//130 som//HA//fixed//127 ersättning//NN|UTR|SIN|IND|NOM//nsubj:pass//130 utges//VB|PRS|SFO//advcl//126 till//PP//case//132 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//130 som//HP|-|-|-//nsubj//134 avhåller//VB|PRS|AKT//acl:relcl//132 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//134 från//PP//case//137 aktivitet//NN|UTR|SIN|IND|NOM//obl//134 trots//PP//mark//146 att//SN//mark//146 han//PN|UTR|SIN|DEF|SUB//nsubj//146 eller//KN//cc//142 hon//PN|UTR|SIN|DEF|SUB//conj//140 kanske//AB//advmod//146 skulle//VB|PRT|AKT//aux//146 kunna//VB|INF|AKT//aux//146 förbättra//VB|INF|AKT//advcl//134 sin//PS|UTR|SIN|DEF//nmod:poss//148 situation//NN|UTR|SIN|IND|NOM//obj//146 genom//PP//case//151 exempelvis//AB//advmod//151 studier//NN|UTR|PLU|IND|NOM//obl//146 .//MAD//punct//1
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//154 talar//VB|PRS|AKT//parataxis//1 för//PP//mark//159 att//SN//mark//159 ohälsoförsäkringen//NN|UTR|SIN|DEF|NOM//nsubj//159 bör//VB|PRS|AKT//aux//159 ta//VB|INF|AKT//advcl//154 ekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//161 ansvar//NN|NEU|SIN|IND|NOM//obj//159 för//PP//case//166 svårt//AB|POS//advmod//164 funktionshindrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//165 personers//NN|UTR|PLU|IND|GEN//nmod:poss//166 försörjning//NN|UTR|SIN|IND|NOM//nmod//161 under//PP//case//168 studietid//NN|UTR|SIN|IND|NOM//obl//159 ,//MID//punct//159 under//PP//case//171 förutsättning//NN|UTR|SIN|IND|NOM//obl//159 att//SN//mark//175 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//174 arbetsförmåga//NN|UTR|SIN|IND|NOM//nsubj//175 bedöms//VB|PRS|SFO//acl//171 vara//VB|INF|AKT//aux:pass//177 nedsatt//PC|PRF|UTR|SIN|IND|NOM//xcomp//175 av//PP//case//180 medicinska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//180 skäl//NN|NEU|PLU|IND|NOM//obl:agent//177 .//MAD//punct//154
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;I//PP//case//3 förhållande//NN|NEU|SIN|IND|NOM//fixed//0 till//PP//fixed//0 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//5 har//VB|PRS|AKT//aux//5 funktionshindrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//5 ett//DT|NEU|SIN|IND//det//9 helt//AB|POS//advmod//8 annat//JJ|POS|NEU|SIN|IND|NOM//amod//9 utgångsläge//NN|NEU|SIN|IND|NOM//obj//5 ,//MID//punct//15 såväl//KN//advmod//15 när//HA//case//15 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//12 gäller//VB|PRS|AKT//fixed//12 möjligheter//NN|UTR|PLU|IND|NOM//obl//5 att//IE//mark//17 bedriva//VB|INF|AKT//acl//15 studier//NN|UTR|PLU|IND|NOM//obj//17 i//PP//case//21 normal//JJ|POS|UTR|SIN|IND|NOM//amod//21 takt//NN|UTR|SIN|IND|NOM//obl//17 som//HA//case//26 när//HA//case//26 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//23 gäller//VB|PRS|AKT//fixed//23 chanserna//NN|UTR|PLU|DEF|NOM//acl//21 att//IE//mark//28 få//VB|INF|AKT//acl//26 en//DT|UTR|SIN|IND//det//30 anställning//NN|UTR|SIN|IND|NOM//obj//28 i//PP//case//33 det//DT|NEU|SIN|DEF//det//33 yrke//NN|NEU|SIN|IND|NOM//nmod//30 man//PN|UTR|SIN|IND|SUB//nsubj//35 utbildat//VB|SUP|AKT//acl:relcl//33 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//35 för//PP//obl//35 .//MAD//punct//5
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Det//DT|NEU|SIN|DEF//det//41 studiesociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 systemet//NN|NEU|SIN|DEF|NOM//nsubj//61 i//PP//case//45 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//45 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 utformning//NN|UTR|SIN|IND|NOM//nmod//41 ,//MID//punct//53 där//HA//advmod//53 en//DT|UTR|SIN|IND//det//50 stor//JJ|POS|UTR|SIN|IND|NOM//amod//50 del//NN|UTR|SIN|IND|NOM//nsubj:pass//53 av//PP//case//52 försörjningsstödet//NN|NEU|SIN|DEF|NOM//nmod//50 utges//VB|PRS|SFO//acl:relcl//41 i//PP//case//57 form//NN|UTR|SIN|IND|NOM//fixed//54 av//PP//fixed//54 lån//NN|NEU|PLU|IND|NOM//obl//53 ,//MID//punct//41 och//KN//cc//61 dessutom//AB//advmod//61 bygger//VB|PRS|AKT//parataxis//5 på//PP//case//63 förutsättningen//NN|UTR|SIN|DEF|NOM//obl//61 att//SN//mark//71 studier//NN|UTR|PLU|IND|NOM//nsubj:pass//71 i//PP//case//67 princip//NN|UTR|SIN|IND|NOM//nmod//65 a//PP//advmod//71 lltid//AB//fixed//68 skall//VB|PRS|AKT//aux//71 bedrivas//VB|INF|SFO//advcl//61 i//PP//case//74 normal//JJ|POS|UTR|SIN|IND|NOM//amod//74 takt//NN|UTR|SIN|IND|NOM//obl//71 ,//MID//punct//76 ter//VB|PRS|AKT//conj//5 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//76 därvid//AB//advmod//76 mindre//AB|KOM//advmod//80 lämpligt//AB|POS//xcomp//76 när//HA//mark//85 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//81 gäller//VB|PRS|AKT//fixed//81 att//IE//mark//85 svara//VB|INF|AKT//advcl//76 upp//PL//compound:prt//85 till//PP//case//90 de//DT|UTR/NEU|PLU|DEF//det//90 speciella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//90 behov//NN|NEU|PLU|IND|NOM//obl//85 som//HP|-|-|-//nsubj//93 kan//VB|PRS|AKT//aux//93 föreligga//VB|INF|AKT//acl:relcl//90 för//PP//case//95 funktionshindrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//obl//93 .//MAD//punct//5
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Samtidigt//AB//advmod//1 behöver//VB|PRS|AKT//aux//9 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//1 därmed//AB//advmod//1 inte//AB//advmod//1 vara//VB|INF|AKT//cop//6 uteslutet//PC|PRF|NEU|SIN|IND|NOM//obj//1 att//IE//mark//8 tillgodose//VB|INF|AKT//acl//6 funktionshindrades//VB|PRT|SFO//ROOT//9 behov//NN|NEU|PLU|IND|NOM//nsubj:pass//9 inom//PP//case//14 det//DT|NEU|SIN|DEF//det//14 studiesociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 stödet//NN|NEU|SIN|DEF|NOM//obl//9 .//MID//punct//9
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Enligt//PP//case//18 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 uppfattning//NN|UTR|SIN|IND|NOM//obl//19 krävs//VB|PRS|SFO//parataxis//9 dock//AB//advmod//19 i//PP//case//26 så//AB//fixed//21 fall//NN|NEU|SIN|IND|NOM//fixed//21 en//DT|UTR|SIN|IND//det//25 rad//NN|UTR|SIN|IND|NOM//nmod//26 modifieringar//NN|UTR|PLU|IND|NOM//obl//19 av//PP//case//29 och//KN//cc//29 särregleringar//NN|UTR|PLU|IND|NOM//nmod//26 i//PP//case//32 detta//DT|NEU|SIN|DEF//det//32 system//NN|NEU|SIN|IND|NOM//nmod//29 .//MAD//punct//19
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Exempelvis//AB//advmod//41 bör//VB|PRS|AKT//aux//41 en//DT|UTR|SIN|IND//det//38 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 andel//NN|UTR|SIN|IND|NOM//nsubj:pass//41 av//PP//case//40 studiestödet//NN|NEU|SIN|DEF|NOM//nmod//38 ges//VB|PRS|SFO//conj//9 i//PP//case//45 form//NN|UTR|SIN|IND|NOM//fixed//42 av//PP//fixed//42 bidrag//NN|NEU|PLU|IND|NOM//obl//41 i//PP//case//49 stället//NN|NEU|SIN|DEF|NOM//fixed//46 för//PP//fixed//46 lån//NN|NEU|SIN|IND|NOM//obl//41 och//KN//cc//53 återbetalningsskyldigheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//53 kunna//VB|INF|AKT//aux//53 efterges//VB|INF|SFO//conj//41 i//PP//case//56 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//56 utsträckning//NN|UTR|SIN|IND|NOM//obl//53 än//KN//mark//58 i//PP//acl//56 dag//NN|UTR|SIN|IND|NOM//fixed//58 .//MAD//punct//41
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;Om//SN//mark//3 man//PN|UTR|SIN|IND|SUB//nsubj//3 skulle//VB|PRT|AKT//aux//3 genomföra//VB|INF|AKT//advcl//30 denna//PN|UTR|SIN|DEF|SUB/OBJ//det//7 och//KN//cc//6 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//4 modifieringar//NN|UTR|PLU|IND|NOM//obj//3 av//PP//case//11 det//DT|NEU|SIN|DEF//det//11 studiesociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//11 stödet//NN|NEU|SIN|DEF|NOM//nmod//7 som//HP|-|-|-//nsubj//20 enligt//PP//case//15 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 uppfattning//NN|UTR|SIN|IND|NOM//obl//20 i//PP//advmod//20 så//AB//amod//18 fall//NN|NEU|SIN|IND|NOM//fixed//16 är//VB|PRS|AKT//cop//20 påkallade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//11 för//PP//mark//25 att//SN//mark//25 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//25 skall//VB|PRS|AKT//aux//25 svara//VB|INF|AKT//advcl//20 mot//PP//case//29 de//DT|UTR/NEU|PLU|DEF//det//29 funktionshindrades//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|GEN//amod//29 behov//NN|NEU|PLU|IND|NOM//obl//25 tenderar//VB|PRS|AKT//ROOT//30 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//30 att//IE//mark//38 i//PP//mark//38 fråga//NN|UTR|SIN|IND|NOM//fixed//33 om//PP//fixed//33 villkoren//NN|NEU|PLU|DEF|NOM//nsubj//38 alltmer//AB//advmod//38 likna//VB|INF|AKT//csubj//30 de//DT|UTR/NEU|PLU|DEF//det//40 ersättningar//NN|UTR|PLU|IND|NOM//obj//38 som//HP|-|-|-//nsubj:pass//42 utges//VB|PRS|SFO//acl:relcl//40 inom//PP//case//44 socialförsäkringen//NN|UTR|SIN|DEF|NOM//obl//42 .//MAD//punct//30
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;En//DT|UTR|SIN|IND//det//47 förutsättning//NN|UTR|SIN|IND|NOM//appos//30 för//PP//mark//50 att//IE//mark//50 få//VB|INF|AKT//acl//47 del//NN|UTR|SIN|IND|NOM//obj//50 av//PP//case//55 det//DT|NEU|SIN|DEF//det//55 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//55 stödet//NN|NEU|SIN|DEF|NOM//nmod//51 måste//VB|PRS|AKT//aux//58 rimligtvis//AB//advmod//58 vara//VB|INF|AKT//cop//47 att//SN//mark//62 den//DT|UTR|SIN|DEF//det//61 försäkrade//PC|PRF|UTR/NEU|SIN|DEF|NOM//nsubj//62 har//VB|PRS|AKT//ccomp//58 en//PN|UTR|SIN|IND|SUB/OBJ//det//69 av//PP//case//66 medicinska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 skäl//NN|NEU|PLU|IND|NOM//obl//67 långvarigt//AB|POS//advmod//68 nedsatt//PC|PRF|UTR|SIN|IND|NOM//amod//69 arbetsförmåga//NN|UTR|SIN|IND|NOM//obj//62 .//MAD//punct//47
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;En//DT|UTR|SIN|IND//det//72 kompetens//NN|UTR|SIN|IND|NOM//nsubj//78 för//PP//case//74 bedömning//NN|UTR|SIN|IND|NOM//nmod//72 av//PP//case//77 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//77 frågor//NN|UTR|PLU|IND|NOM//nmod//74 finns//VB|PRS|SFO//conj//47 redan//AB//advmod//78 i//PP//advmod//78 dag//NN|UTR|SIN|IND|NOM//fixed//80 inom//PP//case//83 socialförsäkringsadministrationen//NN|UTR|SIN|DEF|NOM//obl//78 men//KN//cc//89 däremot//AB//advmod//89 inte//AB//advmod//89 inom//PP//case//89 den//DT|UTR|SIN|DEF//det//89 administration//NN|UTR|SIN|IND|NOM//conj//78 som//HP|-|-|-//nsubj//91 hanterar//VB|PRS|AKT//acl:relcl//89 det//DT|NEU|SIN|DEF//det//94 studiesociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//94 stödet//NN|NEU|SIN|DEF|NOM//obj//91 .//MAD//punct//30
3.4 Specifika utgångspunkter för utredningens förslag / Försörjning från ohälsoförsäkringen också vid studier;En//DT|UTR|SIN|IND//det//1 lösning//NN|UTR|SIN|IND|NOM//nsubj//17 av//PP//case//5 det//DT|NEU|SIN|DEF//det//5 sammantagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//5 behovet//NN|NEU|SIN|DEF|NOM//nmod//1 av//PP//case//9 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//9 tr//NN|AN//nmod//9 ygghet//NN|UTR|SIN|IND|NOM//nmod//5 under//PP//case//11 habilitering//NN|UTR|SIN|IND|NOM//nmod//5 inom//PP//case//16 endast//AB//advmod//16 en//DT|UTR|SIN|IND//det//15 samhällssektors//NN|UTR|SIN|IND|GEN//nmod:poss//16 ram//NN|UTR|SIN|IND|NOM//nmod//11 förefaller//VB|PRS|AKT//ROOT//17 också//AB//advmod//17 kunna//VB|INF|AKT//aux//20 föra//VB|INF|AKT//xcomp//17 med//PL//case//22 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//20 mer//AB|KOM//advmod//20 av//PP//case//25 flexibilitet//NN|UTR|SIN|IND|NOM//obl//20 och//KN//cc//30 därför//AB//advmod//30 vara//VB|INF|AKT//cop//30 mer//AB|KOM//advmod//30 ändamålsenlig//JJ|POS|UTR|SIN|IND|NOM//conj//17 om//SN//mark//33 syftet//NN|NEU|SIN|DEF|NOM//nsubj//33 är//VB|PRS|AKT//advcl//30 att//IE//mark//35 stimulera//VB|INF|AKT//csubj//30 till//PP//case//37 aktivitet//NN|UTR|SIN|IND|NOM//obl//35 i//PP//advmod//35 allmänhet//NN|UTR|SIN|IND|NOM//fixed//38 och//KN//cc//44 inte//AB//advmod//44 en//DT|UTR|SIN|IND//det//44 viss//JJ|POS|UTR|SIN|IND|NOM//amod//44 typ//NN|UTR|SIN|IND|NOM//conj//35 av//PP//case//46 sysselsättning//NN|UTR|SIN|IND|NOM//nmod//44 .//MID//punct//17
