
Sverige skall vara en pådrivande kraft och ett fö regångsland i strävan att skapa ett hållbart samhälle.;Ur//PP//case//2 regeringsfö//NN|UTR|SIN|IND|NOM//amod//2 rklaringen//NN|UTR|SIN|DEF|NOM//ROOT//2 den//DT|UTR|SIN|DEF//det//5 22//RG|NOM//nummod//5 mars//NN|UTR|SIN|IND|NOM//nmod//2 1996//RG|NOM//nummod//5
En effektivare styrning av statsfö rvaltningens miljö arbete;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//18 är//VB|PRS|AKT//cop//18 angeläget//JJ|POS|NEU|SIN|IND|NOM//parataxis//3 att//IE//mark//20 utveckla//VB|INF|AKT//csubj//18 de//DT|UTR/NEU|PLU|DEF//det//24 befintliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 sektorsmyn-digheternas//NN|UTR|PLU|DEF|GEN//amod//24 ansvar//NN|NEU|SIN|IND|NOM//obj//20 på//PP//case//26 djupet//NN|NEU|SIN|DEF|NOM//obl//20 .//MAD//punct//18
En effektivare styrning av statsfö rvaltningens miljö arbete;Vi//PN|UTR|PLU|DEF|SUB//nsubj//29 avser//VB|PRS|AKT//parataxis//18 att//IE//mark//31 återkomma//VB|INF|AKT//xcomp//29 med//PP//compound:prt//31 ett//DT|NEU|SIN|IND//det//35 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//35 betänkan-de//NN|NEU|SIN|IND|NOM//obj//31 som//HP|-|-|-//nsubj//37 behandlar//VB|PRS|AKT//acl:relcl//35 frågan//NN|UTR|SIN|DEF|NOM//obj//37 om//PP//case//43 att//SN//mark//43 ö//NN|NEU|SIN|IND|NOM//nummod//42 ka//VB|INF|AKT//nmod//43 sektorsansvaret//NN|NEU|SIN|DEF|NOM//nmod//38 och//KN//cc//45 däri//AB//conj//43 eventuellt//AB|POS//advmod//49 fö//UO//det//49 reslå//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//49 regeringen//NN|UTR|SIN|DEF|NOM//nmod//43 att//IE//mark//54 i//PP//case//53 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//53 myndighetsinstruktioner//NN|UTR|PLU|IND|NOM//obl//54 skriva//VB|INF|AKT//acl//49 in//PL//compound:prt//54 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//57 krav//NN|NEU|PLU|IND|NOM//obj//54 på//PP//case//59 miljö//NN|UTR|SIN|IND|NOM//obl//54 -hänsyn//NN|UTR|-|-|SMS//punct//29 och//KN//cc//62 bredda//VB|INF|AKT//conj//29 sektorsansvaret//NN|NEU|SIN|DEF|NOM//obj//62 till//PP//case//66 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//66 myndigheter//NN|UTR|PLU|IND|NOM//obl//62 .//MAD//punct//18
En effektivare styrning av statsfö rvaltningens miljö arbete;Regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 miljöpolicy//NN|UTR|SIN|IND|NOM//ROOT//1 för//PP//case//4 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 myndigheter//NN|UTR|PLU|IND|NOM//nmod//1
En effektivare styrning av statsfö rvaltningens miljö arbete;En//DT|UTR|SIN|IND//det//1 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 miljö//NN|UTR|SIN|IND|NOM//nmod//3 policy//UO//nsubj//8 fö//UO//nmod//7 r//UO//nummod//7 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 myndigheter//NN|UTR|PLU|IND|NOM//nmod//3 syftar//VB|PRS|AKT//ROOT//8 till//PP//mark//11 att//IE//mark//11 ge//VB|INF|AKT//advcl//8 myndig-heterna//NN|UTR|PLU|DEF|NOM//iobj//11 riktlinjer//NN|UTR|PLU|IND|NOM//obj//11 fö//NN|AN//nmod:poss//15 r//UO//obl//11 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//17 hantering//NN|UTR|SIN|IND|NOM//obj//11 av//PP//case//19 miljö//NN|UTR|SIN|IND|NOM//nmod//17 frågorna//NN|UTR|PLU|DEF|NOM//conj//17 och//KN//cc//22 utformning//NN|UTR|SIN|IND|NOM//conj//20 av//PP//case//24 miljö//NN|UTR|SIN|IND|NOM//nmod//22 -policys//NN|UTR|-|-|SMS//nmod//22 .//MAD//punct//8 -//MID//punct//28
En effektivare styrning av statsfö rvaltningens miljö arbete;Regeringskansliet//NN|NEU|SIN|DEF|NOM//nsubj//35 och//KN//cc//30 myndigheterna//NN|UTR|PLU|DEF|NOM//conj//28 skall//VB|PRS|AKT//aux//35 i//PP//case//34 sitt//PS|NEU|SIN|DEF//nmod:poss//34 arbete//NN|NEU|SIN|IND|NOM//obl//35 medverka//VB|INF|AKT//parataxis//8 till//PP//compound:prt//35 och//KN//cc//39 vara//VB|INF|AKT//cop//39 pådrivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//35 i//PP//case//43 det//DT|NEU|SIN|DEF//det//43 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//43 miljö//NN|UTR|SIN|IND|NOM//nmod//39 arbetet//NN|NEU|SIN|DEF|NOM//obj//35 och//KN//cc//47 fö//NN|NEU|SIN|IND|NOM//nmod//47 r//UO//conj//44 att//IE//mark//49 uppfylla//VB|INF|AKT//acl//47 de//DT|UTR/NEU|PLU|DEF//det//52 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 åtaganden//NN|NEU|PLU|IND|NOM//obj//49 som//HP|-|-|-//case//57 riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//56 godkänt//VB|SUP|AKT//amod//56 fortlö//JJ|POS|UTR/NEU|SIN|DEF|NOM//fixed//53 pande//NN|NEU|SIN|IND|NOM//xcomp//49 bli//VB|INF|AKT//advcl//35 allt//AB//advmod//60 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//58 .//MAD//punct//8
En effektivare styrning av statsfö rvaltningens miljö arbete;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//66 är//VB|PRS|AKT//cop//66 i//PP//case//66 ö//JJ|POS|UTR|SIN|IND|NOM//amod//66 verensstämmelse//NN|UTR|SIN|IND|NOM//parataxis//8 med//PP//case//70 befintliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//70 miljö//NN|UTR|SIN|IND|NOM//nmod//66 lednings-system//NN|NEU|PLU|IND|NOM//amod//66 som//HP|-|-|-//nsubj:pass//73 tillämpas//VB|PRS|SFO//acl:relcl//71 inom//PP//case//76 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 delar//NN|UTR|PLU|IND|NOM//obl//73 av//PP//case//78 samhället//NN|NEU|SIN|DEF|NOM//nmod//76 t.ex//AB|AN//advmod//81 EUs//PM|GEN//nmod:poss//81 system//NN|NEU|SIN|IND|NOM//obl//73 fö//UO//amod//85 r//UO//nummod//85 frivillig//JJ|POS|UTR|SIN|IND|NOM//amod//85 miljö//NN|UTR|SIN|IND|NOM//nmod//81 styrning//NN|UTR|SIN|IND|NOM//obl//73 och//KN//cc//88 miljö//NN|UTR|SIN|IND|NOM//conj//86 revision//NN|UTR|SIN|IND|NOM//conj//86 (//PAD//punct//86 EMAS//PM|NOM//appos//86 )//PAD//punct//66 och//KN//cc//95 ISO//PM|NOM//nmod//95 14001//RG|NOM//conj//66 .//MAD//punct//8
En effektivare styrning av statsfö rvaltningens miljö arbete;Miljö//NN|UTR|SIN|IND|NOM//amod//1 arbetet//NN|NEU|SIN|DEF|NOM//nsubj//3 ska//VB|PRS|AKT//aux//3 ha//VB|INF|AKT//ROOT//3 en//DT|UTR|SIN|IND//det//5 grund//NN|UTR|SIN|IND|NOM//obj//3 i//PP//case//8 de//DT|UTR/NEU|PLU|DEF//det//8 miljömål//NN|NEU|PLU|IND|NOM//obl//3 som//HP|-|-|-//obj//11 riksdagens//NN|UTR|SIN|DEF|GEN//nsubj//11 bestämt//VB|SUP|AKT//acl:relcl//8 och//KN//cc//17 i//PP//case//16 det//DT|NEU|SIN|DEF//det//16 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 miljö//NN|UTR|SIN|IND|NOM//nmod//17 arbetet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//3 vilket//HP|NEU|SIN|IND//nsubj//20 är//VB|PRS|AKT//acl:relcl//3 av//PP//case//23 stor//JJ|POS|UTR|SIN|IND|NOM//amod//23 betydelse//NN|UTR|SIN|IND|NOM//obl//20 fö//NN|NEU|SIN|IND|NOM//case//26 r//UO//nummod//26 miljö//NN|UTR|SIN|IND|NOM//obl//20 n//NN|NEU|SIN|IND|NOM//nummod//20 i//PP//case//29 Sverige//PM|NOM//obl//20 och//KN//cc//33 i//PP//case//33 ö//JJ|POS|UTR|SIN|IND|NOM//amod//33 verensstämmelse//NN|UTR|SIN|IND|NOM//conj//20 med//PP//case//35 vad//HP|NEU|SIN|IND//nmod//33 som//HP|-|-|-//nsubj:pass//37 sagts//VB|SUP|SFO//acl:relcl//35 i//PP//case//40 regeringsfö//NN|UTR|SIN|IND|NOM//amod//40 rklaringen//NN|UTR|SIN|DEF|NOM//obl//37 .//MAD//punct//3
En effektivare styrning av statsfö rvaltningens miljö arbete;Genom//PP//case//1 offentlighetsprincipen//NN|UTR|SIN|DEF|NOM//obl//2 blir//VB|PRS|AKT//ROOT//2 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//4 miljö//NN|UTR|SIN|IND|NOM//nsubj//2 policys//NN|NEU|PLU|IND|NOM//obj//2 och//KN//cc//9 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//8 redo-visningar//NN|UTR|PLU|IND|NOM//amod//9 tillgängliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//5 också//AB//advmod//12 fö//NN|NEU|SIN|IND|NOM//amod//12 r//PM|NOM//nmod//9 allmänheten//NN|UTR|SIN|DEF|NOM//nmod//9 .//MAD//punct//2
En effektivare styrning av statsfö rvaltningens miljö arbete;En//DT|UTR|SIN|IND//det//17 ö//JJ|POS|UTR|SIN|IND|NOM//amod//17 ppenhet//NN|UTR|SIN|IND|NOM//appos//2 i//PP//case//20 miljö//NN|UTR|SIN|IND|NOM//fixed//18 arbetet//NN|NEU|SIN|DEF|NOM//nmod//17 menar//VB|PRS|AKT//advcl//2 vi//PN|UTR|PLU|DEF|SUB//nsubj//21 är//VB|PRS|AKT//cop//26 en//DT|UTR|SIN|IND//det//26 demokratisk//JJ|POS|UTR|SIN|IND|NOM//amod//26 angelägenhet//NN|UTR|SIN|IND|NOM//ccomp//21 .//MAD//punct//2
En effektivare styrning av statsfö rvaltningens miljö arbete;Synsättet//NN|NEU|SIN|DEF|NOM//nsubj//29 stämmer//VB|PRS|AKT//parataxis//2 väl//AB//advmod//29 ö//NN|NEU|SIN|IND|NOM//amod//32 verens//NN|UTR|SIN|DEF|GEN//obj//29 med//PP//case//35 de//DT|UTR/NEU|PLU|DEF//det//35 krav//NN|NEU|PLU|IND|NOM//obl//29 på//PP//case//38 ö//JJ|POS|UTR|SIN|IND|NOM//amod//38 ppenhet//NN|UTR|SIN|IND|NOM//nmod//35 som//HP|-|-|-//nsubj//40 finns//VB|PRS|SFO//acl:relcl//38 i//PP//case//44 EUs//PM|GEN//nmod:poss//44 EMAS-fö//RO|NOM//amod//44 rordning//NN|UTR|SIN|IND|NOM//obl//40 .//MAD//punct//29
En effektivare styrning av statsfö rvaltningens miljö arbete;problem//NN|NEU|PLU|IND|NOM//parataxis//29 .//MAD//punct//29
En effektivare styrning av statsfö rvaltningens miljö arbete;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//49 ställer//VB|PRS|AKT//parataxis//29 krav//NN|NEU|PLU|IND|NOM//obj//49 på//PP//case//52 regeringskansliet//NN|NEU|SIN|DEF|NOM//obl//49 att//IE//mark//54 samordna//VB|INF|AKT//acl//52 sitt//PS|NEU|SIN|DEF//nmod:poss//56 miljö//NN|UTR|SIN|IND|NOM//obj//54 arbete//NN|NEU|SIN|IND|NOM//obj//54 mellan//PP//case//61 de//DT|UTR/NEU|PLU|DEF//det//61 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 departements-områdena//NN|NEU|PLU|DEF|NOM//obl//54 .//MID//punct//29
En effektivare styrning av statsfö rvaltningens miljö arbete;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//65 är//VB|PRS|AKT//cop//65 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//29 fö//NN|NEU|SIN|IND|NOM//nmod//67 r//UO//nmod//65 att//IE//mark//70 kunna//VB|INF|AKT//aux//70 begära//VB|INF|AKT//advcl//65 en//DT|UTR|SIN|IND//det//74 väl//AB|POS//advmod//73 fungerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//74 sam-ordning//NN|UTR|SIN|IND|NOM//obj//70 från//PP//case//76 myndigheterna//NN|UTR|PLU|DEF|NOM//obl//70 inom//PP//advmod//70 och//KN//cc//80 mellan//PP//case//80 departementsområdena//NN|NEU|PLU|DEF|NOM//obl//70 .//MAD//punct//29
En effektivare styrning av statsfö rvaltningens miljö arbete;Inom//PP//case//84 några//DT|UTR/NEU|PLU|IND//det//84 departementsområden//NN|NEU|PLU|IND|NOM//obl//85 finns//VB|PRS|SFO//parataxis//29 dessutom//AB//advmod//85 myndigheter//NN|UTR|PLU|IND|NOM//nsubj//85 med//PP//case//91 ett//DT|NEU|SIN|IND//det//91 särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//91 sek-torsansvar//NN|NEU|SIN|IND|NOM//obl//85 fö//NN|AN//case//94 r//UO//nummod//94 miljö//NN|UTR|SIN|IND|NOM//nmod//91 n//NN|NEU|SIN|IND|NOM//nummod//91 och//KN//cc//98 med//PP//case//98 uppgift//NN|UTR|SIN|IND|NOM//conj//95 att//IE//mark//101 vara//VB|INF|AKT//cop//101 samlande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//98 och//KN//cc//103 pådrivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//101 i//PP//case//106 fö//NN|NEU|SIN|IND|NOM//amod//106 r-hållande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//103 till//PP//case//110 de//DT|UTR/NEU|PLU|DEF//det//109 aktö//NN|NEU|PLU|IND|NOM//amod//110 rer//UO//obl//85 som//HP|-|-|-//nsubj//114 inte//AB//advmod//114 är//VB|PRS|AKT//cop//114 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//110 .//MAD//punct//2
En effektivare styrning av statsfö rvaltningens miljö arbete;Generellt//AB|POS//advmod//1 sett//PC|PRF|NEU|SIN|IND|NOM//advcl//2 menar//VB|PRS|AKT//ROOT//2 vi//PN|UTR|PLU|DEF|SUB//nsubj//2 att//SN//mark//13 påverkan//NN|UTR|SIN|IND|NOM//nsubj//13 genom//PP//case//10 det//DT|NEU|SIN|DEF//det//10 raka//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 ”//PM|NOM//punct//8 linjeansvaret//NN|NEU|SIN|DEF|NOM//nmod//5 ”//NN|NEU|SIN|IND|NOM//nmod//5 är//VB|PRS|AKT//cop//13 starkare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//2 än//KN//mark//16 genom//PP//case//16 horisontell//JJ|POS|UTR|SIN|IND|NOM//obl//13 ,//MID//punct//39 om//AB//mark//39 än//AB//case//24 så//AB//advmod//21 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//24 ,//MID//punct//21 sidoordnad//PC|PRF|UTR|SIN|IND|NOM//amod//24 påverkan//NN|UTR|SIN|IND|NOM//nsubj//39 t.ex.//AB|AN//advmod//27 från//PP//case//27 Miljö//NN|UTR|SIN|IND|NOM//nmod//24 -departementet//NN|NEU|SIN|DEF|NOM//nmod//24 inom//PP//case//30 regeringskansliet//NN|NEU|SIN|DEF|NOM//nmod//24 eller//KN//cc//32 Naturvårdsverket//NN|NEU|SIN|DEF|NOM//conj//30 på//PP//case//34 myndighets-nivå//NN|UTR|SIN|IND|NOM//nmod//24 .//MID//punct//24
En effektivare styrning av statsfö rvaltningens miljö arbete;ett//DT|NEU|SIN|IND//det//38 gemensamt//JJ|POS|NEU|SIN|IND|NOM//amod//38 seminarium//NN|NEU|SIN|IND|NOM//advcl//39 få//VB|INF|AKT//advcl//13 information//NN|UTR|SIN|IND|NOM//obj//39 om//PP//mark//44 att//SN//mark//44 uppdragen//NN|NEU|PLU|DEF|NOM//nsubj//44 innebär//VB|PRS|AKT//advcl//39 långsiktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 åtaganden//NN|NEU|PLU|IND|NOM//obj//44 infö//PM|NOM//xcomp//44 r//PM|NOM//nummod//49 framtiden//NN|UTR|SIN|DEF|NOM//obl//13 och//KN//cc//59 att//SN//mark//59 en//DT|UTR|SIN|IND//det//53 integre-ring//NN|UTR|SIN|IND|NOM//nsubj//59 av//PP//case//55 miljö//NN|UTR|SIN|IND|NOM//nmod//53 hänsyn//NN|UTR|SIN|IND|NOM//nmod//53 är//VB|PRS|AKT//cop//59 en//DT|UTR|SIN|IND//det//59 del//NN|UTR|SIN|IND|NOM//conj//13 av//PP//case//64 en//DT|UTR|SIN|IND//det//62 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//64 långsiktiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 strategi//NN|UTR|SIN|IND|NOM//nmod//59 fö//UO//case//67 r//UO//nummod//67 miljö//NN|UTR|SIN|IND|NOM//nmod//64 ,//MID//punct//69 tillväxt//NN|UTR|SIN|IND|NOM//conj//67 ,//MID//punct//71 sysselsättning//NN|UTR|SIN|IND|NOM//conj//67 (//PAD//punct//67 prop//NN|NEU|SIN|IND|NOM//nmod//74 1995/96:150//RG|NOM//nummod//59 )//PAD//punct//59 och//KN//cc//79 en//DT|UTR|SIN|IND//det//79 uthållig//JJ|POS|UTR|SIN|IND|NOM//amod//79 utveckling//NN|UTR|SIN|IND|NOM//conj//13 av//PP//case//81 väl-färdssamhället//NN|NEU|SIN|DEF|NOM//nmod//79 och//KN//cc//83 gäller//VB|PRS|AKT//conj//2 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//85 departementsområden//NN|UTR|SIN|DEF|NOM//obj//83 .//MID//punct//2
En effektivare styrning av statsfö rvaltningens miljö arbete;Fö//PM|NOM//nmod//88 r//NN|NEU|SIN|IND|NOM//obl//2 att//IE//mark//90 betona//VB|INF|AKT//acl//88 och//KN//cc//92 tydliggö//NN|UTR|SIN|IND|GEN//conj//90 ra//PL//obj//90 att//SN//mark//97 detta//DT|NEU|SIN|DEF//det//96 budskap//NN|NEU|SIN|IND|NOM//nsubj//97 kommer//VB|PRS|AKT//ccomp//90 från//PP//case//100 hö//NN|NEU|SIN|IND|NOM//fixed//98 gsta//NN|UTR|SIN|IND|NOM//obl//97  //_SP////100 ledningen//NN|UTR|SIN|DEF|NOM//obj//90 bö//UO//advmod//90 r//PM|NOM//case//105 Statsrådsbered-ningen//NN|UTR|SIN|DEF|NOM//obl//90 ,//MID//punct//108 inte//AB//advmod//108 Miljö//NN|UTR|SIN|IND|NOM//conj//90 departementet//NN|NEU|SIN|DEF|NOM//obj//108 ,//MID//punct//111 svara//VB|INF|AKT//conj//2 fö//UO//amod//113 r//UO//obl//111 inbjudan//NN|UTR|SIN|IND|NOM//obj//111 och//KN//cc//116 huvudbudskapet//NN|NEU|SIN|DEF|NOM//conj//114 vid//PP//case//118 seminariet//NN|NEU|SIN|DEF|NOM//nmod//116 .//MID//punct//111
En effektivare styrning av statsfö rvaltningens miljö arbete;Om//SN//case//125 mö//UO//nmod//122 jligt//NN|UTR|SIN|IND|NOM//obl//124 bö//UO//advmod//124 r//UO//fixed//120 statsministern//NN|UTR|SIN|DEF|NOM//obl//126 medverka//VB|INF|AKT//conj//2 i//PP//case//129 någon//DT|UTR|SIN|IND//det//129 del//NN|UTR|SIN|IND|NOM//obl//126 .//MAD//punct//2
En effektivare styrning av statsfö rvaltningens miljö arbete;Sammantaget//PC|PRF|NEU|SIN|IND|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 således//AB//advmod//4 viktigt//JJ|POS|NEU|SIN|IND|NOM//ROOT//4 att//SN//mark//13 myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//13 från//PP//case//9 det//DT|NEU|SIN|DEF//det//9 departement//NN|NEU|SIN|IND|NOM//nmod//6 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//12 är//VB|PRS|AKT//cop//12 underordnade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//9 får//VB|PRS|AKT//csubj//4 tydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 och//KN//cc//16 konsekventa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//14 riktlinjer//NN|UTR|PLU|IND|NOM//obj//13 ,//MID//punct//19 direktiv//NN|NEU|PLU|IND|NOM//conj//17 och//KN//cc//21 signaler//NN|UTR|PLU|IND|NOM//conj//17 fö//NN|AN//nmod//23 r//NN|NEU|SIN|IND|NOM//nummod//26 sitt//PS|NEU|SIN|DEF//nmod:poss//25 miljö//NN|UTR|SIN|IND|NOM//nmod//26 arbete//NN|NEU|SIN|IND|NOM//conj//17 och//KN//cc//30 att//SN//mark//30 resultaten//NN|NEU|PLU|DEF|NOM//nsubj//30 systematiskt//AB|POS//conj//13 fö//UO//amod//32 ljs//NN|NEU|PLU|IND|NOM//obj//13 upp//AB//compound:prt//13 ,//MID//punct//13 på//PP//case//37 samma//DT|UTR/NEU|SIN/PLU|IND//det//37 sätt//NN|NEU|SIN|IND|NOM//obl//13 som//KN//mark//39 ekonomin//NN|UTR|SIN|DEF|NOM//nsubj//40 gö//NN|NEU|SIN|IND|NOM//acl//37 r//PM|NOM//case//42 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//13 .//MAD//punct//4
En effektivare styrning av statsfö rvaltningens miljö arbete;Departementen//NN|NEU|PLU|DEF|NOM//nsubj//48 ska//VB|PRS|AKT//aux//48 vid//PP//case//47 behov//NN|NEU|SIN|IND|NOM//obl//48 reagera//VB|INF|AKT//parataxis//4 på//PP//case//53 det//DT|NEU|SIN|DEF//det//53 utfö//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//53 rda//MID//amod//53 miljö//NN|UTR|SIN|IND|NOM//obl//48 -arbetet//NN|NEU|SIN|DEF|NOM//obl//48 .//MAD//punct//48
En effektivare styrning av statsfö rvaltningens miljö arbete;Ett//DT|NEU|SIN|IND//det//2 aktivt//JJ|POS|NEU|SIN|IND|NOM//amod//2 ansvarstagande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//27 fö//NN|NEU|SIN|IND|NOM//case//5 r//UO//nummod//5 miljö//NN|UTR|SIN|IND|NOM//nmod//2 n//UO//nummod//8 fö//UO//amod//8 rutsätter//NN|UTR|PLU|IND|NOM//nmod//2 såväl//KN//advmod//10 kompetens//NN|UTR|SIN|IND|NOM//nmod//8 som//KN//cc//13 mö//NN|NEU|SIN|IND|NOM//amod//13 jlig-heter//NN|UTR|SIN|IND|NOM//conj//10 att//IE//mark//15 ta//VB|INF|AKT//acl//10 hand//NN|UTR|SIN|IND|NOM//compound:prt//15 om//PP//mark//21 de//DT|UTR/NEU|PLU|DEF//det//19 resultat//NN|NEU|PLU|IND|NOM//amod//20 myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//21 redovisar//VB|PRS|AKT//ccomp//15 .//MAD//punct//2
En effektivare styrning av statsfö rvaltningens miljö arbete;Denna//DT|UTR|SIN|DEF//det//24 kompetens//NN|UTR|SIN|IND|NOM//nmod:poss//25 bö//VB|INF|AKT//nmod//26 r//NN|NEU|SIN|IND|NOM//nsubj//27 växa//VB|INF|AKT//ROOT//27 fram//PL//compound:prt//27 successivt//AB|POS//advmod//27 och//KN//cc//32 i//PP//case//32 takt//NN|UTR|SIN|IND|NOM//obl//27 med//PP//case//35 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//35 utveckling//NN|UTR|SIN|IND|NOM//nmod//32 av//PP//case//37 den//PN|UTR|SIN|DEF|SUB/OBJ//nmod//35 och//KN//cc//50 med//PP//mark//50 att//SN//mark//50 bilden//NN|UTR|SIN|DEF|NOM//nsubj//50 av//PP//case//45 den//DT|UTR|SIN|DEF//det//45 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//45 miljö//NN|UTR|SIN|IND|NOM//nmod//41 påverkan//NN|UTR|SIN|IND|NOM//nmod//41 inom//PP//case//49 varje//DT|UTR/NEU|SIN|IND//det//49 departementsområde//NN|NEU|SIN|IND|NOM//nmod//46 växer//VB|PRS|AKT//conj//27 fram//PL//compound:prt//50 via//PP//case//54 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//54 miljö//NN|UTR|SIN|IND|NOM//nmod//55 utredningar//NN|UTR|PLU|IND|NOM//obj//50 .//MAD//punct//27
En effektivare styrning av statsfö rvaltningens miljö arbete;Varje//DT|UTR/NEU|SIN|IND//det//1 anställd//PC|PRF|UTR|SIN|IND|NOM//amod//5 och//KN//cc//3 nyanställd//PC|PRF|UTR|SIN|IND|NOM//conj//1 bö//UO//nmod//5 r//UO//obl//6 få//VB|INF|AKT//ROOT//6 utbildning//NN|UTR|SIN|IND|NOM//obj//6 om//PP//case//12 det//DT|NEU|SIN|DEF//det//12 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 departementsom-rådets//NN|NEU|SIN|DEF|GEN//amod//12 påverkan//NN|UTR|SIN|IND|NOM//nmod//7 på//PP//case//14 miljö//NN|UTR|SIN|IND|NOM//nmod//12 n//NN|NEU|SIN|IND|NOM//nummod//12 ,//MID//punct//6 det//DT|NEU|SIN|DEF//det//19 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//19 miljö//NN|UTR|SIN|IND|NOM//parataxis//6 ansvaret//NN|NEU|SIN|DEF|NOM//obj//6 och//KN//cc//22 ges//VB|PRS|SFO//conj//6 en//DT|UTR|SIN|IND//det//24 grund//NN|UTR|SIN|IND|NOM//obj//22 fö//NN|NEU|SIN|IND|NOM//nmod//26 r//UO//obl//22 att//IE//mark//29 ak-tivt//AB|POS//nsubj//29 ta//VB|INF|AKT//advcl//22 detta//DT|NEU|SIN|DEF//det//31 ansvar//NN|NEU|SIN|IND|NOM//obj//29 .//MAD//punct//6
