Sammanfattning;Den//DT|UTR|SIN|DEF//det//1 undersökning//NN|UTR|SIN|IND|NOM//nsubj//8 som//HP|-|-|-//nsubj//3 skett//VB|SUP|AKT//acl:relcl//1 vid//PP//case//5 Skattemyndigheten//PM|NOM//obl//3 i//PP//case//7 Växjöregionen//PM|NOM//nmod//5 leder//VB|PRS|AKT//ROOT//8 fram//PL//compound:prt//8 till//PP//mark//16 att//SN//mark//16 total//JJ|POS|UTR|SIN|IND|NOM//amod//13 resursåtgång//NN|UTR|SIN|IND|NOM//nsubj//16 för//PP//case//15 arbetsuppgifter//NN|UTR|PLU|IND|NOM//nmod//13 föranledda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//8 av//PP//case//18 förekomsten//NN|UTR|SIN|DEF|NOM//obl//16 av//PP//case//21 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 skattesatser//NN|UTR|PLU|IND|NOM//nmod//18 för//PP//case//23 moms//NN|UTR|SIN|IND|NOM//nmod//18 för//PP//case//25 Skatteverket//PM|NOM//nmod//23 i//PP//case//27 riket//NN|NEU|SIN|DEF|NOM//nmod//25 som//KN//nsubj:pass//31 helhet//NN|UTR|SIN|IND|NOM//nsubj:pass//31 kan//VB|PRS|AKT//aux//31 uppskattas//VB|INF|SFO//acl:relcl//18 till//PP//case//35 cirka//AB//advmod//34 130–150//RG|NOM//nummod//35 årsarbetskrafter//NN|UTR|PLU|IND|NOM//obl//31 .//MAD//punct//8
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Dessutom//AB//advmod//25 används//VB|PRS|SFO//parataxis//8 helt//AB|POS//advmod//27 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 metoder//NN|UTR|PLU|IND|NOM//nsubj:pass//25 för//PP//mark//31 att//IE//mark//31 beräkna//VB|INF|AKT//acl//28 de//DT|UTR/NEU|PLU|DEF//det//34 två//RG|NOM//nummod//34 kostnaderna//NN|UTR|PLU|DEF|NOM//obj//31 .//MAD//punct//25
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Fullgörandekostnaderna//NN|UTR|PLU|DEF|NOM//nsubj//37 omfattar//VB|PRS|AKT//parataxis//25 näringslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//41 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 faktiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 kostnad//NN|UTR|SIN|IND|NOM//obj//37 för//PP//mark//44 att//IE//mark//44 fullgöra//VB|INF|AKT//advcl//37 de//DT|UTR/NEU|PLU|DEF//det//46 skyldigheter//NN|UTR|PLU|IND|NOM//obj//44 som//HP|-|-|-//nsubj:pass//48 åläggs//VB|PRS|SFO//acl:relcl//46 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//48 .//MAD//punct//25
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Beräkningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//52 görs//VB|PRS|SFO//parataxis//25 genom//PP//mark//60 att//SN//mark//60 ett//DT|NEU|SIN|IND//det//57 representativt//JJ|POS|NEU|SIN|IND|NOM//amod//57 urval//NN|NEU|SIN|IND|NOM//nsubj//60 företag//NN|NEU|SIN|IND|NOM//nsubj//60 får//VB|PRS|AKT//aux//60 uppge//VB|INF|AKT//advcl//52 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//62 kostnader//NN|UTR|PLU|IND|NOM//obj//60 för//PP//mark//65 att//IE//mark//65 fullgöra//VB|INF|AKT//advcl//60 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//67 skyldigheter//NN|UTR|PLU|IND|NOM//obj//65 .//MAD//punct//25
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Den//DT|UTR|SIN|DEF//det//71 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//71 kostnaden//NN|UTR|SIN|DEF|NOM//nsubj//76 för//PP//case//75 den//DT|UTR|SIN|DEF//det//75 administrativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//75 bördan//NN|UTR|SIN|DEF|NOM//nmod//71 visar//VB|PRS|AKT//parataxis//25 istället//AB//case//79 en//DT|UTR|SIN|IND//det//79 modell//NN|UTR|SIN|IND|NOM//obl//76 ,//MID//punct//84 där//HA//advmod//84 alla//DT|UTR/NEU|PLU|IND/DEF//det//83 företag//NN|NEU|PLU|IND|NOM//nsubj:pass//84 antas//VB|PRS|SFO//acl:relcl//79 sköta//VB|INF|AKT//xcomp//84 sin//PS|UTR|SIN|DEF//nmod:poss//87 administration//NN|UTR|SIN|IND|NOM//obj//85 på//PP//case//91 ett//DT|NEU|SIN|IND//det//91 normaleffektivt//JJ|POS|NEU|SIN|IND|NOM//amod//91 sätt//NN|NEU|SIN|IND|NOM//obl//85 .//MAD//punct//25
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//94 förutsätts//VB|PRS|SFO//parataxis//25 också//AB//advmod//94 vara//VB|INF|AKT//aux:pass//98 fullt//AB|POS//advmod//98 insatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//94 i//PP//advmod//98 och//KN//cc//101 inkörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//98 på//PP//case//105 det//DT|NEU|SIN|DEF//det//105 aktuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//105 regelverket//NN|NEU|SIN|DEF|NOM//obl//101 .//MAD//punct//94
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Beräkningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//114 av//PP//case//109 kostnaderna//NN|UTR|PLU|DEF|NOM//nmod//107 för//PP//case//113 den//DT|UTR|SIN|DEF//det//113 administrativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//113 bördan//NN|UTR|SIN|DEF|NOM//nmod//109 görs//VB|PRS|SFO//conj//25 utifrån//PP//case//118 de//DT|UTR/NEU|PLU|DEF//det//118 specifika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//118 krav//NN|NEU|PLU|IND|NOM//obl//114 som//HP|-|-|-//nsubj:pass//122 i//PP//case//121 lagtexten//NN|UTR|SIN|DEF|NOM//obl//122 ställs//VB|PRS|SFO//acl:relcl//118 på//PP//case//124 företagen//NN|NEU|PLU|DEF|NOM//obl//122 .//MAD//punct//25
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Därefter//AB//advmod//127 uppskattas//VB|PRS|SFO//parataxis//25 vilken//HD|UTR|SIN|IND//det//129 kostnad//NN|UTR|SIN|IND|NOM//nsubj:pass//127 dessa//DT|UTR/NEU|PLU|DEF//det//131 krav//NN|NEU|PLU|IND|NOM//nsubj//132 medför//VB|PRS|AKT//conj//25 för//PP//case//136 ett//DT|NEU|SIN|IND//det//136 normaleffektivt//JJ|POS|NEU|SIN|IND|NOM//amod//136 företag//NN|NEU|SIN|IND|NOM//obl//132 .//MAD//punct//25
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//139 betyder//VB|PRS|AKT//parataxis//25 att//SN//mark//143 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//142 kostnader//NN|UTR|PLU|IND|NOM//nsubj:pass//143 medräknas//VB|PRS|SFO//ccomp//139 i//PP//case//145 fullgörandekostnaderna//NN|UTR|PLU|DEF|NOM//obl//143 men//KN//cc//149 inte//AB//advmod//149 i//PP//case//149 kostnaderna//NN|UTR|PLU|DEF|NOM//conj//143 för//PP//case//153 den//DT|UTR|SIN|DEF//det//153 administrativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//153 bördan//NN|UTR|SIN|DEF|NOM//nmod//149 .//MAD//punct//139
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Till//PP//case//157 viss//JJ|POS|UTR|SIN|IND|NOM//amod//157 del//NN|UTR|SIN|IND|NOM//obl//162 kan//VB|PRS|AKT//aux//162 även//AB//advmod//162 det//DT|NEU|SIN|DEF//det//161 omvända//PC|PRF|UTR/NEU|SIN|DEF|NOM//nsubj//162 förekomma//VB|INF|AKT//advcl//139 .//MAD//punct//25
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;De//DT|UTR/NEU|PLU|DEF//det//2 viktigaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//2 kostnaderna//NN|UTR|PLU|DEF|NOM//nsubj:pass//68 som//HP|-|-|-//nsubj//4 ingår//VB|PRS|AKT//acl:relcl//2 i//PP//case//6 fullgörandekostnaderna//NN|UTR|PLU|DEF|NOM//obl//4 men//KN//cc//14 inte//AB//advmod//14 i//PP//case//12 den//DT|UTR|SIN|DEF//det//12 administrativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 bördan//NN|UTR|SIN|DEF|NOM//obl//14 är//VB|PRS|AKT//cop//14 merkostnader//NN|UTR|PLU|IND|NOM//conj//2 som//HP|-|-|-//nsubj//16 uppstår//VB|PRS|AKT//acl:relcl//14 i//PP//case//18 företag//NN|NEU|PLU|IND|NOM//obl//16 som//HP|-|-|-//nsubj//21 inte//AB//advmod//21 sköter//VB|PRS|AKT//acl:relcl//18 sin//PS|UTR|SIN|DEF//nmod:poss//23 administration//NN|UTR|SIN|IND|NOM//obj//21 på//PP//case//28 ett//DT|NEU|SIN|IND//det//28 helt//AB|POS//advmod//27 effektivt//JJ|POS|NEU|SIN|IND|NOM//amod//28 sätt//NN|NEU|SIN|IND|NOM//obl//21 och//KN//cc//30 kostnader//NN|UTR|PLU|IND|NOM//conj//18 företagen//NN|NEU|PLU|DEF|NOM//nsubj//32 har//VB|PRS|AKT//acl:relcl//30 för//PP//mark//35 att//IE//mark//35 sätta//VB|INF|AKT//advcl//32 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//35 in//PL//compound:prt//35 i//PP//case//40 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 regler//NN|UTR|PLU|IND|NOM//obl//35 .//MAD//punct//2
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Det//DT|NEU|SIN|DEF//expl//44 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//44 gäller//VB|PRS|AKT//parataxis//2 företag//NN|NEU|PLU|IND|NOM//obj//44 som//HP|-|-|-//nsubj:pass//47 ställs//VB|PRS|SFO//acl:relcl//45 inför//PP//case//50 ny//JJ|POS|UTR|SIN|IND|NOM//amod//50 lagstiftning//NN|UTR|SIN|IND|NOM//obl//47 ,//MID//punct//44 t.ex.//AB|AN//advmod//55 som//KN//case//55 en//DT|UTR|SIN|IND//det//55 följd//NN|UTR|SIN|IND|NOM//appos//44 av//PP//case//58 en//DT|UTR|SIN|IND//det//58 lagändring//NN|UTR|SIN|IND|NOM//nmod//55 eller//KN//cc//63 att//SN//mark//63 företaget//NN|NEU|SIN|DEF|NOM//nsubj//63 är//VB|PRS|AKT//cop//63 nystartat//JJ|POS|NEU|SIN|IND|NOM//conj//44 .//MID//punct//44
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//68 kan//VB|PRS|AKT//aux//68 även//AB//advmod//68 tänkas//VB|INF|SFO//ROOT//68 att//SN//mark//72 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 kostnader//NN|UTR|PLU|IND|NOM//nsubj//72 ingår//VB|PRS|AKT//dep//68 i//PP//case//76 den//DT|UTR|SIN|DEF//det//76 administrativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//76 bördan//NN|UTR|SIN|DEF|NOM//obl//72 men//KN//cc//80 inte//AB//advmod//80 i//PP//case//80 fullgörandekostnaderna//NN|UTR|PLU|DEF|NOM//conj//76 .//MAD//punct//68
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//85 skulle//VB|PRT|AKT//aux//85 kunna//VB|INF|AKT//aux//85 gälla//VB|INF|AKT//parataxis//68 om//PP//case//88 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//88 lagkrav//NN|NEU|PLU|IND|NOM//nsubj:pass//92 i//PP//case//90 praktiken//NN|UTR|SIN|DEF|NOM//nmod//88 inte//AB//advmod//92 följs//VB|PRS|SFO//advcl//85 av//PP//case//95 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//95 företag//NN|NEU|PLU|IND|NOM//obl:agent//92 .//MAD//punct//85
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Dessa//DT|UTR/NEU|PLU|DEF//det//1 olikheter//NN|UTR|PLU|IND|NOM//nsubj//7 kan//VB|PRS|AKT//aux//7 självfallet//AB|POS//nsubj//7 på//PP//case//6 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 sätt//NN|NEU|PLU|IND|NOM//obl//7 förklara//VB|INF|AKT//ROOT//7 skillnaden//NN|UTR|SIN|DEF|NOM//obj//7 mellan//PP//case//11 den//DT|UTR|SIN|DEF//det//11 uppskattning//NN|UTR|SIN|IND|NOM//nmod//8 som//HP|-|-|-//nsubj:pass//13 gjorts//VB|SUP|SFO//acl:relcl//11 med//PP//case//17 hjälp//NN|UTR|SIN|IND|NOM//fixed//14 av//PP//fixed//14 Skatteverket//PM|NOM//obl//13 i//PP//case//19 Växjö//PM|NOM//nmod//17 och//KN//cc//24 Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//23 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 avdelnings//NN|UTR|SIN|IND|GEN//nmod//24 planeringsenhet//NN|UTR|SIN|IND|NOM//conj//17 (//PAD//punct//27 656//RG|NOM//nummod//27 mnkr//NN|NEU|PLU|IND|NOM//appos//24 )//PAD//punct//7 och//KN//cc//42 den//DT|UTR|SIN|DEF//det//31 undersökning//NN|UTR|SIN|IND|NOM//nsubj//42 som//HP|-|-|-//nsubj:pass//33 utförts//VB|SUP|SFO//acl:relcl//31 genom//PP//case//35 Nutek//PM|NOM//obl//33 (//PAD//punct//38 570//RG|NOM//nummod//38 mnkr//NN|NEU|PLU|IND|NOM//appos//35 )//PAD//punct//38 .//MAD//punct//31
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//42 anser//VB|PRS|AKT//conj//7 dock//AB//advmod//42 såsom//HA//mark//45 angetts//VB|SUP|SFO//xcomp//42 att//SN//mark//50 man//PN|UTR|SIN|IND|SUB//nsubj//50 snarare//AB|KOM//advmod//50 bör//VB|PRS|AKT//aux//50 vända//VB|INF|AKT//ccomp//45 på//PP//case//52 resonemanget//NN|NEU|SIN|DEF|NOM//obl//50 .//MID//punct//7
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//57 måste//VB|PRS|AKT//aux//57 vara//VB|INF|AKT//cop//57 överraskande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//7 att//SN//mark//65 man//PN|UTR|SIN|IND|SUB//nsubj//65 med//PP//case//64 två//RG|NOM//nummod//64 helt//AB|POS//advmod//63 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 metoder//NN|UTR|PLU|IND|NOM//obl//65 kommer//VB|PRS|AKT//csubj//57 så//AB//advmod//67 nära//AB|POS//case//68 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obl//69 beloppsmässigt//AB|POS//obj//65 som//HA//obj//73 man//PN|UTR|SIN|IND|SUB//nsubj//73 ändå//AB//advmod//73 gjort//VB|SUP|AKT//acl:relcl//69 .//MAD//punct//57
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 kostnader//NN|UTR|PLU|IND|NOM//ROOT//1 som//HP|-|-|-//nsubj:pass//4 inte//AB//advmod//4 tagits//VB|SUP|SFO//acl:relcl//1 med//PL//compound:prt//4 i//PP//case//7 undersökningarna//NN|UTR|PLU|DEF|NOM//obl//4 men//KN//cc//11 som//HP|-|-|-//nsubj//11 ändå//AB//advmod//11 uppstår//VB|PRS|AKT//conj//1 när//HA//mark//14 man//PN|UTR|SIN|IND|SUB//nsubj//14 förändrar//VB|PRS|AKT//advcl//11 ett//DT|NEU|SIN|IND//det//16 skattesatssystem//NN|NEU|SIN|IND|NOM//obj//14 ,//MID//punct//16 t.ex.//AB|AN//advmod//36 när//HA//mark//36 man//PN|UTR|SIN|IND|SUB//nsubj:pass//36 inför//PP//case//23 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 skattesatser//NN|UTR|PLU|IND|NOM//nmod//20 ,//MID//punct//36 är//VB|PRS|AKT//aux//36 att//SN//mark//35 bland//PP//case//29 annat//PN|NEU|SIN|IND|SUB/OBJ//amod//29 system//NN|NEU|SIN|IND|NOM//obl//35 och//KN//cc//31 blanketter//NN|UTR|PLU|IND|NOM//conj//29 hos//PP//case//33 myndigheter//NN|UTR|PLU|IND|NOM//nmod//31 kan//VB|PRS|AKT//aux//35 behöva//VB|INF|AKT//aux:pass//36 förändras//VB|INF|SFO//acl:relcl//16 .//MAD//punct//1
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Den//DT|UTR|SIN|DEF//det//2 sammanfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 bedömningen//NN|UTR|SIN|DEF|NOM//nsubj//40 är//VB|PRS|AKT//cop//2 att//SN//mark//6 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//6 visats//VB|SUP|SFO//csubj//2 att//SN//mark//12 tillämpningen//NN|UTR|SIN|DEF|NOM//nsubj//12 av//PP//case//11 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 skattesatser//NN|UTR|PLU|IND|NOM//nmod//8 belastar//VB|PRS|AKT//csubj//6 både//KN//cc//14 administrationen//NN|UTR|SIN|DEF|NOM//obj//12 och//KN//cc//16 företagen//NN|NEU|PLU|DEF|NOM//conj//14 på//PP//case//20 ett//DT|NEU|SIN|IND//det//20 negativt//JJ|POS|NEU|SIN|IND|NOM//amod//20 sätt//NN|NEU|SIN|IND|NOM//nmod//16 .//MAD//punct//2
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Vid//PP//case//23 införande//NN|NEU|SIN|IND|NOM//obl//40 av//PP//case//27 en//DT|UTR|SIN|IND//det//27 enhetlig//JJ|POS|UTR|SIN|IND|NOM//amod//27 skattesats//NN|UTR|SIN|IND|NOM//nmod//23 skulle//VB|PRT|AKT//aux//40 de//DT|UTR/NEU|PLU|DEF//det//31 administrativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 problem//NN|NEU|PLU|IND|NOM//nsubj//40 och//KN//cc//33 fullgörandekostnader//NN|UTR|PLU|IND|NOM//conj//31 som//HP|-|-|-//nsubj//35 beror//VB|PRS|AKT//acl:relcl//33 på//PP//case//39 de//DT|UTR/NEU|PLU|DEF//det//39 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//39 skattesatserna//NN|UTR|PLU|DEF|NOM//obl//35 försvinna//VB|INF|AKT//ROOT//40 .//MAD//punct//40
9.3 Sammanfattning och bedömning / Uppskattning av storleksordningen;Om//SN//mark//44 målsättningen//NN|UTR|SIN|DEF|NOM//nsubj//44 är//VB|PRS|AKT//advcl//49 att//IE//mark//46 minska//VB|INF|AKT//ccomp//44 dessa//DT|UTR/NEU|PLU|DEF//det//48 kostnader//NN|UTR|PLU|IND|NOM//obj//46 talar//VB|PRS|AKT//ccomp//40 detta//DT|NEU|SIN|DEF//det//51 avsnitt//NN|NEU|SIN|IND|NOM//obj//49 för//PP//mark//57 att//SN//mark//57 en//DT|UTR|SIN|IND//det//56 enhetlig//JJ|POS|UTR|SIN|IND|NOM//amod//56 skattesats//NN|UTR|SIN|IND|NOM//nsubj:pass//57 införs//VB|PRS|SFO//advcl//49 .//MAD//punct//40


10.1 Inledning;Enligt//PP//case//2 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 direktiv//NN|NEU|PLU|IND|NOM//obl//6 skall//VB|PRS|AKT//aux//6 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 konkurrensfrågor//NN|UTR|PLU|IND|NOM//nsubj:pass//6 beaktas//VB|PRS|SFO//ROOT//6 vid//PP//case//9 en//DT|UTR|SIN|IND//det//9 bedömning//NN|UTR|SIN|IND|NOM//obl//6 av//PP//case//11 skattesatsstrukturen//NN|UTR|SIN|DEF|NOM//nmod//9 .//MAD//punct//6
10.1 Inledning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//14 påpekas//VB|PRS|SFO//parataxis//6 att//SN//mark//33 handeln//NN|UTR|SIN|DEF|NOM//nsubj//33 med//PP//case//18 varor//NN|UTR|PLU|IND|NOM//nmod//16 och//KN//cc//20 tjänster//NN|UTR|PLU|IND|NOM//conj//18 över//PP//case//22 gränserna//NN|UTR|PLU|DEF|NOM//nmod//20 ,//MID//punct//27 och//KN//cc//27 särskilt//AB//advmod//26 Sveriges//PM|GEN//nmod:poss//27 deltagande//NN|NEU|SIN|IND|NOM//conj//16 i//PP//case//31 den//DT|UTR|SIN|DEF//det//31 inre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 marknaden//NN|UTR|SIN|DEF|NOM//nmod//27 ,//MID//punct//27 innebär//VB|PRS|AKT//ccomp//14 att//SN//mark//40 valet//NN|NEU|SIN|DEF|NOM//nsubj//40 av//PP//case//37 skattesatser//NN|UTR|PLU|IND|NOM//nmod//35 inte//AB//advmod//40 kan//VB|PRS|AKT//aux//40 ske//VB|INF|AKT//ccomp//33 utan//PP//case//42 beaktande//NN|NEU|SIN|IND|NOM//obl//40 av//PP//case//44 skattenivåerna//NN|UTR|PLU|DEF|NOM//nmod//42 i//PP//case//47 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 länder//NN|NEU|PLU|IND|NOM//nmod//44 med//PP//mark//51 vilka//HP|UTR/NEU|PLU|IND//det//50 Sverige//PM|NOM//nsubj//51 bedriver//VB|PRS|AKT//acl//47 handel//NN|UTR|SIN|IND|NOM//obj//51 .//MAD//punct//6
10.1 Inledning;Av//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//2 framgår//VB|PRS|AKT//ROOT//2 vidare//AB|KOM//advmod//2 att//SN//mark//7 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//7 skall//VB|PRS|AKT//aux//7 beakta//VB|INF|AKT//csubj//2 de//DT|UTR/NEU|PLU|DEF//det//9 förslag//NN|NEU|PLU|IND|NOM//obj//7 och//KN//cc//11 bedömningar//NN|UTR|PLU|IND|NOM//conj//9 som//KN//mark//13 Skattebasutredningen//NN|UTR|SIN|DEF|NOM//nsubj//18 (//PAD//punct//13 Fi//PM|NOM//appos//13 2000:05//RG|NOM//nummod//15 )//PAD//punct//13 lägger//VB|PRS|AKT//conj//7 fram//PL//compound:prt//18 .//MAD//punct//2
10.1 Inledning;Den//DT|UTR|SIN|DEF//det//22 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//41 ,//MID//punct//22 som//HP|-|-|-//nsubj//25 haft//VB|SUP|AKT//acl:relcl//22 i//PP//case//27 uppdrag//NN|NEU|SIN|IND|NOM//obj//25 att//IE//mark//29 utreda//VB|INF|AKT//advcl//25 internationaliseringens//NN|UTR|SIN|DEF|GEN//nmod:poss//31 betydelse//NN|UTR|SIN|IND|NOM//obj//29 för//PP//case//34 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 skattebaser//NN|UTR|PLU|IND|NOM//obl//29 och//KN//cc//37 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 skattestruktur//NN|UTR|SIN|IND|NOM//conj//34 ,//MID//punct//22 har//VB|PRS|AKT//aux//41 numera//AB//advmod//41 lämnat//VB|SUP|AKT//parataxis//2 betänkandet//NN|NEU|SIN|DEF|NOM//obj//41 Våra//PS|UTR/NEU|PLU|DEF//nmod:poss//44 skatter//NN|UTR|PLU|IND|NOM//obj//41 ?//MID//punct//2 ,//MID//punct//47
10.1 Inledning;SOU//PM|NOM//dep//2 2002:47//RG|NOM//nummod//47 .//MAD//punct//47
10.1 Inledning;I//PP//case//51 betänkandet//NN|NEU|SIN|DEF|NOM//obl//52 redovisas//VB|PRS|SFO//conj//2 bedömningar//NN|UTR|PLU|IND|NOM//nsubj:pass//52 även//AB//advmod//52 vad//HP|NEU|SIN|IND//nsubj:pass//52 gäller//VB|PRS|AKT//conj//52 mervärdesskattesatsstrukturen//NN|UTR|SIN|DEF|NOM//obj//56 .//MAD//punct//2
10.1 Inledning;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//6 skall//VB|PRS|AKT//aux//6 en//DT|UTR|SIN|IND//det//5 analys//NN|UTR|SIN|IND|NOM//nsubj:pass//6 göras//VB|INF|SFO//ROOT//6 av//PP//case//9 vilken//HD|UTR|SIN|IND//det//9 betydelse//NN|UTR|SIN|IND|NOM//obl:agent//6 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 aspekter//NN|UTR|PLU|IND|NOM//nsubj//12 har//VB|PRS|AKT//acl:relcl//9 för//PP//case//14 utformningen//NN|UTR|SIN|DEF|NOM//obl//12 av//PP//case//18 en//DT|UTR|SIN|IND//det//18 lämplig//JJ|POS|UTR|SIN|IND|NOM//amod//18 struktur//NN|UTR|SIN|IND|NOM//nmod//14 för//PP//case//20 mervärdesskattesatserna//NN|UTR|PLU|DEF|NOM//nmod//18 .//MAD//punct//6
10.1 Inledning;Aspekter//NN|UTR|PLU|IND|NOM//nsubj//85 som//HP|-|-|-//nsubj:pass//25 skall//VB|PRS|AKT//aux//25 diskuteras//VB|INF|SFO//acl:relcl//22 är//VB|PRS|AKT//cop//28 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 gränshandelsfrågor//NN|UTR|PLU|IND|NOM//xcomp//25 i//PP//case//32 en//DT|UTR|SIN|IND//fixed//29 vid//JJ|POS|UTR|SIN|IND|NOM//case//32 betydelse//NN|UTR|SIN|IND|NOM//nmod//28 ,//MID//punct//36 inkluderande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//36 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 former//NN|UTR|PLU|IND|NOM//conj//32 för//PP//case//39 gränsöverskridande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 handel//NN|UTR|SIN|IND|NOM//nmod//36 med//PP//case//42 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 varor//NN|UTR|PLU|IND|NOM//nmod//39 och//KN//cc//44 tjänster//NN|UTR|PLU|IND|NOM//conj//42 .//MAD//punct//22
