5 EG-rätten ;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//12 ://MID//punct//1
5.5 Sammanfattande bedömning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//164 är//VB|PRS|AKT//cop//164 alltså//AB//advmod//164 fråga//NN|UTR|SIN|IND|NOM//parataxis//140 om//PP//case//168 en//DT|UTR|SIN|IND//det//168 generell//JJ|POS|UTR|SIN|IND|NOM//amod//168 princip//NN|UTR|SIN|IND|NOM//obl//164 och//KN//cc//175 inte//AB//advmod//175 heller//AB//advmod//175 i//PP//case//174 detta//DT|NEU|SIN|DEF//det//174 avseende//NN|NEU|SIN|IND|NOM//obl//175 sker//VB|PRS|AKT//conj//164 någon//DT|UTR|SIN|IND//det//177 diskriminering//NN|UTR|SIN|IND|NOM//nsubj//175 .//MAD//punct//164
5.5 Sammanfattande bedömning;Gemensamt//AB|POS//advmod//181 för//PP//case//181 systemen//NN|NEU|PLU|DEF|NOM//appos//164 är//VB|PRS|AKT//cop//164 vidare//AB|KOM//advmod//164 att//SN//mark//190 de//DT|UTR/NEU|PLU|DEF//det//189 exklusiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//189 eller//KN//cc//188 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//186 rättigheterna//NN|UTR|PLU|DEF|NOM//nsubj//190 har//VB|PRS|AKT//csubj//164 samma//DT|UTR/NEU|SIN/PLU|IND//det//192 syfte//NN|NEU|SIN|IND|NOM//obj//190 ,//MID//punct//164 dvs.//AB|AN//advmod//196 att//IE//mark//196 värna//VB|INF|AKT//advcl//164 om//PP//case//198 konsumentskyddet//NN|NEU|SIN|DEF|NOM//obl//196 och//KN//cc//200 skyddet//NN|NEU|SIN|DEF|NOM//conj//198 för//PP//case//202 ordningen//NN|UTR|SIN|DEF|NOM//nmod//200 i//PP//case//204 samhället//NN|NEU|SIN|DEF|NOM//nmod//202 .//MID//punct//164
5.5 Sammanfattande bedömning;Som//HA//mark//208 tidigare//AB|KOM//advmod//208 nämnts//VB|SUP|SFO//advcl//209 har//VB|PRS|AKT//parataxis//164 de//DT|UTR/NEU|PLU|DEF//det//212 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//212 myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//209 ett//DT|NEU|SIN|IND//det//214 ”//PAD//nmod//216 tillräckligt//JJ|POS|NEU|SIN|IND|NOM//amod//216 utrymme//NN|NEU|SIN|IND|NOM//obj//209 för//PP//case//219 skönsmässiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//219 bedömningar//NN|UTR|PLU|IND|NOM//nmod//216 ”//RG|NOM//punct//164 när//HA//mark//225 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//221 gäller//VB|PRS|AKT//fixed//221 att//IE//mark//225 avgöra//VB|INF|AKT//advcl//164 hur//HA//advmod//227 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//228 skydd//NN|NEU|SIN|IND|NOM//obj//225 som//HP|-|-|-//nsubj:pass//231 skall//VB|PRS|AKT//aux//231 säkerställas//VB|INF|SFO//acl:relcl//228 .//MAD//punct//164
5.5 Sammanfattande bedömning;Mot//PP//case//235 denna//DT|UTR|SIN|DEF//det//235 bakgrund//NN|UTR|SIN|IND|NOM//obl//242 bör//VB|PRS|AKT//aux//242 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//242 enligt//PP//case//240 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//240 mening//NN|UTR|SIN|IND|NOM//obl//242 inte//AB//advmod//242 finnas//VB|INF|SFO//conj//164 något//DT|NEU|SIN|IND//det//244 hinder//NN|NEU|SIN|IND|NOM//nsubj//242 mot//PP//mark//256 att//SN//mark//256 man//PN|UTR|SIN|IND|SUB//nsubj//256 i//PP//case//253 fråga//NN|UTR|SIN|IND|NOM//fixed//248 om//PP//fixed//248 de//DT|UTR/NEU|PLU|DEF//det//253 ideella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//253 organ//NN|NEU|PLU|IND|NOM//obl//256 som//HP|-|-|-//nsubj:pass//255 tillåts//VB|PRS|SFO//acl:relcl//253 hantera//VB|INF|AKT//acl//244 verksamheten//NN|UTR|SIN|DEF|NOM//obj//256 väljer//VB|PRS|AKT//advcl//242 ut//PL//compound:prt//258 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//261 organ//NN|NEU|PLU|IND|NOM//obj//258 på//PP//case//264 det//DT|NEU|SIN|DEF//det//264 sätt//NN|NEU|SIN|IND|NOM//obl//258 som//HP|-|-|-//nsubj//266 skett//VB|SUP|AKT//acl:relcl//264 i//PP//case//268 lotterilagen//NN|UTR|SIN|DEF|NOM//obl//266 (//PAD//punct//164 jfr//VB|AN//parataxis//164 även//AB//advmod//270 artikel//NN|UTR|SIN|IND|NOM//nmod//273 46//RG|NOM//obj//270 ,//MID//punct//273 f.d.//JJ|AN//conj//164 56//RG|NOM//obj//275 )//PAD//punct//164 .//MAD//punct//164
5.5 Sammanfattande bedömning;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//280 slutsats//NN|UTR|SIN|IND|NOM//parataxis//164 är//VB|PRS|AKT//cop//164 alltså//AB//advmod//164 att//SN//mark//296 lotterilagens//NN|UTR|SIN|DEF|GEN//nmod:poss//285 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//296 ,//MID//punct//285 som//HP|-|-|-//nsubj//288 ger//VB|PRS|AKT//acl:relcl//285 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//291 ideella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//291 föreningar//NN|UTR|PLU|IND|NOM//obj//288 exklusiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//293 rättigheter//NN|UTR|PLU|IND|NOM//obj//288 ,//MID//punct//296 är//VB|PRS|AKT//cop//296 förenliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//csubj//164 med//PP//case//298 EG-rätten//NN|UTR|SIN|DEF|NOM//obl//296 .//MAD//punct//164
5.5 Sammanfattande bedömning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//301 finns//VB|PRS|SFO//parataxis//164 anledning//NN|UTR|SIN|IND|NOM//nsubj//301 att//IE//mark//304 påpeka//VB|INF|AKT//advcl//301 att//SN//mark//310 en//DT|UTR|SIN|IND//det//308 motsatt//PC|PRF|UTR|SIN|IND|NOM//amod//308 ståndpunkt//NN|UTR|SIN|IND|NOM//nsubj//310 skulle//VB|PRT|AKT//aux//310 innebära//VB|INF|AKT//ccomp//304 att//SN//mark//314 inte//AB//advmod//314 bara//AB//advmod//314 kommersiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ccomp//310 utan//KN//cc//321 också//AB//advmod//318 ideella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//318 intressen//NN|NEU|PLU|IND|NOM//nsubj:pass//321 generellt//AB|POS//advmod//321 skall//VB|PRS|AKT//aux//321 likabehandlas//VB|INF|SFO//conj//314 inom//PP//case//323 unionen//NN|UTR|SIN|DEF|NOM//obl//321 .//MAD//punct//164
5.5 Sammanfattande bedömning;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//329 kan//VB|PRS|AKT//aux//329 enligt//PP//case//328 utredningen//NN|UTR|SIN|DEF|NOM//obl//329 ifrågasättas//VB|INF|SFO//parataxis//164 om//SN//mark//334 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//334 verkligen//AB//advmod//334 är//VB|PRS|AKT//cop//334 avsikten//NN|UTR|SIN|DEF|NOM//advcl//329 med//PP//case//336 fördraget//NN|NEU|SIN|DEF|NOM//nmod//334 .//MID//punct//164
5.5 Sammanfattande bedömning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//343 är//VB|PRS|AKT//cop//343 i//PP//advmod//343 vart//DT|NEU|SIN|IND//advmod//343 fall//NN|NEU|SIN|IND|NOM//fixed//341 tydligt//JJ|POS|NEU|SIN|IND|NOM//conj//164 att//SN//mark//348 detta//DT|NEU|SIN|DEF//det//346 krav//NN|NEU|SIN|IND|NOM//nsubj:pass//348 inte//AB//advmod//348 uppställts//VB|SUP|SFO//csubj//343 i//PP//case//350 Zenatti-målet//NN|NEU|SIN|DEF|NOM//obl//348 med//PP//case//356 avseende//NN|NEU|SIN|IND|NOM//fixed//351 på//PP//fixed//351 det//DT|NEU|SIN|DEF//det//356 italienska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//356 systemet//NN|NEU|SIN|DEF|NOM//obl//348 för//PP//case//358 vadhållning//NN|UTR|SIN|IND|NOM//nmod//356 .//MAD//punct//164
5.5 Sammanfattande bedömning;När//HA//mark//3 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 sedan//AB//advmod//3 gäller//VB|PRS|AKT//advcl//20 förbudet//NN|NEU|SIN|DEF|NOM//obj//3 i//PP//case//7 38//RG|NOM//nummod//7 §//NN|AN//nmod//4 att//IE//mark//9 främja//VB|INF|AKT//acl//7 deltagande//NN|NEU|SIN|IND|NOM//obj//9 i//PP//case//16 ett//RG|NEU|SIN|IND|NOM//det//16 utom//PP//case//14 landet//NN|NEU|SIN|DEF|NOM//obl//15 anordnat//PC|PRF|NEU|SIN|IND|NOM//amod//16 lotteri//NN|NEU|SIN|IND|NOM//obl//9 kan//VB|PRS|AKT//aux//20 till//PP//mark//20 att//IE//mark//20 börja//VB|INF|AKT//advcl//22 med//PP//compound:prt//20 konstateras//VB|INF|SFO//ROOT//22 att//SN//mark//28 ett//DT|NEU|SIN|IND//det//26 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//26 förbud//NN|NEU|SIN|IND|NOM//nsubj//28 är//VB|PRS|AKT//cop//28 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//dep//22 om//SN//mark//31 inte//AB//advmod//31 förbudet//NN|NEU|SIN|DEF|NOM//csubj//28 att//IE//mark//33 anordna//VB|INF|AKT//acl//31 spel//NN|NEU|SIN|IND|NOM//obj//33 utan//PP//case//36 tillstånd//NN|NEU|SIN|IND|NOM//obl//33 skall//VB|PRS|AKT//aux//38 bli//VB|INF|AKT//conj//22 illusoriskt//JJ|POS|NEU|SIN|IND|NOM//xcomp//38 .//MAD//punct//22
5.5 Sammanfattande bedömning;Förbudet//NN|NEU|SIN|DEF|NOM//nsubj//49 mot//PP//case//44 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//44 främjande//NN|NEU|SIN|IND|NOM//nmod//41 är//VB|PRS|AKT//cop//49 med//PP//case//48 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 ord//NN|NEU|PLU|IND|NOM//obl//49 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//parataxis//22 för//PP//mark//52 att//IE//mark//52 upprätthålla//VB|INF|AKT//advcl//49 den//DT|UTR|SIN|DEF//det//55 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//55 ordningen//NN|UTR|SIN|DEF|NOM//obj//52 som//HP|-|-|-//nsubj//57 ger//VB|PRS|AKT//acl:relcl//55 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 organ//NN|NEU|PLU|IND|NOM//obj//57 en//DT|UTR|SIN|IND//det//62 exklusiv//JJ|POS|UTR|SIN|IND|NOM//amod//62 rätt//NN|UTR|SIN|IND|NOM//obj//57 att//IE//mark//64 anordna//VB|INF|AKT//acl//62 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 lotterier//NN|NEU|PLU|IND|NOM//obj//64 .//MAD//punct//49
5.5 Sammanfattande bedömning;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//69 innebär//VB|PRS|AKT//parataxis//49 också//AB//advmod//69 att//SN//mark//81 ,//MID//punct//81 om//SN//case//75 denna//DT|UTR|SIN|DEF//det//75 ordning//NN|UTR|SIN|IND|NOM//nsubj:pass//81 för//PP//case//77 anordnande//NN|NEU|SIN|IND|NOM//nmod//75 av//PP//case//79 spel//NN|NEU|SIN|IND|NOM//nmod//77 kan//VB|PRS|AKT//aux//81 godtas//VB|INF|SFO//ccomp//69 från//PP//case//84 EG-rättslig//JJ|POS|UTR|SIN|IND|NOM//amod//84 synpunkt//NN|UTR|SIN|IND|NOM//obl//81 ,//MID//punct//69 man//PN|UTR|SIN|IND|SUB//nsubj//90 rimligen//AB//advmod//90 också//AB//advmod//90 måste//VB|PRS|AKT//aux//90 godta//VB|INF|AKT//conj//69 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//92 regler//NN|UTR|PLU|IND|NOM//obj//90 med//PP//case//96 avseende//NN|NEU|SIN|IND|NOM//fixed//93 på//PP//fixed//93 främjande//NN|NEU|SIN|IND|NOM//obl//90 .//MAD//punct//49
5.5 Sammanfattande bedömning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//99 finner//VB|PRS|AKT//parataxis//49 på//PP//mark//108 grund//NN|UTR|SIN|IND|NOM//fixed//100 av//PP//fixed//100 det//DT|NEU|SIN|DEF//fixed//100 anförda//PC|PRF|UTR/NEU|SIN|DEF|NOM//fixed//100 inte//AB//fixed//100 skäl//NN|NEU|PLU|IND|NOM//fixed//100 att//IE//mark//108 föreslå//VB|INF|AKT//advcl//99 ändring//NN|UTR|SIN|IND|NOM//obj//108 av//PP//case//112 38//RG|NOM//nummod//112 §//NN|AN//nmod//109 .//MAD//punct//49

6 Teknisk utveckling;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//6 ://MID//punct//1
6 Teknisk utveckling; //_SP////2 En//DT|UTR|SIN|IND//det//5 verksamhet//NN|UTR|SIN|IND|NOM//appos//1 förlorar//VB|PRS|AKT//advcl//26 inte//AB//advmod//6 sin//PS|UTR|SIN|DEF//nmod:poss//9 karaktär//NN|UTR|SIN|IND|NOM//obj//6 av//PP//case//11 lotteri//NN|NEU|SIN|IND|NOM//nmod//9 på//PP//mark//17 grund//NN|UTR|SIN|IND|NOM//fixed//12 av//PP//fixed//12 att//SN//mark//17 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//17 anordnas//VB|PRS|SFO//advcl//6 via//PP//case//19 Internet//NN|NEU|SIN|DEF|NOM//obl//17 eller//KN//cc//21 TV//NN|UTR|SIN|IND|NOM//conj//19 .//MAD//punct//6
6 Teknisk utveckling;Däremot//AB//advmod//6 är//VB|PRS|AKT//cop//26 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//26 oklart//JJ|POS|NEU|SIN|IND|NOM//ROOT//26 i//PP//case//28 vad//HP|NEU|SIN|IND//obl//26 mån//NN|UTR|SIN|IND|NOM//fixed//28 lotterier//NN|UTR|PLU|IND|NOM//nsubj:pass//34 kan//VB|PRS|AKT//aux//34 komma//VB|INF|AKT//aux//34 att//IE//mark//34 hänföras//VB|INF|SFO//acl:relcl//28 till//PP//case//38 en//DT|UTR|SIN|IND//det//38 annan//JJ|POS|UTR|SIN|IND|NOM//amod//38 lotterikategori//NN|UTR|SIN|IND|NOM//obl//34 om//SN//mark//41 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//41 anordnas//VB|PRS|SFO//advcl//34 via//PP//case//43 Internet//NN|NEU|SIN|DEF|NOM//obl//41 eller//KN//cc//45 TV//NN|UTR|SIN|IND|NOM//conj//43 i//PP//advmod//43 stället//NN|NEU|SIN|DEF|NOM//fixed//46 för//PP//fixed//46 på//PP//case//51 vanligt//JJ|POS|NEU|SIN|IND|NOM//amod//51 sätt//NN|NEU|SIN|IND|NOM//obl//41 .//MAD//punct//26
6 Teknisk utveckling;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//54 föreslår//VB|PRS|AKT//parataxis//26 att//SN//mark//57 regelverket//NN|NEU|SIN|DEF|NOM//nsubj:pass//57 anpassas//VB|PRS|SFO//ccomp//54 till//PP//case//61 den//DT|UTR|SIN|DEF//det//61 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//61 tekniken//NN|UTR|SIN|DEF|NOM//obl//57 genom//PP//case//64 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 särregler//NN|UTR|PLU|IND|NOM//obl//57 för//PP//case//66 lotterier//NN|UTR|PLU|IND|NOM//obl//57 som//HP|-|-|-//nsubj:pass//68 anordnas//VB|PRS|SFO//acl:relcl//66 i//PP//case//72 samband//NN|NEU|SIN|IND|NOM//fixed//69 med//PP//case//72 sändning//NN|UTR|SIN|IND|NOM//obl//68 i//PP//case//74 radio//NN|UTR|SIN|IND|NOM//nmod//72 eller//KN//cc//76 TV//NN|UTR|SIN|IND|NOM//conj//74 eller//KN//cc//80 som//HP|-|-|-//nsubj:pass//80 annars//AB//advmod//80 förmedlas//VB|PRS|SFO//conj//57 med//PP//case//85 hjälp//NN|UTR|SIN|IND|NOM//fixed//81 av//PP//fixed//81 elektromagnetiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//85 vågor//NN|UTR|PLU|IND|NOM//obl//80 .//MAD//punct//26
6 Teknisk utveckling;Den//DT|UTR|SIN|DEF//det//89 närmare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//89 regleringen//NN|UTR|SIN|DEF|NOM//nsubj//96 av//PP//case//92 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//92 lotterier//NN|NEU|PLU|IND|NOM//nmod//89 skall//VB|PRS|AKT//aux//96 enligt//PP//case//95 förslaget//NN|NEU|SIN|DEF|NOM//obl//96 ske//VB|INF|AKT//parataxis//26 genom//PP//case//98 föreskrifter//NN|UTR|PLU|IND|NOM//obl//96 som//HP|-|-|-//nsubj:pass//100 meddelas//VB|PRS|SFO//acl:relcl//98 av//PP//case//102 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//100 eller//KN//cc//104 myndighet//NN|UTR|SIN|IND|NOM//conj//102 som//HP|-|-|-//obj//107 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//107 bestämmer//VB|PRS|AKT//acl:relcl//104 .//MAD//punct//26
6 Teknisk utveckling;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 anser//VB|PRS|AKT//ROOT//1 inte//AB//advmod//1 att//SN//mark//6 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//6 f.n.//AB|AN//advmod//6 finns//VB|PRS|SFO//ccomp//1 tillräckliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 skäl//NN|NEU|PLU|IND|NOM//nsubj//6 att//SN//mark//12 –//RG|NOM//punct//12 vilket//HP|NEU|SIN|IND//nsubj:pass//12 anges//VB|PRS|SFO//acl//8 som//KN//case//15 ett//DT|NEU|SIN|IND//det//15 alternativ//NN|NEU|SIN|IND|NOM//obl//12 i//PP//case//17 direktiven//NN|NEU|PLU|DEF|NOM//obl//12 –//RG|NOM//punct//21 via//PP//case//20 lotterilagstiftningen//NN|UTR|SIN|DEF|NOM//obl//21 försöka//VB|INF|AKT//acl:relcl//17 förhindra//VB|INF|AKT//xcomp//21 spel//NN|NEU|SIN|IND|NOM//obj//22 över//PP//case//25 Internet//NN|NEU|SIN|DEF|NOM//obl//22 som//HP|-|-|-//nsubj:pass//27 förmedlas//VB|PRS|SFO//acl:relcl//25 från//PP//case//29 utlandet//NN|NEU|SIN|DEF|NOM//obl//27 .//MAD//punct//1

6.1 Inledning;"Enligt//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//4 skall//VB|PRS|AKT//aux//4 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//4 lämna//VB|INF|AKT//ROOT//4 förslag//NN|NEU|SIN|IND|NOM//obj//4 till//PP//mark//10 hur//HA//advmod//10 lotterilagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//10 kan//VB|PRS|AKT//aux//10 göras//VB|INF|SFO//advcl//4 teknikoberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//10 ,//MID//punct//14 alternativt//AB|POS//advmod//14 göra//VB|INF|AKT//conj//10 en//DT|UTR|SIN|IND//det//17 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//17 översyn//NN|UTR|SIN|IND|NOM//obj//14 av//PP//case//19 definitioner//NN|UTR|PLU|IND|NOM//nmod//17 ,//MID//punct//21 begrepp//NN|NEU|PLU|IND|NOM//conj//19 och//KN//cc//23 tillämpningsområden//NN|NEU|PLU|IND|NOM//conj//19 med//PP//case//27 lotterilagens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//27 struktur//NN|UTR|SIN|IND|NOM//nmod//23 ,//MID//punct//30 eller//KN//cc//30 föreslå//VB|INF|AKT//conj//10 en//DT|UTR|SIN|IND//det//32 kombination//NN|UTR|SIN|IND|NOM//obj//30 av//PP//case//35 dessa//DT|UTR/NEU|PLU|DEF//det//35 möjligheter//NN|UTR|PLU|IND|NOM//nmod//32 ;//MID//punct//30"
6.1 Inledning;"för-//NN|UTR|-|-|SMS//nsubj:pass//41 och//KN//cc//39 nackdelar//NN|UTR|PLU|IND|NOM//conj//37 skall//VB|PRS|AKT//aux//41 redovisas//VB|INF|SFO//conj//4 ,//MID//punct//43 bedöma//VB|INF|AKT//conj//4 huruvida//SN//mark//47 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//47 är//VB|PRS|AKT//cop//47 möjligt//JJ|POS|NEU|SIN|IND|NOM//ccomp//43 och//KN//cc//51 om//SN//mark//51 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//51 finns//VB|PRS|SFO//conj//47 behov//NN|NEU|SIN|IND|NOM//nsubj//51 av//PP//mark//57 att//IE//mark//57 via//PP//case//56 lotterilagstiftningen//NN|UTR|SIN|DEF|NOM//obl//57 förhindra//VB|INF|AKT//acl//52 spel//NN|NEU|SIN|IND|NOM//obj//57 över//PP//case//60 Internet//NN|NEU|SIN|DEF|NOM//obl//57 och//KN//cc//63 annan//JJ|POS|UTR|SIN|IND|NOM//amod//63 data-//NN|NEU|-|-|SMS//conj//60 och//KN//cc//65 telekommunikation//NN|UTR|SIN|IND|NOM//conj//63 ,//MID//punct//63 som//HP|-|-|-//nsubj:pass//68 förmedlas//VB|PRS|SFO//acl:relcl//63 från//PP//case//70 utlandet//NN|NEU|SIN|DEF|NOM//obl//68 ,//MID//punct//72 analysera//VB|INF|AKT//conj//4 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//72 av//PP//case//75 spel//NN|NEU|SIN|IND|NOM//obl//72 över//PP//case//77 Internet//NN|NEU|SIN|DEF|NOM//obl//72 m.m.//AB|AN//conj//77 ;//MID//punct//80"
6.1 Inledning;för-//NN|UTR|-|-|SMS//nsubj:pass//88 och//KN//cc//82 nackdelar//NN|UTR|PLU|IND|NOM//conj//80 med//PP//case//86 denna//DT|UTR|SIN|DEF//det//86 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//86 försäljningskanal//NN|UTR|SIN|IND|NOM//nmod//80 skall//VB|PRS|AKT//aux//88 redovisas//VB|INF|SFO//conj//4 och//KN//cc//90 förslag//NN|NEU|PLU|IND|NOM//nsubj:pass//94 till//PP//case//92 reglering//NN|UTR|SIN|IND|NOM//nmod//90 skall//VB|PRS|AKT//aux//94 lämnas//VB|INF|SFO//advcl//88 .//MAD//punct//4
6.1 Inledning;I//PP//case//2 det//DT|NEU|SIN|DEF//det//2 följande//NN|NEU|SIN|IND|NOM//obl//3 behandlas//VB|PRS|SFO//ROOT//3 några//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj:pass//3 av//PP//case//8 de//DT|UTR/NEU|PLU|DEF//det//8 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 nyheter//NN|UTR|PLU|IND|NOM//nmod//4 som//HP|-|-|-//nsubj//10 har//VB|PRS|AKT//acl:relcl//8 bäring//NN|UTR|SIN|IND|NOM//obj//10 på//PP//case//13 lotterier//NN|NEU|PLU|IND|NOM//obl//10 och//KN//cc//15 spel//NN|NEU|PLU|IND|NOM//conj//13 ,//MID//punct//3 och//KN//cc//19 de//DT|UTR/NEU|PLU|DEF//det//19 problem//NN|NEU|PLU|IND|NOM//conj//3 som//HP|-|-|-//obl//23 lagstiftaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//23 här//AB//advmod//23 ställs//VB|PRS|SFO//acl:relcl//19 inför//PP//case//20 .//MID//punct//19
6.1 Inledning;Som//HP|-|-|-//mark//27 framgått//VB|SUP|AKT//advcl//32 har//VB|PRS|AKT//aux//32 man//PN|UTR|SIN|IND|SUB//nsubj//32 i//PP//case//31 direktiven//NN|NEU|PLU|DEF|NOM//obl//32 poängterat//VB|SUP|AKT//parataxis//3 spel//NN|NEU|SIN|IND|NOM//obj//32 över//PP//case//35 Internet//NN|NEU|SIN|DEF|NOM//obl//32 ,//MID//punct//3 varför//HA//advmod//39 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//39 ter//VB|PRS|AKT//advcl//3 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//39 naturligt//AB|POS//xcomp//39 att//IE//mark//43 starta//VB|INF|AKT//csubj//39 där//AB//advmod//43 .//MAD//punct//3


6.2 Lotterier och spel över Internet / Bakgrund;Internet//NN|NEU|SIN|DEF|NOM//nsubj//5 är//VB|PRS|AKT//cop//5 en//DT|UTR|SIN|IND//nsubj//5 redan//AB//advmod//4 väl//AB|POS//advmod//5 etablerad//PC|PRF|UTR|SIN|IND|NOM//ROOT//5 och//KN//cc//10 dessutom//AB//advmod//10 mycket//AB|POS//advmod//9 expansiv//JJ|POS|UTR|SIN|IND|NOM//amod//10 företeelse//NN|UTR|SIN|IND|NOM//conj//5 i//PP//case//12 samhället//NN|NEU|SIN|DEF|NOM//nmod//10 .//MAD//punct//5
6.2 Lotterier och spel över Internet / Bakgrund;En//DT|UTR|SIN|IND//det//16 stor//JJ|POS|UTR|SIN|IND|NOM//amod//16 del//NN|UTR|SIN|IND|NOM//nsubj//21 av//PP//case//20 den//DT|UTR|SIN|DEF//det//20 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 befolkningen//NN|UTR|SIN|DEF|NOM//nmod//16 har//VB|PRS|AKT//conj//5 tillgång//NN|UTR|SIN|IND|NOM//obj//21 till//PP//case//24 Internet//NN|NEU|SIN|DEF|NOM//nmod//22 på//PP//case//26 arbetet//NN|NEU|SIN|DEF|NOM//nmod//24 och//KN//cc//35 ///MID//nsubj//35 eller//KN//cc//28 i//PP//case//31 hemmet//NN|NEU|SIN|DEF|NOM//fixed//28 och//KN//cc//33 användningsområdena//NN|NEU|PLU|DEF|NOM//conj//31 är//VB|PRS|AKT//cop//35 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//21 .//MAD//punct//5
6.2 Lotterier och spel över Internet / Bakgrund;Internet//NN|NEU|SIN|DEF|NOM//nsubj:pass//38 används//VB|PRS|SFO//conj//5 främst//AB|SUV//advmod//38 som//KN//mark//41 informationskälla//NN|UTR|SIN|IND|NOM//xcomp//38 men//KN//cc//45 även//AB//advmod//45 för//PP//case//45 tjänster//NN|UTR|PLU|IND|NOM//conj//41 ,//MID//punct//47 kommunikation//NN|UTR|SIN|IND|NOM//conj//45 och//KN//cc//49 förströelse//NN|UTR|SIN|IND|NOM//conj//45 .//MAD//punct//5
