16.1 Uppdraget;Enligt//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//6 till//PP//case//3 Trafikförsäkringsutredningen//NN|UTR|SIN|DEF|NOM//nmod//1 ska//VB|PRS|AKT//aux//6 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//6 belysa//VB|INF|AKT//ROOT//6 situationen//NN|UTR|SIN|DEF|NOM//obj//6 särskilt//AB//advmod//6 för//PP//case//11 oförsäkrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 fordonsägare//NN|UTR|PLU|IND|NOM//obl//6 samt//KN//cc//13 föreslå//VB|INF|AKT//conj//6 de//DT|UTR/NEU|PLU|DEF//det//15 ändringar//NN|UTR|PLU|IND|NOM//obj//13 som//HP|-|-|-//nsubj:pass//17 anses//VB|PRS|SFO//acl:relcl//15 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//17 för//PP//mark//26 att//SN//mark//26 antalet//NN|NEU|SIN|DEF|NOM//det//23 oförsäkrade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 fordonsägare//NN|UTR|PLU|IND|NOM//nsubj//26 inte//AB//advmod//26 ska//VB|PRS|AKT//aux//26 öka//VB|INF|AKT//advcl//17 .//MAD//punct//6
17.3.2 Ökade skadekostnader för trafikförsäkringen / Ersättning till förare;Kostnaderna//NN|UTR|PLU|DEF|NOM//nsubj//38 för//PP//case//37 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//37 ersättning//NN|UTR|SIN|IND|NOM//nmod//34 stannar//VB|PRS|AKT//parataxis//22 i//PP//case//42 de//DT|UTR/NEU|PLU|DEF//det//42 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//42 fall//NN|NEU|PLU|IND|NOM//obl//38 på//PP//case//44 Trafikförsäkringsföreningen//NN|UTR|SIN|DEF|NOM//nmod//42 .//MAD//punct//38
17.3.2 Ökade skadekostnader för trafikförsäkringen / Ersättning till förare;I//PP//case//49 det//DT|NEU|SIN|DEF//det//49 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//49 systemet//NN|NEU|SIN|DEF|NOM//obl//38 ,//MID//punct//49 där//HA//advmod//53 trafikförsäkringen//NN|UTR|SIN|DEF|NOM//nsubj//53 får//VB|PRS|AKT//acl:relcl//49 ett//DT|NEU|SIN|IND//det//56 utvidgat//PC|PRF|NEU|SIN|IND|NOM//amod//56 ansvar//NN|NEU|SIN|IND|NOM//obj//53 för//PP//mark//59 att//IE//mark//59 ersätta//VB|INF|AKT//advcl//53 inkomstförlust//NN|UTR|SIN|IND|NOM//obj//59 ,//MID//punct//62 kommer//VB|PRS|AKT//conj//38 dessa//DT|UTR/NEU|PLU|DEF//det//64 kostnader//NN|UTR|PLU|IND|NOM//nsubj//62 att//IE//mark//66 bli//VB|INF|AKT//acl//64 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//66 .//MID//punct//38
17.3.2 Ökade skadekostnader för trafikförsäkringen / Ersättning till förare;Emellertid//AB//advmod//70 rör//VB|PRS|AKT//parataxis//38 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//70 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//70 för//PP//case//75 Trafikförsäkringsföreningens//PM|GEN//nmod:poss//75 del//NN|UTR|SIN|IND|NOM//obl//70 om//PP//case//80 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//79 än//KN//fixed//77 20//RG|NOM//nummod//80 fall//NN|NEU|PLU|IND|NOM//obl//70 om//PP//case//82 året//NN|NEU|SIN|DEF|NOM//nmod//80 .//MAD//punct//22
17.3.2 Ökade skadekostnader för trafikförsäkringen / Ersättning till förare;Den//DT|UTR|SIN|DEF//det//86 ökade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//86 kostnaden//NN|UTR|SIN|DEF|NOM//nsubj:pass//89 får//VB|PRS|AKT//aux//89 därmed//AB//advmod//89 anses//VB|INF|SFO//conj//22 vara//VB|INF|AKT//cop//92 så//AB//advmod//92 marginell//JJ|POS|UTR|SIN|IND|NOM//xcomp//89 att//SN//mark//100 det//DT|NEU|SIN|DEF//det//96 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//96 systemet//NN|NEU|SIN|DEF|NOM//nsubj//100 i//PP//case//98 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//nmod//96 inte//AB//advmod//100 motiverar//VB|PRS|AKT//advcl//89 att//SN//mark//105 reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//105 om//PP//case//104 förarskydd//NN|NEU|SIN|IND|NOM//nmod//102 ändras//VB|PRS|SFO//ccomp//100 .//MAD//punct//22
17.3.2 Ökade skadekostnader för trafikförsäkringen / Ersättning till förare;Från//PP//case//3 mer//AB|KOM//advmod//2 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 synpunkter//NN|UTR|PLU|IND|NOM//obl//7 kan//VB|PRS|AKT//aux//7 reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//7 dock//AB//advmod//7 ifrågasättas//VB|INF|SFO//ROOT//7 .//MAD//punct//7
17.3.2 Ökade skadekostnader för trafikförsäkringen / Ersättning till förare;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//10 medför//VB|PRS|AKT//parataxis//7 att//SN//mark//14 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 förare//NN|UTR|PLU|IND|NOM//nsubj//14 får//VB|PRS|AKT//ccomp//10 en//DT|UTR|SIN|IND//det//17 förmånlig//JJ|POS|UTR|SIN|IND|NOM//amod//17 behandling//NN|UTR|SIN|IND|NOM//obj//14 i//PP//case//19 Sverige//PM|NOM//nmod//17 ,//MID//punct//17 som//HP|-|-|-//nsubj:pass//23 inte//AB//advmod//23 motsvaras//VB|PRS|SFO//acl:relcl//17 av//PP//case//26 den//DT|UTR|SIN|DEF//det//26 behandling//NN|UTR|SIN|IND|NOM//obl:agent//23 som//HP|-|-|-//obj//30 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 förare//NN|UTR|PLU|IND|NOM//nsubj//30 får//VB|PRS|AKT//acl:relcl//26 i//PP//case//33 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 länder//NN|NEU|PLU|IND|NOM//obl//30 .//MAD//punct//10
17.3.2 Ökade skadekostnader för trafikförsäkringen / Ersättning till förare;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//36 ligger//VB|PRS|AKT//parataxis//10 utanför//PP//case//39 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//39 uppdrag//NN|NEU|SIN|IND|NOM//obl//36 att//IE//mark//41 behandla//VB|INF|AKT//acl//39 den//DT|UTR|SIN|DEF//det//43 frågan//NN|UTR|SIN|DEF|NOM//obj//41 .//MAD//punct//36

17.3.3 Regressfrågor;Redovisningen//NN|UTR|SIN|DEF|NOM//nsubj//4 i//PP//case//3 avsnitt//NN|NEU|SIN|IND|NOM//nmod//3 15.2.4//RG|NOM//nmod//0 visar//VB|PRS|AKT//ROOT//4 att//SN//mark//13 de//DT|UTR/NEU|PLU|DEF//nsubj//13 nu//AB//advmod//10 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 reglerna//NN|UTR|PLU|DEF|NOM//obl//13 om//PP//case//12 samordningsförmåner//NN|UTR|PLU|IND|NOM//nmod//10 medför//VB|PRS|AKT//ccomp//4 svårigheter//NN|UTR|PLU|IND|NOM//obj//13 i//PP//case//16 tilllämpningen//NN|UTR|SIN|DEF|NOM//obl//13 ,//MID//punct//16 särskilt//AB//advmod//23 när//HA//mark//23 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 försäkringsbolag//NN|NEU|PLU|IND|NOM//nsubj//23 vill//VB|PRS|AKT//aux//23 utöva//VB|INF|AKT//conj//13 regressrätt//NN|UTR|SIN|IND|NOM//obj//23 i//PP//case//26 Sverige//PM|NOM//nmod//24 för//PP//case//29 utbetalad//PC|PRF|UTR|SIN|IND|NOM//amod//29 ersättning//NN|UTR|SIN|IND|NOM//obl//23 vid//PP//case//31 trafikolyckor//NN|UTR|PLU|IND|NOM//nmod//29 .//MAD//punct//13
17.3.3 Regressfrågor;Enligt//PP//case//35 den//DT|UTR|SIN|DEF//det//35 nettometod//NN|UTR|SIN|IND|NOM//obl//39 som//HP|-|-|-//nsubj:pass//38 ska//VB|PRS|AKT//aux//38 tillämpas//VB|INF|SFO//acl:relcl//35 ingår//VB|PRS|AKT//conj//13 socialförsäkringsförmåner//NN|UTR|PLU|IND|NOM//nsubj//39 och//KN//cc//43 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 förmåner//NN|UTR|PLU|IND|NOM//conj//40 som//HP|-|-|-//nsubj:pass//45 avses//VB|PRS|SFO//acl:relcl//43 i//PP//case//48 5//RG|NOM//nummod//48 kap.//NN|AN//obl//45 3//RG|NOM//nummod//50 §//NN|AN//nmod//51 skadeståndslagen//NN|UTR|SIN|DEF|NOM//obl//45 inte//AB//advmod//45 i//PP//case//54 trafikskadeersättningen//NN|UTR|SIN|DEF|NOM//obl//45 och//KN//cc//56 omfattas//VB|PRS|SFO//conj//39 inte//AB//advmod//56 heller//AB//advmod//56 av//PP//case//62 en//DT|UTR|SIN|IND//det//62 eventuell//JJ|POS|UTR|SIN|IND|NOM//amod//62 skadeståndsskyldighet//NN|UTR|SIN|IND|NOM//obl//56 .//MAD//punct//13
17.3.3 Regressfrågor;Motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//65 förmåner//NN|UTR|PLU|IND|NOM//nsubj:pass//73 som//HP|-|-|-//nsubj:pass//68 har//VB|PRS|AKT//aux//68 betalats//VB|SUP|SFO//acl:relcl//65 av//PP//case//72 det//DT|NEU|SIN|DEF//det//72 utländska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//72 försäkringsbolaget//NN|NEU|SIN|DEF|NOM//obl:agent//68 omfattas//VB|PRS|SFO//parataxis//13 då//AB//advmod//73 inte//AB//advmod//73 av//PP//case//77 regressrätten//NN|UTR|SIN|DEF|NOM//obl//73 .//MAD//punct//4
17.3.3 Regressfrågor;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 systemet//NN|NEU|SIN|DEF|NOM//obl//16 ,//MID//punct//3 där//HA//advmod//9 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 inkomstförlusten//NN|UTR|SIN|DEF|NOM//nsubj:pass//9 ska//VB|PRS|AKT//aux//9 betalas//VB|INF|SFO//acl:relcl//3 av//PP//case//11 trafikförsäkringen//NN|UTR|SIN|DEF|NOM//obl:agent//9 ,//MID//punct//16 kan//VB|PRS|AKT//aux//16 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 försäkringsbolag//NN|NEU|PLU|IND|NOM//nsubj//16 göra//VB|INF|AKT//ROOT//16 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 regressrätt//NN|UTR|SIN|IND|NOM//obj//16 i//PP//case//21 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//21 mån.//NN|AN//obl//16 De//DT|UTR/NEU|PLU|DEF//det//24 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 reglerna//NN|UTR|PLU|DEF|NOM//obj//16 medför//VB|PRS|AKT//xcomp//16 således//AB//advmod//25 att//SN//mark//31 de//DT|UTR/NEU|PLU|DEF//det//30 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 utbetalningarna//NN|UTR|PLU|DEF|NOM//nsubj//31 blir//VB|PRS|AKT//ccomp//25 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//31 .//MAD//punct//16
17.3.3 Regressfrågor;Detta//PN|NEU|SIN|DEF|SUB/OBJ//det//35 uppvägs//VB|PRS|SFO//parataxis//16 å//PP//case//38 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//38 sidan//NN|UTR|SIN|DEF|NOM//obl//35 av//PP//mark//47 att//SN//mark//47 även//AB//advmod//42 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 krav//NN|NEU|PLU|IND|NOM//nsubj//47 mot//PP//case//46 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 försäkringsbolag//NN|NEU|PLU|IND|NOM//nmod//43 blir//VB|PRS|AKT//acl//38 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//47 ,//MID//punct//60 eftersom//SN//mark//60 inte//AB//advmod//60 heller//AB//advmod//60 i//PP//case//55 dessa//DT|UTR/NEU|PLU|DEF//det//55 fall//NN|NEU|PLU|IND|NOM//obl//60 några//DT|UTR/NEU|PLU|IND//det//57 samordningsförmåner//NN|UTR|PLU|IND|NOM//nsubj:pass//60 kommer//VB|PRS|AKT//aux//60 att//IE//mark//60 avräknas//VB|INF|SFO//advcl//47 .//MAD//punct//16
17.3.3 Regressfrågor;En//DT|UTR|SIN|IND//det//2 klar//JJ|POS|UTR|SIN|IND|NOM//amod//2 fördel//NN|UTR|SIN|IND|NOM//ROOT//2 med//PP//case//6 det//DT|NEU|SIN|DEF//det//6 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 systemet//NN|NEU|SIN|DEF|NOM//nmod//2 är//VB|PRS|AKT//cop//2 att//SN//mark//12 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//12 inte//AB//advmod//12 längre//AB|KOM//advmod//12 blir//VB|PRS|AKT//ccomp//7 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//12 att//IE//mark//15 undersöka//VB|INF|AKT//csubj//12 i//PP//case//18 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 fall//NN|NEU|PLU|IND|NOM//obl//15 om//PP//mark//23 de//DT|UTR/NEU|PLU|DEF//det//22 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 samordningsreglerna//NN|UTR|PLU|DEF|NOM//nsubj//23 medför//VB|PRS|AKT//advcl//15 att//SN//mark//29 den//DT|UTR|SIN|DEF//det//27 utländska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//27 ersättningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//29 ska//VB|PRS|AKT//aux//29 undantas//VB|INF|SFO//ccomp//23 från//PP//case//31 regressrätten//NN|UTR|SIN|DEF|NOM//obl//29 .//MAD//punct//2
17.3.3 Regressfrågor;Hanteringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//36 av//PP//case//35 regressfrågorna//NN|UTR|PLU|DEF|NOM//nmod//33 underlättas//VB|PRS|SFO//parataxis//2 därmed//AB//advmod//36 .//MAD//punct//36
17.3.3 Regressfrågor;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 saknas//VB|PRS|SFO//ROOT//1 anledning//NN|UTR|SIN|IND|NOM//nsubj:pass//1 att//IE//mark//4 befara//VB|INF|AKT//advcl//1 några//DT|UTR/NEU|PLU|IND//det//7 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 komplikationer//NN|UTR|PLU|IND|NOM//obj//4 till//PP//case//13 följd//NN|UTR|SIN|IND|NOM//fixed//8 av//PP//fixed//8 det//DT|NEU|SIN|DEF//det//13 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 systemet//NN|NEU|SIN|DEF|NOM//obl//4 .//MAD//punct//1
17.3.3 Regressfrågor;Frånsett//PP//parataxis//1 den//DT|UTR|SIN|DEF//det//18 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//18 förenklingen//NN|UTR|SIN|DEF|NOM//nsubj:pass//19 påverkas//VB|PRS|SFO//conj//1 inte//AB//advmod//19 regelsystemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//19 eller//KN//cc//25 några//DT|UTR/NEU|PLU|IND//det//25 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 förhållanden//NN|NEU|PLU|IND|NOM//conj//21 .//MAD//punct//1
17.3.3 Regressfrågor;Det//DT|NEU|SIN|DEF//det//29 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 systemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//31 ska//VB|PRS|AKT//aux//31 utformas//VB|INF|SFO//parataxis//1 så//AB//advmod//31 att//SN//mark//39 reglerna//NN|UTR|PLU|DEF|NOM//nsubj//39 om//PP//case//36 avräkning//NN|UTR|SIN|IND|NOM//nmod//34 och//KN//cc//38 återkrav//NN|NEU|SIN|IND|NOM//conj//34 gäller//VB|PRS|AKT//advcl//31 på//PP//case//42 samma//DT|UTR/NEU|SIN/PLU|IND//det//42 sätt//NN|NEU|SIN|IND|NOM//obl//39 för//PP//case//47 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 och//KN//cc//46 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//44 trafikförsäkringsbolag//NN|NEU|PLU|IND|NOM//nmod//42 .//MAD//punct//1


18.1 Inledning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 haft//VB|SUP|AKT//ROOT//2 i//PP//compound:prt//2 uppdrag//NN|NEU|SIN|IND|NOM//fixed//3 att//IE//mark//6 bedöma//VB|INF|AKT//xcomp//2 de//DT|UTR/NEU|PLU|DEF//det//9 externa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 kostnader//NN|UTR|PLU|IND|NOM//obj//6 som//HP|-|-|-//obl//12 trafikantkollektivet//NN|NEU|SIN|DEF|NOM//nsubj//12 förorsakar//VB|PRS|AKT//acl:relcl//9 samhället//NN|NEU|SIN|DEF|NOM//obj//12 vid//PP//case//16 sin//PS|UTR|SIN|DEF//nmod:poss//16 körning//NN|UTR|SIN|IND|NOM//obl//12 .//MAD//punct//2
18.1 Inledning;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//19 handlar//VB|PRS|AKT//parataxis//2 alltså//AB//advmod//19 om//PP//case//22 kostnader//NN|UTR|PLU|IND|NOM//obl//19 som//HP|-|-|-//nsubj//27 inte//AB//advmod//27 är//VB|PRS|AKT//cop//27 en//DT|UTR|SIN|IND//det//27 del//NN|UTR|SIN|IND|NOM//acl:relcl//22 av//PP//case//29 skador//NN|UTR|PLU|IND|NOM//nmod//27 till//PP//case//33 följd//NN|UTR|SIN|IND|NOM//fixed//30 av//PP//fixed//30 trafik//NN|UTR|SIN|IND|NOM//nmod//27 som//HP|-|-|-//nsubj:pass//35 täcks//VB|PRS|SFO//acl:relcl//27 av//PP//case//37 trafikförsäkringen//NN|UTR|SIN|DEF|NOM//obl:agent//35 eller//KN//cc//40 den//DT|UTR|SIN|DEF//det//40 enskilde//JJ|POS|MAS|SIN|DEF|NOM//conj//37 och//KN//cc//44 därmed//AB//advmod//44 är//VB|PRS|AKT//cop//44 externa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//37 för//PP//case//46 denne//PN|MAS|SIN|DEF|SUB/OBJ//nmod//44 .//MAD//punct//2
18.1 Inledning;De//DT|UTR/NEU|PLU|DEF//det//2 externa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 kostnaderna//NN|UTR|PLU|DEF|NOM//nsubj//5 är//VB|PRS|AKT//cop//5 t.ex.//AB|AN//advmod//5 hälso-//NN|UTR|-|-|SMS//ROOT//5 och//KN//cc//7 sjukvårdskostnader//NN|UTR|PLU|IND|NOM//conj//5 till//PP//case//11 följd//NN|UTR|SIN|IND|NOM//fixed//8 av//PP//fixed//8 trafikskador//NN|UTR|PLU|IND|NOM//obl//5 .//MAD//punct//5
18.1 Inledning;Dessa//DT|UTR/NEU|PLU|DEF//det//14 kostnader//NN|UTR|PLU|IND|NOM//nsubj//15 brukar//VB|PRS|AKT//conj//5 i//PP//case//17 litteraturen//NN|UTR|SIN|DEF|NOM//obl//15 betecknas//VB|PRS|SFO//conj//5 som//KN//mark//21 direkta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 kostnader//NN|UTR|PLU|IND|NOM//obl//18 .//MAD//punct//5
18.1 Inledning;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//26 är//VB|PRS|AKT//cop//26 också//AB//advmod//26 kostnader//NN|UTR|PLU|IND|NOM//parataxis//5 för//PP//case//28 produktionsbortfall//NN|NEU|SIN|IND|NOM//nmod//26 till//PP//case//32 följd//NN|UTR|SIN|IND|NOM//fixed//29 av//PP//fixed//29 dödsfall//NN|NEU|PLU|IND|NOM//nmod//28 .//MAD//punct//26
18.1 Inledning;De//DT|UTR/NEU|PLU|DEF//nsubj//36 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//36 brukar//VB|PRS|AKT//conj//26 betecknas//VB|INF|SFO//xcomp//36 som//KN//mark//40 indirekta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 kostnader//NN|UTR|PLU|IND|NOM//xcomp//37 .//MAD//punct//26
18.1 Inledning;I//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//4 till//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 nämns//VB|PRS|SFO//ROOT//4 också//AB//advmod//4 att//SN//mark//11 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 beräkningar//NN|UTR|PLU|IND|NOM//nsubj//11 ska//VB|PRS|AKT//aux//11 kunna//VB|INF|AKT//aux//11 ligga//VB|INF|AKT//csubj//4 till//PP//case//17 grund//NN|UTR|SIN|IND|NOM//fixed//12 för//PP//fixed//12 en//DT|UTR|SIN|IND//det//17 eventuell//JJ|POS|UTR|SIN|IND|NOM//amod//17 justering//NN|UTR|SIN|IND|NOM//obl//11 av//PP//case//20 den//DT|UTR|SIN|DEF//det//20 skatt//NN|UTR|SIN|IND|NOM//nmod//17 på//PP//case//22 trafikförsäkringspremien//NN|UTR|SIN|DEF|NOM//nmod//20 som//HP|-|-|-//nsubj:pass//24 infördes//VB|PRT|SFO//acl:relcl//20 år//NN|NEU|SIN|IND|NOM//nmod//26 2007//RG|NOM//obl//24 .//MAD//punct//4
18.1 Inledning;En//DT|UTR|SIN|IND//det//31 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//31 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//31 beskattning//NN|UTR|SIN|IND|NOM//nsubj:pass//33 kan//VB|PRS|AKT//aux//33 betraktas//VB|INF|SFO//parataxis//4 som//KN//mark//36 en//DT|UTR|SIN|IND//det//36 internalisering//NN|UTR|SIN|IND|NOM//xcomp//33 av//PP//case//40 de//DT|UTR/NEU|PLU|DEF//det//40 externa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 kostnaderna//NN|UTR|PLU|DEF|NOM//nmod//36 .//MAD//punct//4
18.1 Inledning;Den//DT|UTR|SIN|DEF//det//44 justerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//44 premieskatten//NN|UTR|SIN|DEF|NOM//appos//4 skulle//VB|PRT|AKT//aux//46 därmed//AB//advmod//4 ,//MID//punct//46 åtminstone//AB//advmod//50 i//PP//case//50 teorin//NN|UTR|SIN|DEF|NOM//obl//4 ,//MID//punct//4 föra//VB|INF|AKT//conj//4 på//PP//case//54 trafikantkollektivet//NN|NEU|SIN|DEF|NOM//obl//52 dessa//DT|UTR/NEU|PLU|DEF//det//56 kostnader//NN|UTR|PLU|IND|NOM//obj//52 .//MAD//punct//4
18.1 Inledning;I//PP//case//59 teorin//NN|UTR|SIN|DEF|NOM//obl//64 skulle//VB|PRT|AKT//aux//64 därmed//AB//advmod//64 trafikanterna//NN|UTR|PLU|DEF|NOM//nsubj//64 också//AB//advmod//64 väga//VB|INF|AKT//parataxis//4 in//PL//compound:prt//64 dessa//DT|UTR/NEU|PLU|DEF//det//67 kostnader//NN|UTR|PLU|IND|NOM//obj//64 vid//PP//case//69 val//NN|NEU|PLU|IND|NOM//nmod//67 som//HP|-|-|-//nsubj//72 kan//VB|PRS|AKT//aux//72 påverka//VB|INF|AKT//acl:relcl//69 trafiksäkerheten//NN|UTR|SIN|DEF|NOM//obj//72 .//MAD//punct//4
18.1 Inledning;Inom//PP//case//3 den//DT|UTR|SIN|DEF//det//3 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 vetenskapen//NN|UTR|SIN|DEF|NOM//obl//4 finns//VB|PRS|SFO//ROOT//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 ett//DT|NEU|SIN|IND//det//7 antal//NN|NEU|SIN|IND|NOM//nmod//8 metoder//NN|UTR|PLU|IND|NOM//nsubj//4 för//PP//mark//11 att//IE//mark//11 beräkna//VB|INF|AKT//acl//8 kostnader//NN|UTR|PLU|IND|NOM//obj//11 av//PP//case//15 detta//DT|NEU|SIN|DEF//det//15 slag//NN|NEU|SIN|IND|NOM//nmod//12 .//MAD//punct//4
18.1 Inledning;Till//PP//case//21 skillnad//NN|UTR|SIN|IND|NOM//fixed//17 från//PP//case//21 direkta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 kostnader//NN|UTR|PLU|IND|NOM//obl//4 ,//MID//punct//21 som//HP|-|-|-//nsubj//26 är//VB|PRS|AKT//cop//26 metodologiskt//AB|POS//advmod//26 enklare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//21 ,//MID//punct//21 är//VB|PRS|AKT//cop//29 metoden//NN|UTR|SIN|DEF|NOM//nsubj//4 att//IE//mark//31 beräkna//VB|INF|AKT//acl//29 indirekta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 kostnader//NN|UTR|PLU|IND|NOM//obj//31 föremål//NN|NEU|PLU|IND|NOM//obj//31 för//PP//case//37 vetenskaplig//JJ|POS|UTR|SIN|IND|NOM//amod//37 debatt//NN|UTR|SIN|IND|NOM//obl//31 .//MAD//punct//4
18.1 Inledning;Inom//PP//case//43 ramen//NN|UTR|SIN|DEF|NOM//fixed//39 för//PP//fixed//39 s.k.//AB|AN//amod//43 Cost//UO//obl//47 of//UO//case//45 Illness//UO//nmod//43 studier//NN|UTR|PLU|IND|NOM//conj//43 beräknas//VB|PRS|SFO//conj//4 indirekta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 kostnader//NN|UTR|PLU|IND|NOM//nsubj:pass//47 enligt//PP//case//52 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 ansatser//NN|UTR|PLU|IND|NOM//obl//47 som//HP|-|-|-//nsubj:pass//56 grovt//AB|POS//advmod//56 kan//VB|PRS|AKT//aux//56 delas//VB|INF|SFO//acl:relcl//52 in//PL//compound:prt//56 i//PP//case//59 humankapitalansatsen//NN|UTR|SIN|DEF|NOM//obl//56 ,//MID//punct//61 betalningsviljeansatsen//NN|UTR|SIN|DEF|NOM//conj//59 och//KN//cc//63 friktionsansatsen//NN|UTR|SIN|DEF|NOM//conj//59 .//MAD//punct//4
