Likvärdigt, rättssäkert och effektivt –  ett nytt nationellt system för kunskapsbedömning ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 prov//NN|NEU|PLU|IND|NOM//nmod//2
Förutsättning 1: Bestämda betygsmedelvärden;Någon//DT|UTR|SIN|IND//det//61 teoretisk//JJ|POS|UTR|SIN|IND|NOM//amod//61 grund//NN|UTR|SIN|IND|NOM//nsubj//68 för//PP//case//63 bestämning//NN|UTR|SIN|IND|NOM//nmod//61 av//PP//case//65 betygsmedelvärden//NN|UTR|SIN|DEF|NOM//nmod//63 och//KN//cc//67 betygsfördelning//NN|UTR|SIN|IND|NOM//conj//65 finns//VB|PRS|SFO//conj//3 inte//AB//advmod//68 i//PP//case//71 systemet//NN|NEU|SIN|DEF|NOM//obl//68 .//MID//punct//3
Förutsättning 1: Bestämda betygsmedelvärden;Därmed//AB//advmod//74 återstår//VB|PRS|AKT//parataxis//3 endast//AB//advmod//74 möjligheten//NN|UTR|SIN|DEF|NOM//nsubj//74 att//IE//mark//78 bestämma//VB|INF|AKT//acl//76 värdena//NN|NEU|PLU|DEF|NOM//obj//78 empiriskt//AB|POS//advmod//78 om//SN//mark//86 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//86 inte//AB//advmod//86 helt//AB|POS//advmod//85 enkelt//AB|POS//advmod//86 stipuleras//VB|INF|SFO//advcl//78 ,//MID//punct//88 något//PN|NEU|SIN|IND|SUB/OBJ//appos//76 som//HP|-|-|-//obj//92 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//92 inte//AB//advmod//92 förordar//VB|PRS|AKT//acl:relcl//88 .//MAD//punct//3
Förutsättning 1: Bestämda betygsmedelvärden;Som//HA//mark//2 vi//PN|UTR|PLU|DEF|SUB//nsubj//2 sett//VB|SUP|AKT//advcl//3 råder//VB|PRS|AKT//ROOT//3 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//3 för//PP//case//7 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 ämnen//NN|NEU|PLU|IND|NOM//obl//3 och//KN//cc//9 kurser//NN|UTR|PLU|IND|NOM//conj//7 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 diskrepans//NN|UTR|SIN|DEF|GEN//advmod//3 mellan//PP//case//13 betygsmedelvärden//NN|UTR|SIN|DEF|NOM//nmod//11 baserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//3 på//PP//case//16 prov//NN|NEU|SIN|IND|NOM//obl//14 och//KN//cc//18 lärarbedömning//NN|UTR|SIN|IND|NOM//conj//16 .//MAD//punct//3
Förutsättning 1: Bestämda betygsmedelvärden;Den//DT|UTR|SIN|DEF//det//22 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 frågan//NN|UTR|SIN|DEF|NOM//nsubj//23 blir//VB|PRS|AKT//parataxis//3 då//AB//advmod//23 vilka//HD|UTR/NEU|PLU|IND//det//26 betyg//NN|NEU|PLU|IND|NOM//dislocated//29 som//HP|-|-|-//nsubj//29 ska//VB|PRS|AKT//aux//29 ligga//VB|INF|AKT//ccomp//23 till//PP//case//35 grund//NN|UTR|SIN|IND|NOM//fixed//30 för//PP//fixed//30 det//DT|NEU|SIN|DEF//det//35 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 medelvärdet//NN|NEU|SIN|DEF|NOM//obl//29 ://MID//punct//23
Förutsättning 1: Bestämda betygsmedelvärden;Ska//VB|PRS|AKT//aux//41 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//39 vara//VB|INF|AKT//cop//41 lärarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//41 betyg//NN|NEU|PLU|IND|NOM//parataxis//23 ?//MID//punct//41
Förutsättning 1: Bestämda betygsmedelvärden;Eller//KN//cc//45 provkonstruktörernas//NN|UTR|PLU|DEF|GEN//nmod:poss//45 betyg//NN|NEU|PLU|IND|NOM//conj//41 ?//MID//punct//41
Förutsättning 1: Bestämda betygsmedelvärden;Eller//KN//cc//49 någon//DT|UTR|SIN|IND//det//49 kombination//NN|UTR|SIN|IND|NOM//conj//41 av//PP//case//52 de//DT|UTR/NEU|PLU|DEF//det//52 två//RG|NOM//nmod//49 ?//MAD//punct//3
Förutsättning 1: Bestämda betygsmedelvärden;Låt//VB|IMP|AKT//ROOT//0 oss//PN|UTR|PLU|DEF|OBJ//obj//0 anta//VB|INF|AKT//xcomp//0 att//SN//mark//13 den//DT|UTR|SIN|DEF//det//6 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//6 lärarkårens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 betyg//NN|NEU|SIN|IND|NOM//nsubj//13 är//VB|PRS|AKT//cop//13 den//DT|UTR|SIN|DEF//det//13 mest//AB|SUV//advmod//11 väl//AB|POS//advmod//12 underbyggda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//13 tolkning//NN|UTR|SIN|IND|NOM//ccomp//2 som//HP|-|-|-//nsubj//15 finns//VB|PRS|SFO//acl:relcl//13 tillgänglig//JJ|POS|UTR|SIN|IND|NOM//xcomp//15 genom//PP//case//21 det//DT|NEU|SIN|DEF//det//20 stora//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 antal//NN|NEU|SIN|IND|NOM//nmod//21 lärare//NN|UTR|PLU|IND|NOM//obl//15 som//HP|-|-|-//nsubj//23 medverkar//VB|PRS|AKT//acl:relcl//21 i//PP//case//25 provbedömning//NN|UTR|SIN|IND|NOM//obl//23 och//KN//cc//27 betygssättning//NN|UTR|SIN|IND|NOM//conj//25 och//KN//cc//32 därmed//AB//advmod//30 också//AB//advmod//32 i//PP//case//32 tolkningen//NN|UTR|SIN|DEF|NOM//conj//21 av//PP//case//35 kunskapskravens//NN|UTR|SIN|DEF|GEN//nmod:poss//35 innebörder//NN|UTR|PLU|IND|NOM//nmod//32 .//MAD//punct//0
Förutsättning 1: Bestämda betygsmedelvärden;Vi//PN|UTR|PLU|DEF|SUB//nsubj//38 väljer//VB|PRS|AKT//parataxis//0 därmed//AB//advmod//38 lärarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//41 betygmedelvärde//NN|NEU|SIN|IND|NOM//obj//38 och//KN//cc//43 betygsfördelning//NN|UTR|SIN|IND|NOM//conj//41 som//KN//mark//45 norm//NN|UTR|SIN|IND|NOM//acl:relcl//43 .//MAD//punct//38
Förutsättning 1: Bestämda betygsmedelvärden;För//PP//mark//49 att//IE//mark//49 underlätta//VB|INF|AKT//advcl//58 jämförelsen//NN|UTR|SIN|DEF|NOM//obj//49 mellan//PP//case//52 provbetyg//NN|NEU|PLU|IND|NOM//obl//49 och//KN//cc//54 lärarbetyg//NN|NEU|SIN|IND|NOM//conj//52 bör//VB|PRS|AKT//aux//58 då//HA//mark//58 provbetygen//NN|NEU|PLU|DEF|NOM//nsubj:pass//58 justeras//VB|PRS|SFO//advcl//38 till//PP//case//61 samma//DT|UTR/NEU|SIN/PLU|IND//det//61 nivå//NN|UTR|SIN|IND|NOM//obl//58 som//KN//mark//63 lärarbetygen//NN|UTR|SIN|DEF|NOM//acl//61 .//MAD//punct//63
Förutsättning 1: Bestämda betygsmedelvärden;En//DT|UTR|SIN|IND//det//67 enkel//JJ|POS|UTR|SIN|IND|NOM//amod//67 modell//NN|UTR|SIN|IND|NOM//conj//63 är//VB|PRS|AKT//cop//70 att//IE//mark//70 undersöka//VB|INF|AKT//xcomp//0 hur//HA//advmod//72 stor//JJ|POS|UTR|SIN|IND|NOM//amod//73 avvikelsen//NN|UTR|SIN|DEF|NOM//nsubj//78 mellan//PP//case//75 lärarbetyg//NN|NEU|SIN|IND|NOM//nmod//73 och//KN//cc//77 provbetyg//NN|NEU|PLU|IND|NOM//conj//75 tenderar//VB|PRS|AKT//parataxis//0 att//IE//mark//80 vara//VB|INF|AKT//ccomp//78 (//PAD//punct//82 medelvärdet//NN|NEU|SIN|DEF|NOM//appos//0 av//PP//case//84 skillnaden//NN|UTR|SIN|DEF|NOM//nmod//82 mellan//PP//case//86 lärarbetyg//NN|NEU|PLU|IND|NOM//nmod//84 och//KN//cc//88 provbetyg//NN|NEU|PLU|IND|NOM//conj//86 enligt//PP//case//91 vald//PC|PRF|UTR|SIN|IND|NOM//amod//91 skala//NN|UTR|SIN|IND|NOM//nmod//86 för//PP//case//93 betygspoäng//NN|UTR|SIN|IND|NOM//nmod//86 under//PP//case//98 ett//DT|NEU|SIN|IND//det//97 bestämt//PC|PRF|NEU|SIN|IND|NOM//amod//97 antal//NN|NEU|SIN|IND|NOM//nmod//98 år//NN|NEU|PLU|IND|NOM//nmod//86 ,//MID//punct//82 t.ex.//AB|AN//advmod//103 de//DT|UTR/NEU|PLU|DEF//det//103 fem//RG|NOM//nummod//103 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//appos//82 )//PAD//punct//82 och//KN//cc//107 sedan//AB//advmod//107 addera//VB|INF|AKT//conj//0 denna//DT|UTR|SIN|DEF//det//110 genomsnittliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//110 differens//NN|UTR|SIN|IND|NOM//obj//107 till//PP//case//115 det//DT|NEU|SIN|DEF//det//114 aktuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//114 provbetygets//NN|NEU|SIN|DEF|GEN//nmod:poss//115 medelvärde//NN|NEU|SIN|IND|NOM//obl//107 .//MAD//punct//0
Förutsättning 1: Bestämda betygsmedelvärden;Denna//DT|UTR|SIN|DEF//det//118 tanke//NN|UTR|SIN|IND|NOM//nsubj:pass//119 utvecklas//VB|PRS|SFO//parataxis//0 närmare//AB|KOM//advmod//121 senare//AB|KOM//advmod//119 i//PP//case//125 den//DT|UTR|SIN|DEF//det//125 här//AB//fixed//123 bilagan//NN|UTR|SIN|DEF|NOM//obl//119 .//MAD//punct//0
Förutsättning 1: Bestämda betygsmedelvärden;Därmed//AB//advmod//1 antas//VB|PRS|SFO//ROOT//1 för//PP//case//6 den//DT|UTR|SIN|DEF//det//5 första//RO|NOM//amod//5 förutsättningens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 del//NN|UTR|SIN|IND|NOM//obl//1 att//SN//mark//9 det//DT|NEU|SIN|DEF//det//9 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//acl//6 (//PAD//punct//9 och//KN//cc//13 därmed//AB//advmod//13 lokala//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//9 )//PAD//punct//9 betygsmedelvärdet//NN|NEU|SIN|DEF|NOM//nsubj:pass//16 bestäms//VB|PRS|SFO//parataxis//1 som//KN//mark//18 provmedelvärdet//NN|NEU|SIN|DEF|NOM//xcomp//16 plus//AB//cc//20 medelvärdet//NN|NEU|SIN|DEF|NOM//nmod//18 av//PP//case//24 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 års//NN|NEU|PLU|IND|GEN//nmod:poss//24 avvikelser//NN|UTR|PLU|IND|NOM//nmod//20 på//PP//case//27 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//27 nivå//NN|UTR|SIN|IND|NOM//nmod//24 .//MAD//punct//1

Förutsättning 2: Bestämd betygsfördelning;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 relativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 betygssystemet//NN|NEU|SIN|DEF|NOM//obl//6 var//VB|PRT|AKT//cop//6 betygsfördelningen//NN|UTR|SIN|DEF|NOM//nsubj//6 föreskriven//PC|PRF|UTR|SIN|IND|NOM//ROOT//6 utifrån//PP//case//10 en//DT|UTR|SIN|IND//det//10 normalfördelad//PC|PRF|UTR|SIN|IND|NOM//amod//10 modell//NN|UTR|SIN|IND|NOM//obl//6 med//PP//case//13 standardavvikelsen//NN|UTR|SIN|DEF|NOM//nmod//13 1//RG|NOM//nmod//10 .//MAD//punct//6
Förutsättning 2: Bestämd betygsfördelning;Någon//DT|UTR|SIN|IND//det//17 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 regel//NN|UTR|SIN|IND|NOM//parataxis//6 är//VB|PRS|AKT//cop//20 inte//AB//advmod//20 bestämd//PC|PRF|UTR|SIN|IND|NOM//conj//6 för//PP//case//23 det//DT|NEU|SIN|DEF//det//23 mål-//NN|NEU|-|-|SMS//amod//26 och//KN//cc//25 kunskapsrelaterade//PC|PRF|UTR/NEU|SIN|DEF|NOM//conj//23 systemet//NN|NEU|SIN|DEF|NOM//nsubj//20 .//MAD//punct//6
Förutsättning 2: Bestämd betygsfördelning;Betygen//NN|NEU|PLU|DEF|NOM//nsubj//32 kommer//VB|PRS|AKT//aux//32 givetvis//AB//advmod//32 att//IE//mark//32 fördela//VB|INF|AKT//parataxis//6 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//32 ändå//AB//advmod//32 men//KN//cc//38 utifrån//PP//case//38 betygssättarens//NN|UTR|SIN|DEF|GEN//nmod:poss//38 tolkningar//NN|UTR|PLU|IND|NOM//conj//32 av//PP//case//41 kunskapskravens//NN|UTR|SIN|DEF|GEN//nmod:poss//41 innebörder//NN|UTR|PLU|IND|NOM//nmod//38 och//KN//cc//44 elevens//NN|UTR|SIN|DEF|GEN//nmod:poss//44 kunskaper//NN|UTR|PLU|IND|NOM//conj//41 så//AB//mark//48 som//HA//fixed//45 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//48 visar//VB|PRS|AKT//acl:relcl//38 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//48 i//PP//case//52 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 utsagor//NN|UTR|PLU|IND|NOM//obl//48 ,//MID//punct//56 varav//HA//nummod//56 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 prov//NN|NEU|PLU|IND|NOM//conj//38 är//VB|PRS|AKT//cop//58 en//RG|UTR|SIN|IND|NOM//conj//6 .//MAD//punct//6
Förutsättning 2: Bestämd betygsfördelning;Någon//DT|UTR|SIN|IND//det//2 teoretisk//JJ|POS|UTR|SIN|IND|NOM//amod//2 modell//NN|UTR|SIN|IND|NOM//nsubj//14 som//HP|-|-|-//nsubj:pass//5 kan//VB|PRS|AKT//aux//5 användas//VB|INF|SFO//acl:relcl//2 som//KN//mark//7 underlag//NN|NEU|SIN|IND|NOM//xcomp//5 för//PP//case//10 betygens//NN|NEU|PLU|DEF|GEN//nmod:poss//10 fördelning//NN|UTR|SIN|IND|NOM//nmod//7 är//VB|PRS|AKT//cop//14 således//AB//advmod//14 inte//AB//advmod//14 bestämd//PC|PRF|UTR|SIN|IND|NOM//ROOT//14 .//MAD//punct//14
Förutsättning 2: Bestämd betygsfördelning;Den//DT|UTR|SIN|DEF//det//18 enda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 utgångspunkten//NN|UTR|SIN|DEF|NOM//nsubj//20 är//VB|PRS|AKT//cop//20 kunskapskraven//NN|NEU|PLU|DEF|NOM//parataxis//14 och//KN//cc//23 de//DT|UTR/NEU|PLU|DEF//det//23 betyg//NN|NEU|PLU|IND|NOM//conj//20 som//HP|-|-|-//obj//26 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//26 genererar//VB|PRS|AKT//acl:relcl//23 .//MID//punct//20
Förutsättning 2: Bestämd betygsfördelning;Eftersom//SN//mark//33 någon//DT|UTR|SIN|IND//det//30 betygsfördelning//NN|UTR|SIN|IND|NOM//nsubj:pass//33 inte//AB//advmod//33 är//VB|PRS|AKT//cop//33 beslutad//PC|PRF|UTR|SIN|IND|NOM//advcl//34 utgår//VB|PRS|AKT//parataxis//14 vi//PN|UTR|PLU|DEF|SUB//nsubj//34 från//PP//case//38 den//DT|UTR|SIN|DEF//det//38 betygsfördelningen//NN|UTR|SIN|DEF|NOM//obl//34 som//HP|-|-|-//nsubj//41 empiriskt//AB|POS//advmod//41 visat//VB|SUP|AKT//acl:relcl//38 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//41 vid//PP//case//44 tillämpningen//NN|UTR|SIN|DEF|NOM//obl//41 av//PP//case//46 kunskapskraven//NN|NEU|PLU|DEF|NOM//nmod//44 .//MAD//punct//14
Förutsättning 2: Bestämd betygsfördelning;Här//AB//advmod//1 dyker//VB|PRS|AKT//ROOT//1 återigen//AB//advmod//1 frågan//NN|UTR|SIN|DEF|NOM//nsubj//1 upp//PL//mark//10 om//PP//fixed//4 vems//HS|DEF//nmod:poss//7 tolkning//NN|UTR|SIN|IND|NOM//dislocated//10 som//HP|-|-|-//nsubj//10 ska//VB|PRS|AKT//aux//10 gälla//VB|INF|AKT//advcl//1 som//KN//case//13 empirisk//JJ|POS|UTR|SIN|IND|NOM//amod//13 bedömning//NN|UTR|SIN|IND|NOM//obl//10 ://MID//punct//1
Förutsättning 2: Bestämd betygsfördelning;Ska//VB|PRS|AKT//aux//21 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//21 vara//VB|INF|AKT//cop//21 det//DT|NEU|SIN|DEF//det//20 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//20 lärarkollektivets//NN|NEU|SIN|DEF|GEN//nmod:poss//21 betygsfördelning//NN|UTR|SIN|IND|NOM//nsubj//1 ?//MID//punct//1
Förutsättning 2: Bestämd betygsfördelning;Ska//VB|PRS|AKT//aux//25 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//25 vara//VB|INF|AKT//cop//27 provbetygens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 fördelning//NN|UTR|SIN|IND|NOM//nsubj//1 ?//MID//punct//1
Förutsättning 2: Bestämd betygsfördelning;Ska//VB|PRS|AKT//aux//33 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//33 vara//VB|INF|AKT//cop//33 någon//DT|UTR|SIN|IND//det//33 form//NN|UTR|SIN|IND|NOM//nsubj//1 av//PP//case//36 sammanvägd//PC|PRF|UTR|SIN|IND|NOM//amod//36 fördelning//NN|UTR|SIN|IND|NOM//nmod//33 av//PP//case//38 lärarbetyg//NN|NEU|PLU|IND|NOM//nmod//36 och//KN//cc//40 provbetyg//NN|NEU|PLU|IND|NOM//conj//38 ?//MAD//punct//1
Förutsättning 2: Bestämd betygsfördelning;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 väljer//VB|PRS|AKT//ROOT//1 att//SN//mark//5 även//AB//advmod//5 här//AB//advmod//5 utgå//VB|INF|AKT//ccomp//1 från//PP//case//10 det//DT|NEU|SIN|DEF//det//9 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//9 lärarkollektivets//NN|NEU|SIN|DEF|GEN//nmod:poss//10 bedömning//NN|UTR|SIN|IND|NOM//obl//5 .//MAD//punct//1
Förutsättning 2: Bestämd betygsfördelning;För//PP//mark//14 att//IE//mark//14 få//VB|INF|AKT//advcl//1 så//AB//advmod//16 tillförlitliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 värden//NN|NEU|PLU|IND|NOM//obj//14 som//KN//mark//19 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//22 vore//VB|KON|PRT|AKT//cop//22 det//DT|NEU|SIN|DEF//det//22 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//obj//14 att//IE//mark//24 utgå//VB|INF|AKT//acl//22 från//PP//case//26 värden//NN|NEU|PLU|IND|NOM//obl//24 under//PP//case//29 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//29 år//NN|NEU|PLU|IND|NOM//obl//24 .//MAD//punct//1
Förutsättning 2: Bestämd betygsfördelning;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//35 är//VB|PRS|AKT//cop//35 dock//AB//advmod//35 inte//AB//advmod//35 möjligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//1 i//PP//case//39 den//DT|UTR|SIN|DEF//det//39 här//AB//fixed//37 redovisningen//NN|UTR|SIN|DEF|NOM//obl//35 .//MAD//punct//35
Förutsättning 2: Bestämd betygsfördelning;Det//DT|NEU|SIN|DEF//det//44 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 sexgradiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 betygssystemet//NN|NEU|SIN|DEF|NOM//nsubj//47 är//VB|PRS|AKT//cop//47 ganska//AB//advmod//47 nytt//JJ|POS|NEU|SIN|IND|NOM//conj//35 och//KN//cc//50 de//DT|UTR/NEU|PLU|DEF//det//50 underlag//NN|NEU|PLU|IND|NOM//conj//47 som//HP|-|-|-//nsubj//53 är//VB|PRS|AKT//cop//53 tillgängliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//50 för//PP//case//55 utredningen//NN|UTR|SIN|DEF|NOM//nmod//53 är//VB|PRS|AKT//cop//57 data//NN|NEU|PLU|IND|NOM//conj//35 från//PP//case//59 grundskolan//NN|UTR|SIN|DEF|NOM//nmod//57 för//PP//case//61 2013//RG|NOM//nmod//57 och//KN//cc//63 2014//RG|NOM//conj//61 och//KN//cc//66 för//PP//case//66 gymnasieskolan//NN|UTR|SIN|DEF|NOM//conj//57 från//PP//case//68 vårterminen//NN|UTR|SIN|DEF|NOM//nmod//66 2014//RG|NOM//nummod//68 .//MAD//punct//35
Förutsättning 2: Bestämd betygsfördelning;Därför//AB//advmod//72 används//VB|PRS|SFO//conj//35 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//72 som//KN//mark//75 underlag//NN|NEU|SIN|IND|NOM//xcomp//72 för//PP//case//78 de//DT|UTR/NEU|PLU|DEF//det//78 exempel//NN|NEU|PLU|IND|NOM//nmod//75 som//HP|-|-|-//nsubj:pass//80 visas//VB|PRS|SFO//acl:relcl//78 .//MAD//punct//72
Förutsättning 2: Bestämd betygsfördelning;För//PP//case//84 en//DT|UTR|SIN|IND//det//84 modell//NN|UTR|SIN|IND|NOM//obl//89 i//PP//case//86 bruk//NN|NEU|SIN|IND|NOM//nmod//84 är//VB|PRS|AKT//cop//89 dock//AB//advmod//89 tanken//NN|UTR|SIN|DEF|NOM//nsubj:pass//72 att//SN//mark//98 de//DT|UTR/NEU|PLU|DEF//det//92 värden//NN|NEU|PLU|IND|NOM//nsubj:pass//98 som//HP|-|-|-//nsubj//94 ingår//VB|PRS|AKT//acl:relcl//92 i//PP//case//96 modellen//NN|UTR|SIN|DEF|NOM//obl//94 ska//VB|PRS|AKT//aux//98 baseras//VB|INF|SFO//acl//89 på//PP//case//100 betygsunderlag//NN|NEU|PLU|IND|NOM//obl//98 från//PP//case//104 ett//DT|NEU|SIN|IND//det//103 antal//NN|NEU|SIN|IND|NOM//nmod//104 år//NN|NEU|PLU|IND|NOM//nmod//100 .//MAD//punct//35
Förutsättning 2: Bestämd betygsfördelning;För//PP//case//4 den//DT|UTR|SIN|DEF//det//3 andra//RO|NOM//amod//3 förutsättningens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 del//NN|UTR|SIN|IND|NOM//obl//5 antas//VB|PRS|SFO//ROOT//5 att//SN//mark//9 betygsfördelningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//9 kan//VB|PRS|AKT//aux//9 bestämmas//VB|INF|SFO//ccomp//5 empiriskt//AB|POS//advmod//9 genom//PP//mark//14 att//SN//mark//14 man//PN|UTR|SIN|IND|SUB//nsubj//14 utgår//VB|PRS|AKT//advcl//9 från//PP//case//17 lärarbetygens//NN|UTR|SIN|DEF|GEN//nmod:poss//17 standardavvikelse//NN|UTR|SIN|IND|NOM//obl//14 under//PP//case//21 ett//DT|NEU|SIN|IND//det//20 antal//NN|NEU|SIN|IND|NOM//nmod//21 år//NN|NEU|PLU|IND|NOM//obl//14 .//MAD//punct//5

Ett exempel baserat på empiriska data;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 här//AB//fixed//1 avsnittet//NN|NEU|SIN|DEF|NOM//obl//4 redovisas//VB|PRS|SFO//ROOT//4 en//DT|UTR|SIN|IND//det//6 tillämpning//NN|UTR|SIN|IND|NOM//nsubj:pass//4 av//PP//case//9 samma//DT|UTR/NEU|SIN/PLU|IND//det//9 modell//NN|UTR|SIN|IND|NOM//nmod//6 som//HP|-|-|-//nsubj//11 gällde//VB|PRT|AKT//acl:relcl//6 för//PP//case//16 de//DT|UTR/NEU|PLU|DEF//det//16 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//15 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 proven//NN|NEU|PLU|DEF|NOM//obl//11 men//KN//cc//20 med//PP//case//20 den//DT|UTR|SIN|DEF//det//20 skillnaden//NN|UTR|SIN|DEF|NOM//conj//11 att//SN//mark//24 vi//PN|UTR|PLU|DEF|SUB//nsubj//24 nu//AB//advmod//24 använder//VB|PRS|AKT//acl//20 empiriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 värden//NN|NEU|PLU|IND|NOM//obj//24 för//PP//case//29 betygens//NN|NEU|PLU|DEF|GEN//nmod:poss//29 medelvärden//NN|NEU|PLU|IND|NOM//obl//24 och//KN//cc//31 spridning//NN|UTR|SIN|IND|NOM//conj//29 i//PP//advmod//24 stället//NN|NEU|SIN|DEF|NOM//fixed//32 för//PP//fixed//32 stipulerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//fixed//32 .//MAD//punct//4
Ett exempel baserat på empiriska data;De//DT|UTR/NEU|PLU|DEF//det//38 värden//NN|NEU|PLU|IND|NOM//nsubj//45 som//HP|-|-|-//nsubj:pass//40 används//VB|PRS|SFO//acl:relcl//38 i//PP//case//42 exemplet//NN|NEU|SIN|DEF|NOM//obl//40 är//VB|PRS|AKT//cop//45 inte//AB//advmod//45 medelvärden//NN|NEU|PLU|IND|NOM//nsubj:pass//4 över//PP//case//47 tid//NN|UTR|SIN|IND|NOM//nmod//45 ,//MID//punct//45 vilka//HP|UTR/NEU|PLU|IND//nsubj//51 är//VB|PRS|AKT//cop//51 tänkta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//45 att//IE//mark//53 gälla//VB|INF|AKT//advcl//51 när//HA//mark//56 modellen//NN|UTR|SIN|DEF|NOM//nsubj:pass//56 tas//VB|PRS|SFO//advcl//53 i//PP//case//59 praktiskt//JJ|POS|NEU|SIN|IND|NOM//amod//59 bruk//NN|NEU|SIN|IND|NOM//obl//56 .//MAD//punct//45
