Sammanfattning;Sammanfattningen//NN|UTR|SIN|DEF|NOM//nsubj//1 innehåller//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//5 mycket//AB|POS//advmod//4 kort//JJ|POS|UTR|SIN|IND|NOM//amod//5 beskrivning//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//7 innehållet//NN|NEU|SIN|DEF|NOM//nmod//5 i//PP//case//10 respektive//AB//amod//10 kapitel//NN|NEU|SIN|IND|NOM//nmod//7 och//KN//cc//13 de//DT|UTR/NEU|PLU|DEF//det//13 synpunkter//NN|UTR|PLU|IND|NOM//conj//10 och//KN//cc//15 förslag//NN|NEU|PLU|IND|NOM//conj//13 vi//PN|UTR|PLU|DEF|SUB//nsubj//17 har//VB|PRS|AKT//acl:relcl//15 .//MAD//punct//1
Kvaliteten i utbildningarna;Uppföljningen//NN|NEU|PLU|DEF|NOM//nsubj//3 kan//VB|PRS|AKT//aux//3 inte//AB//advmod//3 avse//VB|INF|AKT//ROOT//3 centralt//AB|POS//advmod//5 fastställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 mål//NN|NEU|PLU|IND|NOM//obj//3 och//KN//cc//8 kriterier//NN|NEU|PLU|IND|NOM//conj//6 i//PP//case//10 kunskapshänseende//NN|NEU|SIN|IND|NOM//nmod//8 ,//MID//punct//14 men//KN//cc//14 väl//AB|POS//advmod//14 examinationsfrekvens//NN|UTR|SIN|DEF|GEN//conj//3 och//KN//cc//16 övergång//NN|UTR|SIN|IND|NOM//conj//14 till//PP//case//19 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 studier//NN|UTR|PLU|IND|NOM//obl//14 .//MAD//punct//3
Kvaliteten i utbildningarna;Den//DT|UTR|SIN|DEF//det//23 viktigaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//23 resultatuppföljningen//NN|UTR|SIN|DEF|NOM//appos//3 är//VB|PRS|AKT//cop//23 dock//AB//advmod//27 de//DT|UTR/NEU|PLU|DEF//nsubj:pass//27 studerandes//NN|UTR|PLU|IND|GEN//nmod:poss//28 framgångar//NN|UTR|PLU|IND|NOM//nsubj//23 på//PP//case//30 arbetsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//28 .//MAD//punct//3
Kvaliteten i utbildningarna;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 är//VB|PRS|AKT//cop//3 mindre//AB|KOM//advmod//3 meningsfullt//JJ|POS|NEU|SIN|IND|NOM//ROOT//3 att//IE//mark//5 etablera//VB|INF|AKT//csubj//3 en//DT|UTR|SIN|IND//det//8 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//8 uppföljning//NN|UTR|SIN|IND|NOM//obj//5 .//MAD//punct//3
Kvaliteten i utbildningarna;Däremot//AB//advmod//13 bör//VB|PRS|AKT//aux//13 utvärderingen//NN|UTR|SIN|DEF|NOM//nsubj//13 ge//VB|INF|AKT//parataxis//3 underlag//NN|NEU|SIN|IND|NOM//obj//13 för//PP//case//17 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 överväganden//NN|NEU|PLU|IND|NOM//nmod//14 .//MAD//punct//3
Kvaliteten i utbildningarna;Tillsynen//NN|UTR|SIN|DEF|NOM//nsubj//3 bör//VB|PRS|AKT//aux//3 liksom//PP//mark//3 hittills//AB//ROOT//3 ,//MID//punct//5 ha//VB|INF|AKT//conj//3 två//RG|NOM//nummod//8 huvudsakliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 syften//NN|NEU|PLU|IND|NOM//obj//5 ://MID//punct//5
Kvaliteten i utbildningarna;dels//KN//advmod//12 att//IE//mark//12 vidga//VB|INF|AKT//conj//3 kunskapen//NN|UTR|SIN|DEF|NOM//obj//12 om//PP//case//17 den//DT|UTR|SIN|DEF//det//17 kvalificerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//17 yrkesutbildningen//NN|UTR|SIN|DEF|NOM//obl//12 ,//MID//punct//24 dels//KN//advmod//24 att//SN//mark//24 ,//MID//punct//24 som//KN//mark//24 ett//DT|NEU|SIN|IND//det//24 led//NN|NEU|SIN|IND|NOM//advcl//12 i//PP//case//27 en//DT|UTR|SIN|IND//det//27 verksamhetsutveckling//NN|UTR|SIN|IND|NOM//obl//24 ,//MID//punct//29 föra//VB|INF|AKT//conj//12 en//DT|UTR|SIN|IND//det//31 dialog//NN|UTR|SIN|IND|NOM//obj//29 med//PP//case//34 huvudsakligen//AB//advmod//34 studerande//NN|UTR|PLU|IND|NOM//advcl//29 och//KN//cc//36 utbildningsanordnare//NN|UTR|PLU|IND|NOM//conj//34 om//PP//case//39 utbildningarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//39 kvalitet//NN|UTR|SIN|IND|NOM//obl//29 i//PP//case//42 vid//JJ|POS|UTR|SIN|IND|NOM//case//42 mening//NN|UTR|SIN|IND|NOM//nmod//39 .//MAD//punct//3
Kvaliteten i utbildningarna;Tillsynen//NN|UTR|SIN|DEF|NOM//nsubj//5 bör//VB|PRS|AKT//aux//5 i//PP//case//4 stor//JJ|POS|UTR|SIN|IND|NOM//amod//4 utsträckning//NN|UTR|SIN|IND|NOM//obl//5 ha//VB|INF|AKT//ROOT//5 karaktären//NN|UTR|SIN|DEF|NOM//obj//5 av//PP//case//8 utvecklingssamtal//NN|NEU|SIN|IND|NOM//nmod//6 om//PP//case//10 utbildningen//NN|UTR|SIN|DEF|NOM//obl//5 i//PP//nmod//10 fråga//NN|UTR|SIN|IND|NOM//fixed//11 ,//MID//punct//19 även//AB//mark//19 om//SN//fixed//14 besöken//NN|NEU|PLU|DEF|NOM//nsubj//19 alltid//AB//advmod//19 skall//VB|PRS|AKT//aux//19 resultera//VB|INF|AKT//acl:relcl//10 i//PP//case//22 en//DT|UTR|SIN|IND//det//22 rapport//NN|UTR|SIN|IND|NOM//obl//19 .//MAD//punct//5
Kvaliteten i utbildningarna;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 anser//VB|PRS|AKT//ROOT//1 att//SN//mark//5 tillsynen//NN|UTR|SIN|DEF|NOM//nsubj:pass//5 bör//VB|PRS|AKT//aux//5 skärpas//VB|INF|SFO//ccomp//1 i//PP//case//8 ett//DT|NEU|SIN|IND//det//8 avseende//NN|NEU|SIN|IND|NOM//obl//5 och//KN//cc//17 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//17 är//VB|PRS|AKT//cop//17 i//PP//case//17 fråga//NN|UTR|SIN|IND|NOM//fixed//12 om//PP//case//17 utbildningarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//17 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//17 kvalitetsarbete//NN|NEU|SIN|IND|NOM//conj//8 .//MAD//punct//1
Kvaliteten i utbildningarna;Tillsynen//NN|UTR|SIN|DEF|NOM//nsubj//2 bör//VB|PRS|AKT//aux//2 ha//VB|INF|AKT//ROOT//2 en//DT|UTR|SIN|IND//det//5 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//5 omfattning//NN|UTR|SIN|IND|NOM//obj//2 att//SN//mark//14 alla//DT|UTR/NEU|PLU|IND/DEF//det//8 utbildningar//NN|UTR|PLU|IND|NOM//nsubj//14 någon//DT|UTR|SIN|IND//det//10 gång//NN|UTR|SIN|IND|NOM//obl//14 under//PP//case//13 sin//PS|UTR|SIN|DEF//nmod:poss//13 existens//NN|UTR|SIN|IND|NOM//nmod//10 blir//VB|PRS|AKT//acl//5 föremål//NN|NEU|SIN|IND|NOM//xcomp//14 för//PP//case//17 tillsyn//NN|UTR|SIN|IND|NOM//obl//14 .//MAD//punct//2
Kvaliteten i utbildningarna;Man//PN|UTR|SIN|IND|SUB//nsubj//21 bör//VB|PRS|AKT//aux//21 överväga//VB|INF|AKT//conj//2 att//IE//mark//23 ta//VB|INF|AKT//xcomp//21 in//PL//compound:prt//23 även//AB//advmod//26 extern//JJ|POS|UTR|SIN|IND|NOM//amod//27 medverkan//NN|UTR|SIN|IND|NOM//obj//23 i//PP//case//29 tillsynen//NN|UTR|SIN|DEF|NOM//nmod//27 .//MAD//punct//2
Kvaliteten i utbildningarna;Kvalitetsarbetet//NN|NEU|SIN|DEF|NOM//nsubj//2 måste//VB|PRS|AKT//aux//2 innefatta//VB|INF|AKT//ROOT//2 både//KN//cc//4 arbetslivet//NN|NEU|SIN|DEF|NOM//obj//2 och//KN//cc//7 de//DT|UTR/NEU|PLU|DEF//det//7 studerande//NN|UTR|PLU|IND|NOM//conj//4 .//MAD//punct//2
Kvaliteten i utbildningarna;En//DT|UTR|SIN|IND//det//1 redovisning//NN|UTR|SIN|IND|NOM//nsubj:pass//8 av//PP//case//5 det//DT|NEU|SIN|DEF//det//5 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 kvalitetsarbetet//NN|NEU|SIN|DEF|NOM//nmod//1 skall//VB|PRS|AKT//aux//8 alltid//AB//advmod//8 finnas//VB|INF|SFO//ROOT//8 med//PL//compound:prt//8 i//PP//case//12 en//DT|UTR|SIN|IND//det//12 ansökan//NN|UTR|SIN|IND|NOM//obl//8 om//PP//mark//16 att//IE//mark//16 få//VB|INF|AKT//aux//16 anordna//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//19 kvalificerad//PC|PRF|UTR|SIN|IND|NOM//amod//19 yrkesutbildning//NN|UTR|SIN|IND|NOM//obj//16 .//MAD//punct//8
Kvaliteten i utbildningarna;Kvalitetsarbetet//NN|NEU|SIN|DEF|NOM//nsubj//24 är//VB|PRS|AKT//cop//24 så//AB//advmod//24 väsentligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//8 att//SN//mark//28 redovisningen//NN|UTR|SIN|DEF|NOM//nsubj//28 bör//VB|PRS|AKT//aux//28 ingå//VB|INF|AKT//ccomp//24 i//PP//case//30 utbildningsplanen//NN|UTR|SIN|DEF|NOM//obl//28 och//KN//cc//33 därmed//AB//advmod//33 fastställas//VB|INF|SFO//conj//28 av//PP//case//35 KY-styrelsen//NN|UTR|SIN|DEF|NOM//obl:agent//33 .//MAD//punct//24
Kvaliteten i utbildningarna;Det//DT|NEU|SIN|DEF//det//2 lokala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 kvalitetsarbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//5 bör//VB|PRS|AKT//aux//5 bl.a.//AB|AN//advmod//5 inriktas//VB|INF|SFO//ROOT//5 på//PP//case//8 utbildningarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//8 nivå//NN|UTR|SIN|IND|NOM//obl//5 ,//MID//punct//10 yrkesrelevansen//NN|UTR|SIN|DEF|NOM//conj//8 ,//MID//punct//5 de//DT|UTR/NEU|PLU|DEF//nsubj:pass//13 studerandes//NN|UTR|PLU|IND|GEN//nmod:poss//14 medverkan//NN|UTR|SIN|IND|NOM//obl//5 och//KN//cc//16 utvecklingen//NN|UTR|SIN|DEF|NOM//conj//14 av//PP//case//20 det//DT|NEU|SIN|DEF//det//20 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 kvalitetsarbetet//NN|NEU|SIN|DEF|NOM//nmod//16 .//MAD//punct//5

KY och andra utbildningsformer, internationella jämförelser;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 här//AB//fixed//1 kapitlet//NN|NEU|SIN|DEF|NOM//obl//4 försöker//VB|PRS|AKT//ROOT//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//4 sätta//VB|INF|AKT//xcomp//4 in//PL//compound:prt//6 KY//PM|NOM//obj//6 i//PP//case//10 sammanhang//NN|NEU|SIN|IND|NOM//obl//6 med//PP//case//13 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 utbildningsformer//NN|UTR|PLU|IND|NOM//nmod//10 .//MAD//punct//4
KY och andra utbildningsformer, internationella jämförelser;Vi//PN|UTR|PLU|DEF|SUB//nsubj//16 tar//VB|PRS|AKT//parataxis//4 också//AB//advmod//16 upp//PL//compound:prt//16 samverkan//NN|UTR|SIN|IND|NOM//obj//16 och//KN//cc//21 samordning//NN|UTR|SIN|IND|NOM//conj//19 med//PP//case//24 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 utbildningsformer//NN|UTR|PLU|IND|NOM//nmod//21 och//KN//cc//26 diskuterar//VB|PRS|AKT//conj//16 KY//PM|NOM//obj//26 som//KN//mark//31 en//DT|UTR|SIN|IND//det//31 kompletterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 utbildningsform//NN|UTR|SIN|IND|NOM//obl//26 .//MAD//punct//16
KY och andra utbildningsformer, internationella jämförelser;Vi//PN|UTR|PLU|DEF|SUB//nsubj//36 har//VB|PRS|AKT//aux//36 också//AB//advmod//36 försökt//VB|SUP|AKT//parataxis//16 att//IE//mark//38 göra//VB|INF|AKT//xcomp//36 en//DT|UTR|SIN|IND//det//40 jämförelse//NN|UTR|SIN|IND|NOM//obj//38 mellan//PP//case//42 KY//PM|NOM//nmod//40 och//KN//cc//45 eftergymnasial//JJ|POS|UTR|SIN|IND|NOM//amod//45 yrkesutbildning//NN|UTR|SIN|IND|NOM//conj//42 i//PP//case//49 några//DT|UTR/NEU|PLU|IND//det//49 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 länder//NN|NEU|PLU|IND|NOM//nmod//45 .//MAD//punct//16
KY och andra utbildningsformer, internationella jämförelser;"Vi//PN|UTR|PLU|DEF|SUB//nsubj//52 har//VB|PRS|AKT//parataxis//16 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//54 förslag//NN|NEU|PLU|IND|NOM//obj//52 och//KN//cc//56 synpunkter//NN|UTR|PLU|IND|NOM//conj//54 ;//MID//punct//52"
KY och andra utbildningsformer, internationella jämförelser;slår//VB|PRS|AKT//advcl//24 också//AB//advmod//0 att//SN//mark//10 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//10 i//PP//case//5 utbildningsplanen//NN|UTR|SIN|DEF|NOM//obl//7 inte//AB//advmod//7 längre//AB|KOM//advmod//10 skall//VB|PRS|AKT//aux//10 vara//VB|INF|AKT//cop//10 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//ccomp//0 att//IE//mark//12 ange//VB|INF|AKT//csubj//10 om//SN//mark//19 utbildningen//NN|UTR|SIN|DEF|NOM//nsubj//19 i//PP//case//17 någon//DT|UTR|SIN|IND//det//17 del//NN|UTR|SIN|IND|NOM//obl//19 är//VB|PRS|AKT//cop//19 tillgodoräkningsbar//JJ|POS|UTR|SIN|IND|NOM//ccomp//12 .//MAD//punct//0
KY och andra utbildningsformer, internationella jämförelser;KY//PM|NOM//nsubj//0 bör//VB|PRS|AKT//aux//24 kunna//VB|INF|AKT//aux//24 utgöra//VB|INF|AKT//ROOT//24 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//26 behörighet//NN|UTR|SIN|IND|NOM//obj//24 för//PP//case//30 en//DT|UTR|SIN|IND//det//29 del//NN|UTR|SIN|IND|NOM//nmod//30 studier//NN|UTR|PLU|IND|NOM//obl//24 i//PP//case//32 högskolan//NN|UTR|SIN|DEF|NOM//nmod//30 .//MAD//punct//24

