
En kommunallag för framtiden;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 11//RG|NOM//nummod//5 oktober//NN|UTR|SIN|IND|NOM//nmod//0 2012//RG|NOM//nummod//5
Uppdraget;Samtidigt//AB//advmod//163 bör//VB|PRS|AKT//aux//163 sektorsspecifika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//162 behov//NN|NEU|PLU|IND|NOM//nsubj:pass//163 beaktas//VB|INF|SFO//advcl//89 i//PP//case//165 lagstiftningen//NN|UTR|SIN|DEF|NOM//obl//163 .//MAD//punct//163
Uppdraget;För//PP//mark//169 att//IE//mark//169 säkerställa//VB|INF|AKT//advcl//171 detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//169 finns//VB|PRS|SFO//conj//1 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//171 behov//NN|NEU|PLU|IND|NOM//nsubj//171 av//PP//mark//176 att//IE//mark//176 genomföra//VB|INF|AKT//acl//173 en//DT|UTR|SIN|IND//det//179 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//179 analys//NN|UTR|SIN|IND|NOM//obj//176 som//HP|-|-|-//nsubj//181 omfattar//VB|PRS|AKT//acl:relcl//179 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//184 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//184 verksamhetsområden//NN|NEU|PLU|IND|NOM//obj//181 där//HA//advmod//188 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//187 utförare//NN|UTR|PLU|IND|NOM//nsubj//188 förekommer//VB|PRS|AKT//acl:relcl//184 .//MAD//punct//1
Uppdraget;Bestämmelser//NN|UTR|PLU|IND|NOM//ROOT//0 om//PP//case//2 insyn//NN|UTR|SIN|IND|NOM//nmod//0 i//PP//case//6 viss//JJ|POS|UTR|SIN|IND|NOM//amod//6 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//6 verksamhet//NN|UTR|SIN|IND|NOM//nmod//2
Uppdraget;På//PP//case//1 skolområdet//NN|NEU|SIN|DEF|NOM//obl//6 är//VB|PRS|AKT//cop//6 huvudmannaskapet//NN|NEU|SIN|DEF|NOM//nsubj//6 mer//AB|KOM//advmod//5 tydligt//AB|POS//advmod//6 reglerat//PC|PRF|NEU|SIN|IND|NOM//ROOT//6 .//MAD//punct//6
Uppdraget;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//29 i//PP//case//10 skollagen//NN|UTR|SIN|DEF|NOM//nmod//8 som//HP|-|-|-//nsubj//12 anger//VB|PRS|AKT//acl:relcl//10 att//SN//mark//22 den//DT|UTR|SIN|DEF//det//15 kommun//NN|UTR|SIN|IND|NOM//nsubj//22 där//HA//advmod//21 en//DT|UTR|SIN|IND//det//19 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 skola//NN|UTR|SIN|IND|NOM//nsubj//21 är//VB|PRS|AKT//cop//21 belägen//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//15 har//VB|PRS|AKT//ccomp//12 rätt//NN|UTR|SIN|IND|NOM//obj//22 till//PP//case//25 insyn//NN|UTR|SIN|IND|NOM//obl//22 i//PP//case//27 verksamheten//NN|UTR|SIN|DEF|NOM//obl//22 ,//MID//punct//8 upplevs//VB|PRS|SFO//parataxis//6 dock//AB//advmod//29 som//KN//mark//32 otydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//29 i//PP//mark//40 fråga//NN|UTR|SIN|IND|NOM//fixed//33 om//PP//fixed//33 vilken//HD|UTR|SIN|IND//det//37 funktion//NN|UTR|SIN|IND|NOM//obl//40 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//40 är//VB|PRS|AKT//cop//40 tänkta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//obl//29 att//IE//mark//42 fylla//VB|INF|AKT//acl//40 .//MAD//punct//29
Uppdraget;Behovet//NN|NEU|SIN|DEF|NOM//nsubj:pass//49 av//PP//case//46 bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//44 har//VB|PRS|AKT//aux//49 också//AB//advmod//49 ifrågasatts//VB|SUP|SFO//parataxis//29 ,//MID//punct//49 bl.a.//AB|AN//advmod//53 av//PP//case//53 Lagrådet//NN|NEU|SIN|DEF|NOM//obl//49 (//PAD//punct//53 prop//NN|UTR|SIN|IND|NOM//appos//53 .//MAD//punct//53
Uppdraget;2009/10:165//RG|NOM//nummod//58 s.//NN|AN//nmod//59 384//RG|NOM//conj//53 och//KN//cc//59 s.//NN|AN//nmod//62 1318//RG|NOM//nmod//53 )//PAD//punct//29 .//MAD//punct//6
Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//67 bör//VB|PRS|AKT//aux//67 klargöras//VB|INF|SFO//parataxis//6 vad//HP|NEU|SIN|IND//obj//71 dessa//DT|UTR/NEU|PLU|DEF//det//70 insynsbestämmelser//NN|UTR|PLU|IND|NOM//nsubj//71 innebär//VB|PRS|AKT//ccomp//67 för//PP//case//73 kommunerna//NN|UTR|PLU|DEF|NOM//obl//71 .//MAD//punct//67
Uppdraget;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//4 ska//VB|PRS|AKT//aux//4 därför//AB//advmod//4 //NN|AN//nsubj//4 redovisa//VB|INF|AKT//csubj//12 i//PP//case//10 vilka//HD|UTR/NEU|PLU|IND//det//8 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 verksamheter//NN|UTR|PLU|IND|NOM//nmod:poss//10 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 utförare//NN|UTR|PLU|IND|NOM//obl//4 vanligen//AB//advmod//12 förekommer//VB|PRS|AKT//ROOT//12 och//KN//cc//17 om//SN//mark//17 möjligt//JJ|POS|NEU|SIN|IND|NOM//advmod//17 även//AB//advmod//17 redovisa//VB|INF|AKT//conj//12 i//PP//case//20 vilken//HD|UTR|SIN|IND//det//20 omfattning//NN|UTR|SIN|IND|NOM//obl//17 ,//MID//punct//12 //AB|AN//nsubj//23 beskriva//VB|INF|AKT//conj//12 hur//HA//advmod//37 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//28 och//KN//cc//27 landstingens//NN|NEU|PLU|DEF|GEN//conj//25 huvudmannaskap//NN|NEU|SIN|IND|NOM//nsubj//37 för//PP//case//30 verksamhet//NN|UTR|SIN|IND|NOM//nmod//28 som//HP|-|-|-//nsubj:pass//32 bedrivs//VB|PRS|SFO//acl:relcl//28 i//PP//case//35 privat//JJ|POS|UTR|SIN|IND|NOM//amod//35 regi//NN|UTR|SIN|IND|NOM//obl//32 är//VB|PRS|AKT//cop//37 reglerat//PC|PRF|NEU|SIN|IND|NOM//ccomp//23 ,//MID//punct//46 särskilt//AB//advmod//46 i//PP//case//46 fråga//NN|UTR|SIN|IND|NOM//fixed//40 om//PP//fixed//40 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//46 och//KN//cc//45 landstingens//NN|NEU|PLU|DEF|GEN//conj//43 ansvar//NN|NEU|SIN|IND|NOM//conj//37 för//PP//case//48 kontroll//NN|UTR|SIN|IND|NOM//nmod//46 och//KN//cc//50 uppföljning//NN|UTR|SIN|IND|NOM//conj//48 respektive//AB//cc//53 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//53 ansvar//NN|NEU|SIN|IND|NOM//conj//37 för//PP//case//55 tillsyn//NN|UTR|SIN|IND|NOM//nmod//53 ,//MID//punct//12 //NN|AN//punct//12 undersöka//VB|INF|AKT//conj//12 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//58 för//PP//advmod//58 och//KN//cc//62 överväga//VB|INF|AKT//conj//58 behovet//NN|NEU|SIN|DEF|NOM//obj//62 av//PP//case//67 en//DT|UTR|SIN|IND//det//67 enhetlig//JJ|POS|UTR|SIN|IND|NOM//amod//67 reglering//NN|UTR|SIN|IND|NOM//nmod//63 av//PP//case//71 det//DT|NEU|SIN|DEF//det//71 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//71 ansvaret//NN|NEU|SIN|DEF|NOM//nmod//67 för//PP//case//73 kontroll//NN|UTR|SIN|IND|NOM//nmod//71 ,//MID//punct//75 uppföljning//NN|UTR|SIN|IND|NOM//conj//73 och//KN//cc//81 tillsyn//NN|UTR|SIN|IND|NOM//nmod:poss//81 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//80 privat//AB|POS//amod//80 utförd//PC|PRF|UTR|SIN|IND|NOM//amod//81 verksamhet//NN|UTR|SIN|IND|NOM//conj//73 ,//MID//punct//12 //NN|AN//nsubj//84 analysera//VB|INF|AKT//parataxis//12 hur//HA//advmod//109 gränsdragningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//109 mellan//PP//case//90 det//DT|NEU|SIN|DEF//det//90 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//90 ansvaret//NN|NEU|SIN|DEF|NOM//nmod//86 och//KN//cc//93 det//DT|NEU|SIN|DEF//det//93 ansvar//NN|NEU|SIN|IND|NOM//conj//90 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//95 tillsynsmyndigheter//NN|UTR|PLU|IND|NOM//nsubj//96 har//VB|PRS|AKT//acl:relcl//93 för//PP//case//98 verksamhet//NN|UTR|SIN|IND|NOM//obl//96 som//HP|-|-|-//nsubj:pass//100 utförs//VB|PRS|SFO//advcl//96 i//PP//case//103 privat//JJ|POS|UTR|SIN|IND|NOM//amod//103 regi//NN|UTR|SIN|IND|NOM//obl//100 (//PAD//punct//106 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//106 entreprenad//NN|UTR|SIN|IND|NOM//appos//103 )//PAD//punct//86 kan//VB|PRS|AKT//aux//109 tydliggöras//VB|INF|SFO//ccomp//84 ,//MID//punct//109 //IE//conj//109 klargöra//VB|INF|AKT//conj//109 vad//HP|NEU|SIN|IND//obj//124 skollagens//NN|UTR|SIN|DEF|GEN//nmod:poss//115 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//124 om//PP//case//118 kommuners//NN|UTR|PLU|IND|GEN//nmod:poss//118 rätt//NN|UTR|SIN|IND|NOM//nmod//115 till//PP//case//120 insyn//NN|UTR|SIN|IND|NOM//nmod//118 i//PP//case//123 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//123 verksamhet//NN|UTR|SIN|IND|NOM//nmod//118 innebär//VB|PRS|AKT//ccomp//112 för//PP//case//126 kommunerna//NN|UTR|PLU|DEF|NOM//obl//124 ,//MID//punct//109 och//KN//punct//12
Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//1 ingår//VB|PRS|AKT//ROOT//1 inte//AB//advmod//1 i//PP//case//4 uppdraget//NN|NEU|SIN|DEF|NOM//obl//1 att//IE//mark//6 föreslå//VB|INF|AKT//csubj//1 några//DT|UTR/NEU|PLU|IND//det//9 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 förändringar//NN|UTR|PLU|IND|NOM//obj//6 av//PP//case//13 den//DT|UTR|SIN|DEF//det//13 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 tillsynen//NN|UTR|SIN|DEF|NOM//nmod//9 .//MAD//punct//1
Uppdraget;Allmänhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 behov//NN|NEU|SIN|IND|NOM//ROOT//1 av//PP//case//3 insyn//NN|UTR|SIN|IND|NOM//nmod//1 och//KN//cc//5 information//NN|UTR|SIN|IND|NOM//conj//3
Uppdraget;Regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 utgångspunkt//NN|UTR|SIN|IND|NOM//nsubj:pass//44 är//VB|PRS|AKT//cop//1 att//SN//mark//11 allmänhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 möjlighet//NN|UTR|SIN|IND|NOM//nsubj//11 till//PP//case//7 insyn//NN|UTR|SIN|IND|NOM//nmod//5 inte//AB//advmod//11 ska//VB|PRS|AKT//aux//11 vara//VB|INF|AKT//cop//11 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//csubj//1 av//PP//compound:prt//11 på//PP//case//15 vilket//HD|NEU|SIN|IND//det//15 sätt//NN|NEU|SIN|IND|NOM//obl//19 den//DT|UTR|SIN|DEF//det//18 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//18 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//19 organiseras//VB|PRS|SFO//advcl//11 (//PAD//punct//1 jfr//VB|AN//parataxis//1 prop//NN|UTR|SIN|IND|NOM//obj//21 .//MAD//punct//1
Uppdraget;2011/12:106//RG|NOM//nummod//26 s.//NN|AN//nmod//26 94//RG|NOM//nmod//1 )//PAD//punct//1 .//MAD//punct//1
Uppdraget;I//PP//case//31 de//DT|UTR/NEU|PLU|DEF//det//31 fall//NN|NEU|PLU|IND|NOM//obl//44 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//44 helt//AB|POS//advmod//44 eller//KN//cc//36 delvis//AB//advmod//36 utförs//VB|PRS|SFO//conj//33 av//PP//case//39 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 aktörer//NN|UTR|PLU|IND|NOM//obl:agent//36 måste//VB|PRS|AKT//aux//44 dock//AB//advmod//43 en//DT|UTR|SIN|IND//det//43 avvägning//NN|UTR|SIN|IND|NOM//nsubj:pass//44 göras//VB|INF|SFO//ROOT//44 mellan//PP//case//50 å//PP//advmod//50 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//fixed//46 sidan//NN|UTR|SIN|DEF|NOM//fixed//46 allmänhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//50 intresse//NN|NEU|SIN|IND|NOM//obl//44 av//PP//case//52 insyn//NN|UTR|SIN|IND|NOM//nmod//50 och//KN//cc//60 å//PP//advmod//60 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//fixed//54 sidan//NN|UTR|SIN|DEF|NOM//fixed//54 den//DT|UTR|SIN|DEF//det//59 privata//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//59 aktörens//NN|UTR|SIN|DEF|GEN//nmod:poss//60 intresse//NN|NEU|SIN|IND|NOM//conj//50 av//PP//mark//65 att//IE//mark//65 inte//AB//advmod//65 behöva//VB|INF|AKT//aux//65 lämna//VB|INF|AKT//acl//60 ut//PL//compound:prt//65 information//NN|UTR|SIN|IND|NOM//obj//65 som//HP|-|-|-//nsubj//74 av//PP//case//70 konkurrensskäl//NN|NEU|PLU|IND|NOM//obl//74 kan//VB|PRS|AKT//aux//72 vara//VB|INF|AKT//cop//74 till//PP//case//74 nackdel//NN|UTR|SIN|IND|NOM//acl:relcl//67 för//PP//case//76 denne//PN|MAS|SIN|DEF|SUB/OBJ//nmod//74 att//IE//mark//78 lämna//VB|INF|AKT//acl//76 ut//PL//compound:prt//78 .//MAD//punct//50
Uppdraget;Av//PP//case//83 detta//DT|NEU|SIN|DEF//det//83 skäl//NN|NEU|SIN|IND|NOM//obl//84 finns//VB|PRS|SFO//conj//44 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//84 i//PP//case//87 lagstiftningen//NN|UTR|SIN|DEF|NOM//obl//84 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//89 krav//NN|NEU|PLU|IND|NOM//obj//84 på//PP//case//91 insyn//NN|UTR|SIN|IND|NOM//obl//84 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//mark//100 på//PP//fixed//92 vilket//HD|NEU|SIN|IND//det//96 rättsligt//JJ|POS|NEU|SIN|IND|NOM//amod//96 inflytande//NN|NEU|SIN|IND|NOM//amod//97 kommunen//NN|UTR|SIN|DEF|NOM//nsubj//100 eller//KN//cc//99 landstinget//NN|NEU|SIN|DEF|NOM//conj//97 har//VB|PRS|AKT//advcl//84 över//PP//case//104 det//DT|NEU|SIN|DEF//det//104 privaträttsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//104 organ//NN|NEU|SIN|IND|NOM//obl//100 som//HP|-|-|-//obl//109 den//DT|UTR|SIN|DEF//det//108 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//108 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//109 bedrivs//VB|PRS|SFO//acl:relcl//104 i//PP//case//105 .//MAD//punct//44
Uppdraget;När//HA//mark//3 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//2 verksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//3 överlämnas//VB|PRS|SFO//advcl//19 på//PP//case//5 entreprenad//NN|UTR|SIN|IND|NOM//obl//3 ska//VB|PRS|AKT//aux//19 kommunen//NN|UTR|SIN|DEF|NOM//nsubj//19 eller//KN//cc//9 landstinget//NN|NEU|SIN|DEF|NOM//conj//7 enligt//PP//case//16 3//RG|NOM//nummod//12 kap.//NN|AN//nmod//13 19//RG|NOM//nummod//16 a//NN|NEU|SIN|IND|NOM//case//16 §//NN|AN//nmod//16 kommunallagen//NN|UTR|SIN|DEF|NOM//nmod//9 i//PP//case//18 avtalet//NN|NEU|SIN|DEF|NOM//nmod//16 beakta//VB|INF|AKT//ROOT//19 intresset//NN|NEU|SIN|DEF|NOM//obj//19 av//PP//mark//25 att//IE//mark//25 genom//PP//case//24 avtalet//NN|NEU|SIN|DEF|NOM//obl//25 tillförsäkras//VB|PRS|SFO//acl//20 information//NN|UTR|SIN|IND|NOM//nsubj:pass//25 som//HP|-|-|-//nsubj//28 gör//VB|PRS|AKT//acl:relcl//26 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//28 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//28 för//PP//case//32 allmänheten//NN|UTR|SIN|DEF|NOM//obl//28 att//IE//mark//34 få//VB|INF|AKT//xcomp//28 insyn//NN|UTR|SIN|IND|NOM//obj//34 .//MAD//punct//19
Uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//appos//19 om//PP//case//40 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 företag//NN|NEU|PLU|IND|NOM//nmod//37 –//RG|NOM//punct//42 upphandling//NN|UTR|SIN|IND|NOM//conj//40 ,//MID//punct//44 kontroll//NN|UTR|SIN|IND|NOM//conj//42 ,//MID//punct//46 insyn//NN|UTR|SIN|IND|NOM//conj//40 (//PAD//punct//46 OFUKIutredningen//NN|UTR|SIN|DEF|NOM//conj//40 )//PAD//punct//37 (//PAD//punct//51 Fi//PM|NOM//appos//19 2009:08//RG|NOM//nummod//51 )//PAD//punct//51 har//VB|PRS|AKT//conj//19 i//PP//case//59 sitt//PS|NEU|SIN|DEF//nmod:poss//57 betänkande//NN|NEU|SIN|IND|NOM//nmod//59 Offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//59 upphandling//NN|UTR|SIN|IND|NOM//obl//54 från//PP//case//62 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//62 företag//NN|NEU|SIN|IND|NOM//nmod//59 ?//MID//punct//19 !//MID//punct//19 –//RG|NOM//punct//70
Uppdraget;och//KN//cc//70 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 frågor//NN|UTR|PLU|IND|NOM//nsubj//70 konstaterat//VB|SUP|AKT//conj//19 att//SN//mark//73 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//73 finns//VB|PRS|SFO//ccomp//70 indikationer//NN|UTR|PLU|IND|NOM//nsubj//73 på//PP//mark//77 att//SN//mark//77 överlämnande//NN|NEU|SIN|IND|NOM//acl//74 av//PP//case//80 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//80 verksamhet//NN|UTR|SIN|IND|NOM//obl//77 på//PP//case//82 entreprenad//NN|UTR|SIN|IND|NOM//obl//77 sker//VB|PRS|AKT//conj//70 utan//PP//mark//90 att//SN//mark//90 allmänhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//87 intresse//NN|NEU|SIN|IND|NOM//nsubj//90 av//PP//mark//90 att//IE//mark//90 få//VB|INF|AKT//advcl//70 information//NN|UTR|SIN|IND|NOM//nsubj:pass//92 beaktas//VB|INF|SFO//xcomp//90 i//PP//case//96 tillräckligt//AB|POS//advmod//95 hög//JJ|POS|UTR|SIN|IND|NOM//amod//96 utsträckning//NN|UTR|SIN|IND|NOM//obl//92 (//PAD//punct//96 SOU//PM|NOM//appos//96 2011:43//RG|NOM//punct//70 s.//NN|AN//nmod//101 587//RG|NOM//obl//70 och//KN//cc//103 588//RG|NOM//conj//101 )//PAD//punct//70 .//MAD//punct//108
Uppdraget;Enligt//PP//case//107 utredningen//NN|UTR|SIN|DEF|NOM//obl//108 innehåller//VB|PRS|AKT//conj//19 endast//AB//advmod//108 en//DT|UTR|SIN|IND//det//112 liten//JJ|POS|UTR|SIN|IND|NOM//amod//112 andel//NN|UTR|SIN|IND|NOM//obj//108 av//PP//case//115 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//115 avtal//NN|NEU|PLU|IND|NOM//nmod//112 med//PP//case//118 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//118 entreprenörer//NN|UTR|PLU|IND|NOM//nmod//115 regler//NN|UTR|PLU|IND|NOM//obj//108 om//PP//case//121 insyn//NN|UTR|SIN|IND|NOM//nmod//119 och//KN//cc//123 kunskapen//NN|UTR|SIN|DEF|NOM//conj//121 hos//PP//case//125 kommunerna//NN|UTR|PLU|DEF|NOM//nmod//123 om//PP//case//128 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//128 regler//NN|UTR|PLU|IND|NOM//nmod//125 synes//VB|PRS|SFO//advmod//108 vara//VB|INF|AKT//cop//131 låg//JJ|POS|UTR|SIN|IND|NOM//conj//19 .//MAD//punct//131
Uppdraget;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//141 ,//MID//punct//136 som//HP|-|-|-//nsubj//136 instämmer//VB|PRS|AKT//acl:relcl//133 i//PP//case//139 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//139 bedömning//NN|UTR|SIN|IND|NOM//obl//136 ,//MID//punct//133 har//VB|PRS|AKT//conj//19 i//PP//case//143 propositionen//NN|UTR|SIN|DEF|NOM//obl//144 Offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//145 upphandling//NN|UTR|SIN|IND|NOM//obj//141 från//PP//case//148 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//148 företag//NN|NEU|SIN|IND|NOM//nmod//145 –//RG|NOM//punct//154 och//KN//cc//154 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//153 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//153 frågor//NN|UTR|PLU|IND|NOM//nsubj//154 aviserat//VB|SUP|AKT//conj//141 att//SN//mark//164 frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//164 om//PP//case//159 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//159 insyn//NN|UTR|SIN|IND|NOM//nmod//156 i//PP//case//162 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//162 entreprenader//NN|UTR|PLU|IND|NOM//nmod//159 ska//VB|PRS|AKT//aux//164 utredas//VB|INF|SFO//ccomp//154 (//PAD//punct//164 prop//NN|UTR|SIN|IND|NOM//appos//164 .//MAD//punct//164
Uppdraget;2011/12:106//RG|NOM//nummod//170 s.//NN|AN//nmod//170 93–95//RG|NOM//obl//164 )//PAD//punct//170 .//MAD//punct//19
Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//174 finns//VB|PRS|SFO//parataxis//19 mot//PP//case//177 denna//DT|UTR|SIN|DEF//det//177 bakgrund//NN|UTR|SIN|IND|NOM//obl//174 ett//DT|NEU|SIN|IND//det//179 behov//NN|NEU|SIN|IND|NOM//nsubj//174 av//PP//mark//182 att//IE//mark//182 utreda//VB|INF|AKT//acl//179 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//182 för//PP//case//187 en//DT|UTR|SIN|IND//det//187 utvidgad//PC|PRF|UTR|SIN|IND|NOM//amod//187 möjlighet//NN|UTR|SIN|IND|NOM//obl//182 till//PP//case//189 insyn//NN|UTR|SIN|IND|NOM//nmod//187 i//PP//case//192 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//192 entreprenader//NN|UTR|PLU|IND|NOM//nmod//189 .//MAD//punct//174
Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//199 kan//VB|PRS|AKT//aux//199 i//PP//case//198 detta//DT|NEU|SIN|DEF//det//198 sammanhang//NN|NEU|SIN|IND|NOM//obl//199 nämnas//VB|INF|SFO//conj//19 att//SN//mark//203 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//203 har//VB|PRS|AKT//aux//203 gett//VB|SUP|AKT//advcl//199 en//DT|UTR|SIN|IND//det//206 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//206 utredare//NN|UTR|SIN|IND|NOM//obj//203 i//PP//case//208 uppdrag//NN|NEU|SIN|IND|NOM//nmod//206 att//IE//mark//210 se//VB|INF|AKT//acl//206 över//PL//case//212 frågan//NN|UTR|SIN|DEF|NOM//obj//210 om//PP//case//215 stärkt//PC|PRF|NEU|SIN|IND|NOM//amod//215 meddelarskydd//NN|NEU|SIN|IND|NOM//nmod//212 för//PP//case//217 privatanställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//215 i//PP//case//221 offentligt//AB|POS//advmod//220 finansierad//PC|PRF|UTR|SIN|IND|NOM//amod//221 verksamhet//NN|UTR|SIN|IND|NOM//obl//210 ,//MID//punct//224 framför//PP//case//224 allt//PN|NEU|SIN|IND|SUB/OBJ//obl//210 i//PP//case//227 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//227 verksamhet//NN|UTR|SIN|IND|NOM//nmod//224 som//HP|-|-|-//nsubj//229 avser//VB|PRS|AKT//acl:relcl//227 vård//NN|UTR|SIN|IND|NOM//obj//229 ,//MID//punct//232 skola//NN|UTR|SIN|IND|NOM//conj//230 och//KN//cc//234 omsorg//NN|UTR|SIN|IND|NOM//conj//230 (//PAD//punct//230 dir//NN|AN//conj//230 .//MAD//punct//199
Uppdraget;2012:76//RG|NOM//obl//199 )//PAD//punct//199 .//MAD//punct//243
Uppdraget;Utgångspunkten//NN|UTR|SIN|DEF|NOM//nsubj//243 ska//VB|PRS|AKT//aux//243 vara//VB|INF|AKT//conj//19 att//SN//mark//260 meddelarskyddet//NN|NEU|SIN|DEF|NOM//nsubj//260 för//PP//case//247 privatanställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//245 i//PP//case//251 offentligt//AB|POS//advmod//250 finansierad//PC|PRF|UTR|SIN|IND|NOM//amod//251 verksamhet//NN|UTR|SIN|IND|NOM//nmod//247 så//AB//advmod//253 långt//AB|POS//advmod//257 som//HA//mark//257 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//257 är//VB|PRS|AKT//cop//257 möjligt//JJ|POS|NEU|SIN|IND|NOM//advmod//260 ska//VB|PRS|AKT//aux//260 vara//VB|INF|AKT//cop//260 detsamma//PN|NEU|SIN|DEF|SUB/OBJ//ccomp//243 som//KN//case//264 för//PP//case//264 offentligt//AB|POS//amod//264 anställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//obl//260 .//MAD//punct//19
