Uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 haft//VB|SUP|AKT//ROOT//2 i//PP//case//4 uppdrag//NN|NEU|SIN|IND|NOM//obj//2 att//IE//mark//6 se//VB|INF|AKT//acl//4 över//PL//compound:prt//6 det//DT|NEU|SIN|DEF//det//9 disciplinansvarssystem//NN|NEU|SIN|IND|NOM//obj//6 som//HP|-|-|-//nsubj//11 gäller//VB|PRS|AKT//acl:relcl//9 för//PP//case//13 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl//11 och//KN//cc//16 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 delar//NN|UTR|PLU|IND|NOM//conj//13 av//PP//case//18 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//16 ,//MID//punct//21 och//KN//cc//21 föreslå//VB|INF|AKT//conj//2 de//DT|UTR/NEU|PLU|DEF//det//23 åtgärder//NN|UTR|PLU|IND|NOM//obj//21 som//HP|-|-|-//nsubj:pass//25 behövs//VB|PRS|SFO//acl:relcl//23 för//PP//mark//33 att//SN//mark//33 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//33 om//PP//case//30 disciplinansvar//NN|NEU|SIN|IND|NOM//nmod//28 bättre//AB|KOM//advmod//33 ska//VB|PRS|AKT//aux//33 passa//VB|INF|AKT//advcl//25 det//DT|NEU|SIN|DEF//det//36 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//36 försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//38 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 uppgifter//NN|UTR|PLU|IND|NOM//obj//33 .//MAD//punct//2
Resultat av kartläggningen;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 gjort//VB|SUP|AKT//ROOT//2 jämförelser//NN|UTR|PLU|IND|NOM//obj//2 med//PP//case//5 regleringen//NN|UTR|SIN|DEF|NOM//obl//2 av//PP//case//7 disciplinansvar//NN|NEU|SIN|IND|NOM//nmod//5 i//PP//case//12 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 jämförbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 länders//NN|NEU|PLU|IND|GEN//nmod:poss//12 försvarsorganisationer//NN|UTR|PLU|IND|NOM//nmod//7 .//MAD//punct//2
Resultat av kartläggningen;Generellt//AB|POS//advmod//16 kan//VB|PRS|AKT//aux//16 sägas//VB|INF|SFO//conj//2 att//SN//mark//21 den//DT|UTR|SIN|DEF//det//20 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 jämförelsen//NN|UTR|SIN|DEF|NOM//nsubj//21 visar//VB|PRS|AKT//ccomp//16 att//SN//mark//26 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//26 är//VB|PRS|AKT//cop//26 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 systemskillnader//NN|UTR|PLU|IND|NOM//ccomp//21 mellan//PP//case//28 Sverige//PM|NOM//nmod//26 och//KN//cc//31 de//DT|UTR/NEU|PLU|DEF//det//31 länder//NN|NEU|PLU|IND|NOM//conj//26 som//HP|-|-|-//obj//35 vi//PN|UTR|PLU|DEF|SUB//nsubj//35 har//VB|PRS|AKT//aux//35 undersökt//VB|SUP|AKT//acl:relcl//31 .//MID//punct//2
Resultat av kartläggningen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//39 är//VB|PRS|AKT//cop//39 svårt//JJ|POS|NEU|SIN|IND|NOM//parataxis//2 att//IE//mark//41 hitta//VB|INF|AKT//csubj//39 ett//DT|NEU|SIN|IND//det//43 land//NN|NEU|SIN|IND|NOM//obj//41 med//PP//case//46 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//46 förutsättningar//NN|UTR|PLU|IND|NOM//obl//41 som//KN//mark//48 Sverige//PM|NOM//appos//46 .//MAD//punct//39
Resultat av kartläggningen;Avgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 skillnader//NN|UTR|PLU|IND|NOM//appos//39 är//VB|PRS|AKT//cop//51 att//SN//mark//55 Sverige//PM|NOM//nsubj//55 saknar//VB|PRS|AKT//csubj//51 en//DT|UTR|SIN|IND//det//58 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//58 militärstrafflag//NN|NEU|SIN|IND|NOM//obj//55 ,//MID//punct//55 att//SN//mark//65 disciplinbestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//65 hos//PP//case//63 oss//PN|UTR|PLU|DEF|OBJ//nmod//61 kan//VB|PRS|AKT//aux//65 avse//VB|INF|AKT//ccomp//55 såväl//KN//advmod//67 militär//NN|UTR|SIN|IND|NOM//obj//65 som//KN//case//70 civil//JJ|POS|UTR|SIN|IND|NOM//amod//70 personal//NN|UTR|SIN|IND|NOM//nmod//67 samt//KN//cc//76 att//SN//mark//73 anställd//PC|PRF|UTR|SIN|IND|NOM//advcl//76 militär//JJ|POS|UTR|SIN|IND|NOM//amod//75 personal//NN|UTR|SIN|IND|NOM//obj//73 jämställs//VB|PRS|SFO//conj//65 med//PP//case//80 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 statligt//JJ|POS|NEU|SIN|IND|NOM//amod//80 anställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//obl//76 i//PP//case//82 fredstid//NN|UTR|SIN|IND|NOM//nmod//80 .//MAD//punct//51
Resultat av kartläggningen;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//85 konstaterar//VB|PRS|AKT//parataxis//51 att//SN//mark//90 de//DT|UTR/NEU|PLU|DEF//det//89 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//89 systemskillnaderna//NN|UTR|PLU|DEF|NOM//nsubj//90 gör//VB|PRS|AKT//ccomp//85 att//SN//mark//94 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//94 är//VB|PRS|AKT//cop//94 svårt//JJ|POS|NEU|SIN|IND|NOM//ccomp//90 att//IE//mark//96 jämföra//VB|INF|AKT//csubj//94 med//PP//case//99 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//99 länder//NN|NEU|PLU|IND|NOM//obl//96 .//MAD//punct//85
Resultat av kartläggningen;Vi//PN|UTR|PLU|DEF|SUB//nsubj//105 har//VB|PRS|AKT//aux//105 heller//AB//advmod//105 inte//AB//advmod//105 funnit//VB|SUP|AKT//conj//39 några//DT|UTR/NEU|PLU|IND//det//107 lösningar//NN|UTR|PLU|IND|NOM//obj//105 utomlands//AB//advmod//105 som//HA//mark//111 vi//PN|UTR|PLU|DEF|SUB//nsubj//111 anser//VB|PRS|AKT//advcl//105 vara//VB|INF|AKT//cop//115 av//PP//case//115 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//115 intresse//NN|NEU|SIN|IND|NOM//xcomp//111 för//PP//case//118 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//118 förhållanden//NN|NEU|PLU|IND|NOM//nmod//115 .//MAD//punct//39

Våra överväganden och förslag;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 sammanfattningsvis//AB//advmod//1 att//SN//mark//7 disciplinansvarssystemet//NN|NEU|SIN|DEF|NOM//nsubj//7 ,//MID//punct//7 såvitt//SN//advmod//7 gäller//VB|PRS|AKT//ccomp//1 vilka//HD|UTR/NEU|PLU|IND//det//9 lagar//NN|UTR|PLU|IND|NOM//nsubj//28 som//HP|-|-|-//nsubj:pass//12 ska//VB|PRS|AKT//aux//12 tillämpas//VB|INF|SFO//acl:relcl//9 och//KN//cc//28 vilka//HD|UTR/NEU|PLU|IND//det//15 situationer//NN|UTR|PLU|IND|NOM//nsubj//28 samt//KN//cc//17 personer//NN|UTR|PLU|IND|NOM//conj//15 som//HP|-|-|-//nsubj:pass//20 ska//VB|PRS|AKT//aux//20 omfattas//VB|INF|SFO//acl:relcl//17 av//PP//case//23 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 regelverk//NN|NEU|PLU|IND|NOM//obl//20 ,//MID//punct//28 i//PP//case//26 grunden//NN|UTR|SIN|DEF|NOM//obl//28 bör//VB|PRS|AKT//aux//28 bestå//VB|INF|AKT//ccomp//7 oförändrat//AB|POS//advmod//28 .//MAD//punct//1
Våra överväganden och förslag;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//32 föreslår//VB|PRS|AKT//parataxis//1 dock//AB//advmod//32 ett//DT|NEU|SIN|IND//det//35 antal//NN|NEU|SIN|IND|NOM//nmod//36 ändringar//NN|UTR|PLU|IND|NOM//obj//32 i//PP//case//38 LDT//PM|NOM//nmod//36 som//HP|-|-|-//nsubj//40 innebär//VB|PRS|AKT//acl:relcl//36 en//DT|UTR|SIN|IND//det//43 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//43 ”//PAD//punct//44 tillnärmning//NN|UTR|SIN|IND|NOM//nsubj:pass//63 ”//PM|NOM//conj//44 av//PP//case//47 lagen//NN|UTR|SIN|DEF|NOM//nmod//44 till//PP//case//49 LOA//NN|AN//nmod//47 samt//KN//cc//52 en//DT|UTR|SIN|IND//det//52 anpassning//NN|UTR|SIN|IND|NOM//conj//44 till//PP//case//55 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//55 uppgifter//NN|UTR|PLU|IND|NOM//nmod//52 för//PP//case//57 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//55 .//MAD//punct//44
Våra överväganden och förslag;Grunden//NN|UTR|SIN|DEF|NOM//conj//44 för//PP//case//62 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//62 ställningstaganden//NN|NEU|PLU|IND|NOM//nmod//59 redovisas//VB|PRS|SFO//ccomp//40 utförligt//AB|POS//advmod//63 i//PP//case//67 kapitel//NN|NEU|SIN|IND|NOM//nmod//67 8//RG|NOM//obl//63 .//MID//punct//32
Våra överväganden och förslag;Närmast//AB|SUV//advmod//70 presenteras//VB|PRS|SFO//parataxis//1 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//72 överväganden//NN|NEU|PLU|IND|NOM//nsubj:pass//70 och//KN//cc//74 förslag//NN|NEU|PLU|IND|NOM//conj//72 översiktligt//AB|POS//advmod//70 .//MAD//punct//1

Behovet av ett disciplinansvarssystem inom totalförsvaret;Militär//JJ|POS|UTR|SIN|IND|NOM//amod//1 verksamhet//NN|UTR|SIN|IND|NOM//nsubj//6 är//VB|PRS|AKT//cop//6 till//PP//case//5 sin//PS|UTR|SIN|DEF//nmod:poss//5 natur//NN|UTR|SIN|IND|NOM//obl//6 sådan//JJ|POS|UTR|SIN|IND|NOM//ROOT//6 att//SN//mark//9 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//9 ställer//VB|PRS|AKT//csubj//6 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 krav//NN|NEU|PLU|IND|NOM//obj//9 vad//HP|NEU|SIN|IND//nsubj//13 gäller//VB|PRS|AKT//advcl//6 disciplin//NN|UTR|SIN|IND|NOM//obj//13 och//KN//cc//16 ordning//NN|UTR|SIN|IND|NOM//conj//14 .//MID//punct//6
Behovet av ett disciplinansvarssystem inom totalförsvaret;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//19 finns//VB|PRS|SFO//parataxis//6 enligt//PP//case//21 utredningen//NN|UTR|SIN|DEF|NOM//obl//19 ett//DT|NEU|SIN|IND//det//23 behov//NN|NEU|SIN|IND|NOM//obj//19 av//PP//mark//27 att//IE//mark//27 kunna//VB|INF|AKT//aux//27 ingripa//VB|INF|AKT//acl//23 med//PP//case//30 disciplinära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 åtgärder//NN|UTR|PLU|IND|NOM//obl//27 mot//PP//case//32 förseelser//NN|UTR|PLU|IND|NOM//nmod//30 inom//PP//case//34 försvaret//NN|NEU|SIN|DEF|NOM//obl//27 .//MAD//punct//19
Behovet av ett disciplinansvarssystem inom totalförsvaret;Behovet//NN|NEU|SIN|DEF|NOM//nsubj//43 av//PP//mark//42 att//SN//mark//42 instruktioner//NN|UTR|PLU|IND|NOM//nsubj:pass//42 och//KN//cc//41 order//NN|UTR|SIN|IND|NOM//conj//39 följs//VB|PRS|SFO//acl//36 gör//VB|PRS|AKT//conj//19 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//43 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//43 såväl//KN//advmod//48 under//PP//case//48 krig//NN|NEU|SIN|IND|NOM//obl//43 som//KN//case//51 i//PP//case//51 fred//NN|UTR|SIN|IND|NOM//obl//43 ,//MID//punct//57 och//KN//cc//57 oavsett//AB|POS//mark//57 om//SN//mark//57 tjänstgöringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//57 grundas//VB|PRS|SFO//conj//43 på//PP//case//59 plikt//NN|UTR|SIN|IND|NOM//obl//57 eller//KN//cc//61 frivillighet//NN|UTR|SIN|IND|NOM//conj//59 .//MID//punct//19
Behovet av ett disciplinansvarssystem inom totalförsvaret;Alla//DT|UTR/NEU|PLU|IND/DEF//det//64 personalkategorier//NN|UTR|PLU|IND|NOM//nsubj:pass//74 som//HP|-|-|-//nsubj//69 under//PP//case//68 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//68 omständigheter//NN|UTR|PLU|IND|NOM//obl//69 tjänstgör//VB|PRS|AKT//acl:relcl//64 eller//KN//cc//71 utbildas//VB|INF|SFO//conj//69 i//PP//case//73 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl//71 omfattas//VB|PRS|SFO//parataxis//19 därmed//AB//advmod//74 av//PP//case//78 verksamhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//78 behov//NN|NEU|PLU|IND|NOM//obl//74 av//PP//case//81 disciplinära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//81 regler//NN|UTR|PLU|IND|NOM//nmod//78 .//MAD//punct//6
Behovet av ett disciplinansvarssystem inom totalförsvaret;Landets//NN|NEU|SIN|DEF|GEN//nmod:poss//1 försvar//NN|NEU|SIN|IND|NOM//nsubj//5 är//VB|PRS|AKT//cop//5 även//AB//advmod//5 en//DT|UTR|SIN|IND//det//5 uppgift//NN|UTR|SIN|IND|NOM//ROOT//5 för//PP//case//9 det//DT|NEU|SIN|DEF//det//9 civila//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 försvaret//NN|NEU|SIN|DEF|NOM//nmod//5 .//MID//punct//5
Behovet av ett disciplinansvarssystem inom totalförsvaret;Det//DT|NEU|SIN|DEF//det//13 civila//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 försvaret//NN|NEU|SIN|DEF|NOM//nsubj//14 har//VB|PRS|AKT//parataxis//5 stor//JJ|POS|UTR|SIN|IND|NOM//amod//16 betydelse//NN|UTR|SIN|IND|NOM//obj//14 och//KN//cc//18 påverkar//VB|PRS|AKT//conj//14 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 totalförsvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//21 effektivitet//NN|UTR|SIN|IND|NOM//obj//18 och//KN//cc//23 funktion//NN|UTR|SIN|IND|NOM//conj//21 ,//MID//punct//5 och//KN//cc//29 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//29 måste//VB|PRS|AKT//aux//29 därför//AB//advmod//29 finnas//VB|INF|SFO//conj//5 möjlighet//NN|UTR|SIN|IND|NOM//obj//29 att//IE//mark//32 ingripa//VB|INF|AKT//acl//30 mot//PP//case//34 beteenden//NN|NEU|PLU|IND|NOM//obl//32 som//HP|-|-|-//nsubj//37 är//VB|PRS|AKT//aux:pass//37 ägnade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//34 att//IE//mark//39 minska//VB|INF|AKT//advcl//37 totalförsvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//41 förmåga//NN|UTR|SIN|IND|NOM//obj//39 .//MAD//punct//5
Behovet av ett disciplinansvarssystem inom totalförsvaret;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//44 innebär//VB|PRS|AKT//parataxis//5 att//SN//mark//48 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//48 fortfarande//AB//advmod//48 finns//VB|PRS|SFO//ccomp//44 behov//NN|NEU|SIN|IND|NOM//nsubj//48 av//PP//case//52 ett//DT|NEU|SIN|IND//det//52 disciplinansvarssystem//NN|NEU|SIN|IND|NOM//nmod//49 som//HP|-|-|-//nsubj//54 har//VB|PRS|AKT//acl:relcl//52 som//KN//mark//56 utgångspunkt//NN|UTR|SIN|IND|NOM//xcomp//54 att//SN//mark//62 totalförsvarsplikten//NN|UTR|SIN|DEF|NOM//nsubj:pass//62 kan//VB|PRS|AKT//aux//62 komma//VB|INF|AKT//aux//62 att//IE//mark//62 aktiveras//VB|INF|SFO//ccomp//54 om//SN//case//64 försvarsberedskapen//NN|UTR|SIN|DEF|NOM//obl//62 kräver//VB|PRS|AKT//conj//48 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//65 .//MAD//punct//5

Ett sammanhållet regelverk;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 enligt//PP//case//4 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//4 direktiv//NN|NEU|PLU|IND|NOM//obl//5 utrett//VB|SUP|AKT//ROOT//5 möjligheten//NN|UTR|SIN|DEF|NOM//obj//5 att//IE//mark//8 skapa//VB|INF|AKT//acl//6 ett//DT|NEU|SIN|IND//det//10 sammanhållet//PC|PRF|NEU|SIN|IND|NOM//amod//11 regelverk//NN|NEU|SIN|IND|NOM//obj//8 för//PP//case//13 disciplinfrågor//NN|UTR|PLU|IND|NOM//nmod//11 .//MAD//punct//5
Ett sammanhållet regelverk;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//16 innefattar//VB|PRS|AKT//parataxis//5 att//IE//mark//18 överväga//VB|INF|AKT//xcomp//16 ett//DT|NEU|SIN|IND//det//21 enhetligt//JJ|POS|NEU|SIN|IND|NOM//amod//21 system//NN|NEU|SIN|IND|NOM//obj//18 för//PP//case//24 all//DT|UTR|SIN|IND/DEF//det//24 anställd//PC|PRF|UTR|SIN|IND|NOM//obl//18 och//KN//cc//28 icke//AB//advmod//27 anställd//PC|PRF|UTR|SIN|IND|NOM//amod//28 personal//NN|UTR|SIN|IND|NOM//conj//18 inom//PP//case//30 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//28 .//MAD//punct//16
Ett sammanhållet regelverk;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//34 har//VB|PRS|AKT//aux//34 kommit//VB|SUP|AKT//conj//5 fram//PL//compound:prt//34 till//PP//mark//41 att//SN//mark//41 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//41 inte//AB//advmod//41 är//VB|PRS|AKT//cop//41 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//34 att//IE//mark//43 skapa//VB|INF|AKT//csubj//41 ett//DT|NEU|SIN|IND//det//46  //_SP////44 system//NN|NEU|SIN|IND|NOM//obj//43 som//HP|-|-|-//nsubj//48 innebär//VB|PRS|AKT//acl:relcl//46 att//SN//mark//58 en//DT|UTR|SIN|IND//det//52  //_SP////50 lag//NN|UTR|SIN|IND|NOM//nsubj//58 ,//MID//punct//52 dvs.//AB|AN//advmod//55 LOA//NN|AN//appos//52 eller//KN//cc//57 LDT//PM|NOM//conj//55 omfattar//VB|PRS|AKT//ccomp//48 alla//DT|UTR/NEU|PLU|IND/DEF//det//60 personalkategorier//NN|UTR|PLU|IND|NOM//obj//58 .//MAD//punct//34
Ett sammanhållet regelverk;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//70 bl.a.//AB|AN//advmod//70 till//PP//mark//70 följd//NN|UTR|SIN|IND|NOM//fixed//64 av//PP//fixed//64 att//SN//mark//70 personalens//NN|UTR|SIN|DEF|GEN//nmod:poss//69 tjänstgöring//NN|UTR|SIN|IND|NOM//nsubj//70 vilar//VB|PRS|AKT//parataxis//34 på//PP//case//74 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 rättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 grunder//NN|UTR|PLU|IND|NOM//obl//70 .//MAD//punct//70
Ett sammanhållet regelverk;Två//RG|NOM//nummod//77 system//NN|NEU|PLU|IND|NOM//nsubj//80 bör//VB|PRS|AKT//aux//80 således//AB//advmod//80 gälla//VB|INF|AKT//parataxis//70 även//AB//advmod//82 fortsättningsvis//AB//advmod//80 ,//MID//punct//86 men//KN//cc//86 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//86 görs//VB|PRS|SFO//conj//34 genom//PP//case//89 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//89 förslag//NN|NEU|SIN|IND|NOM//obl//86 mer//AB|KOM//advmod//91 lika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//86 .//MAD//punct//34
Ett sammanhållet regelverk;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//3 försvaret//NN|NEU|SIN|DEF|NOM//obl//12 ska//VB|PRS|AKT//aux//12 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//6 förband//NN|NEU|PLU|IND|NOM//nsubj:pass//12 ,//MID//punct//9 utom//PP//case//9 hemvärnet//NN|NEU|SIN|DEF|NOM//conj//6 ,//MID//punct//12 kunna//VB|INF|AKT//aux//12 användas//VB|INF|SFO//ROOT//12 i//PP//case//14 insatser//NN|UTR|PLU|IND|NOM//obl//12 såväl//KN//advmod//16 nationellt//AB|POS//advmod//14 som//KN//mark//18 internationellt//AB|POS//xcomp//12 .//MAD//punct//12
Ett sammanhållet regelverk;Med//PP//case//26 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//20 från//PP//fixed//20 det//DT|NEU|SIN|DEF//det//25 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//25 försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//26 behov//NN|NEU|SIN|IND|NOM//obl//41 och//KN//cc//29 de//DT|UTR/NEU|PLU|DEF//det//29 krav//NN|NEU|PLU|IND|NOM//conj//26 på//PP//case//31 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//29 som//HP|-|-|-//nsubj//33 följer//VB|PRS|AKT//acl:relcl//31 av//PP//compound:prt//33 den//DT|UTR|SIN|DEF//det//38 alltjämt//AB//advmod//38 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 totalförsvarsplikten//NN|UTR|SIN|DEF|NOM//obj//33 har//VB|PRS|AKT//aux//41 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//41 kommit//VB|SUP|AKT//conj//12 fram//PL//compound:prt//41 till//PP//mark//46 att//SN//mark//46 LDT//PM|NOM//nsubj//46 utgör//VB|PRS|AKT//advcl//41 ett//DT|NEU|SIN|IND//det//50 väl//AB|POS//advmod//49 avpassat//PC|PRF|NEU|SIN|IND|NOM//amod//50 regelverk//NN|NEU|SIN|IND|NOM//obj//46 för//PP//mark//53 att//IE//mark//53 främja//VB|INF|AKT//advcl//46 ordning//NN|UTR|SIN|IND|NOM//obj//53 och//KN//cc//56 säkerhet//NN|UTR|SIN|IND|NOM//conj//54 samt//KN//cc//60 för//PP//case//60 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//60 hantering//NN|UTR|SIN|IND|NOM//conj//53 av//PP//case//63 disciplinära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 förseelser//NN|UTR|PLU|IND|NOM//nmod//60 .//MAD//punct//41
Ett sammanhållet regelverk;Av//PP//case//67 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//67 kartläggning//NN|UTR|SIN|IND|NOM//nsubj//69 har//VB|PRS|AKT//aux//69 framgått//VB|SUP|AKT//parataxis//41 att//SN//mark//75 LDT//PM|NOM//nsubj//75 är//VB|PRS|AKT//cop//75 ett//DT|NEU|SIN|IND//det//75 etablerat//PC|PRF|NEU|SIN|IND|NOM//amod//75 regelverk//NN|NEU|SIN|IND|NOM//obj//69 och//KN//cc//79 att//SN//mark//79 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//79 finns//VB|PRS|SFO//conj//41 en//DT|UTR|SIN|IND//det//85 utvecklad//PC|PRF|UTR|SIN|IND|NOM//amod//85 och//KN//cc//84 väl//AB|POS//advmod//84 inarbetad//PC|PRF|UTR|SIN|IND|NOM//conj//81 praxis//NN|UTR|SIN|IND|NOM//nsubj//79 ,//MID//punct//88 vilket//HP|NEU|SIN|IND//nsubj//88 utgör//VB|PRS|AKT//acl:relcl//85 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//90 skäl//NN|NEU|PLU|IND|NOM//obj//88 för//PP//mark//93 att//IE//mark//93 behålla//VB|INF|AKT//advcl//88 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//95 system//NN|NEU|PLU|IND|NOM//obj//93 i//PP//case//98 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//98 huvuddrag//NN|NEU|PLU|IND|NOM//obl//93 .//MAD//punct//12

LDT:s tillämpningsområde;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 gjort//VB|SUP|AKT//ROOT//2 bedömningen//NN|UTR|SIN|DEF|NOM//obj//2 att//SN//mark//11 LDT//PM|NOM//nsubj:pass//11 ://MID//punct//5 s//JJ|AN//nummod//8 tillämpningsområde//NN|NEU|SIN|IND|NOM//nsubj:pass//11 inte//AB//advmod//11 bör//VB|PRS|AKT//aux//11 förändras//VB|INF|SFO//ccomp//2 .//MAD//punct//13
LDT:s tillämpningsområde;Behovet//NN|NEU|SIN|DEF|NOM//nsubj:pass//29 av//PP//case//18 ett//DT|NEU|SIN|IND//det//16 disciplinansvarssystem//NN|NEU|SIN|IND|NOM//dep//14 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//18 civilpliktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//13 ,//MID//punct//20 värnpliktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//18 ,//MID//punct//22 rekryter//NN|UTR|PLU|IND|NOM//conj//18 ,//MID//punct//24 officersaspiranter//NN|UTR|PLU|IND|NOM//conj//18 och//KN//cc//26 hemvärnsmän//NN|UTR|PLU|IND|NOM//conj//18 kan//VB|PRS|AKT//aux//29 inte//AB//advmod//29 tillgodoses//VB|INF|SFO//conj//11 genom//PP//case//31 LOA//NN|AN//obl//29 som//HP|-|-|-//nsubj//33 förutsätter//VB|PRS|AKT//acl:relcl//31 anställning//NN|UTR|SIN|IND|NOM//obj//33 .//MID//punct//2
LDT:s tillämpningsområde;LDT//PM|NOM//nsubj//37 innebär//VB|PRS|AKT//parataxis//2 ett//DT|NEU|SIN|IND//det//40 enhetligt//JJ|POS|NEU|SIN|IND|NOM//amod//40 system//NN|NEU|SIN|IND|NOM//obj//37 för//PP//case//45 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//45 icke//AB//advmod//44 anställd//PC|PRF|UTR|SIN|IND|NOM//amod//45 personal//NN|UTR|SIN|IND|NOM//nmod//40 i//PP//case//47 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//45 .//MAD//punct//37
