10 Förhållandet till yttrandefriheten ;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 görs//VB|PRS|SFO//ccomp//1 ett//DT|NEU|SIN|IND//det//6 undantag//NN|NEU|SIN|IND|NOM//obj//4 i//PP//case//8 persondatalagen//NN|UTR|SIN|DEF|NOM//nmod//6 för//PP//case//12 all//DT|UTR|SIN|IND/DEF//det//12 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//12 behandling//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//14 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//12 som//HP|-|-|-//nsubj:pass//16 skyddas//VB|PRS|SFO//acl:relcl//12 av//PP//case//18 TF//PM|NOM//obl:agent//16 och//KN//cc//20 YGL//PM|NOM//conj//18 eller//KN//cc//22 utförs//VB|PRS|SFO//conj//16 som//KN//mark//25 ett//DT|NEU|SIN|IND//det//25 led//NN|NEU|SIN|IND|NOM//advcl//22 i//PP//case//28 konstnärligt//JJ|POS|NEU|SIN|IND|NOM//amod//28 skapande//NN|NEU|SIN|IND|NOM//obl//25 .//MAD//punct//1
10.5.3 En internationell jämförelse;I//PP//advmod//12 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//18 gäller//VB|PRS|AKT//conj//12 vanliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 lagar//NN|UTR|PLU|IND|NOM//obj//20 även//AB//advmod//26 på//PP//case//26 yttrandefrihetens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 område//NN|NEU|SIN|IND|NOM//obl//20 .//MAD//punct//2
10.5.3 En internationell jämförelse;Den//DT|UTR|SIN|DEF//det//30 personliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 integriteten//NN|UTR|SIN|DEF|NOM//nsubj:pass//33 i//PP//case//32 massmedier//NN|NEU|PLU|IND|NOM//nmod//30 skyddas//VB|PRS|SFO//parataxis//2 –//RG|NOM//punct//37 förutom//PP//advmod//37 av//PP//case//37 regler//NN|UTR|PLU|IND|NOM//obl//33 mot//PP//case//39 ärekränkning//NN|UTR|SIN|IND|NOM//nmod//37 –//PAD//punct//43 av//PP//case//43 straffrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 regler//NN|UTR|PLU|IND|NOM//obl//33 till//PP//case//45 skydd//NN|NEU|SIN|IND|NOM//nmod//43 för//PP//case//48 privatlivets//NN|NEU|SIN|DEF|GEN//nmod:poss//48 fred//NN|UTR|SIN|IND|NOM//nmod//43 .//MAD//punct//2
10.5.3 En internationell jämförelse;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//51 bygger//VB|PRS|AKT//conj//2 på//PP//mark//55 att//SN//mark//55 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//55 görs//VB|PRS|SFO//advcl//51 en//DT|UTR|SIN|IND//det//57 intresseavvägning//NN|UTR|SIN|IND|NOM//nsubj:pass//55 mellan//PP//case//61 den//DT|UTR|SIN|DEF//det//60 enskildes//JJ|POS|MAS|SIN|DEF|GEN//amod//61 intresse//NN|NEU|SIN|IND|NOM//nmod//57 av//PP//mark//65 att//SN//mark//65 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//65 skyddas//VB|PRS|SFO//acl//61 och//KN//cc//67 allmänintresset//NN|NEU|SIN|DEF|NOM//conj//65 av//PP//mark//71 att//SN//mark//71 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//71 offentliggörs//VB|PRS|SFO//advcl//65 .//MID//punct//2
10.5.3 En internationell jämförelse;Domstolen//NN|UTR|SIN|DEF|NOM//nsubj//75 kan//VB|PRS|AKT//aux//75 förordna//VB|INF|AKT//conj//2 om//SN//case//77 förbud//NN|NEU|PLU|IND|NOM//obl//75 mot//PP//case//81 fortsatt//PC|PRF|NEU|SIN|IND|NOM//amod//81 kränkande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//81 verksamhet//NN|UTR|SIN|IND|NOM//obl//75 .//MAD//punct//75
10.5.3 En internationell jämförelse;Den//DT|UTR|SIN|DEF//det//84 enskilde//JJ|POS|MAS|SIN|DEF|NOM//nsubj//86 kan//VB|PRS|AKT//aux//86 få//VB|INF|AKT//conj//75 skadestånd//NN|NEU|SIN|IND|NOM//obj//86 för//PP//case//89 integritetskränkningar//NN|UTR|PLU|IND|NOM//obl//86 i//PP//case//91 massmedier//NN|NEU|PLU|IND|NOM//nmod//89 utan//PP//mark//95 att//SN//mark//95 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//95 finns//VB|PRS|SFO//advcl//86 något//DT|NEU|SIN|IND//det//98 bakomliggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//98 brott//NN|NEU|SIN|IND|NOM//nsubj//95 .//MAD//punct//75
10.5.3 En internationell jämförelse;De//DT|UTR/NEU|PLU|DEF//det//102 pressetiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//102 reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//104 har//VB|PRS|AKT//aux//104 lagreglerats//VB|SUP|SFO//parataxis//75 i//PP//case//106 medieansvarsloven//NN|UTR|SIN|DEF|NOM//obl//104 .//MAD//punct//75
10.5.3 En internationell jämförelse;Lagen//NN|UTR|SIN|DEF|NOM//nsubj//109 omfattar//VB|PRS|AKT//parataxis//75 alla//DT|UTR/NEU|PLU|IND/DEF//det//111 massmedier//NN|NEU|PLU|IND|NOM//obj//109 ,//MID//punct//114 både//KN//cc//114 tidningar//NN|UTR|PLU|IND|NOM//obl//109 och//KN//cc//116 radio//NN|UTR|SIN|IND|NOM//conj//114 och//KN//cc//118 TV//NN|UTR|SIN|IND|NOM//conj//114 .//MAD//punct//75
10.5.3 En internationell jämförelse;Lagen//NN|UTR|SIN|DEF|NOM//nsubj//121 innehåller//VB|PRS|AKT//parataxis//75 bl.a.//AB|AN//advmod//121 en//DT|UTR|SIN|IND//det//124 bestämmelse//NN|UTR|SIN|IND|NOM//obj//121 om//PP//case//126 beriktigande//NN|NEU|SIN|IND|NOM//nmod//124 .//MAD//punct//75
10.5.3 En internationell jämförelse;Pressnämnden//NN|UTR|SIN|DEF|NOM//nsubj//129 bevakar//VB|PRS|AKT//parataxis//75 att//SN//mark//132 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//132 följs//VB|PRS|SFO//ccomp//129 och//KN//cc//136 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//136 kan//VB|PRS|AKT//aux//136 ålägga//VB|INF|AKT//conj//132 den//DT|UTR|SIN|DEF//obj//136 klandrade//PC|PRF|UTR/NEU|SIN|DEF|NOM//xcomp//136 att//IE//mark//140 publicera//VB|INF|AKT//acl//138 ett//DT|NEU|SIN|IND//det//142 avgörande//NN|NEU|SIN|IND|NOM//obj//140 .//MAD//punct//75
10.5.3 En internationell jämförelse;Om//SN//mark//148 ett//DT|NEU|SIN|IND//det//147 klandrat//PC|PRF|NEU|SIN|IND|NOM//amod//147 massmedieföretag//NN|NEU|SIN|IND|NOM//nsubj//148 underlåter//VB|PRS|AKT//advcl//155 att//IE//mark//150 rätta//VB|INF|AKT//xcomp//148 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//150 efter//PP//case//154 nämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//154 beslut//NN|NEU|SIN|IND|NOM//obl//150 gör//VB|PRS|AKT//conj//75 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//155 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//155 skyldigt//AB|POS//xcomp//155 till//PP//case//161 ett//DT|NEU|SIN|IND//det//161 brott//NN|NEU|SIN|IND|NOM//obl//158 .//MAD//punct//75
10.5.3 En internationell jämförelse;Den//DT|UTR|SIN|DEF//det//164 saken//NN|UTR|SIN|DEF|NOM//nsubj:pass//165 prövas//VB|PRS|SFO//conj//75 av//PP//case//168 vanlig//JJ|POS|UTR|SIN|IND|NOM//amod//168 domstol//NN|UTR|SIN|IND|NOM//obl:agent//165 i//PP//case//171 ett//DT|NEU|SIN|IND//det//171 brottmål//NN|NEU|SIN|IND|NOM//nmod//168 .//MAD//punct//75
10.5.3 En internationell jämförelse;Finland//PM|NOM//nsubj//6  //_SP////0 har//VB|PRS|AKT//aux//6 under//PP//case//5 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 år//NN|NEU|PLU|IND|NOM//obl//6 gjort//VB|SUP|AKT//ROOT//6 ändringar//NN|UTR|PLU|IND|NOM//obj//6 i//PP//case//10 sin//PS|UTR|SIN|DEF//nmod:poss//10 personregisterlag//NN|NEU|SIN|IND|NOM//obl//6 så//AB//mark//14 att//SN//fixed//11 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//14 tillämpas//VB|PRS|SFO//advcl//6 på//PP//case//19 massmediernas//NN|NEU|PLU|DEF|GEN//nmod:poss//19 s.k.//AB|AN//amod//19 redaktionella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 register//NN|NEU|PLU|IND|NOM//obl//14 endast//AB//advmod//24 då//HA//mark//24 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//24 är//VB|PRS|AKT//cop//24 fråga//NN|UTR|SIN|IND|NOM//advcl//14 om//PP//case//26 skydd//NN|NEU|SIN|IND|NOM//obl//24 för//PP//case//29 ett//DT|NEU|SIN|IND//det//29 register//NN|NEU|SIN|IND|NOM//nmod//26 och//KN//cc//32 om//PP//case//32 övervakning//NN|UTR|SIN|IND|NOM//conj//24 av//PP//case//34 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//32 ,//MID//punct//32 dvs.//AB|AN//advmod//32 när//HA//nmod//32 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//39 gäller//VB|PRS|AKT//fixed//37 säkerhetsfrågor//NN|UTR|PLU|IND|NOM//obj//39 .//MAD//punct//32
10.5.3 En internationell jämförelse;Med//PP//case//45 ett//DT|NEU|SIN|IND//det//45 redaktionellt//JJ|POS|NEU|SIN|IND|NOM//amod//45 register//NN|NEU|SIN|IND|NOM//obl//46 avses//VB|PRS|SFO//conj//6 ett//DT|NEU|SIN|IND//det//48 personregister//NN|NEU|SIN|IND|NOM//obj//46 som//HP|-|-|-//nsubj:pass//51 skall//VB|PRS|AKT//aux//51 användas//VB|INF|SFO//acl:relcl//48 enbart//AB//advmod//51 i//PP//case//55 massmedialt//JJ|POS|NEU|SIN|IND|NOM//amod//55 redaktionsarbete//NN|NEU|SIN|IND|NOM//obl//51 och//KN//cc//60 som//HP|-|-|-//nsubj:pass//60 inte//AB//advmod//60 kan//VB|PRS|AKT//aux//60 nyttjas//VB|INF|SFO//conj//46 av//PP//case//62 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl:agent//60 än//KN//mark//64 de//PN|UTR/NEU|PLU|DEF|SUB//obl//60 som//HP|-|-|-//nsubj//66 utför//VB|PRS|AKT//acl:relcl//64 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//68 arbete//NN|NEU|SIN|IND|NOM//obj//66 .//MAD//punct//46
10.5.3 En internationell jämförelse;Personregisterlagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//71 tillämpas//VB|PRS|SFO//parataxis//46 inte//AB//advmod//71 på//PP//case//75 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//75 personregister//NN|UTR|PLU|IND|NOM//obl//71 som//HP|-|-|-//nsubj//77 innehåller//VB|PRS|AKT//acl:relcl//75 enbart//AB//advmod//79 publicerat//PC|PRF|NEU|SIN|IND|NOM//amod//80 material//NN|NEU|SIN|IND|NOM//obj//77 .//MAD//punct//71
10.5.3 En internationell jämförelse;189//RG|NOM//nummod//71
10.5.3 En internationell jämförelse;Grundlagsskyddet//NN|NEU|SIN|DEF|NOM//nsubj//5 för//PP//case//2 yttrandefriheten//NN|UTR|SIN|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//5 mer//AB|KOM//advmod//5 inskränkt//PC|PRF|UTR|SIN|IND|NOM//ROOT//5 än//KN//case//8 i//PP//case//8 Sverige//PM|NOM//obl//5 ,//MID//punct//13 men//KN//cc//13 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//13 är//VB|PRS|AKT//cop//13 föremål//NN|NEU|SIN|IND|NOM//conj//5 för//PP//case//15 översyn//NN|UTR|SIN|IND|NOM//obl//13 .//MAD//punct//13
10.5.3 En internationell jämförelse;Finland//PM|NOM//nsubj//18 har//VB|PRS|AKT//conj//5 ett//DT|NEU|SIN|IND//det//23 mer//AB|KOM//advmod//21 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 straffrättsligt//JJ|POS|NEU|SIN|IND|NOM//amod//23 skydd//NN|NEU|SIN|IND|NOM//obj//18 mot//PP//case//25 insamling//NN|UTR|SIN|IND|NOM//obl//18 och//KN//cc//27 offentliggörande//NN|NEU|SIN|IND|NOM//conj//18 av//PP//case//29 uppgifter//NN|UTR|PLU|IND|NOM//obl//27 om//PP//case//32 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 förhållanden//NN|NEU|PLU|IND|NOM//nmod//29 .//MAD//punct//5
10.5.3 En internationell jämförelse;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//36 är//VB|PRS|AKT//cop//36 straffbart//JJ|POS|NEU|SIN|IND|NOM//parataxis//5 att//IE//mark//38 sprida//VB|INF|AKT//acl//36 uppgifter//NN|UTR|PLU|IND|NOM//obj//38 om//PP//case//43 någon//DT|UTR|SIN|IND//det//43 annans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//43 privatliv//NN|NEU|SIN|IND|NOM//obl//38 som//HP|-|-|-//nsubj//46 är//VB|PRS|AKT//aux:pass//46 ägnade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//43 att//IE//mark//48 orsaka//VB|INF|AKT//advcl//46 skada//NN|UTR|SIN|IND|NOM//obj//48 eller//KN//cc//51 lidande//NN|NEU|SIN|IND|NOM//conj//49 .//MAD//punct//36
10.5.3 En internationell jämförelse;Tryckfrihetslagen//NN|UTR|SIN|DEF|NOM//nsubj//54 innehåller//VB|PRS|AKT//parataxis//36 regler//NN|UTR|PLU|IND|NOM//obj//54 om//PP//mark//57 beriktigande//NN|NEU|SIN|IND|NOM//nmod//55 och//KN//cc//59 genmäle//NN|NEU|SIN|IND|NOM//conj//57 .//MAD//punct//5
10.5.3 En internationell jämförelse;Den//DT|UTR|SIN|DEF//det//63 självsanerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//64 leds//VB|PRS|SFO//parataxis//5 av//PP//case//66 Opinionsnämnden//NN|UTR|SIN|DEF|NOM//obl:agent//64 för//PP//case//68 Massmedier//NN|NEU|PLU|IND|NOM//nmod//66 som//HP|-|-|-//nsubj//70 prövar//VB|PRS|AKT//acl:relcl//68 frågor//NN|UTR|PLU|IND|NOM//obj//70 rörande//PP//case//75 god//JJ|POS|UTR|SIN|IND|NOM//amod//75 journalistisk//JJ|POS|UTR|SIN|IND|NOM//amod//75 sed//NN|UTR|SIN|IND|NOM//obl//70 på//PP//case//79 det//DT|NEU|SIN|DEF//det//79 massmediala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//79 området//NN|NEU|SIN|DEF|NOM//obl//70 .//MAD//punct//5
10.5.3 En internationell jämförelse;Nämnden//NN|UTR|SIN|DEF|NOM//nsubj//84 är//VB|PRS|AKT//cop//84 inte//AB//advmod//84 bunden//PC|PRF|UTR|SIN|IND|NOM//parataxis//5 av//PP//case//88 någon//DT|UTR|SIN|IND//det//88 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//88 regelsamling//NN|UTR|SIN|IND|NOM//obl//84 utan//KN//cc//91 kan//VB|PRS|AKT//aux//91 fatta//VB|INF|AKT//conj//84 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//93 beslut//NN|NEU|PLU|IND|NOM//obj//91 efter//PP//case//97 en//DT|UTR|SIN|IND//det//97 fri//JJ|POS|UTR|SIN|IND|NOM//amod//97 prövning//NN|UTR|SIN|IND|NOM//obl//91 .//MAD//punct//84
10.5.3 En internationell jämförelse;Norges//PM|GEN//nmod:poss//2  //_SP////0 personregisterlag//NN|NEU|SIN|IND|NOM//nsubj:pass//3 tillämpas//VB|PRS|SFO//ROOT//3 i//PP//case//5 princip//NN|UTR|SIN|IND|NOM//obl//3 även//AB//advmod//10 på//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 massmediala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 personregistren//NN|NEU|PLU|DEF|NOM//obl//3 .//MAD//punct//3
10.5.3 En internationell jämförelse;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//15 har//VB|PRS|AKT//aux//15 dock//AB//advmod//15 gjorts//VB|SUP|SFO//conj//3 undantag//NN|NEU|PLU|IND|NOM//obj//15 för//PP//case//19 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 register//NN|NEU|PLU|IND|NOM//obl//15 som//HP|-|-|-//nsubj:pass//21 används//VB|PRS|SFO//acl:relcl//19 internt//AB|POS//obj//21 för//PP//case//25 redaktionellt//JJ|POS|NEU|SIN|IND|NOM//amod//25 arbete//NN|NEU|SIN|IND|NOM//nmod//22 .//MAD//punct//15
10.5.3 En internationell jämförelse;Den//DT|UTR|SIN|DEF//det//28 registeransvarige//JJ|POS|MAS|SIN|DEF|NOM//nsubj//31 måste//VB|PRS|AKT//aux//31 då//AB//advmod//31 följa//VB|INF|AKT//parataxis//15 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 fastställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//34 föreskrifter//NN|UTR|PLU|IND|NOM//obj//31 .//MAD//punct//15
10.5.3 En internationell jämförelse;För//PP//mark//38 att//IE//mark//38 få//VB|INF|AKT//advcl//45 tillgång//NN|UTR|SIN|IND|NOM//obj//38 till//PP//case//44 ett//DT|NEU|SIN|IND//det//42 massmedieföretags//NN|UTR|SIN|IND|GEN//nmod//43 register//NN|NEU|SIN|IND|NOM//nmod//44 on-line//AB//nmod//39 krävs//VB|PRS|SFO//conj//15 tillstånd//NN|NEU|SIN|IND|NOM//nsubj:pass//45 av//PP//case//48 dataskyddsmyndigheten//NN|UTR|SIN|DEF|NOM//nmod//46 .//MAD//punct//3
10.5.3 En internationell jämförelse;Liksom//PP//mark//5 i//PP//case//2 Danmark//PM|NOM//obl//5 och//KN//cc//4 Finland//PM|NOM//conj//2 finns//VB|PRS|SFO//ROOT//5 en//DT|UTR|SIN|IND//det//9 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//9 straffrättslig//JJ|POS|UTR|SIN|IND|NOM//amod//9 regel//NN|UTR|SIN|IND|NOM//nsubj//5 om//PP//case//11 kränkning//NN|UTR|SIN|IND|NOM//obl//5 av//PP//case//14 privatlivets//NN|NEU|SIN|DEF|GEN//nmod:poss//14 fred//NN|UTR|SIN|IND|NOM//nmod//11 .//MAD//punct//5
10.5.3 En internationell jämförelse;Rätten//NN|UTR|SIN|DEF|NOM//nsubj//20 till//PP//case//18 beriktigande//NN|NEU|SIN|IND|NOM//nmod//16 är//VB|PRS|AKT//cop//20 lagfäst//PC|PRF|NEU|SIN|IND|NOM//parataxis//5 och//KN//cc//22 straffsanktionerad//PC|PRF|UTR|SIN|IND|NOM//conj//20 .//MAD//punct//20
10.5.3 En internationell jämförelse;Den//DT|UTR|SIN|DEF//det//26 självsanerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj//28 är//VB|PRS|AKT//cop//28 uppbyggd//PC|PRF|UTR|SIN|IND|NOM//parataxis//20 på//PP//case//31 samma//DT|UTR/NEU|SIN/PLU|IND//det//31 sätt//NN|NEU|SIN|IND|NOM//obl//28 som//KN//mark//34 i//PP//case//34 Sverige//PM|NOM//acl//31 .//MAD//punct//20
10.5.3 En internationell jämförelse;I//PP//case//1 England//PM|NOM//obl//5  //_SP////1 är//VB|PRS|AKT//cop//5 datalagen//NN|UTR|SIN|DEF|NOM//nsubj//5 tillämplig//JJ|POS|UTR|SIN|IND|NOM//ROOT//5 även//AB//advmod//8 på//PP//case//8 databehandling//NN|UTR|SIN|IND|NOM//obl//5 inom//PP//case//12 det//DT|NEU|SIN|DEF//det//12 massmediala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 området//NN|NEU|SIN|DEF|NOM//obl//5 .//MAD//punct//5
10.5.3 En internationell jämförelse;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 finns//VB|PRS|SFO//ROOT//1 liksom//AB//advmod//1 i//PP//case//4 Sverige//PM|NOM//obl//1 inte//AB//advmod//1 något//DT|NEU|SIN|IND//det//8 generellt//JJ|POS|NEU|SIN|IND|NOM//amod//8 skydd//NN|NEU|SIN|IND|NOM//nsubj//1 för//PP//case//12 den//DT|UTR|SIN|DEF//det//12 personliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 integriteten//NN|UTR|SIN|DEF|NOM//obl//1 ,//MID//punct//16 men//KN//cc//16 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//16 finns//VB|PRS|SFO//conj//1 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 regler//NN|UTR|PLU|IND|NOM//nsubj//16 som//HP|-|-|-//nsubj//21 indirekt//AB|POS//advmod//21 ger//VB|PRS|AKT//acl:relcl//18 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//23 skydd//NN|NEU|SIN|IND|NOM//obj//21 .//MID//punct//16
10.5.3 En internationell jämförelse;De//DT|UTR/NEU|PLU|DEF//det//27 straffrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 reglerna//NN|UTR|PLU|DEF|NOM//nsubj//16 om//PP//mark//31 t.ex.//AB|AN//advmod//31 ärekränkning//NN|UTR|SIN|IND|NOM//nsubj:pass//31 tillämpas//VB|PRS|SFO//acl//27 emellertid//AB//advmod//31 sällan//AB//advmod//31 ,//MID//punct//39 utan//KN//cc//39 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//39 är//VB|PRS|AKT//cop//39 främst//AB|SUV//advmod//39 rätten//NN|UTR|SIN|DEF|NOM//conj//27 till//PP//case//41 skadestånd//NN|NEU|SIN|IND|NOM//nmod//39 som//HP|-|-|-//nsubj//44 är//VB|PRS|AKT//cop//44 aktuell//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//41 i//PP//case//46 sammanhanget//NN|NEU|SIN|DEF|NOM//obl//44 .//MID//punct//27
10.5.3 En internationell jämförelse;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//49 räcker//VB|PRS|AKT//conj//1 inte//AB//advmod//49 att//SN//mark//54 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//54 har//VB|PRS|AKT//aux//54 gjorts//VB|SUP|SFO//ccomp//49 ett//DT|NEU|SIN|IND//det//56 intrång//NN|NEU|SIN|IND|NOM//obj//54 i//PP//case//58 privatlivet//NN|NEU|SIN|DEF|NOM//nmod//56 utan//KN//cc//62 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//62 måste//VB|PRS|AKT//aux//62 finnas//VB|INF|SFO//conj//54 en//DT|UTR|SIN|IND//obj//62 –//RG|NOM//punct//67 av//PP//case//66 rättspraxis//NN|UTR|SIN|IND|NOM//obl//67 bestämd//PC|PRF|UTR|SIN|IND|NOM//advcl//62 –//PAD//punct//71 ytterligare//AB|KOM//advmod//70 skadegörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//71 handling//NN|UTR|SIN|IND|NOM//conj//67 som//KN//case//75 grund//NN|UTR|SIN|IND|NOM//fixed//72 för//PP//case//75 skadeståndsanspråket//NN|NEU|SIN|DEF|NOM//obl//67 .//MAD//punct//67
10.5.3 En internationell jämförelse;Den//DT|UTR|SIN|DEF//det//79 självsanerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//79 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj//80 fungerar//VB|PRS|AKT//parataxis//67 ungefär//AB//advmod//80 som//KN//case//84 i//PP//case//84 Sverige//PM|NOM//obl//80 .//MAD//punct//49
10.5.3 En internationell jämförelse;I//PP//case//1 Frankrike//PM|NOM//obl//36  //_SP////1 undantar//VB|PRS|AKT//amod//4 dataskyddslagen//NN|UTR|SIN|DEF|NOM//appos//1 i//PP//case//7 viss//JJ|POS|UTR|SIN|IND|NOM//amod//7 utsträckning//NN|UTR|SIN|IND|NOM//nmod//8 pressorgan//NN|NEU|PLU|IND|NOM//nmod//4 ,//MID//punct//8 tryckta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 skrifter//NN|UTR|PLU|IND|NOM//nmod//4 samt//KN//cc//13 radio//NN|UTR|SIN|IND|NOM//conj//11 och//KN//cc//15 TV//NN|UTR|SIN|IND|NOM//conj//11 inom//PP//case//20 ramen//NN|UTR|SIN|DEF|NOM//fixed//16 för//PP//fixed//16 de//DT|UTR/NEU|PLU|DEF//det//20 lagar//NN|UTR|PLU|IND|NOM//nmod//4 som//HP|-|-|-//nsubj//22 gäller//VB|PRS|AKT//acl:relcl//20 för//PP//case//24 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//22 och//KN//cc//28 i//PP//case//28 de//DT|UTR/NEU|PLU|DEF//det//28 fall//NN|NEU|PLU|IND|NOM//conj//22 då//HA//advmod//28 en//DT|UTR|SIN|IND//det//31 tillämpning//NN|UTR|SIN|IND|NOM//nsubj//36 av//PP//case//34 datalagens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 bestämmelser//NN|UTR|PLU|IND|NOM//nmod//31 skulle//VB|PRT|AKT//aux//36 leda//VB|INF|AKT//ROOT//36 till//PP//case//38 inskränkning//NN|UTR|SIN|IND|NOM//obl//36 av//PP//case//40 yttrandefriheten//NN|UTR|SIN|DEF|NOM//nmod//38 .//MAD//punct//36
10.5.3 En internationell jämförelse;Lagens//NN|UTR|SIN|DEF|GEN//nmod:poss//43 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//62 om//PP//case//46 bl.a.//AB|AN//advmod//46 förbud//NN|NEU|SIN|IND|NOM//nmod//43 mot//PP//case//48 registrering//NN|UTR|SIN|IND|NOM//nmod//43 av//PP//case//52 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 känsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 uppgifter//NN|UTR|PLU|IND|NOM//nmod//48 och//KN//cc//54 kravet//NN|NEU|SIN|DEF|NOM//conj//48 på//PP//case//56 medgivande//NN|NEU|SIN|IND|NOM//nmod//54 vad//HP|NEU|SIN|IND//nsubj//58 gäller//VB|PRS|AKT//acl:relcl//43 dataflöde//NN|NEU|SIN|IND|NOM//obj//58 över//PP//case//61 gränserna//NN|UTR|PLU|DEF|NOM//nmod//59 gäller//VB|PRS|AKT//parataxis//36 dock//AB//advmod//62 även//AB//advmod//62 på//PP//case//68 det//DT|NEU|SIN|DEF//det//68 massmediala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//68 området//NN|NEU|SIN|DEF|NOM//obl//62 .//MAD//punct//36
