Släpvagnskörning med B-körkort ;–//RG|NOM//punct//6 när//HA//advmod//6 kan//VB|PRS|AKT//aux//6 de//DT|UTR/NEU|PLU|DEF//det//5 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 EU-reglerna//NN|UTR|PLU|DEF|NOM//nsubj//6 börja//VB|INF|AKT//ROOT//6 tillämpas//VB|INF|SFO//xcomp//6 ?//MAD//punct//6
2.3.1 Fordons- och viktdefinitioner;2.3.5//RG|NOM//amod//20 Överlastavgift//NN|UTR|SIN|IND|NOM//parataxis//1
2.3.1 Fordons- och viktdefinitioner;Ett//DT|NEU|SIN|IND//det//2 fordons//NN|NEU|SIN|IND|GEN//nmod:poss//2 axel-//NN|UTR|-|-|SMS//nsubj//7 och//KN//cc//4 boggitryck//NN|NEU|SIN|IND|NOM//conj//2 samt//KN//cc//6 bruttovikt//NN|UTR|SIN|IND|NOM//conj//2 har//VB|PRS|AKT//ROOT//7 betydelse//NN|UTR|SIN|IND|NOM//obj//7 för//PP//case//11 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//11 belastning//NN|UTR|SIN|IND|NOM//obl//7 på//PP//case//13 vägen//NN|UTR|SIN|DEF|NOM//nmod//11 .//MAD//punct//7
2.3.1 Fordons- och viktdefinitioner;Ett//DT|NEU|SIN|IND//det//16 fordons//NN|NEU|SIN|IND|GEN//nmod:poss//17 kostnadsansvar//NN|NEU|SIN|IND|NOM//nsubj:pass//22 i//PP//case//21 form//NN|UTR|SIN|IND|NOM//fixed//18 av//PP//fixed//18 vägtrafikskatt//NN|UTR|SIN|IND|NOM//nmod//17 beräknas//VB|PRS|SFO//parataxis//7 utifrån//PP//case//25 tillåtna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//25 vikter//NN|UTR|PLU|IND|NOM//obl//22 och//KN//cc//27 tryck//NN|NEU|PLU|IND|NOM//conj//25 för//PP//case//29 fordonet//NN|NEU|SIN|DEF|NOM//nmod//27 .//MAD//punct//7
2.3.1 Fordons- och viktdefinitioner;Att//IE//mark//32 överlasta//VB|INF|AKT//csubj//35 ett//DT|NEU|SIN|IND//det//34 fordon//NN|NEU|SIN|IND|NOM//obj//32 innebär//VB|PRS|AKT//parataxis//7 risker//NN|UTR|PLU|IND|NOM//obj//35 från//PP//case//38 trafiksäkerhetssynpunkt//NN|UTR|SIN|IND|NOM//nmod//36 ,//MID//punct//42 eftersom//SN//mark//42 bromsegenskaperna//NN|UTR|PLU|DEF|NOM//nsubj:pass//42 ändras//VB|PRS|SFO//advcl//35 vid//PP//case//44 överlastning//NN|UTR|SIN|IND|NOM//obl//42 ,//MID//punct//49 och//KN//cc//49 ett//DT|NEU|SIN|IND//det//49 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//49 vägslitage//NN|NEU|SIN|IND|NOM//conj//42 .//MAD//punct//49
2.3.1 Fordons- och viktdefinitioner;Överlast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//advmod//54 kan//VB|PRS|AKT//aux//54 också//AB//advmod//54 sägas//VB|INF|SFO//conj//7 vara//VB|INF|AKT//cop//57 en//DT|UTR|SIN|IND//det//57 form//NN|UTR|SIN|IND|NOM//xcomp//54 av//PP//case//59 skatteundandragande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//57 ,//MID//punct//57 eftersom//SN//mark//63 skatten//NN|UTR|SIN|DEF|NOM//nsubj:pass//63 beräknas//VB|PRS|SFO//advcl//54 utifrån//PP//case//67 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 fordons//NN|NEU|PLU|IND|GEN//nmod:poss//67 ansvar//NN|NEU|SIN|IND|NOM//obl//63 för//PP//case//69 slitage//NN|NEU|SIN|IND|NOM//nmod//67 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//72 på//PP//case//72 vikter//NN|UTR|PLU|IND|NOM//obl//63 och//KN//cc//74 tryck//NN|NEU|PLU|IND|NOM//conj//72 .//MAD//punct//54
2.3.1 Fordons- och viktdefinitioner;I//PP//case//77 lagen//NN|UTR|SIN|DEF|NOM//obl//84 (//PAD//punct//79 1972:435//RG|NOM//conj//77 )//PAD//punct//79 om//PP//case//82 överlastavgift//NN|UTR|SIN|IND|NOM//nmod//77 m.m.//AB|AN//conj//82 anges//VB|PRS|SFO//advcl//54 att//SN//mark//90 en//DT|UTR|SIN|IND//det//87 avgift//NN|UTR|SIN|IND|NOM//nsubj:pass//90 för//PP//case//89 överlast//NN|UTR|SIN|IND|NOM//nmod//87 tas//VB|PRS|SFO//advcl//84 ut//PL//compound:prt//90 av//PP//case//94 en//DT|UTR|SIN|IND//det//94 fordonsägare//NN|UTR|SIN|IND|NOM//obl:agent//90 i//PP//case//97 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 situationer//NN|UTR|PLU|IND|NOM//nmod//94 .//MAD//punct//54
2.3.1 Fordons- och viktdefinitioner;En//DT|UTR|SIN|IND//det//101 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//101 situation//NN|UTR|SIN|IND|NOM//nsubj:pass//112 är//VB|PRS|AKT//cop//101 t.ex.//AB|AN//advmod//112 när//HA//mark//112 en//DT|UTR|SIN|IND//det//106 släpvagn//NN|UTR|SIN|IND|NOM//nsubj:pass//112 som//HP|-|-|-//nsubj:pass//108 dras//VB|PRS|SFO//acl:relcl//106 av//PP//case//111 en//DT|UTR|SIN|IND//det//111 bil//NN|UTR|SIN|IND|NOM//obl//108 framförs//VB|PRS|SFO//parataxis//54 på//PP//compound:prt//112 väg//NN|UTR|SIN|IND|NOM//fixed//113 med//PP//case//117 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//117 bruttovikt//NN|UTR|SIN|IND|NOM//obl//112 än//KN//mark//122 vad//HP|NEU|SIN|IND//dislocated//122 som//HP|-|-|-//nsubj//122 är//VB|PRS|AKT//cop//122 tillåtet//PC|PRF|NEU|SIN|IND|NOM//acl//117 för//PP//case//124 fordonet//NN|NEU|SIN|DEF|NOM//obl//122 eller//KN//cc//126 vägen//NN|UTR|SIN|DEF|NOM//conj//124 .//MAD//punct//54
2.3.1 Fordons- och viktdefinitioner;Lagen//NN|UTR|SIN|DEF|NOM//nsubj//129 omfattar//VB|PRS|AKT//parataxis//54 dock//AB//advmod//129 inte//AB//advmod//132 överlastade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//133 personbilar//NN|UTR|PLU|IND|NOM//obj//129 .//MAD//punct//129
2.3.1 Fordons- och viktdefinitioner;2.4//RG|NOM//nummod//136 Vägtrafikkonventionerna//NN|UTR|PLU|DEF|NOM//appos//129
2.3.1 Fordons- och viktdefinitioner;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 finns//VB|PRS|SFO//ROOT//1 två//RG|NOM//nummod//4 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 vägtrafikkonventioner//NN|UTR|PLU|IND|NOM//nsubj//1 ,//MID//punct//4 1949//RG|NOM//nummod//7 års//NN|NEU|SIN|IND|GEN//nmod:poss//8 Genèvekonvention//NN|UTR|SIN|IND|NOM//appos//4 och//KN//cc//12 1968//RG|NOM//nummod//11 års//NN|NEU|SIN|IND|GEN//nmod:poss//12 Wienkonvention//PM|NOM//conj//8 .//MAD//punct//4
2.3.1 Fordons- och viktdefinitioner;Konventionerna//NN|UTR|PLU|DEF|NOM//nsubj//17 är//VB|PRS|AKT//cop//17 så//AB//advmod//17 konstruerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//1 att//SN//mark//26 varje//DT|UTR/NEU|SIN|IND//det//20 stat//NN|UTR|SIN|IND|NOM//nsubj//26 som//HP|-|-|-//nsubj//22 ansluter//VB|PRS|AKT//acl:relcl//20 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//22 till//PP//case//25 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//22 förbinder//VB|PRS|AKT//advcl//17 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//26 att//IE//mark//29 godkänna//VB|INF|AKT//xcomp//26 körkort//NN|NEU|PLU|IND|NOM//obj//29 som//HP|-|-|-//nsubj:pass//32 utfärdats//VB|SUP|SFO//acl:relcl//30 i//PP//case//35 annan//JJ|POS|UTR|SIN|IND|NOM//amod//35 konventionsansåg//NN|UTR|SIN|IND|NOM//obl//32 departementschefen//NN|UTR|SIN|DEF|NOM//xcomp//32 att//SN//mark//42 de//DT|UTR/NEU|PLU|DEF//det//40 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 reglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//42 skulle//VB|PRT|AKT//aux//42 anpassas//VB|INF|SFO//advcl//32 till//PP//case//45 konventionens//NN|UTR|SIN|DEF|GEN//nmod:poss//45 bestämmelser//NN|UTR|PLU|IND|NOM//obl//42 ,//MID//punct//48 vilket//HP|NEU|SIN|IND//nsubj//48 skedde//VB|PRT|AKT//advcl//17 .//MAD//punct//1
2.3.1 Fordons- och viktdefinitioner;Till//PP//advmod//5 följd//NN|UTR|SIN|IND|NOM//fixed//0 av//PP//mark//5 att//SN//mark//5 Sverige//PM|NOM//nsubj//5 genomförde//VB|PRT|AKT//advcl//9 det//DT|NEU|SIN|DEF//det//8 andra//RO|NOM//amod//8 körkortsdirektivet//NN|NEU|SIN|DEF|NOM//obj//5 begränsades//VB|PRT|SFO//ROOT//9 B-behörigheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//9 till//PP//mark//13 att//IE//mark//13 gälla//VB|INF|AKT//advcl//9 personbil//NN|UTR|SIN|IND|NOM//obj//13 med//PP//case//16 totalvikt//NN|UTR|SIN|IND|NOM//obl//13 av//PP//case//20 högst//AB|SUV//advmod//19 3,5//RG|NOM//nummod//20 ton//NN|NEU|PLU|IND|NOM//nmod//16 medan//SN//case//23 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 totalvikt//NN|UTR|SIN|IND|NOM//obl//13 kräver//VB|PRS|AKT//conj//9 C-behörighet//NN|UTR|SIN|IND|NOM//obj//24 .//MAD//punct//9
2.3.1 Fordons- och viktdefinitioner;Tidigare//AB|KOM//advmod//28 fanns//VB|PRT|SFO//parataxis//9 ingen//DT|UTR|SIN|IND//det//31 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 viktbegränsning//NN|UTR|SIN|IND|NOM//nsubj//28 .//MAD//punct//28
2.3.1 Fordons- och viktdefinitioner;Av//PP//case//34 övergångbestämmelser//NN|UTR|PLU|IND|NOM//obl//28 till//PP//case//36 KKL//PM|NOM//nmod//34 gäller//VB|PRS|AKT//nsubj//28 att//SN//mark//52 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//52 som//HP|-|-|-//nsubj//42 har//VB|PRS|AKT//aux//42 förvärvat//VB|SUP|AKT//acl:relcl//39 ett//DT|NEU|SIN|IND//det//44 körkort//NN|NEU|SIN|IND|NOM//obj//42 före//PP//case//48 den//DT|UTR|SIN|DEF//det//48 1//RO|NOM//nummod//48 juli//NN|UTR|SIN|IND|NOM//obl//42 1996//RG|NOM//nummod//48 alltjämt//AB//advmod//52 får//VB|PRS|AKT//aux//52 köra//VB|INF|AKT//ccomp//37 en//DT|UTR|SIN|IND//det//54 personbil//NN|UTR|SIN|IND|NOM//obj//52 som//HP|-|-|-//nsubj//56 har//VB|PRS|AKT//acl:relcl//54 en//DT|UTR|SIN|IND//det//58 totalvikt//NN|UTR|SIN|IND|NOM//obj//56 över//PP//case//61 3,5//RG|NOM//nummod//61 ton//NN|NEU|PLU|IND|NOM//nmod//58 .//MAD//punct//9
2.3.1 Fordons- och viktdefinitioner;I//PP//case//1 prop//NN|UTR|SIN|IND|NOM//obl//42 .//MAD//punct//1
2.3.1 Fordons- och viktdefinitioner;1997/98:124//RG|NOM//discourse//27 ,//MID//punct//6 Ny//JJ|POS|UTR|SIN|IND|NOM//amod//6 körkortslag//NN|NEU|SIN|IND|NOM//conj//3 m.m.//AB|AN//conj//3 ,//MID//punct//9 uttalas//VB|PRS|SFO//conj//3 (//PAD//punct//9 s.//NN|AN//nmod//12 65//RG|NOM//obl:agent//9 )//PAD//punct//9 att//SN//mark//27 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//27 av//PP//case//17 riksdagen//NN|UTR|SIN|DEF|NOM//nmod//15 (//PAD//punct//19 Trafikutskottet//PM|NOM//dep//27 1995/96//RG|NOM//nummod//19 ://MID//punct//19
2.3.1 Fordons- och viktdefinitioner;TU2//PM|NOM//appos//19 s.//NN|AN//nmod//24 10//RG|NOM//nmod//22 )//PAD//punct//19 har//VB|PRS|AKT//aux//27 efterfrågats//VB|SUP|SFO//appos//1 enklare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//29 regler//NN|UTR|PLU|IND|NOM//obj//27 som//HP|-|-|-//nsubj//32 t.ex.//AB|AN//advmod//32 tar//VB|PRS|AKT//acl:relcl//29 sikte//NN|NEU|SIN|IND|NOM//obj//32 på//PP//case//35 dragbils//NN|UTR|SIN|DEF|GEN//obl//32 och//KN//cc//37 släpfordons//NN|UTR|SIN|DEF|GEN//conj//35 gemensamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//39 lastvikt//NN|UTR|SIN|IND|NOM//conj//35 .//MAD//punct//27
2.3.1 Fordons- och viktdefinitioner;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//42 fann//VB|PRT|AKT//ROOT//42 att//SN//mark//47 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//47 inte//AB//advmod//47 var//VB|PRT|AKT//cop//47 möjligt//JJ|POS|NEU|SIN|IND|NOM//ccomp//42 att//IE//mark//49 införa//VB|INF|AKT//csubj//47 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 regler//NN|UTR|PLU|IND|NOM//obj//49 än//KN//mark//53 de//PN|UTR/NEU|PLU|DEF|SUB//acl//51 som//KN//mark//55 körkortsdirektivet//NN|NEU|SIN|DEF|NOM//nmod//53 (//PAD//punct//57 91/439//RG|NOM//appos//47 ///MID//cc//59 EEG//NN|AN//conj//57 )//PAD//punct//57 föreskrev//VB|PRT|AKT//conj//47 och//KN//cc//68 att//SN//mark//68 de//DT|UTR/NEU|PLU|DEF//det//66 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 reglerna//NN|UTR|PLU|DEF|NOM//nsubj//68 då//AB//advmod//68 uppfyllde//VB|PRT|AKT//conj//47 direktivets//NN|NEU|SIN|DEF|GEN//nmod:poss//70 krav//NN|NEU|PLU|IND|NOM//obj//68 .//MAD//punct//42
2.3.1 Fordons- och viktdefinitioner;Regeln//NN|UTR|SIN|DEF|NOM//nsubj//75 var//VB|PRT|AKT//cop//75 väl//AB|POS//advmod//75 inarbetad//PC|PRF|UTR|SIN|IND|NOM//parataxis//42 och//KN//cc//77 hade//VB|PRT|AKT//conj//75 sin//PS|UTR|SIN|DEF//nmod:poss//79 grund//NN|UTR|SIN|IND|NOM//obj//77 i//PP//case//81 svårigheten//NN|UTR|SIN|DEF|NOM//obl//77 att//IE//mark//87 vid//PP//case//84 kontroller//NN|UTR|PLU|IND|NOM//obl//87 på//PP//case//86 väg//NN|UTR|SIN|IND|NOM//nmod//84 mäta//VB|INF|AKT//advcl//77 aktuell//JJ|POS|UTR|SIN|IND|NOM//amod//89 lastvikt//NN|UTR|SIN|IND|NOM//obj//87 ,//MID//punct//97 varför//HA//advmod//97 de//PN|UTR/NEU|PLU|DEF|SUB//det//96 av//PP//case//94 trafiksäkerhetsskäl//NN|NEU|PLU|IND|NOM//amod//96 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//96 viktbegränsningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//97 knutits//VB|SUP|SFO//acl//89 till//PP//case//99 tjänstevikt//NN|UTR|SIN|IND|NOM//obl//97 respektive//AB//cc//101 totalvikt//NN|UTR|SIN|IND|NOM//conj//99 .//MAD//punct//42

3 Bakgrund till uppdraget;3.1//RG|NOM//amod//1 Utarbetandet//NN|NEU|SIN|DEF|NOM//ROOT//1 av//PP//case//5 det//DT|NEU|SIN|DEF//det//5 tredje//RO|NOM//amod//5 körkortsdirektivet//NN|NEU|SIN|DEF|NOM//nmod//1
3 Bakgrund till uppdraget;I//PP//case//2 det//DT|NEU|SIN|DEF//det//2 förslag//NN|NEU|SIN|IND|NOM//obl//10 till//PP//case//4 direktiv//NN|NEU|PLU|IND|NOM//nmod//2 som//HP|-|-|-//obl//7 kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//7 lade//VB|PRT|AKT//acl:relcl//2 fram//PL//compound:prt//7 inledningsvis//AB//advmod//10 framgår//VB|PRS|AKT//ROOT//10 att//SN//mark//22 anledningen//NN|UTR|SIN|DEF|NOM//nsubj//22 till//PP//mark//17 att//SN//mark//17 man//PN|UTR|SIN|IND|SUB//nsubj//17 ville//VB|PRT|AKT//aux//17 se//VB|INF|AKT//acl//12 över//PL//case//19 släpvagns-//NN|UTR|-|-|SMS//obl//17 och//KN//cc//21 dragbilsvikterna//NN|UTR|PLU|DEF|NOM//conj//19 var//VB|PRT|AKT//ccomp//10 att//SN//mark//30 den//DT|UTR|SIN|DEF//det//26 befintliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 definitionen//NN|UTR|SIN|DEF|NOM//nsubj//30 för//PP//case//29 kategori//NN|UTR|SIN|IND|NOM//nmod//29 B//NN|NEU|SIN|IND|NOM//nmod//26 orsakade//VB|PRT|AKT//ccomp//22 problem//NN|NEU|PLU|IND|NOM//obj//30 för//PP//case//33 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//30 som//HP|-|-|-//nsubj//35 bytte//VB|PRT|AKT//acl:relcl//33 till//PP//case//38 tyngre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 dragbil//NN|UTR|SIN|IND|NOM//obl//35 eller//KN//cc//40 släpvagn//NN|UTR|SIN|IND|NOM//conj//38 och//KN//cc//44 då//AB//advmod//44 blev//VB|PRT|AKT//aux:pass//44 tvungen//PC|PRF|UTR|SIN|IND|NOM//conj//35 att//IE//mark//46 skaffa//VB|INF|AKT//xcomp//44 BE-behörighet//NN|UTR|SIN|IND|NOM//obj//46 .//MAD//punct//10
3 Bakgrund till uppdraget;Kommissionen//NN|UTR|SIN|DEF|NOM//nsubj//50 menade//VB|PRT|AKT//parataxis//10 att//SN//mark//56 en//DT|UTR|SIN|IND//det//54 konkret//JJ|POS|UTR|SIN|IND|NOM//amod//54 viktgräns//NN|UTR|SIN|IND|NOM//nsubj//56 borde//VB|PRT|AKT//aux//56 ersätta//VB|INF|AKT//ccomp//50 gränsen//NN|UTR|SIN|DEF|NOM//obj//56 för//PP//case//61 fordonskombinationens//NN|UTR|SIN|DEF|GEN//nmod:poss//61 sammanlagda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//61 vikt//NN|UTR|SIN|IND|NOM//nmod//57 och//KN//cc//63 föreslog//VB|PRT|AKT//conj//50 att//SN//mark//67 BEbehörighet//NN|UTR|SIN|IND|NOM//nsubj:pass//67 skulle//VB|PRT|AKT//aux//67 krävas//VB|INF|SFO//ccomp//63 om//SN//mark//70 släpvagnen//NN|UTR|SIN|DEF|NOM//nsubj//70 vägde//VB|PRT|AKT//advcl//67 över//AB//case//73 750//RG|NOM//nummod//73 kg//NN|AN//obl//70 .//MAD//punct//50
3 Bakgrund till uppdraget;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//79 skulle//VB|PRT|AKT//aux//79 enligt//PP//case//78 kommissionen//NN|UTR|SIN|DEF|NOM//obl//79 stämma//VB|INF|AKT//conj//50 överens//PL//xcomp//79 med//PP//case//84 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//84 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//84 krav//NN|NEU|PLU|IND|NOM//obl//79 eftersom//SN//mark//89 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//89 i//PP//case//88 praktiken//NN|UTR|SIN|DEF|NOM//obl//89 krävs//VB|PRS|SFO//advcl//79 ett//DT|NEU|SIN|IND//det//92 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//92 bromssystem//NN|NEU|SIN|IND|NOM//nsubj:pass//89 för//PP//case//94 släpvagnar//NN|UTR|PLU|IND|NOM//nmod//92 som//HP|-|-|-//nsubj//96 väger//VB|PRS|AKT//acl:relcl//94 över//AB//case//99 750//RG|NOM//nummod//99 kg//NN|AN//obl//96 .//MAD//punct//79
3 Bakgrund till uppdraget;FPT//PM|NOM//parataxis//79
3 Bakgrund till uppdraget;Det//DT|NEU|SIN|DEF//det//2 slutliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 direktivets//NN|NEU|SIN|DEF|GEN//nmod:poss//3 lydelse//NN|UTR|SIN|IND|NOM//nsubj//4 avviker//VB|PRS|AKT//ROOT//4 alltså//AB//advmod//4 från//PP//case//9 kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 ursprungliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 förslag//NN|NEU|SIN|IND|NOM//obl//4 ,//MID//punct//4 vilket//HP|NEU|SIN|IND//nsubj//12 blev//VB|PRT|AKT//parataxis//4 resultatet//NN|NEU|SIN|DEF|NOM//xcomp//12 av//PP//case//15 förhandlingar//NN|UTR|PLU|IND|NOM//nmod//13 och//KN//cc//17 kompromisser//NN|UTR|PLU|IND|NOM//conj//15 mellan//PP//case//19 medlemsländerna//NN|NEU|PLU|DEF|NOM//nmod//17 .//MAD//punct//4
3 Bakgrund till uppdraget;I//PP//case//1 Trafikutskottet//PM|NOM//obl//2 har//VB|PRS|AKT//aux//8 frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//8 om//PP//case//5 fordonsvikter//NN|UTR|PLU|IND|NOM//nmod//3 för//PP//case//7 släpvagnskombinationer//NN|UTR|PLU|IND|NOM//nmod//5 behandlats//VB|SUP|SFO//ROOT//8 vid//PP//case//11 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//11 tillfällen//NN|NEU|PLU|IND|NOM//obl//8 .//MAD//punct//8
3 Bakgrund till uppdraget;I//PP//case//14 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//15 2003/04//RG|NOM//obl//8 ://MID//punct//15
3 Bakgrund till uppdraget;TU6//PM|NOM//nsubj:pass//18 behandlades//VB|PRT|SFO//parataxis//15 bl.a.//AB|AN//advmod//20 motioner//NN|UTR|PLU|IND|NOM//obl:agent//18 som//HP|-|-|-//nsubj//22 ifrågasatte//VB|PRT|AKT//acl:relcl//20 bestämmelsen//NN|UTR|SIN|DEF|NOM//obj//22 som//HP|-|-|-//nsubj//25 innebär//VB|PRS|AKT//acl:relcl//23 att//SN//mark//32 släpvagnens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 totalvikt//NN|UTR|SIN|IND|NOM//nsubj//32 inte//AB//advmod//32 får//VB|PRS|AKT//aux//32 vara//VB|INF|AKT//cop//32 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//25 än//KN//case//35 dragbilens//NN|UTR|SIN|DEF|GEN//nmod:poss//35 tjänstevikt//NN|UTR|SIN|IND|NOM//obl//32 och//KN//cc//38 vidare//AB|KOM//advmod//38 behandlades//VB|PRT|SFO//conj//32 frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//38 om//PP//case//42 en//DT|UTR|SIN|IND//det//42 höjning//NN|UTR|SIN|IND|NOM//nmod//39 av//PP//case//44 totalvikten//NN|UTR|SIN|DEF|NOM//nmod//42 för//PP//case//47 en//DT|UTR|SIN|IND//det//47 fordonskombination//NN|UTR|SIN|IND|NOM//nmod//44 av//PP//case//49 dragbil//NN|UTR|SIN|IND|NOM//nmod//47 och//KN//cc//51 släpvagn//NN|UTR|SIN|IND|NOM//conj//49 .//MAD//punct//8
3 Bakgrund till uppdraget;Trafikutskottet//NN|NEU|SIN|DEF|NOM//nsubj//54 ansåg//VB|PRT|AKT//parataxis//8 att//SN//mark//61 utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//61 av//PP//case//58 fordonsparken//NN|UTR|SIN|DEF|NOM//nmod//56 delvis//AB//advmod//61 hade//VB|PRT|AKT//aux//61 förändrat//VB|SUP|AKT//ccomp//54 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//61 för//PP//mark//65 att//IE//mark//65 dra//VB|INF|AKT//advcl//61 släpvagnar//NN|UTR|PLU|IND|NOM//obj//65 .//MAD//punct//54
3 Bakgrund till uppdraget;Regeln//NN|UTR|SIN|DEF|NOM//nsubj:pass//80 om//PP//mark//76 att//SN//mark//76 släpvagnars//NN|UTR|PLU|IND|GEN//nmod:poss//72 totalvikt//NN|UTR|SIN|IND|NOM//nsubj//76 inte//AB//advmod//76 får//VB|PRS|AKT//aux//76 vara//VB|INF|AKT//cop//76 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//68 än//KN//case//79 bilens//NN|UTR|SIN|DEF|GEN//nmod:poss//79 tjänstevikt//NN|UTR|SIN|IND|NOM//obl//76 upplevdes//VB|PRT|SFO//conj//8 ibland//AB//advmod//80 som//KN//case//85 en//DT|UTR|SIN|IND//det//85 besvärande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//85 begränsning//NN|UTR|SIN|IND|NOM//obl//80 .//MAD//punct//80
3 Bakgrund till uppdraget;Samtidigt//AB//advmod//88 konstaterade//VB|PRT|AKT//amod//89 utskottet//NN|NEU|SIN|DEF|NOM//parataxis//80 att//SN//mark//92 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//92 finns//VB|PRS|SFO//acl//89 önskemål//NN|NEU|PLU|IND|NOM//nsubj//92 om//PP//case//96 en//DT|UTR|SIN|IND//det//96 höjning//NN|UTR|SIN|IND|NOM//nmod//93 av//PP//case//100 den//DT|UTR|SIN|DEF//det//100 sammanlagda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//100 viktgränsen//NN|UTR|SIN|DEF|NOM//nmod//96 på//PP//case//104 3//RG|NOM//nummod//103 500//RG|NOM//nummod//104 kg//NN|AN//nmod//100 .//MAD//punct//8
3 Bakgrund till uppdraget;Trafikutskottet//NN|NEU|SIN|DEF|NOM//nsubj//107 fann//VB|PRT|AKT//parataxis//8 att//SN//mark//111 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//111 är//VB|PRS|AKT//cop//111 viktigt//JJ|POS|NEU|SIN|IND|NOM//ccomp//107 att//SN//mark//116 regelverket//NN|NEU|SIN|DEF|NOM//nsubj//116 för//PP//case//115 fordonsvikter//NN|UTR|PLU|IND|NOM//obl//116 främjar//VB|PRS|AKT//csubj//111 en//DT|UTR|SIN|IND//det//118 utveckling//NN|UTR|SIN|IND|NOM//obj//116 av//PP//case//123 ändamålsenliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//123 och//KN//cc//122 trafiksäkra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//120 transporter//NN|UTR|PLU|IND|NOM//nmod//118 .//MAD//punct//107
