Etik och demokratisk statskonst (1);Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 skrift//NN|UTR|SIN|IND|NOM//nmod//3 nr//NN|AN//nmod//3 15//RG|NOM//ROOT//3
1. Totalsamhället;Men//KN//cc//94 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//94 finns//VB|PRS|SFO//conj//4 där//AB//advmod//94 .//MID//punct//94
1. Totalsamhället;Och//KN//cc//99 mycket//PN|NEU|SIN|IND|SUB/OBJ//advmod//99 tyder//VB|PRS|AKT//conj//94 på//PP//mark//109 att//SN//mark//109 både//KN//cc//103 etik//NN|UTR|SIN|IND|NOM//nsubj//109 och//KN//cc//105 konst//NN|UTR|SIN|IND|NOM//conj//103 i//PP//case//108 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//108 dagar//NN|UTR|PLU|IND|NOM//nmod//105 får//VB|PRS|AKT//advcl//99 allt//AB//advmod//111 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//112 utrymme//NN|NEU|SIN|IND|NOM//obj//109 i//PP//case//114 totalsamhället//NN|NEU|SIN|DEF|NOM//nmod//112 .//MAD//punct//4
1. Totalsamhället;I//PP//case//2 vår//PS|UTR|SIN|DEF//nmod:poss//2 tid//NN|UTR|SIN|IND|NOM//obl//3 skapas//VB|PRS|SFO//ROOT//3 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 självständiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 etiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 institutioner//NN|UTR|PLU|IND|NOM//nsubj:pass//3 .//MAD//punct//3
1. Totalsamhället;Etiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 kommittéer//NN|UTR|PLU|IND|NOM//nsubj:pass//3 vid//PP//case//13 sjukhus//NN|NEU|PLU|IND|NOM//nmod//11 och//KN//cc//15 forskningsinrättningar//NN|UTR|PLU|IND|NOM//conj//13 ,//MID//punct//11 etiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 vakthundar//NN|UTR|PLU|IND|NOM//conj//11 vid//PP//case//21 finansiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 marknader//NN|UTR|PLU|IND|NOM//nmod//18 ,//MID//punct//21 etiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 ombudsmän//NN|UTR|PLU|IND|NOM//conj//21 vid//PP//case//26 företag//NN|NEU|PLU|IND|NOM//nmod//24 och//KN//cc//28 medier//NN|NEU|PLU|IND|NOM//conj//26 ,//MID//punct//31 etiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 koder//NN|UTR|PLU|IND|NOM//conj//24 för//PP//case//34 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 yrken//NN|NEU|PLU|IND|NOM//nmod//31 –//RG|NOM//punct//11 allt//DT|NEU|SIN|IND/DEF//det//37 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//38 finns//VB|PRS|SFO//advcl//3 och//KN//cc//41 mer//AB|KOM//advmod//41 är//VB|PRS|AKT//conj//38 på//PP//case//43 väg//NN|UTR|SIN|IND|NOM//obl//38 .//MAD//punct//38
1. Totalsamhället;Universiteten//NN|NEU|PLU|DEF|NOM//nsubj//47 har//VB|PRS|AKT//aux//47 börjat//VB|SUP|AKT//conj//3 utbilda//VB|INF|AKT//amod//49 etiker//NN|UTR|PLU|IND|NOM//obj//47 .//MAD//punct//3
1. Totalsamhället;Man//PN|UTR|SIN|IND|SUB//nsubj//4 kan//VB|PRS|AKT//aux//4 dock//AB//advmod//4 inte//AB//advmod//4 hävda//VB|INF|AKT//ROOT//4 att//SN//mark//13 etiken//NN|UTR|SIN|DEF|NOM//nsubj//13 i//PP//case//9 vår//PS|UTR|SIN|DEF//nmod:poss//9 civilisation//NN|UTR|SIN|IND|NOM//obl//13 är//VB|PRS|AKT//cop//13 lika//AB//advmod//12 väl//AB|POS//advmod//13 utvecklad//PC|PRF|UTR|SIN|IND|NOM//ccomp//4 och//KN//cc//15 självständig//JJ|POS|UTR|SIN|IND|NOM//conj//13 som//KN//mark//17 konst//NN|UTR|SIN|IND|NOM//obl//13 ,//MID//punct//19 vetenskap//NN|UTR|SIN|IND|NOM//conj//17 ,//MID//punct//21 religion//NN|UTR|SIN|IND|NOM//conj//17 ,//MID//punct//23 affärsliv//NN|NEU|SIN|IND|NOM//conj//17 och//KN//cc//25 statskonst//NN|UTR|SIN|IND|NOM//conj//17 .//MID//punct//4
1. Totalsamhället;Det//DT|NEU|SIN|DEF//det//29 etiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 livsområdet//NN|NEU|SIN|DEF|NOM//nsubj//30 finns//VB|PRS|SFO//parataxis//4 alltjämt//AB//advmod//30 huvudsakligen//AB//advmod//30 inom//PP//case//37 religionens//NN|UTR|SIN|DEF|GEN//nmod:poss//37 och//KN//cc//36 statsmaktens//NN|UTR|SIN|DEF|GEN//conj//34 råmärken//NN|NEU|PLU|IND|NOM//obl//30 .//MAD//punct//4
1. Totalsamhället;Kyrkorna//NN|UTR|PLU|DEF|NOM//nsubj//40 gör//VB|PRS|AKT//parataxis//4 anspråk//NN|NEU|SIN|IND|NOM//obj//40 på//PP//mark//44 att//IE//mark//44 ha//VB|INF|AKT//advcl//40 nyckeln//NN|UTR|SIN|DEF|NOM//obj//44 till//PP//case//48 samlivets//NN|NEU|SIN|DEF|GEN//nmod:poss//48 etik//NN|UTR|SIN|IND|NOM//obl//44 .//MAD//punct//40
1. Totalsamhället;Statsmakten//NN|UTR|SIN|DEF|NOM//nsubj//51 specificerar//VB|PRS|AKT//parataxis//40 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 plikter//NN|UTR|PLU|IND|NOM//obj//51 ,//MID//punct//53 till//PP//advmod//57 exempel//NN|NEU|SIN|IND|NOM//fixed//55 skolplikten//NN|UTR|SIN|DEF|NOM//obl//51 att//IE//mark//59 förkovra//VB|INF|AKT//acl//57 oss//PN|UTR|PLU|DEF|OBJ//obj//59 ,//MID//punct//62 värnplikten//NN|UTR|SIN|DEF|NOM//appos//57 att//IE//mark//64 försvara//VB|INF|AKT//acl//62 landet//NN|NEU|SIN|DEF|NOM//obj//64 ,//MID//punct//67 vittnesplikten//NN|UTR|SIN|DEF|NOM//appos//57 att//IE//mark//69 bistå//VB|INF|AKT//acl//67 rättvisan//NN|UTR|SIN|DEF|NOM//obj//69 ,//MID//punct//72 skatteplikten//NN|UTR|SIN|DEF|NOM//conj//70 att//IE//mark//74 bidra//VB|INF|AKT//acl//72 till//PP//case//77 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 kostnader//NN|UTR|PLU|IND|NOM//obl//74 .//MAD//punct//51
1. Totalsamhället;På//PP//case//81 dessa//DT|UTR/NEU|PLU|DEF//det//81 områden//NN|NEU|PLU|IND|NOM//obl//82 sammanfaller//VB|PRS|AKT//conj//40 rätt//NN|UTR|SIN|IND|NOM//advmod//82 och//KN//cc//85 moral//NN|UTR|SIN|IND|NOM//conj//83 ://MID//punct//85
1. Totalsamhället;Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//88 lagar//NN|UTR|PLU|IND|NOM//nsubj//92 och//KN//cc//91 etikens//NN|UTR|SIN|DEF|GEN//nmod:poss//91 bud//NN|NEU|SIN|IND|NOM//conj//88 stöder//VB|PRS|AKT//conj//82 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obj//92 .//MAD//punct//40
1. Totalsamhället;Välfärdssamhällets//NN|NEU|SIN|DEF|GEN//nmod:poss//1 institutioner//NN|UTR|PLU|IND|NOM//nsubj:pass//3 kan//VB|PRS|AKT//aux//3 sägas//VB|INF|SFO//ROOT//3 representera//VB|INF|AKT//xcomp//3 det//DT|NEU|SIN|DEF//det//6 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//obj//4 vi//PN|UTR|PLU|DEF|SUB//nsubj//8 har//VB|PRS|AKT//acl:relcl//6 av//PP//case//11 etiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 institutioner//NN|UTR|PLU|IND|NOM//obl//8 .//MAD//punct//3
1. Totalsamhället;Visst//AB//advmod//18 kan//VB|PRS|AKT//aux//18 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//18 vara//VB|INF|AKT//cop//18 ekonomiskt//AB|POS//advmod//18 lönsamt//JJ|POS|NEU|SIN|IND|NOM//parataxis//3 att//IE//mark//20 hjälpa//VB|INF|AKT//acl//18 sjuka//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//20 att//IE//mark//23 bli//VB|INF|AKT//advcl//20 friska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//23 så//AB//mark//29 att//SN//fixed//25 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//29 kan//VB|PRS|AKT//aux//29 göra//VB|INF|AKT//advcl//18 nytta//NN|UTR|SIN|IND|NOM//obj//29 igen//AB//advmod//29 .//MAD//punct//18
1. Totalsamhället;Men//KN//cc//35 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//35 finns//VB|PRS|SFO//conj//18 få//JJ|POS|UTR/NEU|PLU|IND|NOM//xcomp//35 rent//AB|POS//advmod//38 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 skäl//NN|NEU|PLU|IND|NOM//obj//36 att//IE//mark//41 ta//VB|INF|AKT//acl//39 hand//NN|UTR|SIN|IND|NOM//compound:prt//41 om//PP//case//46 de//DT|UTR/NEU|PLU|DEF//det//46 kroniskt//AB|POS//advmod//46 sjuka//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 ,//MID//punct//46 de//DT|UTR/NEU|PLU|DEF//det//49 handikappade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//46 ,//MID//punct//49 de//DT|UTR/NEU|PLU|DEF//det//53 deformerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//53 småbarnen//NN|NEU|PLU|DEF|NOM//nsubj//35 ,//MID//punct//58 eller//KN//cc//58 de//DT|UTR/NEU|PLU|DEF//det//58 senildementa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//35 .//MAD//punct//58
1. Totalsamhället;Vi//PN|UTR|PLU|DEF|SUB//nsubj//61 gör//VB|PRS|AKT//conj//18 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//61 av//PP//case//65 etiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//65 skäl//NN|NEU|PLU|IND|NOM//obl//61 ,//MID//punct//65 inte//AB//advmod//69 av//PP//case//69 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//appos//65 .//MAD//punct//61
1. Totalsamhället;"Visst//AB//advmod//76 kan//VB|PRS|AKT//aux//76 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//76 vara//VB|INF|AKT//cop//76 politiskt//AB|POS//advmod//76 fördelaktigt//JJ|POS|NEU|SIN|IND|NOM//conj//61 att//IE//mark//78 ordna//VB|INF|AKT//acl//76 socialförsäkringar//NN|UTR|PLU|IND|NOM//obj//78 som//HP|-|-|-//nsubj//81 utfaller//VB|PRS|AKT//acl:relcl//79 vid//PP//case//83 föräldraskap//NN|NEU|SIN|IND|NOM//obl//81 ,//MID//punct//85 sjukdom//NN|UTR|SIN|IND|NOM//conj//83 eller//KN//cc//87 ålderdom//NN|UTR|SIN|IND|NOM//conj//83 ;//MID//punct//61"
1. Totalsamhället;det//PN|NEU|SIN|DEF|SUB/OBJ//expl//92 är//VB|PRS|AKT//cop//92 populära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//92 beslut//NN|NEU|PLU|IND|NOM//parataxis//61 som//HP|-|-|-//nsubj//94 ger//VB|PRS|AKT//acl:relcl//92 röster//NN|UTR|PLU|IND|NOM//obj//94 från//PP//case//98 breda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//98 folklager//NN|NEU|PLU|IND|NOM//obl//94 .//MAD//punct//61
1. Totalsamhället;Men//KN//cc//101 småbarn//NN|NEU|PLU|IND|NOM//nsubj//108 med//PP//case//104 inkapaciterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//104 hjärnskador//NN|UTR|PLU|IND|NOM//nmod//101 eller//KN//cc//106 senildementa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//107 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//108 deltar//VB|PRS|AKT//conj//61 inte//AB//advmod//108 i//PP//case//112 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//112 val//NN|NEU|PLU|IND|NOM//obl//108 .//MAD//punct//61
1. Totalsamhället;Åtgärderna//NN|UTR|PLU|DEF|NOM//nsubj//117 för//PP//case//116 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//114 har//VB|PRS|AKT//parataxis//61 en//DT|UTR|SIN|IND//det//120 etisk//JJ|POS|UTR|SIN|IND|NOM//amod//120 motivering//NN|UTR|SIN|IND|NOM//obj//117 snarare//AB|KOM//advmod//124 än//KN//case//124 en//DT|UTR|SIN|IND//det//124 politisk//JJ|POS|UTR|SIN|IND|NOM//obl//117 .//MAD//punct//61
1. Totalsamhället;Människovärdet//NN|NEU|SIN|DEF|NOM//nsubj//130 är//VB|PRS|AKT//cop//130 en//DT|UTR|SIN|IND//det//130 etisk//JJ|POS|UTR|SIN|IND|NOM//amod//130 klenod//NN|UTR|SIN|IND|NOM//parataxis//61 som//HP|-|-|-//nsubj//133 varken//KN//cc//133 har//VB|PRS|AKT//acl:relcl//130 marknadspris//NN|NEU|SIN|IND|NOM//obj//133 eller//KN//cc//137 kan//VB|PRS|AKT//aux//137 ingå//VB|INF|AKT//conj//130 i//PP//case//140 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//140 kalkyler//NN|UTR|PLU|IND|NOM//obl//137 .//MAD//punct//61
1. Totalsamhället;En//DT|UTR|SIN|IND//det//1 förenkling//NN|UTR|SIN|IND|NOM//ROOT//1 ://MID//punct//1
1. Totalsamhället;Det//DT|NEU|SIN|DEF//det//5 treeniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 samhället//NN|NEU|SIN|DEF|NOM//appos//1
1. Totalsamhället;Under//PP//case//1 1970-//RG|SMS//obl//4 och//KN//cc//3 80-talen//NN|NEU|PLU|DEF|NOM//conj//1 diskuterade//VB|PRT|AKT//ROOT//4 och//KN//cc//6 skrev//VB|PRT|AKT//conj//4 man//PN|UTR|SIN|IND|SUB//nsubj//6 i//PP//case//9 Sverige//PM|NOM//obl//6 som//KN//mark//14 om//SN//fixed//10 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 samhället//NN|NEU|SIN|DEF|NOM//nsubj//14 bestod//VB|PRT|AKT//advcl//6 av//PP//case//16 statsmakten//NN|UTR|SIN|DEF|NOM//obl//14 och//KN//cc//18 näringslivet//NN|NEU|SIN|DEF|NOM//conj//16 och//KN//cc//21 just//AB//advmod//21 inget//DT|NEU|SIN|IND//conj//14 mera//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//fixed//21 ,//MID//punct//4 och//KN//cc//26 samhällskunskapen//NN|UTR|SIN|DEF|NOM//nsubj//26 bestod//VB|PRT|AKT//conj//4 av//PP//case//28 statskunskap//NN|UTR|SIN|IND|NOM//obl//26 och//KN//cc//30 ekonomi//NN|UTR|SIN|IND|NOM//conj//28 .//MID//punct//4
1. Totalsamhället;Möjligen//AB//advmod//33 tog//VB|PRT|AKT//parataxis//4 man//PN|UTR|SIN|IND|SUB//nsubj//33 med//PP//case//36 massmedierna//NN|NEU|PLU|DEF|NOM//obl//33 som//KN//mark//40 en//DT|UTR|SIN|IND//det//40 betydelsefull//JJ|POS|UTR|SIN|IND|NOM//amod//40 del//NN|UTR|SIN|IND|NOM//obl//33 av//PP//case//42 samhället//NN|NEU|SIN|DEF|NOM//nmod//40 .//MID//punct//4
1. Totalsamhället;Att//SN//mark//66 den//DT|UTR|SIN|DEF//det//47 lilla//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//47 världen//NN|UTR|SIN|DEF|NOM//nsubj//66 ,//MID//punct//47 de//DT|UTR/NEU|PLU|DEF//det//51 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 sammanslutningarna//NN|UTR|PLU|DEF|NOM//appos//47 ,//MID//punct//56 och//KN//cc//56 de//DT|UTR/NEU|PLU|DEF//det//56 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//56 samhällssfärerna//NN|UTR|PLU|DEF|NOM//conj//47 som//KN//mark//58 konst//NN|UTR|SIN|IND|NOM//nmod//56 ,//MID//punct//60 religion//NN|UTR|SIN|IND|NOM//conj//58 ,//MID//punct//62 etik//NN|UTR|SIN|IND|NOM//conj//58 och//KN//cc//64 vetenskap//NN|UTR|SIN|IND|NOM//conj//58 också//AB//advmod//66 hörde//VB|PRT|AKT//ccomp//4 till//PP//case//68 totalsamhället//NN|NEU|SIN|DEF|NOM//obl//66 hade//VB|PRT|AKT//aux//72 praktiskt//AB|POS//advmod//72 taget//PC|PRF|NEU|SIN|IND|NOM//fixed//70 sjunkit//VB|SUP|AKT//conj//4 bortom//PP//case//74 tankehorisonten//NN|UTR|SIN|DEF|NOM//obl//72 i//PP//case//78 den//DT|UTR|SIN|DEF//det//78 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//78 debatten//NN|UTR|SIN|DEF|NOM//obl//72 .//MAD//punct//4
1. Totalsamhället;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 läge//NN|NEU|SIN|IND|NOM//obl//3 började//VB|PRT|AKT//ROOT//3 några//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//3 av//PP//case//6 oss//PN|UTR|PLU|DEF|OBJ//nmod//4 använda//VB|INF|AKT//xcomp//3 begreppet//NN|NEU|SIN|DEF|NOM//nmod//9 ”//PAD//obj//7 det//DT|NEU|SIN|DEF//det//12 civila//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 samhället//NN|NEU|SIN|DEF|NOM//obj//7 ”//PAD//punct//12 som//KN//mark//17 en//DT|UTR|SIN|IND//det//17 sammanfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 term//NN|UTR|SIN|IND|NOM//xcomp//7 för//PP//case//19 allt//PN|NEU|SIN|IND|SUB/OBJ//obl//17 som//HP|-|-|-//nsubj//23 inte//AB//advmod//23 var//VB|PRT|AKT//cop//23 stat//NN|UTR|SIN|IND|NOM//acl:relcl//19 eller//KN//cc//25 marknad//NN|UTR|SIN|IND|NOM//conj//23 .//MID//punct//3
1. Totalsamhället;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//32 är//VB|PRS|AKT//cop//32 ett//DT|NEU|SIN|IND//det//32 internationellt//AB|POS//advmod//31 gångbart//JJ|POS|NEU|SIN|IND|NOM//amod//32 begrepp//NN|NEU|SIN|IND|NOM//parataxis//3 .//MAD//punct//32
1. Totalsamhället;Ibland//AB//advmod//35 används//VB|PRS|SFO//parataxis//32 i//PP//case//37 Sverige//PM|NOM//obl//35 ”//PAD//punct//39 gemenskaperna//NN|UTR|PLU|DEF|NOM//nsubj//46 ”//RG|NOM//punct//39 eller//KN//cc//43 ”//PAD//punct//43 frivilligsektorn//NN|UTR|SIN|DEF|NOM//conj//39 ”//PM|NOM//punct//43 att//IE//mark//46 beteckna//VB|INF|AKT//conj//32 samma//DT|UTR/NEU|SIN/PLU|IND//det//48 sak//NN|UTR|SIN|IND|NOM//obj//46 .//MAD//punct//46
1. Totalsamhället;Men//KN//cc//52 gemenskaperna//NN|UTR|PLU|DEF|NOM//nsubj:pass//52 förväxlas//VB|PRS|SFO//conj//32 lätt//AB|POS//advmod//52 med//PP//case//58 den//DT|UTR|SIN|DEF//det//58 ”//PAD//punct//58 gemensamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//58 sektorn//NN|UTR|SIN|DEF|NOM//obl//52 ”//RG|NOM//punct//58 som//HP|-|-|-//nsubj//63 är//VB|PRS|AKT//cop//63 ett//DT|NEU|SIN|IND//det//63 ord//NN|NEU|SIN|IND|NOM//acl:relcl//58 för//PP//case//65 staten//NN|UTR|SIN|DEF|NOM//nmod//63 ,//MID//punct//70 och//KN//cc//70 frivilligsektorn//NN|UTR|SIN|DEF|NOM//nsubj//70 är//VB|PRS|AKT//cop//70 missvisande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//52 eftersom//SN//mark//74 marknaden//NN|UTR|SIN|DEF|NOM//nsubj//74 också//AB//advmod//74 består//VB|PRS|AKT//advcl//70 av//PP//case//77 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 transaktioner//NN|UTR|PLU|IND|NOM//obl//74 .//MAD//punct//52
1. Totalsamhället;Civilsamhället//NN|NEU|SIN|DEF|NOM//nsubj//3 var//VB|PRT|AKT//punct//3 ,//MID//punct//82 menade//VB|PRT|AKT//parataxis//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//82 ,//MID//punct//86 lika//AB//advmod//86 viktigt//JJ|POS|NEU|SIN|IND|NOM//advmod//82 som//KN//case//88 statsmakt//NN|UTR|SIN|IND|NOM//nmod//86 och//KN//cc//90 näringsliv//NN|NEU|SIN|IND|NOM//conj//88 ,//MID//punct//94 och//KN//cc//94 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//94 anknöt//VB|PRT|AKT//conj//3 till//PP//case//97 folkrörelsernas//NN|UTR|PLU|DEF|GEN//nmod:poss//97 skede//NN|NEU|SIN|IND|NOM//obl//94 i//PP//case//100 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//100 historia//NN|UTR|SIN|IND|NOM//obl//94 .//MID//punct//3
1. Totalsamhället;"Ett//DT|NEU|SIN|IND//det//104 trängt//PC|PRF|NEU|SIN|IND|NOM//amod//104 civilsamhälle//NN|NEU|SIN|IND|NOM//nsubj//106 hade//VB|PRT|AKT//aux//106 gjort//VB|SUP|AKT//parataxis//3 framgångsrik//JJ|POS|UTR|SIN|IND|NOM//amod//108 revolt//NN|UTR|SIN|IND|NOM//obj//106 mot//PP//case//110 kommunistdiktaturerna//NN|UTR|PLU|DEF|NOM//obl//106 i//PP//case//112 Östeuropa//PM|NOM//nmod//110 ;//MID//punct//3"
1. Totalsamhället;begreppet//NN|NEU|SIN|DEF|NOM//nsubj//119 hade//VB|PRT|AKT//aux//119 därför//AB//advmod//119 ett//DT|NEU|SIN|IND//det//119 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//119 skimmer//NN|NEU|SIN|IND|NOM//parataxis//3 .//MAD//punct//3
1. Totalsamhället;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//122 började//VB|PRT|AKT//parataxis//3 ingå//VB|INF|AKT//xcomp//122 i//PP//case//129 både//KN//cc//126 vänsterns//NN|UTR|SIN|DEF|GEN//nmod:poss//129 och//KN//cc//128 högerns//NN|UTR|SIN|DEF|GEN//conj//126 utopier//NN|UTR|PLU|IND|NOM//obl//123 .//MAD//punct//122 ”//PM|NOM//discourse//139
1. Totalsamhället;Civilsamhälle//NN|NEU|SIN|IND|NOM//nsubj//139 ”//PM|NOM//nmod//132 är//VB|PRS|AKT//cop//139 också//AB//advmod//139 ett//DT|NEU|SIN|IND//det//138 användbart//JJ|POS|NEU|SIN|IND|NOM//amod//138 vetenskapligt//JJ|POS|NEU|SIN|IND|NOM//amod//139 begrepp//NN|NEU|SIN|IND|NOM//appos//122 ,//MID//punct//139 men//KN//cc//144 man//PN|UTR|SIN|IND|SUB//nsubj//144 måste//VB|PRS|AKT//aux//144 komma//VB|INF|AKT//conj//122 ihåg//PL//compound:prt//144 att//SN//mark//148 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//148 täcker//VB|PRS|AKT//ccomp//144 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//150 fenomen//NN|NEU|PLU|IND|NOM//obj//148 med//PP//case//153 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//153 karaktär//NN|UTR|SIN|IND|NOM//obl//148 ,//MID//punct//153 till//PP//advmod//162 exempel//NN|NEU|SIN|IND|NOM//fixed//155 alla//DT|UTR/NEU|PLU|IND/DEF//det//160 den//DT|UTR|SIN|DEF//det//160 lilla//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//160 världens//NN|UTR|SIN|DEF|GEN//nmod:poss//162 små//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//162 grupperingar//NN|UTR|PLU|IND|NOM//appos//153 och//KN//cc//164 nätverk//NN|NEU|PLU|IND|NOM//conj//162 men//KN//cc//167 också//AB//advmod//167 några//PN|UTR/NEU|PLU|IND|SUB/OBJ//conj//162 av//PP//case//172 den//DT|UTR|SIN|DEF//det//171 stora//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//171 världens//NN|UTR|SIN|DEF|GEN//nmod:poss//172 livsområden//NN|NEU|PLU|IND|NOM//nmod//167 ,//MID//punct//175 nämligen//AB//advmod//175 vetenskap//NN|UTR|SIN|IND|NOM//appos//167 ,//MID//punct//177 konst//NN|UTR|SIN|IND|NOM//conj//175 ,//MID//punct//179 religion//NN|UTR|SIN|IND|NOM//conj//175 och//KN//cc//181 etik//NN|UTR|SIN|IND|NOM//conj//175 .//MAD//punct//3
1. Totalsamhället;Statsmakt//NN|UTR|SIN|IND|NOM//nsubj//5 ,//MID//punct//2 affärsliv//NN|NEU|SIN|IND|NOM//conj//0 och//KN//cc//4 civilsamhälle//NN|NEU|SIN|IND|NOM//conj//0 har//VB|PRS|AKT//ROOT//5 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 och//KN//cc//9 ibland//AB//advmod//9 motstridiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 normer//NN|UTR|PLU|IND|NOM//obj//5 .//MAD//punct//5
1. Totalsamhället;En//DT|UTR|SIN|IND//det//13 sammanfattning//NN|UTR|SIN|IND|NOM//obj//5 från//PP//case//15 Zetterberg//PM|NOM//nmod//13 (//PAD//punct//13 1994//RG|NOM//nummod//13 )//PAD//punct//13 i//PP//case//20 Platons//PM|GEN//nmod//13 och//KN//cc//22 Jane//PM|NOM//conj//20 Jacobs//PM|NOM//flat:name//22 (//PAD//punct//20 1992//RG|NOM//nummod//20 )//PAD//punct//13 efterföljd//NN|UTR|SIN|IND|NOM//obj//5 ger//VB|PRS|AKT//conj//5 denna//DT|UTR|SIN|DEF//det//30 skiss//NN|UTR|SIN|IND|NOM//obj//28 ://MAD//punct//5
1. Totalsamhället;CIVILSAMHÄLLET//NN|NEU|SIN|DEF|NOM//ROOT//0
1. Totalsamhället;Utveckla//VB|INF|AKT//ROOT//0 moral//NN|UTR|SIN|IND|NOM//obj//0 ,//MID//punct//3 sanning//NN|UTR|SIN|IND|NOM//conj//1 ,//MID//punct//5 skönhet//NN|UTR|SIN|IND|NOM//conj//1 och//KN//cc//8 det//DT|NEU|SIN|DEF//det//8 gudomliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//1 i//PP//case//10 tillvaron//NN|UTR|SIN|DEF|NOM//obl//8
