Utredningsuppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 skall//VB|PRS|AKT//aux//6 enligt//PP//case//4 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//4 direktiv//NN|NEU|PLU|IND|NOM//obl//6 såvitt//SN//advmod//6 avser//VB|PRS|AKT//ROOT//6 de//DT|UTR/NEU|PLU|DEF//det//8 frågor//NN|UTR|PLU|IND|NOM//obj//6 som//HP|-|-|-//nsubj:pass//10 behandlas//VB|PRS|SFO//acl:relcl//8 i//PP//case//13 detta//DT|NEU|SIN|DEF//det//13 slutbetänkande//NN|NEU|SIN|IND|NOM//obl//10 göra//VB|INF|AKT//xcomp//6 en//DT|UTR|SIN|IND//det//16 översyn//NN|UTR|SIN|IND|NOM//obj//14 av//PP//case//18 bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//16 i//PP//case//22 34//RG|NOM//nummod//21 §//NN|AN//nmod//22 konsumentkreditlagen//NN|UTR|SIN|DEF|NOM//nmod//18 (//PAD//punct//22 1992:830//RG|NOM//appos//22 )//PAD//punct//22 om//PP//case//29 en//DT|UTR|SIN|IND//det//28 kontohavares//NN|UTR|SIN|IND|GEN//nmod:poss//29 betalningsansvar//NN|NEU|SIN|IND|NOM//obl//14 för//PP//case//32 obehörig//JJ|POS|UTR|SIN|IND|NOM//amod//32 användning//NN|UTR|SIN|IND|NOM//nmod//29 av//PP//case//34 kontokort//NN|NEU|PLU|IND|NOM//nmod//32 .//MAD//punct//6
Självrisk;Ofta//AB|POS//advmod//52 kan//VB|PRS|AKT//aux//52 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//52 inte//AB//advmod//52 utredas//VB|INF|SFO//parataxis//31 hur//HA//advmod//57 den//DT|UTR|SIN|DEF//det//56 obehörige//JJ|POS|MAS|SIN|DEF|NOM//amod//56 personen//NN|UTR|SIN|DEF|NOM//nsubj//57 fått//VB|SUP|AKT//ccomp//52 kännedom//NN|UTR|SIN|IND|NOM//obj//57 om//PP//case//60 koden//NN|UTR|SIN|DEF|NOM//obl//57 .//MAD//punct//31
Självrisk;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 ansett//VB|SUP|AKT//ROOT//2 att//SN//mark//4 utfärdaren//NN|UTR|SIN|DEF|NOM//nsubj//9 av//PP//case//7 ett//DT|NEU|SIN|IND//det//7 kontokort//NN|NEU|SIN|IND|NOM//nmod//4 skall//VB|PRS|AKT//aux//9 ha//VB|INF|AKT//ccomp//2 möjlighet//NN|UTR|SIN|IND|NOM//obj//9 att//IE//mark//12 hålla//VB|INF|AKT//acl//10 kontohavaren//NN|UTR|SIN|DEF|NOM//obj//12 betalningsansvarig//JJ|POS|UTR|SIN|IND|NOM//obj//12 med//PP//case//17 en//DT|UTR|SIN|IND//det//17 självrisk//NN|UTR|SIN|IND|NOM//obl//12 om//PP//case//21 1//RG|NOM//nummod//20 000//RG|NOM//nummod//21 kronor//NN|UTR|PLU|IND|NOM//nmod//17 eller//KN//cc//25 det//DT|NEU|SIN|DEF//det//25 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 belopp//NN|NEU|SIN|IND|NOM//conj//21 som//HP|-|-|-//obj//28 transaktionerna//NN|UTR|PLU|DEF|NOM//nsubj//28 avser//VB|PRS|AKT//acl:relcl//25 ,//MID//punct//12 när//HA//mark//33 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 transaktioner//NN|UTR|PLU|IND|NOM//nsubj:pass//33 utförts//VB|SUP|SFO//advcl//12 genom//PP//case//35 inknappning//NN|UTR|SIN|IND|NOM//obl//33 av//PP//case//38 rätt//JJ|POS|UTR|SIN|IND|NOM//amod//38 kod//NN|UTR|SIN|IND|NOM//nmod//35 .//MID//punct//2
Självrisk;Härigenom//AB//advmod//42 har//VB|PRS|AKT//aux//42 utfärdaren//NN|UTR|SIN|DEF|NOM//parataxis//2 av//PP//case//46 ett//DT|NEU|SIN|IND//det//45 kontokort//NN|NEU|SIN|IND|NOM//amod//46 möjlighet//NN|UTR|SIN|IND|NOM//nmod//42 att//IE//mark//48 uppställa//VB|INF|AKT//acl//46 ett//DT|NEU|SIN|IND//det//51 tydligt//JJ|POS|NEU|SIN|IND|NOM//amod//51 incitament//NN|NEU|SIN|IND|NOM//obj//48 för//PP//case//53 kontohavaren//NN|UTR|SIN|DEF|NOM//obl//48 att//IE//mark//55 hantera//VB|INF|AKT//advcl//48 koden//NN|UTR|SIN|DEF|NOM//obj//55 så//AB//advmod//58 säkert//AB|POS//advmod//55 som//KN//mark//60 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//55 ,//MID//punct//42 samtidigt//AB//mark//69 som//HA//fixed//62 ärenden//NN|NEU|PLU|IND|NOM//nsubj:pass//69 av//PP//case//67 detta//DT|NEU|SIN|DEF//det//67 slag//NN|NEU|SIN|IND|NOM//nmod//64 kan//VB|PRS|AKT//aux//69 avslutas//VB|INF|SFO//advcl//42 utan//PP//case//72 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//72 resursåtgång//NN|UTR|SIN|IND|NOM//obl//69 .//MAD//punct//42
Självrisk;Koden//NN|UTR|SIN|DEF|NOM//nsubj//77 är//VB|PRS|AKT//cop//77 en//DT|UTR|SIN|IND//det//77 nyckel//NN|UTR|SIN|IND|NOM//parataxis//42 till//PP//case//79 kontot//NN|NEU|SIN|DEF|NOM//nmod//77 och//KN//cc//82 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//82 blir//VB|PRS|AKT//conj//42 särskilt//AB//advmod//84 viktigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//82 att//IE//mark//86 inskärpa//VB|INF|AKT//advcl//82 betydelsen//NN|UTR|SIN|DEF|NOM//obj//86 av//PP//mark//91 hur//HA//advmod//91 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//91 hanteras//VB|PRS|SFO//acl//87 eftersom//SN//mark//97 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//94 förslag//NN|NEU|SIN|IND|NOM//nsubj//97 i//PP//nmod//94 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//95 innebär//VB|PRS|AKT//advcl//91 att//SN//mark//104 betalningsansvar//NN|NEU|SIN|IND|NOM//nsubj:pass//104 för//PP//case//101 kontohavaren//NN|UTR|SIN|DEF|NOM//nmod//99 skall//VB|PRS|AKT//aux//104 kunna//VB|INF|AKT//aux//104 göras//VB|INF|SFO//ccomp//97 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//109 endast//AB//advmod//109 i//PP//case//109 begränsad//PC|PRF|UTR|SIN|IND|NOM//amod//109 utsträckning//NN|UTR|SIN|IND|NOM//obl//104 .//MAD//punct//42
Självrisk;Kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 skall//VB|PRS|AKT//aux//4 inte//AB//advmod//4 kunna//VB|INF|AKT//aux//4 hållas//VB|INF|SFO//ROOT//4 betalningsansvarig//JJ|POS|UTR|SIN|IND|NOM//xcomp//4 med//PP//case//8 en//DT|UTR|SIN|IND//det//8 självrisk//NN|UTR|SIN|IND|NOM//obl//4 ,//MID//punct//12 om//SN//mark//12 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//12 framstår//VB|PRS|AKT//advcl//4 som//KN//mark//15 uppenbart//AB|POS//advmod//15 oskäligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//12 att//IE//mark//17 göra//VB|INF|AKT//acl//15 ett//DT|NEU|SIN|IND//det//20 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//20 betalningsansvar//NN|NEU|SIN|IND|NOM//obj//17 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//12 .//MAD//punct//4
Självrisk;Självrisk//NN|UTR|SIN|IND|NOM//nsubj:pass//4 skall//VB|PRS|AKT//aux//4 inte//AB//advmod//4 kunna//VB|INF|AKT//aux//4 tas//VB|INF|SFO//ROOT//4 ut//PL//compound:prt//4 beträffande//PP//case//8 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 transaktioner//NN|UTR|PLU|IND|NOM//obl//4 som//HP|-|-|-//nsubj:pass//10 genomförts//VB|SUP|SFO//acl:relcl//8 utan//PP//case//12 användning//NN|UTR|SIN|IND|NOM//obl//10 av//PP//case//14 kod//NN|UTR|SIN|IND|NOM//nmod//12 ,//MID//punct//8 t.ex.//AB|AN//advmod//18 med//PP//case//18 namnunderskrift//NN|UTR|SIN|IND|NOM//appos//8 .//MAD//punct//4

Undantag från betalningsansvar;Även//AB//case//2 om//SN//fixed//0 kraven//NN|NEU|PLU|DEF|NOM//obl//19 för//PP//case//4 betalningsansvar//NN|NEU|SIN|IND|NOM//nmod//2 i//PP//case//10 och//KN//fixed//5 för//PP//fixed//5 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//fixed//5 är//VB|PRS|AKT//cop//10 uppfyllda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//2 skall//VB|PRS|AKT//aux//19 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//19 under//PP//case//15 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 förhållanden//NN|NEU|PLU|IND|NOM//nmod//12 ändå//AB//advmod//19 inte//AB//advmod//19 kunna//VB|INF|AKT//aux//19 hållas//VB|INF|SFO//ROOT//19 ansvarig//JJ|POS|UTR|SIN|IND|NOM//xcomp//19 .//MAD//punct//19
Undantag från betalningsansvar;Kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 inte//AB//advmod//4 kunna//VB|INF|AKT//aux//4 bli//VB|INF|AKT//ROOT//4 betalningsansvarig//JJ|POS|UTR|SIN|IND|NOM//xcomp//4 för//PP//case//8 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 transaktioner//NN|UTR|PLU|IND|NOM//obl//4 som//HP|-|-|-//nsubj:pass//10 genomförs//VB|PRS|SFO//acl:relcl//8 efter//PP//case//12 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//10 att//SN//mark//17 kortet//NN|NEU|SIN|DEF|NOM//nsubj//17 eller//KN//cc//16 koden//NN|UTR|SIN|DEF|NOM//conj//14 spärranmälts//VB|SUP|SFO//ccomp//10 .//MID//punct//4
Undantag från betalningsansvar;Detsamma//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//21 skall//VB|PRS|AKT//aux//21 gälla//VB|INF|AKT//parataxis//4 när//HA//mark//25 transaktionerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//25 kunnat//VB|SUP|AKT//aux//25 genomföras//VB|INF|SFO//advcl//21 på//PP//case//30 grund//NN|UTR|SIN|IND|NOM//fixed//26 av//PP//fixed//26 säkerhetsmässiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 brister//NN|UTR|PLU|IND|NOM//obl//25 eller//KN//cc//34 något//DT|NEU|SIN|IND//det//34 annat//JJ|POS|NEU|SIN|IND|NOM//amod//34 fel//NN|NEU|SIN|IND|NOM//conj//30 som//HP|-|-|-//mark//36 utfärdaren//NN|UTR|SIN|DEF|NOM//acl//34 av//PP//case//38 kortet//NN|NEU|SIN|DEF|NOM//nmod//36 ansvarar//VB|PRS|AKT//conj//21 för//PP//compound:prt//39 ,//MID//punct//47 eller//KN//cc//47 om//SN//case//45 en//DT|UTR|SIN|IND//det//45 näringsidkare//NN|UTR|SIN|IND|NOM//nsubj//47 har//VB|PRS|AKT//aux//47 godtagit//VB|SUP|AKT//conj//21 ett//DT|NEU|SIN|IND//det//49 kontokort//NN|NEU|SIN|IND|NOM//obj//47 trots//PP//mark//55 att//SN//mark//55 han//PN|UTR|SIN|DEF|SUB//nsubj//55 eller//KN//cc//54 hon//PN|UTR|SIN|DEF|SUB//conj//52 insåg//VB|PRT|AKT//advcl//47 eller//KN//cc//59 borde//VB|PRT|AKT//aux//59 ha//VB|INF|AKT//aux//59 insett//VB|SUP|AKT//conj//55 att//SN//mark//62 kortet//NN|NEU|SIN|DEF|NOM//nsubj:pass//62 användes//VB|PRT|SFO//ccomp//59 utan//PP//case//65 kontohavarens//NN|UTR|SIN|DEF|GEN//nmod:poss//65 samtycke//NN|NEU|SIN|IND|NOM//obl//62 .//MAD//punct//21
Undantag från betalningsansvar;Vidare//AB|KOM//advmod//70 skall//VB|PRS|AKT//aux//70 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//70 undgå//VB|INF|AKT//conj//21 betalningsansvar//NN|NEU|SIN|IND|NOM//obj//70 ,//MID//punct//78 om//SN//mark//78 de//DT|UTR/NEU|PLU|DEF//det//76 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 transaktionerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//78 har//VB|PRS|AKT//aux//78 genomförts//VB|SUP|SFO//advcl//70 med//PP//case//80 användning//NN|UTR|SIN|IND|NOM//obl//78 av//PP//case//83 ett//DT|NEU|SIN|IND//det//83 kontokort//NN|NEU|SIN|IND|NOM//nmod//80 som//HP|-|-|-//obj//89 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//89 dessförinnan//AB//advmod//89 inte//AB//advmod//89 hade//VB|PRT|AKT//aux//89 mottagit//VB|SUP|AKT//acl:relcl//83 ,//MID//punct//94 eller//KN//cc//94 om//SN//mark//94 transaktionerna//NN|UTR|PLU|DEF|NOM//nsubj//94 avser//VB|PRS|AKT//conj//78 belopp//NN|NEU|PLU|IND|NOM//obj//94 som//HP|-|-|-//nsubj//97 överstiger//VB|PRS|AKT//acl:relcl//95 vad//HP|NEU|SIN|IND//dislocated//104 som//HP|-|-|-//nsubj//104 enligt//PP//case//101 avtal//NN|NEU|SIN|IND|NOM//obl//104 skall//VB|PRS|AKT//aux//104 vara//VB|INF|AKT//cop//104 disponibelt//JJ|POS|NEU|SIN|IND|NOM//ccomp//97 för//PP//case//106 kontohavaren//NN|UTR|SIN|DEF|NOM//obl//104 .//MAD//punct//21
Undantag från betalningsansvar;I//PP//case//3 nu//AB//advmod//2 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//3 fall//NN|NEU|SIN|IND|NOM//obl//11 skall//VB|PRS|AKT//aux//11 således//AB//advmod//11 inte//AB//advmod//11 ens//AB//advmod//11 en//DT|UTR|SIN|IND//det//9 självrisk//NN|UTR|SIN|IND|NOM//nsubj:pass//11 kunna//VB|INF|AKT//aux//11 tas//VB|INF|SFO//ROOT//11 ut//PL//compound:prt//11 .//MAD//punct//11
Undantag från betalningsansvar;Kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//19 skall//VB|PRS|AKT//aux//19 emellertid//AB//advmod//19 vara//VB|INF|AKT//cop//19 fullt//AB|POS//advmod//19 betalningsansvarig//JJ|POS|UTR|SIN|IND|NOM//parataxis//11 ,//MID//punct//19 om//SN//mark//25 han//PN|UTR|SIN|DEF|SUB//nsubj//25 eller//KN//cc//24 hon//PN|UTR|SIN|DEF|SUB//conj//22 bidragit//VB|SUP|AKT//advcl//19 till//PP//case//29 de//DT|UTR/NEU|PLU|DEF//det//29 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 transaktionerna//NN|UTR|PLU|DEF|NOM//obl//25 genom//PP//case//31 svek//NN|NEU|SIN|IND|NOM//nmod//29 .//MAD//punct//11

Distansavtal;Vid//PP//case//1 e-handel//NN|UTR|SIN|IND|NOM//obl//2 sker//VB|PRS|AKT//ROOT//2 inte//AB//advmod//2 en//DT|UTR|SIN|IND//det//5 avläsning//NN|UTR|SIN|IND|NOM//nsubj//2 av//PP//case//7 kontokortet//NN|NEU|SIN|DEF|NOM//nmod//5 ,//MID//punct//13 utan//KN//case//13 en//RG|UTR|SIN|IND|NOM//det//13 eller//KN//cc//12 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//conj//10 uppgifter//NN|UTR|PLU|IND|NOM//obl//2 som//HP|-|-|-//nsubj//15 hör//VB|PRS|AKT//acl:relcl//13 till//PP//case//17 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//15 uppges//VB|PRS|SFO//advcl//2 .//MAD//punct//2
Distansavtal;Eftersom//SN//mark//22 e-handel//NN|UTR|SIN|IND|NOM//nsubj//22 bygger//VB|PRS|AKT//advcl//30 på//PP//mark//26 att//SN//mark//26 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//26 lämnar//VB|PRS|AKT//advcl//22 ut//PL//compound:prt//26 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//29 uppgifter//NN|UTR|PLU|IND|NOM//obj//26 framstår//VB|PRS|AKT//parataxis//2 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//30 som//KN//mark//33 rimligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//30 att//SN//mark//43 en//DT|UTR|SIN|IND//det//36 åtgärd//NN|UTR|SIN|IND|NOM//nsubj//42 av//PP//case//39 detta//DT|NEU|SIN|DEF//det//39 slag//NN|NEU|SIN|IND|NOM//nmod//36 inte//AB//advmod//42 kan//VB|PRS|AKT//aux//42 föranleda//VB|INF|AKT//amod//43 betalningsansvar//NN|NEU|SIN|IND|NOM//ccomp//30 för//PP//case//46 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 transaktioner//NN|UTR|PLU|IND|NOM//nmod//43 .//MAD//punct//30
Distansavtal;En//DT|UTR|SIN|IND//det//50 annan//JJ|POS|UTR|SIN|IND|NOM//amod//50 ordning//NN|UTR|SIN|IND|NOM//nsubj:pass//52 kan//VB|PRS|AKT//aux//52 antas//VB|INF|SFO//parataxis//30 inverka//VB|INF|AKT//xcomp//52 negativt//AB|POS//advmod//53 på//PP//case//56 tilliten//NN|UTR|SIN|DEF|NOM//obl//53 till//PP//case//58 e-handeln//NN|UTR|SIN|DEF|NOM//nmod//56 .//MAD//punct//2
Distansavtal;En//DT|UTR|SIN|IND//det//1 kontohavare//NN|UTR|SIN|IND|NOM//nsubj:pass//6 skall//VB|PRS|AKT//aux//6 således//AB//advmod//6 inte//AB//advmod//6 kunna//VB|INF|AKT//aux//6 hållas//VB|INF|SFO//ROOT//6 betalningsansvarig//JJ|POS|UTR|SIN|IND|NOM//xcomp//6 för//PP//case//10 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 transaktioner//NN|UTR|PLU|IND|NOM//obl//6 som//HP|-|-|-//nsubj:pass//13 kunnat//VB|SUP|AKT//aux//13 genomföras//VB|INF|SFO//acl:relcl//10 på//PP//mark//28 grund//NN|UTR|SIN|IND|NOM//fixed//14 av//PP//fixed//14 att//SN//mark//28 ett//DT|NEU|SIN|IND//det//19 nummer//NN|NEU|SIN|IND|NOM//nsubj:pass//28 eller//KN//cc//22 annan//JJ|POS|UTR|SIN|IND|NOM//amod//22 uppgift//NN|UTR|SIN|IND|NOM//conj//19 som//HP|-|-|-//nsubj//24 hör//VB|PRS|AKT//acl:relcl//22 till//PP//case//27 ett//DT|NEU|SIN|IND//det//27 kontokort//NN|NEU|SIN|IND|NOM//obl//24 angetts//VB|SUP|SFO//advcl//13 vid//PP//case//31 ett//DT|NEU|SIN|IND//det//31 distansavtal//NN|NEU|SIN|IND|NOM//obl//28 eller//KN//cc//37 på//PP//case//36 något//DT|NEU|SIN|IND//det//36 annat//JJ|POS|NEU|SIN|IND|NOM//amod//36 sätt//NN|NEU|SIN|IND|NOM//obl//37 kommit//VB|SUP|AKT//conj//28 till//PP//case//40 annans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//40 kännedom//NN|UTR|SIN|IND|NOM//obl//37 .//MAD//punct//6
Distansavtal;Kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 dock//AB//advmod//4 vara//VB|INF|AKT//cop//4 betalningsansvarig//JJ|POS|UTR|SIN|IND|NOM//ROOT//4 ,//MID//punct//4 om//SN//mark//10 han//PN|UTR|SIN|DEF|SUB//nsubj//10 eller//KN//cc//9 hon//PN|UTR|SIN|DEF|SUB//conj//7 bidragit//VB|SUP|AKT//advcl//4 till//PP//case//14 de//DT|UTR/NEU|PLU|DEF//det//14 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 transaktionerna//NN|UTR|PLU|DEF|NOM//obl//10 genom//PP//case//16 svek//NN|NEU|SIN|IND|NOM//nmod//14 .//MAD//punct//4

Internetbank och liknande självbetjäningstjänster;Det//DT|NEU|SIN|DEF//expl//1 förhållandet//NN|NEU|SIN|DEF|NOM//nsubj//12 att//SN//mark//8 transaktioner//NN|UTR|PLU|IND|NOM//nsubj:pass//8 med//PP//case//5 kontokort//NN|NEU|PLU|IND|NOM//nmod//3 numera//AB//advmod//8 ofta//AB|POS//advmod//8 genomförs//VB|PRS|SFO//csubj//1 med//PP//case//10 kod//NN|UTR|SIN|IND|NOM//obl//8 har//VB|PRS|AKT//aux//12 medfört//VB|SUP|AKT//ROOT//12 att//SN//mark//18 kontokort//NN|NEU|PLU|IND|NOM//nsubj//18 alltmer//AB//advmod//18 kommit//VB|SUP|AKT//aux//18 att//IE//mark//18 likna//VB|INF|AKT//ccomp//12 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 elektroniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 betalningstjänster//NN|UTR|PLU|IND|NOM//obj//18 som//HP|-|-|-//nsubj//23 bygger//VB|PRS|AKT//acl:relcl//21 på//PP//case//25 kodhantering//NN|UTR|SIN|IND|NOM//obl//23 ,//MID//punct//21 t.ex.//AB|AN//advmod//28 Internetbank//PM|NOM//appos//21 .//MAD//punct//12
Internetbank och liknande självbetjäningstjänster;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//32 har//VB|PRS|AKT//aux//32 ansett//VB|SUP|AKT//parataxis//12 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//32 önskvärt//JJ|POS|NEU|SIN|IND|NOM//xcomp//32 att//SN//mark//55 regleringen//NN|UTR|SIN|DEF|NOM//nsubj//55 av//PP//case//39 kontohavarens//NN|UTR|SIN|DEF|GEN//nmod:poss//39 betalningsansvar//NN|NEU|SIN|IND|NOM//nmod//36 vid//PP//case//42 obehörig//JJ|POS|UTR|SIN|IND|NOM//amod//42 användning//NN|UTR|SIN|IND|NOM//nmod//39 av//PP//case//44 kontokort//NN|NEU|PLU|IND|NOM//nmod//42 ,//MID//punct//46 Internetbank//NN|UTR|SIN|IND|NOM//conj//44 ,//MID//punct//48 telefonbank//NN|UTR|SIN|IND|NOM//conj//44 och//KN//cc//52 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//52 självbetjäningstjänster//NN|UTR|PLU|IND|NOM//conj//44 är//VB|PRS|AKT//cop//55 så//AB//advmod//55 teknikneutral//JJ|POS|UTR|SIN|IND|NOM//ccomp//32 som//KN//mark//57 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//55 .//MAD//punct//12
Internetbank och liknande självbetjäningstjänster;Vidare//AB|KOM//advmod//1 används//VB|PRS|SFO//ROOT//1 Internetbank//NN|UTR|SIN|IND|NOM//nsubj:pass//1 och//KN//cc//5 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 självbetjäningstjänster//NN|UTR|PLU|IND|NOM//conj//2 numera//AB//advmod//1 av//PP//case//10 en//DT|UTR|SIN|IND//det//10 bred//JJ|POS|UTR|SIN|IND|NOM//amod//10 allmänhet//NN|UTR|SIN|IND|NOM//obl:agent//1 .//MID//punct//1
Internetbank och liknande självbetjäningstjänster;Flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//13 banker//NN|UTR|PLU|IND|NOM//nsubj//14 tillämpar//VB|PRS|AKT//parataxis//1 avtalsvillkor//NN|UTR|PLU|IND|NOM//obj//14 som//HP|-|-|-//nsubj//17 innebär//VB|PRS|AKT//acl:relcl//15 att//SN//mark//27 kontohavaren//NN|UTR|SIN|DEF|NOM//nsubj//27 utan//PP//case//21 krav//NN|NEU|SIN|IND|NOM//nmod//19 på//PP//case//19 vållande//NN|NEU|SIN|IND|NOM//fixed//22 skall//VB|PRS|AKT//aux//27 vara//VB|INF|AKT//cop//27 fullt//AB|POS//advmod//27 betalningsansvarig//JJ|POS|UTR|SIN|IND|NOM//ccomp//17 för//PP//case//30 obehöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 transaktioner//NN|UTR|PLU|IND|NOM//obl//27 som//HP|-|-|-//nsubj:pass//32 genomförs//VB|PRS|SFO//acl:relcl//30 med//PP//case//34 användning//NN|UTR|SIN|IND|NOM//obl//32 av//PP//case//37 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//37 tjänster//NN|UTR|PLU|IND|NOM//nmod//34 .//MAD//punct//1
Internetbank och liknande självbetjäningstjänster;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//41 har//VB|PRS|AKT//aux//41 bedömt//VB|SUP|AKT//parataxis//1 att//SN//mark//48 konsumentskyddet//NN|NEU|SIN|DEF|NOM//nsubj//48 på//PP//case//46 detta//DT|NEU|SIN|DEF//det//46 område//NN|NEU|SIN|IND|NOM//nmod//43 är//VB|PRS|AKT//cop//48 otillfredsställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//41 .//MAD//punct//41
Internetbank och liknande självbetjäningstjänster;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 därför//AB//advmod//3 ansett//VB|SUP|AKT//ROOT//3 att//SN//mark//15 samma//DT|UTR/NEU|SIN/PLU|IND//det//6 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//15 som//HP|-|-|-//nsubj:pass//8 tillämpas//VB|PRS|SFO//acl:relcl//6 vid//PP//case//11 obehörig//JJ|POS|UTR|SIN|IND|NOM//amod//11 användning//NN|UTR|SIN|IND|NOM//obl//8 av//PP//case//13 kontokort//NN|NEU|PLU|IND|NOM//nmod//11 skall//VB|PRS|AKT//aux//15 tillämpas//VB|INF|SFO//ccomp//3 vid//PP//case//18 obehörig//JJ|POS|UTR|SIN|IND|NOM//amod//18 användning//NN|UTR|SIN|IND|NOM//obl//15 av//PP//case//20 Internetbank//PM|NOM//nmod//18 och//KN//cc//23 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 tjänster//NN|UTR|PLU|IND|NOM//conj//20 genom//PP//case//27 vilka//HP|UTR/NEU|PLU|IND//det//27 en//DT|UTR|SIN|IND//det//27 kontohavare//NN|UTR|SIN|IND|NOM//nsubj//33 med//PP//case//29 kod//NN|UTR|SIN|IND|NOM//nmod//27 eller//KN//cc//32 annat//JJ|POS|NEU|SIN|IND|NOM//amod//32 identifieringsmedel//NN|NEU|SIN|IND|NOM//conj//29 genomför//VB|PRS|AKT//conj//15 betalningar//NN|UTR|PLU|IND|NOM//obj//33 eller//KN//cc//37 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 överföringar//NN|UTR|PLU|IND|NOM//conj//34 av//PP//case//39 pengar//NN|UTR|PLU|IND|NOM//nmod//37 .//MAD//punct//3

