Skyddet för den personliga integriteten;Kartläggning//NN|UTR|SIN|IND|NOM//ROOT//0 och//KN//cc//2 analys//NN|UTR|SIN|IND|NOM//conj//0
25.1 Regler om sekretess;Med//PP//case//30 ”//PAD//punct//30 särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//30 ärende//NN|NEU|SIN|IND|NOM//obl//13 ”//PAD//punct//13 avses//VB|PRS|SFO//conj//6 revision//NN|UTR|SIN|IND|NOM//nsubj:pass//32 m.m.//AB|AN//conj//33 som//HP|-|-|-//nsubj//37 inte//AB//advmod//37 ingår//VB|PRS|AKT//acl:relcl//33 som//KN//mark//40 ett//DT|NEU|SIN|IND//det//40 led//NN|NEU|SIN|IND|NOM//advcl//37 i//PP//case//43 ett//DT|NEU|SIN|IND//det//43 taxeringsärende//NN|NEU|SIN|IND|NOM//obl//40 eller//KN//cc//45 liknande//NN|NEU|SIN|IND|NOM//conj//40 utan//KN//cc//50 är//VB|PRS|AKT//cop//50 ett//DT|NEU|SIN|IND//det//50 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//50 förfarande//NN|NEU|SIN|IND|NOM//conj//32 .//MAD//punct//50
25.1 Regler om sekretess;Som//KN//advmod//55 exempel//NN|NEU|SIN|IND|NOM//fixed//52 kan//VB|PRS|AKT//aux//55 nämnas//VB|INF|SFO//conj//6 ärenden//NN|NEU|PLU|IND|NOM//nsubj:pass//55 om//PP//case//58 taxeringsrevision//NN|UTR|SIN|IND|NOM//nmod//56 och//KN//cc//60 ärenden//NN|NEU|PLU|IND|NOM//conj//58 enligt//PP//case//62 lagen//NN|UTR|SIN|DEF|NOM//obl//55 (//PAD//punct//64 1994:466//RG|NOM//appos//62 )//PAD//punct//64 om//PP//case//68 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//68 tvångsåtgärder//NN|UTR|PLU|IND|NOM//nmod//62 i//PP//case//70 beskattningsförfarandet//NN|NEU|SIN|DEF|NOM//nmod//68 (//PAD//punct//62 t.ex.//AB|AN//advmod//73 revision//NN|UTR|SIN|IND|NOM//appos//62 i//PP//case//75 den//PN|UTR|SIN|DEF|SUB/OBJ//nmod//73 revideras//VB|PRS|SFO//conj//55 verksamhetslokaler//NN|UTR|PLU|IND|NOM//nsubj:pass//76 samt//KN//cc//79 eftersökande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//77 och//KN//cc//81 omhändertagande//NN|NEU|SIN|IND|NOM//conj//79 av//PP//case//83 handlingar//NN|UTR|PLU|IND|NOM//nmod//81 )//PAD//punct//55 .//MID//punct//6
25.1 Regler om sekretess;Sekretess//NN|UTR|SIN|IND|NOM//nsubj//92 enligt//PP//case//89 9//RG|NOM//nummod//89 kap.//NN|AN//nmod//86 2//RG|NOM//nummod//91 §//NN|AN//nmod//86 gäller//VB|PRS|AKT//parataxis//6 också//AB//advmod//92 i//PP//case//95 ärenden//NN|NEU|PLU|IND|NOM//obl//92 om//PP//case//97 kompensation//NN|UTR|SIN|IND|NOM//nmod//95 för//PP//case//97 eller//KN//cc//100 återbetalning//NN|UTR|SIN|IND|NOM//conj//97 av//PP//case//102 skatt//NN|UTR|SIN|IND|NOM//nmod//100 samt//KN//cc//105 i//PP//case//105 ärende//NN|NEU|SIN|IND|NOM//conj//102 om//PP//case//107 anstånd//NN|NEU|SIN|IND|NOM//nmod//105 med//PP//mark//109 erläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//107 av//PP//case//111 skatt//NN|UTR|SIN|IND|NOM//nmod//109 .//MAD//punct//92
25.1 Regler om sekretess;Den//DT|UTR|SIN|DEF//det//1 sekretess//NN|UTR|SIN|IND|NOM//nsubj//13 som//HP|-|-|-//nsubj//3 gäller//VB|PRS|AKT//acl:relcl//1 enligt//PP//case//6 9//RG|NOM//nummod//6 kap.//NN|AN//nmod//11 2//RG|NOM//nummod//8 §//NN|AN//nmod//10 andra//RO|NOM//amod//10 stycket//NN|NEU|SIN|DEF|NOM//nmod//6 SekrL//PM|NOM//obl//3 är//VB|PRS|AKT//cop//13 densamma//PN|UTR|SIN|DEF|SUB/OBJ//ROOT//13 som//HP|-|-|-//case//17 enligt//PP//case//17 1//RG|NOM//nummod//17 §//NN|AN//obl//13 ,//MID//punct//17 dvs.//AB|AN//advmod//21 som//KN//mark//21 huvudregel//NN|UTR|SIN|IND|NOM//appos//17 absolut//AB|POS//advmod//21 och//KN//fixed//22 med//PP//case//26 rakt//JJ|POS|NEU|SIN|IND|NOM//amod//26 skaderekvisit//NN|NEU|SIN|IND|NOM//fixed//22 i//PP//case//30 fråga//NN|UTR|SIN|IND|NOM//fixed//27 om//PP//fixed//27 uppgifter//NN|UTR|PLU|IND|NOM//obl//21 i//PP//case//32 mål//NN|NEU|SIN|IND|NOM//nmod//30 hos//PP//case//34 domstol//NN|UTR|SIN|IND|NOM//nmod//32 .//MAD//punct//13
25.1 Regler om sekretess;I//PP//case//6 9//RG|NOM//nummod//2 kap.//NN|AN//nmod//3 2//RG|NOM//nummod//4 §//NN|AN//nmod//6 tredje//RO|NOM//amod//6 stycket//NN|NEU|SIN|DEF|NOM//nmod//7 SekrL//PM|NOM//nsubj//8 sägs//VB|PRS|SFO//ROOT//8 att//SN//mark//12 sekretessen//NN|UTR|SIN|DEF|NOM//nsubj//12 inte//AB//advmod//12 gäller//VB|PRS|AKT//ccomp//8 beslut//NN|NEU|PLU|IND|NOM//obj//12 i//PP//case//15 ärenden//NN|NEU|PLU|IND|NOM//obl//12 om//PP//case//17 kompensation//NN|UTR|SIN|IND|NOM//nmod//15 för//PP//case//17 eller//KN//cc//20 återbetalning//NN|UTR|SIN|IND|NOM//conj//17 av//PP//case//22 skatt//NN|UTR|SIN|IND|NOM//nmod//20 och//KN//cc//24 beslut//NN|NEU|SIN|IND|NOM//conj//22 i//PP//case//26 ärenden//NN|NEU|PLU|IND|NOM//nmod//20 om//PP//case//28 anstånd//NN|NEU|SIN|IND|NOM//nmod//26 med//PP//mark//30 erläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//28 av//PP//case//32 skatt//NN|UTR|SIN|IND|NOM//nmod//30 .//MAD//punct//8
25.1 Regler om sekretess;Däremot//AB//advmod//35 gäller//VB|PRS|AKT//parataxis//8 sekretessen//NN|UTR|SIN|DEF|NOM//nmod//37 beslut//NN|NEU|PLU|IND|NOM//obj//35 i//PP//case//40 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//40 ärende//NN|NEU|SIN|IND|NOM//obl//35 om//PP//case//42 revision//NN|UTR|SIN|IND|NOM//nmod//40 eller//KN//cc//45 annan//JJ|POS|UTR|SIN|IND|NOM//amod//45 skattekontroll//NN|UTR|SIN|IND|NOM//conj//42 .//MAD//punct//35
25.1 Regler om sekretess;Undantag//NN|NEU|PLU|IND|NOM//nsubj//50 från//PP//case//49 skattesekretessen//NN|UTR|SIN|DEF|NOM//nmod//47 har//VB|PRS|AKT//parataxis//35 också//AB//advmod//50 ,//MID//punct//50 i//PP//case//54 likhet//NN|UTR|SIN|IND|NOM//obl//50 med//PP//mark//59 vad//HP|NEU|SIN|IND//dislocated//59 som//HP|-|-|-//nsubj//59 är//VB|PRS|AKT//cop//59 fallet//NN|NEU|SIN|DEF|NOM//acl//54 enligt//PP//case//66 9//RG|NOM//nummod//62 kap.//NN|AN//nmod//63 1//RG|NOM//nummod//64 §//NN|AN//nmod//66 femte//RO|NOM//amod//66 stycket//NN|NEU|SIN|DEF|NOM//obl//59 ,//MID//punct//68 ansetts//VB|SUP|SFO//advcl//50 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//advmod//68 i//PP//case//74 fråga//NN|UTR|SIN|IND|NOM//fixed//70 om//PP//fixed//70 visst//JJ|POS|NEU|SIN|IND|NOM//amod//74 utlämnande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//68 av//PP//case//76 uppgifter//NN|UTR|PLU|IND|NOM//nmod//74 till//PP//case//78 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//68 (//PAD//punct//68 9//RG|NOM//nummod//81 kap.//NN|AN//nmod//85 2//RG|NOM//nummod//83 §//NN|AN//nmod//85 fjärde//RO|NOM//amod//85 stycket//NN|NEU|SIN|DEF|NOM//obl//68 )//PAD//punct//50 .//MAD//punct//50
25.1 Regler om sekretess;Brottsbekämpning//NN|UTR|SIN|IND|NOM//ROOT//0
25.1 Regler om sekretess;En//DT|UTR|SIN|IND//det//1 uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//11 för//PP//case//3 Skatteverket//PM|NOM//nmod//1 är//VB|PRS|AKT//cop//1 att//IE//mark//6 medverka//VB|INF|AKT//csubj//1 i//PP//case//8 brottsutredningar//NN|UTR|PLU|IND|NOM//obl//6 .//MAD//punct//1
25.1 Regler om sekretess;Förfarandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//11 regleras//VB|PRS|SFO//ROOT//11 i//PP//case//13 lagen//NN|UTR|SIN|DEF|NOM//obl//11 (//PAD//punct//15 1997:1024//RG|NOM//appos//13 )//PAD//punct//15 om//PP//case//19 Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//19 medverkan//NN|UTR|SIN|IND|NOM//obl//11 i//PP//case//21 brottsutredningar//NN|UTR|PLU|IND|NOM//nmod//19 .//MAD//punct//11
25.1 Regler om sekretess;Av//PP//case//24 denna//PN|UTR|SIN|DEF|SUB/OBJ//det//25 framgår//VB|PRS|AKT//parataxis//11 att//SN//mark//29 Skatteverket//PM|NOM//nsubj//29 får//VB|PRS|AKT//aux//29 medverka//VB|INF|AKT//csubj//25 vid//PP//case//31 undersökning//NN|UTR|SIN|IND|NOM//obl//29 av//PP//case//36 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 särskilt//AB//advmod//35 nämnda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//36 brott//NN|NEU|PLU|IND|NOM//nmod//31 och//KN//cc//43 även//AB//advmod//43 i//PP//case//43 fråga//NN|UTR|SIN|IND|NOM//fixed//39 om//PP//fixed//39 annat//JJ|POS|NEU|SIN|IND|NOM//amod//43 brott//NN|NEU|SIN|IND|NOM//conj//36 ,//MID//punct//47 om//SN//mark//47 åklagaren//NN|UTR|SIN|DEF|NOM//nsubj//47 finner//VB|PRS|AKT//advcl//11 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//49 skäl//NN|NEU|PLU|IND|NOM//obj//47 för//PP//case//51 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//47 .//MAD//punct//47
25.1 Regler om sekretess;Åklagare//NN|UTR|PLU|IND|NOM//nsubj//58 som//HP|-|-|-//nsubj//55 leder//VB|PRS|AKT//acl:relcl//53 förundersökning//NN|UTR|SIN|IND|NOM//obj//55 får//VB|PRS|AKT//aux//58 anlita//VB|INF|AKT//parataxis//47 Skatteverket//PM|NOM//obj//58 att//IE//mark//61 biträda//VB|INF|AKT//acl//59 i//PP//case//63 undersökningen//NN|UTR|SIN|DEF|NOM//obl//61 .//MAD//punct//47
25.1 Regler om sekretess;Biträde//NN|NEU|SIN|IND|NOM//nsubj:pass//68 kan//VB|PRS|AKT//aux//68 också//AB//advmod//68 begäras//VB|INF|SFO//conj//11 innan//SN//mark//72 förundersökning//NN|UTR|SIN|IND|NOM//nsubj:pass//72 har//VB|PRS|AKT//aux//72 inletts//VB|SUP|SFO//advcl//68 .//MAD//punct//11
25.1 Regler om sekretess;Skatteverket//PM|NOM//nsubj//77 får//VB|PRS|AKT//aux//77 som//KN//mark//77 huvudregel//NN|UTR|SIN|IND|NOM//parataxis//11 inte//AB//advmod//77 verkställa//VB|INF|AKT//amod//80 beslut//NN|NEU|SIN|IND|NOM//obj//77 om//PP//case//82 tvångsmedel//NN|NEU|PLU|IND|NOM//nmod//80 .//MAD//punct//77
25.1 Regler om sekretess;Genom//PP//case//85 lagändringar//NN|UTR|PLU|IND|NOM//obl//93 den//DT|UTR|SIN|DEF//det//88 1//RO|NOM//nummod//88 juli//NN|UTR|SIN|IND|NOM//nmod//85 2006//RG|NOM//nummod//88 har//VB|PRS|AKT//aux//93 Skatteverket//PM|NOM//nsubj//93 dock//AB//advmod//93 getts//VB|SUP|SFO//advcl//77 rätt//NN|UTR|SIN|IND|NOM//nsubj:pass//106 att//IE//mark//96 verkställa//VB|INF|AKT//acl//94 beslag//NN|NEU|SIN|IND|NOM//obj//96 i//PP//case//100 de//DT|UTR/NEU|PLU|DEF//det//100 fall//NN|NEU|PLU|IND|NOM//obl//96 våld//NN|NEU|SIN|IND|NOM//obj//96 mot//PP//case//103 person//NN|UTR|SIN|IND|NOM//obl//96 inte//AB//advmod//106 behöver//VB|PRS|AKT//aux//106 användas//VB|INF|SFO//advcl//93 samt//KN//cc//113 att//IE//mark//113 på//PP//advmod//113 uppdrag//NN|NEU|SIN|IND|NOM//fixed//109 av//PP//case//112 åklagare//NN|UTR|PLU|IND|NOM//nmod//110 medverka//VB|INF|AKT//conj//93 vid//PP//case//115 husrannsakningar//NN|UTR|PLU|IND|NOM//obl//113 .//MAD//punct//120
25.1 Regler om sekretess;Skatteverket//PM|NOM//nsubj//120 får//VB|PRS|AKT//aux//120 då//AB//advmod//120 genomsöka//VB|INF|AKT//parataxis//77 de//DT|UTR/NEU|PLU|DEF//det//122 utrymmen//NN|NEU|PLU|IND|NOM//obj//120 som//HP|-|-|-//nsubj//125 är//VB|PRS|AKT//cop//125 föremål//NN|NEU|SIN|IND|NOM//acl:relcl//122 för//PP//case//127 husrannsakan//NN|UTR|SIN|DEF|NOM//nmod//125 .//MAD//punct//77
25.1 Regler om sekretess;Dessutom//AB//advmod//130 får//VB|PRS|AKT//parataxis//77 Skatteverket//PM|NOM//nsubj//130 ,//MID//punct//130 utan//PP//mark//136 att//SN//mark//136 biträde//NN|NEU|SIN|IND|NOM//nsubj:pass//136 begärts//VB|SUP|SFO//advcl//130 av//PP//case//138 åklagaren//NN|UTR|SIN|DEF|NOM//obl:agent//136 ,//MID//punct//140 utföra//VB|INF|AKT//conj//130 viss//JJ|POS|UTR|SIN|IND|NOM//amod//143 förenklad//PC|PRF|UTR|SIN|IND|NOM//amod//143 brottsutredning//NN|UTR|SIN|IND|NOM//obj//140 samt//KN//cc//145 bedriva//VB|INF|AKT//conj//130 spaning//NN|UTR|SIN|IND|NOM//obj//145 m.m.//AB|AN//punct//130
25.1 Regler om sekretess;Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 brottsbekämpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 verksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//3 bedrivs//VB|PRS|SFO//ROOT//3 av//PP//case//7 en//DT|UTR|SIN|IND//det//7 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//7 enhet//NN|UTR|SIN|IND|NOM//obl:agent//3 inom//PP//case//9 myndigheten//NN|UTR|SIN|DEF|NOM//nmod//7 ,//MID//punct//11 SBE//PM|NOM//conj//9 .//MAD//punct//3
25.1 Regler om sekretess;Organisatoriskt//AB|POS//advmod//14 sett//PC|PRF|NEU|SIN|IND|NOM//conj//3 har//VB|PRS|AKT//xcomp//14 SBE//PM|NOM//nsubj//15 en//DT|UTR|SIN|IND//det//20 så//AB//advmod//19 fristående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 ställning//NN|UTR|SIN|IND|NOM//obj//15 inom//PP//case//22 Skatteverket//PM|NOM//nmod//20 att//SN//mark//25 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//25 utgör//VB|PRS|AKT//acl//20 en//DT|UTR|SIN|IND//det//29 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//29 självständig//JJ|POS|UTR|SIN|IND|NOM//amod//29 verksamhetsgren//NN|UTR|SIN|IND|NOM//obj//25 i//PP//case//31 tryckfrihetsförordningens//NN|UTR|SIN|DEF|GEN//obl//25 och//KN//cc//34 sekretesslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 mening//NN|UTR|SIN|IND|NOM//conj//31 (//PAD//punct//34 Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//37 handledning//NN|UTR|SIN|IND|NOM//nsubj//38 Offentligt//AB|POS//conj//25 eller//KN//cc//40 hemligt//JJ|POS|NEU|SIN|IND|NOM//conj//38 ,//MID//punct//38 s.//NN|AN//nmod//43 105//RG|NOM//nummod//44 f.//NN|AN//obl//25 )//PAD//punct//14 .//MAD//punct//47
25.1 Regler om sekretess;Beskattningsverksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//52 och//KN//cc//51 den//DT|UTR|SIN|DEF//det//51 brottstutredande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 verksamheten//NN|UTR|SIN|DEF|NOM//conj//47 bedrivs//VB|PRS|SFO//conj//3 således//AB//advmod//52 av//PP//compound:prt//52 i//PP//case//58 förhållande//NN|NEU|SIN|IND|NOM//fixed//55 till//PP//fixed//55 varandra//PN|UTR/NEU|PLU|DEF|OBJ//nmod:poss//60 självständiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 verksamhetsgrenar//NN|UTR|PLU|IND|NOM//obl//52 .//MAD//punct//3
25.1 Regler om sekretess;Ett//DT|NEU|SIN|IND//det//63 utbyte//NN|NEU|SIN|IND|NOM//nsubj//73 av//PP//case//66 sekretessbelagda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//66 uppgifter//NN|UTR|PLU|IND|NOM//nmod//63 mellan//PP//case//70 de//DT|UTR/NEU|PLU|DEF//det//70 båda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 verksamheterna//NN|UTR|PLU|DEF|NOM//nmod//66 måste//VB|PRS|AKT//aux//73 därför//AB//advmod//73 ske//VB|INF|AKT//parataxis//3 med//PP//case//75 stöd//NN|NEU|SIN|IND|NOM//obl//73 av//PP//case//78 sekretessbrytande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//78 regler//NN|UTR|PLU|IND|NOM//nmod//75 ,//MID//punct//73 t.ex.//AB|AN//advmod//81 reglerna//NN|UTR|PLU|DEF|NOM//appos//73 om//PP//case//83 uppgiftsutbyte//NN|NEU|SIN|IND|NOM//nmod//81 mellan//PP//case//85 myndigheter//NN|UTR|PLU|IND|NOM//nmod//83 i//PP//case//92 14//RG|NOM//nummod//88 kap.//NN|AN//nmod//89 1–3//RG|NOM//nummod//90 §//NN|AN//nmod//91 §//NN|AN//nmod//92 SekrL.//PM|NOM//nmod//85
25.1 Regler om sekretess;Vid//PP//case//1 förundersökning//NN|UTR|SIN|IND|NOM//obl//4 i//PP//case//3 brottmål//NN|NEU|PLU|IND|NOM//nmod//1 gäller//VB|PRS|AKT//ROOT//4 sekretess//NN|UTR|SIN|IND|NOM//nsubj//4 för//PP//case//7 uppgift//NN|UTR|SIN|IND|NOM//obl//4 om//PP//case//13 enskilds//JJ|POS|UTR|SIN|IND|GEN//nmod:poss//13 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 och//KN//cc//12 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//10 förhållanden//NN|NEU|PLU|IND|NOM//nmod//7 enligt//PP//case//18 9//RG|NOM//nummod//16 kap.//NN|AN//nmod//17 17//RG|NOM//nummod//18 §//NN|AN//obl//4 första//RO|NOM//amod//20 stycket//NN|NEU|SIN|DEF|NOM//nmod//18 1//RG|NOM//nummod//22 SekrL.//PM|NOM//obl//4 Sekretess//NN|UTR|SIN|IND|NOM//flat:name//22 för//PP//case//26 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//26 uppgift//NN|UTR|SIN|IND|NOM//obl//22 gäller//VB|PRS|AKT//xcomp//4 också//AB//advmod//27 för//PP//case//31 Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//31 verksamhet//NN|UTR|SIN|IND|NOM//obl//27 i//PP//advmod//27 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//32 för//PP//mark//36 att//IE//mark//36 förebygga//VB|INF|AKT//advcl//27 ,//MID//punct//38 uppdaga//VB|INF|AKT//conj//36 ,//MID//punct//40 utreda//VB|INF|AKT//conj//36 eller//KN//cc//42 beivra//VB|INF|AKT//conj//36 brott//NN|NEU|SIN|IND|NOM//obj//36 (//PAD//punct//43 9//RG|NOM//nummod//46 kap.//NN|AN//appos//43 1//RG|NOM//nummod//48 §//NN|AN//nmod//46 första//RO|NOM//amod//50 stycket//NN|NEU|SIN|DEF|NOM//conj//46 4//RG|NOM//nummod//52 SekrL//PM|NOM//conj//46 )//PAD//punct//4 .//MAD//punct//4
25.1 Regler om sekretess;Detsamma//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//56 gäller//VB|PRS|AKT//parataxis//4 för//PP//case//59 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//59 uppgift//NN|UTR|SIN|IND|NOM//obl//56 i//PP//case//61 register//NN|NEU|PLU|IND|NOM//nmod//59 som//HP|-|-|-//nsubj:pass//63 förs//VB|PRS|SFO//acl:relcl//61 av//PP//case//65 Skatteverket//PM|NOM//obl:agent//63 enligt//PP//case//67 lagen//NN|UTR|SIN|DEF|NOM//obl//63 (//PAD//punct//69 1999:90//RG|NOM//nmod//67 )//PAD//punct//69 om//PP//mark//72 behandlig//JJ|POS|UTR|SIN|IND|NOM//advcl//63 av//PP//case//74 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//72 vid//PP//case//77 Skatteverkets//PM|GEN//nmod:poss//77 medverkan//NN|UTR|SIN|IND|NOM//nmod//72 i//PP//case//79 brottsutredningar//NN|UTR|PLU|IND|NOM//nmod//77 eller//KN//cc//83 som//HP|-|-|-//nsubj:pass//83 annars//AB//advmod//83 behandlas//VB|PRS|SFO//conj//72 där//AB//advmod//83 med//PP//case//86 stöd//NN|NEU|SIN|IND|NOM//obl//83 av//PP//case//89 denna//DT|UTR|SIN|DEF//det//89 lag//NN|UTR|SIN|IND|NOM//nmod//86 .//MAD//punct//56
25.1 Regler om sekretess;I//PP//case//94 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//94 dessa//DT|UTR/NEU|PLU|DEF//det//94 fall//NN|NEU|PLU|IND|NOM//obl//95 gäller//VB|PRS|AKT//parataxis//4 sekretessen//NN|UTR|SIN|DEF|NOM//obj//95 med//PP//case//99 omvänt//PC|PRF|NEU|SIN|IND|NOM//amod//99 skaderekvisit//NN|NEU|SIN|IND|NOM//nmod//96 ,//MID//punct//95 dvs.//AB|AN//advmod//103 med//PP//case//103 presumtion//NN|UTR|SIN|IND|NOM//obl//95 för//PP//case//105 sekretess//NN|UTR|SIN|IND|NOM//nmod//103 .//MAD//punct//4
25.1 Regler om sekretess;Folkbokföring//NN|UTR|SIN|IND|NOM//ROOT//0
25.1 Regler om sekretess;Vid//PP//advmod//4 sidan//NN|UTR|SIN|DEF|NOM//fixed//0 av//PP//case//3 beskattningsverksamheten//NN|UTR|SIN|DEF|NOM//nmod//1 ingår//VB|PRS|AKT//ROOT//4 i//PP//case//7 Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//7 uppgifter//NN|UTR|PLU|IND|NOM//obl//4 att//IE//mark//9 ansvara//VB|INF|AKT//acl//7 för//PP//case//11 folkbokföringen//NN|UTR|SIN|DEF|NOM//obl//9 .//MAD//punct//4
25.1 Regler om sekretess;I//PP//case//5 7//RG|NOM//nummod//2 kap.//NN|AN//nmod//4 15//RG|NOM//nummod//4 §//NN|AN//nmod//5 SekrL//PM|NOM//obl//6 finns//VB|PRS|SFO//ROOT//6 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//6 om//PP//case//9 sekretess//NN|UTR|SIN|IND|NOM//nmod//7 för//PP//case//11 uppgift//NN|UTR|SIN|IND|NOM//nmod//9 om//PP//case//15 enskilds//JJ|POS|UTR|SIN|IND|GEN//nmod:poss//15 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 förhållanden//NN|NEU|PLU|IND|NOM//nmod//11 i//PP//case//17 verksamhet//NN|UTR|SIN|IND|NOM//nmod//9 som//HP|-|-|-//nsubj//19 avser//VB|PRS|AKT//acl:relcl//17 folkbokföringen//NN|UTR|SIN|DEF|NOM//obj//19 (//PAD//punct//6 första//RO|NOM//amod//23 stycket//NN|NEU|SIN|DEF|NOM//appos//6 1//RG|NOM//nummod//23 )//PAD//punct//6 .//MAD//punct//6
25.1 Regler om sekretess;För//PP//mark//36 att//SN//mark//36 inte//AB//advmod//30 sekretessen//NN|UTR|SIN|DEF|NOM//nsubj:pass//36 inom//PP//case//34 den//DT|UTR|SIN|DEF//det//34 egentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//34 folkbokföringen//NN|UTR|SIN|DEF|NOM//nmod//30 skall//VB|PRS|AKT//aux//36 kringgås//VB|INF|SFO//advcl//53 genom//PP//mark//40 att//SN//mark//40 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj//40 får//VB|PRS|AKT//advcl//53 en//DT|UTR|SIN|IND//det//43 vidsträcktare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//43 offentlighet//NN|UTR|SIN|IND|NOM//obj//40 i//PP//case//46 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 register//NN|NEU|PLU|IND|NOM//obl//40 som//HP|-|-|-//nsubj//48 omfattar//VB|PRS|AKT//acl:relcl//46 befolkningen//NN|UTR|SIN|DEF|NOM//obj//48 är//VB|PRS|AKT//cop//53 bestämmelsen//NN|UTR|SIN|DEF|NOM//nsubj//53 också//AB//advmod//53 tillämplig//JJ|POS|UTR|SIN|IND|NOM//conj//6 på//PP//case//56 annat//JJ|POS|NEU|SIN|IND|NOM//amod//56 befolkningsregister//NN|UTR|PLU|IND|NOM//obl//53 som//HP|-|-|-//nsubj:pass//58 baseras//VB|PRS|SFO//acl:relcl//56 på//PP//case//60 uppgifter//NN|UTR|PLU|IND|NOM//obl//58 från//PP//case//62 folkbokföringsmyndigheterna//NN|UTR|PLU|DEF|NOM//nmod//60 .//MAD//punct//6
25.1 Regler om sekretess;Bestämmelsen//NN|UTR|SIN|DEF|NOM//nsubj//68 är//VB|PRS|AKT//cop//68 således//AB//advmod//68 också//AB//advmod//68 tillämplig//JJ|POS|UTR|SIN|IND|NOM//parataxis//6 på//PP//case//74 t.ex.//AB|AN//advmod//72 det//DT|NEU|SIN|DEF//det//72 ADB-baserade//PC|PRF|UTR/NEU|SIN|DEF|NOM//nmod//74 centrala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//74 person-//NN|UTR|-|-|SMS//obl//68 och//KN//cc//76 adressregistret//NN|NEU|SIN|DEF|NOM//conj//74 SPAR//NN|NEU|SIN|IND|NOM//conj//74 .//MAD//punct//68
