8 Premiepensionssystemets basalternativ ;I//PP//case//2 premiepensionssystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 basalternativ//NN|NEU|SIN|IND|NOM//obl//6 ,//MID//punct//4 Premiesparfonden//NN|UTR|SIN|DEF|NOM//conj//2 ,//MID//punct//4 placeras//VB|PRS|SFO//ROOT//6 medel//NN|NEU|PLU|IND|NOM//nsubj:pass//6 för//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 pensionssparare//NN|UTR|PLU|IND|NOM//nmod//7 som//HP|-|-|-//nsubj//13 inte//AB//advmod//13 gör//VB|PRS|AKT//acl:relcl//10 ett//DT|NEU|SIN|IND//det//16 aktivt//JJ|POS|NEU|SIN|IND|NOM//amod//16 val//NN|NEU|SIN|IND|NOM//obj//13 av//PP//case//18 fondförvaltare//NN|UTR|PLU|IND|NOM//nmod//16 .//MAD//punct//6
8 Premiepensionssystemets basalternativ ;Aktsamheten//NN|UTR|SIN|DEF|NOM//nsubj//44 är//VB|PRS|AKT//cop//44 därmed//AB//advmod//44 starkt//AB|POS//advmod//44 bunden//PC|PRF|UTR|SIN|IND|NOM//parataxis//1 till//PP//case//47 de//DT|UTR/NEU|PLU|DEF//det//47 krav//NN|NEU|PLU|IND|NOM//obl//44 som//HP|-|-|-//nsubj//49 finns//VB|PRS|SFO//acl:relcl//47 i//PP//case//51 AP-fondslagstiftningen//NN|UTR|SIN|DEF|NOM//obl//49 och//KN//cc//54 som//HP|-|-|-//nsubj//54 avser//VB|PRS|AKT//conj//49 diversifiering//NN|UTR|SIN|IND|NOM//obj//54 ,//MID//punct//57 betalningsberedskap//NN|UTR|SIN|IND|NOM//conj//55 och//KN//cc//63 på//PP//mark//63 att//SN//mark//63 förvaltningen//NN|UTR|SIN|DEF|NOM//nsubj//63 skall//VB|PRS|AKT//aux//63 ske//VB|INF|AKT//conj//49 med//PP//case//66 pensionsspararnas//NN|UTR|PLU|DEF|GEN//nmod:poss//66 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//obl//63 för//PP//case//68 ögonen//NN|NEU|PLU|DEF|NOM//nmod//66 .//MAD//punct//1
8 Premiepensionssystemets basalternativ ;Fördelen//NN|UTR|SIN|DEF|NOM//nsubj//31 med//PP//mark//3 att//IE//mark//3 tillämpa//VB|INF|AKT//acl//0 aktsamhetsprincipen//NN|UTR|SIN|DEF|NOM//obj//3 istället//AB//advmod//3 för//PP//case//7 kravet//NN|NEU|SIN|DEF|NOM//obl//3 på//PP//case//10 låg//JJ|POS|UTR|SIN|IND|NOM//amod//10 risk//NN|UTR|SIN|IND|NOM//nmod//7 är//VB|PRS|AKT//cop//0 att//SN//mark//16 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//16 är//VB|PRS|AKT//cop//16 mer//AB|KOM//advmod//16 flexibel//JJ|POS|UTR|SIN|IND|NOM//acl//0 och//KN//cc//19 kan//VB|PRS|AKT//aux//19 anpassas//VB|INF|SFO//conj//16 till//PP//case//21 utvecklingen//NN|UTR|SIN|DEF|NOM//obl//19 på//PP//case//25 de//DT|UTR/NEU|PLU|DEF//det//25 finansiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 marknaderna//NN|UTR|PLU|DEF|NOM//nmod//21 .//MAD//punct//0
8 Premiepensionssystemets basalternativ ;Principen//NN|UTR|SIN|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//31 inte//AB//advmod//31 heller//AB//advmod//31 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//mark//36 av//PP//compound:prt//31 om//SN//case//35 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 aktörer//NN|UTR|PLU|IND|NOM//nsubj//36 fattar//VB|PRS|AKT//ROOT//36 rationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 beslut//NN|NEU|PLU|IND|NOM//obj//36 .//MAD//punct//36
8 Premiepensionssystemets basalternativ ;En//DT|UTR|SIN|IND//det//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 fråga//NN|UTR|SIN|IND|NOM//ROOT//2 är//VB|PRS|AKT//cop//2 hur//HA//advmod//7 aktsamhetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj:pass//7 skall//VB|PRS|AKT//aux//7 tillämpas//VB|INF|SFO//csubj//2 på//PP//case//10 Sjunde//RO|NOM//amod//10 AP-fonden//NN|UTR|SIN|DEF|NOM//obl//7 ,//MID//punct//10 som//HP|-|-|-//nsubj//15 är//VB|PRS|AKT//cop//15 en//DT|UTR|SIN|IND//det//15 pensionsfond//NN|UTR|SIN|IND|NOM//acl:relcl//10 vars//HS|DEF//nmod:poss//17 verksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//22 i//PP//case//20 tilllämpliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 delar//NN|UTR|PLU|IND|NOM//nmod//17 skall//VB|PRS|AKT//aux//22 styras//VB|INF|SFO//acl:relcl//15 av//PP//case//25 samma//DT|UTR/NEU|SIN/PLU|IND//det//25 regler//NN|UTR|PLU|IND|NOM//obl:agent//22 som//HP|-|-|-//nsubj//27 gäller//VB|PRS|AKT//acl:relcl//25 för//PP//case//30 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 fondbolag//NN|NEU|PLU|IND|NOM//obl//27 .//MAD//punct//2
8 Premiepensionssystemets basalternativ ;Aktsamhetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj//38 skall//VB|PRS|AKT//aux//38 i//PP//case//36 detta//DT|NEU|SIN|DEF//det//36 sammanhang//NN|NEU|SIN|IND|NOM//obl//38 vara//VB|INF|AKT//cop//38 tillämplig//JJ|POS|UTR|SIN|IND|NOM//parataxis//2 på//PP//case//42 Sjunde//RO|NOM//amod//41 AP-fondens//NN|UTR|SIN|DEF|GEN//nmod:poss//42 verksamhet//NN|UTR|SIN|IND|NOM//obl//38 på//PP//case//46 en//DT|UTR|SIN|IND//det//46 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//46 nivå//NN|UTR|SIN|IND|NOM//nmod//42 .//MID//punct//2
8 Premiepensionssystemets basalternativ ;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//49 innebär//VB|PRS|AKT//parataxis//2 att//SN//mark//53 principen//NN|UTR|SIN|DEF|NOM//nsubj//53 är//VB|PRS|AKT//cop//53 styrande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//49 för//PP//case//56 fondens//NN|UTR|SIN|DEF|GEN//nmod:poss//56 basalternativ//NN|NEU|PLU|IND|NOM//obl//53 och//KN//cc//58 ställer//VB|PRS|AKT//conj//53 ett//DT|NEU|SIN|IND//det//60 kvalitetskrav//NN|NEU|SIN|IND|NOM//obj//58 på//PP//case//63 de//DT|UTR/NEU|PLU|DEF//det//63 processer//NN|UTR|PLU|IND|NOM//nmod//60 som//HP|-|-|-//nsubj//65 finns//VB|PRS|SFO//acl:relcl//63 i//PP//case//67 investeringsverksamheten//NN|UTR|SIN|DEF|NOM//obl//65 .//MAD//punct//71
8 Premiepensionssystemets basalternativ ;Utöver//PP//case//71 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//71 krav//NN|NEU|PLU|IND|NOM//obl//77 om//PP//case//73 diversifiering//NN|UTR|SIN|IND|NOM//nmod//71 är//VB|PRS|AKT//cop//77 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//77 inte//AB//advmod//77 lämpligt//JJ|POS|NEU|SIN|IND|NOM//ccomp//49 att//SN//mark//80 aktsamhetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj:pass//80 används//VB|PRS|SFO//advcl//77 som//KN//case//83 ett//DT|NEU|SIN|IND//det//83 verktyg//NN|NEU|SIN|IND|NOM//xcomp//80 för//PP//mark//86 att//IE//mark//86 bedöma//VB|INF|AKT//advcl//80 risknivån//NN|UTR|SIN|DEF|NOM//obj//86 i//PP//case//91 varje//DT|UTR/NEU|SIN|IND//det//91 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//91 tillgångsslagsfond//NN|UTR|SIN|IND|NOM//obl//86 .//MAD//punct//49
8 Premiepensionssystemets basalternativ ;En//DT|UTR|SIN|IND//det//95 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//95 tillämpning//NN|UTR|SIN|IND|NOM//nsubj//101 av//PP//case//97 principen//NN|UTR|SIN|DEF|NOM//nmod//95 skulle//VB|PRT|AKT//aux//101 nämligen//AB//advmod//101 vara//VB|INF|AKT//cop//101 förenad//PC|PRF|UTR|SIN|IND|NOM//parataxis//49 med//PP//case//104 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//104 svårigheter//NN|UTR|PLU|IND|NOM//obl//101 eftersom//SN//mark//113 varje//DT|UTR/NEU|SIN|IND//det//107 fond//NN|UTR|SIN|IND|NOM//nsubj:pass//113 var//PN|UTR|SIN|IND|SUB/OBJ//aux//113 för//PP//case//110 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//113 inte//AB//advmod//113 kan//VB|PRS|AKT//aux//113 bedömas//VB|INF|SFO//advcl//101 självständigt//AB|POS//xcomp//113 .//MAD//punct//101
8 Premiepensionssystemets basalternativ ;Aktsamhetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj:pass//120 bör//VB|PRS|AKT//aux//120 därför//AB//advmod//120 snarare//AB|KOM//advmod//120 kopplas//VB|INF|SFO//conj//101 samman//PL//compound:prt//120 med//PP//case//125 Sjunde//RO|NOM//amod//124 AP-fondens//NN|UTR|SIN|DEF|GEN//nmod:poss//125 roll//NN|UTR|SIN|IND|NOM//obl//120 som//KN//nsubj//127 pensionsfond//NN|UTR|SIN|IND|NOM//acl:relcl//125 än//KN//mark//130 de//DT|UTR/NEU|PLU|DEF//det//130 likheter//NN|UTR|PLU|IND|NOM//obl//120 som//HP|-|-|-//nsubj//132 finns//VB|PRS|SFO//acl:relcl//130 med//PP//case//134 fondbolagen//NN|NEU|PLU|DEF|NOM//obl//132 .//MAD//punct//49
8 Premiepensionssystemets basalternativ ;En//DT|UTR|SIN|IND//det//2 annan//JJ|POS|UTR|SIN|IND|NOM//amod//2 fråga//NN|UTR|SIN|IND|NOM//ROOT//2 är//VB|PRS|AKT//cop//2 hur//HA//advmod//7 aktsamhetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj:pass//7 skall//VB|PRS|AKT//aux//7 kopplas//VB|INF|SFO//ccomp//3 samman//PL//compound:prt//7 med//PP//case//11 den//DT|UTR|SIN|DEF//det//11 generationsfondsprofil//NN|UTR|SIN|IND|NOM//obl//7 som//HP|-|-|-//obj//16 Sjunde//RO|NOM//amod//14 AP-fonden//NN|UTR|SIN|DEF|NOM//nsubj//16 skall//VB|PRS|AKT//aux//16 tilllämpa//VB|INF|AKT//acl:relcl//11 .//MAD//punct//2
8 Premiepensionssystemets basalternativ ;De//DT|UTR/NEU|PLU|DEF//det//19 avvägningar//NN|UTR|PLU|IND|NOM//nsubj//24 som//HP|-|-|-//nsubj:pass//22 måste//VB|PRS|AKT//aux//22 göras//VB|INF|SFO//acl:relcl//19 bör//VB|PRS|AKT//aux//24 syfta//VB|INF|AKT//parataxis//2 till//PP//mark//27 att//IE//mark//27 anpassa//VB|INF|AKT//advcl//24 investeringsverksamheten//NN|UTR|SIN|DEF|NOM//obj//27 så//SN//mark//33 att//SN//fixed//29 pensionsspararkollektivets//NN|NEU|SIN|DEF|GEN//nmod:poss//32 behov//NN|NEU|PLU|IND|NOM//nsubj:pass//33 tillgodoses//VB|PRS|SFO//advcl//27 på//PP//case//36 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//36 sätt//NN|NEU|SIN|IND|NOM//obl//33 .//MAD//punct//24
8 Premiepensionssystemets basalternativ ;Sjunde//RO|NOM//amod//39 AP-fonden//NN|UTR|SIN|DEF|NOM//nsubj//40 har//VB|PRS|AKT//parataxis//24 ett//DT|NEU|SIN|IND//det//43 primärt//JJ|POS|NEU|SIN|IND|NOM//amod//43 uppdrag//NN|NEU|SIN|IND|NOM//obj//40 att//IE//mark//45 förvalta//VB|INF|AKT//acl//43 medlen//NN|NEU|PLU|DEF|NOM//obj//45 för//PP//case//49 de//DT|UTR/NEU|PLU|DEF//det//49 pensionssparare//NN|UTR|PLU|IND|NOM//obl//45 som//HP|-|-|-//nsubj//52 inte//AB//advmod//52 anmält//VB|SUP|AKT//acl:relcl//49 något//DT|NEU|SIN|IND//det//54 fondval//NN|NEU|SIN|IND|NOM//obj//52 .//MAD//punct//24
8 Premiepensionssystemets basalternativ ;Eftersom//SN//mark//60 premiepensionen//NN|UTR|SIN|DEF|NOM//nsubj//60 är//VB|PRS|AKT//cop//60 en//DT|UTR|SIN|IND//det//60 del//NN|UTR|SIN|IND|NOM//advcl//71 av//PP//case//63 de//DT|UTR/NEU|PLU|DEF//det//63 ersättningar//NN|UTR|PLU|IND|NOM//nmod//60 som//HP|-|-|-//nsubj//65 utgår//VB|PRS|AKT//acl:relcl//63 från//PP//case//67 ålderspensionssystemet//NN|NEU|SIN|DEF|NOM//obl//65 måste//VB|PRS|AKT//aux//71 ett//DT|NEU|SIN|IND//det//70 helhetsperspektiv//NN|NEU|SIN|IND|NOM//nsubj:pass//71 tas//VB|INF|SFO//conj//24 ,//MID//punct//71 vilket//HP|NEU|SIN|IND//nsubj//75 bl.a.//AB|AN//advmod//75 innebär//VB|PRS|AKT//acl:relcl//71 att//SN//mark//79 inkomstpensionen//NN|UTR|SIN|DEF|NOM//nsubj:pass//79 skall//VB|PRS|AKT//aux//79 vägas//VB|INF|SFO//ccomp//75 in//PL//compound:prt//79 i//PP//case//83 den//DT|UTR|SIN|DEF//det//83 riskbedömning//NN|UTR|SIN|IND|NOM//obl//79 som//HP|-|-|-//nsubj//85 sker//VB|PRS|AKT//acl:relcl//83 .//MAD//punct//2
8 Premiepensionssystemets basalternativ ;Aktsamhetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj//5 är//VB|PRS|AKT//cop//5 som//HP|-|-|-//nsubj//3 framgått//VB|SUP|AKT//advcl//5 inte//AB//advmod//5 resultatinriktad//PC|PRF|UTR|SIN|IND|NOM//ROOT//5 ,//MID//punct//10 utan//KN//case//10 snarare//AB|KOM//advmod//9 ett//DT|NEU|SIN|IND//det//10 kvalitetskrav//NN|NEU|SIN|IND|NOM//nsubj:pass//23 på//PP//case//13 de//DT|UTR/NEU|PLU|DEF//det//13 processer//NN|UTR|PLU|IND|NOM//nmod//10 som//HP|-|-|-//nsubj//15 föregår//VB|PRS|AKT//acl:relcl//13 de//DT|UTR/NEU|PLU|DEF//det//17 beslut//NN|NEU|PLU|IND|NOM//obj//15 som//HP|-|-|-//nsubj:pass//19 fattas//VB|PRS|SFO//acl:relcl//17 .//MID//punct//10
8 Premiepensionssystemets basalternativ ;Inga//DT|UTR/NEU|PLU|IND//det//22 investeringsbeslut//NN|NEU|PLU|IND|NOM//nsubj:pass//23 betraktas//VB|PRS|SFO//parataxis//5 som//KN//mark//25 oaktsamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//23 i//PP//case//27 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//25 .//MAD//punct//23
8 Premiepensionssystemets basalternativ ;En//DT|UTR|SIN|IND//det//31 aggressiv//JJ|POS|UTR|SIN|IND|NOM//amod//31 investering//NN|UTR|SIN|IND|NOM//nsubj//34 kan//VB|PRS|AKT//aux//34 vara//VB|INF|AKT//cop//34 aktsam//JJ|POS|UTR|SIN|IND|NOM//parataxis//23 om//SN//mark//37 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//37 bygger//VB|PRS|AKT//advcl//34 på//PP//case//42 en//DT|UTR|SIN|IND//det//42 väl//AB|POS//advmod//41 utformad//PC|PRF|UTR|SIN|IND|NOM//amod//42 strategi//NN|UTR|SIN|IND|NOM//obl//37 där//HA//advmod//48 de//DT|UTR/NEU|PLU|DEF//det//46 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 riskerna//NN|UTR|PLU|DEF|NOM//nsubj//48 är//VB|PRS|AKT//cop//48 analyserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//42 .//MAD//punct//23
8 Premiepensionssystemets basalternativ ;Alltför//AB//advmod//51 försiktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 placeringar//NN|UTR|PLU|IND|NOM//xcomp//23 med//PP//case//56 mycket//AB|POS//advmod//55 begränsad//PC|PRF|UTR|SIN|IND|NOM//amod//56 risk//NN|UTR|SIN|IND|NOM//nmod//52 kan//VB|PRS|AKT//aux//59 dock//AB//advmod//59 komma//VB|INF|AKT//conj//5 i//PP//compound:prt//59 konflikt//NN|UTR|SIN|IND|NOM//fixed//60 med//PP//case//63 aktsamhetsprincipen//NN|UTR|SIN|DEF|NOM//obl//59 ,//MID//punct//68 eftersom//SN//mark//68 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//67 placeringar//NN|UTR|PLU|IND|NOM//nsubj//68 riskerar//VB|PRS|AKT//advcl//5 att//IE//mark//70 generera//VB|INF|AKT//xcomp//68 för//AB//case//73 lite//AB|POS//amod//73 avkastning//NN|UTR|SIN|IND|NOM//obl//70 .//MAD//punct//5
8 Premiepensionssystemets basalternativ ;Investeringsstrategin//NN|UTR|SIN|DEF|NOM//nsubj//79 skall//VB|PRS|AKT//aux//79 vara//VB|INF|AKT//cop//79 väl//AB|POS//advmod//79 dokumenterad//PC|PRF|UTR|SIN|IND|NOM//parataxis//5 i//PP//case//82 en//DT|UTR|SIN|IND//det//82 placeringsplan//NN|UTR|SIN|IND|NOM//obl//79 och//KN//cc//84 tillsynen//NN|UTR|SIN|DEF|NOM//conj//82 inriktad//PC|PRF|UTR|SIN|IND|NOM//conj//79 på//PP//mark//88 att//IE//mark//88 se//VB|INF|AKT//advcl//85 till//PL//compound:prt//88 att//SN//mark//92 den//PN|UTR|SIN|DEF|SUB/OBJ//det//92 efterlevs//VB|PRS|SFO//ccomp//88 .//MAD//punct//79
8 Premiepensionssystemets basalternativ ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//96 bör//VB|PRS|AKT//aux//96 påpekas//VB|INF|SFO//conj//79 att//SN//mark//101 Finansinspektionen//NN|UTR|SIN|DEF|NOM//nsubj//101 inte//AB//advmod//101 skall//VB|PRS|AKT//aux//101 ha//VB|INF|AKT//advcl//96 något//DT|NEU|SIN|IND//det//103 ansvar//NN|NEU|SIN|IND|NOM//obj//101 för//PP//mark//106 att//IE//mark//106 se//VB|INF|AKT//advcl//101 till//PL//compound:prt//106 att//SN//mark//110 aktsamhetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj:pass//110 efterlevs//VB|PRS|SFO//ccomp//106 av//PP//case//113 Sjunde//RO|NOM//amod//113 AP-fonden//NN|UTR|SIN|DEF|NOM//obl//110 .//MAD//punct//79
8 Premiepensionssystemets basalternativ ;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//119 är//VB|PRS|AKT//cop//119 istället//AB//advmod//119 en//DT|UTR|SIN|IND//det//119 fråga//NN|UTR|SIN|IND|NOM//parataxis//79 som//HP|-|-|-//nsubj:pass//122 skall//VB|PRS|AKT//aux//122 behandlas//VB|INF|SFO//acl:relcl//119 vid//PP//case//126 den//DT|UTR|SIN|DEF//det//126 årliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//126 utvärdering//NN|UTR|SIN|IND|NOM//obl//122 som//HP|-|-|-//nsubj//128 sker//VB|PRS|AKT//acl:relcl//126 av//PP//case//131 AP-fondernas//NN|UTR|PLU|DEF|GEN//nmod:poss//131 verksamhet//NN|UTR|SIN|IND|NOM//obl//128 .//MAD//punct//119
8 Premiepensionssystemets basalternativ ;Finansinspektionens//NN|UTR|SIN|DEF|GEN//nmod:poss//134 tillsyn//NN|UTR|SIN|IND|NOM//nsubj//138 skall//VB|PRS|AKT//aux//138 således//AB//advmod//138 enbart//AB//advmod//138 avse//VB|INF|AKT//conj//119 förhållanden//NN|NEU|PLU|IND|NOM//obj//138 som//HP|-|-|-//nsubj//141 rör//VB|PRS|AKT//acl:relcl//139 reglerna//NN|UTR|PLU|DEF|NOM//obj//141 i//PP//case//144 lagen//NN|UTR|SIN|DEF|NOM//nmod//142 om//PP//case//146 investeringsfonder//NN|UTR|PLU|IND|NOM//obl//141 .//MAD//punct//79
8 Premiepensionssystemets basalternativ ;Följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 riktlinjer//NN|UTR|PLU|IND|NOM//nsubj//6 bör//VB|PRS|AKT//aux//6 i//PP//case//5 tillämpliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 delar//NN|UTR|PLU|IND|NOM//obl//6 gälla//VB|INF|AKT//ROOT//6 Sjunde//RO|NOM//amod//8 AP-fondens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 verksamhet//NN|UTR|SIN|IND|NOM//obj//6 ://MAD//punct//6
8 Premiepensionssystemets basalternativ ;•//NN|NEU|SIN|IND|NOM//punct//3 Investeringarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//3 skall//VB|PRS|AKT//aux//3 utföras//VB|INF|SFO//ROOT//3 med//PP//case//5 omsorg//NN|UTR|SIN|IND|NOM//obl//3 och//KN//cc//7 skicklighet//NN|UTR|SIN|IND|NOM//conj//5 av//PP//case//10 en//DT|UTR|SIN|IND//det//10 person//NN|UTR|SIN|IND|NOM//nmod//7 med//PP//case//13 god//JJ|POS|UTR|SIN|IND|NOM//amod//13 kunskap//NN|UTR|SIN|IND|NOM//nmod//10 om//PP//case//17 den//DT|UTR|SIN|DEF//det//17 specifika//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//13 .//MAD//punct//3
8 Premiepensionssystemets basalternativ ;•//NN|UTR|SIN|IND|NOM//punct//2 Förvaltaren//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//ROOT//2 en//DT|UTR|SIN|IND//det//4 lojalitetsplikt//NN|UTR|SIN|IND|NOM//obj//2 gentemot//PP//case//6 pensionsspararna//NN|UTR|PLU|DEF|NOM//nmod//4 och//KN//cc//9 skall//VB|PRS|AKT//aux//9 agera//VB|INF|AKT//conj//2 i//PP//case//12 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//12 intresse//NN|NEU|SIN|IND|NOM//obl//9 .//MAD//punct//2
8 Premiepensionssystemets basalternativ ;•//NN|NEU|SIN|IND|NOM//advmod//5 Tillgångarna//NN|UTR|PLU|DEF|NOM//nsubj//5 skall//VB|PRS|AKT//aux//5 vara//VB|INF|AKT//cop//5 tillräckligt//AB|POS//advmod//5 diversifierade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//5 inom//PP//case//9 och//KN//cc//9 mellan//PP//case//9 tillgångsslag//NN|NEU|PLU|IND|NOM//obl//5 .//MAD//punct//5
8 Premiepensionssystemets basalternativ ;•//NN|NEU|SIN|IND|NOM//advmod//3 Tillgångarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//3 skall//VB|PRS|AKT//aux//3 förvaltas//VB|INF|SFO//ROOT//3 med//PP//case//5 beaktande//NN|NEU|SIN|IND|NOM//obl//3 av//PP//case//8 åtagandenas//NN|UTR|PLU|DEF|GEN//nmod:poss//8 typ//NN|UTR|SIN|IND|NOM//nmod//5 och//KN//cc//10 varaktighet//NN|UTR|SIN|IND|NOM//conj//8 .//MAD//punct//3
8 Premiepensionssystemets basalternativ ;I//PP//case//13 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//20 kan//VB|PRS|AKT//aux//20 kravet//NN|NEU|SIN|DEF|NOM//nsubj:pass//20 på//PP//case//17 generationsfondsprofil//NN|UTR|SIN|IND|NOM//nmod//15 i//PP//case//19 basalternativet//NN|NEU|SIN|DEF|NOM//nmod//17 inläsas//VB|PRS|SFO//parataxis//3 ,//MID//punct//22 se//VB|IMP|AKT//parataxis//3 ovan//AB//advmod//22 .//MAD//punct//3
8 Premiepensionssystemets basalternativ ;8.2//RG|NOM//nummod//26 Möjligheten//NN|UTR|SIN|DEF|NOM//parataxis//3 att//IE//mark//28 välja//VB|INF|AKT//acl//26 premiepensionssystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//30 basalternativ//NN|NEU|PLU|IND|NOM//obj//28
8 Premiepensionssystemets basalternativ ;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//ROOT//1 ://MID//punct//1
8 Premiepensionssystemets basalternativ ;Basalternativet//NN|NEU|SIN|DEF|NOM//nsubj//6 skall//VB|PRS|AKT//aux//6 vara//VB|INF|AKT//cop//6 öppet//JJ|POS|NEU|SIN|IND|NOM//parataxis//1 för//PP//case//9 aktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 val//NN|NEU|PLU|IND|NOM//obl//6 .//MAD//punct//6
8 Premiepensionssystemets basalternativ ;Premievalsfonden//NN|UTR|SIN|DEF|NOM//nsubj:pass//13 skall//VB|PRS|AKT//aux//13 läggas//VB|INF|SFO//conj//6 ned//PL//compound:prt//13 och//KN//cc//17 de//DT|UTR/NEU|PLU|DEF//det//17 medel//NN|NEU|PLU|IND|NOM//nsubj:pass//23 som//HP|-|-|-//nsubj:pass//19 förvaltas//VB|PRS|SFO//acl:relcl//17 i//PP//case//21 fonden//NN|UTR|SIN|DEF|NOM//obl//19 bör//VB|PRS|AKT//aux//23 föras//VB|INF|SFO//conj//13 över//PL//compound:prt//23 till//PP//case//27 de//DT|UTR/NEU|PLU|DEF//det//27 fonder//NN|UTR|PLU|IND|NOM//obl//23 som//HP|-|-|-//nsubj//31 Sjunde//RO|NOM//amod//30 AP-fonden//NN|UTR|SIN|DEF|NOM//nsubj//31 beslutar//VB|PRS|AKT//acl:relcl//27 .//MAD//punct//1
8 Premiepensionssystemets basalternativ ;PPM//PM|NOM//nsubj//6 bör//VB|PRS|AKT//aux//6 i//PP//case//5 sin//PS|UTR|SIN|DEF//nmod:poss//5 traditionella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 livförsäkringsrörelse//NN|UTR|SIN|IND|NOM//obl//6 få//VB|INF|AKT//ROOT//6 möjlighet//NN|UTR|SIN|IND|NOM//obj//6 att//IE//mark//9 placera//VB|INF|AKT//acl//7 i//PP//case//11 fonderna//NN|UTR|PLU|DEF|NOM//obl//9 på//PP//case//13 fondtorget//NN|NEU|SIN|DEF|NOM//obl//9 och//KN//cc//18 i//PP//case//18 Sjunde//RO|NOM//amod//17 AP-fondens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 fonder//NN|UTR|PLU|IND|NOM//conj//9 .//MAD//punct//6
8 Premiepensionssystemets basalternativ ;Sjunde//RO|NOM//amod//21 AP-fonden//NN|UTR|SIN|DEF|NOM//nsubj//24 skall//VB|PRS|AKT//aux//24 inte//AB//advmod//24 ha//VB|INF|AKT//conj//6 möjlighet//NN|UTR|SIN|IND|NOM//obj//24 att//IE//mark//27 erbjuda//VB|INF|AKT//acl//25 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//29 tjänster//NN|UTR|PLU|IND|NOM//obj//27 utanför//PP//case//31 Premiepensionssystemet//NN|NEU|SIN|DEF|NOM//nmod//29 .//MAD//punct//6
