F-skatt åt flera ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//0
3.2.1 Olika skattebetalningsformer;Om//SN//mark//142 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//142 som//HP|-|-|-//nsubj//138 utgett//VB|SUP|AKT//acl:relcl//136 ersättningen//NN|UTR|SIN|DEF|NOM//obj//138 inte//AB//advmod//142 ska//VB|PRS|AKT//aux//142 betala//VB|INF|AKT//advcl//148 arbetsgivaravgift//NN|UTR|SIN|IND|NOM//obj//142 ska//VB|PRS|AKT//aux//148 avgiften//NN|UTR|SIN|DEF|NOM//nsubj:pass//148 i//PP//advmod//148 stället//NN|NEU|SIN|DEF|NOM//fixed//146 betalas//VB|PRS|SFO//xcomp//130 som//KN//mark//150 egenavgift//NN|UTR|SIN|IND|NOM//xcomp//148 .//MAD//punct//130
3.2.1 Olika skattebetalningsformer;Egenföretagare//NN|UTR|PLU|IND|NOM//nsubj//153 betalar//VB|PRS|AKT//parataxis//130 i//PP//case//158 de//DT|UTR/NEU|PLU|DEF//det//157 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//157 fall//NN|NEU|PLU|IND|NOM//nmod//158 egenavgifter//NN|UTR|PLU|IND|NOM//obl//153 på//PP//case//161 sin//PS|UTR|SIN|DEF//nmod:poss//161 inkomst//NN|UTR|SIN|IND|NOM//nmod//158 av//PP//case//163 näringsverksamhet//NN|UTR|SIN|IND|NOM//nmod//161 .//MAD//punct//130
3.2.1 Olika skattebetalningsformer;Från//PP//case//2 dessa//DT|UTR/NEU|PLU|DEF//det//2 bestämmelser//NN|UTR|PLU|IND|NOM//obl//7 i//PP//case//4 SBL//PM|NOM//nmod//2 och//KN//cc//6 SAL//NN|UTR|SIN|IND|NOM//conj//4 finns//VB|PRS|SFO//advcl//55 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//9 undantag//NN|NEU|PLU|IND|NOM//nsubj//7 .//MAD//punct//7
3.2.1 Olika skattebetalningsformer;Ett//PN|NEU|SIN|IND|SUB/OBJ//expl//18 är//VB|PRS|AKT//cop//18 att//SN//mark//18 en//DT|UTR|SIN|IND//det//15 utbetalare//NN|UTR|SIN|IND|NOM//nsubj//18 inte//AB//advmod//18 är//VB|PRS|AKT//cop//18 skyldig//JJ|POS|UTR|SIN|IND|NOM//parataxis//7 att//IE//mark//20 göra//VB|INF|AKT//csubj//18 skatteavdrag//NN|NEU|SIN|IND|NOM//obj//20 eller//KN//cc//23 betala//VB|INF|AKT//conj//20 in//PL//compound:prt//23 arbetsgivaravgifter//NN|UTR|PLU|IND|NOM//obj//23 om//PP//case//27 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//23 som//HP|-|-|-//nsubj//29 tar//VB|PRS|AKT//acl:relcl//27 emot//PL//compound:prt//29 ersättning//NN|UTR|SIN|IND|NOM//obj//29 har//VB|PRS|AKT//aux//55 en//DT|UTR|SIN|IND//det//34 F-skattsedel//NN|UTR|SIN|IND|NOM//obj//32 antingen//KN//cc//40 när//HA//mark//40 ersättningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//40 för//PP//case//39 arbetet//NN|NEU|SIN|DEF|NOM//nmod//37 bestäms//VB|PRS|SFO//conj//32 eller//KN//cc//44 när//HA//mark//44 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//44 betalas//VB|PRS|SFO//conj//40 ut//PL//compound:prt//44 .//MAD//punct//32
3.2.1 Olika skattebetalningsformer;En//DT|UTR|SIN|IND//det//48 uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//55 om//PP//case//50 innehav//NN|NEU|SIN|IND|NOM//nmod//48 av//PP//case//53 en//DT|UTR|SIN|IND//det//53 F-skattsedel//NN|UTR|SIN|IND|NOM//nmod//50 får//VB|PRS|AKT//aux//55 godtas//VB|INF|SFO//ROOT//55 om//SN//mark//58 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//58 lämnas//VB|PRS|SFO//advcl//55 i//PP//case//61 en//DT|UTR|SIN|IND//det//61 anbudshandling//NN|UTR|SIN|IND|NOM//obl//58 ,//MID//punct//64 en//DT|UTR|SIN|IND//det//64 faktura//NN|UTR|SIN|IND|NOM//conj//61 eller//KN//cc//68 någon//DT|UTR|SIN|IND//det//68 jämförlig//JJ|POS|UTR|SIN|IND|NOM//amod//68 handling//NN|UTR|SIN|IND|NOM//conj//61 som//HP|-|-|-//nsubj//71 även//AB//advmod//71 innehåller//VB|PRS|AKT//acl:relcl//68 utbetalarens//NN|UTR|SIN|DEF|GEN//obj//71 och//KN//cc//75 betalningsmottagarens//NN|UTR|SIN|DEF|GEN//nmod:poss//75 namn//NN|NEU|SIN|IND|NOM//conj//72 och//KN//cc//77 adress//NN|UTR|SIN|IND|NOM//conj//72 samt//KN//cc//80 betalningsmottagarens//NN|UTR|SIN|DEF|GEN//nmod:poss//80 personnummer//NN|NEU|SIN|IND|NOM//conj//72 ,//MID//punct//82 samordningsnummer//NN|NEU|SIN|IND|NOM//conj//72 eller//KN//cc//84 organisationsnummer//NN|NEU|SIN|IND|NOM//conj//72 .//MID//punct//55
3.2.1 Olika skattebetalningsformer;Om//SN//mark//92 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//92 som//HP|-|-|-//nsubj//89 betalar//VB|PRS|AKT//acl:relcl//87 ut//PL//compound:prt//89 ersättningen//NN|UTR|SIN|DEF|NOM//obj//89 känner//VB|PRS|AKT//dislocated//106 till//PL//compound:prt//92 att//SN//mark//101 uppgiften//NN|UTR|SIN|DEF|NOM//nsubj//101 om//PP//case//99 innehav//NN|NEU|SIN|IND|NOM//fixed//96 av//PP//case//99 F-skattsedel//NN|UTR|SIN|IND|NOM//nmod//95 är//VB|PRS|AKT//cop//101 oriktig//JJ|POS|UTR|SIN|IND|NOM//ccomp//92 så//AB//advcl//106 får//VB|PRS|AKT//aux//106 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//106 inte//AB//advmod//106 godtas//VB|INF|SFO//parataxis//55 .//MAD//punct//106
3.2.1 Olika skattebetalningsformer;För//PP//case//109 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//118 som//HP|-|-|-//nsubj//111 har//VB|PRS|AKT//acl:relcl//109 F-skattsedel//NN|UTR|SIN|IND|NOM//obj//111 med//PP//case//114 villkor//NN|NEU|PLU|IND|NOM//nmod//112 får//VB|PRS|AKT//aux//118 skatteavdrag//NN|NEU|SIN|IND|NOM//nsubj:pass//118 endast//AB//advmod//118 underlåtas//VB|INF|SFO//advcl//55 om//SN//mark//121 F-skattsedeln//NN|UTR|SIN|DEF|NOM//nsubj:pass//121 åberopas//VB|PRS|SFO//advcl//118 skriftligen//AB//advmod//121 .//MAD//punct//55
3.2.1 Olika skattebetalningsformer;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//3 är//VB|PRS|AKT//cop//3 alltså//AB//advmod//3 F-skattsedel//NN|UTR|SIN|IND|NOM//ROOT//3 och//KN//cc//6 inte//AB//advmod//6 inkomstslaget//NN|NEU|SIN|DEF|NOM//conj//3 som//HP|-|-|-//nsubj//11 är//VB|PRS|AKT//cop//11 den//DT|UTR|SIN|DEF//det//11 avgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 faktorn//NN|UTR|SIN|DEF|NOM//acl:relcl//6 för//PP//case//14 om//SN//case//14 ersättningar//NN|UTR|PLU|IND|NOM//obl//11 för//PP//case//17 ett//DT|NEU|SIN|IND//det//17 arbete//NN|NEU|SIN|IND|NOM//nmod//14 kommer//VB|PRS|AKT//aux//20 att//IE//mark//20 betalas//VB|INF|SFO//conj//3 ut//PL//compound:prt//20 netto//NN|NEU|SIN|IND|NOM//obl//20 eller//KN//cc//24 brutto//NN|UTR|SIN|IND|NOM//conj//22 av//PP//case//26 uppdragsgivaren//NN|UTR|SIN|DEF|NOM//nmod//24 och//KN//cc//31 om//PP//mark//31 arbetsgivaravgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//31 ska//VB|PRS|AKT//aux//31 betalas//VB|INF|SFO//conj//20 .//MAD//punct//3
3.2.1 Olika skattebetalningsformer;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//34 innebär//VB|PRS|AKT//parataxis//3 att//SN//mark//58 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//58 som//HP|-|-|-//nsubj//38 betalar//VB|PRS|AKT//acl:relcl//36 ut//PL//compound:prt//38 ersättning//NN|UTR|SIN|IND|NOM//obj//38 för//PP//case//43 ett//DT|NEU|SIN|IND//det//43 arbete//NN|NEU|SIN|IND|NOM//obl//38 till//PP//case//47 en//DT|UTR|SIN|IND//det//47 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//47 näringsidkare//NN|UTR|SIN|IND|NOM//obl//38 som//HP|-|-|-//nsubj//50 inte//AB//advmod//50 har//VB|PRS|AKT//acl:relcl//47 eller//KN//cc//53 som//HP|-|-|-//nsubj//53 fått//VB|SUP|AKT//conj//50 sin//PS|UTR|SIN|DEF//nmod:poss//55 F-skattsedel//NN|UTR|SIN|IND|NOM//obj//53 återkallad//PC|PRF|UTR|SIN|IND|NOM//xcomp//53 är//VB|PRS|AKT//cop//58 skyldig//JJ|POS|UTR|SIN|IND|NOM//ccomp//34 att//IE//mark//60 verkställa//VB|INF|AKT//advcl//58 skatteavdrag//NN|NEU|SIN|IND|NOM//obj//60 och//KN//cc//63 betala//VB|INF|AKT//conj//60 arbetsgivaravgifter//NN|UTR|PLU|IND|NOM//obj//63 .//MID//punct//3
3.2.1 Olika skattebetalningsformer;Sak//NN|UTR|SIN|IND|NOM//parataxis//3 samma//DT|UTR/NEU|SIN/PLU|IND//obj//66 om//SN//mark//72 betalningsmottagaren//NN|UTR|SIN|DEF|NOM//nsubj//72 är//VB|PRS|AKT//cop//72 ett//DT|NEU|SIN|IND//det//72 aktiebolag//NN|NEU|SIN|IND|NOM//obl//66 med//PP//case//75 den//DT|UTR|SIN|DEF//det//75 skillnaden//NN|UTR|SIN|DEF|NOM//nmod//72 att//SN//mark//83 socialavgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//83 över//PP//advmod//83 huvud//NN|NEU|SIN|IND|NOM//fixed//78 taget//PC|PRF|NEU|SIN|IND|NOM//fixed//78 inte//AB//advmod//83 ska//VB|PRS|AKT//aux//83 betalas//VB|INF|SFO//acl//75 för//PP//case//86 juridiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//86 personer//NN|UTR|PLU|IND|NOM//obl//83 .//MAD//punct//66
3.2.1 Olika skattebetalningsformer;När//HA//advmod//93 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//88 gäller//VB|PRS|AKT//fixed//88 handelsbolag//NN|NEU|PLU|IND|NOM//fixed//88 med//PP//case//93 F-skattsedel//NN|UTR|SIN|IND|NOM//obl//66 ska//VB|PRS|AKT//aux//98 inte//AB//advmod//98 någon//DT|UTR|SIN|IND//det//97 skatt//NN|UTR|SIN|IND|NOM//nsubj:pass//98 debiteras//VB|PRS|SFO//conj//3 bolaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//98 eller//KN//cc//101 avdrag//NN|NEU|SIN|IND|NOM//conj//99 göras//VB|INF|SFO//conj//3 för//PP//case//105 delägarens//NN|UTR|SIN|DEF|GEN//nmod:poss//105 preliminärskatt//NN|UTR|SIN|IND|NOM//obl//102 eller//KN//cc//111 någon//DT|UTR|SIN|IND//det//108 inbetalning//NN|UTR|SIN|IND|NOM//nsubj:pass//111 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//110 arbetsgivaravgifter//NN|UTR|PLU|IND|NOM//nmod//108 göras//VB|INF|SFO//conj//3 för//PP//case//113 densamme//PN|MAS|SIN|DEF|SUB/OBJ//obl//111 .//MAD//punct//3
3.2.1 Olika skattebetalningsformer;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//119 är//VB|PRS|AKT//cop//119 i//PP//advmod//119 stället//NN|NEU|SIN|DEF|NOM//fixed//117 delägaren//NN|UTR|SIN|DEF|NOM//parataxis//3 som//HP|-|-|-//nsubj//121 betalar//VB|PRS|AKT//acl:relcl//119 skatt//NN|UTR|SIN|IND|NOM//obj//121 och//KN//cc//124 egenavgift//NN|UTR|SIN|IND|NOM//conj//122 enligt//PP//case//127 en//DT|UTR|SIN|IND//det//127 F-skattsedel//NN|UTR|SIN|IND|NOM//nmod//124 eller//KN//cc//132 en//DT|UTR|SIN|IND//det//132 särskilt//AB//advmod//131 debiterad//PC|PRF|UTR|SIN|IND|NOM//amod//132 A-skatt//NN|UTR|SIN|IND|NOM//conj//127 .//MAD//punct//119
3.2.1 Olika skattebetalningsformer;I//PP//case//1 princip//NN|UTR|SIN|IND|NOM//obl//12 ska//VB|PRS|AKT//aux//12 alla//DT|UTR/NEU|PLU|IND/DEF//det//4 förvärvsinkomster//NN|UTR|PLU|IND|NOM//nsubj//12 som//HP|-|-|-//case//6 berättigar//VB|PRS|AKT//nmod//4 till//PP//case//8 förmåner//NN|UTR|PLU|IND|NOM//nmod//6 i//PP//case//10 socialförsäkringarna//NN|UTR|PLU|DEF|NOM//nmod//8 vara//VB|INF|AKT//cop//12 föremål//NN|NEU|SIN|IND|NOM//ROOT//12 för//PP//case//14 socialavgifter//NN|UTR|PLU|IND|NOM//nmod//12 ,//MID//punct//16 arbetsgivaravgift//NN|UTR|SIN|IND|NOM//conj//14 eller//KN//cc//18 egenavgift//NN|UTR|SIN|IND|NOM//conj//14 .//MAD//punct//12
3.2.1 Olika skattebetalningsformer;För//PP//case//21 inkomster//NN|UTR|PLU|IND|NOM//nmod//12 som//HP|-|-|-//nsubj//25 inte//AB//advmod//25 är//VB|PRS|AKT//cop//25 förmånsgrundande//NN|NEU|SIN|IND|NOM//acl:relcl//21 utgår//VB|PRS|AKT//advcl//12 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//28 löneskatt//NN|UTR|SIN|IND|NOM//obj//26 .//MAD//punct//12
3.2.1 Olika skattebetalningsformer;Det//DT|NEU|SIN|DEF//det//32 viktigaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//32 tillämpningsområdet//NN|NEU|SIN|DEF|NOM//nsubj//38 för//PP//case//36 den//DT|UTR|SIN|DEF//det//36 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//36 löneskatten//NN|UTR|SIN|DEF|NOM//nmod//32 är//VB|PRS|AKT//cop//38 inkomster//NN|UTR|PLU|IND|NOM//parataxis//12 som//HP|-|-|-//nsubj//40 hänför//VB|PRS|AKT//acl:relcl//38 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//40 till//PP//case//44 passiv//JJ|POS|UTR|SIN|IND|NOM//amod//44 näringsverksamhet//NN|UTR|SIN|IND|NOM//obl//40 .//MAD//punct//12
3.2.1 Olika skattebetalningsformer;Underlaget//NN|NEU|SIN|DEF|NOM//nsubj//6 för//PP//case//2 socialavgifterna//NN|UTR|PLU|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//6 i//PP//case//5 princip//NN|UTR|SIN|IND|NOM//obl//6 detsamma//PN|NEU|SIN|DEF|SUB/OBJ//ROOT//6 som//HP|-|-|-//case//8 underlaget//NN|NEU|SIN|DEF|NOM//obl//6 för//PP//case//10 inkomstbeskattningen//NN|UTR|SIN|DEF|NOM//nmod//8 av//PP//case//12 förvärvsinkomster//NN|UTR|PLU|IND|NOM//nmod//10 .//MAD//punct//6
3.2.1 Olika skattebetalningsformer;Arbetsgivaravgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//15 beräknas//VB|PRS|SFO//parataxis//6 på//PP//mark//19 vad//HP|NEU|SIN|IND//obj//19 arbetsgivaren//NN|UTR|SIN|DEF|NOM//nsubj//19 betalar//VB|PRS|AKT//advcl//15 i//PP//case//21 löner//NN|UTR|PLU|IND|NOM//obl//19 och//KN//cc//23 förmåner//NN|UTR|PLU|IND|NOM//conj//21 till//PP//case//26 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//26 anställda//NN|UTR|PLU|IND|NOM//nmod//23 ,//MID//punct//15 vilket//HP|NEU|SIN|IND//nsubj//29 ligger//VB|PRS|AKT//acl:relcl//6 nära//AB|POS//mark//35 vad//HP|NEU|SIN|IND//obj//35 en//DT|UTR|SIN|IND//det//33 anställd//PC|PRF|UTR|SIN|IND|NOM//nsubj//35 ska//VB|PRS|AKT//aux//35 ta//VB|INF|AKT//advcl//29 upp//PL//compound:prt//35 som//KN//case//38 inkomst//NN|UTR|SIN|IND|NOM//obl//35 av//PP//case//40 tjänst//NN|UTR|SIN|IND|NOM//nmod//38 vid//PP//case//42 inkomstbeskattningen//NN|UTR|SIN|DEF|NOM//nmod//38 .//MAD//punct//6
3.2.1 Olika skattebetalningsformer;Egenavgiften//NN|UTR|SIN|DEF|NOM//nsubj:pass//45 tas//VB|PRS|SFO//parataxis//6 i//PP//case//47 princip//NN|UTR|SIN|IND|NOM//obl//45 ut//AB//advmod//45 på//PP//case//51 den//DT|UTR|SIN|DEF//det//51 inkomst//NN|UTR|SIN|IND|NOM//obl//45 som//HP|-|-|-//obj//56 en//DT|UTR|SIN|IND//det//55 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//55 näringsidkare//NN|UTR|SIN|IND|NOM//nsubj//56 redovisar//VB|PRS|AKT//acl:relcl//51 som//KN//mark//58 inkomst//NN|UTR|SIN|IND|NOM//obl//56 av//PP//case//61 aktiv//JJ|POS|UTR|SIN|IND|NOM//amod//61 näringsverksamhet//NN|UTR|SIN|IND|NOM//nmod//58 vid//PP//case//63 inkomstbeskattningen//NN|UTR|SIN|DEF|NOM//nmod//61 .//MAD//punct//45
3.2.1 Olika skattebetalningsformer;I//PP//case//67 detta//DT|NEU|SIN|DEF//det//67 fall//NN|NEU|SIN|IND|NOM//obl//68 behövs//VB|PRS|SFO//conj//45 ingen//DT|UTR|SIN|IND//det//70 F-skattsedel//NN|UTR|SIN|IND|NOM//nsubj:pass//68 ,//MID//punct//68 utan//KN//cc//74 här//AB//advmod//74 följer//VB|PRS|AKT//conj//45 direkt//AB|POS//advmod//74 av//PP//case//81 3//RG|NOM//nummod//78 kap.//NN|AN//nmod//81 3//RG|NOM//nummod//80 §//NN|AN//nmod//81 SAL//NN|UTR|SIN|IND|NOM//obl//74 att//SN//mark//85 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//85 är//VB|PRS|AKT//cop//85 egenavgift//NN|UTR|SIN|IND|NOM//ccomp//74 som//HP|-|-|-//nsubj:pass//87 betalas//VB|PRS|SFO//acl:relcl//85 .//MAD//punct//45
3.2.1 Olika skattebetalningsformer;För//PP//case//90 egenavgifterna//NN|UTR|PLU|DEF|NOM//obl//92 är//VB|PRS|AKT//cop//92 kopplingen//NN|UTR|SIN|DEF|NOM//conj//45 till//PP//case//94 IL//PM|NOM//nmod//92 tydlig//JJ|POS|UTR|SIN|IND|NOM//amod//92 .//MAD//punct//45
3.2.1 Olika skattebetalningsformer;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//98 stadgas//VB|PRS|SFO//conj//45 direkt//AB|POS//advmod//98 i//PP//case//102 3//RG|NOM//nummod//102 kap.//NN|AN//nmod//105 12//RG|NOM//nummod//104 §//NN|AN//nmod//105 SAL//NN|UTR|SIN|IND|NOM//obl//98 att//SN//mark//111 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//111 är//VB|PRS|AKT//cop//111 den//DT|UTR|SIN|DEF//det//111 skattskyldiges//JJ|POS|MAS|SIN|DEF|GEN//amod//111 taxering//NN|UTR|SIN|IND|NOM//nmod//6 till//PP//case//113 inkomstskatt//NN|UTR|SIN|IND|NOM//nmod//111 som//HP|-|-|-//nsubj//115 utgör//VB|PRS|AKT//acl:relcl//113 avgiftsunderlaget//NN|NEU|SIN|DEF|NOM//obj//115 .//MAD//punct//6
3.2.1 Olika skattebetalningsformer;3.4//RG|NOM//nmod//122 Det//DT|NEU|SIN|DEF//det//121 civilrättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//121 arbetstagarbegreppet//NN|NEU|SIN|DEF|NOM//nmod//122 3.4.1//RG|NOM//appos//6 Arbetsavtal//NN|NEU|PLU|IND|NOM//flat:name//122
3.2.1 Olika skattebetalningsformer;Ett//DT|NEU|SIN|IND//det//1 arbete//NN|NEU|SIN|IND|NOM//nsubj:pass//3 kan//VB|PRS|AKT//aux//3 utföras//VB|INF|SFO//ROOT//3 under//PP//case//6 skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 former//NN|UTR|PLU|IND|NOM//obl//3 ,//MID//punct//8 förhållanden//NN|NEU|PLU|IND|NOM//conj//6 och//KN//cc//10 villkor//NN|NEU|PLU|IND|NOM//conj//8 .//MAD//punct//3
3.2.1 Olika skattebetalningsformer;Arbetsavtalet//NN|NEU|SIN|DEF|NOM//nsubj//13 utgör//VB|PRS|AKT//parataxis//3 en//DT|UTR|SIN|IND//det//16 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//16 beteckning//NN|UTR|SIN|IND|NOM//obj//13 för//PP//case//21 en//DT|UTR|SIN|IND//det//19 rad//NN|UTR|SIN|IND|NOM//nmod//21 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 avtal//NN|NEU|PLU|IND|NOM//obl//13 som//HP|-|-|-//nsubj//23 reglerar//VB|PRS|AKT//acl:relcl//21 utbyte//NN|NEU|SIN|IND|NOM//obj//23 av//PP//case//26 arbete//NN|NEU|SIN|IND|NOM//nmod//24 mot//PP//case//28 ersättning//NN|UTR|SIN|IND|NOM//obl//23 .//MAD//punct//3
3.2.1 Olika skattebetalningsformer;"Arbetsavtalet//NN|NEU|SIN|DEF|NOM//nsubj//31 brukar//VB|PRS|AKT//parataxis//3 delas//VB|INF|SFO//xcomp//31 in//PL//compound:prt//32 i//PP//case//36 två//RG|NOM//nummod//36 huvudgrupper//NN|UTR|PLU|IND|NOM//obl//32 av//PP//case//38 avtalstyper//NN|UTR|PLU|IND|NOM//nmod//36 ;//MID//punct//36"
3.2.1 Olika skattebetalningsformer;anställningsavtal//NN|NEU|SIN|IND|NOM//conj//36 och//KN//cc//42 uppdragsavtal//NN|NEU|PLU|IND|NOM//conj//40 .//MAD//punct//3
3.2.1 Olika skattebetalningsformer;Anställningsavtalet//NN|NEU|SIN|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 den//DT|UTR|SIN|DEF//det//4 dominerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 formen//NN|UTR|SIN|DEF|NOM//ROOT//4 och//KN//cc//6 gäller//VB|PRS|AKT//conj//4 avtal//NN|NEU|PLU|IND|NOM//obj//6 om//PP//case//9 arbete//NN|NEU|SIN|IND|NOM//nmod//7 som//HP|-|-|-//nsubj//11 sluts//VB|PRS|SFO//acl:relcl//9 mellan//PP//case//14 en//DT|UTR|SIN|IND//det//14 arbetsgivare//NN|UTR|SIN|IND|NOM//obl//11 och//KN//cc//17 en//DT|UTR|SIN|IND//det//17 arbetstagare//NN|UTR|SIN|IND|NOM//conj//14 .//MAD//punct//19
3.2.1 Olika skattebetalningsformer;Uppdragsavtalet//NN|NEU|SIN|DEF|NOM//nsubj//23 å//PP//case//22 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 sidan//NN|UTR|SIN|DEF|NOM//nmod//19 gäller//VB|PRS|AKT//conj//4 för//PP//case//25 avtal//NN|NEU|PLU|IND|NOM//obl//23 om//PP//case//27 arbete//NN|NEU|SIN|IND|NOM//nmod//25 som//HP|-|-|-//nsubj//29 sluts//VB|PRS|SFO//acl:relcl//27 mellan//PP//case//31 uppdragsgivare//NN|UTR|PLU|IND|NOM//obl//29 och//KN//cc//33 uppdragstagare//NN|UTR|PLU|IND|NOM//conj//31 och//KN//cc//35 upprättas//VB|INF|SFO//conj//29 när//HA//mark//38 arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//38 utförs//VB|PRS|SFO//advcl//35 av//PP//case//42 en//DT|UTR|SIN|IND//det//42 självständig//JJ|POS|UTR|SIN|IND|NOM//amod//42 företagare//NN|UTR|SIN|IND|NOM//obl:agent//38 ,//MID//punct//44 ensam//JJ|POS|UTR|SIN|IND|NOM//amod//42 eller//KN//cc//48 med//PP//case//48 dennes//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//48 anställda//NN|UTR|PLU|IND|NOM//conj//42 .//MAD//punct//23
3.2.1 Olika skattebetalningsformer;För//PP//case//51 uppdragsavtal//NN|NEU|PLU|IND|NOM//obl//52 gäller//VB|PRS|AKT//conj//4 inte//AB//advmod//52 arbetsrätten//NN|UTR|SIN|DEF|NOM//obj//52 utan//PP//case//58 den//DT|UTR|SIN|DEF//det//58 övriga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//58 civilrätten//NN|UTR|SIN|DEF|NOM//conj//54 .//MAD//punct//4
3.2.1 Olika skattebetalningsformer;Arbetstagarbegreppet//NN|NEU|SIN|DEF|NOM//nsubj//1 spelar//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//4 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//4 roll//NN|UTR|SIN|IND|NOM//obj//1 inom//PP//case//6 arbetsrätten//NN|UTR|SIN|DEF|NOM//obl//1 ,//MID//punct//10 eftersom//SN//mark//10 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//10 anger//VB|PRS|AKT//advcl//1 de//DT|UTR/NEU|PLU|DEF//det//14 arbetsrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 lagarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//14 tillämpningsområde//NN|NEU|SIN|IND|NOM//obj//10 .//MID//punct//1
3.2.1 Olika skattebetalningsformer;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 finns//VB|PRS|SFO//parataxis//1 i//PP//case//21 den//DT|UTR|SIN|DEF//det//21 arbetsrättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 lagstiftningen//NN|UTR|SIN|DEF|NOM//obl//17 inte//AB//advmod//17 någon//DT|UTR|SIN|IND//det//24 definition//NN|UTR|SIN|IND|NOM//nsubj//17 av//PP//case//26 arbetstagarbegreppet//NN|NEU|SIN|DEF|NOM//nmod//24 utan//KN//case//28 begreppet//NN|NEU|SIN|DEF|NOM//obl//17 får//VB|PRS|AKT//conj//1 sitt//PS|NEU|SIN|DEF//nmod:poss//31 innehåll//NN|NEU|SIN|IND|NOM//obj//29 i//PP//case//33 rättspraxis//NN|UTR|SIN|IND|NOM//obl//29 .//MAD//punct//1
3.2.1 Olika skattebetalningsformer;Gränsdragningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//36 avgörs//VB|PRS|SFO//parataxis//1 efter//PP//case//40 rent//AB|POS//advmod//39 objektiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 grunder//NN|UTR|PLU|IND|NOM//obl//36 och//KN//cc//43 i//PP//case//43 princip//NN|UTR|SIN|IND|NOM//conj//40 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//mark//50 av//PP//fixed//44 vad//HP|NEU|SIN|IND//obj//50 parterna//NN|UTR|PLU|DEF|NOM//nsubj//50 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 har//VB|PRS|AKT//aux//50 avtalat//VB|SUP|AKT//advcl//36 .//MAD//punct//1
