Nytt regelverk för marksänd digital-TV ;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Radio-//NN|UTR|-|-|SMS//nmod//0 och//KN//cc//4 TV-lagsutredningen//NN|UTR|SIN|DEF|NOM//conj//2
3 Förslag till lag om ändring i lagen (2003:389) om elektronisk kommunikation / förordning om ändring i förordningen (1994:729) med instruktion för Radio- och TV-verket;13//RG|NOM//discourse//11 .//MID//punct//0
3 Förslag till lag om ändring i lagen (2003:389) om elektronisk kommunikation / förordning om ändring i förordningen (1994:729) med instruktion för Radio- och TV-verket;enligt//PP//case//3 förordningen//NN|UTR|SIN|DEF|NOM//obl//11 (//PAD//punct//5 1997:894//RG|NOM//appos//3 )//PAD//punct//5 om//PP//case//10 marksänd//JJ|POS|UTR|SIN|IND|NOM//amod//9 digital//JJ|POS|UTR|SIN|IND|NOM//nmod//10 TV//NN|UTR|SIN|IND|NOM//nmod//3 utlysa//VB|INF|AKT//ROOT//11 tillstånd//NN|NEU|SIN|IND|NOM//obj//11 att//IE//mark//14 sända//VB|INF|AKT//advcl//11 digital//JJ|POS|UTR|SIN|IND|NOM//nmod//16 TV//NN|UTR|SIN|IND|NOM//obj//14 och//KN//cc//18 lämna//VB|INF|AKT//conj//11 förslag//NN|NEU|SIN|IND|NOM//obj//18 till//PP//case//21 regeringen//NN|UTR|SIN|DEF|NOM//nmod//19 om//PP//case//23 fördelning//NN|UTR|SIN|IND|NOM//nmod//21 av//PP//case//25 sändningstillstånden//NN|UTR|SIN|DEF|NOM//nmod//23 .//MAD//punct//11
3 Förslag till lag om ändring i lagen (2003:389) om elektronisk kommunikation / förordning om ändring i förordningen (1994:729) med instruktion för Radio- och TV-verket;Denna//DT|UTR|SIN|DEF//det//1 förordning//NN|UTR|SIN|IND|NOM//nsubj//2 träder//VB|PRS|AKT//ROOT//2 i//PP//compound:prt//2 kraft//NN|UTR|SIN|IND|NOM//fixed//3 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//2
3 Förslag till lag om ändring i lagen (2003:389) om elektronisk kommunikation / förordning om ändring i förordningen (1994:729) med instruktion för Radio- och TV-verket;6//RG|NOM//nummod//1 Förslag//NN|NEU|PLU|IND|NOM//ROOT//1 till//PP//case//1

3 Förslag till lag om ändring i lagen (2003:389) om elektronisk kommunikation / förordning om upphävande av förordningen (1997:894) om marksänd digital TV;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//SN//mark//12 förordningen//NN|UTR|SIN|DEF|NOM//nsubj//12 (//PAD//punct//5 1997:894//RG|NOM//appos//3 )//PAD//punct//5 om//PP//case//10 marksänd//JJ|POS|UTR|SIN|IND|NOM//amod//9 digital//JJ|POS|UTR|SIN|IND|NOM//nmod//10 TV//NN|UTR|SIN|IND|NOM//nmod//3 skall//VB|PRS|AKT//aux//12 upphöra//VB|INF|AKT//ccomp//1 att//IE//mark//14 gälla//VB|INF|AKT//xcomp//12 vid//PP//case//16 utgången//NN|UTR|SIN|DEF|NOM//obl//14 av//PP//case//12


1.1 Bakgrund;Under//PP//case//2 våren//NN|UTR|SIN|DEF|NOM//nmod//2 1997//RG|NOM//obl//3 beslutade//VB|PRT|AKT//ROOT//3 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//3 att//SN//mark//10 digital//JJ|POS|UTR|SIN|IND|NOM//nmod//8 marksänd//PC|PRF|UTR|SIN|IND|NOM//amod//8 TV//NN|UTR|SIN|IND|NOM//nsubj:pass//10 skulle//VB|PRT|AKT//aux//10 införas//VB|INF|SFO//csubj//3 i//PP//case//12 Sverige//PM|NOM//obl//10 (//PAD//punct//12 prop//NN|UTR|SIN|IND|NOM//appos//12 .//MAD//punct//3
1.1 Bakgrund;1996/97:67//RG|NOM//nsubj//3 ,//MID//punct//16 bet//VB|PRT|AKT//conj//16 .//MAD//punct//16
1.1 Bakgrund;1996/97//RG|NOM//appos//3 ://MID//punct//20
1.1 Bakgrund;KU17//NN|AN//appos//20 ,//MID//punct//24 rskr//PM|NOM//conj//22 .//MID//punct//22
1.1 Bakgrund;1996/97:178//RG|NOM//conj//22 )//PAD//punct//22 .//MAD//punct//30
1.1 Bakgrund;Beslutet//NN|NEU|SIN|DEF|NOM//nsubj//30 innebar//VB|PRT|AKT//parataxis//3 att//SN//mark//34 införandet//NN|NEU|SIN|DEF|NOM//nsubj//34 skulle//VB|PRT|AKT//aux//34 ske//VB|INF|AKT//ccomp//30 i//PP//case//37 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//37 steg//NN|NEU|PLU|IND|NOM//obl//34 med//PP//case//39 möjlighet//NN|UTR|SIN|IND|NOM//obl//34 för//PP//case//41 staten//NN|UTR|SIN|DEF|NOM//nmod//39 att//IE//mark//44 successivt//AB|POS//advmod//44 ta//VB|INF|AKT//acl//39 ställning//NN|UTR|SIN|IND|NOM//obj//44 till//PP//mark//52 på//PP//case//49 vilket//HD|NEU|SIN|IND//det//49 sätt//NN|NEU|SIN|IND|NOM//obl//52 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj//52 skulle//VB|PRT|AKT//aux//52 fortsätta//VB|INF|AKT//advcl//44 .//MAD//punct//30
1.1 Bakgrund;Förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj//60 skulle//VB|PRT|AKT//aux//60 redan//AB//advmod//58 från//PP//case//58 början//NN|UTR|SIN|DEF|NOM//obl//60 vara//VB|INF|AKT//cop//60 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//parataxis//30 att//SN//case//64 de//PN|UTR/NEU|PLU|DEF|SUB//det//64 tillgodosåg//VB|PRS|AKT//amod//64 krav//NN|NEU|PLU|IND|NOM//obl//60 på//PP//case//66 yttrandefrihet//NN|UTR|SIN|IND|NOM//nmod//64 ,//MID//punct//68 tillgänglighet//NN|UTR|SIN|IND|NOM//conj//66 och//KN//cc//70 mångfald//NN|UTR|SIN|IND|NOM//conj//66 .//MAD//punct//3
1.1 Bakgrund;Inledningsvis//AB//advmod//6 skulle//VB|PRT|AKT//aux//6 sändningar//NN|UTR|PLU|IND|NOM//nsubj:pass//6 med//PP//case//5 digital//JJ|POS|UTR|SIN|IND|NOM//amod//5 teknik//NN|UTR|SIN|IND|NOM//nmod//2 påbörjas//VB|PRS|SFO//ROOT//6 på//PP//case//11 ett//DT|NEU|SIN|IND//det//10 begränsat//PC|PRF|NEU|SIN|IND|NOM//amod//10 antal//NN|NEU|SIN|IND|NOM//nmod//11 orter//NN|UTR|PLU|IND|NOM//obl//6 i//PP//case//13 landet//NN|NEU|SIN|DEF|NOM//nmod//11 .//MID//punct//6
1.1 Bakgrund;De//DT|UTR/NEU|PLU|DEF//det//17 digitala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 marksändningarna//NN|UTR|PLU|DEF|NOM//nsubj//18 startade//VB|PRT|AKT//conj//6 successivt//AB|POS//advmod//18 under//PP//case//22 år//NN|NEU|SIN|IND|NOM//nmod//22 1999//RG|NOM//obl//18 och//KN//cc//24 början//NN|UTR|SIN|DEF|NOM//conj//18 av//PP//case//26 2000//RG|NOM//nmod//24 .//MAD//punct//6
1.1 Bakgrund;Riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//29 beslutade//VB|PRT|AKT//parataxis//6 under//PP//case//31 hösten//NN|UTR|SIN|DEF|NOM//obl//29 2000//RG|NOM//nummod//31 att//SN//mark//38 digital//JJ|POS|UTR|SIN|IND|NOM//nsubj:pass//38 marksänd//PC|PRF|UTR|SIN|IND|NOM//amod//36 TV//NN|UTR|SIN|IND|NOM//nmod//34 får//VB|PRS|AKT//aux//38 byggas//VB|INF|SFO//advcl//29 ut//PL//compound:prt//38 till//PP//mark//42 att//IE//mark//42 omfatta//VB|INF|AKT//advcl//38 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 landet//NN|NEU|SIN|DEF|NOM//obj//42 (//PAD//punct//29 prop//NN|UTR|SIN|IND|NOM//appos//29 .//MID//punct//46
1.1 Bakgrund;2000/01:1//RG|NOM//appos//29 ,//MID//punct//50 utg.omr//NN|AN//conj//48 .//MAD//punct//48
1.1 Bakgrund;17//RG|NOM//conj//29 ,//MID//punct//54 bet//VB|PRT|AKT//conj//29 .//MID//punct//29
1.1 Bakgrund;2000/01//RG|NOM//nummod//58 ://MID//punct//56
1.1 Bakgrund;KrU1//PM|NOM//parataxis//29 ,//MID//punct//58 rskr//NN|NEU|SIN|IND|NOM//conj//58 .//MAD//punct//58
1.1 Bakgrund;2000/01:59//RG|NOM//conj//58 )//PAD//punct//58 .//MAD//punct//29
1.1 Bakgrund;För//PP//mark//2 att//IE//mark//2 följa//VB|INF|AKT//advcl//12 och//KN//cc//4 utvärdera//VB|INF|AKT//conj//2 de//DT|UTR/NEU|PLU|DEF//det//7 markbundna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//7 TV-sändningarna//NN|UTR|PLU|DEF|NOM//obj//4 under//PP//case//11 den//DT|UTR|SIN|DEF//det//11 första//RO|NOM//amod//11 etappen//NN|UTR|SIN|DEF|NOM//obl//4 tillsattes//VB|PRT|SFO//ROOT//12 en//DT|UTR|SIN|IND//det//15 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//15 kommitté//NN|UTR|SIN|IND|NOM//nsubj:pass//12 ,//MID//punct//17 DigitalTV-kommittén//PM|NOM//conj//12 (//PAD//punct//17 Ku//PM|NOM//appos//17 1997:06//RG|NOM//nummod//19 )//PAD//punct//19 .//MID//punct//12
1.1 Bakgrund;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//24 överlämnade//VB|PRT|AKT//parataxis//12 i//PP//case//26 november//NN|UTR|SIN|IND|NOM//obl//24 2001//RG|NOM//nummod//28 slutbetänkandet//NN|NEU|SIN|DEF|NOM//nmod//29 Digital//JJ|POS|UTR|SIN|IND|NOM//nmod//30 TV//NN|UTR|SIN|IND|NOM//obl//24 –//RG|NOM//punct//32 modernisering//NN|UTR|SIN|IND|NOM//obl//24 av//PP//case//34 marknätet//NN|NEU|SIN|DEF|NOM//nmod//32
1.1 Bakgrund;(//PAD//punct//1 SOU//PM|NOM//ROOT//1 2001:90//RG|NOM//obl//1 )//PAD//punct//1 .//MAD//punct//1
1.1 Bakgrund;Riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//1 fattade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 28//RG|NOM//nummod//4 maj//NN|UTR|SIN|IND|NOM//obj//1 2003//RG|NOM//nummod//4 beslut//NN|NEU|SIN|IND|NOM//obj//1 om//PP//mark//13 att//SN//mark//13 de//DT|UTR/NEU|PLU|DEF//det//11 analoga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 marksändningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//13 skall//VB|PRS|AKT//aux//13 läggas//VB|INF|SFO//advcl//1 ned//PL//compound:prt//13 etappvis//AB//advmod//13 för//PP//mark//20 att//IE//mark//20 vara//VB|INF|AKT//cop//20 helt//AB|POS//advmod//20 avvecklade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//13 senast//AB|SUV//case//24 den//DT|UTR|SIN|DEF//det//24 1//RO|NOM//nummod//24 februari//NN|UTR|SIN|IND|NOM//obl//20 2008//RG|NOM//nummod//24 (//PAD//punct//13 prop//NN|UTR|SIN|IND|NOM//appos//13 .//MID//punct//27
1.1 Bakgrund;2002/03:72//RG|NOM//obl//13 ,//MID//punct//31 bet//VB|PRT|AKT//conj//29 .//MAD//punct//29
1.1 Bakgrund;2002/03//RG|NOM//obl//1 ://MID//punct//33
1.1 Bakgrund;KU33//PM|NOM//appos//33 och//KN//cc//37 rskr//PM|NOM//conj//35 .//MAD//punct//35
1.1 Bakgrund;2002/03:196//RG|NOM//conj//33 )//PAD//punct//39 .//MAD//punct//1
1.1 Bakgrund;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//43 uppmanades//VB|PRT|SFO//parataxis//1 samtidigt//AB//mark//46 att//IE//mark//46 återkomma//VB|INF|AKT//advcl//43 till//PP//case//48 riksdagen//NN|UTR|SIN|DEF|NOM//obl//46 med//PP//case//50 förslag//NN|NEU|SIN|IND|NOM//obl//46 om//PP//case//53 bl.a.//AB|AN//advmod//53 tillståndsgivning//NN|UTR|SIN|IND|NOM//nmod//50 .//MAD//punct//43

1.2 Uppdraget;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 direktiv//NN|NEU|SIN|IND|NOM//nsubj:pass//2 fastställdes//VB|PRT|SFO//ROOT//2 ursprungligen//AB//advmod//2 genom//PP//case//5 beslut//NN|NEU|SIN|IND|NOM//obl//2 vid//PP//case//7 regeringssammanträde//NN|NEU|SIN|IND|NOM//obl//2 den//DT|UTR|SIN|DEF//det//10 8//RO|NOM//nummod//10 juni//NN|UTR|SIN|IND|NOM//obl//2 2000//RG|NOM//nummod//10 (//PAD//punct//10 Dir//NN|AN//appos//10 2000:43//RG|NOM//conj//10 ,//MID//punct//16 se//VB|IMP|AKT//parataxis//2 bilaga//NN|UTR|SIN|IND|NOM//obj//16 1//RG|NOM//nummod//16 )//PAD//punct//2 .//MAD//punct//2
1.2 Uppdraget;Därefter//AB//advmod//24 har//VB|PRS|AKT//aux//24 utredningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//24 meddelats//VB|SUP|SFO//parataxis//2 tilläggsdirektiv//VB|PRS|AKT//xcomp//24 den//DT|UTR|SIN|DEF//det//28 1//RO|NOM//nummod//28 februari//NN|UTR|SIN|IND|NOM//obl//25
1.2 Uppdraget;2001//RG|NOM//discourse//4 (//PAD//punct//0 Dir//NN|AN//appos//0 .//MAD//punct//2
1.2 Uppdraget;2001:11//RG|NOM//discourse//54 )//PAD//punct//4 ,//MID//punct//9 den//DT|UTR|SIN|DEF//det//9 13//RG|NOM//nummod//9 mars//NN|UTR|SIN|IND|NOM//conj//4 2003//RG|NOM//nummod//9 (//PAD//punct//9 Dir//NN|AN//nummod//9 .//MAD//punct//9
1.2 Uppdraget;2003:30//RG|NOM//punct//4 ,//MID//punct//16 se//VB|IMP|AKT//parataxis//4 bilaga//NN|UTR|SIN|IND|NOM//obj//16 2//RG|NOM//nummod//16 )//PAD//punct//16 ,//MID//punct//4 den//DT|UTR|SIN|DEF//det//22 21//RG|NOM//nummod//23 augusti//NN|UTR|SIN|IND|NOM//nmod//24 2003//RG|NOM//nmod//4 (//PAD//punct//24 Dir//NN|AN//appos//24 .//MID//punct//28
1.2 Uppdraget;2003:100//RG|NOM//nmod//24 )//PAD//punct//24 och//KN//cc//33 den//DT|UTR|SIN|DEF//det//33 9//RO|NOM//nummod//33 oktober//NN|UTR|SIN|IND|NOM//nmod//38 2003//RG|NOM//nummod//33 (//PAD//punct//33 Dir//NN|AN//appos//33 .//MID//punct//33
1.2 Uppdraget;2003:121//RG|NOM//obl//4 )//PAD//punct//38 .//MAD//punct//4
1.2 Uppdraget;De//DT|UTR/NEU|PLU|DEF//det//42 delar//NN|UTR|PLU|IND|NOM//nsubj//54 av//PP//case//45 vårt//PS|NEU|SIN|DEF//nmod:poss//45 uppdrag//NN|NEU|SIN|IND|NOM//nmod//42 som//HP|-|-|-//nsubj:pass//47 behandlas//VB|PRS|SFO//acl:relcl//45 i//PP//case//50 detta//DT|NEU|SIN|DEF//det//50 delbetänkande//NN|NEU|SIN|IND|NOM//obl//47 är//VB|PRS|AKT//cop//54 dels//KN//advmod//54 de//DT|UTR/NEU|PLU|DEF//det//54 frågor//NN|UTR|PLU|IND|NOM//obl//106 som//HP|-|-|-//nsubj//56 rör//VB|PRS|AKT//acl:relcl//54 Digital-TV-kommitténs//PM|SMS//nmod:poss//58 förslag//NN|NEU|PLU|IND|NOM//obj//56 (//PAD//punct//58 Dir//NN|AN//appos//58 .//MAD//punct//54
1.2 Uppdraget;2003:30//RG|NOM//nmod//54 )//PAD//punct//62 ,//MID//punct//54 dels//KN//advmod//67 de//DT|UTR/NEU|PLU|DEF//det//67 delar//NN|UTR|PLU|IND|NOM//appos//54 av//PP//case//69 uppdraget//NN|NEU|SIN|DEF|NOM//nmod//67 enligt//PP//case//71 Dir//PM|NOM//nmod//67 .//MAD//punct//54
1.2 Uppdraget;2000:43//RG|NOM//nmod//54 som//HP|-|-|-//nsubj//75 rör//VB|PRS|AKT//acl:relcl//73 jurisdiktion//NN|UTR|SIN|IND|NOM//obj//75 över//PP//case//78 TV-sändningar//NN|UTR|PLU|IND|NOM//obl//75 i//PP//case//80 marknätet//NN|NEU|SIN|DEF|NOM//nmod//78 och//KN//cc//82 åtgärder//NN|UTR|PLU|IND|NOM//conj//80 vid//PP//case//85 programföretags//NN|UTR|SIN|IND|GEN//nmod//85 underlåtelse//NN|UTR|SIN|IND|NOM//obl//75 att//IE//mark//87 lämna//VB|INF|AKT//acl//85 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//89 uppgifter//NN|UTR|PLU|IND|NOM//obj//87 till//PP//case//91 Granskningsnämnden//NN|UTR|SIN|DEF|NOM//obl//87 för//PP//case//93 radio//NN|UTR|SIN|IND|NOM//nmod//91 och//KN//cc//95 TV//NN|UTR|SIN|IND|NOM//conj//93 .//MID//punct//54
1.2 Uppdraget;Mer//AB|KOM//advmod//98 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//99 frågor//NN|UTR|PLU|IND|NOM//nmod//54 om//PP//case//101 terminologin//NN|UTR|SIN|DEF|NOM//nmod//99 och//KN//cc//103 systematiken//NN|UTR|SIN|DEF|NOM//conj//101 i//PP//case//105 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//103 återkommer//VB|PRS|AKT//ROOT//106 vi//PN|UTR|PLU|DEF|SUB//nsubj//106 till//PP//compound:prt//106 i//PP//case//111 vårt//PS|NEU|SIN|DEF//nmod:poss//111 slutbetänkande//NN|NEU|SIN|IND|NOM//obl//106 .//MAD//punct//106

1.2.1 Digital-TV-kommitténs förslag;Digital-TV-kommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslog//VB|PRT|AKT//ROOT//1 i//PP//case//4 sitt//PS|NEU|SIN|DEF//nmod:poss//4 slutbetänkande//NN|NEU|SIN|IND|NOM//obl//1 att//SN//mark//13 en//DT|UTR|SIN|IND//det//8 extern//JJ|POS|UTR|SIN|IND|NOM//amod//8 aktör//NN|UTR|SIN|IND|NOM//nsubj//13 ,//MID//punct//11 ett//DT|NEU|SIN|IND//det//11 operatörsföretag//NN|NEU|SIN|IND|NOM//conj//8 ,//MID//punct//8 får//VB|PRS|AKT//ccomp//1 tillstånd//NN|NEU|SIN|IND|NOM//obj//13 att//IE//mark//16 förfoga//VB|INF|AKT//acl//14 över//PP//case//19 en//DT|UTR|SIN|IND//det//19 del//NN|UTR|SIN|IND|NOM//obl//16 av//PP//case//23 den//DT|UTR|SIN|DEF//det//23 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 överföringskapaciteten//NN|UTR|SIN|DEF|NOM//nmod//19 i//PP//case//27 det//DT|NEU|SIN|DEF//det//27 digitala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//27 marknätet//NN|NEU|SIN|DEF|NOM//nmod//23 .//MAD//punct//1
1.2.1 Digital-TV-kommitténs förslag;Operatörsföretagets//NN|NEU|SIN|DEF|GEN//nmod:poss//30 utbud//NN|NEU|SIN|IND|NOM//nsubj//34 bör//VB|PRS|AKT//aux//34 i//PP//case//33 princip//NN|UTR|SIN|IND|NOM//obl//34 uppfylla//VB|INF|AKT//parataxis//1 samma//DT|UTR/NEU|SIN/PLU|IND//det//36 riktlinjer//NN|UTR|PLU|IND|NOM//obj//34 och//KN//cc//38 villkor//NN|NEU|PLU|IND|NOM//conj//36 som//HP|-|-|-//nsubj//42 i//PP//advmod//42 dag//NN|UTR|SIN|IND|NOM//fixed//40 gäller//VB|PRS|AKT//acl:relcl//38 för//PP//case//44 urval//NN|NEU|SIN|IND|NOM//obl//42 och//KN//cc//46 tillståndsgivning//NN|UTR|SIN|IND|NOM//conj//44 .//MAD//punct//1
1.2.1 Digital-TV-kommitténs förslag;De//DT|UTR/NEU|PLU|DEF//det//49 programföretag//NN|NEU|PLU|IND|NOM//nsubj:pass//57 som//HP|-|-|-//nsubj:pass//51 föreslås//VB|PRS|SFO//acl:relcl//49 ingå//VB|INF|AKT//xcomp//51 i//PP//case//55 detta//DT|NEU|SIN|DEF//det//55 utbud//NN|NEU|SIN|IND|NOM//obl//52 bör//VB|PRS|AKT//aux//57 godkännas//VB|INF|SFO//parataxis//1 och//KN//cc//59 få//VB|INF|AKT//conj//57 sändningstillstånd//NN|NEU|SIN|IND|NOM//obj//59 av//PP//case//63 en//DT|UTR|SIN|IND//det//63 myndighet//NN|UTR|SIN|IND|NOM//nmod//60 .//MAD//punct//1
1.2.1 Digital-TV-kommitténs förslag;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//66 föreslog//VB|PRT|AKT//conj//1 vidare//AB|KOM//advmod//66 att//SN//mark//76 tillståndsgivning//NN|UTR|SIN|IND|NOM//nsubj:pass//76 för//PP//case//71 marksänd//PC|PRF|UTR|SIN|IND|NOM//amod//72 digital-TV//NN|UTR|SIN|IND|NOM//nmod//69 i//PP//case//74 framtiden//NN|UTR|SIN|DEF|NOM//nmod//72 bör//VB|PRS|AKT//aux//76 delegeras//VB|INF|SFO//advcl//66 till//PP//case//79 en//DT|UTR|SIN|IND//det//79 myndighet//NN|UTR|SIN|IND|NOM//obl//76 .//MAD//punct//66
1.2.1 Digital-TV-kommitténs förslag;Myndigheten//NN|UTR|SIN|DEF|NOM//nsubj//84 bör//VB|PRS|AKT//aux//84 kunna//VB|INF|AKT//aux//84 ge//VB|INF|AKT//conj//1 tillstånd//NN|NEU|SIN|IND|NOM//obj//84 både//KN//cc//89 till//PP//case//89 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//89 programföretag//NN|NEU|PLU|IND|NOM//obl//84 och//KN//cc//92 till//PP//case//92 operatörer//NN|UTR|PLU|IND|NOM//conj//89 som//HP|-|-|-//nsubj//95 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//95 sätter//VB|PRS|AKT//acl:relcl//92 ihop//PL//compound:prt//95 ett//DT|NEU|SIN|IND//det//98 programutbud//NN|NEU|SIN|IND|NOM//obj//95 .//MAD//punct//84
1.2.1 Digital-TV-kommitténs förslag;I//PP//case//101 valet//NN|NEU|SIN|DEF|NOM//obl//106 av//PP//case//103 myndighet//NN|UTR|SIN|IND|NOM//nmod//101 bör//VB|PRS|AKT//aux//106 hänsyn//NN|UTR|SIN|IND|NOM//nsubj:pass//106 tas//VB|INF|SFO//conj//84 till//PP//case//108 konvergensen//NN|UTR|SIN|DEF|NOM//obl//106 mellan//PP//case//110 IT-//NN|AN//nmod//108 ,//MID//punct//112 telekommunikations-//NN|UTR|-|-|SMS//conj//110 och//KN//cc//114 mediesektorerna//NN|UTR|PLU|DEF|NOM//conj//110 .//MAD//punct//110
1.2.1 Digital-TV-kommitténs förslag;En//DT|UTR|SIN|IND//det//117 myndighetsmodell//NN|UTR|SIN|IND|NOM//nsubj//118 kräver//VB|PRS|AKT//conj//84 tydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//120 regler//NN|UTR|PLU|IND|NOM//obj//118 och//KN//cc//122 kriterier//NN|NEU|PLU|IND|NOM//conj//120 för//PP//case//124 tillståndsgivningen//NN|UTR|SIN|DEF|NOM//nmod//122 ,//MID//punct//118 bl.a.//AB|AN//advmod//118 för//PP//mark//130 att//IE//mark//130 kunna//VB|INF|AKT//aux//130 garantera//VB|INF|AKT//advcl//118 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//133 möjliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//133 yttrandefrihet//NN|UTR|SIN|IND|NOM//obj//130 och//KN//cc//135 mångfald//NN|UTR|SIN|IND|NOM//conj//133 .//MID//punct//84
1.2.1 Digital-TV-kommitténs förslag;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//138 föreslår//VB|PRS|AKT//conj//84 också//AB//advmod//138 att//SN//mark//150 de//DT|UTR/NEU|PLU|DEF//det//143 digitala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//143 sändningstillstånden//NN|NEU|PLU|IND|NOM//nsubj//150 i//PP//case//145 marknätet//NN|NEU|SIN|DEF|NOM//nmod//143 under//PP//case//148 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//148 period//NN|UTR|SIN|IND|NOM//nmod//145 skall//VB|PRS|AKT//aux//150 gälla//VB|INF|AKT//ccomp//138 i//PP//case//153 tio//RG|NOM//nummod//153 år//NN|NEU|PLU|IND|NOM//obl//150 .//MAD//punct//138
1.2.1 Digital-TV-kommitténs förslag;Vid//PP//case//156 remissbehandlingen//NN|UTR|SIN|DEF|NOM//obl//161 har//VB|PRS|AKT//aux//161 från//PP//case//160 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//160 håll//NN|NEU|PLU|IND|NOM//obl//161 framhållits//VB|SUP|SFO//advcl//138 att//SN//mark//169 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//164 frågor//NN|UTR|PLU|IND|NOM//nsubj//169 med//PP//case//166 anknytning//NN|UTR|SIN|IND|NOM//nmod//164 till//PP//case//168 förslagen//NN|NEU|PLU|DEF|NOM//nmod//166 kräver//VB|PRS|AKT//advcl//161 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//171 överväganden//NN|NEU|PLU|IND|NOM//obj//169 .//MAD//punct//84
1.2.1 Digital-TV-kommitténs förslag;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 fått//VB|SUP|AKT//ROOT//2 i//PP//compound:prt//2 uppdrag//NN|NEU|SIN|IND|NOM//fixed//3 att//IE//mark//6 överväga//VB|INF|AKT//xcomp//2 Digital-TV-kommitténs//NN|NEU|PLU|DEF|GEN//nmod:poss//8 förslag//NN|NEU|PLU|IND|NOM//obj//6 i//PP//case//11 nämnda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 delar//NN|UTR|PLU|IND|NOM//nmod//8 och//KN//cc//16 vilka//HD|UTR/NEU|PLU|IND//det//14 författningsändringar//NN|UTR|PLU|IND|NOM//dislocated//16 som//HP|-|-|-//nsubj:pass//16 behövs//VB|PRS|SFO//conj//2 för//PP//mark//19 att//IE//mark//19 genomföra//VB|INF|AKT//advcl//16 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//19 .//MAD//punct//2
1.2.1 Digital-TV-kommitténs förslag;När//HA//case//25 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//22 gäller//VB|PRS|AKT//fixed//22 förslaget//NN|NEU|SIN|DEF|NOM//obl//31 om//PP//case//28 ett//DT|NEU|SIN|IND//det//28 operatörsföretag//NN|NEU|SIN|IND|NOM//nmod//25 skall//VB|PRS|AKT//aux//31 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//31 studera//VB|INF|AKT//parataxis//2 erfarenheterna//NN|UTR|PLU|DEF|NOM//obj//31 i//PP//case//34 Sverige//PM|NOM//obl//31 och//KN//cc//37 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 länder//NN|NEU|PLU|IND|NOM//conj//34 .//MAD//punct//2
