– dokumentation från ett seminarium;Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 skrift//NN|UTR|SIN|IND|NOM//nmod//3 nr//NN|AN//nmod//3 12//RG|NOM//ROOT//3
Det oklara nationsbegreppet;Jag//PN|UTR|SIN|DEF|SUB//nsubj//139 skulle//VB|PRT|AKT//aux//139 kunna//VB|INF|AKT//aux//139 fortsätta//VB|INF|AKT//advcl//7 ,//MID//punct//144 men//KN//cc//144 poängen//NN|UTR|SIN|DEF|NOM//nsubj//144 är//VB|PRS|AKT//cop//144 given//PC|PRF|UTR|SIN|IND|NOM//conj//7 ://MID//punct//144
Det oklara nationsbegreppet;Det//PN|NEU|SIN|DEF|SUB/OBJ//parataxis//144 vi//PN|UTR|PLU|DEF|SUB//nsubj//149 får//VB|PRS|AKT//aux//149 veta//VB|INF|AKT//acl:relcl//146 om//PP//case//151 innebörden//NN|UTR|SIN|DEF|NOM//obl//149 i//PP//case//155 de//DT|UTR/NEU|PLU|DEF//det//155 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//155 identiteter//NN|UTR|PLU|IND|NOM//nmod//151 som//HP|-|-|-//nsubj:pass//157 antas//VB|PRS|SFO//acl:relcl//155 bära//VB|INF|AKT//advcl//165 upp//PL//compound:prt//158 demokratin//NN|UTR|SIN|DEF|NOM//obj//158 är//VB|PRS|AKT//cop//165 inte//AB//advmod//165 mycket//AB|POS//advmod//164 mera//AB|KOM//advmod//165 avancerat//PC|PRF|NEU|SIN|IND|NOM//xcomp//157 än//KN//mark//167 det//PN|NEU|SIN|DEF|SUB/OBJ//acl//165 man//PN|UTR|SIN|IND|SUB//nsubj//169 diskuterat//VB|SUP|AKT//acl:relcl//167 som//KN//mark//171 innebörden//NN|UTR|SIN|DEF|NOM//xcomp//169 i//PP//case//176 en//DT|UTR|SIN|IND//det//176 möjlig//JJ|POS|UTR|SIN|IND|NOM//amod//176 europeisk//JJ|POS|UTR|SIN|IND|NOM//amod//176 identitet//NN|UTR|SIN|IND|NOM//nmod//171 .//MAD//punct//7
Det oklara nationsbegreppet;Vad//HP|NEU|SIN|IND//obj//3 skall//VB|PRS|AKT//aux//3 man//PN|UTR|SIN|IND|SUB//nsubj//3 dra//VB|INF|AKT//ROOT//3 för//PP//case//5 slutsats//NN|UTR|SIN|IND|NOM//obl//3 av//PP//case//7 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//5 ?//MID//punct//3
Det oklara nationsbegreppet;Jag//PN|UTR|SIN|DEF|SUB//nsubj//11 kan//VB|PRS|AKT//aux//11 se//VB|INF|AKT//conj//3 tre//RG|NOM//nummod//14 alternativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 tolkningar//NN|UTR|PLU|IND|NOM//obj//11 .//MAD//punct//3
Det oklara nationsbegreppet;Vad//HP|NEU|SIN|IND//obj//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//3 dock//AB//advmod//3 vet//VB|PRS|AKT//csubj//4 är//VB|PRS|AKT//ROOT//4 att//SN//mark//7 saken//NN|UTR|SIN|DEF|NOM//nsubj//7 varierar//VB|PRS|AKT//ccomp//4 från//PP//case//9 land//NN|NEU|SIN|IND|NOM//obl//7 till//PP//case//11 land//NN|NEU|SIN|IND|NOM//obl//7 .//MAD//punct//4
Det oklara nationsbegreppet;Figur//NN|UTR|SIN|IND|NOM//nsubj//15 1//RG|NOM//nummod//13 visar//VB|PRS|AKT//parataxis//4 att//SN//mark//24 upplevelsen//NN|UTR|SIN|DEF|NOM//nsubj//24 av//PP//case//20 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//20 identitet//NN|UTR|SIN|IND|NOM//nmod//17 visserligen//AB//advmod//24 är//VB|PRS|AKT//cop//24 mera//AB|KOM//advmod//24 spridd//JJ|POS|UTR|SIN|IND|NOM//ccomp//15 än//KN//case//26 upplevelsen//NN|UTR|SIN|DEF|NOM//obl//24 av//PP//case//29 europeisk//JJ|POS|UTR|SIN|IND|NOM//amod//29 identitet//NN|UTR|SIN|IND|NOM//nmod//26 i//PP//case//34 alla//DT|UTR/NEU|PLU|IND/DEF//det//34 de//DT|UTR/NEU|PLU|DEF//det//34 femton//RG|NOM//nummod//34 EUländerna//NN|UTR|PLU|DEF|NOM//nmod//26 men//KN//cc//41 att//SN//mark//41 skillnaden//NN|UTR|SIN|DEF|NOM//nsubj//41 mellan//PP//case//39 länderna//NN|NEU|PLU|DEF|NOM//nmod//37 är//VB|PRS|AKT//cop//41 dramatisk//JJ|POS|UTR|SIN|IND|NOM//conj//24 .//MAD//punct//15
Det oklara nationsbegreppet;Man//PN|UTR|SIN|IND|SUB//nsubj//47 bör//VB|PRS|AKT//aux//47 uppenbarligen//AB//advmod//47 vara//VB|INF|AKT//cop//47 försiktig//JJ|POS|UTR|SIN|IND|NOM//conj//15 med//PP//mark//50 att//IE//mark//50 generalisera//VB|INF|AKT//advcl//47 på//PP//case//53 det//DT|NEU|SIN|DEF//det//53 sätt//NN|NEU|SIN|IND|NOM//obl//50 som//HP|-|-|-//obl//56 man//PN|UTR|SIN|IND|SUB//nsubj//56 brukat//VB|SUP|AKT//acl:relcl//53 göra//VB|INF|AKT//xcomp//56 i//PP//case//59 debatten//NN|UTR|SIN|DEF|NOM//obl//57 om//PP//case//61 förhållandet//NN|NEU|SIN|DEF|NOM//obl//57 mellan//PP//case//63 identitet//NN|UTR|SIN|IND|NOM//nmod//61 och//KN//cc//65 demokrati//NN|UTR|SIN|IND|NOM//conj//63 .//MAD//punct//15

Den nationella identitetens konstruktion;Tesen//NN|UTR|SIN|DEF|NOM//nsubj:pass//9 om//PP//case//2 omöjligheten//NN|UTR|SIN|DEF|NOM//nmod//0 av//PP//case//4 demokrati//NN|UTR|SIN|IND|NOM//nmod//2 på//PP//case//7 europeisk//JJ|POS|UTR|SIN|IND|NOM//amod//7 nivå//NN|UTR|SIN|IND|NOM//nmod//4 får//VB|PRS|AKT//aux//9 anses//VB|INF|SFO//ROOT//9 innebära//VB|INF|AKT//xcomp//9 inte//AB//advmod//10 bara//AB//advmod//10 att//SN//mark//18 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//15 identitet//NN|UTR|SIN|IND|NOM//nsubj//18 är//VB|PRS|AKT//cop//18 en//DT|UTR|SIN|IND//det//18 förutsättning//NN|UTR|SIN|IND|NOM//ccomp//10 för//PP//case//20 demokrati//NN|UTR|SIN|IND|NOM//nmod//18 utan//PP//mark//24 att//SN//mark//24 det//DT|NEU|SIN|DEF//det//24 enda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//18 som//HP|-|-|-//nsubj//26 gäller//VB|PRS|AKT//acl:relcl//24 är//VB|PRS|AKT//cop//31 de//DT|UTR/NEU|PLU|DEF//det//31 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 identiteterna//NN|UTR|PLU|DEF|NOM//nsubj//18 .//MAD//punct//9
Den nationella identitetens konstruktion;Den//DT|UTR|SIN|DEF//det//36 europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 strukturen//NN|UTR|SIN|DEF|NOM//nsubj:pass//38 måste//VB|PRS|AKT//aux//38 inrättas//VB|INF|SFO//parataxis//9 med//PP//case//40 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//38 ,//MID//punct//44 inte//AB//advmod//44 mot//PP//case//44 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//38 .//MAD//punct//38
Den nationella identitetens konstruktion;Identitetsmässiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 förutsättningar//NN|UTR|PLU|IND|NOM//nsubj//54 för//PP//case//49 demokrati//NN|UTR|SIN|IND|NOM//nmod//47 på//PP//case//52 europeisk//JJ|POS|UTR|SIN|IND|NOM//amod//52 nivå//NN|UTR|SIN|IND|NOM//nmod//49 är//VB|PRS|AKT//cop//54 ouppnåeliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//38 även//AB//advmod//54 på//PP//fixed//55 sikt//NN|UTR|SIN|IND|NOM//fixed//56 .//MAD//punct//9
Den nationella identitetens konstruktion;Därmed//AB//advmod//1 aktualiseras//VB|PRS|SFO//ROOT//1 frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 om//PP//case//6 identiteters//NN|UTR|PLU|IND|GEN//nmod:poss//6 ”//PAD//punct//6 konstruktion//NN|UTR|SIN|IND|NOM//nmod//2 ”//RG|NOM//punct//1 ,//MID//punct//11 som//HP|-|-|-//mark//11 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//11 heter//VB|PRS|AKT//advcl//1 i//PP//case//15 aktuell//JJ|POS|UTR|SIN|IND|NOM//amod//15 akademisk//JJ|POS|UTR|SIN|IND|NOM//amod//15 jargong//NN|UTR|SIN|IND|NOM//obl//11 .//MAD//punct//1
Den nationella identitetens konstruktion;Här//AB//advmod//18 påminns//VB|PRS|SFO//parataxis//1 vi//PN|UTR|PLU|DEF|SUB//nsubj//18 om//PP//compound:prt//18 motsättningen//NN|UTR|SIN|DEF|NOM//nsubj//18 mellan//PP//case//26 det//DT|NEU|SIN|DEF//det//26 ”//PAD//punct//25 politiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 ”//PM|NOM//obl//18 och//KN//cc//32 det//DT|NEU|SIN|DEF//det//32 ”//PAD//punct//32 etniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 ”//PAD//punct//32 nationsbegreppet//NN|NEU|SIN|DEF|NOM//conj//26 eller//KN//cc//38 ,//MID//punct//38 som//HA//obj//38 man//PN|UTR|SIN|IND|SUB//nsubj//38 också//AB//advmod//38 säger//VB|PRS|AKT//conj//18 i//PP//case//40 litteraturen//NN|UTR|SIN|DEF|NOM//obl//38 om//PP//case//42 nationalism//NN|UTR|SIN|IND|NOM//obl//38 ,//MID//punct//46 mellan//PP//case//46 ”//PAD//punct//46 modernism//NN|UTR|SIN|IND|NOM//conj//42 ”//PAD//punct//46 och//KN//cc//50 ”//PAD//punct//50 perennialism//NN|UTR|SIN|IND|NOM//conj//42 ”//PAD//punct//18 .//MAD//punct//18
Den nationella identitetens konstruktion;Enligt//PP//case//54 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//18 som//HP|-|-|-//nsubj:pass//56 kallas//VB|PRS|SFO//acl:relcl//54 modernister//NN|UTR|PLU|IND|NOM//obj//56 är//VB|PRS|AKT//cop//61 nationerna//NN|UTR|PLU|DEF|NOM//nsubj//61 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 konstruktioner//NN|UTR|PLU|IND|NOM//nsubj//18 från//PP//case//65 en//DT|UTR|SIN|IND//det//65 relativt//AB|POS//advmod//65 sen//JJ|POS|UTR|SIN|IND|NOM//amod//66 period//NN|UTR|SIN|IND|NOM//nmod//61 .//MAD//punct//18
Den nationella identitetens konstruktion;Enligt//PP//case//69 perennialisterna//NN|UTR|PLU|DEF|NOM//obl//70 har//VB|PRS|AKT//aux//96 nationerna//NN|UTR|PLU|DEF|NOM//nsubj//70 etniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//73 rötter//NN|UTR|PLU|IND|NOM//obj//70 som//HP|-|-|-//nsubj//75 går//VB|PRS|AKT//acl:relcl//73 långt//AB|POS//advmod//77 tillbaka//AB//advmod//75 i//PP//case//79 historien//NN|UTR|SIN|DEF|NOM//obl//75 ,//MID//punct//84 för//PP//mark//84 att//IE//mark//84 inte//AB//advmod//84 säga//VB|INF|AKT//advcl//75 förhistorien//NN|UTR|SIN|DEF|NOM//obj//84 .//MID//punct//70
Den nationella identitetens konstruktion;Ernest//PM|NOM//nmod//89 Gellners//PM|GEN//nmod:poss//89 Nations//PM|NOM//nmod:poss//90 and//PM|NOM//conj//70 Nationalism//PM|NOM//obj//70  //_SP////91 (//PAD//punct//91 1983//RG|NOM//conj//91 )//PAD//punct//70 kontra//PP//parataxis//1 Anthony//PM|NOM//nmod//98 Smiths//PM|GEN//nmod:poss//100 The//PM|NOM//det//100 Ethinc//PM|NOM//nsubj//96 Origins//PM|NOM//obj//96 of//PM|NOM//case//103 Nations//PM|GEN//obl//96  //_SP////103 (//PAD//punct//103 1986//RG|NOM//appos//103 )//PAD//punct//96 ,//MID//punct//96 om//SN//mark//112 man//PN|UTR|SIN|IND|SUB//nsubj//112 så//AB//advmod//112 vill//VB|PRS|AKT//advcl//96 .//MAD//punct//96
Den nationella identitetens konstruktion;Frågan//NN|UTR|SIN|DEF|NOM//obj//96 om//SN//mark//122 rötterna//NN|UTR|PLU|DEF|NOM//nsubj//122 är//VB|PRS|AKT//cop//122 emellertid//AB//advmod//122 inte//AB//advmod//122 längre//AB|KOM//advmod//122 den//DT|UTR|SIN|DEF//det//122 avgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//114 .//MAD//punct//96
Den nationella identitetens konstruktion;Man//PN|UTR|SIN|IND|SUB//nsubj//128 kan//VB|PRS|AKT//aux//128 mycket//AB|POS//advmod//127 väl//AB|POS//advmod//128 hävda//VB|INF|AKT//conj//96 ,//MID//punct//128 att//SN//mark//137 de//DT|UTR/NEU|PLU|DEF//det//133 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//133 identiteterna//NN|UTR|PLU|DEF|NOM//nsubj//137 visserligen//AB//advmod//137 är//VB|PRS|AKT//cop//137 moderna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//137 konstruktioner//NN|UTR|PLU|IND|NOM//ccomp//128 men//KN//cc//144 att//SN//mark//144 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//144 ,//MID//punct//144 en//DT|UTR|SIN|IND//det//143 gång//NN|UTR|SIN|IND|NOM//obl//144 konstruerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//137 ,//MID//punct//150 är//VB|PRS|AKT//cop//150 mer//AB|KOM//advmod//150 eller//KN//fixed//147 mindre//AB|KOM//advmod//150 orubbliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//144 .//MAD//punct//128
Den nationella identitetens konstruktion;Frågan//NN|UTR|SIN|DEF|NOM//nsubj//160 är//VB|PRS|AKT//cop//160 om//SN//mark//160 inte//AB//advmod//160 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//160 är//VB|PRS|AKT//cop//160 den//DT|UTR|SIN|DEF//det//160 gängse//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//160 meningen//NN|UTR|SIN|DEF|NOM//parataxis//128 .//MAD//punct//160
Den nationella identitetens konstruktion;De//DT|UTR/NEU|PLU|DEF//det//2 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 identiteterna//NN|UTR|PLU|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 orubbliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//4 –//RG|NOM//punct//4 så//AB//advmod//7 brukar//VB|PRS|AKT//conj//4 texten//NN|UTR|SIN|DEF|NOM//nsubj:pass//9 läggas//VB|INF|SFO//xcomp//7 ut//PL//compound:prt//9 –//NN|UTR|SIN|IND|NOM//punct//20 till//PP//mark//20 följd//NN|UTR|SIN|IND|NOM//fixed//12 av//PP//fixed//12 att//SN//mark//20 varje//DT|UTR/NEU|SIN|IND//det//18 ny//JJ|POS|UTR|SIN|IND|NOM//amod//18 generation//NN|UTR|SIN|IND|NOM//nsubj:pass//20 ”//PM|NOM//punct//18 socialiseras//VB|PRS|SFO//conj//4 ”//PAD//punct//20 till//PP//case//23 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//20 .//MAD//punct//20
Den nationella identitetens konstruktion;De//DT|UTR/NEU|PLU|DEF//det//27 ”//PAD//punct//27 socialisationsagenter//NN|UTR|PLU|IND|NOM//nsubj//35 ”//PM|NOM//punct//27 som//HP|-|-|-//nsubj:pass//31 särskilt//AB//advmod//31 nämns//VB|PRS|SFO//acl:relcl//27 i//PP//case//33 litteraturen//NN|UTR|SIN|DEF|NOM//obl//31 är//VB|PRS|AKT//cop//35 skolan//NN|UTR|SIN|DEF|NOM//parataxis//20 och//KN//cc//37 massmedierna//NN|NEU|PLU|DEF|NOM//conj//35 .//MAD//punct//4
Den nationella identitetens konstruktion;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//40 finns//VB|PRS|SFO//parataxis//4 evidens//NN|UTR|SIN|IND|NOM//nsubj//40 för//PP//mark//50 att//SN//mark//50 både//KN//cc//45 skola//NN|UTR|SIN|IND|NOM//nsubj//50 och//KN//cc//47 medier//NN|NEU|PLU|IND|NOM//conj//45 verkligen//AB//advmod//50 har//VB|PRS|AKT//aux//50 fungerat//VB|SUP|AKT//advcl//40 på//PP//case//53 detta//DT|NEU|SIN|DEF//det//53 sätt//NN|NEU|SIN|IND|NOM//obl//50 ,//MID//punct//40 och//KN//cc//57 alltså//AB//advmod//57 svarat//VB|SUP|AKT//conj//40 för//PP//case//61 den//DT|UTR|SIN|DEF//det//61 ständiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//61 återbekräftelsen//NN|UTR|SIN|DEF|NOM//obl//57 av//PP//case//65 existerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//65 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//65 identiteter//NN|UTR|PLU|IND|NOM//nmod//61 .//MAD//punct//40
Den nationella identitetens konstruktion;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//68 finns//VB|PRS|SFO//parataxis//40 likväl//AB//advmod//68 skäl//NN|NEU|PLU|IND|NOM//nsubj//68 att//IE//mark//72 ställa//VB|INF|AKT//acl//70 frågan//NN|UTR|SIN|DEF|NOM//obj//72 om//SN//mark//76 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//76 fortsätter//VB|PRS|AKT//advcl//72 att//IE//mark//78 vara//VB|INF|AKT//xcomp//76 så//AB//advmod//80 t.o.m.//AB|AN//advmod//78 i//PP//case//85 det//DT|NEU|SIN|DEF//det//85 alltmer//AB//advmod//84 integrerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//85 Europa//PM|NOM//obl//78 .//MAD//punct//68
Den nationella identitetens konstruktion;Både//KN//cc//88 skola//NN|UTR|SIN|IND|NOM//nsubj:pass//91 och//KN//cc//90 medier//NN|NEU|PLU|IND|NOM//conj//88 internationaliseras//VB|PRS|SFO//conj//68 .//MID//punct//68
Den nationella identitetens konstruktion;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//95 är//VB|PRS|AKT//cop//95 något//PN|NEU|SIN|IND|SUB/OBJ//conj//40 för//PP//case//97 pedagogikforskare//NN|UTR|PLU|IND|NOM//nmod//95 och//KN//cc//99 massmedieforskare//NN|UTR|PLU|IND|NOM//conj//97 att//IE//mark//101 undersöka//VB|INF|AKT//csubj//95 vilka//HD|UTR/NEU|PLU|IND//det//103 identiteter//NN|UTR|PLU|IND|NOM//obj//101 som//HP|-|-|-//nsubj:pass//107 numera//AB//advmod//107 ”//RG|NOM//punct//107 konstrueras//VB|PRS|SFO//acl:relcl//103 ”//PAD//obl//107 i//PP//case//110 Europa//PM|NOM//obl//107 –//RG|NOM//punct//110 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//appos//110 ,//MID//punct//112 regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//112 ,//MID//punct//116 transnationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//114 ,//MID//punct//118 övernationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//114 ?//MAD//punct//95
Den nationella identitetens konstruktion;I//PP//case//1 grunden//NN|UTR|SIN|DEF|NOM//obl//2 gäller//VB|PRS|AKT//ROOT//2 frågan//NN|UTR|SIN|DEF|NOM//nmod//4 förhållandet//NN|NEU|SIN|DEF|NOM//nsubj//2 mellan//PP//case//6 institutioner//NN|UTR|PLU|IND|NOM//nmod//4 och//KN//cc//8 identiteter//NN|UTR|PLU|IND|NOM//conj//6 .//MAD//punct//4
Den nationella identitetens konstruktion;Tesen//NN|UTR|SIN|DEF|NOM//nsubj//17 om//PP//case//13 demokratins//NN|UTR|SIN|DEF|GEN//nmod:poss//13 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//10 av//PP//case//16 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//16 identitet//NN|UTR|SIN|IND|NOM//nmod//13 utgår//VB|PRS|AKT//advcl//2 från//PP//case//21 de//DT|UTR/NEU|PLU|DEF//det//21 befintliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 identiteterna//NN|UTR|PLU|DEF|NOM//obl//17 och//KN//cc//23 innebär//VB|PRS|AKT//conj//17 att//SN//mark//28 demokratiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 institutioner//NN|UTR|PLU|IND|NOM//nsubj:pass//28 bör//VB|PRS|AKT//aux//28 anpassas//VB|INF|SFO//ccomp//23 till//PP//case//30 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//28 .//MAD//punct//17
Den nationella identitetens konstruktion;Ett//DT|NEU|SIN|IND//det//34 alternativt//JJ|POS|NEU|SIN|IND|NOM//amod//34 synsätt//NN|NEU|SIN|IND|NOM//nsubj//35 är//VB|PRS|AKT//punct//2 att//SN//mark//38 institutioner//NN|UTR|PLU|IND|NOM//nsubj//38 skapar//VB|PRS|AKT//ccomp//35 identiteter//NN|UTR|PLU|IND|NOM//obj//38 –//PAD//punct//42 de//DT|UTR/NEU|PLU|DEF//det//42 identiteter//NN|UTR|PLU|IND|NOM//appos//38 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//44 behöver//VB|PRS|AKT//acl:relcl//42 ,//MID//punct//42 höll//VB|PRT|AKT//conj//38 jag//PN|UTR|SIN|DEF|SUB//nsubj//46 sånär//AB//advmod//46 på//PL//mark//51 att//IE//mark//51 säga//VB|INF|AKT//advcl//46 .//MAD//punct//35
Den nationella identitetens konstruktion;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//56 är//VB|PRS|AKT//cop//56 en//DT|UTR|SIN|IND//det//56 huvudströmning//NN|UTR|SIN|IND|NOM//parataxis//35 i//PP//case//59 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//59 statsvetenskap//NN|UTR|SIN|IND|NOM//nmod//56 idag//AB//advmod//56 ,//MID//punct//62 kallad//PC|PRF|UTR|SIN|IND|NOM//conj//56 ”//PM|NOM//punct//64 nyinstitutionalism//NN|UTR|SIN|IND|NOM//xcomp//62 ”//PM|NOM//conj//56 ,//MID//punct//56 att//SN//mark//72 politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 institutioner//NN|UTR|PLU|IND|NOM//nsubj//72 inte//AB//advmod//72 bara//AB//advmod//72 återspeglar//VB|PRS|AKT//acl//56 på//PP//case//76 förhand//NN|UTR|SIN|IND|NOM//advmod//75 givna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//76 identiteter//NN|UTR|PLU|IND|NOM//obl//72 och//KN//cc//78 intressen//NN|NEU|PLU|IND|NOM//conj//76 utan//KN//cc//81 också//AB//advmod//81 spelar//VB|PRS|AKT//conj//72 en//DT|UTR|SIN|IND//det//85 aktivt//AB|POS//advmod//84 skapande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//85 roll//NN|UTR|SIN|IND|NOM//obj//81 och//KN//cc//87 medverkar//VB|PRS|AKT//conj//85 till//PP//mark//90 att//IE//mark//90 forma//VB|INF|AKT//xcomp//87 identiteterna//NN|UTR|PLU|DEF|NOM//obj//90 och//KN//cc//93 intressena//NN|NEU|PLU|DEF|NOM//conj//91 (//PAD//punct//81 t.ex.//AB|AN//advmod//96 March//PM|NOM//appos//81 och//KN//cc//98 Olsen//PM|NOM//conj//96 1989//RG|NOM//nummod//98 )//PAD//punct//56 .//MAD//punct//2
Den nationella identitetens konstruktion;En//DT|UTR|SIN|IND//det//103 hypotes//NN|UTR|SIN|IND|NOM//nsubj//154 i//PP//case//107 linje//NN|UTR|SIN|IND|NOM//fixed//104 med//PP//fixed//104 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//103 ://MID//punct//103
Den nationella identitetens konstruktion;Ju//KN//advmod//110 viktigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//111 EU//PM|NOM//nsubj//112 blir//VB|PRS|AKT//acl:relcl//103 ,//MID//punct//112 desto//AB//advmod//115 starkare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//116 blir//VB|PRS|AKT//acl:relcl//103 den//DT|UTR|SIN|DEF//det//119 europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//119 identitet//NN|UTR|SIN|IND|NOM//xcomp//116 som//HP|-|-|-//nsubj:pass//121 behövs//VB|PRS|SFO//acl:relcl//119 för//PP//mark//124 att//IE//mark//124 bära//VB|INF|AKT//advcl//121 upp//PL//compound:prt//124 demokrati//NN|UTR|SIN|IND|NOM//obj//124 på//PP//case//129 europeisk//JJ|POS|UTR|SIN|IND|NOM//amod//129 nivå//NN|UTR|SIN|IND|NOM//obl//124 .//MAD//punct//116
Den nationella identitetens konstruktion;Till//PP//advmod//103 exempel//NN|NEU|SIN|IND|NOM//fixed//131 ://MID//punct//103
Den nationella identitetens konstruktion;Ju//KN//advmod//135 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//136 makt//NN|UTR|SIN|IND|NOM//nmod//137 Europaparlamentet//NN|NEU|SIN|DEF|NOM//appos//103 –//RG|NOM//punct//142 den//DT|UTR|SIN|DEF//det//142 mest//AB|SUV//advmod//141 demokratiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//142 EU-institutionen//NN|UTR|SIN|DEF|NOM//appos//137 –//RG|NOM//punct//103 får//VB|PRS|AKT//aux//148 ,//MID//punct//148 desto//AB//advmod//147 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//148 kommer//VB|PRS|AKT//aux//154 både//KN//cc//150 valen//NN|NEU|PLU|DEF|NOM//nsubj//154 och//KN//cc//152 parlamentsarbetet//NN|NEU|SIN|DEF|NOM//conj//150 att//IE//mark//154 fungera//VB|INF|AKT//parataxis//2 .//MAD//punct//2
Den nationella identitetens konstruktion;Är//VB|PRS|AKT//ROOT//0 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//0 så//AB//advmod//0 ?//MID//punct//0
Den nationella identitetens konstruktion;Svaret//NN|NEU|SIN|DEF|NOM//nsubj//8 kan//VB|PRS|AKT//aux//8 nog//AB//advmod//8 bara//AB//advmod//8 vara//VB|INF|AKT//parataxis//0 att//SN//mark//12 vi//PN|UTR|PLU|DEF|SUB//nsubj//12 inte//AB//advmod//12 vet//VB|PRS|AKT//ccomp//8 .//MAD//punct//8

