4WFOTL  LPE  GÚS   CPMBHTTUZSOJOH ;&//KN|AN//cc//2 ÚRSLAG//JJ|POS|UTR/NEU|SIN|DEF|NOM//mark//2 FRÍN//PM|NOM//ROOT//2 +//MID//cc//4 ODGRUPPEN//PM|NOM//conj//2
1.4 Följ eller förklara;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//40 är//VB|PRS|AKT//cop//40 en//DT|UTR|SIN|IND//det//40 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//40 fördel//NN|UTR|SIN|IND|NOM//parataxis//18 med//PP//case//42 självreglering//NN|UTR|SIN|IND|NOM//nmod//40 jämfört//PC|PRF|NEU|SIN|IND|NOM//case//45 med//PP//case//45 lagstiftning//NN|UTR|SIN|IND|NOM//nmod//42 –//RG|NOM//punct//52 att//IE//mark//52 i//PP//case//50 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 frågor//NN|UTR|PLU|IND|NOM//obl//52 kunna//VB|INF|AKT//aux//52 sätta//VB|INF|AKT//advcl//40 ambitionen//NN|UTR|SIN|DEF|NOM//obj//52 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//52 än//KN//mark//59 vad//HP|NEU|SIN|IND//dislocated//59 som//HP|-|-|-//nsubj//59 är//VB|PRS|AKT//cop//59 rimligt//JJ|POS|NEU|SIN|IND|NOM//acl//54 att//IE//mark//61 kräva//VB|INF|AKT//acl//59 att//SN//mark//69 alla//DT|UTR/NEU|PLU|IND/DEF//det//64 bolag//NN|NEU|PLU|IND|NOM//nsubj//69 vid//PP//case//67 varje//DT|UTR/NEU|SIN|IND//det//67 tillfälle//NN|NEU|SIN|IND|NOM//nmod//64 skall//VB|PRS|AKT//aux//69 nå//VB|INF|AKT//ccomp//61 upp//PL//compound:prt//69 till//PP//compound:prt//69 .//MAD//punct//18
1.4 Följ eller förklara;Ett//DT|NEU|SIN|IND//det//1 bolag//NN|NEU|SIN|IND|NOM//nsubj//6 som//HP|-|-|-//nsubj//3 tillämpar//VB|PRS|AKT//acl:relcl//1 koden//NN|UTR|SIN|DEF|NOM//obj//3 kan//VB|PRS|AKT//aux//6 avvika//VB|INF|AKT//ROOT//6 från//PP//case//9 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 regler//NN|UTR|PLU|IND|NOM//obl//6 men//KN//cc//13 skall//VB|PRS|AKT//aux//13 då//AB//advmod//13 motivera//VB|INF|AKT//conj//6 detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//13 enligt//PP//case//16 principen//NN|UTR|SIN|DEF|NOM//obl//13 ”//PM|NOM//punct//18 comply//UO//nmod//16 or//UO//punct//18 explain//UO//conj//18 ”//PAD//punct//18 eller//KN//cc//26 på//PP//case//25 svenska//NN|UTR|SIN|IND|NOM//amod//25 ”//PM|NOM//obl//26 följ//VB|IMP|AKT//conj//18 eller//KN//cc//28 förklara//VB|INF|AKT//conj//26 ”//PM|NOM//punct//18 .//MAD//punct//6
1.4 Följ eller förklara;Denna//DT|UTR|SIN|DEF//det//32 modell//NN|UTR|SIN|IND|NOM//nsubj:pass//36 har//VB|PRS|AKT//aux//36 med//PP//case//35 framgång//NN|UTR|SIN|IND|NOM//obl//36 tillämpats//VB|SUP|SFO//conj//6 för//PP//case//40 de//DT|UTR/NEU|PLU|DEF//det//40 corporate//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 governance-koder//NN|UTR|PLU|IND|NOM//obl//36 som//HP|-|-|-//nsubj:pass//42 utvecklats//VB|SUP|SFO//acl:relcl//40 under//PP//case//47 de//DT|UTR/NEU|PLU|DEF//det//47 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//47 tio//RG|NOM//nummod//47 åren//NN|NEU|PLU|DEF|NOM//obl//42 .//MAD//punct//6
1.4 Följ eller förklara;I//PP//case//50 koden//NN|UTR|SIN|DEF|NOM//obl//51 används//VB|PRS|SFO//conj//6 genomgående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 ”//PAD//nsubj:pass//51 skall//VB|PRS|AKT//conj//6 ”//PM|NOM//punct//54 i//PP//case//57 reglerna//NN|UTR|PLU|DEF|NOM//obl//54 för//PP//mark//63 att//SN//fixed//58 ingen//DT|UTR|SIN|IND//det//61 oklarhet//NN|UTR|SIN|IND|NOM//nsubj//63 skall//VB|PRS|AKT//aux//63 råda//VB|INF|AKT//acl//57 om//PP//mark//71 att//SN//mark//71 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//67 avvikelser//NN|UTR|PLU|IND|NOM//nsubj:pass//71 från//PP//case//69 koden//NN|UTR|SIN|DEF|NOM//nmod//67 skall//VB|PRS|AKT//aux//71 förklaras//VB|INF|SFO//advcl//63 .//MAD//punct//6
1.4 Följ eller förklara;I//PP//case//1 koden//NN|UTR|SIN|DEF|NOM//obl//2 föreskrivs//VB|PRS|SFO//ROOT//2 att//SN//mark//11 bolag//NN|NEU|PLU|IND|NOM//nsubj//11 som//HP|-|-|-//nsubj//6 tillämpar//VB|PRS|AKT//acl:relcl//4 koden//NN|UTR|SIN|DEF|NOM//obj//6 till//PP//case//9 årsredovisningen//NN|UTR|SIN|DEF|NOM//obl//6 skall//VB|PRS|AKT//aux//11 foga//VB|INF|AKT//dep//2 en//DT|UTR|SIN|IND//det//14 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//14 bolagsstyrningsrapport//NN|UTR|SIN|IND|NOM//obj//11 och//KN//cc//20 att//SN//mark//20 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 information//NN|UTR|SIN|IND|NOM//nsubj:pass//20 skall//VB|PRS|AKT//aux//20 återfinnas//VB|INF|SFO//conj//11 på//PP//case//23 bolagets//NN|NEU|SIN|DEF|GEN//nmod:poss//23 hemsida//NN|UTR|SIN|IND|NOM//obl//20 .//MAD//punct//2
1.4 Följ eller förklara;I//PP//case//27 denna//DT|UTR|SIN|DEF//det//27 rapport//NN|UTR|SIN|IND|NOM//obl//30 skall//VB|PRS|AKT//aux//30 bolaget//NN|NEU|SIN|DEF|NOM//nsubj//30 deklarera//VB|INF|AKT//parataxis//2 att//SN//mark//33 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//33 tillämpar//VB|PRS|AKT//ccomp//30 koden//NN|UTR|SIN|DEF|NOM//obj//33 och//KN//cc//37 översiktligt//AB|POS//advmod//37 beskriva//VB|INF|AKT//conj//33 hur//HA//advmod//40 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//40 sker//VB|PRS|AKT//ccomp//37 .//MAD//punct//40
1.4 Följ eller förklara;Om//SN//mark//44 bolaget//NN|NEU|SIN|DEF|NOM//nsubj//44 avvikit//VB|SUP|AKT//advcl//50 från//PP//case//47 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 regler//NN|UTR|PLU|IND|NOM//obl//44 skall//VB|PRS|AKT//aux//50 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//50 anges//VB|INF|SFO//conj//30 och//KN//cc//52 motiven//NN|NEU|PLU|DEF|NOM//nsubj:pass//57 för//PP//case//55 varje//DT|UTR/NEU|SIN|IND//det//55 avvikelse//NN|UTR|SIN|IND|NOM//nmod//52 tydligt//AB|POS//amod//57 redovisas//VB|INF|SFO//conj//50 .//MAD//punct//2
1.4 Följ eller förklara;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//67 är//VB|PRS|AKT//cop//67 dock//AB//advmod//67 inte//AB//advmod//67 att//SN//mark//67 bolag//NN|NEU|PLU|IND|NOM//nsubj//67 endast//AB//advmod//67 skall//VB|PRS|AKT//aux//67 pricka//VB|INF|AKT//parataxis//2 av//PL//case//71 de//DT|UTR/NEU|PLU|DEF//det//71 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 kraven//NN|NEU|PLU|DEF|NOM//obl//67 i//PP//case//73 koden//NN|UTR|SIN|DEF|NOM//nmod//71 ,//MID//punct//67 utan//PP//mark//77 att//IE//mark//77 agera//VB|INF|AKT//advcl//67 i//PP//case//82 enlighet//NN|UTR|SIN|IND|NOM//fixed//78 med//PP//fixed//78 de//DT|UTR/NEU|PLU|DEF//det//82 intentioner//NN|UTR|PLU|IND|NOM//obl//77 som//HP|-|-|-//obl//85 koden//NN|UTR|SIN|DEF|NOM//nsubj//85 ger//VB|PRS|AKT//acl:relcl//82 uttryck//NN|NEU|SIN|IND|NOM//obj//85 för//PP//case//83 .//MAD//punct//67
1.4 Följ eller förklara;För//PP//case//1 aktiemarknadsbolag//NN|NEU|SIN|IND|NOM//obl//2 avgör//VB|PRS|AKT//ROOT//2 sedan//SN//case//4 marknaden//NN|UTR|SIN|DEF|NOM//obl//2 om//PP//mark//10 de//DT|UTR/NEU|PLU|DEF//det//8 redovisade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//8 motiven//NN|NEU|PLU|DEF|NOM//nsubj//10 är//VB|PRS|AKT//cop//10 godtagbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//2 eller//KN//cc//12 inte//AB//conj//10 .//MID//punct//2
1.4 Följ eller förklara;Om//SN//mark//16 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//16 framstår//VB|PRS|AKT//advcl//2 som//KN//mark//21 välgrundade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nsubj//21 och//KN//cc//20 rimliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//18 får//VB|PRS|AKT//ccomp//16 avvikelsen//NN|UTR|SIN|DEF|NOM//obj//21 sannolikt//AB|POS//advmod//21 inga//DT|UTR/NEU|PLU|IND//det//25 konsekvenser//NN|UTR|PLU|IND|NOM//obj//21 .//MAD//punct//2
1.4 Följ eller förklara;I//PP//case//29 motsatt//PC|PRF|NEU|SIN|IND|NOM//amod//29 fall//NN|NEU|SIN|IND|NOM//obl//32 kan//VB|PRS|AKT//aux//32 bolaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//32 drabbas//VB|INF|SFO//parataxis//2 av//PP//case//35 negativ//JJ|POS|UTR|SIN|IND|NOM//amod//35 publicitet//NN|UTR|SIN|IND|NOM//obl//32 och//KN//cc//37 förtroendeförlust//NN|UTR|SIN|IND|NOM//conj//35 på//PP//case//39 kapitalmarknaden//NN|UTR|SIN|DEF|NOM//nmod//37 .//MAD//punct//2
1.4 Följ eller förklara;För//PP//case//2 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 kategorier//NN|UTR|PLU|IND|NOM//obl//8 av//PP//case//4 bolag//NN|NEU|PLU|IND|NOM//nmod//2 som//HP|-|-|-//nsubj//6 tillämpar//VB|PRS|AKT//acl:relcl//2 koden//NN|UTR|SIN|DEF|NOM//obj//6 avgör//VB|PRS|AKT//ROOT//8 respektive//AB//amod//10 ägare//NN|UTR|PLU|IND|NOM//obj//8 hur//HA//advmod//12 redovisade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//13 avvikelser//NN|UTR|PLU|IND|NOM//nsubj:pass//15 skall//VB|PRS|AKT//aux//15 behandlas//VB|INF|SFO//advcl//8 .//MAD//punct//8


2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;I//PP//case//1 beskrivningar//NN|UTR|PLU|IND|NOM//obl//10 av//PP//case//5 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 corporate//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//5 governance-system//NN|NEU|PLU|IND|NOM//nmod//1 i//PP//case//9 ett//DT|NEU|SIN|IND//det//9 internationellt//JJ|POS|NEU|SIN|IND|NOM//amod//9 perspektiv//NN|NEU|SIN|IND|NOM//nmod//5 brukar//VB|PRS|AKT//aux:pass//14 en//DT|UTR|SIN|IND//det//12 åtskillnad//NN|UTR|SIN|IND|NOM//nsubj:pass//14 ofta//AB|POS//advmod//14 göras//VB|INF|SFO//ROOT//14 mellan//PP//case//17 corporate//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod:poss//17 governance-systemen//NN|UTR|SIN|DEF|NOM//obl//14 i//PP//case//36 å//PP//advmod//22 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//fixed//19 sidan//NN|UTR|SIN|DEF|NOM//nmod//22 Förenta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//36 staterna//NN|UTR|PLU|DEF|NOM//flat//22 och//KN//cc//25 Storbritannien//PM|NOM//conj//22 och//KN//cc//33 å//PP//advmod//33 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//fixed//27 sidan//NN|UTR|SIN|DEF|NOM//fixed//27 de//DT|UTR/NEU|PLU|DEF//det//33 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 kontinentaleuropeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 länderna//NN|NEU|PLU|DEF|NOM//conj//22 ,//MID//punct//33 särskilt//AB//advmod//36 Tyskland//PM|NOM//nmod//17 .//MAD//punct//14
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//42 kan//VB|PRS|AKT//aux//42 visserligen//AB//advmod//42 med//PP//case//42 fog//NN|NEU|SIN|IND|NOM//nsubj:pass//43 hävdas//VB|PRS|SFO//parataxis//14 att//SN//mark//56 corporate//PM|NOM//nmod:poss//46 governance-systemet//NN|NEU|SIN|DEF|NOM//nsubj//56 redan//AB//advmod//52 i//PP//case//52 ett//RG|NEU|SIN|IND|NOM//det//52 och//KN//fixed//49 samma//DT|UTR/NEU|SIN/PLU|IND//conj//49 land//NN|NEU|SIN|IND|NOM//nmod//46 i//PP//case//55 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//55 avseenden//NN|NEU|PLU|IND|NOM//nmod//52 varierar//VB|PRS|AKT//ccomp//43 från//PP//case//59 ett//DT|NEU|SIN|IND//det//59 företag//NN|NEU|SIN|IND|NOM//obl//56 till//PP//case//62 ett//DT|NEU|SIN|IND//det//62 annat//JJ|POS|NEU|SIN|IND|NOM//obl//56 ,//MID//punct//66 men//KN//cc//66 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//66 finns//VB|PRS|SFO//conj//14 också//AB//advmod//66 mer//AB|KOM//advmod//66 eller//KN//fixed//68 mindre//AB|KOM//advmod//71 systematiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 skillnader//NN|UTR|PLU|IND|NOM//nsubj//66 mellan//PP//case//74 länder//NN|NEU|PLU|IND|NOM//nmod//72 och//KN//cc//78 en//DT|UTR|SIN|IND//det//78 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//78 skiljelinje//NN|UTR|SIN|IND|NOM//conj//74 brukar//VB|PRS|AKT//advcl//66 anses//VB|INF|SFO//xcomp//79 gå//VB|INF|AKT//xcomp//80 mellan//PP//case//88 de//DT|UTR/NEU|PLU|DEF//det//88 angloamerikanska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//88 och//KN//cc//88 de//DT|UTR/NEU|PLU|DEF//det//88 kontinentaleuropeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//88 länderna//NN|NEU|PLU|DEF|NOM//obl//81 .//MAD//punct//14
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;En//RG|UTR|SIN|IND|NOM//nsubj//5 i//PP//case//3 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//3 sammanhang//NN|NEU|PLU|IND|NOM//obl//5 ofta//AB|POS//advmod//5 påtalad//PC|PRF|UTR|SIN|IND|NOM//advcl//7 skillnad//NN|UTR|SIN|IND|NOM//obj//5 gäller//VB|PRS|AKT//ROOT//7 ägarstrukturens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 utseende//NN|NEU|SIN|IND|NOM//obj//7 .//MAD//punct//7
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;Enkelt//AB|POS//advmod//12 uttryckt//PC|PRF|NEU|SIN|IND|NOM//advcl//13 karakteriseras//VB|PRS|SFO//parataxis//7 de//DT|UTR/NEU|PLU|DEF//det//17 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 börsnoterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//17 bolagen//NN|NEU|PLU|DEF|NOM//nsubj:pass//13 i//PP//case//19 Förenta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//17 staterna//NN|UTR|PLU|DEF|NOM//flat//19 och//KN//cc//22 Storbritannien//PM|NOM//conj//19 sedan//PP//advmod//13 länge//AB|POS//advmod//13 av//PP//case//28 en//DT|UTR|SIN|IND//det//28 långtgående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 ägarspridning//NN|UTR|SIN|IND|NOM//obl:agent//13 ,//MID//punct//40 medan//SN//mark//40 ägarstrukturen//NN|UTR|SIN|DEF|NOM//nsubj//40 i//PP//case//34 kontinentaleuropeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 bolag//NN|NEU|PLU|IND|NOM//nmod//31 i//PP//case//37 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 fall//NN|NEU|PLU|IND|NOM//nmod//34 är//VB|PRS|AKT//cop//40 förhållandevis//AB//advmod//40 koncentrerad//PC|PRF|UTR|SIN|IND|NOM//advcl//13 i//PP//case//43 den//DT|UTR|SIN|DEF//det//43 meningen//NN|UTR|SIN|DEF|NOM//obl//40 att//SN//mark//47 där//AB//advmod//46 typiskt//AB|POS//advmod//47 sett//PC|PRF|NEU|SIN|IND|NOM//acl//43 finns//VB|PRS|SFO//parataxis//7 en//RG|UTR|SIN|IND|NOM//det//53 eller//KN//cc//51 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//53 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 ägare//NN|UTR|PLU|IND|NOM//nsubj//48 i//PP//case//55 bolaget//NN|NEU|SIN|DEF|NOM//nmod//53 .//MAD//punct//7
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;En//DT|UTR|SIN|IND//det//2 annan//JJ|POS|UTR|SIN|IND|NOM//amod//2 skillnad//NN|UTR|SIN|IND|NOM//nsubj//3 gäller//VB|PRS|AKT//ROOT//3 förekomsten//NN|UTR|SIN|DEF|NOM//nsubj//3 av//PP//case//7 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 uppköpserbjudanden//NN|NEU|PLU|IND|NOM//nmod//4 på//PP//case//9 aktiemarknaden//NN|UTR|SIN|DEF|NOM//nmod//4 .//MAD//punct//3
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;I//PP//case//16 det//DT|NEU|SIN|DEF//det//16 amerikanska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 och//KN//cc//15 brittiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//13 näringslivet//NN|NEU|SIN|DEF|NOM//obl//20 är//VB|PRS|AKT//cop//20 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//20 s.k.//AB|AN//amod//20 takeover-erbjudanden//NN|NEU|PLU|IND|NOM//parataxis//3 sedan//PP//case//23 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//23 decennier//NN|NEU|PLU|IND|NOM//nmod//20 vanligt//AB|POS//advmod//25 förekommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 och//KN//cc//29 den//DT|UTR|SIN|DEF//det//29 s.k.//AB|AN//amod//29 marknaden//NN|UTR|SIN|DEF|NOM//conj//25 för//PP//case//31 företagskontroll//NN|UTR|SIN|IND|NOM//nmod//29 betraktas//VB|PRS|SFO//conj//20 av//PP//case//34 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl:agent//32 som//KN//mark//38 ett//DT|NEU|SIN|IND//det//38 väsentligt//JJ|POS|NEU|SIN|IND|NOM//amod//38 inslag//NN|NEU|SIN|IND|NOM//xcomp//32 i//PP//case//41 corporate//PM|NOM//nmod:poss//41 governance-systemet//NN|NEU|SIN|DEF|NOM//nmod//38 .//MAD//punct//20
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;I//PP//case//44 Tyskland//PM|NOM//obl//50 och//KN//cc//49 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//49 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 kontinentaleuropeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 länder//NN|NEU|PLU|IND|NOM//conj//44 förekommer//VB|PRS|AKT//conj//3 takeover-erbjudanden//NN|UTR|SIN|DEF|NOM//nsubj//50 väsentligt//AB|POS//advmod//53 mer//AB|KOM//advmod//54 sällan//AB//advmod//50 och//KN//cc//56 ses//VB|PRS|SFO//conj//50 i//PP//case//62 vart//DT|NEU|SIN|IND//advmod//62 fall//NN|NEU|SIN|IND|NOM//fixed//58 inte//AB//fixed//58 mer//AB|KOM//advmod//62 allmänt//AB|POS//advmod//56 som//KN//case//66 en//DT|UTR|SIN|IND//det//66 naturlig//JJ|POS|UTR|SIN|IND|NOM//amod//66 komponent//NN|UTR|SIN|IND|NOM//obl//56 i//PP//case//69 corporate//UO//nmod:poss//69 governance-systemet//NN|NEU|SIN|DEF|NOM//nmod//66 .//MAD//punct//50
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;En//DT|UTR|SIN|IND//det//1 tredje//RO|NOM//nsubj//10 ,//MID//punct//7 och//KN//cc//7 i//PP//case//6 förevarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 sammanhang//NN|NEU|SIN|IND|NOM//obl//7 viktigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//1 ,//MID//punct//7 skillnad//NN|UTR|SIN|IND|NOM//punct//1 gäller//VB|PRS|AKT//advcl//22 regelverket//NN|NEU|SIN|DEF|NOM//obj//10 ifråga//AB//case//15 om//PP//fixed//12 bolagens//NN|NEU|PLU|DEF|GEN//nmod:poss//15 organisation//NN|UTR|SIN|IND|NOM//obl//10 ,//MID//punct//15 särskilt//AB//amod//18 ledningsorganisationen//NN|UTR|SIN|DEF|NOM//conj//15 .//MID//punct//10
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;Lite//AB|POS//advmod//21 förenklat//PC|PRF|NEU|SIN|IND|NOM//parataxis//10 brukar//VB|PRS|AKT//ROOT//22 förhållandena//NN|NEU|PLU|DEF|NOM//obj//22 beskrivas//VB|INF|SFO//xcomp//22 så//AB//mark//31 att//SN//fixed//25 man//PN|UTR|SIN|IND|SUB//nsubj//31 i//PP//case//30 angloamerikanska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 länder//NN|NEU|PLU|IND|NOM//obl//31 tillämpar//VB|PRS|AKT//advcl//24 en//DT|UTR|SIN|IND//det//37 monistisk//JJ|POS|UTR|SIN|IND|NOM//amod//37 och//KN//cc//37 i//PP//case//37 kontinentaleuropeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 länder//NN|NEU|PLU|IND|NOM//obj//31 en//DT|UTR|SIN|IND//det//40 dualistisk//JJ|POS|UTR|SIN|IND|NOM//amod//40 ledningsmodell//NN|UTR|SIN|IND|NOM//obj//31 .//MAD//punct//22
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;Karakteristiskt//JJ|POS|NEU|SIN|IND|NOM//nsubj//18 för//PP//case//5 den//DT|UTR|SIN|DEF//det//5 monistiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5  //_SP////3 ledningsmodellen//NN|UTR|SIN|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//0 att//SN//mark//10 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//10 bara//AB//advmod//10 finns//VB|PRS|SFO//ccomp//6 ett//DT|NEU|SIN|IND//det//12 ledningsorgan//NN|NEU|SIN|IND|NOM//nsubj//10 i//PP//case//14 bolaget//NN|NEU|SIN|DEF|NOM//nmod//12 .//MAD//punct//0
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;I//PP//case//17 Storbritannien//PM|NOM//obl//18 utser//VB|PRS|AKT//ROOT//18 bolagets//NN|NEU|SIN|DEF|GEN//nmod:poss//22 högsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//22 beslutande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 organ//NN|NEU|SIN|IND|NOM//obj//18 ,//MID//punct//24 bolagsstämman//NN|UTR|SIN|DEF|NOM//conj//22 ,//MID//punct//27 en//DT|UTR|SIN|IND//det//27 styrelse//NN|UTR|SIN|IND|NOM//conj//22 (//PAD//punct//29 board//UO//appos//22 of//UO//case//31 directors//UO//nmod//29 )//PAD//punct//29 med//PP//case//34 uppgift//NN|UTR|SIN|IND|NOM//obl//18 att//IE//mark//36 svara//VB|INF|AKT//acl//34 för//PP//case//38 ledningen//NN|UTR|SIN|DEF|NOM//obl//36 av//PP//case//40 bolaget//NN|NEU|SIN|DEF|NOM//nmod//38 .//MAD//punct//18
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;Styrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//43 mandat//NN|NEU|SIN|IND|NOM//nsubj:pass//44 bestäms//VB|PRS|SFO//parataxis//18 helt//AB|POS//advmod//44 av//PP//case//47 bolagsstämman//NN|UTR|SIN|DEF|NOM//obl:agent//44 genom//PP//case//49 bolagsordningen//NN|UTR|SIN|DEF|NOM//obl//44 och//KN//cc//52 lagen//NN|UTR|SIN|DEF|NOM//nsubj//52 innehåller//VB|PRS|AKT//conj//18 inga//DT|UTR/NEU|PLU|IND//det//55 närmare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//55 regler//NN|UTR|PLU|IND|NOM//obj//52 om//PP//case//58 styrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//58 arbete//NN|NEU|SIN|IND|NOM//nmod//55 .//MAD//punct//18
2.1 Den angloamerikanska respektive kontinentaleuropeiska modellen;Något//DT|NEU|SIN|IND//advmod//61 särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//18 ,//MID//punct//64 från//PP//case//64 styrelsen//NN|UTR|SIN|DEF|NOM//obl//18 skilt//VB|SUP|AKT//nmod//64 ,//MID//punct//64 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//68 bolagsorgan//NN|NEU|SIN|IND|NOM//nsubj//69 finns//VB|PRS|SFO//advcl//18 inte//AB//advmod//69 .//MAD//punct//18
