Promemoria;2013-11-11//RG|NOM//ROOT//0
Svenska Fotbollförbundet;Ambitionen//NN|UTR|SIN|DEF|NOM//parataxis//1 är//VB|PRS|AKT//advmod//1 att//IE//mark//28 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 klara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ccomp//1 av//PL//case//30 säkerheten//NN|UTR|SIN|DEF|NOM//obl//28 inne//AB//advmod//33 på//PP//case//33 arenan//NN|UTR|SIN|DEF|NOM//nmod//30 och//KN//cc//36 i//PP//case//36 kön//NN|UTR|SIN|DEF|NOM//conj//33 utanför//AB//nmod//36 .//MAD//punct//1 -//MID//punct//1
Svenska Fotbollförbundet;Fotbollens//NN|UTR|SIN|DEF|GEN//nmod:poss//41 påföljdssystem//NN|NEU|SIN|IND|NOM//nsubj//52  //_SP////41 –//RG|NOM//punct//49 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//45 påföljdssystem//NN|NEU|SIN|IND|NOM//nsubj//49 har//VB|PRS|AKT//aux//49 inte//AB//advmod//49 löst//VB|SUP|AKT//amod//49 problemen//NN|NEU|PLU|DEF|NOM//appos//41 .//MAD//punct//41
Svenska Fotbollförbundet;Förbundet//NN|NEU|SIN|DEF|NOM//nsubj//52 arbetar//VB|PRS|AKT//conj//1 vidare//AB|KOM//advmod//52 med//PP//mark//56 att//IE//mark//56 utveckla//VB|INF|AKT//advcl//52 påföljdssystemet//NN|NEU|SIN|DEF|NOM//obj//56 med//PP//case//59 inriktningen//NN|UTR|SIN|DEF|NOM//obl//56 att//SN//mark//65 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//65 är//VB|PRS|AKT//cop//65 den//DT|UTR|SIN|DEF//det//65 ansvarige//JJ|POS|MAS|SIN|DEF|NOM//amod//65 individen//NN|UTR|SIN|DEF|NOM//ccomp//1 som//HP|-|-|-//nsubj:pass//68 ska//VB|PRS|AKT//aux//68 drabbas//VB|INF|SFO//acl:relcl//65 av//PP//case//70 påföljden//NN|UTR|SIN|DEF|NOM//obl:agent//68 .//MAD//punct//1
Svenska Fotbollförbundet;Förbundet//NN|NEU|SIN|DEF|NOM//nsubj//73 tror//VB|PRS|AKT//parataxis//1 inte//AB//advmod//73 på//PP//case//77 kollektiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 straff//NN|NEU|PLU|IND|NOM//obl//73 och//KN//cc//83 inte//AB//advmod//80 heller//AB//advmod//83 på//PP//mark//83 att//IE//mark//83 skärpa//VB|INF|AKT//conj//73 sanktionerna//NN|UTR|PLU|DEF|NOM//obj//83 ytterligare//AB|KOM//advmod//83 .//MAD//punct//73 -//MID//punct//88
Svenska Fotbollförbundet;Hot//NN|NEU|PLU|IND|NOM//appos//73 och//KN//cc//90 trakasserier//NN|NEU|PLU|IND|NOM//conj//88  //_SP////90 –//PAD//punct//96 i//PP//case//95 denna//DT|UTR|SIN|DEF//det//95 fråga//NN|UTR|SIN|IND|NOM//obl//96 samarbetar//VB|PRS|AKT//conj//73 man//PN|UTR|SIN|IND|SUB//nsubj//96 med//PP//case//100 Stiftelsen//NN|UTR|SIN|DEF|NOM//nmod//100 Tryggare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//compound//101 Sverige//PM|NOM//obj//96 .//MAD//punct//96 -//MID//punct//108
Svenska Fotbollförbundet;Pyrotekniken//NN|UTR|SIN|DEF|NOM//dislocated//108  //_SP////104 –//RG|NOM//punct//108 förbundet//NN|NEU|SIN|DEF|NOM//nsubj//108 prövar//VB|PRS|AKT//conj//1 om//SN//mark//111 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//111 går//VB|PRS|AKT//ccomp//108 att//IE//mark//113 använda//VB|INF|AKT//csubj//111 ofarlig//JJ|POS|UTR|SIN|IND|NOM//amod//115 pyroteknik//NN|UTR|SIN|IND|NOM//obj//113 som//HP|-|-|-//nsubj:pass//118 kan//VB|PRS|AKT//aux//118 legaliseras//VB|INF|SFO//acl:relcl//115 .//MAD//punct//108 -//MID//punct//121
Svenska Fotbollförbundet;Utbildning//NN|UTR|SIN|IND|NOM//nsubj//133  //_SP////121 –//PAD//punct//129 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//129 är//VB|PRS|AKT//cop//129 i//PP//case//127 grunden//NN|UTR|SIN|DEF|NOM//obl//129 en//DT|UTR|SIN|IND//det//129 attitydfråga//NN|UTR|SIN|IND|NOM//conj//121 .//MAD//punct//129
Svenska Fotbollförbundet;Varje//DT|UTR/NEU|SIN|IND//det//132 klubb//NN|UTR|SIN|IND|NOM//nsubj//133 har//VB|PRS|AKT//aux//140 en//DT|UTR|SIN|IND//det//138 säkerhetsansvarig//JJ|POS|UTR|SIN|IND|NOM//amod//138 och//KN//cc//137 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//conj//135 matchdelegater//NN|UTR|PLU|IND|NOM//nsubj//140 ska//VB|PRS|AKT//aux//140 genomgå//VB|INF|AKT//conj//1 kontinuerlig//JJ|POS|UTR|SIN|IND|NOM//amod//142 utbildning//NN|UTR|SIN|IND|NOM//obj//140 .//MAD//punct//1
Svenska Fotbollförbundet;Förbundet//NN|NEU|SIN|DEF|NOM//nsubj//146 har//VB|PRS|AKT//aux//146 satsat//VB|SUP|AKT//parataxis//1 mycket//AB|POS//advmod//146 på//PP//case//149 service//NN|UTR|SIN|IND|NOM//obl//146 och//KN//cc//151 menar//VB|PRS|AKT//conj//146 att//SN//mark//156 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//154 besökare//NN|UTR|PLU|IND|NOM//nsubj:pass//156 ska//VB|PRS|AKT//aux//156 behandlas//VB|INF|SFO//ccomp//151 som//KN//case//158 gäster//NN|UTR|PLU|IND|NOM//obl//156 .//MAD//punct//1
Svenska Fotbollförbundet;SvFF//PM|NOM//nsubj//1 identifierar//VB|PRS|AKT//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 förbättringsområden//NN|NEU|PLU|IND|NOM//obj//1 ://MID//punct//1 -//MID//punct//6
Svenska Fotbollförbundet;Använd//VB|IMP|AKT//parataxis//1 arrangörsrätten//NN|UTR|SIN|DEF|NOM//obj//6  //_SP////7 –//RG|NOM//punct//10 rätten//NN|UTR|SIN|DEF|NOM//nsubj//18 att//IE//mark//12 vägra//VB|INF|AKT//acl//10 någon//DT|UTR|SIN|IND//det//14 tillträde//NN|NEU|SIN|IND|NOM//obj//12 till//PP//case//17 en//DT|UTR|SIN|IND//det//17 match//NN|UTR|SIN|IND|NOM//obl//12 finns//VB|PRS|SFO//conj//6 och//KN//cc//21 bör//VB|PRS|AKT//aux//21 användas//VB|INF|SFO//conj//18 .//MAD//punct//6 -//MID//punct//24
Svenska Fotbollförbundet;Polisanmäl//JJ|POS|NEU|SIN|IND|NOM//parataxis//6 brott//NN|NEU|SIN|IND|NOM//obj//24  //_SP////25 –//PAD//punct//29 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//29 brott//NN|NEU|PLU|IND|NOM//nsubj:pass//35 som//HP|-|-|-//nsubj:pass//31 begås//VB|PRS|SFO//acl:relcl//29 på//PP//case//33 arenan//NN|UTR|SIN|DEF|NOM//obl//31 ska//VB|PRS|AKT//aux//35 anmälas//VB|INF|SFO//advcl//24 .//MAD//punct//24 -//MID//punct//38
Svenska Fotbollförbundet;Tillträdesförbud//NN|NEU|SIN|IND|NOM//conj//6 –//PM|NOM//punct//42  //_SP////39 ska//VB|PRS|AKT//aux//42 användas//VB|INF|SFO//acl:relcl//38 i//PP//case//45 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 utsträckning//NN|UTR|SIN|IND|NOM//obl//42 .//MAD//punct//38 -//MID//punct//48
Svenska Fotbollförbundet;Språkbruket//NN|NEU|SIN|DEF|NOM//parataxis//38 på//PP//case//50 läktarna//NN|UTR|PLU|DEF|NOM//nmod//48 –//RG|NOM//punct//55  //_SP////51 även//AB//advmod//54 här//AB//advmod//55 krävs//VB|PRS|SFO//conj//6 det//PN|NEU|SIN|DEF|SUB/OBJ//det//57 utbildning//NN|UTR|SIN|IND|NOM//nsubj:pass//55 för//PP//mark//60 att//IE//mark//60 få//VB|INF|AKT//acl//57 till//PP//case//63 en//DT|UTR|SIN|IND//det//63 attitydförändring//NN|UTR|SIN|IND|NOM//obl//60 .//MAD//punct//1
Svenska Fotbollförbundet;SvFF//PM|NOM//nsubj//44 anför//VB|PRS|AKT//advmod//0 även//AB//advmod//1 att//SN//mark//8 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//6 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 parter//NN|UTR|PLU|IND|NOM//nsubj//8 bör//VB|PRS|AKT//aux//8 ta//VB|INF|AKT//acl//0 fram//PL//compound:prt//8 en//DT|UTR|SIN|IND//det//12 gemensam//JJ|POS|UTR|SIN|IND|NOM//amod//12 kommunikationsstrategi//NN|UTR|SIN|IND|NOM//obj//8 för//PP//mark//15 att//IE//mark//15 samordna//VB|INF|AKT//advcl//8 sin//PS|UTR|SIN|DEF//nmod:poss//17 kommunikation//NN|UTR|SIN|IND|NOM//obj//15 och//KN//cc//19 tala//VB|INF|AKT//conj//15 med//PP//case//25 en//DT|UTR|SIN|IND//det//25 enhetlig//JJ|POS|UTR|SIN|IND|NOM//amod//25 och//KN//cc//24 tydlig//JJ|POS|UTR|SIN|IND|NOM//conj//22 röst//NN|UTR|SIN|IND|NOM//obl//19 .//MAD//punct//0
Svenska Fotbollförbundet;Endast//AB//advmod//30 genom//PP//mark//30 att//IE//mark//30 samarbeta//VB|INF|AKT//appos//0 –//RG|NOM//punct//33 med//PP//case//33 polisen//NN|UTR|SIN|DEF|NOM//obl//30 ,//MID//punct//36 mellan//PP//case//36 klubbarna//NN|UTR|PLU|DEF|NOM//conj//33 ,//MID//punct//40 med//PP//case//40 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 sporter//NN|UTR|PLU|IND|NOM//conj//36 –//RG|NOM//punct//44 kan//VB|PRS|AKT//aux//44 man//PN|UTR|SIN|IND|SUB//nsubj//44 komma//VB|INF|AKT//ROOT//44 till//PP//compound:prt//44 rätta//NN|UTR|-|-|-//fixed//45 med//PP//case//48 problemet//NN|NEU|SIN|DEF|NOM//obl//44 .//MAD//punct//44
Svenska Fotbollförbundet;Förbundet//NN|NEU|SIN|DEF|NOM//nsubj//1 upplever//VB|PRS|AKT//ROOT//1 att//SN//mark//5 situationen//NN|UTR|SIN|DEF|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 blivit//VB|SUP|AKT//ccomp//1 värre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//5 de//DT|UTR/NEU|PLU|DEF//det//10 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//10 10//RG|NOM//nummod//10 åren//NN|NEU|PLU|DEF|NOM//xcomp//5 och//KN//cc//12 menar//VB|PRS|AKT//conj//5 att//SN//mark//15 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 finns//VB|PRS|SFO//ccomp//12 utrymme//NN|NEU|SIN|IND|NOM//nsubj//15 för//PP//case//19 viss//JJ|POS|UTR|SIN|IND|NOM//amod//19 självkritik//NN|UTR|SIN|IND|NOM//nmod//16 .//MID//punct//1
Svenska Fotbollförbundet;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//22 finns//VB|PRS|SFO//parataxis//1 verktyg//NN|NEU|PLU|IND|NOM//nsubj//22 som//HP|-|-|-//obj//30 man//PN|UTR|SIN|IND|SUB//nsubj//30 inte//AB//advmod//30 har//VB|PRS|AKT//aux//30 varit//VB|SUP|AKT//cop//30 tillräckligt//AB|POS//advmod//30 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//23 på//PP//mark//33 att//IE//mark//33 använda//VB|INF|AKT//advcl//22 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//33 av//PP//compound:prt//33 .//MAD//punct//1
Svenska Fotbollförbundet;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//38 finns//VB|PRS|SFO//parataxis//1 även//AB//advmod//38 en//DT|UTR|SIN|IND//det//41 del//NN|UTR|SIN|IND|NOM//nsubj//38 som//HP|-|-|-//obj//45 fotbollen//NN|UTR|SIN|DEF|NOM//nsubj//45 kan//VB|PRS|AKT//aux//45 lära//VB|INF|AKT//acl:relcl//41 av//PP//case//47 ishockeyn//NN|UTR|SIN|DEF|NOM//obl//45 ,//MID//punct//45 som//HP|-|-|-//nsubj//54 i//PP//case//52 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 avseenden//NN|NEU|PLU|IND|NOM//obl//54 har//VB|PRS|AKT//aux//54 kommit//VB|SUP|AKT//acl:relcl//45 längre//AB|KOM//advmod//54 i//PP//case//58 sitt//PS|NEU|SIN|DEF//nmod:poss//58 arbete//NN|NEU|SIN|IND|NOM//obl//54 med//PP//case//62 de//DT|UTR/NEU|PLU|DEF//det//62 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//62 frågorna//NN|UTR|PLU|DEF|NOM//obl//54 .//MAD//punct//38
Svenska Fotbollförbundet;SvFF//PM|NOM//nsubj//65 menar//VB|PRS|AKT//parataxis//38 att//SN//mark//71 fotbollen//NN|UTR|SIN|DEF|NOM//nsubj//71 och//KN//cc//69 ishockeyn//NN|UTR|SIN|DEF|NOM//conj//67 kan//VB|PRS|AKT//aux//71 bli//VB|INF|AKT//ccomp//65 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//71 på//PP//mark//75 att//IE//mark//75 samarbeta//VB|INF|AKT//xcomp//71 .//MAD//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38 –//RG|NOM//punct//38
Svenska Fotbollförbundet;SvFF//PM|NOM//nsubj//1 efterfrågar//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//3 säkerhetsmanual//NN|UTR|SIN|IND|NOM//obj//1 för//PP//case//5 idrottsevenemang//NN|NEU|PLU|IND|NOM//nmod//3 .//MAD//punct//1
Svenska Fotbollförbundet;Myndigheten//NN|UTR|SIN|DEF|NOM//nsubj//13 för//PP//case//9 samhällsskydd//NN|UTR|SIN|IND|NOM//nmod//7 och//KN//cc//11 beredskap//NN|UTR|SIN|IND|NOM//conj//9 har//VB|PRS|AKT//aux//13 tagit//VB|SUP|AKT//parataxis//1 fram//PL//compound:prt//13 en//DT|UTR|SIN|IND//det//16 manual//NN|UTR|SIN|IND|NOM//obj//13 för//PP//case//18 evenemangssäkerhet//NN|UTR|SIN|IND|NOM//nmod//16 och//KN//cc//21 denna//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//21 finns//VB|PRS|SFO//conj//13 att//IE//mark//23 tillgå//VB|INF|AKT//xcomp//21 här//AB//advmod//23 ://MID//punct//21
Svenska Fotbollförbundet;https://www.msb.se/sv/Forebyggande/Sakerhet-hem--//PM|NOM//appos//21  //_SP////26 fritid//NN|UTR|SIN|IND|NOM//conj//26 ///MID//cc//30 Evenemangssakerhet///UO//conj//28 –//PAD//punct//28 –//RG|NOM//punct//26 –//RG|NOM//punct//26 –//RG|NOM//punct//26 –//RG|NOM//punct//26 –//RG|NOM//punct//26 –//RG|NOM//punct//26 –//RG|NOM//punct//26 –//RG|NOM//punct//26 –//RG|NOM//punct//26 –//RG|NOM//punct//26 –//RG|NOM//punct//26 –//RG|NOM//punct//26

Svenska Hockeyligan;Jörgen//PM|NOM//ROOT//0 Lindgren//PM|NOM//flat:name//0 ,//MID//punct//3 VD//NN|AN//conj//0
Svenska Hockeyligan;Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 Hockeyligan//NN|UTR|SIN|DEF|NOM//dislocated//25 (//PAD//punct//1 SHL//PM|NOM//appos//1 )//PAD//punct//1 anför//VB|PRS|AKT//mark//10 att//SN//fixed//5 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//10 vill//VB|PRS|AKT//aux//10 vara//VB|INF|AKT//cop//10 delaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//1 i//PP//advmod//10 och//KN//cc//13 ta//VB|INF|AKT//conj//10 ansvar//NN|NEU|SIN|IND|NOM//obj//13 för//PP//mark//17 att//IE//mark//17 skapa//VB|INF|AKT//advcl//13 en//DT|UTR|SIN|IND//det//20 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 supporterkultur//NN|UTR|SIN|IND|NOM//obj//17 .//MAD//punct//1
Svenska Hockeyligan;Säkerhetsfrågan//NN|UTR|SIN|DEF|NOM//nsubj//25 är//VB|PRS|AKT//cop//25 högt//AB|POS//advmod//25 prioriterad//PC|PRF|UTR|SIN|IND|NOM//ROOT//25 i//PP//case//27 SHL//PM|NOM//obl//25 ://MID//punct//25 s//NN|NEU|SIN|IND|GEN//case//31 dagliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//31 arbete//NN|NEU|SIN|IND|NOM//appos//25 och//KN//cc//34 är//VB|PRS|AKT//cop//34 del//NN|UTR|SIN|IND|NOM//conj//31 i//PP//case//36 allt//PN|NEU|SIN|IND|SUB/OBJ//nmod//34 som//KN//obj//39 organisationen//NN|UTR|SIN|DEF|NOM//nsubj//39 gör//VB|PRS|AKT//acl:relcl//36 .//MAD//punct//25
Svenska Hockeyligan;SHL//PM|NOM//nsubj//1 har//VB|PRS|AKT//aux//9 som//KN//case//4 en//DT|UTR|SIN|IND//det//4 del//NN|UTR|SIN|IND|NOM//obl//1 av//PP//case//8 sin//PS|UTR|SIN|DEF//nmod:poss//8 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 vision//NN|UTR|SIN|IND|NOM//nmod//4 arbetat//VB|SUP|AKT//ROOT//9 fram//PL//advmod//9 en//DT|UTR|SIN|IND//det//13 ny//JJ|POS|UTR|SIN|IND|NOM//amod//13 värdegrund//NN|UTR|SIN|IND|NOM//obj//9 –//PAD//punct//9 ”//PAD//punct//9 skapa//VB|INF|AKT//parataxis//9 känslor//NN|UTR|PLU|IND|NOM//obj//16 ”//RG|NOM//punct//9 –//RG|NOM//punct//9 och//KN//cc//21 menar//VB|PRS|AKT//conj//9 att//SN//mark//25 man//PN|UTR|SIN|IND|SUB//nsubj//25 måste//VB|PRS|AKT//aux//25 utgå//VB|INF|AKT//ccomp//21 från//PP//mark//29 att//SN//mark//29 idrottens//NN|UTR|SIN|DEF|GEN//nsubj//29 skapar//VB|PRS|AKT//advcl//25 känslor//NN|UTR|PLU|IND|NOM//obj//29 .//MID//punct//9
Svenska Hockeyligan;Allt//PN|NEU|SIN|IND|SUB/OBJ//nsubj//37 som//HP|-|-|-//mark//35 SHL//PM|NOM//nsubj//35 gör//VB|PRS|AKT//acl:relcl//32 ska//VB|PRS|AKT//aux//37 utgå//VB|INF|AKT//parataxis//9 från//PP//case//39 fansen//NN|NEU|PLU|DEF|NOM//obl//37 ,//MID//punct//44 oavsett//AB|POS//mark//44 om//SN//mark//44 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//44 befinner//VB|PRS|AKT//advcl//37 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//44 på//PP//case//47 arenan//NN|UTR|SIN|DEF|NOM//obl//44 eller//KN//cc//49 följer//VB|PRS|AKT//conj//44 matcherna//NN|UTR|PLU|DEF|NOM//obj//49 från//PP//case//54 en//DT|UTR|SIN|IND//det//54 annan//JJ|POS|UTR|SIN|IND|NOM//amod//54 plats//NN|UTR|SIN|IND|NOM//obl//49 .//MAD//punct//9
Svenska Hockeyligan;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//58 är//VB|PRS|AKT//cop//58 viktigt//JJ|POS|NEU|SIN|IND|NOM//parataxis//9 att//SN//mark//61 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//61 får//VB|PRS|AKT//csubj//58 en//DT|UTR|SIN|IND//det//65 så//AB//advmod//64 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//65 upplevelse//NN|UTR|SIN|IND|NOM//obj//61 som//KN//mark//67 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//65 och//KN//cc//70 kan//VB|PRS|AKT//aux//70 känna//VB|INF|AKT//conj//58 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//70 trygg//JJ|POS|UTR|SIN|IND|NOM//obj//70 på//PP//case//75 en//DT|UTR|SIN|IND//det//75 ishockeymatch//NN|UTR|SIN|IND|NOM//obl//70 .//MAD//punct//58
Svenska Hockeyligan;2011//RG|NOM//punct//9 tog//VB|PRT|AKT//conj//9 SHL//PM|NOM//nsubj//78 fram//PL//advmod//78 en//DT|UTR|SIN|IND//det//82 strategi//NN|UTR|SIN|IND|NOM//obj//78 tillsammans//AB//advmod//87 med//PP//case//87 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//87 tolv//RG|NOM//nummod//87 medlemsklubbar//NN|UTR|PLU|IND|NOM//obl//78 ,//MID//punct//87 vilken//HP|UTR|SIN|IND//obj//92 man//PN|UTR|SIN|IND|SUB//nsubj//92 har//VB|PRS|AKT//aux//92 lagt//VB|SUP|AKT//acl:relcl//87 ned//PL//compound:prt//92 mycket//JJ|POS|NEU|SIN|IND|NOM//amod//95 arbete//NN|NEU|SIN|IND|NOM//obj//92 och//KN//cc//97 resurser//NN|UTR|PLU|IND|NOM//conj//95 på//PP//case//92 .//MAD//punct//9
Svenska Hockeyligan;SHL//PM|NOM//nsubj//101 upplever//VB|PRS|AKT//parataxis//9 att//SN//mark//104 man//PN|UTR|SIN|IND|SUB//nsubj//104 har//VB|PRS|AKT//ccomp//101 god//JJ|POS|UTR|SIN|IND|NOM//amod//106 samverkan//NN|UTR|SIN|IND|NOM//obj//104 med//PP//case//108 klubbar//NN|UTR|PLU|IND|NOM//obl//104 ,//MID//punct//110 myndigheter//NN|UTR|PLU|IND|NOM//conj//108 ,//MID//punct//112 arenaägare//NN|UTR|PLU|IND|NOM//conj//108 och//KN//cc//114 supportrar//NN|UTR|PLU|IND|NOM//conj//108 .//MAD//punct//9
Svenska Hockeyligan;SHL//PM|NOM//nsubj//1 uppger//VB|PRS|AKT//ROOT//1 att//SN//mark//4 organisationen//NN|UTR|SIN|DEF|NOM//nsubj//4 utnyttjar//VB|PRS|AKT//ccomp//1 de//DT|UTR/NEU|PLU|DEF//det//6 verktyg//NN|NEU|PLU|IND|NOM//obj//4 som//HP|-|-|-//obj//10 man//PN|UTR|SIN|IND|SUB//nsubj//10 idag//AB//advmod//10 har//VB|PRS|AKT//acl:relcl//6 tillgång//NN|UTR|SIN|IND|NOM//obj//10 till//PP//case//10 men//KN//cc//18 att//SN//mark//18 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//18 samtidigt//AB//advmod//18 är//VB|PRS|AKT//cop//18 viktig//JJ|POS|UTR|SIN|IND|NOM//conj//4 att//SN//mark//39 de//DT|UTR/NEU|PLU|DEF//det//22 föreslagna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//22 åtgärderna//NN|UTR|PLU|DEF|NOM//nsubj//39 ,//MID//punct//22 så//AB//advmod//27 som//KN//case//27 utökat//PC|PRF|NEU|SIN|IND|NOM//amod//27 tillträdesförbud//NN|NEU|SIN|IND|NOM//appos//22 ,//MID//punct//29 upprättande//NN|NEU|SIN|IND|NOM//conj//27 av//PP//case//33 ett//DT|NEU|SIN|IND//det//33 nationellt//JJ|POS|NEU|SIN|IND|NOM//amod//33 register//NN|NEU|SIN|IND|NOM//nmod//29 samt//KN//cc//37 ett//DT|NEU|SIN|IND//det//37 utökat//PC|PRF|NEU|SIN|IND|NOM//amod//37 maskeringsförbud//NN|NEU|SIN|IND|NOM//conj//27 ,//MID//punct//39 vidtas//VB|PRS|SFO//csubj//18 skyndsamt//AB|POS//advmod//39 .//MAD//punct//1
Svenska Hockeyligan;Avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//43 frågan//NN|UTR|SIN|DEF|NOM//nsubj//50 om//PP//case//46 legal//JJ|POS|UTR|SIN|IND|NOM//amod//46 pyroteknik//NN|UTR|SIN|IND|NOM//nmod//43 är//VB|PRS|AKT//cop//50 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//50 inte//AB//advmod//50 aktuellt//JJ|POS|NEU|SIN|IND|NOM//parataxis//1 inom//PP//case//52 ishockeyn//NN|UTR|SIN|DEF|NOM//obl//50 .//MID//punct//1
Svenska Hockeyligan;Om//SN//mark//57 en//DT|UTR|SIN|IND//det//56 incident//NN|UTR|SIN|IND|NOM//nsubj//57 inträffar//VB|PRS|AKT//dislocated//61 inom//PP//case//59 ishockeyn//NN|UTR|SIN|DEF|NOM//obl//57 så//AB//advcl//61 tar//VB|PRS|AKT//parataxis//1 SHL//PM|NOM//nsubj//61 ett//DT|NEU|SIN|IND//det//65 gemensamt//JJ|POS|NEU|SIN|IND|NOM//amod//65 ansvar//NN|NEU|SIN|IND|NOM//obj//61 för//PP//case//67 händelsen//NN|UTR|SIN|DEF|NOM//nmod//65 ,//MID//punct//72 istället//AB//advmod//72 för//PP//mark//72 att//IE//mark//72 hänga//VB|INF|AKT//advcl//61 ut//PL//compound:prt//72 en//DT|UTR|SIN|IND//det//76 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//76 klubb//NN|UTR|SIN|IND|NOM//obj//72 .//MAD//punct//1
Svenska Hockeyligan;Organisationen//NN|UTR|SIN|DEF|NOM//nsubj//79 ser//VB|PRS|AKT//parataxis//1 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//79 som//KN//mark//82 viktigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//79 att//IE//mark//84 arbeta//VB|INF|AKT//acl//82 tillsammans//AB//advmod//84 och//KN//cc//87 ser//VB|PRS|AKT//conj//79 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//87 nära//PP//amod//90 samarbetet//NN|NEU|SIN|DEF|NOM//obl//87 och//KN//cc//92 synergin//NN|UTR|SIN|DEF|NOM//conj//90 med//PP//case//94 klubbarna//NN|UTR|PLU|DEF|NOM//nmod//92 som//KN//mark//97 en//DT|UTR|SIN|IND//det//97 del//NN|UTR|SIN|IND|NOM//obl//87 i//PP//case//100 ishockeyns//NN|UTR|SIN|DEF|GEN//nmod:poss//100 framgång//NN|UTR|SIN|IND|NOM//nmod//97 med//PP//mark//103 att//IE//mark//103 främja//VB|INF|AKT//acl//100 en//DT|UTR|SIN|IND//det//106 positiv//JJ|POS|UTR|SIN|IND|NOM//amod//106 supporterkultur//NN|UTR|SIN|IND|NOM//obj//103 och//KN//cc//108 motverka//VB|INF|AKT//conj//103 idrottsrelaterad//PC|PRF|UTR|SIN|IND|NOM//amod//110 brottslighet//NN|UTR|SIN|IND|NOM//obj//108 .//MAD//punct//79
Svenska Hockeyligan;SHL//PM|NOM//nsubj//113 menar//VB|PRS|AKT//parataxis//79 dock//AB//advmod//113 att//SN//mark//118 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//118 ännu//AB//advmod//118 återstår//VB|PRS|AKT//ccomp//113 en//DT|UTR|SIN|IND//det//120 del//NN|UTR|SIN|IND|NOM//nsubj//118 att//IE//mark//122 göra//VB|INF|AKT//acl//120 .//MAD//punct//79
