Inledning;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//2 innebär//VB|PRS|AKT//ROOT//2 att//SN//mark//8 socialtjänstens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 behandling//NN|UTR|SIN|IND|NOM//nsubj:pass//8 av//PP//case//7 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//5 författningsregleras//VB|PRS|SFO//ccomp//2 och//KN//cc//10 anpassas//VB|INF|SFO//conj//8 till//PP//case//12 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//10 i//PP//case//14 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//12 (//PAD//punct//8 1998:204//RG|NOM//conj//8 )//PAD//punct//8 .//MAD//punct//2
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//25 innebär//VB|PRS|AKT//parataxis//4 att//SN//mark//29 inte//AB//advmod//29 bara//AB//advmod//29 myndigheter//NN|UTR|PLU|IND|NOM//ccomp//25 utan//KN//cc//33 även//AB//advmod//32 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 behandling//NN|UTR|SIN|IND|NOM//conj//29 av//PP//case//35 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//33 som//HP|-|-|-//nsubj//38 är//VB|PRS|AKT//cop//38 helt//AB|POS//acl:relcl//33 eller//KN//cc//41 delvis//AB//advmod//41 automatiserad//PC|PRF|UTR|SIN|IND|NOM//conj//38 utan//KN//cc//46 även//AB//advmod//46 för//PP//case//46 annan//JJ|POS|UTR|SIN|IND|NOM//amod//46 behandling//NN|UTR|SIN|IND|NOM//conj//38 ,//MID//punct//29 om//SN//mark//50 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj//50 ingår//VB|PRS|AKT//acl:relcl//29 i//PP//compound:prt//50 eller//KN//cc//54 är//VB|PRS|AKT//cop//54 avsedda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//50 att//IE//mark//56 ingå//VB|INF|AKT//acl//54 i//PP//case//60 en//DT|UTR|SIN|IND//det//60 strukturerad//PC|PRF|UTR|SIN|IND|NOM//amod//60 samling//NN|UTR|SIN|IND|NOM//obl//56 av//PP//case//62 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//60 som//HP|-|-|-//nsubj//66 är//VB|PRS|AKT//cop//66 t//NN|NEU|SIN|IND|NOM//nsubj//66 illgängliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//60 för//PP//case//68 sökning//NN|UTR|SIN|IND|NOM//obl//66 eller//KN//cc//70 sammanställning//NN|UTR|SIN|IND|NOM//conj//68 enligt//PP//case//73 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//73 kriterier//NN|NEU|PLU|IND|NOM//obl//66 ,//MID//punct//29 dvs.//AB|AN//advmod//78 för//PP//case//78 manuell//JJ|POS|UTR|SIN|IND|NOM//amod//78 behandling//NN|UTR|SIN|IND|NOM//appos//29 av//PP//case//80 personregister//NN|UTR|PLU|IND|NOM//nmod//78 (//PAD//punct//80 avsnitt//NN|NEU|SIN|IND|NOM//nmod//83 6.2.2//RG|NOM//appos//80 )//PAD//punct//29 .//MAD//punct//87
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//87 föreslås//VB|PRS|SFO//parataxis//4 inte//AB//advmod//87 några//DT|UTR/NEU|PLU|IND//det//91 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//91 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//87 för//PP//case//95 den//DT|UTR|SIN|DEF//det//95 automatiserade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//95 behandlingen//NN|UTR|SIN|DEF|NOM//obl//87 av//PP//case//97 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//95 .//MAD//punct//4
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Lagen//NN|UTR|SIN|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 dock//AB//advmod//4 inte//AB//advmod//4 tillämplig//JJ|POS|UTR|SIN|IND|NOM//ROOT//4 vid//PP//case//6 behandling//NN|UTR|SIN|IND|NOM//obl//4 av//PP//case//9 person//NN|UTR|SIN|IND|NOM//amod//9 uppgifter//NN|UTR|PLU|IND|NOM//nmod//6 för//PP//case//11 forsknings-//NN|UTR|-|-|SMS//nmod//9 och//KN//cc//13 statistikändamål//NN|NEU|PLU|IND|NOM//conj//11 (//PAD//punct//6 avsnitt//NN|NEU|SIN|IND|NOM//nmod//16 6.2.3//RG|NOM//appos//6 )//PAD//punct//4 .//MAD//punct//19
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Behandling//NN|UTR|SIN|IND|NOM//nsubj:pass//23 för//PP//case//22 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//22 ändamål//NN|NEU|PLU|IND|NOM//nmod//19 regleras//VB|PRS|SFO//conj//4 av//PP//case//25 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl:agent//23 i//PP//case//27 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//25 och//KN//cc//32 av//PP//case//32 eventuell//JJ|POS|UTR|SIN|IND|NOM//amod//32 annan//JJ|POS|UTR|SIN|IND|NOM//amod//32 särlagstiftning//NN|UTR|SIN|IND|NOM//conj//25 på//PP//case//34 området//NN|NEU|SIN|DEF|NOM//nmod//32 .//MID//punct//4
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//39 bör//VB|PRS|AKT//aux//39 dock//AB//advmod//39 påpekas//VB|INF|SFO//conj//4 att//SN//mark//44 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//44 inte//AB//advmod//44 är//VB|PRS|AKT//cop//44 något//PN|NEU|SIN|IND|SUB/OBJ//ccomp//39 som//HP|-|-|-//nsubj//46 hindrar//VB|PRS|AKT//acl:cleft//44 att//SN//mark//76 de//DT|UTR/NEU|PLU|DEF//det//49 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//76 som//HP|-|-|-//nsubj:pass//51 samlats//VB|SUP|SFO//acl:relcl//49 in//PL//compound:prt//51 för//PP//mark//61 att//SN//mark//61 m//PM|NOM//nummod//56 yndigheter//NN|UTR|PLU|IND|NOM//nsubj//61 och//KN//cc//58 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//conj//56 skall//VB|PRS|AKT//aux//61 kunna//VB|INF|AKT//aux//61 utföra//VB|INF|AKT//advcl//51 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//63 arbetsuppgifter//NN|UTR|PLU|IND|NOM//obj//61 inom//PP//case//65 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//61 ,//MID//punct//49 dvs.//AB|AN//advmod//69 med//PP//case//69 stöd//NN|NEU|SIN|IND|NOM//nmod//49 av//PP//case//73 den//DT|UTR|SIN|DEF//det//73 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//73 lagen//NN|UTR|SIN|DEF|NOM//nmod//69 ,//MID//punct//76 även//AB//advmod//76 används//VB|PRS|SFO//ccomp//46 för//PP//case//78 forsknings-//NN|UTR|-|-|SMS//obl//76 och//KN//cc//80 statistikändamål//NN|NEU|PLU|IND|NOM//conj//78 .//MAD//punct//44
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Av//PP//case//84 9//RG|NOM//nummod//84 §//NN|AN//obl//88 andra//RO|NOM//amod//86 stycket//NN|NEU|SIN|DEF|NOM//amod//87 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nsubj//88 följer//VB|PRS|AKT//parataxis//44 nämligen//AB//advmod//88 att//SN//mark//91 behandling//NN|UTR|SIN|IND|NOM//nsubj:pass//101 för//PP//case//98 historiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//98 ,//MID//punct//95 statistiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//93 och//KN//cc//97 vetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//93 ändamål//NN|NEU|PLU|IND|NOM//nmod//91 inte//AB//advmod//101 skall//VB|PRS|AKT//aux//101 anses//VB|INF|SFO//advcl//88 oförenlig//JJ|POS|UTR|SIN|IND|NOM//xcomp//101 med//PP//case//105 de//DT|UTR/NEU|PLU|DEF//det//105 ändamål//NN|NEU|PLU|IND|NOM//obl//101 för//PP//case//107 vilka//HP|UTR/NEU|PLU|IND//obl//110 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//110 ursprungligen//AB//advmod//110 samlades//VB|PRT|SFO//acl:relcl//105 in//PL//compound:prt//110 .//MAD//punct//101
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;Huruvida//SN//mark//124 behandlingen//NN|UTR|SIN|DEF|NOM//nsubj//124 av//PP//case//116 personuppgifterna//NN|UTR|PLU|DEF|NOM//nmod//114 ,//MID//punct//114 t.ex.//AB|AN//advmod//120 själva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//120 utlämnandet//NN|NEU|SIN|DEF|NOM//appos//114 ,//MID//punct//114 är//VB|PRS|AKT//cop//124 t//NN|AN//nmod//124 illåten//NN|UTR|SIN|DEF|NOM//nsubj:pass//131 i//PP//case//128 det//DT|NEU|SIN|DEF//det//128 enskilda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//128 fallet//NN|NEU|SIN|DEF|NOM//nmod//124 får//VB|PRS|AKT//aux//131 emellertid//AB//advmod//131 avgöras//VB|INF|SFO//parataxis//101 av//PP//case//133 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl:agent//131 i//PP//case//135 person//NN|UTR|SIN|IND|NOM//nmod//133 uppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//133 och//KN//cc//138 sekretesslagen//NN|UTR|SIN|DEF|NOM//conj//136 .//MAD//punct//44
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;I//PP//case//145 19//RG|NOM//nummod//142 §//NN|AN//nmod//144 tredje//RO|NOM//amod//144 stycket//NN|NEU|SIN|DEF|NOM//amod//145 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//obl//146 finns//VB|PRS|SFO//parataxis//44 en//DT|UTR|SIN|IND//det//149 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//149 bestämmelse//NN|UTR|SIN|IND|NOM//nsubj//146 i//PP//case//151 ämnet//NN|NEU|SIN|DEF|NOM//nmod//149 .//MAD//punct//146
Förslaget till lag om behandling av personuppgifter inom socialtjänsten Lagens tillämpningsområde, m.m.;I//PP//case//155 den//DT|UTR|SIN|DEF//det//155 mån//NN|UTR|SIN|IND|NOM//obl//165 det//PN|NEU|SIN|DEF|SUB/OBJ//nmod//155 ,//MID//punct//156 som//HP|-|-|-//nsubj//163 t.ex.//AB|AN//advmod//163 i//PP//case//163 64//RG|NOM//nummod//162 §//NN|AN//nmod//163 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//acl:relcl//156 ,//MID//punct//165 finns//VB|PRS|SFO//advcl//146 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//167 föreskrifter//NN|UTR|PLU|IND|NOM//nsubj//165 i//PP//case//169 lag//NN|UTR|SIN|IND|NOM//obl//165 eller//KN//cc//171 förordning//NN|UTR|SIN|IND|NOM//conj//169 om//PP//mark//173 utlämnande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//171 av//PP//case//175 uppgifter//NN|UTR|PLU|IND|NOM//nmod//173 för//PP//case//177 forskningsändamål//NN|NEU|PLU|IND|NOM//nmod//175 ,//MID//punct//165 gäller//VB|PRS|AKT//conj//146 dessa//DT|UTR/NEU|PLU|DEF//det//181 bestämmelser//NN|UTR|PLU|IND|NOM//obj//179 före//PP//case//184 personuppgiftslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//184 regler//NN|UTR|PLU|IND|NOM//obl//179 (//PAD//punct//184 2//RG|NOM//nummod//187 §//NN|AN//nmod//188 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//appos//184 )//PAD//punct//146 .//MAD//punct//4

När personuppgifter får behandlas och ändamålen med behandlingen av personuppgifter;Bestämningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//7 av//PP//case//2 ändamål//NN|NEU|SIN|IND|NOM//nmod//0 för//PP//case//4 behandlingen//NN|UTR|SIN|DEF|NOM//nmod//2 av//PP//case//6 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//4 anses//VB|PRS|SFO//ROOT//7 vara//VB|INF|AKT//xcomp//7 av//PP//case//11 central//JJ|POS|UTR|SIN|IND|NOM//amod//11 betydelse//NN|UTR|SIN|IND|NOM//obl//7 från//PP//case//13 integritetssynpunkt//NN|UTR|SIN|IND|NOM//obl//7 .//MAD//punct//7
När personuppgifter får behandlas och ändamålen med behandlingen av personuppgifter;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//19 har//VB|PRS|AKT//aux//19 därför//AB//advmod//19 noga//AB//advmod//19 övervägt//PC|PRF|NEU|SIN|IND|NOM//parataxis//7 om//SN//mark//24 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//24 skulle//VB|PRT|AKT//aux//24 vara//VB|INF|AKT//cop//24 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//19 att//IE//mark//30 direkt//AB|POS//advmod//30 i//PP//case//28 lagen//NN|UTR|SIN|DEF|NOM//obl//30 uttömmande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 ange//VB|INF|AKT//csubj//24 för//PP//case//34 vilka//HD|UTR/NEU|PLU|IND//det//33 ändamål//NN|NEU|PLU|IND|NOM//amod//34 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//37 skall//VB|PRS|AKT//aux//37 få//VB|INF|AKT//aux//37 behandlas//VB|INF|SFO//ccomp//30 inom//PP//case//39 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//37 .//MAD//punct//7
När personuppgifter får behandlas och ändamålen med behandlingen av personuppgifter;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//45 har//VB|PRS|AKT//aux//45 emellertid//AB//advmod//42 av//PP//case//45 skäl//NN|NEU|PLU|IND|NOM//parataxis//7 som//HP|-|-|-//nsubj:pass//47 redovisas//VB|PRS|SFO//acl:relcl//45 utförligt//AB|POS//advmod//47 i//PP//case//51 avsnitt//NN|NEU|SIN|IND|NOM//nmod//51 6.3//RG|NOM//obl//47 ansett//VB|SUP|AKT//conj//45 att//SN//mark//57 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//57 inte//AB//advmod//57 är//VB|PRS|AKT//cop//57 möjligt//JJ|POS|NEU|SIN|IND|NOM//ccomp//52 att//IE//mark//59 föreslå//VB|INF|AKT//csubj//57 en//DT|UTR|SIN|IND//det//62 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//62 lösning//NN|UTR|SIN|IND|NOM//obj//59 .//MAD//punct//45
När personuppgifter får behandlas och ändamålen med behandlingen av personuppgifter;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 i//PP//advmod//4 stället//NN|NEU|SIN|DEF|NOM//fixed//2 stannat//VB|SUP|AKT//ROOT//4 för//PP//case//7 en//DT|UTR|SIN|IND//det//7 modell//NN|UTR|SIN|IND|NOM//obl//4 som//HP|-|-|-//nsubj//9 innebär//VB|PRS|AKT//acl:relcl//7 att//SN//mark//12 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//12 överlåts//VB|PRS|SFO//ccomp//9 på//PP//case//15 de//DT|UTR/NEU|PLU|DEF//det//15 personuppgiftsansvariga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//12 i//PP//case//18 respektive//AB//amod//18 verksamhet//NN|UTR|SIN|IND|NOM//obl//12 att//SN//mark//28 –//RG|NOM//punct//26 inom//PP//case//22 en//PN|UTR|SIN|IND|SUB/OBJ//det//26 i//PP//case//24 lagen//NN|UTR|SIN|DEF|NOM//nmod//26 angiven//PC|PRF|UTR|SIN|IND|NOM//amod//26 ram//NN|UTR|SIN|IND|NOM//obl//28 –//PAD//punct//28 ange//VB|INF|AKT//advcl//12 de//DT|UTR/NEU|PLU|DEF//det//30 ändamål//NN|NEU|PLU|IND|NOM//obj//28 för//PP//case//33 vilka//HD|UTR/NEU|PLU|IND//det//33 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//36 skall//VB|PRS|AKT//aux//36 få//VB|INF|AKT//aux//36 behandlas//VB|INF|SFO//advcl//28 inom//PP//case//38 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//36 .//MAD//punct//4
När personuppgifter får behandlas och ändamålen med behandlingen av personuppgifter;En//DT|UTR|SIN|IND//det//42 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//42 modell//NN|UTR|SIN|IND|NOM//nsubj//43 framstår//VB|PRS|AKT//conj//4 –//RG|NOM//punct//45 menar//VB|PRS|AKT//conj//4 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//45 –//RG|NOM//punct//46 som//KN//case//50 den//DT|UTR|SIN|DEF//det//50 bästa//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//obl//45 inte//AB//advmod//56 bara//AB//fixed//51 när//HA//case//56 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//53 gäller//VB|PRS|AKT//fixed//53 skyddet//NN|NEU|SIN|DEF|NOM//obj//50 för//PP//case//61 den//DT|UTR|SIN|DEF//det//59 enskildes//JJ|POS|MAS|SIN|DEF|GEN//nmod:poss//61 personliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//61 integritet//NN|UTR|SIN|IND|NOM//nmod//56 utan//KN//cc//67 även//AB//advmod//67 när//HA//case//67 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//64 gäller//VB|PRS|AKT//fixed//64 verksamheten//NN|UTR|SIN|DEF|NOM//conj//50 inom//PP//case//69 socialtjänsten//NN|UTR|SIN|DEF|NOM//nmod//67 .//MAD//punct//4
När personuppgifter får behandlas och ändamålen med behandlingen av personuppgifter;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//2 innebär//VB|PRS|AKT//ROOT//2 således//AB//advmod//2 att//SN//mark//8 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//8 i//PP//case//7 lagen//NN|UTR|SIN|DEF|NOM//obl//8 föreskrivs//VB|PRS|SFO//ccomp//2 att//SN//mark//19 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//19 ,//MID//punct//16 förutom//PP//advmod//16 med//PP//case//16 den//DT|UTR|SIN|DEF//det//16 registrerades//JJ|POS|MAS|SIN|DEF|GEN//amod//16 samtycke//NN|NEU|SIN|IND|NOM//nmod//10 ,//MID//punct//19 får//VB|PRS|AKT//aux//19 behandlas//VB|INF|SFO//ccomp//8 bara//AB//advmod//19 om//SN//mark//24 behandlingen//NN|UTR|SIN|DEF|NOM//nsubj//24 är//VB|PRS|AKT//cop//24 nödvändig//JJ|POS|UTR|SIN|IND|NOM//advcl//8 för//PP//mark//34 att//SN//mark//34 en//DT|UTR|SIN|IND//det//29 arbets//NN|UTR|SIN|IND|GEN//nmod:poss//29 uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//34 inom//PP//case//31 socialtjänsten//NN|UTR|SIN|DEF|NOM//nmod//29 skall//VB|PRS|AKT//aux//34 kunna//VB|INF|AKT//aux//34 utföras//VB|INF|SFO//advcl//24 .//MAD//punct//2
När personuppgifter får behandlas och ändamålen med behandlingen av personuppgifter;Lagen//NN|UTR|SIN|DEF|NOM//nsubj//37 hindrar//VB|PRS|AKT//parataxis//2 dock//AB//advmod//37 inte//AB//advmod//37 att//SN//mark//42 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//42 lämnas//VB|PRS|SFO//ccomp//37 ut//PL//compound:prt//42 ,//MID//punct//42 om//SN//mark//47 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//47 följer//VB|PRS|AKT//advcl//42 av//PP//compound:prt//47 lag//NN|UTR|SIN|IND|NOM//obl//47 eller//KN//cc//51 förordning//NN|UTR|SIN|IND|NOM//conj//49 .//MAD//punct//37
När personuppgifter får behandlas och ändamålen med behandlingen av personuppgifter;I//PP//case//54 lagen//NN|UTR|SIN|DEF|NOM//obl//55 regleras//VB|PRS|SFO//conj//37 inte//AB//advmod//55 för//PP//case//60 vilka//HD|UTR/NEU|PLU|IND//det//59 ändamål//NN|NEU|PLU|IND|NOM//nmod//60 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//63 skall//VB|PRS|AKT//aux//63 få//VB|INF|AKT//aux//63 behandlas//VB|INF|SFO//advcl//55 inom//PP//case//65 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//63 .//MAD//punct//2
När personuppgifter får behandlas och ändamålen med behandlingen av personuppgifter;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//68 ankommer//VB|PRS|AKT//parataxis//2 således//AB//advmod//68 på//PP//case//72 de//DT|UTR/NEU|PLU|DEF//det//72 personuppgiftsansvariga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//68 i//PP//case//75 respektive//AB//amod//75 verksamhet//NN|UTR|SIN|IND|NOM//obl//68 att//IE//mark//104 med//PP//case//78 beaktande//NN|NEU|SIN|IND|NOM//obl//104 av//PP//case//81 9//RG|NOM//nummod//81 §//NN|AN//nmod//78 första//RO|NOM//amod//83 stycket//NN|NEU|SIN|DEF|NOM//nmod//78 c//NN|NEU|SIN|IND|NOM//case//85 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//83 –//PAD//punct//83 dvs.//AB|AN//advmod//88 bestämmelsen//NN|UTR|SIN|DEF|NOM//appos//83 att//SN//mark//93 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//93 bara//AB//advmod//93 får//VB|PRS|AKT//aux//93 samlas//VB|INF|SFO//acl//88 in//PL//compound:prt//93 för//PP//case//102 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//102 ,//MID//punct//99 uttryckligt//AB|POS//advmod//99 angivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//102 och//KN//cc//101 berättigade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//99 ändamål//NN|NEU|SIN|IND|NOM//obl//93 –//PAD//punct//104 ange//VB|INF|AKT//acl//75 för//PP//mark//109 vilka//HD|UTR/NEU|PLU|IND//det//107 ändamål//NN|NEU|PLU|IND|NOM//amod//108 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//109 behandlas//VB|PRS|SFO//ccomp//104 .//MAD//punct//68
När personuppgifter får behandlas och ändamålen med behandlingen av personuppgifter;Endast//AB//amod//112 ändamål//NN|NEU|SIN|IND|NOM//nsubj//129 som//HP|-|-|-//nsubj//115 är//VB|PRS|AKT//cop//115 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//112 för//PP//mark//125 att//SN//mark//125 en//DT|UTR|SIN|IND//det//120 arbets//NN|UTR|SIN|IND|GEN//nmod:poss//120 uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//125 inom//PP//case//122 socialtjänsten//NN|UTR|SIN|DEF|NOM//nmod//120 skall//VB|PRS|AKT//aux//125 kunna//VB|INF|AKT//aux//125 utföras//VB|INF|SFO//acl//112 kan//VB|PRS|AKT//aux//129 därvid//AB//advmod//129 vara//VB|INF|AKT//cop//129 berättigade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//68 .//MAD//punct//2

Vilka kategorier av personuppgifter bör få behandlas?;Föreskrifterna//NN|UTR|PLU|DEF|NOM//nsubj//78 i//PP//case//3 9//RG|NOM//nummod//3 §//NN|AN//nmod//0 första//RO|NOM//amod//5 stycket//NN|NEU|SIN|DEF|NOM//nmod//3 e//NN|NEU|SIN|IND|NOM//nummod//9 och//KN//fixed//6 f//NN|NEU|SIN|IND|NOM//fixed//6 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//0 –//RG|NOM//punct//9 att//SN//mark//56 de//DT|UTR/NEU|PLU|DEF//det//13 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj//56 som//HP|-|-|-//nsubj:pass//15 behandlas//VB|PRS|SFO//acl:relcl//13 skall//VB|PRS|AKT//aux//18 vara//VB|INF|AKT//cop//18 adekvata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//15 och//KN//cc//20 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//18 i//PP//case//24 förhållande//NN|NEU|SIN|IND|NOM//fixed//21 till//PP//fixed//21 ändamålen//NN|NEU|PLU|DEF|NOM//obl//20 med//PP//case//26 behandlingen//NN|UTR|SIN|DEF|NOM//obl//20 samt//KN//cc//33 att//SN//mark//33 inte//AB//advmod//30 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//31 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//33 får//VB|PRS|AKT//aux//33 behandlas//VB|INF|SFO//conj//13 än//KN//mark//37 som//HP|-|-|-//nsubj//37 är//VB|PRS|AKT//cop//37 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//advcl//33 med//PP//case//41 hänsyn//NN|UTR|SIN|IND|NOM//fixed//38 till//PP//case//41 ändamålen//NN|NEU|PLU|DEF|NOM//obl//37 med//PP//case//43 behandlingen//NN|UTR|SIN|DEF|NOM//obl//37 –//PM|NOM//punct//48 och//KN//cc//48 viss//JJ|POS|UTR|SIN|IND|NOM//amod//48 annan//JJ|POS|UTR|SIN|IND|NOM//amod//48 lagstiftning//NN|UTR|SIN|IND|NOM//conj//43 ,//MID//punct//48 t.ex.//AB|AN//advmod//52 socialtjänstlagens//NN|UTR|SIN|DEF|GEN//nmod:poss//52 bestämmelser//NN|UTR|PLU|IND|NOM//appos//48 om//PP//case//54 dokumentation//NN|UTR|SIN|IND|NOM//nmod//52 ,//MID//punct//48 innebär//VB|PRS|AKT//acl//0 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 begränsningar//NN|UTR|PLU|IND|NOM//obj//56 av//PP//case//61 vilka//HD|UTR/NEU|PLU|IND//det//61 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//58 som//HP|-|-|-//nsubj:pass//64 får//VB|PRS|AKT//aux//64 behandlas//VB|INF|SFO//acl:relcl//61 .//MAD//punct//0
Vilka kategorier av personuppgifter bör få behandlas?;Det//DT|NEU|SIN|DEF//det//68 s//NN|NEU|SIN|IND|GEN//nummod//68 kydd//NN|NEU|SIN|IND|NOM//nmod//0 som//HP|-|-|-//obj//72 dessa//DT|UTR/NEU|PLU|DEF//det//71 föreskrifter//NN|UTR|PLU|IND|NOM//nsubj//72 ger//VB|PRS|AKT//acl:relcl//68 för//PP//case//76 den//DT|UTR|SIN|DEF//det//76 personliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//76 integriteten//NN|UTR|SIN|DEF|NOM//obl//72 är//VB|PRS|AKT//cop//78 menar//VB|PRS|AKT//ROOT//78 utredningen//NN|UTR|SIN|DEF|NOM//obj//78 tillräckligt//AB|POS//xcomp//78 .//MAD//punct//78
