Statsrådet Lars-Erik Lövdén ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 bemyndigade//VB|PRT|AKT//ROOT//1 genom//PP//case//3 beslut//NN|NEU|SIN|IND|NOM//obl//1 den//DT|UTR|SIN|DEF//det//6 21//RG|NOM//nummod//6 december//NN|UTR|SIN|IND|NOM//obl//1 2000//RG|NOM//nummod//6 det//DT|NEU|SIN|DEF//det//9 statsråd//NN|NEU|SIN|IND|NOM//obl//1 som//HP|-|-|-//nsubj//11 ansvarar//VB|PRS|AKT//acl:relcl//9 för//PP//case//13 frågor//NN|UTR|PLU|IND|NOM//obl//11 om//PP//case//16 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//16 ekonomi//NN|UTR|SIN|IND|NOM//nmod//13 att//IE//mark//18 tillkalla//VB|INF|AKT//acl//16 en//DT|UTR|SIN|IND//det//21 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//21 utredare//NN|UTR|SIN|IND|NOM//obj//18 med//PP//case//23 uppdrag//NN|NEU|SIN|IND|NOM//obl//18 att//IE//mark//25 utreda//VB|INF|AKT//acl//23 frågan//NN|UTR|SIN|DEF|NOM//obj//25 om//PP//case//28 kontroll//NN|UTR|SIN|IND|NOM//nmod//26 och//KN//cc//30 omprövning//NN|UTR|SIN|IND|NOM//conj//28 av//PP//case//32 beslut//NN|NEU|SIN|IND|NOM//nmod//30 om//PP//case//34 utbetalning//NN|UTR|SIN|IND|NOM//obl//25 i//PP//case//36 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//nmod//34 .//MAD//punct//1
5.1 Förutsättningar för rätt till ersättning;Detta//PN|NEU|SIN|DEF|SUB/OBJ//parataxis//57 trots//PP//mark//105 att//SN//mark//105 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//105 för//PP//case//103 samma//DT|UTR/NEU|SIN/PLU|IND//amod//103 år//NN|NEU|SIN|IND|NOM//obl//105 kunnat//VB|SUP|AKT//aux//105 redovisa//VB|INF|AKT//acl//97 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//107 belopp//NN|NEU|PLU|IND|NOM//obj//105 i//PP//case//110 utgående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//110 mervärdesskatt//NN|UTR|SIN|IND|NOM//obl//105 och//KN//cc//115 för//PP//case//114 angränsande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//114 år//NN|NEU|PLU|IND|NOM//obl//115 redovisat//VB|SUP|AKT//conj//105 ingående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//117 mervärdesskatt//NN|UTR|SIN|IND|NOM//obj//115 i//PP//case//121 det//DT|NEU|SIN|DEF//det//121 ordinarie//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//121 systemet//NN|NEU|SIN|DEF|NOM//obl//115 .//MAD//punct//57
5.1 Förutsättningar för rätt till ersättning;Riksrevisionsverket//NN|NEU|SIN|DEF|NOM//nsubj//125 har//VB|PRS|AKT//aux//125 tolkat//VB|SUP|AKT//conj//57 detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//125 som//KN//case//129 en//DT|UTR|SIN|IND//det//129 indikation//NN|UTR|SIN|IND|NOM//xcomp//125 på//PP//mark//134 att//SN//mark//134 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//133 kommuner//NN|UTR|PLU|IND|NOM//nsubj//134 redovisat//VB|SUP|AKT//acl//129 all//DT|UTR|SIN|IND/DEF//det//137 ingående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//137 mervärdesskatt//NN|UTR|SIN|IND|NOM//obj//134 dessa//DT|UTR/NEU|PLU|DEF//det//139 år//NN|NEU|PLU|IND|NOM//obl//134 i//PP//case//141 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//obl//134 .//MAD//punct//125
5.1 Förutsättningar för rätt till ersättning;Vid//PP//case//145 en//DT|UTR|SIN|IND//det//145 jämförelse//NN|UTR|SIN|IND|NOM//obl//161 mellan//PP//case//149 redovisad//PC|PRF|UTR|SIN|IND|NOM//amod//149 ingående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//149 mervärdesskatt//NN|UTR|SIN|IND|NOM//nmod//145 i//PP//case//153 det//DT|NEU|SIN|DEF//det//153 ordinarie//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//153 systemet//NN|NEU|SIN|DEF|NOM//nmod//149 och//KN//cc//156 mervärdesskatteanknutna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//156 utgifter//NN|UTR|PLU|IND|NOM//conj//153 i//PP//case//158 affärsverksamheter//NN|UTR|PLU|IND|NOM//nmod//156 har//VB|PRS|AKT//aux//161 Riksrevisionsverket//NN|NEU|SIN|DEF|NOM//nsubj//161 funnit//VB|SUP|AKT//conj//125 en//DT|UTR|SIN|IND//det//164 stor//JJ|POS|UTR|SIN|IND|NOM//amod//164 differens//NN|UTR|SIN|IND|NOM//obj//161 ,//MID//punct//169 vilket//HP|NEU|SIN|IND//nsubj//169 enligt//PP//case//168 verket//NN|NEU|SIN|DEF|NOM//obl//169 indikerar//VB|PRS|AKT//conj//125 att//SN//mark//181 ingående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//172 mervärdesskatt//NN|UTR|SIN|IND|NOM//nsubj:pass//181 som//HP|-|-|-//nsubj//174 belöper//VB|PRS|AKT//acl:relcl//172 på//PP//case//176 utgifter//NN|UTR|PLU|IND|NOM//obl//174 i//PP//case//180 den//DT|UTR|SIN|DEF//det//180 kommersiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//180 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//176 redovisas//VB|PRS|SFO//ccomp//169 mot//PP//case//183 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//obl//181 .//MAD//punct//11
5.1 Förutsättningar för rätt till ersättning;Som//HA//mark//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//3 strax//AB//advmod//3 återkommer//VB|PRS|AKT//advcl//13 till//PP//compound:prt//3 torde//VB|PRT|AKT//aux//13 förfaringssättet//NN|NEU|SIN|DEF|NOM//nsubj//13 i//PP//case//9 vart//DT|NEU|SIN|IND//det//9 fall//NN|NEU|SIN|IND|NOM//obl//13 till//PP//case//12 en//DT|UTR|SIN|IND//det//12 del//NN|UTR|SIN|IND|NOM//obl//13 bero//VB|INF|AKT//ROOT//13 på//PP//case//15 svårigheter//NN|UTR|PLU|IND|NOM//obl//13 att//IE//mark//17 hänföra//VB|INF|AKT//acl//15 mervärdesskatten//NN|UTR|SIN|DEF|NOM//obj//17 till//PP//case//21 rätt//JJ|POS|NEU|SIN|IND|NOM//amod//21 system//NN|NEU|SIN|IND|NOM//obl//17 .//MAD//punct//13
5.1 Förutsättningar för rätt till ersättning;Lagen//NN|UTR|SIN|DEF|NOM//nsubj//32 om//PP//case//25 mervärdesskattekonton//NN|NEU|PLU|IND|NOM//nmod//23 samt//KN//cc//27 förordningen//NN|UTR|SIN|DEF|NOM//conj//25 om//PP//case//29 ersättning//NN|UTR|SIN|IND|NOM//nmod//27 för//PP//case//31 mervärdesskatt//NN|UTR|SIN|IND|NOM//nmod//29 innehåller//VB|PRS|AKT//parataxis//13 få//JJ|POS|UTR/NEU|PLU|IND|NOM//xcomp//32 materiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 regler//NN|UTR|PLU|IND|NOM//obj//33 .//MAD//punct//13
5.1 Förutsättningar för rätt till ersättning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//41 kan//VB|PRS|AKT//aux//41 vara//VB|INF|AKT//cop//41 mycket//AB|POS//advmod//41 komplicerat//PC|PRF|NEU|SIN|IND|NOM//conj//13 att//IE//mark//43 applicera//VB|INF|AKT//csubj//41 de//DT|UTR/NEU|PLU|DEF//det//46 materiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 reglerna//NN|UTR|PLU|DEF|NOM//obj//43 på//PP//case//51 den//DT|UTR|SIN|DEF//det//51 faktiskt//AB|POS//advmod//50 bedrivna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//51 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//46 .//MAD//punct//41
5.1 Förutsättningar för rätt till ersättning;Därtill//AB//advmod//59 kommer//VB|PRS|AKT//aux//59 att//SN//mark//59 de//DT|UTR/NEU|PLU|DEF//det//58 faktiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 konteringarna//NN|UTR|PLU|DEF|NOM//nsubj//59 sker//VB|PRS|AKT//conj//41 på//PP//case//61 handläggarnivå//NN|UTR|SIN|IND|NOM//obl//59 .//MAD//punct//41
5.1 Förutsättningar för rätt till ersättning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//66 har//VB|PRS|AKT//aux//66 dock//AB//advmod//66 anförts//VB|SUP|SFO//parataxis//41 att//SN//mark//69 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//69 finns//VB|PRS|SFO//ccomp//66 ett//DT|NEU|SIN|IND//det//73 inbyggt//PC|PRF|NEU|SIN|IND|NOM//amod//73 ”//PAD//punct//71 incitament//NN|NEU|SIN|IND|NOM//nsubj//69 ”//PAD//punct//73 för//PP//case//76 kommunerna//NN|UTR|PLU|DEF|NOM//obl//69 att//IE//mark//79 inte//AB//advmod//79 redovisa//VB|INF|AKT//acl//76 mer//AB|KOM//advmod//82 än//KN//mark//82 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//79 av//PP//case//86 den//DT|UTR|SIN|DEF//det//86 ingående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//86 mervärdesskatten//NN|UTR|SIN|DEF|NOM//nmod//82 i//PP//case//90 det//DT|NEU|SIN|DEF//det//90 ordinarie//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//90 mervärdesskattesystemet//NN|NEU|SIN|DEF|NOM//nmod//86 .//MID//punct//66
5.1 Förutsättningar för rätt till ersättning;Om//SN//mark//95 kommunen//NN|UTR|SIN|DEF|NOM//nsubj//95 felaktigt//AB|POS//advmod//95 redovisar//VB|PRS|AKT//advcl//115 för//AB//case//99 mycket//AB|POS//advmod//98 ingående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//99 mervärdesskatt//NN|UTR|SIN|IND|NOM//obl//95 och//KN//cc//102 därmed//AB//advmod//102 minskar//VB|PRS|AKT//conj//95 den//DT|UTR|SIN|DEF//det//104 skuld//NN|UTR|SIN|IND|NOM//nsubj//102 till//PP//case//106 staten//NN|UTR|SIN|DEF|NOM//obl//102 som//KN//obj//111 den//DT|UTR|SIN|DEF//det//110 utgående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//110 mervärdesskatten//NN|UTR|SIN|DEF|NOM//nsubj//111 utgör//VB|PRS|AKT//acl:relcl//106 ,//MID//punct//95 kan//VB|PRS|AKT//aux//115 kommunen//NN|UTR|SIN|DEF|NOM//nsubj:pass//115 drabbas//VB|INF|SFO//advcl//41 av//PP//case//118 skattesystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//118 sanktioner//NN|UTR|PLU|IND|NOM//obl:agent//115 .//MAD//punct//41
5.1 Förutsättningar för rätt till ersättning;Fördelningen//NN|UTR|SIN|DEF|NOM//nsubj//7 av//PP//case//2 mervärdesskatt//NN|UTR|SIN|IND|NOM//nmod//0 i//PP//case//5 blandad//PC|PRF|UTR|SIN|IND|NOM//amod//5 verksamhet//NN|UTR|SIN|IND|NOM//nmod//2 torde//VB|PRT|AKT//aux//7 förorsaka//VB|INF|AKT//ROOT//7 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//9 problem//NN|NEU|PLU|IND|NOM//obj//7 för//PP//case//11 kommunerna//NN|UTR|PLU|DEF|NOM//obl//7 .//MAD//punct//7
5.1 Förutsättningar för rätt till ersättning;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//15 kan//VB|PRS|AKT//aux//15 leda//VB|INF|AKT//parataxis//7 till//PP//mark//22 att//SN//mark//22 kommunerna//NN|UTR|PLU|DEF|NOM//nsubj//22 i//PP//case//21 viss//JJ|POS|UTR|SIN|IND|NOM//amod//21 utsträckning//NN|UTR|SIN|IND|NOM//obl//22 redovisar//VB|PRS|AKT//advcl//15 mervärdesskatt//NN|UTR|SIN|IND|NOM//obj//22 hänförlig//JJ|POS|UTR|SIN|IND|NOM//xcomp//22 till//PP//case//28 det//DT|NEU|SIN|DEF//det//28 ordinarie//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 mervärdesskattesystemet//NN|NEU|SIN|DEF|NOM//obl//22 mot//PP//case//30 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//nmod//28 .//MAD//punct//15
5.1 Förutsättningar för rätt till ersättning;Så//AB//advmod//35 kan//VB|PRS|AKT//aux//35 vara//VB|INF|AKT//cop//35 fallet//NN|NEU|SIN|DEF|NOM//conj//15 t.ex.//AB|AN//advmod//51 när//HA//case//51 försäljningen//NN|UTR|SIN|DEF|NOM//nsubj//51 till//PP//case//40 allmänheten//NN|UTR|SIN|DEF|NOM//nmod//38 inom//PP//case//46 ramen//NN|UTR|SIN|DEF|NOM//fixed//41 för//PP//fixed//41 den//DT|UTR|SIN|DEF//det//46 egentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//46 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//40 är//VB|PRS|AKT//cop//51 av//PP//case//51 mycket//AB|POS//advmod//50 begränsad//PC|PRF|UTR|SIN|IND|NOM//amod//51 omfattning//NN|UTR|SIN|IND|NOM//obl//35 och//KN//cc//54 kommunen//NN|UTR|SIN|DEF|NOM//nsubj//54 upplever//VB|PRS|AKT//conj//35 att//SN//mark//59 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//59 är//VB|PRS|AKT//cop//59 administrativt//AB|POS//advmod//59 betungande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//54 att//IE//mark//61 använda//VB|INF|AKT//csubj//59 fördelningsnycklar//NN|UTR|PLU|IND|NOM//obj//61 för//PP//mark//65 att//IE//mark//65 beräkna//VB|INF|AKT//advcl//61 hur//HA//advmod//67 mycket//PN|NEU|SIN|IND|SUB/OBJ//advmod//65 av//PP//case//71 den//DT|UTR|SIN|DEF//det//71 ingående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//71 mervärdesskatten//NN|UTR|SIN|DEF|NOM//nmod//67 som//HP|-|-|-//nsubj:pass//75 rätteligen//AB//nsubj:pass//75 borde//VB|PRT|AKT//aux//75 deklareras//VB|INF|SFO//acl:relcl//71 till//PP//case//77 skattemyndigheten//NN|UTR|SIN|DEF|NOM//obl//75 .//MAD//punct//81
5.1 Förutsättningar för rätt till ersättning;För//PP//case//80 kommunen//NN|UTR|SIN|DEF|NOM//obl//81 framstår//VB|PRS|AKT//conj//59 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//81 kanske//AB//advmod//81 inte//AB//advmod//81 heller//AB//advmod//81 som//KN//mark//87 självklart//JJ|POS|NEU|SIN|IND|NOM//xcomp//81 att//SN//mark//92 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//90 utgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//92 skall//VB|PRS|AKT//aux//92 fördelas//VB|INF|SFO//advcl//81 .//MAD//punct//35
5.1 Förutsättningar för rätt till ersättning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//97 kan//VB|PRS|AKT//aux//97 vidare//AB|KOM//advmod//97 hända//VB|INF|AKT//parataxis//35 att//SN//mark//99 mervärdesskatt//NN|UTR|SIN|IND|NOM//csubj//97 på//PP//case//101 investeringar//NN|UTR|PLU|IND|NOM//nmod//99 som//HP|-|-|-//nsubj:pass//103 används//VB|PRS|SFO//acl:relcl//101 i//PP//case//107 både//KN//cc//107 den//DT|UTR|SIN|DEF//det//107 affärsmässiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//obl//103 och//KN//cc//113 den//DT|UTR|SIN|DEF//det//111 egentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//111 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//113 inte//AB//advmod//113 fördelas//VB|PRS|SFO//conj//103 .//MAD//punct//7
5.1 Förutsättningar för rätt till ersättning;Störst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//amod//1 problem//NN|NEU|SIN|IND|NOM//nsubj//2 torde//VB|PRT|AKT//aux//9 ändå//AB//advmod//2 schablonersättningarna//NN|UTR|PLU|DEF|NOM//nsubj//9 för//PP//case//8 den//DT|UTR|SIN|DEF//det//8 dolda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//8 mervärdesskatten//NN|UTR|SIN|DEF|NOM//nmod//4 förorsaka//VB|INF|AKT//ROOT//9 kommunerna//NN|UTR|PLU|DEF|NOM//obj//9 .//MAD//punct//9
5.1 Förutsättningar för rätt till ersättning;Svårigheterna//NN|UTR|PLU|DEF|NOM//nsubj//15 kan//VB|PRS|AKT//aux//15 t.ex.//AB|AN//advmod//15 bestå//VB|INF|AKT//parataxis//9 i//PP//mark//18 att//IE//mark//18 identifiera//VB|INF|AKT//advcl//15 vad//HP|NEU|SIN|IND//dislocated//46 som//HP|-|-|-//nsubj:pass//25 vid//PP//case//23 en//DT|UTR|SIN|IND//det//23 upphandling//NN|UTR|SIN|IND|NOM//obl//25 kan//VB|PRS|AKT//aux//25 anses//VB|INF|SFO//acl:relcl//19 vara//VB|INF|AKT//xcomp//25 att//IE//mark//28 hänföra//VB|INF|AKT//csubj//25 till//PP//case//31 social//JJ|POS|UTR|SIN|IND|NOM//amod//31 omsorg//NN|UTR|SIN|IND|NOM//obl//28 ,//MID//punct//33 utbildning//NN|UTR|SIN|IND|NOM//conj//31 m.m.//AB|AN//conj//31 Omfattningen//NN|UTR|SIN|DEF|NOM//nsubj//46 av//PP//case//38 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 redovisningar//NN|UTR|PLU|IND|NOM//nmod//35 i//PP//case//41 denna//DT|UTR|SIN|DEF//det//41 del//NN|UTR|SIN|IND|NOM//nmod//35 torde//VB|PRT|AKT//aux//46 dock//AB//advmod//46 totalt//AB|POS//advmod//46 sett//PC|PRF|NEU|SIN|IND|NOM//aux//46 vara//VB|INF|AKT//ccomp//18 av//PP//case//49 marginell//JJ|POS|UTR|SIN|IND|NOM//amod//49 betydelse//NN|UTR|SIN|IND|NOM//obl//46 för//PP//case//51 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//nmod//49 .//MAD//punct//9
5.1 Förutsättningar för rätt till ersättning;Lydelsen//NN|UTR|SIN|DEF|NOM//nsubj//15 av//PP//case//3 5//RG|NOM//nummod//3 §//NN|AN//nmod//0 lagen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//6 mervärdesskattekonton//NN|NEU|PLU|IND|NOM//nmod//4 om//PP//mark//10 vad//HP|NEU|SIN|IND//det//10 som//HP|-|-|-//fixed//8 berättigar//VB|PRS|AKT//nmod//0 till//PP//case//12 ersättning//NN|UTR|SIN|IND|NOM//nmod//10 från//PP//case//14 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//nmod//12 motsäger//VB|PRS|AKT//ROOT//15 inte//AB//advmod//15 en//DT|UTR|SIN|IND//det//18 tolkning//NN|UTR|SIN|IND|NOM//obj//15 att//SN//mark//41 all//DT|UTR|SIN|IND/DEF//det//21 mervärdesskatt//NN|UTR|SIN|IND|NOM//nsubj//41 som//HP|-|-|-//nsubj:pass//24 inte//AB//advmod//24 dragits//VB|SUP|SFO//acl:relcl//21 av//PL//case//28 enligt//PP//case//27 mervärdesskattelagen//NN|UTR|SIN|DEF|NOM//obl//28 berättigar//VB|PRS|AKT//obl//24 till//PP//case//30 ersättning//NN|UTR|SIN|IND|NOM//obl//28 från//PP//case//32 kommunkontot//NN|NEU|SIN|DEF|NOM//nmod//30 .//MID//punct//21
5.1 Förutsättningar för rätt till ersättning;Att//SN//mark//40 en//DT|UTR|SIN|IND//det//37 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//37 tolkning//NN|UTR|SIN|IND|NOM//nsubj//40 inte//AB//advmod//40 är//VB|PRS|AKT//cop//40 avsedd//PC|PRF|UTR|SIN|IND|NOM//csubj//41 framgår//VB|PRS|AKT//acl//18 av//PP//case//43 förarbetena//NN|NEU|PLU|DEF|NOM//obl//41 till//PP//case//45 bestämmelsen//NN|UTR|SIN|DEF|NOM//nmod//43 .//MAD//punct//15
5.1 Förutsättningar för rätt till ersättning;Vi//PN|UTR|PLU|DEF|SUB//nsubj//48 menar//VB|PRS|AKT//parataxis//15 att//SN//mark//54 en//DT|UTR|SIN|IND//det//52 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//52 reglering//NN|UTR|SIN|IND|NOM//nsubj//54 är//VB|PRS|AKT//cop//54 nödvändig//JJ|POS|UTR|SIN|IND|NOM//ccomp//48 och//KN//cc//59 att//SN//mark//59 bestämmelsen//NN|UTR|SIN|DEF|NOM//nsubj:pass//59 bör//VB|PRS|AKT//aux//59 utformas//VB|INF|SFO//conj//54 i//PP//mark//65 enlighet//NN|UTR|SIN|IND|NOM//fixed//60 med//PP//fixed//60 vad//HP|NEU|SIN|IND//dislocated//65 som//HP|-|-|-//nsubj//65 anförts//VB|SUP|SFO//advcl//59 i//PP//case//67 förarbetena//NN|NEU|PLU|DEF|NOM//obl//65 .//MAD//punct//48
5.1 Förutsättningar för rätt till ersättning;Således//AB//advmod//75 bör//VB|PRS|AKT//aux//75 i//PP//case//73 5//RG|NOM//nummod//73 §//NN|AN//obl//75 uttryckligen//AB//advmod//75 anges//VB|PRS|SFO//advcl//48 att//SN//mark//78 ersättning//NN|UTR|SIN|IND|NOM//nsubj:pass//78 utges//VB|PRS|SFO//ccomp//75 endast//AB//advmod//83 för//PP//case//83 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//83 ingående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//83 mervärdesskatt//NN|UTR|SIN|IND|NOM//obl//78 som//HP|-|-|-//nsubj:pass//87 inte//AB//advmod//87 får//VB|PRS|AKT//aux//87 dras//VB|INF|SFO//acl:relcl//83 av//PL//case//90 enligt//PP//case//90 mervärdesskattelagen//NN|UTR|SIN|DEF|NOM//obl:agent//87 .//MID//punct//75
5.1 Förutsättningar för rätt till ersättning;Att//SN//mark//94 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//94 finns//VB|PRS|SFO//advcl//75 även//AB//advmod//94 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 begränsningar//NN|UTR|PLU|IND|NOM//nsubj//100 i//PP//case//99 ersättningsrätten//NN|UTR|SIN|DEF|NOM//nmod//97 framgår//VB|PRS|AKT//advcl//94 av//PP//case//103 6//RG|NOM//nummod//103 §//NN|AN//obl//100 lagen//NN|UTR|SIN|DEF|NOM//obl//100 om//PP//case//106 mervärdesskattekonton//NN|NEU|PLU|IND|NOM//nmod//104 och//KN//cc//109 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//109 hänvisningar//NN|UTR|PLU|IND|NOM//conj//106 till//PP//case//113 8//RG|NOM//nummod//112 kap.//NN|AN//nmod//113 mervärdesskattelagen//NN|UTR|SIN|DEF|NOM//nmod//109 .//MAD//punct//48

5.2 Behovet av kontroll;Lagen//NN|UTR|SIN|DEF|NOM//nsubj//3 om//PP//case//2 mervärdesskattekonton//NN|NEU|PLU|IND|NOM//nmod//0 innehåller//VB|PRS|AKT//ROOT//3 inte//AB//advmod//3 några//DT|UTR/NEU|PLU|IND//det//6 regler//NN|UTR|PLU|IND|NOM//obj//3 som//HP|-|-|-//nsubj//8 möjliggör//VB|PRS|AKT//acl:relcl//6 för//PP//case//10 beslutsmyndigheten//NN|UTR|SIN|DEF|NOM//obl//8 att//IE//mark//12 kontrollera//VB|INF|AKT//advcl//8 underlaget//NN|NEU|SIN|DEF|NOM//obj//12 för//PP//case//16 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//16 ansökningar//NN|UTR|PLU|IND|NOM//obl//12 om//PP//case//18 ersättning//NN|UTR|SIN|IND|NOM//nmod//16 eller//KN//cc//21 att//IE//mark//21 ompröva//VB|INF|AKT//conj//12 tidigare//AB|KOM//advmod//23 fattade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//24 beslut//NN|NEU|PLU|IND|NOM//obj//21 utöver//PP//mark//28 vad//HP|NEU|SIN|IND//dislocated//28 som//HP|-|-|-//nsubj//28 följer//VB|PRS|AKT//advcl//21 av//PP//case//30 förvaltningslagen//NN|UTR|SIN|DEF|NOM//obl//28 .//MAD//punct//3
5.2 Behovet av kontroll;Vi//PN|UTR|PLU|DEF|SUB//nsubj//4 skall//VB|PRS|AKT//aux//4 enligt//PP//case//3 direktiven//NN|NEU|PLU|DEF|NOM//obl//4 utarbeta//VB|INF|AKT//ROOT//4 förslag//NN|NEU|PLU|IND|NOM//obj//4 till//PP//mark//12 hur//HA//advmod//12 en//DT|UTR|SIN|IND//det//10 tillförlitlig//JJ|POS|UTR|SIN|IND|NOM//amod//10 kontroll//NN|UTR|SIN|IND|NOM//nsubj:pass//12 kan//VB|PRS|AKT//aux//12 tillskapas//VB|INF|SFO//acl//5 i//PP//case//14 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//obl//12 och//KN//cc//16 utarbeta//VB|INF|AKT//conj//12 regler//NN|UTR|PLU|IND|NOM//obj//16 om//PP//case//19 omprövning//NN|UTR|SIN|IND|NOM//nmod//17 av//PP//case//21 beslut//NN|NEU|SIN|IND|NOM//nmod//19 om//PP//case//23 ersättning//NN|UTR|SIN|IND|NOM//nmod//19 .//MAD//punct//4
5.2 Behovet av kontroll;En//DT|UTR|SIN|IND//det//26 utgångspunkt//NN|UTR|SIN|IND|NOM//appos//4 för//PP//case//28 kommunkontosystemet//NN|NEU|SIN|DEF|NOM//nmod//26 är//VB|PRS|AKT//cop//26 enligt//PP//case//31 direktiven//NN|NEU|PLU|DEF|NOM//obl//29 att//SN//mark//35 regelverket//NN|NEU|SIN|DEF|NOM//nsubj:pass//35 skall//VB|PRS|AKT//aux//35 tillämpas//VB|INF|SFO//acl//31 lika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//35 för//PP//case//39 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//39 kommuner//NN|UTR|PLU|IND|NOM//obl//35 och//KN//cc//41 landsting//NN|NEU|PLU|IND|NOM//conj//39 .//MAD//punct//4
