Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//1 utredning//NN|UTR|SIN|IND|NOM//nsubj:pass//2 tillsätts//VB|PRS|SFO//ROOT//2 med//PP//case//4 uppgift//NN|UTR|SIN|IND|NOM//obl//2 att//IE//mark//6 redovisa//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//9 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//9 syn//NN|UTR|SIN|IND|NOM//obj//6 på//PP//case//11 Försvarsmaktenspersonalförsörjning//NN|UTR|SIN|IND|NOM//obl//6 .//MAD//punct//2
Uppdraget;Personalförsörjningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//19 skall//VB|PRS|AKT//aux//19 därför//AB//advmod//19 utformas//VB|INF|SFO//parataxis//6 med//PP//case//25 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//20 från//PP//case//25 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//25 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//25 förutsättningar//NN|UTR|PLU|IND|NOM//obl//19 .//MAD//punct//6
Uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 belysa//VB|INF|AKT//ROOT//2 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//2 för//PP//advmod//2 och//KN//cc//6 lämna//VB|INF|AKT//conj//2 förslag//NN|NEU|SIN|IND|NOM//obj//6 till//PP//mark//13 hur//HA//advmod//13 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//13 skall//VB|PRS|AKT//aux//13 kunna//VB|INF|AKT//aux//13 rekrytera//VB|INF|AKT//advcl//6 ,//MID//punct//15 utveckla//VB|INF|AKT//conj//13 och//KN//cc//17 avveckla//VB|INF|AKT//conj//13 personal//NN|UTR|SIN|IND|NOM//obj//17 på//PP//case//23 ett//DT|NEU|SIN|IND//det//23 väl//AB|POS//advmod//22 avvägt//PC|PRF|NEU|SIN|IND|NOM//amod//23 sätt//NN|NEU|SIN|IND|NOM//nmod//18 och//KN//cc//26 över//PP//case//26 tiden//NN|UTR|SIN|DEF|NOM//conj//23 .//MAD//punct//2
Uppdraget;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//30 skall//VB|PRS|AKT//aux//30 avse//VB|INF|AKT//parataxis//2 alla//DT|UTR/NEU|PLU|IND/DEF//det//32 personalkategorier//NN|UTR|PLU|IND|NOM//obj//30 och//KN//cc//35 även//AB//advmod//35 beakta//VB|INF|AKT//conj//30 behovet//NN|NEU|SIN|DEF|NOM//obj//35 av//PP//case//38 jämställdhet//NN|UTR|SIN|IND|NOM//nmod//36 mellan//PP//case//40 könen//NN|NEU|PLU|DEF|NOM//nmod//38 samt//KN//cc//42 etnisk//JJ|POS|UTR|SIN|IND|NOM//amod//45 och//KN//cc//44 kulturell//JJ|POS|UTR|SIN|IND|NOM//conj//42 mångfald//NN|UTR|SIN|IND|NOM//conj//40 .//MAD//punct//30
Uppdraget;Åldersstrukturen//NN|UTR|SIN|DEF|NOM//nsubj:pass//55 för//PP//case//50 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//50 personalkategorier//NN|UTR|PLU|IND|NOM//nmod//47 inom//PP//case//52 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//50 skall//VB|PRS|AKT//aux//55 särskilt//AB//advmod//55 uppmärksammas//VB|INF|SFO//parataxis//30 .//MAD//punct//30
Uppdraget;Även//AB//advmod//2 anpassningsprincipens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 påverkan//NN|UTR|SIN|IND|NOM//nsubj:pass//6 på//PP//case//4 personalförsörjningen//NN|UTR|SIN|DEF|NOM//nmod//2 skall//VB|PRS|AKT//aux//6 belysas//VB|INF|SFO//ROOT//6 .//MAD//punct//11
Uppdraget;Härvid//AB//advmod//11 skall//VB|PRS|AKT//aux//11 särskilt//AB//advmod//11 belysas//VB|INF|SFO//parataxis//6 behovet//NN|NEU|SIN|DEF|NOM//nsubj:pass//11 av//PP//case//16 ett//DT|NEU|SIN|IND//det//16 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//16 reservofficerssystem//NN|NEU|SIN|IND|NOM//nmod//12 och//KN//cc//19 reservofficerarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//19 tjänstgöringsförhållanden//NN|UTR|SIN|DEF|NOM//conj//16 i//PP//case//21 fredstid//NN|UTR|SIN|IND|NOM//nmod//19 .//MAD//punct//11
Uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 skall//VB|PRS|AKT//aux//6 i//PP//case//4 sitt//PS|NEU|SIN|DEF//nmod:poss//4 arbete//NN|NEU|SIN|IND|NOM//obl//6 bl.a.//AB|AN//advmod//6 beakta//VB|INF|AKT//ROOT//6 vad//HP|NEU|SIN|IND//obj//9 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//9 anfört//VB|SUP|AKT//ccomp//6 i//PP//case//12 sitt//PS|NEU|SIN|DEF//nmod:poss//12 underlag//NN|NEU|SIN|IND|NOM//obl//9 till//PP//case//14 regeringen//NN|UTR|SIN|DEF|NOM//nmod//12 den//DT|UTR|SIN|DEF//det//17 19//RG|NOM//nummod//17 maj//NN|UTR|SIN|IND|NOM//obl//9 1999//RG|NOM//nummod//17 .//MAD//punct//6
Uppdraget;Rekrytering//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 personal//NN|UTR|SIN|IND|NOM//nmod//0
Uppdraget;Vad//HP|NEU|SIN|IND//nsubj//1 gäller//VB|PRS|AKT//ROOT//1 rekrytering//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//4 personal//NN|UTR|SIN|IND|NOM//nmod//2 skall//VB|PRS|AKT//aux//9 främst//AB|SUV//advmod//9 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//9 belysas//VB|INF|SFO//conj//1 ://MID//punct//9 –//PAD//punct//12
Uppdraget;möjligheten//NN|UTR|SIN|DEF|NOM//appos//9 att//IE//mark//14 anställa//VB|INF|AKT//acl//12 yrkesofficerare//NN|UTR|PLU|IND|NOM//obj//14 för//PP//case//18 viss//JJ|POS|UTR|SIN|IND|NOM//amod//18 tid//NN|UTR|SIN|IND|NOM//obl//14 ,//MID//punct//12 –//PAD//punct//21 möjligheten//NN|UTR|SIN|DEF|NOM//appos//12 att//IE//mark//30 för//PP//case//25 viss//JJ|POS|UTR|SIN|IND|NOM//amod//25 tid//NN|UTR|SIN|IND|NOM//obl//30 och//KN//cc//30 för//PP//case//29 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 uppgifter//NN|UTR|PLU|IND|NOM//obl//30 anställa//VB|INF|AKT//acl//21 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//30 som//HP|-|-|-//nsubj//34 nyligen//AB//advmod//34 fullgjort//VB|SUP|AKT//acl:relcl//31 värnplikt//NN|UTR|SIN|IND|NOM//obj//34 .//MAD//punct//12
Uppdraget;I//PP//case//1 rekryteringsfrågan//NN|UTR|SIN|DEF|NOM//obl//4 skall//VB|PRS|AKT//aux//4 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//4 redovisa//VB|INF|AKT//ROOT//4 vad//HP|NEU|SIN|IND//dislocated//8 som//HP|-|-|-//nsubj:pass//8 kan//VB|PRS|AKT//aux//8 göras//VB|INF|SFO//ccomp//4 inom//PP//case//14 ramen//NN|UTR|SIN|DEF|NOM//fixed//9 för//PP//fixed//9 nu//AB//fixed//9 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 regler//NN|UTR|PLU|IND|NOM//obl//8 och//KN//cc//21 ,//MID//punct//19 om//SN//mark//19 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//19 behövs//VB|PRS|SFO//advcl//21 ,//MID//punct//21 föreslå//VB|INF|AKT//conj//8 förändringar//NN|UTR|PLU|IND|NOM//obj//21 .//MAD//punct//4

Utvärdering av utbildningssystemet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 utvärdera//VB|INF|AKT//ROOT//2 det//DT|NEU|SIN|DEF//det//5 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 utbildningssystemet//NN|NEU|SIN|DEF|NOM//obj//2 för//PP//case//7 officerare//NN|UTR|PLU|IND|NOM//obl//2 i//PP//case//9 förhållande//NN|NEU|SIN|IND|NOM//nmod//7 till//PP//case//13 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//13 kommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//13 struktur//NN|UTR|SIN|IND|NOM//nmod//7 samt//KN//cc//15 se//VB|INF|AKT//conj//2 över//PL//case//17 utbildningsvolymerna//NN|UTR|PLU|DEF|NOM//obl//15 .//MAD//punct//2
Utvärdering av utbildningssystemet;Förändring//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 förmåner//NN|UTR|PLU|IND|NOM//nmod//0 till//PP//case//4 officersaspiranter//NN|UTR|PLU|IND|NOM//nmod//2
Utvärdering av utbildningssystemet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 belysa//VB|INF|AKT//ROOT//2 möjligheten//NN|UTR|SIN|DEF|NOM//obj//2 att//IE//mark//5 förändra//VB|INF|AKT//acl//3 förmånerna//NN|UTR|PLU|DEF|NOM//obj//5 till//PP//case//8 officersaspiranter//NN|UTR|PLU|IND|NOM//obl//5 under//PP//case//10 studier//NN|UTR|PLU|IND|NOM//obl//5 vid//PP//case//12 militärhögskolorna//NN|UTR|PLU|DEF|NOM//nmod//10 .//MAD//punct//2
Utvärdering av utbildningssystemet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//17 skall//VB|PRS|AKT//aux//17 bl.a.//AB|AN//advmod//17 beakta//VB|INF|AKT//parataxis//2 möjligheten//NN|UTR|SIN|DEF|NOM//obj//17 att//IE//mark//20 finansiera//VB|INF|AKT//acl//18 utbildningen//NN|UTR|SIN|DEF|NOM//obj//20 för//PP//case//23 yrkesofficersaspiranterna//NN|UTR|PLU|DEF|NOM//obl//20 med//PP//case//25 studiemedel//NN|NEU|SIN|IND|NOM//obl//20 .//MAD//punct//17
Utvärdering av utbildningssystemet;Utveckling//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 personal//NN|UTR|SIN|IND|NOM//nmod//0
Utvärdering av utbildningssystemet;När//HA//mark//3 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//0 gäller//VB|PRS|AKT//fixed//0 gäller//VB|PRS|AKT//advcl//12 utveckling//NN|UTR|SIN|IND|NOM//obj//3 av//PP//case//7 befintlig//JJ|POS|UTR|SIN|IND|NOM//amod//7 personal//NN|UTR|SIN|IND|NOM//nmod//4 skall//VB|PRS|AKT//aux//12 främst//AB|SUV//advmod//12 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//12 belysas//VB|INF|SFO//ROOT//12 ://MID//punct//12 –//RG|NOM//punct//20
Utvärdering av utbildningssystemet;en//DT|UTR|SIN|IND//det//20 väl//AB|POS//advmod//17 avvägd//PC|PRF|UTR|SIN|IND|NOM//amod//20 och//KN//cc//19 verksamhetseffektiv//JJ|POS|UTR|SIN|IND|NOM//conj//17 rörlighet//NN|UTR|SIN|IND|NOM//appos//12 för//PP//case//22 yrkesofficerare//NN|UTR|PLU|IND|NOM//nmod//20 ,//MID//punct//22 som//HP|-|-|-//nsubj//27 bl.a.//AB|AN//advmod//27 kan//VB|PRS|AKT//aux//27 innebära//VB|INF|AKT//acl:relcl//22 en//DT|UTR|SIN|IND//det//30 längre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 tjänstgöringstid//NN|UTR|SIN|IND|NOM//obj//27 i//PP//case//33 en//DT|UTR|SIN|IND//det//33 befattning//NN|UTR|SIN|IND|NOM//nmod//30 ,//MID//punct//20 –//RG|NOM//punct//38 ett//DT|NEU|SIN|IND//det//38 effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 befordrings-//NN|UTR|-|-|SMS//appos//20 och//KN//cc//40 karriärsystem//NN|NEU|PLU|IND|NOM//conj//38 ,//MID//punct//38 –//PAD//punct//45 de//DT|UTR/NEU|PLU|DEF//det//45 civilanställdas//JJ|POS|UTR/NEU|PLU|IND/DEF|GEN//amod//45 kompetensutveckling//NN|UTR|SIN|IND|NOM//conj//38 .//MAD//punct//20
Utvärdering av utbildningssystemet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 också//AB//advmod//3 belysa//VB|INF|AKT//ROOT//3 möjligheten//NN|UTR|SIN|DEF|NOM//obj//3 av//PP//mark//16 att//SN//mark//16 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 arbetsuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//16 som//HP|-|-|-//nsubj:pass//12 i//PP//advmod//12 dag//NN|UTR|SIN|IND|NOM//fixed//10 fullgörs//VB|PRS|SFO//acl:relcl//8 av//PP//case//14 yrkesofficerare//NN|UTR|PLU|IND|NOM//obl:agent//12 kan//VB|PRS|AKT//aux//16 utföras//VB|INF|SFO//acl//4 av//PP//case//19 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 personalkategorier//NN|UTR|PLU|IND|NOM//obl:agent//16 .//MAD//punct//3
Utvärdering av utbildningssystemet;Avveckling//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 personal//NN|UTR|SIN|IND|NOM//nmod//0
Utvärdering av utbildningssystemet;Vad//HP|NEU|SIN|IND//nsubj//1 gäller//VB|PRS|AKT//advcl//18 avveckling//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//4 personal//NN|UTR|SIN|IND|NOM//nmod//2 skall//VB|PRS|AKT//aux//18 möjligheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//18 till//PP//case//10 en//DT|UTR|SIN|IND//det//10 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//10 yrkesväxling//NN|UTR|SIN|IND|NOM//nmod//6 och//KN//cc//15 i//PP//advmod//14 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//12 effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 åtgärder//NN|UTR|PLU|IND|NOM//conj//10 mot//PP//case//17 övertalighet//NN|UTR|SIN|IND|NOM//nmod//15 belysas//VB|INF|SFO//ROOT//18 .//MAD//punct//18

Internationell verksamhet;Kraven//NN|NEU|PLU|DEF|NOM//nsubj//7 på//PP//case//3 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 deltagande//NN|NEU|SIN|IND|NOM//nmod//0 i//PP//case//6 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//6 verksamhet//NN|UTR|SIN|IND|NOM//nmod//3 ökar//VB|PRS|AKT//ROOT//7 .//MAD//punct//7
Internationell verksamhet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//11 skall//VB|PRS|AKT//aux//11 överväga//VB|INF|AKT//parataxis//7 hur//HA//advmod//17 dessa//DT|UTR/NEU|PLU|DEF//det//14 krav//NN|NEU|PLU|IND|NOM//nsubj:pass//17 skall//VB|PRS|AKT//aux//17 kunna//VB|INF|AKT//aux//17 tillgodoses//VB|INF|SFO//ccomp//11 ,//MID//punct//17 t.ex.//AB|AN//advmod//21 genom//PP//case//21 tjänstgöringsskyldighet//NN|UTR|SIN|IND|NOM//obl//17 för//PP//case//23 officerare//NN|UTR|PLU|IND|NOM//nmod//21 .//MAD//punct//7
Internationell verksamhet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 skall//VB|PRS|AKT//aux//6 i//PP//case//4 sitt//PS|NEU|SIN|DEF//nmod:poss//4 arbete//NN|NEU|SIN|IND|NOM//obl//6 särskilt//AB//advmod//6 beakta//VB|INF|AKT//ROOT//6 de//DT|UTR/NEU|PLU|DEF//det//9 arbetsrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 konsekvenserna//NN|UTR|PLU|DEF|NOM//obj//6 .//MAD//punct//6

Författningsreglering;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 lämna//VB|INF|AKT//ROOT//2 förslag//NN|NEU|SIN|IND|NOM//obj//2 till//PP//case//6 nödvändig//JJ|POS|UTR|SIN|IND|NOM//amod//6 författningsreglering//NN|UTR|SIN|IND|NOM//nmod//3 .//MAD//punct//2

Arbetets bedrivande;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 redovisa//VB|INF|AKT//ROOT//2 resultatet//NN|NEU|SIN|DEF|NOM//obj//2 av//PP//case//6 sitt//PS|NEU|SIN|DEF//nmod:poss//6 arbete//NN|NEU|SIN|IND|NOM//nmod//3 senast//AB|SUV//case//10 den//DT|UTR|SIN|DEF//det//10 31//RG|NOM//nummod//10 december//NN|UTR|SIN|IND|NOM//nmod//3 2000//RG|NOM//nummod//10 .//MAD//punct//2
Arbetets bedrivande;Utredningsarbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//2 skall//VB|PRS|AKT//aux//2 bedrivas//VB|INF|SFO//ROOT//2 i//PP//case//4 samverkan//NN|UTR|SIN|IND|NOM//obl//2 med//PP//case//6 Försvarsberedningen//NN|UTR|SIN|DEF|NOM//nmod//4 ,//MID//punct//2 1998//RG|NOM//nummod//9 års//NN|NEU|SIN|IND|GEN//nmod:poss//10 pliktutredning//NN|UTR|SIN|IND|NOM//obl//2 ,//MID//punct//10 Försvarsmakten//NN|UTR|SIN|DEF|NOM//appos//10 ,//MID//punct//15 särskilt//AB//advmod//15 militärhögskolorna//NN|UTR|PLU|DEF|NOM//conj//10 ,//MID//punct//17 Försvarshögskolan//NN|UTR|SIN|DEF|NOM//conj//10 ,//MID//punct//20 Totalförsvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//20 pliktverk//NN|NEU|SIN|IND|NOM//conj//10 samt//KN//cc//22 Överstyrelsen//NN|UTR|SIN|DEF|NOM//conj//10 för//PP//case//25 civil//JJ|POS|UTR|SIN|IND|NOM//amod//25 beredskap//NN|UTR|SIN|IND|NOM//nmod//22 .//MAD//punct//2
Arbetets bedrivande;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 hålla//VB|INF|AKT//ROOT//2 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//5 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 arbetstagarorganisationer//NN|UTR|PLU|IND|NOM//obj//2 och//KN//cc//8 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 försvarsorganisationer//NN|UTR|PLU|IND|NOM//conj//5 informerade//VB|PRT|AKT//xcomp//2 om//PP//case//12 sitt//PS|NEU|SIN|DEF//nmod:poss//12 arbete//NN|NEU|SIN|IND|NOM//obl//9 och//KN//cc//14 ge//VB|INF|AKT//conj//2 dem//PN|UTR/NEU|PLU|DEF|OBJ//iobj//14 tillfälle//NN|NEU|SIN|IND|NOM//obj//14 att//IE//mark//18 framföra//VB|INF|AKT//acl//16 synpunkter//NN|UTR|PLU|IND|NOM//obj//18 .//MAD//punct//2


Bilaga 2 / Försvarsmaktens personalförsörjning;Dir//NN|AN//ROOT//0 .//MAD//punct//0
Bilaga 2 / Försvarsmaktens personalförsörjning;2000:12//RG|NOM//punct//0
Bilaga 2 / Försvarsmaktens personalförsörjning;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 9//RO|NOM//nummod//5 mars//NN|UTR|SIN|IND|NOM//nmod//0 2000//RG|NOM//nummod//5 .//MAD//punct//0

Bilaga 2 / Sammanfattning av uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 om//PP//case//3 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//0 skall//VB|PRS|AKT//aux//6 ha//VB|INF|AKT//aux//6 slutfört//VB|SUP|AKT//ROOT//6 sitt//PS|NEU|SIN|DEF//nmod:poss//8 arbete//NN|NEU|SIN|IND|NOM//obj//6 senast//AB|SUV//case//12 den//DT|UTR|SIN|DEF//det//12 28//RG|NOM//nummod//12 februari//NN|UTR|SIN|IND|NOM//obl//6 2001//RG|NOM//nummod//12 .//MAD//punct//6

Bilaga 2 / Uppdraget;Med//PP//case//1 stöd//NN|NEU|SIN|IND|NOM//obl//4 av//PP//mark//4 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 bemyndigande//NN|NEU|SIN|IND|NOM//ROOT//4 den//DT|UTR|SIN|DEF//det//7 4//RO|NOM//nummod//7 november//NN|UTR|SIN|IND|NOM//obj//4 1999//RG|NOM//nummod//7 (//PAD//punct//7 dir//NN|AN//appos//7 .//MAD//punct//7
Bilaga 2 / Uppdraget;1999:84//RG|NOM//punct//4 )//PAD//punct//4 tillkallade//VB|PRT|AKT//amod//15 chefen//NN|UTR|SIN|DEF|NOM//parataxis//4 för//PP//case//17 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//15 en//DT|UTR|SIN|IND//det//20 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//20 utredare//NN|UTR|SIN|IND|NOM//obj//4 med//PP//case//22 uppdrag//NN|NEU|SIN|IND|NOM//nmod//20 att//IE//mark//24 redovisa//VB|INF|AKT//acl//22 en//DT|UTR|SIN|IND//det//27 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//27 syn//NN|UTR|SIN|IND|NOM//obj//24 på//PP//case//30 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//30 personalförsörjning//NN|UTR|SIN|IND|NOM//obl//24 .//MAD//punct//4
Bilaga 2 / Uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//37 skall//VB|PRS|AKT//aux//37 enligt//PP//case//35 direktiven//NN|NEU|PLU|DEF|NOM//obl//37 vara//VB|INF|AKT//cop//37 slutförd//PC|PRF|UTR|SIN|IND|NOM//parataxis//4 senast//AB|SUV//case//41 den//DT|UTR|SIN|DEF//det//41 31//RG|NOM//nummod//41 december//NN|UTR|SIN|IND|NOM//obl//37 2000//RG|NOM//nummod//41 .//MAD//punct//4
Bilaga 2 / Uppdraget;Med//PP//case//45 ändring//NN|UTR|SIN|IND|NOM//obl//51 av//PP//case//48 denna//DT|UTR|SIN|DEF//det//48 tidpunkt//NN|UTR|SIN|IND|NOM//nmod//45 skall//VB|PRS|AKT//aux//51 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//51 redovisa//VB|INF|AKT//conj//4 resultatet//NN|NEU|SIN|DEF|NOM//obj//51 av//PP//case//55 sitt//PS|NEU|SIN|DEF//nmod:poss//55 arbete//NN|NEU|SIN|IND|NOM//nmod//52 senast//AB|SUV//case//59 den//DT|UTR|SIN|DEF//det//59 28//RG|NOM//nummod//59 februari//NN|UTR|SIN|IND|NOM//nmod//52 2001//RG|NOM//nummod//59 .//MAD//punct//4

Bilaga 3;Dir//NN|AN//ROOT//0 .//MAD//punct//0
Bilaga 3;2000:46//RG|NOM//punct//0
Bilaga 3;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 21//RG|NOM//nummod//5 juni//NN|UTR|SIN|IND|NOM//nmod//0 2000//RG|NOM//nummod//5 .//MAD//punct//0
Bilaga 3;Utredningen//NN|UTR|SIN|DEF|NOM//ROOT//0 (//PAD//punct//0 Fö//PM|NOM//nmod//3 1999:05//RG|NOM//appos//0 )//PAD//punct//0 om//PP//mark//8 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 personalförsörjning//NN|UTR|SIN|IND|NOM//nsubj:pass//8 ges//VB|PRS|SFO//acl:relcl//0 i//PP//case//10 uppdrag//NN|NEU|SIN|IND|NOM//obl//8 att//IE//mark//12 genomlysa//VB|INF|AKT//advcl//8 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//14 behov//NN|NEU|SIN|IND|NOM//obj//12 av//PP//case//16 yrkesofficerare//NN|UTR|PLU|IND|NOM//nmod//14 såväl//KN//advmod//18 totalt//AB|POS//advmod//12 som//KN//case//22 på//PP//case//22 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 kompetensnivåer//NN|UTR|PLU|IND|NOM//obl//12 .//MAD//punct//0

Bilaga 3 / Bakgrund;Med//PP//case//1 stöd//NN|NEU|SIN|IND|NOM//obl//4 av//PP//mark//4 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 bemyndigande//NN|NEU|SIN|IND|NOM//ROOT//4 den//DT|UTR|SIN|DEF//det//7 4//RO|NOM//nummod//7 november//NN|UTR|SIN|IND|NOM//obj//4 1999//RG|NOM//nummod//7 (//PAD//punct//7 dir//NN|AN//appos//7 .//MAD//punct//7
Bilaga 3 / Bakgrund;1999:84//RG|NOM//punct//4 )//PAD//punct//4 tillkallade//VB|PRT|AKT//amod//15 chefen//NN|UTR|SIN|DEF|NOM//parataxis//4 för//PP//case//17 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//15 en//DT|UTR|SIN|IND//det//20 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//20 utredare//NN|UTR|SIN|IND|NOM//obj//4 med//PP//case//22 uppdrag//NN|NEU|SIN|IND|NOM//nmod//20 att//IE//mark//24 redovisa//VB|INF|AKT//acl//22 en//DT|UTR|SIN|IND//det//27 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//27 syn//NN|UTR|SIN|IND|NOM//obj//24 på//PP//case//30 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//30 personalförsörjning//NN|UTR|SIN|IND|NOM//obl//24 .//MAD//punct//4
Bilaga 3 / Bakgrund;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 bl.a.//AB|AN//advmod//3 belysa//VB|INF|AKT//ROOT//3 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//3 för//PP//advmod//3 och//KN//cc//7 lämna//VB|INF|AKT//conj//3 förslag//NN|NEU|SIN|IND|NOM//obj//7 till//PP//mark//14 hur//HA//advmod//14 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//14 skall//VB|PRS|AKT//aux//14 kunna//VB|INF|AKT//aux//14 rekrytera//VB|INF|AKT//advcl//7 ,//MID//punct//16 utveckla//VB|INF|AKT//conj//14 och//KN//cc//18 avveckla//VB|INF|AKT//conj//14 personal//NN|UTR|SIN|IND|NOM//obj//18 på//PP//case//24 ett//DT|NEU|SIN|IND//det//24 väl//AB|POS//advmod//23 avvägt//PC|PRF|NEU|SIN|IND|NOM//amod//24 sätt//NN|NEU|SIN|IND|NOM//nmod//19 över//PP//case//26 tiden//NN|UTR|SIN|DEF|NOM//nmod//24 .//MAD//punct//3
