%DNJUXQG;OLJW//PM|NOM//ROOT//0 VWUXNWXUELGUDJ//PM|NOM//obj//0
%DNJUXQG;PHG//PM|NOM//nsubj//1 PRWVYDUDQGH//PM|NOM//ROOT//1 EHORSS//PM|NOM//advmod//1 7DEHOO//AB|AN//punct//2 6HNWRU//AB|AN//nummod//2 .RPPXQ//MID//punct//2 /DQGVWLQJ//MAD//parataxis//1 7RWDOW//NN|AN//nummod//8 %//NN|AN//nmod//9 HORSS//NN|NEU|SIN|DEF|NOM//nsubj//6

6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;Börjar//VB|PRS|AKT//advcl//49 ersättningen//NN|UTR|SIN|DEF|NOM//nsubj//42 vid//PP//case//45 noll//RG|NOM//obl//42 är//VB|PRS|AKT//cop//49 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//49 inget//DT|NEU|SIN|IND//det//49 problem//NN|NEU|SIN|IND|NOM//nsubj//8 .//MAD//punct//49
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;Dylika//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//52 gränser//NN|UTR|PLU|IND|NOM//nsubj//53 finns//VB|PRS|SFO//parataxis//49 i//PP//case//55 delmodellerna//NN|UTR|PLU|DEF|NOM//obl//53 för//PP//obl//53 ://MAD//punct//49
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;•//NN|UTR|SIN|IND|NOM//case//1 befolkningsminskning//NN|UTR|SIN|IND|NOM//ROOT//1 7//RG|NOM//nummod//4 18//RG|NOM//nummod//4 år//NN|NEU|PLU|IND|NOM//nmod//1
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;•//NN|UTR|SIN|IND|NOM//case//1 vatten//NN|NEU|SIN|IND|NOM//ROOT//1 och//KN//cc//3 avlopp//NN|NEU|SIN|IND|NOM//conj//1
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;•//NN|UTR|SIN|IND|NOM//punct//1 administration//NN|UTR|SIN|IND|NOM//ROOT//1 ,//MID//punct//3 räddningstjänst//NN|UTR|SIN|IND|NOM//conj//1 med//PP//case//1 mera//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//fixed//4
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;•//PP//case//1 kollektivtrafik//NN|UTR|SIN|IND|NOM//ROOT//1
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;I//PP//case//1 delmodellen//NN|UTR|SIN|DEF|NOM//obl//4 för//PP//case//3 befolkningsminskning//NN|UTR|SIN|IND|NOM//nmod//1 finns//VB|PRS|SFO//advcl//49 ett//DT|NEU|SIN|IND//det//7 generellt//JJ|POS|NEU|SIN|IND|NOM//amod//7 villkor//NN|NEU|SIN|IND|NOM//nsubj//4 att//SN//mark//14 den//DT|UTR|SIN|DEF//det//11 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//11 befolkningen//NN|UTR|SIN|DEF|NOM//nsubj//14 skall//VB|PRS|AKT//aux//14 ha//VB|INF|AKT//aux//14 minskat//VB|SUP|AKT//acl//7 med//PP//case//17 två//RG|NOM//nummod//17 procent//NN|UTR|PLU|IND|NOM//obl//14 för//PP//mark//22 att//SN//fixed//18 ersättning//NN|UTR|SIN|IND|NOM//nsubj//22 skall//VB|PRS|AKT//aux//22 utgå//VB|INF|AKT//advcl//14 för//PP//case//26 minskat//PC|PRF|NEU|SIN|IND|NOM//amod//26 antal//NN|NEU|SIN|IND|NOM//nmod//26 elever//NN|UTR|PLU|IND|NOM//obl//22 .//MAD//punct//4
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;Uppfylls//VB|PRS|SFO//parataxis//4 inte//AB//advmod//28 den//DT|UTR|SIN|DEF//det//31 gränsen//NN|UTR|SIN|DEF|NOM//nsubj//32 utgår//VB|PRS|AKT//conj//4 ingen//DT|UTR|SIN|IND//det//34 ersättning//NN|UTR|SIN|IND|NOM//nsubj//32 oavsett//AB|POS//mark//40 om//SN//mark//40 antalet//NN|NEU|SIN|DEF|NOM//nsubj//40 skolelever//NN|UTR|PLU|IND|NOM//nsubj//40 fortfarande//AB//advmod//40 minskar//VB|PRS|AKT//advcl//49 .//MID//punct//40
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;Eftersom//SN//mark//48 ersättningen//NN|UTR|SIN|DEF|NOM//nsubj//47 per//PP//case//45 elev//NN|UTR|SIN|IND|NOM//nmod//43 är//VB|PRS|AKT//cop//47 högt//AB|POS//advmod//48 satt//PC|PRF|UTR|SIN|IND|NOM//advcl//49 blir//VB|PRS|AKT//ROOT//49 förlusten//NN|UTR|SIN|DEF|NOM//nsubj//49 stor//JJ|POS|UTR|SIN|IND|NOM//xcomp//49 om//SN//mark//56 kommunen//NN|UTR|SIN|DEF|NOM//nsubj//56 inte//AB//advmod//56 längre//AB|KOM//advmod//56 uppfyller//VB|PRS|AKT//advcl//49 det//DT|NEU|SIN|DEF//det//59 generella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//59 villkoret//NN|NEU|SIN|DEF|NOM//obj//56 .//MAD//punct//49
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;I//PP//case//1 delmodellen//NN|UTR|SIN|DEF|NOM//obl//6 för//PP//case//3 vatten//NN|NEU|SIN|IND|NOM//nmod//1 och//KN//cc//5 avlopp//NN|NEU|SIN|IND|NOM//conj//3 finns//VB|PRS|SFO//ROOT//6 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//6 11//RG|NOM//nummod//10 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 standardkostnadsklasser//NN|UTR|PLU|IND|NOM//nsubj//6 allt//AB//advmod//12 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//6 vilken//HD|UTR|SIN|IND//det//14 bebyggelsestruktur//NN|UTR|SIN|IND|NOM//dislocated//19 samt//KN//cc//19 vilka//HD|UTR/NEU|PLU|IND//det//17 markförhållanden//NN|NEU|PLU|IND|NOM//dislocated//19 som//HP|-|-|-//nsubj//19 råder//VB|PRS|AKT//ccomp//6 i//PP//case//21 kommunen//NN|UTR|SIN|DEF|NOM//obl//19 .//MID//punct//19
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;När//HA//mark//26 bebyggelsestrukturen//NN|UTR|SIN|DEF|NOM//nsubj:pass//26 (//PAD//punct//24 mäts//VB|PRS|SFO//advcl//19 genom//PP//case//28 tätortsgraden//NN|UTR|SIN|DEF|NOM//obl//26 )//PAD//punct//26 uppdateras//VB|PRS|SFO//conj//6 kan//VB|PRS|AKT//aux//33 kommunen//NN|UTR|SIN|DEF|NOM//nsubj//33 få//VB|INF|AKT//csubj//6 en//DT|UTR|SIN|IND//det//36 förändrad//PC|PRF|UTR|SIN|IND|NOM//amod//36 ersättning//NN|UTR|SIN|IND|NOM//obj//33 .//MID//punct//6
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;Då//HA//mark//40 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//40 skiljer//VB|PRS|AKT//advcl//47 50//RG|NOM//nummod//42 kronor//NN|UTR|PLU|IND|NOM//obj//40 mellan//PP//case//46 de//DT|UTR/NEU|PLU|DEF//det//46 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 klasserna//NN|UTR|PLU|DEF|NOM//nmod//42 blir//VB|PRS|AKT//parataxis//6 förändring//NN|UTR|SIN|IND|NOM//nsubj//47 minst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//advmod//51 detta//DT|NEU|SIN|DEF//det//51 belopp//NN|NEU|SIN|IND|NOM//xcomp//47 vid//PP//case//53 byte//NN|NEU|SIN|IND|NOM//nmod//51 av//PP//case//55 ersättning//NN|UTR|SIN|IND|NOM//nmod//53 .//MAD//punct//6
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;Sedan//PP//advmod//58 2000//RG|NOM//obl//61 har//VB|PRS|AKT//aux//61 bebyggelsestrukturen//NN|UTR|SIN|DEF|NOM//nsubj:pass//61 uppdaterats//VB|SUP|SFO//parataxis//6 en//DT|UTR|SIN|IND//det//63 gång//NN|UTR|SIN|IND|NOM//nsubj:pass//61 ,//MID//punct//61 inför//PP//case//66 bidragsåret//NN|NEU|SIN|DEF|NOM//obl//61 2003//RG|NOM//nummod//66 .//MAD//punct//6
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//70 resulterade//VB|PRT|AKT//parataxis//6 i//PP//mark//76 att//SN//mark//76 10//RG|NOM//nummod//74 kommuner//NN|UTR|PLU|IND|NOM//nsubj//76 fick//VB|PRT|AKT//aux//76 förändrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//70 ersättningar//NN|UTR|PLU|IND|NOM//obj//76 ,//MID//punct//77 merparten//NN|UTR|SIN|DEF|NOM//det//81 negativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//81 sådana//PN|UTR/NEU|PLU|IND|SUB/OBJ//conj//77 .//MAD//punct//70
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;För//PP//case//86 den//DT|UTR|SIN|DEF//det//86 enskilde//JJ|POS|MAS|SIN|DEF|NOM//amod//86 kommun//NN|UTR|SIN|IND|NOM//obl//70 kan//VB|PRS|AKT//advcl//6 dessa//DT|UTR/NEU|PLU|DEF//det//89 förändringar//NN|UTR|PLU|IND|NOM//nsubj//90 te//VB|INF|AKT//nsubj//92 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//90 konstiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//87 då//HA//mark//97 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//95 kostnader//NN|UTR|PLU|IND|NOM//nsubj:pass//97 inte//AB//advmod//97 förändras//VB|PRS|SFO//acl:relcl//92 på//PP//case//100 samma//DT|UTR/NEU|SIN/PLU|IND//det//100 sätt//NN|NEU|SIN|IND|NOM//obl//97 .//MAD//punct//6
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;I//PP//case//1 delmodellen//NN|UTR|SIN|DEF|NOM//obl//8 för//PP//case//3 administration//NN|UTR|SIN|IND|NOM//nmod//1 ,//MID//punct//5 räddningstjänst//NN|UTR|SIN|IND|NOM//conj//3 med//PP//mark//8 mera//AB|KOM//advmod//8 finns//VB|PRS|SFO//ROOT//8 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//8 åtta//RG|NOM//nummod//12 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 standardkostnadsnivå//NN|UTR|SIN|IND|NOM//nsubj//8 från//PP//case//14 150//RG|NOM//nmod//12 till//PP//case//17 850//RG|NOM//nummod//17 kronor//NN|UTR|PLU|IND|NOM//obl//8 per//PP//case//19 invånare//NN|UTR|SIN|IND|NOM//nmod//17 .//MAD//punct//8
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;Standardkostnaden//NN|UTR|SIN|DEF|NOM//nsubj:pass//22 räknas//VB|PRS|SFO//parataxis//8 fram//PL//advmod//22 med//PP//case//27 hjälp//NN|UTR|SIN|IND|NOM//fixed//24 av//PP//fixed//24 folkmängden//NN|UTR|SIN|DEF|NOM//obl//22 ,//MID//punct//22 antalet//NN|NEU|SIN|DEF|NOM//nmod//30 invånare//NN|UTR|PLU|IND|NOM//appos//22 per//PP//case//32 kvadratmeter//NN|UTR|SIN|IND|NOM//nmod//30 samt//KN//cc//34 tätortsgraden//NN|UTR|SIN|DEF|NOM//conj//32 .//MAD//punct//8
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;Befolkning//NN|UTR|SIN|IND|NOM//nsubj:pass//37 uppdateras//VB|PRS|SFO//parataxis//8 varje//DT|UTR/NEU|SIN|IND//det//39 år//NN|NEU|SIN|IND|NOM//obl//37 ,//MID//punct//37 tätortsgraden//NN|UTR|SIN|DEF|NOM//conj//37 när//HA//mark//44 tillfälle//NN|NEU|SIN|IND|NOM//nsubj:pass//44 ges//VB|PRS|SFO//advcl//37 .//MAD//punct//37
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;Stora//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//47 förändring//NN|UTR|SIN|IND|NOM//nsubj//49 kan//VB|PRS|AKT//aux//49 uppstå//VB|INF|AKT//conj//37 vid//PP//case//51 uppdateringar//NN|UTR|PLU|IND|NOM//obl//49 ,//MID//punct//51 som//KN//case//59 mest//AB|SUV//advmod//59 plus//NN|NEU|SIN|IND|NOM//fixed//54 ///MID//cc//57 minus//AB//conj//55 650//RG|NOM//nummod//59 kronor//NN|UTR|PLU|IND|NOM//acl:relcl//51 .//MAD//punct//8
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;I//PP//case//1 delmodellen//NN|UTR|SIN|DEF|NOM//obl//4 för//PP//case//3 kollektivtrafik//NN|UTR|SIN|IND|NOM//nmod//1 mäter//VB|PRS|AKT//ROOT//4 man//PN|UTR|SIN|IND|SUB//nsubj//4 andelen//NN|UTR|SIN|DEF|NOM//amod//7 personer//NN|UTR|PLU|IND|NOM//obj//4 som//HP|-|-|-//nsubj//9 bor//VB|PRS|AKT//acl:relcl//7 i//PP//case//11 tätorter//NN|UTR|PLU|IND|NOM//obl//9 med//PP//case//17 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//advmod//16 än//KN//fixed//13 20//RG|NOM//nummod//16 000//RG|NOM//nummod//17 invånare//NN|UTR|PLU|IND|NOM//nmod//11 .//MAD//punct//4
6.3 Förändringar i kostnadsutjämningen till följd av den årliga uppdateringen;Vid//PP//case//20 uppdatering//NN|UTR|SIN|IND|NOM//obl//4 kan//VB|PRS|AKT//punct//4 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//4 ,//MID//punct//4 om//SN//case//28 en//RG|UTR|SIN|IND|NOM//det//28 eller//KN//cc//27 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//conj//25 tätorter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//31 ett//DT|NEU|SIN|IND//det//31 län//NN|NEU|SIN|IND|NOM//nmod//28 kommer//VB|PRS|AKT//advcl//4 under//PP//case//35 denna//DT|UTR|SIN|DEF//det//35 gräns//NN|UTR|SIN|IND|NOM//obl//32 ,//MID//punct//37 bli//VB|INF|AKT//conj//4 en//DT|UTR|SIN|IND//det//40 minskad//PC|PRF|UTR|SIN|IND|NOM//amod//40 ersättning//NN|UTR|SIN|IND|NOM//xcomp//37 för//PP//case//42 länet//NN|NEU|SIN|DEF|NOM//nmod//40 vilket//HP|NEU|SIN|IND//nsubj//44 drabbar//VB|PRS|AKT//acl:relcl//42 samtliga//PN|UTR/NEU|PLU|IND|SUB/OBJ//obj//44 av//PP//case//48 länets//NN|NEU|SIN|DEF|GEN//nmod:poss//48 kommuner//NN|UTR|PLU|IND|NOM//nmod//45 .//MAD//punct//4

6.4 Överväganden och förslag;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 anser//VB|PRS|AKT//ROOT//1 att//SN//mark//6 man//PN|UTR|SIN|IND|SUB//nsubj//6 inte//AB//advmod//6 bör//VB|PRS|AKT//aux//6 införa//VB|INF|AKT//ccomp//1 någon//DT|UTR|SIN|IND//det//8 begräsning//NN|UTR|SIN|IND|NOM//obj//6 på//PP//case//14 hur//HA//advmod//11 mycket//AB|POS//advmod//12 en//DT|UTR|SIN|IND//det//13 kommuns//NN|UTR|SIN|IND|GEN//nmod:poss//14 avgift//NN|UTR|SIN|IND|NOM//nsubj:pass//18 ///MID//cc//16 bidrag//NN|NEU|SIN|IND|NOM//conj//14 får//VB|PRS|AKT//aux//18 förändras//VB|INF|SFO//advcl//6 mellan//PP//case//20 åren//NN|NEU|PLU|DEF|NOM//obl//18 .//MAD//punct//1
6.4 Överväganden och förslag;Att//SN//mark//25 flertalet//NN|NEU|SIN|DEF|NOM//nmod//24 modeller//NN|UTR|PLU|IND|NOM//nsubj:pass//25 förändras//VB|PRS|SFO//ccomp//1 åt//PP//case//28 samma//DT|UTR/NEU|SIN/PLU|IND//det//28 håll//NN|NEU|SIN|IND|NOM//obl//25 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 år//NN|NEU|PLU|IND|NOM//obl//25 vilket//HP|NEU|SIN|IND//obl//33 sammantaget//PC|PRF|NEU|SIN|IND|NOM//nsubj//33 ger//VB|PRS|AKT//acl:relcl//30 en//DT|UTR|SIN|IND//det//36 stor//JJ|POS|UTR|SIN|IND|NOM//amod//36 effekt//NN|UTR|SIN|IND|NOM//obj//33 för//PP//case//40 den//DT|UTR|SIN|DEF//det//40 enskilde//JJ|POS|MAS|SIN|DEF|NOM//amod//40 kommunen//NN|UTR|SIN|DEF|NOM//obl//33 är//VB|PRS|AKT//cop//44 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//44 en//DT|UTR|SIN|IND//det//44 effekt//NN|UTR|SIN|IND|NOM//nsubj:pass//53 av//PP//case//46 valet//NN|NEU|SIN|DEF|NOM//nmod//44 av//PP//case//48 metod//NN|UTR|SIN|IND|NOM//nmod//46 .//MID//punct//44
6.4 Överväganden och förslag;Varje//DT|UTR/NEU|SIN|IND//det//51 delmodells//NN|UTR|SIN|IND|GEN//amod//52 standardkostnad//NN|UTR|SIN|IND|NOM//nsubj:pass//53 räknas//VB|PRS|SFO//conj//1 ut//PL//compound:prt//53 separat//AB|POS//xcomp//53 och//KN//cc//58 skall//VB|PRS|AKT//aux//58 spegla//VB|INF|AKT//conj//53 den//DT|UTR|SIN|DEF//det//61 relativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//61 strukturen//NN|UTR|SIN|DEF|NOM//obj//58 i//PP//case//65 den//DT|UTR|SIN|DEF//det//65 enskilda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//65 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//61 .//MAD//punct//1
6.4 Överväganden och förslag;För//PP//mark//2 att//IE//mark//2 minska//VB|INF|AKT//advcl//8 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 förändringar//NN|UTR|PLU|IND|NOM//obj//2 bör//VB|PRS|AKT//aux//8 man//PN|UTR|SIN|IND|SUB//nsubj//8 istället//AB//advmod//8 söka//VB|INF|AKT//ROOT//8 öka//VB|INF|AKT//xcomp//8 stabiliteten//NN|UTR|SIN|DEF|NOM//obj//9 i//PP//case//14 de//DT|UTR/NEU|PLU|DEF//det//14 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 delmodellerna//NN|UTR|PLU|DEF|NOM//obl//9 .//MAD//punct//8
6.4 Överväganden och förslag;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 förslår//VB|PRS|AKT//ROOT//1 exempelvis//AB//advmod//1 i//PP//case//4 utvärderingen//NN|UTR|SIN|DEF|NOM//obl//1 av//PP//case//6 delmodellen//NN|UTR|SIN|DEF|NOM//nmod//4 för//PP//case//8 gymnasieskolan//NN|UTR|SIN|DEF|NOM//nmod//4 att//SN//mark//12 programvalsfaktorn//NN|UTR|SIN|DEF|NOM//nsubj:pass//12 skall//VB|PRS|AKT//aux//12 räknas//VB|INF|SFO//ccomp//1 på//PP//case//15 ett//DT|NEU|SIN|IND//det//15 tvåårsgenomsnitt//NN|NEU|SIN|IND|NOM//obl//12 .//MAD//punct//1
6.4 Överväganden och förslag;Ett//DT|NEU|SIN|IND//det//19 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//19 förändring//NN|UTR|SIN|IND|NOM//nsubj//20 minskar//VB|PRS|AKT//parataxis//1 förändringarna//NN|UTR|PLU|DEF|NOM//nsubj//20 mellan//PP//case//23 åren//NN|NEU|PLU|DEF|NOM//nmod//21 .//MAD//punct//1
6.4 Överväganden och förslag;När//HA//mark//2 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//0 gäller//VB|PRS|AKT//advcl//6 delmodellen//NN|UTR|SIN|DEF|NOM//obj//2 för//PP//case//5 befolkningsminskning//NN|UTR|SIN|IND|NOM//nmod//3 föreslår//VB|PRS|AKT//ROOT//6 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//6 att//SN//mark//11 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 kompensation//NN|UTR|SIN|IND|NOM//nsubj:pass//11 förändras//VB|PRS|SFO//advcl//6 .//MAD//punct//6
6.4 Överväganden och förslag;Nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 spärr//NN|UTR|SIN|IND|NOM//nsubj:pass//19 på//PP//case//18 den//DT|UTR|SIN|DEF//det//18 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//18 folkmängden//NN|UTR|SIN|DEF|NOM//nmod//14 tas//VB|PRS|SFO//parataxis//6 bort//PL//compound:prt//19 samtidigt//AB//mark//24 som//HA//fixed//21 ersättningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//24 sänks//VB|PRS|SFO//advcl//19 .//MAD//punct//6
6.4 Överväganden och förslag;Delmodellen//NN|UTR|SIN|DEF|NOM//nsubj//5 för//PP//case//2 vatten//NN|NEU|SIN|IND|NOM//nmod//0 och//KN//cc//4 avlopp//NN|NEU|SIN|IND|NOM//conj//2 förslås//VB|PRS|SFO//ROOT//5 utgå//VB|INF|AKT//xcomp//5 ur//PP//case//8 kostnadsutjämningen//NN|UTR|SIN|DEF|NOM//obl//6 .//MAD//punct//5
6.4 Överväganden och förslag;Delmodellen//NN|UTR|SIN|DEF|NOM//nsubj:pass//10 för//PP//case//2 räddningstjänst//NN|UTR|SIN|IND|NOM//nmod//0 ,//MID//punct//4 administration//NN|UTR|SIN|IND|NOM//conj//2 m.m.//AB|AN//conj//2 skall//VB|PRS|AKT//aux//10 enligt//PP//case//9 kommittén//NN|UTR|SIN|DEF|NOM//det//9 förslag//NN|NEU|SIN|IND|NOM//obl//10 slås//VB|PRS|SFO//ROOT//10 samman//PL//compound:prt//10 med//PP//case//16 ett//DT|NEU|SIN|IND//det//14 antal//NN|NEU|SIN|IND|NOM//nmod//16 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 delmodeller//NN|UTR|PLU|IND|NOM//obl//10 inom//PP//case//20 ramen//NN|UTR|SIN|DEF|NOM//fixed//17 för//PP//fixed//17 kostnadsutjämningen//NN|UTR|SIN|DEF|NOM//obl//10 .//MAD//punct//10


7.1 Kommunernas faktorkostnader;Ett//DT|NEU|SIN|IND//det//2 vanligt//JJ|POS|NEU|SIN|IND|NOM//amod//2 synsätt//NN|NEU|SIN|IND|NOM//nsubj//9 när//HA//mark//5 man//PN|UTR|SIN|IND|SUB//nsubj//5 studera//VB|INF|AKT//acl//2 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//7 kostnader//NN|UTR|PLU|IND|NOM//obj//5 är//VB|PRS|AKT//cop//9 verksamhetsperspektivet//NN|NEU|SIN|DEF|NOM//ROOT//9 ,//MID//punct//9 t.ex.//AB|AN//advmod//14 vad//HP|NEU|SIN|IND//obj//14 grundskolan//NN|UTR|SIN|DEF|NOM//nsubj//14 kostar//VB|PRS|AKT//parataxis//9 .//MAD//punct//9
7.1 Kommunernas faktorkostnader;Utjämningssystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//17 struktur//NN|UTR|SIN|IND|NOM//nsubj//18 bygger//VB|PRS|AKT//parataxis//9 till//PP//case//21 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//21 del//NN|UTR|SIN|IND|NOM//obl//18 på//PP//case//24 detta//DT|NEU|SIN|DEF//det//24 synsätt//NN|NEU|SIN|IND|NOM//obl//18 .//MAD//punct//9
7.1 Kommunernas faktorkostnader;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 inslag//NN|NEU|PLU|IND|NOM//nsubj:pass//46 av//PP//mark//30 att//IE//mark//30 kompensera//VB|INF|AKT//acl//27 för//PP//case//32 kostnader//NN|UTR|PLU|IND|NOM//obl//30 som//HP|-|-|-//nsubj//34 förekommer//VB|PRS|AKT//acl:relcl//32 i//PP//case//36 produktionen//NN|UTR|SIN|DEF|NOM//obl//34 av//PP//case//40 de//DT|UTR/NEU|PLU|DEF//det//40 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//40 verksamheter//NN|UTR|PLU|IND|NOM//nmod//36 ,//MID//punct//44 så//AB//advmod//43 kallad//PC|PRF|UTR|SIN|IND|NOM//amod//44 faktorkostnader//NN|UTR|SIN|IND|NOM//obl//34 ,//MID//punct//44 görs//VB|PRS|SFO//parataxis//9 i//PP//case//48 delmodellen//NN|UTR|SIN|DEF|NOM//obl//46 för//PP//case//50 uppvärmning//NN|UTR|SIN|IND|NOM//obl//46 där//HA//advmod//53 kommunerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//53 kompenseras//VB|PRS|SFO//acl:relcl//50 för//PP//case//56 de//DT|UTR/NEU|PLU|DEF//det//56 skillnader//NN|UTR|PLU|IND|NOM//obl//53 i//PP//case//58 lokalkostnader//NN|UTR|PLU|IND|NOM//nmod//56 som//HP|-|-|-//nsubj//60 beror//VB|PRS|AKT//acl:relcl//58 på//PP//case//62 klimatet//NN|NEU|SIN|DEF|NOM//obl//60 .//MAD//punct//9
7.1 Kommunernas faktorkostnader;Vidare//AB|KOM//nmod//9 kompenseras//VB|PRS|SFO//conj//9 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 kommuner//NN|UTR|PLU|IND|NOM//nsubj:pass//65 för//PP//case//70 kvardröjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//70 merkostnader//NN|UTR|PLU|IND|NOM//nmod//67 i//PP//case//72 löneläget//NN|NEU|SIN|DEF|NOM//nmod//70 på//PP//case//78 grund//NN|UTR|SIN|IND|NOM//fixed//73 av//PP//fixed//73 det//DT|NEU|SIN|DEF//det//78 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//78 kallortstillägget//NN|NEU|SIN|DEF|NOM//obl//65 .//MAD//punct//9
7.1 Kommunernas faktorkostnader;Analyserar//VB|PRS|AKT//advcl//9 man//PN|UTR|SIN|IND|SUB//nsubj//0 kostnaderna//NN|UTR|PLU|DEF|NOM//obj//0 utifrån//PP//case//6 de//DT|UTR/NEU|PLU|DEF//det//6 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 kostnadsslagen//NN|NEU|PLU|DEF|NOM//nmod//2 kan//VB|PRS|AKT//aux//9 man//PN|UTR|SIN|IND|SUB//nsubj//9 se//VB|INF|AKT//ROOT//9 att//SN//mark//18 den//DT|UTR|SIN|DEF//det//14 enskilt//AB|POS//advmod//13 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//14 kostnaden//NN|UTR|SIN|DEF|NOM//nsubj//18 är//VB|PRS|AKT//cop//18 den//DT|UTR|SIN|DEF//det//18 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//18 personalen//NN|UTR|SIN|DEF|NOM//obj//9 ,//MID//punct//21 som//HP|-|-|-//nsubj//21 tar//VB|PRS|AKT//acl:relcl//18 i//PP//case//25 anspråk//NN|NEU|SIN|IND|NOM//advmod//24 53//RG|NOM//nummod//25 procent//NN|UTR|PLU|IND|NOM//obl//21 av//PP//case//28 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//28 resurser//NN|UTR|PLU|IND|NOM//nmod//25 .//MAD//punct//9
