
5.1.1 Antal döda per 100 000 barn 0-20 år i Sverige fördelat på dödsorsak och kön;Antal//NN|UTR|PLU|IND|NOM//nmod//1 döda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//1 per//PP//case//5 100//RG|NOM//nummod//4 000//RG|NOM//nummod//5 barn//NN|NEU|PLU|IND|NOM//obl//1 till//PP//case//9 följd//NN|UTR|SIN|IND|NOM//fixed//6 av//PP//fixed//6 olycksfall//NN|NEU|PLU|IND|NOM//obl//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Västernorrland//NN|NEU|SIN|IND|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Gävleborg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Dalarna//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Uppsala//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Värmland//PM|NOM//ROOT//0  //_SP////0 Västmanland//PM|NOM//conj//0  //_SP////2 Stockholm//PM|NOM//conj//2
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Örebro//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Södermanland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Östergötland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 Götaland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Jönköping//PM|NOM//nmod//1 Gotland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Halland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Kalmar//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Kronoberg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Skåne//PM|NOM//ROOT//0  //_SP////0 Blekinge//PM|NOM//conj//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Fallolycka//NN|UTR|SIN|IND|NOM//nsubj//1 6,31//RG|NOM//ROOT//1 till//PP//case//4 8,61//RG|NOM//advmod//4 5,53//RG|NOM//obl//1 till//PP//case//7 6,31//RG|NOM//nmod//7 4,94//RG|NOM//obl//1 till//PP//case//9 5,53//RG|NOM//obl//1  //_SP////9 1,48//RG|NOM//conj//9 till//PP//case//13 4,94//RG|NOM//obl//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Norrbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Västerbotten//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Jämtland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Västernorrland//NN|NEU|SIN|IND|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Gävleborg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Dalarna//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Uppsala//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Värmland//PM|NOM//advmod//1 Västmanland//PM|NOM//compound//3   //_SP////1 Stockholm//PM|NOM//ROOT//3
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Örebro//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Södermanland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Östergötland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 Götaland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Jönköping//PM|NOM//nmod//1 Gotland//PM|NOM//ROOT//1
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Halland//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Kalmar//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Kronoberg//PM|NOM//ROOT//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Skåne//PM|NOM//ROOT//0  //_SP////0 Blekinge//PM|NOM//conj//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Fallolycka//NN|UTR|SIN|IND|NOM//ROOT//0 3,54//RG|NOM//nummod//0 till//PP//case//4 5,36//RG|NOM//nmod//4 3,06//RG|NOM//nmod//0 till//PP//case//7 3,54//RG|NOM//nummod//7 2,56//RG|NOM//nmod//0 till//PP//case//9 3,06//RG|NOM//nmod//0  //_SP////9 1,38//RG|NOM//nummod//9 till//PP//case//13 2,56//RG|NOM//nmod//0
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Annat//JJ|POS|NEU|SIN|IND|NOM//amod//1 olycksfall//NN|NEU|SIN|IND|NOM//amod//2 3,67//RG|NOM//ROOT//2 till//PP//case//5 4,69//RG|NOM//amod//5 3,13//RG|NOM//obl//2 till//PP//case//7 3,67//RG|NOM//nummod//8 2,39//RG|NOM//nmod//5 till//PP//case//10 3,13//RG|NOM//obl//2  //_SP////10 1,49//RG|NOM//conj//10 till//PP//case//14 2,39//RG|NOM//obl//2
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Annat//JJ|POS|NEU|SIN|IND|NOM//amod//1 olycksfall//NN|NEU|SIN|IND|NOM//nsubj//12 2,66//RG|NOM//nummod//1 till//PP//case//5 3,20//RG|NOM//amod//5 2,16//RG|NOM//nmod//1 till//PP//case//8 2,66//RG|NOM//amod//8 1,78//RG|NOM//nmod//1 till//PP//case//10 2,16//RG|NOM//nmod//8  //_SP////10 0,90//RG|NOM//ROOT//12 till//PP//case//14 1,78//RG|NOM//obl//12
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Annat//JJ|POS|NEU|SIN|IND|NOM//amod//1 olycksfall//NN|NEU|SIN|IND|NOM//nsubj//5 4,61//RG|NOM//nmod//1 till//PP//case//4 6,62//RG|NOM//nmod//5 3,93//RG|NOM//ROOT//5 till//PP//case//8 4,61//RG|NOM//amod//8 3,38//RG|NOM//obl//5 till//PP//case//10 3,93//RG|NOM//nummod//12  //_SP////10 1,72//RG|NOM//obl//5 till//PP//case//14 3,38//RG|NOM//obl//12
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Annat//JJ|POS|NEU|SIN|IND|NOM//amod//1 olycksfall//NN|NEU|SIN|IND|NOM//amod//2 2,31//RG|NOM//ROOT//2 till//PP//case//5 4,10//RG|NOM//amod//5 1,93//RG|NOM//obl//2 till//PP//case//8 2,31//RG|NOM//nmod//8 1,40//RG|NOM//nmod//2 till//PP//case//10 1,93//RG|NOM//obl//2  //_SP////10 0,98//RG|NOM//amod//2 till//PP//case//14 1,40//RG|NOM//obl//2
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Avsiktlig//JJ|POS|UTR|SIN|IND|NOM//amod//1 skada//NN|UTR|SIN|IND|NOM//nsubj:pass//2 0,20//RG|NOM//ROOT//2 till//PP//case//4 0,26//RG|NOM//obl//2 0,14//RG|NOM//obl//2 till//PP//case//7 0,20//RG|NOM//obl//2 0,12//RG|NOM//cc//7 till//PP//case//10 0,14//RG|NOM//obl//2  //_SP////10 0,04//RG|NOM//obl//2 till//PP//case//14 0,12//RG|NOM//obl//2
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade flickor 13-20 år/1000;Avsiktlig//JJ|POS|UTR|SIN|IND|NOM//amod//1 skada//NN|UTR|SIN|IND|NOM//nsubj:pass//2 0,16//RG|NOM//ROOT//2 till//PP//case//5 0,25//RG|NOM//nmod//5 0,12//RG|NOM//obl//2 till//PP//case//8 0,16//RG|NOM//nmod//8 0,10//RG|NOM//obl//2 till//PP//case//12 0,12//RG|NOM//advmod//12  //_SP////10 0,04//RG|NOM//obl//2 till//PP//case//14 0,10//RG|NOM//obl//2

5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år;Avsiktlig//JJ|POS|UTR|SIN|IND|NOM//amod//1 skada//NN|UTR|SIN|IND|NOM//nsubj//12 2,07//RG|NOM//acl//1 till//PP//case//5 2,86//RG|NOM//amod//5 1,92//RG|NOM//nmod//1 till//PP//case//7 2,07//RG|NOM//nmod//5 1,45//RG|NOM//nummod//1 till//PP//case//10 1,92//RG|NOM//obl//8  //_SP////10 0,81//RG|NOM//ROOT//12 till//PP//case//14 1,45//RG|NOM//obl//12
5.2.3 Antal skadade per 1000 barn 0–20 år i länen fördelat på skadetyp, kön och åldersgrupp, aktuell nivå 2000 / Skadade pojkar 13-20 år;Avsiktlig//JJ|POS|UTR|SIN|IND|NOM//amod//1 skada//NN|UTR|SIN|IND|NOM//ROOT//1 2,99//RG|NOM//acl//1 till//PP//case//5 3,58//RG|NOM//nummod//5 2,90//RG|NOM//nmod//1 till//PP//case//8 2,99//RG|NOM//nmod//8 2,38//RG|NOM//nmod//5 till//PP//case//12 2,90//RG|NOM//advmod//12  //_SP////10 1,45//RG|NOM//nmod//1 till//PP//case//14 2,38//RG|NOM//nmod//12


5.2.4 Antal skadade per 1000 barn 0-20 år (samtliga skadetyper) fördelat på kön och kommun, aktuell nivå 2000 / Skadade pojkar/1000;14,8//RG|NOM//ROOT//0 till//PP//case//3 26,8//RG|NOM//nmod//3 12,3//RG|NOM//obl//0 till//PP//case//5 14,8//RG|NOM//obl//0

5.2.4 Antal skadade per 1000 barn 0-20 år (samtliga skadetyper) fördelat på kön och kommun, aktuell nivå 2000 / Skadade flickor/1000;10,1//RG|NOM//ROOT//0 till//PP//case//4 14,9//RG|NOM//nummod//4  //_SP////2 8,4//RG|NOM//nmod//0 till//PP//case//6 10,1//RG|NOM//obl//0


