B I L A G A 5;Landstingens//NN|NEU|PLU|DEF|GEN//ROOT//0
24. Hur informerar landstinget allmänheten om vilka tandvårdsmaterial som är möjliga att välja och vilka biverkningar materialen kan ge upphov till?;Jämtland//PM|NOM//nsubj//23  //_SP////20 har//VB|PRS|AKT//aux//23 uppgivit//VB|SUP|AKT//conj//10 att//SN//mark//27 varje//DT|UTR/NEU|SIN|IND//det//26 patient//NN|UTR|SIN|IND|NOM//nsubj//27 får//VB|PRS|AKT//ccomp//23 information//NN|UTR|SIN|IND|NOM//obj//27 om//PP//case//31 alternativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 tandvårdsmaterial//NN|NEU|PLU|IND|NOM//nmod//28 .//MAD//punct//2

25. Vilken information ger landstingets sjukvårdsupplysning patienter som ringer och är oroliga att deras symtom beror på amalgam eller andra dentala material? Vem rekommenderar sjukvårdsupplysningen att patienten tar kontakt med?;15//RG|NOM//nummod//1 landsting//NN|NEU|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 besvarat//VB|SUP|AKT//ROOT//3 frågan//NN|UTR|SIN|DEF|NOM//obj//3 .//MAD//punct//4
25. Vilken information ger landstingets sjukvårdsupplysning patienter som ringer och är oroliga att deras symtom beror på amalgam eller andra dentala material? Vem rekommenderar sjukvårdsupplysningen att patienten tar kontakt med?;8//RG|NOM//nummod//7 landsting//NN|NEU|PLU|IND|NOM//appos//4 uppmanar//VB|PRS|AKT//conj//3 patienten//NN|UTR|SIN|DEF|NOM//obj//8 att//IE//mark//11 ta//VB|INF|AKT//advcl//8 kontakt//NN|UTR|SIN|IND|NOM//obj//11 med//PP//case//15 en//DT|UTR|SIN|IND//det//15 tandläkare//NN|UTR|SIN|IND|NOM//obl//11 ,//MID//punct//17 3//RG|NOM//conj//15 med//PP//case//19 tandläkare//NN|UTR|PLU|IND|NOM//nmod//17 eller//KN//cc//21 läkare//NN|UTR|SIN|IND|NOM//conj//19 och//KN//cc//23 2//RG|NOM//conj//19 med//PP//case//25 läkare//NN|UTR|SIN|IND|NOM//obl//11 .//MID//punct//3
25. Vilken information ger landstingets sjukvårdsupplysning patienter som ringer och är oroliga att deras symtom beror på amalgam eller andra dentala material? Vem rekommenderar sjukvårdsupplysningen att patienten tar kontakt med?;Ett//DT|NEU|SIN|IND//det//28 landsting//NN|NEU|SIN|IND|NOM//nsubj//29 uppmanar//VB|PRS|AKT//parataxis//3 patienterna//NN|UTR|PLU|DEF|NOM//obj//29 att//IE//mark//32 söka//VB|INF|AKT//advcl//29 information//NN|UTR|SIN|IND|NOM//obj//32 på//PP//case//36 landstingets//NN|NEU|SIN|DEF|GEN//nmod:poss//36 hemsida//NN|UTR|SIN|IND|NOM//nmod//33 och//KN//cc//42 ett//DT|NEU|SIN|IND//det//39 annat//JJ|POS|NEU|SIN|IND|NOM//nsubj//42 kan//VB|PRS|AKT//aux//42 inte//AB//advmod//42 svara//VB|INF|AKT//conj//32 på//PP//case//44 frågan//NN|UTR|SIN|DEF|NOM//obl//42 eftersom//SN//mark//49 landstingets//NN|NEU|SIN|DEF|GEN//nmod:poss//47 sjukvårdsupplysning//NN|UTR|SIN|IND|NOM//nsubj//49 endast//AB//advmod//49 funnits//VB|SUP|SFO//acl//44 under//PP//case//52 ett//RG|NEU|SIN|IND|NOM//nummod//52 år//NN|NEU|SIN|IND|NOM//obl//49 .//MAD//punct//29

26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;17//RG|NOM//nummod//1 landsting//NN|NEU|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 besvarat//VB|SUP|AKT//ROOT//3 frågan//NN|UTR|SIN|DEF|NOM//nmod//6 9//RG|NOM//nummod//6 landsting//NN|NEU|PLU|IND|NOM//obj//3 uppger//VB|PRS|AKT//advcl//3 att//SN//mark//11 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//11 inte//AB//advmod//11 har//VB|PRS|AKT//ccomp//7 ett//DT|NEU|SIN|IND//det//13 samarbete//NN|NEU|SIN|IND|NOM//obj//11 med//PP//case//15 Tandvårdsskadeförbundet//PM|NOM//nmod//13 ,//MID//punct//7 3//RG|NOM//nummod//18 uppger//VB|PRS|AKT//conj//3 att//SN//mark//21 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//21 har//VB|PRS|AKT//ccomp//18 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//21 .//MAD//punct//3
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;5//RG|NOM//nummod//25 landsting//NN|NEU|PLU|IND|NOM//nsubj//28 har//VB|PRS|AKT//aux//28 varken//KN//cc//28 svarat//VB|SUP|AKT//parataxis//3 ja//IN//obj//28 eller//KN//cc//31 nej//IN//conj//29 ,//MID//punct//34 men//KN//cc//34 skrivit//VB|SUP|AKT//conj//28 en//DT|UTR|SIN|IND//det//36 kommentar//NN|UTR|SIN|IND|NOM//obj//34 .//MAD//punct//28
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;Uppsala//PM|NOM//nsubj//3  //_SP////0 har//VB|PRS|AKT//aux//3 fört//VB|SUP|AKT//ROOT//3 en//DT|UTR|SIN|IND//det//5 diskussion//NN|UTR|SIN|IND|NOM//obj//3 om//PP//case//7 rutiner//NN|UTR|PLU|IND|NOM//nmod//5 för//PP//case//9 omhändertagande//NN|NEU|SIN|IND|NOM//nmod//7 med//PP//case//11 förbundet//NN|NEU|SIN|DEF|NOM//nmod//9 .//MAD//punct//3
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;Örebro//PM|NOM//nsubj//3  //_SP////0 har//VB|PRS|AKT//aux//3 gett//VB|SUP|AKT//ROOT//3 bidrag//NN|NEU|SIN|IND|NOM//obj//3 till//PP//case//7 förbundets//NN|NEU|SIN|DEF|GEN//nmod:poss//7 verksamhet//NN|UTR|SIN|IND|NOM//obl//3 .//MAD//punct//3
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;Västernorrland//PM|NOM//nsubj//11  //_SP////9 har//VB|PRS|AKT//parataxis//3 ett//DT|NEU|SIN|IND//det//13 samarbete//NN|NEU|SIN|IND|NOM//obj//11 med//PP//case//15 HSO//PM|NOM//nmod//13 där//HA//advmod//19 Tandvårdsskadeförbundet//NN|NEU|SIN|DEF|NOM//nsubj//19 är//VB|PRS|AKT//cop//19 medlem//NN|UTR|SIN|IND|NOM//acl:relcl//13 .//MAD//punct//11
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;Av//PP//case//1 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//12 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 svarat//VB|SUP|AKT//acl:relcl//1 nej//IN//obj//4 på//PP//case//7 frågan//NN|UTR|SIN|DEF|NOM//obl//4 om//PP//case//9 kontakt//NN|UTR|SIN|IND|NOM//nmod//7 med//PP//case//11 Tandvårdsskadeförbundet//NN|NEU|SIN|DEF|NOM//nmod//7 uppger//VB|PRS|AKT//ROOT//12 3//RG|NOM//nummod//18 att//SN//mark//18 de//DT|UTR/NEU|PLU|DEF//nsubj//18 tidigare//AB|KOM//advmod//18 har//VB|PRS|AKT//aux//18 haft//VB|SUP|AKT//ccomp//12 regelbundna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//20 möten//NN|NEU|PLU|IND|NOM//obj//18 med//PP//case//22 förbundet//NN|NEU|SIN|DEF|NOM//nmod//20 ,//MID//punct//28 men//KN//cc//28 att//SN//mark//28 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//28 inte//AB//advmod//28 har//VB|PRS|AKT//conj//12 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//28 längre//AB|KOM//advmod//28 .//MAD//punct//12
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 kommentarer//NN|UTR|PLU|IND|NOM//ROOT//1 ://MAD//punct//1
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;Jönköping//PM|NOM//nsubj//2  //_SP////0 uppger//VB|PRS|AKT//ROOT//2 att//SN//mark//5 landstinget//NN|NEU|SIN|DEF|NOM//nsubj//5 har//VB|PRS|AKT//ccomp//2 ett//DT|NEU|SIN|IND//det//9 mycket//AB|POS//advmod//8 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 samarbete//NN|NEU|SIN|IND|NOM//obj//5 med//PP//case//11 Tandvårdsskadeförbundet//PM|NOM//nmod//9 ,//MID//punct//2 men//KN//cc//17 att//SN//mark//17 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//17 inte//AB//advmod//17 finns//VB|PRS|SFO//conj//2 något//DT|NEU|SIN|IND//det//19 vårdprogram//NN|NEU|SIN|IND|NOM//nsubj//17 .//MAD//punct//2
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;Västmanland//PM|NOM//nsubj//2  //_SP////0 skriver//VB|PRS|AKT//ROOT//2 att//SN//mark//7 ansvaret//NN|NEU|SIN|DEF|NOM//nsubj//7 för//PP//case//6 vårdprogram//NN|NEU|PLU|IND|NOM//nmod//4 ligger//VB|PRS|AKT//ccomp//2 på//PP//case//9 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//7 som//HP|-|-|-//nsubj//11 har//VB|PRS|AKT//acl:relcl//9 det//DT|NEU|SIN|DEF//det//14 medicinska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 ansvaret//NN|NEU|SIN|DEF|NOM//obj//11 .//MAD//punct//2
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;Tandvårdsskadeförbundet//NN|NEU|SIN|DEF|NOM//nsubj//18 är//VB|PRS|AKT//cop//18 adjungerad//PC|PRF|UTR|SIN|IND|NOM//parataxis//2 till//PP//case//20 HSO//PM|NOM//obl//18 som//HP|-|-|-//mark//23 landstinget//NN|NEU|SIN|DEF|NOM//nsubj//23 samarbetar//VB|PRS|AKT//acl:relcl//20 med//PP//case//23 .//MAD//punct//18
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//28 har//VB|PRS|AKT//aux//28 funnits//VB|SUP|SFO//conj//18 kontakter//NN|UTR|PLU|IND|NOM//obj//28 mellan//PP//case//32 Tandvårdsskadeförbundets//NN|NEU|SIN|DEF|GEN//nmod:poss//32 lokalavdelning//NN|UTR|SIN|IND|NOM//nmod//29 och//KN//cc//34 politiker//NN|UTR|PLU|IND|NOM//conj//32 ,//MID//punct//36 tjänstemän//NN|UTR|PLU|IND|NOM//conj//32 och//KN//cc//38 utförare//NN|UTR|PLU|IND|NOM//conj//32 .//MAD//punct//18
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;Skåne//PM|NOM//nsubj//2  //_SP////0 hänvisar//VB|PRS|AKT//ROOT//2 till//PP//mark//6 att//SN//mark//6 Tandvårdsskadeförbundet//NN|NEU|SIN|DEF|NOM//nsubj//6 ingår//VB|PRS|AKT//advcl//2 i//PP//case//8 HSO//PM|NOM//obl//6 och//KN//cc//13 att//SN//mark//13 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//13 därigenom//AB//advmod//13 finns//VB|PRS|SFO//conj//2 en//DT|UTR|SIN|IND//det//15 kontakt//NN|UTR|SIN|IND|NOM//nsubj//13 med//PP//case//17 förbundet//NN|NEU|SIN|DEF|NOM//obl//13 .//MAD//punct//2
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material?;Västerbotten//PM|NOM//nsubj//2  //_SP////0 uppger//VB|PRS|AKT//ROOT//2 att//SN//mark//5 nämnderna//NN|UTR|PLU|DEF|NOM//nsubj//5 har//VB|PRS|AKT//ccomp//2 regelbundna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//7 träffar//NN|UTR|PLU|IND|NOM//obj//5 med//PP//case//9 Tandvårdsskadeförbundet//NN|NEU|SIN|DEF|NOM//obl//7 .//MAD//punct//2

26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 Götaland//PM|NOM//nsubj//28 och//KN//cc//4  //_SP////2 Västerbotten//PM|NOM//conj//1 ,//MID//punct//1 men//KN//cc//10 också//AB//advmod//9  //_SP////7 Gotland//PM|NOM//nsubj//10 har//VB|PRS|AKT//conj//1 en//DT|UTR|SIN|IND//det//14 mer//AB|KOM//advmod//13 specificerad//PC|PRF|UTR|SIN|IND|NOM//amod//14 utredningsgång//NN|UTR|SIN|IND|NOM//obj//10 för//PP//case//17 dessa//DT|UTR/NEU|PLU|DEF//det//17 ärenden//NN|NEU|PLU|IND|NOM//obl//10 innan//SN//mark//20 förhandsbedömningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//20 skickas//VB|PRS|SFO//advcl//10 in//PL//compound:prt//20 till//PP//case//23 landstinget//NN|NEU|SIN|DEF|NOM//obl//20 .//MID//punct//1
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;Deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//26 uppläggning//NN|UTR|SIN|IND|NOM//nsubj//28 är//VB|PRS|AKT//cop//28 likartad//PC|PRF|UTR|SIN|IND|NOM//ROOT//28 .//MAD//punct//28
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;En//DT|UTR|SIN|IND//det//32 första//RO|NOM//amod//32 undersökning//NN|UTR|SIN|IND|NOM//nsubj:pass//33 görs//VB|PRS|SFO//parataxis//28 av//PP//case//35 läkare//NN|UTR|PLU|IND|NOM//obl:agent//33 eller//KN//cc//37 tandläkare//NN|UTR|SIN|IND|NOM//conj//35 .//MAD//punct//28
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;Om//SN//mark//3 tandläkaren//NN|UTR|SIN|DEF|NOM//nsubj//3 först//AB//advmod//3 möter//VB|PRS|AKT//ROOT//3 patienten//NN|UTR|SIN|DEF|NOM//obj//3 ://MAD//punct//3
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;Grundlig//JJ|POS|UTR|SIN|IND|NOM//amod//2 odonotologisk//JJ|POS|UTR|SIN|IND|NOM//amod//2 undersökning//NN|UTR|SIN|IND|NOM//nsubj//27 för//PP//mark//5 att//IE//mark//5 utesluta//VB|INF|AKT//acl//2 odontologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 orsaker//NN|UTR|PLU|IND|NOM//obj//5 till//PP//case//10 patientens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 besvär//NN|NEU|SIN|IND|NOM//obl//5 ,//MID//punct//13 därefter//AB//advmod//13 hänvisning//NN|UTR|SIN|IND|NOM//conj//2 till//PP//case//16 ansvarig//JJ|POS|UTR|SIN|IND|NOM//amod//16 läkare//NN|UTR|SIN|IND|NOM//nmod//13 ,//MID//punct//18 distrikts-//NN|UTR|-|-|SMS//conj//16 eller//KN//cc//20 husläkare//NN|UTR|SIN|IND|NOM//conj//16 för//PP//case//23 medicinsk//JJ|POS|UTR|SIN|IND|NOM//amod//23 undersökning//NN|UTR|SIN|IND|NOM//nmod//13 .//MAD//punct//13
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//26 Götaland//PM|NOM//nsubj//27 anger//VB|PRS|AKT//ROOT//27 här//AB//advmod//27 att//SN//mark//32 patienten//NN|UTR|SIN|DEF|NOM//nsubj:pass//32 ska//VB|PRS|AKT//aux//32 undersökas//VB|INF|SFO//ccomp//27 enligt//PP//case//36 Socialstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//36 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 råd//NN|NEU|SIN|IND|NOM//obl//32 om//PP//case//38 bemötande//NN|NEU|SIN|IND|NOM//nmod//36 av//PP//case//40 patienter//NN|UTR|PLU|IND|NOM//nmod//38 (//PAD//punct//27 SOSFS//PM|NOM//parataxis//27 1998:3//RG|NOM//nummod//42 )//PAD//punct//42 medan//SN//mark//47 Västerbotten//PM|NOM//nsubj//47 hänvisar//VB|PRS|AKT//advcl//27 till//PP//mark//57 att//SN//mark//57 den//DT|UTR|SIN|DEF//det//52 ansvarige//JJ|POS|MAS|SIN|DEF|NOM//amod//52 läkaren//NN|UTR|SIN|DEF|NOM//nsubj//57 i//PP//case//55 detta//DT|NEU|SIN|DEF//det//55 skede//NN|NEU|SIN|IND|NOM//nmod//52 kan//VB|PRS|AKT//aux//57 koppla//VB|INF|AKT//advcl//47 in//PL//compound:prt//57 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 specialister//NN|UTR|PLU|IND|NOM//obj//57 .//MAD//punct//27
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;Om//SN//mark//3 läkaren//NN|UTR|SIN|DEF|NOM//nsubj//3 först//AB//advmod//3 möter//VB|PRS|AKT//ROOT//3 patienten//NN|UTR|SIN|DEF|NOM//obj//3 ://MAD//punct//3
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;Grundlig//JJ|POS|UTR|SIN|IND|NOM//amod//2 medicinsk//JJ|POS|UTR|SIN|IND|NOM//amod//2 undersökning//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//mark//5 att//IE//mark//5 utesluta//VB|INF|AKT//acl//2 medicinska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 orsaker//NN|UTR|PLU|IND|NOM//obj//5 till//PP//case//10 patientens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 besvär//NN|NEU|SIN|IND|NOM//obl//5 ,//MID//punct//13 därefter//AB//advmod//13 hänvisning//NN|UTR|SIN|IND|NOM//conj//2 till//PP//case//15 tandläkare//NN|UTR|PLU|IND|NOM//nmod//13 för//PP//case//18 odontologisk//JJ|POS|UTR|SIN|IND|NOM//amod//18 undersökning//NN|UTR|SIN|IND|NOM//nmod//15 .//MAD//punct//2
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;Tandläkare//NN|UTR|PLU|IND|NOM//nsubj//4 och//KN//cc//2 läkare//NN|UTR|SIN|IND|NOM//conj//0 ska//VB|PRS|AKT//aux//4 samråda//VB|INF|AKT//ROOT//4 om//PP//case//7 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//7 handläggning//NN|UTR|SIN|IND|NOM//obl//4 .//MAD//punct//7
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;Västerbotten//PM|NOM//nsubj//13  //_SP////9 och//KN//cc//12 Gotland//PM|NOM//conj//9 anger//VB|PRS|AKT//parataxis//4 att//SN//mark//17 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//17 kan//VB|PRS|AKT//aux//17 handla//VB|INF|AKT//ccomp//13 om//PP//case//23 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 odontologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 och//KN//cc//22 medicinska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//20 behandlingar//NN|UTR|PLU|IND|NOM//obl//17 .//MAD//punct//25
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;Gotland//PM|NOM//nsubj//27  //_SP////25 påpekar//VB|PRS|AKT//conj//13 att//SN//mark//31 dessa//DT|UTR/NEU|PLU|DEF//det//30 undersökningar//NN|UTR|PLU|IND|NOM//nsubj//31 sker//VB|PRS|AKT//ccomp//27 inom//PP//case//37 tandvårdsförsäkringens//NN|UTR|SIN|DEF|GEN//nmod:poss//37 och//KN//cc//35 sjukförsäkringens//NN|UTR|SIN|DEF|GEN//conj//33 normala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 ersättningsregler//NN|UTR|PLU|IND|NOM//obl//31 .//MAD//punct//4
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;I//PP//case//2 Västra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 Götaland//PM|NOM//obl//4  //_SP////2 har//VB|PRS|AKT//ROOT//4 en//DT|UTR|SIN|IND//det//6 patient//NN|UTR|SIN|IND|NOM//obj//4 med//PP//case//9 psykiatrisk//JJ|POS|UTR|SIN|IND|NOM//amod//9 diagnos//NN|UTR|SIN|IND|NOM//nmod//6 rätt//NN|UTR|SIN|IND|NOM//advmod//4 till//PP//case//12 fyllningsbyte//NN|NEU|SIN|IND|NOM//nmod//10 enligt//PP//case//14 reglerna//NN|UTR|PLU|DEF|NOM//obl//4 .//MAD//punct//4
26. Tandvårdsskadeförbundet heter det handikappförbund som tar tillvara de tandvårdsskadades intresse. Samarbetar landstinget och Tandvårdsskadeförbundet när det gäller upprättande av vårdprogram etc. för patienter som relaterar sina symtom till amalgam eller andra dentala material? / Tre landsting med likartad utredningsgång enligt 7 § tandvårdsförordningen;En//DT|UTR|SIN|IND//det//17 psykiatriker//NN|UTR|SIN|IND|NOM//nsubj//22 ska//VB|PRS|AKT//aux//22 i//PP//advmod//22 så//AB//amod//21 fall//NN|NEU|SIN|IND|NOM//fixed//19 intyga//VB|INF|AKT//parataxis//4 att//SN//mark//31 patientens//NN|UTR|SIN|DEF|GEN//nmod:poss//25 symtom//NN|NEU|PLU|IND|NOM//nsubj:pass//31 med//PP//case//28 stor//JJ|POS|UTR|SIN|IND|NOM//amod//28 sannolikhet//NN|UTR|SIN|IND|NOM//nmod//25 kommer//VB|PRS|AKT//aux//31 att//IE//mark//31 förbättras//VB|INF|SFO//ccomp//22 vid//PP//case//33 byte//NN|NEU|SIN|IND|NOM//obl//31 av//PP//case//35 tandfyllningar//NN|UTR|PLU|IND|NOM//nmod//33 .//MAD//punct//4
