Inledning;I//PP//case//2 föreliggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 betänkande//NN|NEU|SIN|IND|NOM//obl//3 lägger//VB|PRS|AKT//ROOT//3 utredningen//NN|UTR|SIN|DEF|NOM//obj//3 i//PP//case//9 enlighet//NN|UTR|SIN|IND|NOM//fixed//5 med//PP//case//9 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//9 direktiv//NN|NEU|PLU|IND|NOM//obl//3 fram//PL//advmod//3 en//DT|UTR|SIN|IND//det//13 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//13 utvärdering//NN|UTR|SIN|IND|NOM//obj//3 av//PP//case//17 den//DT|UTR|SIN|DEF//det//17 arbetsgivarpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 reform//NN|UTR|SIN|IND|NOM//nmod//13 ,//MID//punct//13 som//HP|-|-|-//nsubj:pass//20 genomfördes//VB|PRT|SFO//acl:relcl//13 den//DT|UTR|SIN|DEF//det//23 1//RO|NOM//nummod//23 juli//NN|UTR|SIN|IND|NOM//obl//20 1994//RG|NOM//nummod//23 .//MAD//punct//3
Lönebildningen i staten;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 bedömer//VB|PRS|AKT//ROOT//1  //_SP////1 att//SN//mark//14 staten//NN|UTR|SIN|DEF|NOM//nsubj:pass//14 som//KN//mark//6 arbetsgivare//NN|UTR|SIN|IND|NOM//nmod//4 sedan//PP//case//8 stabiliseringsavtalen//NN|UTR|SIN|DEF|NOM//nmod//6 i//PP//case//10 början//NN|UTR|SIN|DEF|NOM//nmod//8 av//PP//case//12 1990-talet//NN|NEU|SIN|DEF|NOM//nmod//10 hittills//AB//advmod//14 lönebildat//NN|NEU|SIN|DEF|NOM//ccomp//1 på//PP//case//21 en//DT|UTR|SIN|IND//det//21 från//PP//case//19 samhällsekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//19 synpunkt//NN|UTR|SIN|IND|NOM//obl//20 ansvarsfull//JJ|POS|UTR|SIN|IND|NOM//amod//21 nivå//NN|UTR|SIN|IND|NOM//obl//14 .//MAD//punct//1
Lönebildningen i staten;Det//DT|NEU|SIN|DEF//det//25 delegerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//25 systemet//NN|NEU|SIN|DEF|NOM//nsubj//29 har//VB|PRS|AKT//aux//29 således//AB//advmod//29 inte//AB//advmod//29 medfört//VB|SUP|AKT//parataxis//1 en//DT|UTR|SIN|IND//det//32 negativ//JJ|POS|UTR|SIN|IND|NOM//amod//32 utveckling//NN|UTR|SIN|IND|NOM//obj//29 sett//PC|PRF|NEU|SIN|IND|NOM//advmod//29 från//PP//case//36 denna//DT|UTR|SIN|DEF//det//36 utgångspunkt//NN|UTR|SIN|IND|NOM//obl//33 .//MAD//punct//1
Lönebildningen i staten;Arbetsgivarverket//NN|NEU|SIN|DEF|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 vara//VB|INF|AKT//cop//4 ett//DT|NEU|SIN|IND//det//4 forum//NN|NEU|SIN|IND|NOM//ROOT//4 där//HA//advmod//9 den//DT|UTR|SIN|DEF//det//8 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 lönepolitiken//NN|UTR|SIN|DEF|NOM//nsubj:pass//9 diskuteras//VB|PRS|SFO//acl:relcl//4 och//KN//cc//11 formas//VB|PRS|SFO//conj//9 .//MAD//punct//4
Lönebildningen i staten;Utgångspunkten//NN|UTR|SIN|DEF|NOM//nsubj//15 bör//VB|PRS|AKT//aux//15 vara//VB|INF|AKT//parataxis//4 att//SN//mark//20 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 lönebildning//NN|UTR|SIN|IND|NOM//nsubj//20 skall//VB|PRS|AKT//aux//20 klara//VB|INF|AKT//ccomp//15 svåra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 frågor//NN|UTR|PLU|IND|NOM//obj//20 som//KN//case//24 lönerelationer//NN|UTR|PLU|IND|NOM//obl//20 och//KN//cc//27 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//27 löneökningsbehov//NN|NEU|PLU|IND|NOM//conj//24 inom//PP//case//29 en//DT|UTR|SIN|IND//obl//20 för//PP//case//31 helheten//NN|UTR|SIN|DEF|NOM//obl//32 given//PC|PRF|UTR|SIN|IND|NOM//conj//20 kostnadsram//NN|UTR|SIN|IND|NOM//obj//32 där//HA//advmod//39 den//DT|UTR|SIN|DEF//det//38 internationellt//AB|POS//advmod//37 konkurrensutsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//38 sektorn//NN|UTR|SIN|DEF|NOM//nsubj//39 har//VB|PRS|AKT//acl:relcl//33 en//DT|UTR|SIN|IND//det//42 lönenormerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 roll//NN|UTR|SIN|IND|NOM//obj//39 .//MAD//punct//15
Lönebildningen i staten;Delegeringen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 medfört//VB|SUP|AKT//ROOT//2 en//DT|UTR|SIN|IND//det//5 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 verksamhetsanpassning//NN|UTR|SIN|IND|NOM//obj//2 av//PP//case//7 lönebildningen//NN|UTR|SIN|DEF|NOM//nmod//5 .//MAD//punct//2
Lönebildningen i staten;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//12 har//VB|PRS|AKT//aux//12 därigenom//AB//advmod//12 blivit//VB|SUP|AKT//parataxis//2 ett//DT|NEU|SIN|IND//det//15 effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 instrument//NN|NEU|SIN|IND|NOM//obj//12 för//PP//case//18 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//18 personalförsörjning//NN|UTR|SIN|IND|NOM//obl//12 .//MAD//punct//12
Lönebildningen i staten;Även//AB//mark//24 om//SN//fixed//20 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//24 har//VB|PRS|AKT//aux//24 förekommit//VB|SUP|AKT//advcl//25 uppmärksammade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//12 fall//NN|NEU|PLU|IND|NOM//obj//25 av//PP//case//29 osund//JJ|POS|UTR|SIN|IND|NOM//amod//29 lönekonkurrens//NN|UTR|SIN|IND|NOM//nmod//26 vid//PP//case//33 den//DT|UTR|SIN|DEF//det//33 lokala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 lönebildningen//NN|UTR|SIN|DEF|NOM//nmod//26 inom//PP//case//36 några//DT|UTR/NEU|PLU|IND//det//36 myndigheter//NN|UTR|PLU|IND|NOM//nmod//33 föreligger//VB|PRS|AKT//conj//12 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//37 i//PP//case//40 grunden//NN|UTR|SIN|DEF|NOM//obl//37 inte//AB//advmod//43 något//DT|NEU|SIN|IND//det//43 systemfel//NN|NEU|SIN|IND|NOM//obj//37 som//HP|-|-|-//nsubj:pass//46 kan//VB|PRS|AKT//aux//46 härledas//VB|INF|SFO//acl:relcl//43 till//PP//case//48 delegeringen//NN|UTR|SIN|DEF|NOM//obl//46 .//MAD//punct//2
Lönebildningen i staten;För//PP//mark//2 att//IE//mark//2 klara//VB|INF|AKT//advcl//14 de//DT|UTR/NEU|PLU|DEF//det//4 krav//NN|NEU|PLU|IND|NOM//obj//2 som//HP|-|-|-//nsubj:pass//8 kommer//VB|PRS|AKT//aux//8 att//IE//mark//8 ställas//VB|INF|SFO//acl:relcl//4 på//PP//case//12 de//DT|UTR/NEU|PLU|DEF//det//12 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 arbetsgivarna//NN|UTR|PLU|DEF|NOM//obl//8 framöver//AB//advmod//8 krävs//VB|PRS|SFO//ROOT//14 en//DT|UTR|SIN|IND//det//17 förbättrad//PC|PRF|UTR|SIN|IND|NOM//amod//17 samordning//NN|UTR|SIN|IND|NOM//nsubj:pass//14 av//PP//case//19 förhandlingsarbetet//NN|NEU|SIN|DEF|NOM//nmod//17 på//PP//case//21 arbetsgivarsidan//NN|UTR|SIN|DEF|NOM//nmod//19 .//MAD//punct//14
Lönebildningen i staten;Samordningen//NN|UTR|SIN|DEF|NOM//nsubj//27 kan//VB|PRS|AKT//aux//27 med//PP//case//26 fördel//NN|UTR|SIN|IND|NOM//obl//27 ske//VB|INF|AKT//parataxis//14 från//PP//case//31 ett//DT|NEU|SIN|IND//det//31 sektoriellt//JJ|POS|NEU|SIN|IND|NOM//amod//31 perspektiv//NN|NEU|SIN|IND|NOM//obl//27 där//HA//advmod//38 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 sektorers//NN|UTR|PLU|IND|GEN//nmod:poss//35 frågor//NN|UTR|PLU|IND|NOM//nsubj:pass//38 bör//VB|PRS|AKT//aux//38 kunna//VB|INF|AKT//aux//38 diskuteras//VB|INF|SFO//acl:relcl//31 med//PP//case//40 deltagande//NN|NEU|SIN|IND|NOM//obl//38 av//PP//case//42 myndighetscheferna//NN|UTR|PLU|DEF|NOM//nmod//40 och//KN//cc//44 Arbetsgivarverket//PM|NOM//conj//42 .//MID//punct//27
Lönebildningen i staten;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//50 är//VB|PRS|AKT//cop//50 dock//AB//advmod//50 inte//AB//advmod//50 meningen//NN|UTR|SIN|DEF|NOM//parataxis//27 att//SN//mark//60 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//55 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 avtal//NN|NEU|PLU|IND|NOM//nsubj:pass//60 (//PAD//punct//55 sektorsavtal//NN|NEU|PLU|IND|NOM//appos//55 )//PAD//punct//55 skall//VB|PRS|AKT//aux//60 slutas//VB|INF|SFO//csubj//50 .//MAD//punct//50
Lönebildningen i staten;Arbetsgivarsamverkan//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 byggas//VB|INF|SFO//ROOT//2 in//PL//compound:prt//2 redan//AB//advmod//6 i//PP//case//6 strukturen//NN|UTR|SIN|DEF|NOM//obl//2 för//PP//case//8 förberedelserna//NN|UTR|PLU|DEF|NOM//nmod//6 inför//PP//advmod//2 och//KN//cc//11 arbetet//NN|NEU|SIN|DEF|NOM//conj//9 under//PP//case//15 de//DT|UTR/NEU|PLU|DEF//det//15 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 löneförhandlingarna//NN|UTR|PLU|DEF|NOM//obl//2 .//MAD//punct//2
Lönebildningen i staten;Liksom//PP//mark//25 i//PP//advmod//25 dag//NN|UTR|SIN|IND|NOM//fixed//18 skall//VB|PRS|AKT//aux//25 de//DT|UTR/NEU|PLU|DEF//det//23 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 förhandlingarna//NN|UTR|PLU|DEF|NOM//nsubj//25 självfallet//AB|POS//advmod//25 ske//VB|INF|AKT//advcl//2 under//PP//case//27 avtalsfrihet//NN|UTR|SIN|IND|NOM//obl//25 för//PP//case//30 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 parter//NN|UTR|PLU|IND|NOM//obl//25 .//MAD//punct//2
Lönebildningen i staten;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//34 är//VB|PRS|AKT//cop//34 viktigt//JJ|POS|NEU|SIN|IND|NOM//parataxis//2 att//SN//mark//40 myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//40 inom//PP//case//39 en//DT|UTR|SIN|IND//det//39 sektor//NN|UTR|SIN|IND|NOM//nmod//36 samverkar//VB|PRS|AKT//csubj//34 genom//PP//case//42 informationsutbyte//NN|NEU|SIN|IND|NOM//obl//40 och//KN//cc//44 dialog//NN|UTR|SIN|IND|NOM//conj//42 .//MID//punct//34
Lönebildningen i staten;Ett//DT|NEU|SIN|IND//det//49 mer//AB|KOM//advmod//48 samordnat//PC|PRF|NEU|SIN|IND|NOM//amod//49 förhandlingsarbete//NN|NEU|SIN|IND|NOM//nsubj//50 kräver//VB|PRS|AKT//parataxis//34 bl.a.//AB|AN//advmod//50 stöd//NN|NEU|SIN|IND|NOM//obj//50 i//PP//case//57 en//DT|UTR|SIN|IND//det//57 mer//AB|KOM//advmod//56 ändamålsenlig//JJ|POS|UTR|SIN|IND|NOM//amod//57 lednings-//NN|UTR|-|-|SMS//obl//50 och//KN//cc//59 organisationsstruktur//NN|UTR|SIN|IND|NOM//conj//57 för//PP//case//61 Arbetsgivarverket//PM|NOM//nmod//59 .//MAD//punct//34
Lönebildningen i staten;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 lokala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 lönebildningen//NN|UTR|SIN|DEF|NOM//obl//4 sker//VB|PRS|AKT//ROOT//4 en//DT|UTR|SIN|IND//det//6 utveckling//NN|UTR|SIN|IND|NOM//nsubj//4 mot//PP//case//8 individualisering//NN|UTR|SIN|IND|NOM//nmod//6 där//HA//advmod//16 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//11 spektret//NN|NEU|SIN|DEF|NOM//nsubj:pass//16 av//PP//case//13 förmåner//NN|UTR|PLU|IND|NOM//nmod//11 och//KN//cc//15 arbetsvillkor//NN|NEU|PLU|IND|NOM//conj//13 används//VB|PRS|SFO//acl:relcl//8 .//MID//punct//4
Lönebildningen i staten;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//21 kommer//VB|PRS|AKT//aux//21 att//IE//mark//21 bli//VB|INF|AKT//parataxis//4 allt//AB//advmod//23 vanligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//21 och//KN//cc//25 viktigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//23 att//IE//mark//27 kombinera//VB|INF|AKT//advcl//21 lön//NN|UTR|SIN|IND|NOM//obj//27 och//KN//cc//31 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 arbets-//NN|NEU|-|-|SMS//conj//28 eller//KN//cc//33 anställningsvillkor//NN|NEU|PLU|IND|NOM//conj//31 i//PP//case//35 en//DT|UTR|SIN|IND//obl//27 för//PP//case//38 den//DT|UTR|SIN|DEF//det//38 anställde//PC|PRF|MAS|SIN|DEF|NOM//nmod//35 och//KN//cc//40 arbetsgivaren//NN|UTR|SIN|DEF|NOM//conj//38 lämplig//JJ|POS|UTR|SIN|IND|NOM//amod//42 mix//NN|UTR|SIN|IND|NOM//obj//27 .//MAD//punct//4
Lönebildningen i staten;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//48 är//VB|PRS|AKT//cop//48 i//PP//advmod//48 dag//NN|UTR|SIN|IND|NOM//fixed//46 möjligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//4 enligt//PP//case//50 avtal//NN|NEU|SIN|IND|NOM//obl//48 men//KN//cc//52 utnyttjas//VB|PRS|SFO//conj//4 ännu//AB//advmod//52 inte//AB//advmod//52 i//PP//case//58 någon//DT|UTR|SIN|IND//det//58 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//58 utsträckning//NN|UTR|SIN|IND|NOM//obl//52 .//MAD//punct//4
Lönebildningen i staten;Här//AB//advmod//64 kan//VB|PRS|AKT//aux//64 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 lösningar//NN|UTR|PLU|IND|NOM//nsubj:pass//64 förväntas//VB|PRS|SFO//parataxis//4 inte//AB//advmod//64 minst//AB|SUV//mark//68 vad//HP|NEU|SIN|IND//nsubj//68 gäller//VB|PRS|AKT//advcl//64 lön-arbetstid//NN|UTR|SIN|IND|NOM//advmod//68 .//MAD//punct//64
Lönebildningen i staten;Utvecklingen//NN|UTR|SIN|DEF|NOM//appos//64 av//PP//case//74 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 löneformer//NN|UTR|PLU|IND|NOM//nmod//71 för//PP//mark//77 att//IE//mark//77 få//VB|INF|AKT//acl//71 en//DT|UTR|SIN|IND//det//80 direktare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//80 koppling//NN|UTR|SIN|IND|NOM//obj//77 mellan//PP//case//82 verksamhetsmål//NN|NEU|PLU|IND|NOM//nmod//80 ///MID//cc//84 resultat//NN|NEU|SIN|IND|NOM//conj//82 och//KN//cc//86 lön//NN|UTR|SIN|IND|NOM//conj//82 kommer//VB|PRS|AKT//aux//89 att//IE//mark//89 fortsätta//VB|INF|AKT//conj//64 .//MAD//punct//4
Lönebildningen i staten;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//92 går//VB|PRS|AKT//parataxis//4 möjligen//AB//advmod//92 också//AB//advmod//92 mot//PP//case//96 introduktion//NN|UTR|SIN|IND|NOM//obl//92 i//PP//case//99 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//99 skala//NN|UTR|SIN|IND|NOM//obl//92 av//PP//case//102 prestationsrelaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//102 ersättningar//NN|UTR|PLU|IND|NOM//nmod//99 där//HA//advmod//106 den//DT|UTR|SIN|DEF//det//105 anställde//PC|PRF|MAS|SIN|DEF|NOM//nsubj//106 får//VB|PRS|AKT//acl:relcl//102 ersättning//NN|UTR|SIN|IND|NOM//obj//106 för//PP//mark//110 att//IE//mark//110 utföra//VB|INF|AKT//advcl//106 en//DT|UTR|SIN|IND//det//113 viss//JJ|POS|UTR|SIN|IND|NOM//amod//113 uppgift//NN|UTR|SIN|IND|NOM//obj//110 .//MAD//punct//92
Lönebildningen i staten;Detta//PN|NEU|SIN|DEF|SUB/OBJ//det//116 sammanhänger//VB|PRS|AKT//conj//92 bl.a.//AB|AN//advmod//116 med//PP//mark//127 hur//HA//advmod//127 de//DT|UTR/NEU|PLU|DEF//det//122 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//122 möjligheterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//127 till//PP//case//124 distansarbete//NN|NEU|SIN|IND|NOM//nmod//122 kommer//VB|PRS|AKT//aux//127 att//IE//mark//127 utnyttjas//VB|INF|SFO//advcl//116 i//PP//case//129 framtiden//NN|UTR|SIN|DEF|NOM//obl//127 .//MAD//punct//116
Lönebildningen i staten;Men//KN//cc//134 utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//134 kan//VB|PRS|AKT//aux//134 leda//VB|INF|AKT//conj//92 till//PP//case//136 spänningar//NN|UTR|PLU|IND|NOM//obl//134 i//PP//case//138 organisationen//NN|UTR|SIN|DEF|NOM//nmod//136 och//KN//cc//140 ställer//VB|PRS|AKT//conj//92 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//142 krav//NN|NEU|PLU|IND|NOM//obj//140 både//KN//cc//146 på//PP//case//146 chefernas//NN|UTR|PLU|DEF|GEN//nmod:poss//146 ledarskap//NN|NEU|SIN|IND|NOM//obl//140 och//KN//cc//149 på//PP//case//149 medarbetarna//NN|UTR|PLU|DEF|NOM//conj//146 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//149 .//MAD//punct//92
Lönebildningen i staten;Den//DT|UTR|SIN|DEF//det//154 skisserade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//154 utvecklingen//NN|UTR|SIN|DEF|NOM//appos//92 är//VB|PRS|AKT//cop//160 dock//AB//advmod//160 i//PP//case//160 allt//DT|NEU|SIN|IND/DEF//det//160 väsentligt//AB|POS//advmod//160 positiv//JJ|POS|UTR|SIN|IND|NOM//conj//4 och//KN//cc//163 kan//VB|PRS|AKT//aux//163 bidra//VB|INF|AKT//conj//160 till//PP//mark//167 att//SN//mark//167 staten//NN|UTR|SIN|DEF|NOM//nsubj//167 blir//VB|PRS|AKT//advcl//163 mer//AB|KOM//advmod//169 attraktiv//JJ|POS|UTR|SIN|IND|NOM//xcomp//167 som//KN//mark//171 arbetsgivare//NN|UTR|SIN|IND|NOM//xcomp//167 .//MAD//punct//4

Tekniken för löneomräkning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 bedömer//VB|PRS|AKT//ROOT//1  //_SP////1 att//SN//mark//10 den//DT|UTR|SIN|DEF//det//7 internationellt//AB|POS//advmod//6 konkurrensutsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//7 sektorn//NN|UTR|SIN|DEF|NOM//nsubj//10 skall//VB|PRS|AKT//aux//10 vara//VB|INF|AKT//cop//10 lönenormerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//1 även//AB//advmod//12 framdeles//AB//advmod//10 .//MAD//punct//1
Tekniken för löneomräkning;Detta//DT|NEU|SIN|DEF//det//15 synsätt//NN|NEU|SIN|IND|NOM//nsubj//16 har//VB|PRS|AKT//parataxis//1 bred//JJ|POS|UTR|SIN|IND|NOM//amod//18 acceptans//NN|UTR|SIN|IND|NOM//obj//16 .//MAD//punct//1
Tekniken för löneomräkning;Den//DT|UTR|SIN|DEF//det//22 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 konstruktionen//NN|UTR|SIN|DEF|NOM//nsubj//31 av//PP//case//24 index//NN|NEU|SIN|IND|NOM//nmod//22 för//PP//case//26 löneomräkningen//NN|UTR|SIN|DEF|NOM//nmod//24 ,//MID//punct//28 AKI-RAM//PM|NOM//conj//26 ,//MID//punct//22 kan//VB|PRS|AKT//aux//31 ge//VB|INF|AKT//parataxis//1 en//DT|UTR|SIN|IND//det//33 lönekostnadskompensation//NN|UTR|SIN|IND|NOM//obj//31 som//HP|-|-|-//nsubj:pass//35 uppfattas//VB|PRS|SFO//acl:relcl//33 som//KN//mark//37 inkorrekt//JJ|POS|NEU|SIN|IND|NOM//xcomp//35 .//MAD//punct//1
Tekniken för löneomräkning;Staten//NN|UTR|SIN|DEF|NOM//nsubj//40 har//VB|PRS|AKT//parataxis//1 i//PP//advmod//40 dag//NN|UTR|SIN|IND|NOM//fixed//41 tjänstemannaavtal//NN|NEU|SIN|IND|NOM//obj//40 .//MAD//punct//40
Tekniken för löneomräkning;Ett//DT|NEU|SIN|IND//det//46 tjänstemannaindex//NN|NEU|SIN|IND|NOM//nsubj//47 ger//VB|PRS|AKT//parataxis//40 det//DT|NEU|SIN|DEF//iobj//47 mest//AB|SUV//advmod//50 korrekta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//51 utfallet//NN|NEU|SIN|DEF|NOM//obj//47 och//KN//cc//53 ger//VB|PRS|AKT//conj//47 myndigheterna//NN|UTR|PLU|DEF|NOM//iobj//53 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 förutsättningar//NN|UTR|PLU|IND|NOM//obj//53 för//PP//case//59 sin//PS|UTR|SIN|DEF//nmod:poss//59 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//56 .//MID//punct//40
Tekniken för löneomräkning;Det//DT|NEU|SIN|DEF//det//63 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 produktivitetsavdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//69 vid//PP//case//65 löneomräkningen//NN|UTR|SIN|DEF|NOM//nmod//63 av//PP//case//67 anslagen//NN|NEU|PLU|DEF|NOM//nmod//65 kan//VB|PRS|AKT//aux//69 ifrågasättas//VB|INF|SFO//advcl//40 i//PP//case//72 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 hänseenden//NN|NEU|PLU|IND|NOM//obl//69 .//MAD//punct//40
Tekniken för löneomräkning;Produktivitetsavdraget//NN|NEU|SIN|DEF|NOM//nsubj//76 bör//VB|PRS|AKT//aux//76 ligga//VB|INF|AKT//conj//40 kvar//PL//advmod//76 i//PP//case//79 systemet//NN|NEU|SIN|DEF|NOM//obl//76 .//MID//punct//1
Tekniken för löneomräkning;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//84 bör//VB|PRS|AKT//aux//84 dock//AB//advmod//84 utformas//VB|INF|SFO//conj//1 närmast//AB|SUV//advmod//84 som//KN//case//88 ett//DT|NEU|SIN|IND//det//88 produktivitetskrav//NN|NEU|SIN|IND|NOM//obl//84 på//PP//case//90 myndigheterna//NN|UTR|PLU|DEF|NOM//obl//84 som//HP|-|-|-//nsubj:pass//92 läggs//VB|PRS|SFO//acl:relcl//90 fast//PL//compound:prt//92 av//PP//case//95 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//92 för//PP//case//99 en//DT|UTR|SIN|IND//det//99 överskådlig//JJ|POS|UTR|SIN|IND|NOM//amod//99 tid//NN|UTR|SIN|IND|NOM//obl//92 .//MAD//punct//84
Tekniken för löneomräkning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1  //_SP////1 att//SN//mark//5 löneomräkningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//5 görs//VB|PRS|SFO//ccomp//1 med//PP//case//9 hänsyn//NN|UTR|SIN|IND|NOM//fixed//6 till//PP//fixed//6 arbetskraftskostnadsökningen//NN|UTR|SIN|DEF|NOM//obl//5 för//PP//case//11 tjänstemän//NN|UTR|PLU|IND|NOM//nmod//9 inom//PP//case//13 tillverkningsindustrin//NN|UTR|SIN|DEF|NOM//nmod//11 ,//MID//punct//1 beräknat//PC|PRF|NEU|SIN|IND|NOM//conj//1 enligt//PP//case//17 AKI-RAM//PM|NOM//obl//15 .//MAD//punct//1
Tekniken för löneomräkning;Produktivitetsavdraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//21 bör//VB|PRS|AKT//aux//21 beräknas//VB|INF|SFO//parataxis//1 som//KN//case//25 ett//DT|NEU|SIN|IND//det//25 fast//JJ|POS|NEU|SIN|IND|NOM//amod//25 avdrag//NN|NEU|SIN|IND|NOM//obl//21 med//PP//case//30 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//26 i//PP//fixed//26 de//DT|UTR/NEU|PLU|DEF//det//30 data//NN|NEU|PLU|IND|NOM//nmod//25 över//PP//case//32 produktivitetsutvecklingen//NN|UTR|SIN|DEF|NOM//nmod//30 i//PP//case//35 privat//JJ|POS|UTR|SIN|IND|NOM//amod//35 sektor//NN|UTR|SIN|IND|NOM//nmod//32 som//HP|-|-|-//nsubj//37 föreligger//VB|PRS|AKT//acl:relcl//30 .//MID//punct//47
Tekniken för löneomräkning;Det//DT|NEU|SIN|DEF//det//41 genomsnittliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 produktivitetsavdraget//NN|NEU|SIN|DEF|NOM//nsubj//47 var//VB|PRT|AKT//cop//47 för//PP//case//44 perioden//NN|UTR|SIN|DEF|NOM//nmod//45 1997–2002//RG|NOM//nummod//47 1,3//RG|NOM//nummod//47 %//NN|AN//obl//21 .//MID//punct//1
