Uppdraget;Den//DT|UTR|SIN|DEF//det//2 29//RG|NOM//nummod//2 juni//NN|UTR|SIN|IND|NOM//obl//4 2017//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 att//IE//mark//7 tillsätta//VB|INF|AKT//xcomp//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 göra//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//16 översyn//NN|UTR|SIN|IND|NOM//obj//14 av//PP//case//18 lagen//NN|UTR|SIN|DEF|NOM//nmod//16 (//PAD//punct//20 1984:3//RG|NOM//conj//18 )//PAD//punct//20 om//PP//case//24 kärnteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//24 verksamhet//NN|UTR|SIN|IND|NOM//obl//7 .//MAD//punct//4
Utredningens förslag Ny kärntekniklag;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//33 har//VB|PRS|AKT//aux//44 därför//AB//advmod//33 ,//MID//punct//34 med//PP//case//42 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//36 från//PP//case//42 den//DT|UTR|SIN|DEF//det//41 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 strålskyddslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//42 struktur//NN|UTR|SIN|IND|NOM//obl//44 ,//MID//punct//42 utarbetat//VB|SUP|AKT//conj//6 ett//DT|NEU|SIN|IND//det//46 förslag//NN|NEU|SIN|IND|NOM//obj//44 till//PP//case//49 ny//JJ|POS|UTR|SIN|IND|NOM//amod//49 kärntekniklag//NN|UTR|SIN|IND|NOM//nmod//46 där//HA//advmod//57 de//DT|UTR/NEU|PLU|DEF//det//52 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//nsubj:pass//57 av//PP//case//56 de//DT|UTR/NEU|PLU|DEF//det//56 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//56 bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//52 förs//VB|PRS|SFO//acl:relcl//49 över//PL//compound:prt//57 till//PP//case//62 den//DT|UTR|SIN|DEF//det//62 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//62 lagen//NN|UTR|SIN|DEF|NOM//obl//57 oförändrade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//57 i//PP//advmod//57 sak//NN|UTR|SIN|IND|NOM//fixed//64 men//KN//cc//71 i//PP//case//71 en//DT|UTR|SIN|IND//det//71 språkligt//AB|POS//advmod//70 omarbetad//PC|PRF|UTR|SIN|IND|NOM//amod//71 form//NN|UTR|SIN|IND|NOM//conj//64 .//MAD//punct//6
Utredningens förslag Ny kärntekniklag;En//DT|UTR|SIN|IND//det//74 del//NN|UTR|SIN|IND|NOM//nmod//75 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//78 har//VB|PRS|AKT//aux//78 dock//AB//advmod//78 ändrats//VB|SUP|SFO//parataxis//6 när//HA//mark//82 så//AB//advmod//82 varit//VB|SUP|AKT//cop//82 påkallat//PC|PRF|NEU|SIN|IND|NOM//advcl//78 .//MAD//punct//6
Utredningens förslag Ny kärntekniklag;Ett//DT|NEU|SIN|IND//det//85 antal//NN|NEU|SIN|IND|NOM//nmod//88 helt//AB|POS//advmod//87 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//88 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//91 har//VB|PRS|AKT//aux//91 också//AB//advmod//91 införts//VB|SUP|SFO//parataxis//6 .//MAD//punct//6
Utredningens förslag Ny kärntekniklag;Nedan//AB//advmod//1 följer//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//3 sammanfattning//NN|UTR|SIN|IND|NOM//nsubj//1 av//PP//case//7 de//DT|UTR/NEU|PLU|DEF//det//7 viktigaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//7 förslagen//NN|NEU|PLU|DEF|NOM//nmod//3 till//PP//case//9 förändringar//NN|UTR|PLU|IND|NOM//obl//1 eller//KN//cc//11 förtydliganden//NN|NEU|PLU|IND|NOM//conj//9 .//MAD//punct//1

Tillståndshavarens respektive verksamhetsutövarens ansvar;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//6 en//DT|UTR|SIN|IND//det//5 konceptuell//JJ|POS|UTR|SIN|IND|NOM//amod//5 förändring//NN|UTR|SIN|IND|NOM//nsubj:pass//6 görs//VB|PRS|SFO//ccomp//1 i//PP//case//13 förhållande//NN|NEU|SIN|IND|NOM//fixed//7 till//PP//fixed//7 den//DT|UTR|SIN|DEF//det//12 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 kärntekniklagens//NN|UTR|SIN|DEF|GEN//nmod:poss//13 reglering//NN|UTR|SIN|IND|NOM//obl//6 av//PP//case//15 ansvaret//NN|NEU|SIN|DEF|NOM//nmod//13 för//PP//case//17 säkerheten//NN|UTR|SIN|DEF|NOM//nmod//15 i//PP//case//20 kärntekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 verksamheter//NN|UTR|PLU|IND|NOM//nmod//17 respektive//AB//cc//22 ansvaret//NN|NEU|SIN|DEF|NOM//conj//13 för//PP//case//24 omhändertagandet//NN|NEU|SIN|DEF|NOM//nmod//22 av//PP//case//22 använt//PC|PRF|NEU|SIN|IND|NOM//conj//1 kärnbränsle//NN|NEU|SIN|IND|NOM//obj//26 och//KN//cc//29 kärnavfall//NN|NEU|SIN|IND|NOM//conj//27 ,//MID//punct//31 avveckling//NN|UTR|SIN|IND|NOM//parataxis//1 av//PP//case//34 kärntekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 anläggningar//NN|UTR|PLU|IND|NOM//nmod//31 som//HP|-|-|-//nsubj:pass//39 inte//AB//advmod//39 längre//AB|KOM//advmod//39 ska//VB|PRS|AKT//aux//39 användas//VB|INF|SFO//acl:relcl//34 samt//KN//cc//51 finansieringen//NN|UTR|SIN|DEF|NOM//obl//51 av//PP//case//44 dessa//DT|UTR/NEU|PLU|DEF//det//44 verksamheter//NN|UTR|PLU|IND|NOM//nmod//41 .//MAD//punct//41
Tillståndshavarens respektive verksamhetsutövarens ansvar;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//51 i//PP//case//50 den//DT|UTR|SIN|DEF//det//50 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//50 kärntekniklagen//NN|UTR|SIN|DEF|NOM//nmod//46 kopplar//VB|PRS|AKT//conj//1 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//54 detta//DT|NEU|SIN|DEF//det//54 ansvar//NN|NEU|SIN|IND|NOM//obj//51 till//PP//case//56 tillståndshavaren//NN|UTR|SIN|DEF|NOM//obl//51 .//MAD//punct//1
Tillståndshavarens respektive verksamhetsutövarens ansvar;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 ,//MID//punct//1 i//PP//mark//8 linje//NN|UTR|SIN|IND|NOM//fixed//3 med//PP//fixed//3 vad//HP|NEU|SIN|IND//dislocated//8 som//HP|-|-|-//nsubj:pass//8 anges//VB|PRS|SFO//advcl//1 i//PP//case//10 kommittédirektiven//NN|NEU|PLU|DEF|NOM//obl//8 ,//MID//punct//1 att//SN//mark//16 en//DT|UTR|SIN|IND//det//15 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 åtskillnad//NN|UTR|SIN|IND|NOM//nsubj:pass//16 görs//VB|PRS|SFO//ccomp//1 mellan//PP//case//18 ansvaret//NN|NEU|SIN|DEF|NOM//obl//16 för//PP//mark//23 att//SN//mark//23 kärnteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//22 verksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//23 bedrivs//VB|PRS|SFO//advcl//16 på//PP//case//27 ett//DT|NEU|SIN|IND//det//27 säkert//JJ|POS|NEU|SIN|IND|NOM//amod//27 sätt//NN|NEU|SIN|IND|NOM//obl//23 och//KN//cc//31 det//DT|NEU|SIN|DEF//det//31 långsiktiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//31 ansvaret//NN|NEU|SIN|DEF|NOM//conj//27 ,//MID//punct//34 inklusive//PP//case//34 finansieringen//NN|UTR|SIN|DEF|NOM//nmod//31 ,//MID//punct//37 för//PP//case//37 omhändertagandet//NN|NEU|SIN|DEF|NOM//obl//1 av//PP//case//39 det//DT|NEU|SIN|DEF//nmod//37 i//PP//case//41 verksamheten//NN|UTR|SIN|DEF|NOM//obl//43 uppkomna//PC|PRF|UTR/NEU|SIN|DEF|NOM//advmod//43 använda//VB|INF|AKT//nmod//37 kärnbränslet//NN|NEU|SIN|DEF|NOM//obj//43 och//KN//cc//46 kärnavfallet//NN|NEU|SIN|DEF|NOM//conj//44 respektive//AB//cc//48 avvecklingen//NN|UTR|SIN|DEF|NOM//obl//43 av//PP//case//52 de//DT|UTR/NEU|PLU|DEF//det//52 kärntekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 anläggningarna//NN|UTR|PLU|DEF|NOM//nmod//48 som//HP|-|-|-//nsubj:pass//57 inte//AB//advmod//57 längre//AB|KOM//advmod//57 ska//VB|PRS|AKT//aux//57 användas//VB|INF|SFO//acl:relcl//52 .//MAD//punct//1
Tillståndshavarens respektive verksamhetsutövarens ansvar;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//2 innebär//VB|PRS|AKT//ROOT//2 att//SN//mark//48 ansvaret//NN|NEU|SIN|DEF|NOM//nsubj:pass//48 för//PP//case//6 säkerheten//NN|UTR|SIN|DEF|NOM//nmod//4 för//PP//mark//11 att//SN//mark//11 kärnteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//10 verksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//11 bedrivs//VB|PRS|SFO//acl//4 på//PP//case//15 ett//DT|NEU|SIN|IND//det//15 säkert//JJ|POS|NEU|SIN|IND|NOM//amod//15 sätt//NN|NEU|SIN|IND|NOM//obl//11 såsom//KN//mark//17 lokalisering//NN|UTR|SIN|IND|NOM//nsubj//43 ,//MID//punct//19 konstruktion//NN|UTR|SIN|IND|NOM//conj//17 ,//MID//punct//21 uppförande//NN|NEU|SIN|IND|NOM//conj//17 ,//MID//punct//23 drift//NN|UTR|SIN|IND|NOM//conj//17 ,//MID//punct//25 förändring//NN|UTR|SIN|IND|NOM//conj//17 och//KN//cc//27 avveckling//NN|UTR|SIN|IND|NOM//conj//17 av//PP//case//30 kärntekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 anläggningar//NN|UTR|PLU|IND|NOM//nmod//27 samt//KN//cc//32 hantering//NN|UTR|SIN|IND|NOM//conj//30 ,//MID//punct//34 transport//NN|UTR|SIN|IND|NOM//conj//32 och//KN//cc//36 slutförvaring//NN|UTR|SIN|IND|NOM//conj//32 av//PP//case//38 kärnavfall//NN|NEU|SIN|IND|NOM//nmod//36 m.m.//AB|AN//conj//17 även//AB//advmod//43 fortsättningsvis//AB//advmod//43 ska//VB|PRS|AKT//aux//43 ligga//VB|INF|AKT//acl:relcl//15 på//PP//case//45 tillståndshavaren//NN|UTR|SIN|DEF|NOM//obl//43 .//MAD//punct//4
Tillståndshavarens respektive verksamhetsutövarens ansvar;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//48 förtydligas//VB|PRS|SFO//ccomp//2 också//AB//advmod//48 att//SN//mark//55 detta//DT|NEU|SIN|DEF//det//52 säkerhetsansvar//NN|NEU|SIN|IND|NOM//nsubj:pass//55 inte//AB//advmod//55 får//VB|PRS|AKT//aux//55 delegeras//VB|INF|SFO//ccomp//48 ,//MID//punct//58 vilket//HP|NEU|SIN|IND//nsubj//58 är//VB|PRS|AKT//advcl//55 i//PP//advmod//58 enlighet//NN|UTR|SIN|IND|NOM//fixed//59 med//PP//fixed//59 ,//MID//punct//2 och//KN//cc//64 följer//VB|PRS|AKT//conj//2 av//PP//case//67 europeisk//JJ|POS|UTR|SIN|IND|NOM//amod//67 lagstiftning//NN|UTR|SIN|IND|NOM//obl//64 .//MAD//punct//2
Tillståndshavarens respektive verksamhetsutövarens ansvar;Ansvaret//NN|NEU|SIN|DEF|NOM//nsubj//4 för//PP//mark//3 att//IE//mark//3 omhänderta//VB|INF|AKT//acl//0 använt//VB|SUP|AKT//ROOT//4 kärnbränsle//NN|NEU|SIN|IND|NOM//obj//4 och//KN//cc//7 kärnavfall//NN|NEU|SIN|IND|NOM//conj//5 samt//KN//cc//10 att//IE//mark//10 avveckla//VB|INF|AKT//conj//4 anläggningar//NN|UTR|PLU|IND|NOM//obj//10 som//HP|-|-|-//nsubj:pass//16 inte//AB//advmod//16 längre//AB|KOM//advmod//16 ska//VB|PRS|AKT//aux//16 användas//VB|INF|SFO//acl:relcl//11 ,//MID//punct//19 inklusive//PP//case//19 finansieringen//NN|UTR|SIN|DEF|NOM//obl//16 av//PP//case//22 dessa//DT|UTR/NEU|PLU|DEF//det//22 skyldigheter//NN|UTR|PLU|IND|NOM//nmod//19 ,//MID//punct//4 knyts//VB|PRS|SFO//conj//4 till//PP//case//26 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//24 bedriver//VB|PRS|AKT//advmod//4 eller//KN//cc//30 har//VB|PRS|AKT//aux//30 bedrivit//VB|SUP|AKT//conj//4 kärnteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//32 verksamhet//NN|UTR|SIN|IND|NOM//obj//30 (//PAD//punct//34 verksamhetsutövaren//NN|UTR|SIN|DEF|NOM//appos//32 )//PAD//punct//34 .//MAD//punct//4
Tillståndshavarens respektive verksamhetsutövarens ansvar;Omhändertagandet//NN|NEU|SIN|DEF|NOM//nsubj//3 av//PP//case//2 det//DT|NEU|SIN|DEF//nmod//0 använda//PC|PRF|UTR/NEU|SIN|DEF|NOM//ROOT//3 kärnbränslet//NN|NEU|SIN|DEF|NOM//obj//3 och//KN//cc//11 kärnavfallet//NN|NEU|SIN|DEF|NOM//nsubj:pass//11 har//VB|PRS|AKT//aux//11 i//PP//case//9 praktiken//NN|UTR|SIN|DEF|NOM//obl//11 ofta//AB|POS//advmod//11 delegerats//VB|SUP|SFO//conj//3 av//PP//case//14 en//DT|UTR|SIN|IND//det//14 tillståndshavare//NN|UTR|SIN|IND|NOM//obl:agent//11 ///MID//cc//16 verksamhetsutövare//NN|UTR|PLU|IND|NOM//nmod//14 till//PP//case//19 en//DT|UTR|SIN|IND//det//19 uppdragstagare//NN|UTR|SIN|IND|NOM//obl//11 som//HP|-|-|-//nsubj//25 i//PP//advmod//25 sin//PS|UTR|SIN|DEF//fixed//21 tur//NN|UTR|SIN|IND|NOM//fixed//21 är//VB|PRS|AKT//cop//25 tillståndshavare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//19 för//PP//case//30 sin//PS|UTR|SIN|DEF//nmod:poss//30 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//30 kärntekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 verksamhet//NN|UTR|SIN|IND|NOM//obl//25 ///MID//cc//32 anläggning//NN|UTR|SIN|IND|NOM//conj//30 och//KN//cc//36 är//VB|PRS|AKT//cop//36 därmed//AB//advmod//36 ansvarig//JJ|POS|UTR|SIN|IND|NOM//conj//3 för//PP//case//38 säkerheten//NN|UTR|SIN|DEF|NOM//obl//36 i//PP//case//42 sin//PS|UTR|SIN|DEF//nmod:poss//42 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//42 anläggning//NN|UTR|SIN|IND|NOM//nmod//38 .//MAD//punct//3
Tillståndshavarens respektive verksamhetsutövarens ansvar;En//DT|UTR|SIN|IND//det//46 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//46 delegering//NN|UTR|SIN|IND|NOM//nsubj//47 bedöms//VB|PRS|SFO//conj//3 inte//AB//advmod//47 vara//VB|INF|AKT//xcomp//47 i//PP//case//55 linje//NN|UTR|SIN|IND|NOM//fixed//50 med//PP//fixed//50 den//DT|UTR|SIN|DEF//det//55 europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//55 lagstiftningen//NN|UTR|SIN|DEF|NOM//obl//47 .//MAD//punct//3
Tillståndshavarens respektive verksamhetsutövarens ansvar;Förändringen//NN|UTR|SIN|DEF|NOM//nsubj//3 som//HP|-|-|-//nsubj:pass//2 föreslås//VB|PRS|SFO//acl:relcl//0 innebär//VB|PRS|AKT//ROOT//3 därmed//AB//advmod//3 dels//KN//advmod//3 en//DT|UTR|SIN|IND//det//7 verklighetsanpassning//NN|UTR|SIN|IND|NOM//obj//3 av//PP//case//9 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//7 ,//MID//punct//13 dels//KN//advmod//13 en//DT|UTR|SIN|IND//det//13 anpassning//NN|UTR|SIN|IND|NOM//obl//3 till//PP//case//16 europeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 krav//NN|NEU|PLU|IND|NOM//nmod//13 .//MAD//punct//13
Tillståndshavarens respektive verksamhetsutövarens ansvar;De//DT|UTR/NEU|PLU|DEF//det//20 europeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 kraven//NN|NEU|PLU|DEF|NOM//nsubj//21 tillåter//VB|PRS|AKT//conj//3 inte//AB//advmod//21 att//SN//mark//26 tillståndshavarens//NN|UTR|SIN|DEF|GEN//nmod:poss//25 säkerhetsansvar//NN|NEU|SIN|IND|NOM//nsubj//26 inskränks//VB|PRS|SFO//ccomp//21 eller//KN//cc//28 delegeras//VB|INF|SFO//conj//26 .//MAD//punct//3
Tillståndshavarens respektive verksamhetsutövarens ansvar;Vidare//AB|KOM//advmod//1 innebär//VB|PRS|AKT//ROOT//1 förslaget//NN|NEU|SIN|DEF|NOM//nsubj//1 en//DT|UTR|SIN|IND//det//5 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 möjlighet//NN|UTR|SIN|IND|NOM//obj//1 att//IE//mark//7 särskilja//VB|INF|AKT//acl//5 ansvaren//NN|NEU|PLU|DEF|NOM//obj//7 i//PP//mark//16 samband//NN|NEU|SIN|IND|NOM//fixed//9 med//PP//fixed//9 att//SN//mark//16 en//DT|UTR|SIN|IND//det//14 verksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//16 ska//VB|PRS|AKT//aux//16 överlåtas//VB|INF|SFO//advcl//7 till//PP//case//19 någon//DT|UTR|SIN|IND//det//19 annan//JJ|POS|UTR|SIN|IND|NOM//obl//16 .//MAD//punct//1

Stegvis prövning;Den//DT|UTR|SIN|DEF//det//3 s.k.//AB|AN//amod//3 stegvisa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 prövningen//NN|UTR|SIN|DEF|NOM//nsubj//11 av//PP//case//6 kärntekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 verksamheter//NN|UTR|PLU|IND|NOM//nmod//3 som//HP|-|-|-//nsubj//8 sker//VB|PRS|AKT//acl:relcl//6 i//PP//advmod//8 dag//NN|UTR|SIN|IND|NOM//fixed//9 har//VB|PRS|AKT//ROOT//11 sin//PS|UTR|SIN|DEF//nmod:poss//14 rättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 grund//NN|UTR|SIN|IND|NOM//obj//11 i//PP//case//17 de//DT|UTR/NEU|PLU|DEF//det//17 tillståndsvillkor//NN|UTR|PLU|IND|NOM//obl//11 som//HP|-|-|-//nsubj:pass//19 meddelats//VB|SUP|SFO//acl:relcl//17 av//PP//case//23 den//DT|UTR|SIN|DEF//det//23 tillståndsgivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 myndigheten//NN|UTR|SIN|DEF|NOM//obl:agent//19 (//PAD//punct//23 regeringen//NN|UTR|SIN|DEF|NOM//appos//23 )//PAD//punct//23 .//MAD//punct//11
Stegvis prövning;I//PP//case//29 villkoren//NN|NEU|PLU|DEF|NOM//obl//30 anges//VB|PRS|SFO//conj//11 oftast//AB|SUV//advmod//30 att//SN//mark//36 tillståndshavaren//NN|UTR|SIN|DEF|NOM//nsubj//36 inte//AB//advmod//36 får//VB|PRS|AKT//aux//36 börja//VB|INF|AKT//ccomp//30 uppföra//VB|INF|AKT//xcomp//36 ,//MID//punct//39 påbörja//VB|INF|AKT//conj//36 provdrift//NN|UTR|SIN|IND|NOM//obj//39 av//PP//compound:prt//39 eller//KN//cc//43 påbörja//VB|INF|AKT//conj//36 rutinmässig//JJ|POS|UTR|SIN|IND|NOM//amod//45 drift//NN|UTR|SIN|IND|NOM//obj//43 av//PP//case//49 den//DT|UTR|SIN|DEF//det//49 kärntekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//49 anläggningen//NN|UTR|SIN|DEF|NOM//nmod//45 eller//KN//cc//51 verksamheten//NN|UTR|SIN|DEF|NOM//conj//49 förrän//SN//mark//55 tillsynsmyndigheten//NN|UTR|SIN|DEF|NOM//nsubj//55 har//VB|PRS|AKT//aux//55 medgett//VB|SUP|AKT//advcl//43 detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//55 .//MAD//punct//11
Stegvis prövning;De//DT|UTR/NEU|PLU|DEF//det//60 detaljerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//60 krav//NN|NEU|PLU|IND|NOM//nsubj:pass//70 som//HP|-|-|-//nsubj:pass//64 ska//VB|PRS|AKT//aux//64 vara//VB|INF|AKT//cop//64 uppfyllda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//60 i//PP//case//68 de//DT|UTR/NEU|PLU|DEF//det//68 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//68 stegen//NN|NEU|PLU|DEF|NOM//obl//64 har//VB|PRS|AKT//aux//70 utvecklats//VB|SUP|SFO//parataxis//11 genom//PP//mark//75 att//SN//mark//75 tillsynsmyndigheten//NN|UTR|SIN|DEF|NOM//nsubj//75 ,//MID//punct//75 baserat//PC|PRF|NEU|SIN|IND|NOM//advcl//70 på//PP//case//77 erfarenhet//NN|UTR|SIN|IND|NOM//obl//75 och//KN//cc//80 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//80 kunskap//NN|UTR|SIN|IND|NOM//conj//77 ,//MID//punct//83 har//VB|PRS|AKT//aux//83 utformat//VB|SUP|AKT//conj//70 en//DT|UTR|SIN|IND//det//85 praxis//NN|UTR|SIN|IND|NOM//obj//83 .//MAD//punct//11
Stegvis prövning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//15 denna//DT|UTR|SIN|DEF//det//5 stegvisa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 prövning//NN|UTR|SIN|IND|NOM//nsubj:pass//15 av//PP//case//8 kärntekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 verksamheter//NN|UTR|PLU|IND|NOM//nmod//5 eller//KN//cc//10 anläggningar//NN|UTR|PLU|IND|NOM//conj//8 på//PP//case//14 ett//DT|NEU|SIN|IND//det//14 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 sätt//NN|NEU|SIN|IND|NOM//nmod//10 regleras//VB|PRS|SFO//ccomp//1 i//PP//case//17 lag//NN|UTR|SIN|IND|NOM//obl//15 .//MAD//punct//1
Stegvis prövning;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//20 innebär//VB|PRS|AKT//parataxis//1 att//SN//mark//25 innan//SN//mark//25 tillståndshavaren//NN|UTR|SIN|DEF|NOM//nsubj//25 får//VB|PRS|AKT//aux//25 inleda//VB|INF|AKT//ccomp//20 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//27 moment//NN|NEU|SIN|IND|NOM//obj//25 i//PP//case//30 sin//PS|UTR|SIN|DEF//nmod:poss//30 verksamhet//NN|UTR|SIN|IND|NOM//obl//25 ,//MID//punct//66 ska//VB|PRS|AKT//aux//66 regeringen//NN|UTR|SIN|DEF|NOM//advmod//32 eller//KN//cc//36 den//DT|UTR|SIN|DEF//det//36 myndighet//NN|UTR|SIN|IND|NOM//conj//33 som//HP|-|-|-//obl//39 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//39 bestämmer//VB|PRS|AKT//acl:relcl//36 bedöma//VB|INF|AKT//xcomp//39 om//SN//mark//43 tillståndshavaren//NN|UTR|SIN|DEF|NOM//nsubj//43 har//VB|PRS|AKT//advcl//32 förutsättningar//NN|UTR|PLU|IND|NOM//obj//43 att//IE//mark//46 gå//VB|INF|AKT//acl//44 vidare//AB|KOM//advmod//46 till//PP//case//50 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//50 steg//NN|NEU|SIN|IND|NOM//obl//46 och//KN//cc//56 ,//MID//punct//56 om//SN//mark//56 så//AB//advmod//56 är//VB|PRS|AKT//cop//56 fallet//NN|NEU|SIN|DEF|NOM//conj//46 ,//MID//punct//58 besluta//VB|INF|AKT//conj//46 att//SN//mark//62 så//AB//advmod//62 får//VB|PRS|AKT//aux//62 ske//VB|INF|AKT//ccomp//58 .//MAD//punct//32
Stegvis prövning;Myndigheten//NN|UTR|SIN|DEF|NOM//nsubj//66 ska//VB|PRS|AKT//aux//66 samråda//VB|INF|AKT//conj//20 med//PP//case//68 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//obl//66 innan//SN//mark//71 beslut//NN|NEU|SIN|IND|NOM//nsubj:pass//71 fattas//VB|PRS|SFO//advcl//66 .//MAD//punct//1

Statens subsidiära ansvar och sistahandsansvar;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//5 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 subsidiära//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod:poss//5 ansvar//NN|NEU|SIN|IND|NOM//nsubj:pass//10 för//PP//case//8 kärnteknisk//JJ|POS|UTR|SIN|IND|NOM//amod//8 verksamhet//NN|UTR|SIN|IND|NOM//nmod//5 ska//VB|PRS|AKT//aux//10 regleras//VB|INF|SFO//ccomp//1 i//PP//case//12 lag//NN|UTR|SIN|IND|NOM//obl//10 .//MAD//punct//1
Statens subsidiära ansvar och sistahandsansvar;Ett//DT|NEU|SIN|IND//det//16 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//16 ansvar//NN|NEU|SIN|IND|NOM//nsubj//17 följer//VB|PRS|AKT//parataxis//1 av//PP//compound:prt//17 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 åtaganden//NN|NEU|PLU|IND|NOM//obj//17 och//KN//cc//22 har//VB|PRS|AKT//aux//26 i//PP//case//25 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 sammanhang//NN|NEU|PLU|IND|NOM//obl//26 bekräftats//VB|SUP|SFO//conj//17 av//PP//case//28 riksdag//NN|UTR|SIN|IND|NOM//obl:agent//26 och//KN//cc//30 regering//NN|UTR|SIN|IND|NOM//conj//28 .//MID//punct//17
