Så enkelt som möjligt för så många som möjligt (1);–//RG|NOM//punct//3  //_SP////0 En//DT|UTR|SIN|IND//det//3 bit//NN|UTR|SIN|IND|NOM//ROOT//3 på//PP//case//5 väg//NN|UTR|SIN|IND|NOM//nmod//3
2.1.4 Riksarkivets och andra arkivmyndigheters roll vad gäller e-arkiv och e-diarium;Då//HA//advmod//68 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//65 lösningar//NN|UTR|PLU|IND|NOM//nsubj:pass//68 skulle//VB|PRT|AKT//aux//68 kunna//VB|INF|AKT//aux//68 tillämpas//VB|INF|SFO//advcl//76 inom//PP//case//72 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//72 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//72 sektorn//NN|UTR|SIN|DEF|NOM//obl//68 bör//VB|PRS|AKT//aux//76 en//DT|UTR|SIN|IND//det//75 utredning//NN|UTR|SIN|IND|NOM//nsubj//76 behandla//VB|INF|AKT//parataxis//27 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//78 arkivmyndigheters//NN|UTR|PLU|IND|GEN//nmod:poss//79 roll//NN|UTR|SIN|IND|NOM//obj//76 och//KN//cc//81 situation//NN|UTR|SIN|IND|NOM//conj//79 .//MAD//punct//27

2.2 Elektronisk tjänst för grundläggande information om näringsidkare;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 bedömning//NN|UTR|SIN|IND|NOM//nsubj//18 ://MID//punct//1
2.2 Elektronisk tjänst för grundläggande information om näringsidkare; //_SP////2 Samverkansgruppen//NN|UTR|SIN|DEF|NOM//nsubj//5 Starta//VB|INF|AKT//appos//1 och//KN//cc//7 Driva//VB|INF|AKT//conj//5 företag//NN|NEU|PLU|IND|NOM//obj//5 ,//MID//punct//5 som//HP|-|-|-//nsubj:pass//13 för//PP//case//12 närvarande//NN|NEU|SIN|IND|NOM//obl//13 leds//VB|PRS|SFO//acl:relcl//5 av//PP//case//15 Bolagsverket//NN|NEU|SIN|DEF|NOM//obl:agent//13 ,//MID//punct//1 bör//VB|PRS|AKT//aux//18 driva//VB|INF|AKT//ROOT//18 ett//DT|NEU|SIN|IND//det//20 arbetet//NN|NEU|SIN|DEF|NOM//obj//18 med//PP//mark//23 att//IE//mark//23 utveckla//VB|INF|AKT//acl//20 och//KN//cc//25 förvalta//VB|INF|AKT//conj//23 en//DT|UTR|SIN|IND//det//27 tjänst//NN|UTR|SIN|IND|NOM//obj//25 som//HP|-|-|-//nsubj//29 innehåller//VB|PRS|AKT//acl:relcl//27 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//32 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 information//NN|UTR|SIN|IND|NOM//obj//29 om//PP//case//35 behöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 företrädare//NN|UTR|PLU|IND|NOM//nmod//32 för//PP//case//38 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 näringsidkare//NN|UTR|PLU|IND|NOM//nmod//35 .//MAD//punct//18
2.2 Elektronisk tjänst för grundläggande information om näringsidkare;Skälen//NN|NEU|PLU|DEF|NOM//nsubj//12 för//PP//case//3 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 bedömning//NN|UTR|SIN|IND|NOM//nmod//0 ://MID//punct//3
2.2 Elektronisk tjänst för grundläggande information om näringsidkare;Enligt//PP//case//6 förstudien//NN|UTR|SIN|DEF|NOM//obl//12  //_SP////6 E-tjänst//NN|UTR|SIN|IND|NOM//conj//6  //_SP////8 över//PP//case//11 näringsidkare//NN|UTR|PLU|IND|NOM//nmod//8 finns//VB|PRS|SFO//ROOT//12 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//12 behov//NN|NEU|PLU|IND|NOM//nsubj//12 av//PP//case//18 en//DT|UTR|SIN|IND//det//18  //_SP////16 e-tjänst//NN|UTR|SIN|IND|NOM//nmod//14  //_SP////18 för//PP//mark//22 att//IE//mark//22 tillgängliggöra//VB|INF|AKT//advcl//12 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 information//NN|UTR|SIN|IND|NOM//obj//22 om//PP//case//26 näringsidkare//NN|UTR|PLU|IND|NOM//nmod//24 .//MAD//punct//12
2.2 Elektronisk tjänst för grundläggande information om näringsidkare;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//50 med//PP//case//32 en//DT|UTR|SIN|IND//det//32 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//32 tjänst//NN|UTR|SIN|IND|NOM//nmod//28 är//VB|PRS|AKT//cop//28 att//IE//mark//35 samla//VB|INF|AKT//acl//28 information//NN|UTR|SIN|IND|NOM//obj//35 från//PP//case//40 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//40 registerhållande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 myndigheter//NN|UTR|PLU|IND|NOM//obl//35 i//PP//case//44 en//DT|UTR|SIN|IND//det//44  //_SP////42 e-tjänst//NN|UTR|SIN|IND|NOM//obl//35 .//MAD//punct//28
2.2 Elektronisk tjänst för grundläggande information om näringsidkare; //_SP////45 En//DT|UTR|SIN|IND//det//49 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//49 tjänst//NN|UTR|SIN|IND|NOM//obl//50 möjliggör//VB|PRS|AKT//parataxis//12 kontroller//NN|UTR|PLU|IND|NOM//obj//50 av//PP//case//54 behörig//JJ|POS|UTR|SIN|IND|NOM//amod//54 företrädare//NN|UTR|SIN|IND|NOM//nmod//51 bl.a.//AB|AN//advmod//57 vid//PP//case//57 användning//NN|UTR|SIN|IND|NOM//obl//50 av//PP//case//60  //_SP////58 e-tjänstelegitimationer//NN|UTR|PLU|IND|NOM//nmod//57 .//MAD//punct//12
2.2 Elektronisk tjänst för grundläggande information om näringsidkare;Utöver//PP//case//1 Bolagsverket//NN|NEU|SIN|DEF|NOM//obl//4 och//KN//cc//3 Skatteverket//PM|NOM//conj//1 finns//VB|PRS|SFO//ROOT//4 grunddata//NN|NEU|PLU|IND|NOM//nsubj//4 hos//PP//case//9 sex//RG|NOM//nummod//9 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 registerhållare//NN|UTR|PLU|IND|NOM//obl//4 över//PP//case//11 näringsidkare//NN|UTR|PLU|IND|NOM//nmod//9 .//MAD//punct//4
2.2 Elektronisk tjänst för grundläggande information om näringsidkare;Den//DT|UTR|SIN|DEF//det//15 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 tjänsten//NN|UTR|SIN|DEF|NOM//nsubj//17 bör//VB|PRS|AKT//aux//17 samordna//VB|INF|AKT//parataxis//4 tillgängliggörandet//NN|NEU|SIN|DEF|NOM//obj//17 av//PP//case//20 informationen//NN|UTR|SIN|DEF|NOM//nmod//18 från//PP//case//24 alla//DT|UTR/NEU|PLU|IND/DEF//det//24 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 register//NN|NEU|PLU|IND|NOM//nmod//20 ,//MID//punct//24 som//HP|-|-|-//nsubj:pass//31 även//AB//advmod//28 fortsättningsvis//AB//advmod//31 kommer//VB|PRS|AKT//aux//31 att//IE//mark//31 återfinnas//VB|INF|SFO//acl:relcl//24 hos//PP//case//34 respektive//AB//amod//34 registerhållare//NN|UTR|SIN|IND|NOM//obl//31 .//MAD//punct//4
2.2 Elektronisk tjänst för grundläggande information om näringsidkare;Tjänsten//NN|UTR|SIN|DEF|NOM//nsubj:pass//38 bör//VB|PRS|AKT//aux//38 utformas//VB|INF|SFO//parataxis//4 så//AB//mark//45 att//SN//fixed//39 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//45 även//AB//advmod//45 ska//VB|PRS|AKT//aux//45 kunna//VB|INF|AKT//aux//45 användas//VB|INF|SFO//advcl//38 i//PP//case//51 en//DT|UTR|SIN|IND//det//48 mängd//NN|UTR|SIN|IND|NOM//nmod//51 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 elektroniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 tjänster//NN|UTR|PLU|IND|NOM//obl//45 .//MAD//punct//38
2.2 Elektronisk tjänst för grundläggande information om näringsidkare;Se//VB|IMP|AKT//parataxis//38 även//AB//advmod//53 avsnitt//NN|NEU|SIN|IND|NOM//nmod//56 3.3//RG|NOM//obj//53 för//PP//case//60 en//DT|UTR|SIN|IND//det//60 närmare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//60 beskrivning//NN|UTR|SIN|IND|NOM//obl//53 .//MAD//punct//38

2.3 Mina sidor för privatpersoner;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 ställningstagande//NN|NEU|SIN|IND|NOM//ROOT//1 ://MID//punct//1
2.3 Mina sidor för privatpersoner;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//4 avser//VB|PRS|AKT//parataxis//1 att//SN//mark//8 under//PP//case//7 2011//RG|NOM//obl//8 ta//VB|INF|AKT//xcomp//4 fram//PL//compound:prt//8 en//DT|UTR|SIN|IND//det//11 färdplan//NN|UTR|SIN|IND|NOM//obj//8 för//PP//case//13 realisering//NN|UTR|SIN|IND|NOM//nmod//11 av//PP//case//16 förvaltningsgemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 tjänster//NN|UTR|PLU|IND|NOM//nmod//13 för//PP//case//18 privatpersoner//NN|UTR|PLU|IND|NOM//nmod//16 så//SN//mark//23 att//SN//fixed//19 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//23 kan//VB|PRS|AKT//aux//23 ta//VB|INF|AKT//advcl//4 tillvara//PL//compound:prt//23 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//26 rättigheter//NN|UTR|PLU|IND|NOM//obj//23 och//KN//cc//28 utföra//VB|INF|AKT//conj//23 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//30 skyldigheter//NN|UTR|PLU|IND|NOM//obj//28 utifrån//PP//case//33 prioriterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//33 behov//NN|NEU|PLU|IND|NOM//obl//28 .//MAD//punct//1
2.3 Mina sidor för privatpersoner;Skälen//NN|NEU|PLU|DEF|NOM//nsubj//11 för//PP//case//3 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 ställningstagande//NN|NEU|SIN|IND|NOM//nmod//0 ://MID//punct//0
2.3 Mina sidor för privatpersoner;Förstudien//NN|UTR|SIN|DEF|NOM//appos//0 Mina//PS|UTR/NEU|PLU|DEF//nmod:poss//7 sidor//NN|UTR|PLU|IND|NOM//nsubj//5 för//PP//case//9 privatpersoner//NN|UTR|PLU|IND|NOM//nmod//7 har//VB|PRS|AKT//aux//11 analyserat//VB|SUP|AKT//ROOT//11 behov//NN|NEU|PLU|IND|NOM//obj//11 av//PP//case//15 privatpersoners//NN|UTR|PLU|IND|GEN//nmod:poss//15 kontakter//NN|UTR|PLU|IND|NOM//nmod//12 med//PP//case//17 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//12 .//MAD//punct//11
2.3 Mina sidor för privatpersoner;Med//PP//case//20 kontakter//NN|UTR|PLU|IND|NOM//obl//21 avses//VB|PRS|SFO//conj//11 att//IE//mark//23 ta//VB|INF|AKT//xcomp//21 tillvara//PL//compound:prt//23 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//26 rättigheter//NN|UTR|PLU|IND|NOM//obj//23 och//KN//cc//28 utföra//VB|INF|AKT//conj//21 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//30 skyldigheter//NN|UTR|PLU|IND|NOM//obj//28 .//MAD//punct//21
2.3 Mina sidor för privatpersoner;Slutsatsen//NN|UTR|SIN|DEF|NOM//nsubj//1 är//VB|PRS|AKT//ROOT//1 att//SN//mark//9 privatpersoners//NN|UTR|PLU|IND|GEN//nmod:poss//4 behov//NN|NEU|PLU|IND|NOM//nsubj//9 vid//PP//case//6 kontakter//NN|UTR|PLU|IND|NOM//nmod//4 är//VB|PRS|AKT//cop//9 väldigt//AB|POS//advmod//9 lika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//10 även//AB//advmod//1 om//SN//case//12 myndigheter//NN|UTR|PLU|IND|NOM//obl//10 ,//MID//punct//14 kommuner//NN|UTR|PLU|IND|NOM//conj//12 och//KN//cc//16 landsting//NN|NEU|SIN|IND|NOM//conj//12 har//VB|PRS|AKT//ccomp//1 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 verksamheter//NN|UTR|PLU|IND|NOM//obj//17 .//MAD//punct//1
2.3 Mina sidor för privatpersoner;Privatpersoner//NN|UTR|PLU|IND|NOM//nsubj//22 vill//VB|PRS|AKT//conj//1 ,//MID//punct//26 precis//AB//advmod//25 som//KN//mark//26 företag//NN|NEU|SIN|IND|NOM//obj//22 ,//MID//punct//26 kunna//VB|INF|AKT//aux//29 ansöka//VB|INF|AKT//conj//22 elektroniskt//AB|POS//advmod//29 och//KN//cc//32 följa//VB|INF|AKT//conj//22 ärendets//NN|NEU|SIN|DEF|GEN//nmod:poss//34 status//NN|UTR|SIN|IND|NOM//obj//32 ,//MID//punct//36 komplettera//VB|INF|AKT//conj//22 och//KN//cc//38 få//VB|INF|AKT//conj//22 besked//NN|NEU|SIN|IND|NOM//obj//38 elektroniskt//AB|POS//advmod//22 oavsett//AB|POS//mark//45 om//SN//mark//45 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//45 är//VB|PRS|AKT//cop//45 ansökan//NN|UTR|SIN|IND|NOM//advcl//22 om//PP//mark//48 t.ex.//AB|AN//advmod//48 körkortstillstånd//NN|NEU|SIN|IND|NOM//nmod//45 ,//MID//punct//50 föräldrapenning//NN|UTR|SIN|IND|NOM//conj//48 eller//KN//cc//52 förskola//NN|UTR|SIN|IND|NOM//conj//48 .//MAD//punct//22
2.3 Mina sidor för privatpersoner;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 är//VB|PRS|AKT//cop//2 viktigt//JJ|POS|NEU|SIN|IND|NOM//ROOT//2 att//IE//mark//4 ta//VB|INF|AKT//csubj//2 fram//PL//compound:prt//4 myndighetsgemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 lösningar//NN|UTR|PLU|IND|NOM//obj//4 för//PP//mark//10 att//IE//mark//10 möta//VB|INF|AKT//advcl//4 behoven//NN|NEU|PLU|DEF|NOM//obj//10 .//MAD//punct//2
2.3 Mina sidor för privatpersoner;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//15 behöver//VB|PRS|AKT//aux//15 göras//VB|INF|SFO//parataxis//2 i//PP//case//17 samverkan//NN|UTR|SIN|IND|NOM//obl//15 med//PP//case//20 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 initiativ//NN|NEU|PLU|IND|NOM//nmod//17 .//MAD//punct//2
2.3 Mina sidor för privatpersoner;Hänsyn//NN|UTR|SIN|IND|NOM//nsubj:pass//24 ska//VB|PRS|AKT//aux//24 tas//VB|INF|SFO//parataxis//2 till//PP//case//26 skydd//NN|NEU|SIN|IND|NOM//obl//24 för//PP//case//29 personlig//JJ|POS|UTR|SIN|IND|NOM//amod//29 integritet//NN|UTR|SIN|IND|NOM//obl//24 .//MAD//punct//24
2.3 Mina sidor för privatpersoner;Lösningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//34 kan//VB|PRS|AKT//aux//34 exempelvis//AB//advmod//34 tillhandahållas//VB|INF|SFO//parataxis//24 på//PP//case//38 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//38 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 webbplatser//NN|UTR|PLU|IND|NOM//obl//34 ,//MID//punct//40 samlade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//34 på//PP//case//44 en//DT|UTR|SIN|IND//det//44 gemensam//JJ|POS|UTR|SIN|IND|NOM//amod//44 kanal//NN|UTR|SIN|IND|NOM//obl//40 för//PP//case//47 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//47 myndigheter//NN|UTR|PLU|IND|NOM//nmod//44 ,//MID//punct//40 i//PP//case//50 klusterlösningar//NN|UTR|PLU|IND|NOM//obl//40 ,//MID//punct//56 eller//KN//cc//56 på//PP//case//56 ett//DT|NEU|SIN|IND//det//56 säkert//JJ|POS|NEU|SIN|IND|NOM//amod//56 sätt//NN|NEU|SIN|IND|NOM//conj//34 genom//PP//case//60 privata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 aktörers//NN|UTR|PLU|IND|GEN//nmod:poss//60 lösningar//NN|UTR|PLU|IND|NOM//nmod//56 ,//MID//punct//56 till//PP//advmod//64 exempel//NN|NEU|SIN|IND|NOM//fixed//62 program//NN|NEU|PLU|IND|NOM//nmod//56 i//PP//case//66 mobilen//NN|UTR|SIN|DEF|NOM//nmod//64 (//PAD//punct//56 s.k.//AB|AN//amod//69 appar//NN|UTR|PLU|IND|NOM//appos//56 )//PAD//punct//56 .//MAD//punct//24
2.3 Mina sidor för privatpersoner;Se//VB|IMP|AKT//parataxis//24 även//AB//advmod//72 avsnitt//NN|NEU|SIN|IND|NOM//nmod//75 3.1//RG|NOM//obj//72 .//MAD//punct//2

2.4 Förvaltningsgemensam tjänstekatalog;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 bedömning//NN|UTR|SIN|IND|NOM//nsubj//16 ://MID//punct//1
2.4 Förvaltningsgemensam tjänstekatalog; //_SP////2 Jordbruksverket//NN|NEU|SIN|DEF|NOM//nmod//1 bör//VB|PRS|AKT//aux//16 ,//MID//punct//16 i//PP//case//8 samarbete//NN|NEU|SIN|IND|NOM//obl//16 med//PP//case//10 Lantmäteriet//PM|NOM//nmod//8 ,//MID//punct//12 CSN//PM|NOM//conj//8 och//KN//cc//14 Migrationsverket//NN|NEU|SIN|DEF|NOM//conj//8 ,//MID//punct//16 realisera//VB|INF|AKT//ROOT//16 en//DT|UTR|SIN|IND//det//19 förvaltningsgemensam//JJ|POS|UTR|SIN|IND|NOM//amod//19 tjänstekatalog//NN|UTR|SIN|IND|NOM//obj//16 .//MAD//punct//16
2.4 Förvaltningsgemensam tjänstekatalog;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//24 är//VB|PRS|AKT//cop//24 att//IE//mark//24 underlätta//VB|INF|AKT//parataxis//16 återanvändning//NN|UTR|SIN|IND|NOM//obj//24 av//PP//case//27 information//NN|UTR|SIN|IND|NOM//nmod//25 genom//PP//mark//30 att//IE//mark//30 synliggöra//VB|INF|AKT//advcl//24 existerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 tjänster//NN|UTR|PLU|IND|NOM//obj//30 för//PP//case//35 automatiserad//PC|PRF|UTR|SIN|IND|NOM//amod//35 samverkan//NN|UTR|SIN|IND|NOM//obl//30 .//MAD//punct//24
2.4 Förvaltningsgemensam tjänstekatalog;Den//PN|UTR|SIN|DEF|SUB/OBJ//det//42 av//PP//case//39 delegationen//NN|UTR|SIN|DEF|NOM//nmod//37 tidigare//AB|KOM//advmod//41 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//42 finansieringsmodellen//NN|UTR|SIN|DEF|NOM//nsubj:pass//44 bör//VB|PRS|AKT//aux//44 användas//VB|INF|SFO//parataxis//24 .//MAD//punct//16
2.4 Förvaltningsgemensam tjänstekatalog;Skälen//NN|NEU|PLU|DEF|NOM//nsubj//8 för//PP//case//3 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 bedömning//NN|UTR|SIN|IND|NOM//nmod//0 ://MID//punct//3
2.4 Förvaltningsgemensam tjänstekatalog;Under//PP//case//6 hösten//NN|UTR|SIN|DEF|NOM//obl//8 2010//RG|NOM//nummod//6 har//VB|PRS|AKT//aux//14 en//DT|UTR|SIN|IND//det//10 prototyp//NN|UTR|SIN|IND|NOM//nsubj:pass//14 av//PP//case//13 en//DT|UTR|SIN|IND//det//13 tjänstekatalog//NN|UTR|SIN|IND|NOM//nmod//10 tagits//VB|SUP|SFO//nsubj:pass//21 fram//PL//compound:prt//14 och//KN//cc//17 synpunkter//NN|UTR|PLU|IND|NOM//conj//14 på//PP//case//19 den//PN|UTR|SIN|DEF|SUB/OBJ//nmod//17 har//VB|PRS|AKT//aux//21 hämtats//VB|SUP|SFO//ROOT//21 in//PL//compound:prt//21 via//PP//case//26 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 öppna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 kanaler//NN|UTR|PLU|IND|NOM//obl//21 .//MAD//punct//21
2.4 Förvaltningsgemensam tjänstekatalog;Slutsatsen//NN|UTR|SIN|DEF|NOM//nsubj:pass//48 är//VB|PRS|AKT//cop//28 att//SN//mark//35 lösningen//NN|UTR|SIN|DEF|NOM//nsubj//35 på//PP//case//33 sikt//NN|UTR|SIN|IND|NOM//nmod//31 bör//VB|PRS|AKT//aux//35 omfatta//VB|INF|AKT//csubj//28 alla//DT|UTR/NEU|PLU|IND/DEF//det//37 tjänster//NN|UTR|PLU|IND|NOM//obj//35 för//PP//case//40 automatiserad//PC|PRF|UTR|SIN|IND|NOM//amod//40 samverkan//NN|UTR|SIN|IND|NOM//nmod//37 inom//PP//case//42 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//40 .//MAD//punct//28
2.4 Förvaltningsgemensam tjänstekatalog;Det//DT|NEU|SIN|DEF//det//46 första//RO|NOM//amod//46 steget//NN|NEU|SIN|DEF|NOM//nsubj:pass//48 bör//VB|PRS|AKT//aux//48 realiseras//VB|INF|SFO//parataxis//21 under//PP//case//50 2011//RG|NOM//obl//48 .//MAD//punct//21
2.4 Förvaltningsgemensam tjänstekatalog;Resultatet//NN|NEU|SIN|DEF|NOM//nsubj//54 bör//VB|PRS|AKT//aux//54 utgöra//VB|INF|AKT//parataxis//21 en//DT|UTR|SIN|IND//det//56 överblick//NN|UTR|SIN|IND|NOM//obj//54 av//PP//case//59 ett//DT|NEU|SIN|IND//det//59 urval//NN|NEU|SIN|IND|NOM//nmod//56 av//PP//case//63 deltagande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//62 parters//NN|UTR|PLU|IND|GEN//nmod:poss//63 tjänster//NN|UTR|PLU|IND|NOM//nmod//59 ,//MID//punct//68 vilket//HP|NEU|SIN|IND//nsubj//68 kommer//VB|PRS|AKT//aux//68 att//IE//mark//68 bidra//VB|INF|AKT//advcl//54 med//PP//case//70 erfarenheter//NN|UTR|PLU|IND|NOM//obl//68 som//HP|-|-|-//nsubj:pass//73 kan//VB|PRS|AKT//aux//73 användas//VB|INF|SFO//acl:relcl//70 för//PP//case//75 planering//NN|UTR|SIN|IND|NOM//obl//73 av//PP//case//79 ett//DT|NEU|SIN|IND//det//79 utökat//PC|PRF|NEU|SIN|IND|NOM//amod//79 samarbete//NN|NEU|SIN|IND|NOM//nmod//75 som//HP|-|-|-//nsubj//81 omfattar//VB|PRS|AKT//acl:relcl//79 alla//DT|UTR/NEU|PLU|IND/DEF//det//84 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//84 tjänster//NN|UTR|PLU|IND|NOM//obj//81 för//PP//case//87 automatiserad//PC|PRF|UTR|SIN|IND|NOM//amod//87 samverkan//NN|UTR|SIN|IND|NOM//nmod//84 inom//PP//case//89 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//87 .//MAD//punct//21

2.5 Effektivare informationsförsörjning;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 ställningstagande//NN|NEU|SIN|IND|NOM//ROOT//1 ://MID//punct//1
2.5 Effektivare informationsförsörjning;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//4 har//VB|PRS|AKT//parataxis//1 för//PP//case//6 avsikt//NN|UTR|SIN|IND|NOM//obl//4 att//IE//mark//10 under//PP//case//9 2011//RG|NOM//nummod//10 prioritera//VB|INF|AKT//acl//6 en//DT|UTR|SIN|IND//det//12 förstudie//NN|UTR|SIN|IND|NOM//nmod//16 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//16  //_SP////13 Effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 informationsförsörjning//NN|UTR|SIN|IND|NOM//obj//10 .//MAD//punct//1
2.5 Effektivare informationsförsörjning;Skälen//NN|NEU|PLU|DEF|NOM//nsubj//11 för//PP//case//3 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 ställningstagande//NN|NEU|SIN|IND|NOM//nmod//0 ://MID//punct//0
2.5 Effektivare informationsförsörjning;Förstudien//NN|UTR|SIN|DEF|NOM//appos//0  //_SP////5 Effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 informationsförsörjning//NN|UTR|SIN|IND|NOM//conj//5  //_SP////8 ska//VB|PRS|AKT//aux//11 beskriva//VB|INF|AKT//ROOT//11 förslag//NN|NEU|PLU|IND|NOM//obj//11 och//KN//cc//14 nyttor//NN|UTR|PLU|IND|NOM//conj//12 vad//HP|NEU|SIN|IND//nsubj//16 gäller//VB|PRS|AKT//acl:relcl//14 effektivisering//NN|UTR|SIN|IND|NOM//obj//16 av//PP//case//19 informationsförsörjning//NN|UTR|SIN|IND|NOM//nmod//17 inom//PP//case//22 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//22 sektor//NN|UTR|SIN|IND|NOM//nmod//19 .//MAD//punct//11
2.5 Effektivare informationsförsörjning;Inom//PP//case//25 sektorn//NN|UTR|SIN|DEF|NOM//obl//26 finns//VB|PRS|SFO//parataxis//11 åtskilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 ärendeprocesser//NN|UTR|PLU|IND|NOM//nsubj//26 som//HP|-|-|-//nsubj//31 är//VB|PRS|AKT//cop//31 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//28 av//PP//case//34 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//34 tillgång//NN|UTR|SIN|IND|NOM//obl//31 till//PP//case//38 kvalitativt//AB|POS//advmod//37 god//JJ|POS|UTR|SIN|IND|NOM//amod//38 grundinformation//NN|UTR|SIN|IND|NOM//nmod//34 som//HP|-|-|-//nsubj//41 inte//AB//advmod//41 finns//VB|PRS|SFO//acl:relcl//38 inom//PP//case//45 den//DT|UTR|SIN|DEF//det//45 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//45 myndigheten//NN|UTR|SIN|DEF|NOM//obl//41 .//MAD//punct//26
2.5 Effektivare informationsförsörjning;Idag//AB//advmod//48 inhämtas//VB|INF|SFO//parataxis//26 denna//DT|UTR|SIN|DEF//det//50 information//NN|UTR|SIN|IND|NOM//nsubj:pass//48 maskinellt//AB|POS//advmod//48 eller//KN//cc//53 manuellt//AB|POS//conj//51 .//MID//punct//48
