Fi 2003/508;2003-05-22//RG|NOM//ROOT//0
Allmänt om förslaget; //_SP////3 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//0 understryker//VB|PRS|AKT//ROOT//6 än//AB//case//10 en//DT|UTR|SIN|IND//det//9 gång//NN|UTR|SIN|IND|NOM//nmod//10 behovet//NN|NEU|SIN|DEF|NOM//obl//6 av//PP//mark//18 att//SN//mark//18 frågan//NN|UTR|SIN|DEF|NOM//nsubj//18 om//PP//case//15 taxeringsvärden//NN|NEU|PLU|IND|NOM//nmod//13 och//KN//cc//17 fastighetsskatt//NN|UTR|SIN|IND|NOM//conj//15 får//VB|PRS|AKT//acl//10 en//DT|UTR|SIN|IND//det//23 hållbar//JJ|POS|UTR|SIN|IND|NOM//amod//23 och//KN//cc//22 förutsägbar//JJ|POS|UTR|SIN|IND|NOM//conj//20 reglering//NN|UTR|SIN|IND|NOM//obj//18 .//MAD//punct//6
Allmänt om förslaget;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//26 innebär//VB|PRS|AKT//parataxis//6 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 undantag//NN|NEU|PLU|IND|NOM//obj//26 och//KN//cc//30 krångel//NN|NEU|SIN|IND|NOM//conj//28 i//PP//case//35 en//DT|UTR|SIN|IND//det//35 redan//AB//advmod//34 svåröverskådlig//JJ|POS|UTR|SIN|IND|NOM//amod//35 lagstiftning//NN|UTR|SIN|IND|NOM//obl//26 .//MAD//punct//26
Allmänt om förslaget;Statskontoret//NN|NEU|SIN|DEF|NOM//dislocated//5 ://MID//punct//0
Allmänt om förslaget; //_SP////1 Förslaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//5 bör//VB|PRS|AKT//aux//5 betraktas//VB|INF|SFO//ROOT//5 som//KN//case//8 en//DT|UTR|SIN|IND//det//8 övergångslösning//NN|UTR|SIN|IND|NOM//xcomp//5 i//PP//case//10 avvaktan//NN|UTR|SIN|IND|NOM//nmod//8 på//PP//case//14 ett//DT|NEU|SIN|IND//det//14 slutligt//JJ|POS|NEU|SIN|IND|NOM//amod//14 förslag//NN|NEU|SIN|IND|NOM//obl//5 från//PP//case//16 kommittén//NN|UTR|SIN|DEF|NOM//nmod//14 och//KN//cc//20 får//VB|PRS|AKT//aux//20 inte//AB//advmod//20 lägga//VB|INF|AKT//conj//5 hinder//NN|NEU|PLU|IND|NOM//obj//20 i//PP//case//23 vägen//NN|UTR|SIN|DEF|NOM//obl//20 för//PP//case//26 en//DT|UTR|SIN|IND//det//26 omprövning//NN|UTR|SIN|IND|NOM//obl//20 av//PP//case//30 nu//AB//advmod//30 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 principer//NN|UTR|PLU|IND|NOM//nmod//26 .//MAD//punct//5
Allmänt om förslaget;Strävan//NN|UTR|SIN|DEF|NOM//nsubj//34 bör//VB|PRS|AKT//aux//34 vara//VB|INF|AKT//parataxis//5 att//IE//mark//36 hitta//VB|INF|AKT//ccomp//34 stabila//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 och//KN//cc//39 långsiktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//37 lösningar//NN|UTR|PLU|IND|NOM//obj//36 .//MAD//punct//5
Allmänt om förslaget;Riksskatteverket//NN|NEU|SIN|DEF|NOM//nsubj//7 ://MID//punct//0
Allmänt om förslaget; //_SP////1 Genom//PP//case//6 den//DT|UTR|SIN|DEF//det//6 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//6 dämpningsregeln//NN|UTR|SIN|DEF|NOM//nmod//0 kommer//VB|PRS|AKT//ROOT//7 kopplingen//NN|UTR|SIN|DEF|NOM//nsubj//7 mellan//PP//case//11 åsatt//PC|PRF|NEU|SIN|IND|NOM//amod//11 taxeringsvärde//NN|NEU|SIN|IND|NOM//nmod//8 och//KN//cc//13 underlag//NN|NEU|SIN|IND|NOM//conj//11 för//PP//case//15 fastighetsskatt//NN|UTR|SIN|IND|NOM//nmod//13 respektive//AB//cc//17 underlag//NN|NEU|SIN|IND|NOM//conj//8 för//PP//case//19 förmögenhetsskatt//NN|UTR|SIN|IND|NOM//nmod//17 att//IE//mark//21 bli//VB|INF|AKT//acl//19 otydlig//JJ|POS|UTR|SIN|IND|NOM//xcomp//21 .//MAD//punct//7
Allmänt om förslaget;Informationsinsatserna//NN|UTR|PLU|DEF|NOM//nsubj//30 till//PP//case//26 fastighetsägarna//NN|UTR|PLU|DEF|NOM//nmod//24 kommer//VB|PRS|AKT//aux//30 därför//AB//advmod//30 att//IE//mark//30 få//VB|INF|AKT//parataxis//7 en//DT|UTR|SIN|IND//det//33 ökad//PC|PRF|UTR|SIN|IND|NOM//amod//33 betydelse//NN|UTR|SIN|IND|NOM//obj//30 jämfört//PC|PRF|NEU|SIN|IND|NOM//advmod//30 med//PP//fixed//34 tidigare//AB|KOM//fixed//34 .//MAD//punct//30
Allmänt om förslaget;Skulle//VB|PRT|AKT//aux//45 den//DT|UTR|SIN|DEF//det//41 slutliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 utformningen//NN|UTR|SIN|DEF|NOM//nsubj//45 av//PP//case//43 dämpningsregeln//NN|UTR|SIN|DEF|NOM//nmod//41 väsentligt//AB|POS//advmod//45 skilja//VB|INF|AKT//conj//7 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//45 från//PP//case//48 det//DT|NEU|SIN|DEF//obl//45 nu//AB//advmod//50 liggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 förslaget//NN|NEU|SIN|DEF|NOM//obl//45 ,//MID//punct//45 kommer//VB|PRS|AKT//advcl//45 den//DT|UTR|SIN|DEF//det//55 tid//NN|UTR|SIN|IND|NOM//obj//53 som//HP|-|-|-//nsubj//57 står//VB|PRS|AKT//acl:relcl//55 till//PP//case//59 förfogande//NN|NEU|SIN|IND|NOM//obl//57 för//PP//mark//62 att//IE//mark//62 utveckla//VB|INF|AKT//advcl//57 ett//DT|NEU|SIN|IND//det//65 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//65 IT-stöd//NN|NEU|SIN|IND|NOM//obj//62 och//KN//cc//67 anpassa//VB|INF|AKT//conj//62 detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//67 till//PP//case//71 befintliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 system//NN|NEU|PLU|IND|NOM//obl//67 att//IE//mark//73 bli//VB|INF|AKT//advcl//67 alltför//AB//advmod//75 kort//JJ|POS|UTR|SIN|IND|NOM//xcomp//73 .//MAD//punct//45
Allmänt om förslaget;Juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 fakulteten//NN|UTR|SIN|DEF|NOM//dislocated//7 vid//PP//case//4 Uppsala//PM|GEN//nmod:poss//4 universitet//NN|NEU|SIN|IND|NOM//nmod//1 ://MID//punct//1
Allmänt om förslaget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//7 finns//VB|PRS|SFO//ROOT//7 fundamentala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 fel//NN|NEU|PLU|IND|NOM//nsubj//7 i//PP//case//13 den//DT|UTR|SIN|DEF//det//13 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//13 konstruktionen//NN|UTR|SIN|DEF|NOM//obl//7 av//PP//case//15 fastighetsskatten//NN|UTR|SIN|DEF|NOM//nmod//13 .//MAD//punct//7
Allmänt om förslaget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//20 är//VB|PRS|AKT//cop//20 därför//AB//advmod//20 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//parataxis//7 att//SN//mark//24 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 förändringar//NN|UTR|PLU|IND|NOM//nsubj//24 sker//VB|PRS|AKT//csubj//20 .//MID//punct//20
Allmänt om förslaget;Det//DT|NEU|SIN|DEF//det//28 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 felet//NN|NEU|SIN|DEF|NOM//nsubj//30 torde//VB|PRT|AKT//aux//30 vara//VB|INF|AKT//parataxis//20 att//SN//mark//34 småhusägarna//NN|UTR|PLU|DEF|NOM//nsubj//34 inte//AB//advmod//34 har//VB|PRS|AKT//ccomp//30 någon//DT|UTR|SIN|IND//det//36 möjlighet//NN|UTR|SIN|IND|NOM//obj//34 att//IE//mark//38 påverka//VB|INF|AKT//acl//36 skatteuttaget//NN|NEU|SIN|DEF|NOM//obj//38 samtidigt//AB//case//44 som//HA//fixed//40 ingen//DT|UTR|SIN|IND//det//44 likvid//JJ|POS|UTR|SIN|IND|NOM//amod//44 avkastning//NN|UTR|SIN|IND|NOM//obl//38 kommer//VB|PRS|AKT//csubj//20 fastighetsägaren//NN|UTR|SIN|DEF|NOM//nsubj//45 till//PP//compound:prt//45 godo//NN|-|-|-|-//fixed//47 genom//PP//case//50 höjningar//NN|UTR|PLU|IND|NOM//obl//45 av//PP//case//52 taxeringsvärdet//NN|NEU|SIN|DEF|NOM//nmod//50 .//MAD//punct//20
Allmänt om förslaget;Juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 fakulteten//NN|UTR|SIN|DEF|NOM//nsubj//7 vid//PP//case//4 Lunds//PM|GEN//nmod:poss//4 universitet//NN|NEU|SIN|IND|NOM//nmod//1 ://MID//punct//1
Allmänt om förslaget;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//7 innebär//VB|PRS|AKT//ROOT//7 att//SN//mark//13 lagen//NN|UTR|SIN|DEF|NOM//nsubj//13 om//PP//case//12 statlig//JJ|POS|UTR|SIN|IND|NOM//amod//12 fastighetsskatt//NN|UTR|SIN|IND|NOM//nmod//9 blir//VB|PRS|AKT//ccomp//7 än//AB//mark//18 mer//AB|KOM//advmod//16 tekniskt//AB|POS//advmod//17 komplicerad//PC|PRF|UTR|SIN|IND|NOM//amod//18 svårförståelig//JJ|POS|UTR|SIN|IND|NOM//xcomp//13 för//PP//case//20 allmänheten//NN|UTR|SIN|DEF|NOM//obl//13 .//MAD//punct//7
Allmänt om förslaget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//24 är//VB|PRS|AKT//cop//24 olyckligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//7 att//SN//mark//28 förslaget//NN|NEU|SIN|DEF|NOM//nsubj//28 inte//AB//advmod//28 tar//VB|PRS|AKT//csubj//24 sikte//NN|NEU|SIN|IND|NOM//obj//28 på//PP//case//32 de//DT|UTR/NEU|PLU|DEF//det//32 likviditets-//NN|UTR|-|-|SMS//obl//28 och//KN//cc//34 kostnadsproblem//NN|NEU|PLU|IND|NOM//conj//32 som//HP|-|-|-//obj//41 en//DT|UTR|SIN|IND//det//39 alltför//AB//advmod//38 hög//JJ|POS|UTR|SIN|IND|NOM//amod//39 skattenivå//NN|UTR|SIN|IND|NOM//nsubj//41 kan//VB|PRS|AKT//aux//41 medföra//VB|INF|AKT//acl:relcl//34 .//MAD//punct//24
Allmänt om förslaget;De//DT|UTR/NEU|PLU|DEF//det//1 problemen//NN|NEU|PLU|DEF|NOM//nsubj:pass//4 skulle//VB|PRT|AKT//aux//4 kunna//VB|INF|AKT//aux//4 lösas//VB|INF|SFO//ROOT//4 t.ex.//AB|AN//advmod//11 genom//PP//case//11 att//IE//mark//11 inför//PP//case//11 ett//DT|NEU|SIN|IND//det//11 lämpligt//JJ|POS|NEU|SIN|IND|NOM//amod//11 tak//NN|NEU|SIN|IND|NOM//obl//4 (//PAD//punct//11 frysning//NN|UTR|SIN|IND|NOM//appos//11 )//PAD//punct//11 för//PP//case//18 den//DT|UTR|SIN|DEF//det//18 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 beskattningen//NN|UTR|SIN|DEF|NOM//nmod//11 och//KN//cc//23 att//SN//mark//23 fastighetsskatten//NN|UTR|SIN|DEF|NOM//nsubj:pass//23 därutöver//AB//advmod//23 tas//VB|INF|SFO//conj//11 ut//PL//compound:prt//23 vid//PP//case//28 en//DT|UTR|SIN|IND//det//28 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 försäljning//NN|UTR|SIN|IND|NOM//obl//23 .//MAD//punct//4
Allmänt om förslaget;Vaxholms//PM|GEN//nmod:poss//1 kommun//NN|UTR|SIN|IND|NOM//nsubj//7 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Problemen//NN|NEU|PLU|DEF|NOM//appos//1 med//PP//case//6 fastighetsskatten//NN|UTR|SIN|DEF|NOM//nmod//4 ligger//VB|PRS|AKT//ROOT//7 endast//AB//advmod//7 till//PP//case//12 en//DT|UTR|SIN|IND//det//12 ringa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 del//NN|UTR|SIN|IND|NOM//obl//7 inom//PP//case//15 de//DT|UTR/NEU|PLU|DEF//det//15 områden//NN|NEU|PLU|IND|NOM//nmod//12 som//HP|-|-|-//obj//21 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//21 nu//AB//advmod//21 aktuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//20 dämpningsregeln//NN|UTR|SIN|DEF|NOM//nsubj//21 avser//VB|PRS|AKT//acl:relcl//15 .//MAD//punct//7
Allmänt om förslaget;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//26 kan//VB|PRS|AKT//aux//26 endast//AB//advmod//26 ses//VB|INF|SFO//parataxis//7 en//DT|UTR|SIN|IND//det//29 tillfällig//JJ|POS|UTR|SIN|IND|NOM//amod//29 lindring//NN|UTR|SIN|IND|NOM//obj//26 till//PP//case//35 dess//AB//nmod:poss//35 en//DT|UTR|SIN|IND//det//35 mer//AB|KOM//advmod//34 långtgående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 lösning//NN|UTR|SIN|IND|NOM//obl//26 på//PP//case//37 problemen//NN|NEU|PLU|DEF|NOM//nmod//35 har//VB|PRS|AKT//aux//39 tagits//VB|SUP|SFO//conj//26 fram//PL//advmod//39 .//MAD//punct//7
Allmänt om förslaget;Gotlands//PM|GEN//nmod:poss//1 kommun//NN|UTR|SIN|IND|NOM//nsubj//5 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//5 löser//VB|PRS|AKT//ROOT//5 inte//AB//advmod//5 problemen//NN|NEU|PLU|DEF|NOM//obj//5 för//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 hushåll//NN|NEU|PLU|IND|NOM//obl//5 med//PP//case//13 låga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 inkomster//NN|UTR|PLU|IND|NOM//nmod//10 som//HP|-|-|-//nsubj//16 är//VB|PRS|AKT//cop//16 bosatta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//13 i//PP//case//18 områden//NN|NEU|PLU|IND|NOM//nmod//16 där//HA//advmod//21 fastighetspriserna//NN|UTR|PLU|DEF|NOM//nsubj//21 stigit//VB|SUP|AKT//acl:relcl//18 kraftigt//AB|POS//advmod//21 .//MAD//punct//5
Allmänt om förslaget;Fastighetsskattens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 negativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 konsekvenser//NN|UTR|PLU|IND|NOM//appos//5 för//PP//case//28 permanentboende//NN|NEU|SIN|IND|NOM//nmod//26 och//KN//cc//31 vid//PP//case//31 arvskiften//NN|UTR|SIN|DEF|NOM//conj//28 ,//MID//punct//34 kan//VB|PRS|AKT//aux//34 kamma//VB|INF|AKT//conj//5 att//IE//mark//36 medföra//VB|INF|AKT//xcomp//34 en//DT|UTR|SIN|IND//det//38 utarmning//NN|UTR|SIN|IND|NOM//obj//36 av//PP//case//42 den//DT|UTR|SIN|DEF//det//42 levande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 landsbygden//NN|UTR|SIN|DEF|NOM//nmod//38 .//MAD//punct//5
Allmänt om förslaget;Simrishamns//PM|GEN//nmod:poss//1 kommun//NN|UTR|SIN|IND|NOM//nsubj//20 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//5 löser//VB|PRS|AKT//parataxis//1 inte//AB//advmod//5 problem//NN|NEU|PLU|IND|NOM//obj//5 med//PP//case//9 likviditeten//NN|UTR|SIN|DEF|NOM//obl//5 och//KN//cc//12 höga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 kostnader//NN|UTR|PLU|IND|NOM//conj//9 ,//MID//punct//16 som//KN//case//16 höga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 taxeringsvärden//NN|NEU|PLU|IND|NOM//obl//5 i//PP//case//19 attraktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 områden//NN|NEU|PLU|IND|NOM//nmod//16 medför//VB|PRS|AKT//ROOT//20 .//MAD//punct//20
Allmänt om förslaget;Pensionärernas//NN|UTR|PLU|DEF|GEN//nmod:poss//1 Riksorganisation//NN|UTR|SIN|IND|NOM//dislocated//6 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Förslaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//6 får//VB|PRS|AKT//aux//6 ses//VB|INF|SFO//ROOT//6 som//KN//case//10 en//DT|UTR|SIN|IND//det//10 tillfällig//JJ|POS|UTR|SIN|IND|NOM//amod//10 lösning//NN|UTR|SIN|IND|NOM//obl//6 i//PP//case//12 avvaktan//NN|UTR|SIN|IND|NOM//obl//6 på//PP//mark//16 att//SN//mark//16 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//16 presenterar//VB|PRS|AKT//advcl//6 en//DT|UTR|SIN|IND//det//18 helhetslösning//NN|UTR|SIN|IND|NOM//obj//16 .//MAD//punct//6
Allmänt om förslaget;Sveriges//PM|GEN//nmod:poss//1 Pensionärsförbund//NN|NEU|SIN|IND|NOM//nsubj//8 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Fastighetsskatten//NN|UTR|SIN|DEF|NOM//nsubj//8 är//VB|PRS|AKT//cop//8 i//PP//case//7 princip//NN|UTR|SIN|IND|NOM//obl//8 felaktig//JJ|POS|UTR|SIN|IND|NOM//ROOT//8 och//KN//cc//10 orättvis//JJ|POS|UTR|SIN|IND|NOM//conj//8 och//KN//cc//13 bör//VB|PRS|AKT//aux//13 avskaffas//VB|INF|SFO//conj//8 .//MAD//punct//8
Allmänt om förslaget;De//DT|UTR/NEU|PLU|DEF//det//16 åtgärder//NN|UTR|PLU|IND|NOM//nsubj//22 som//HP|-|-|-//nsubj:pass//19 har//VB|PRS|AKT//aux//19 vidtagits//VB|SUP|SFO//acl:relcl//16 har//VB|PRS|AKT//aux//22 varit//VB|SUP|AKT//cop//22 otillräckliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//8 .//MAD//punct//8
Allmänt om förslaget;Förändringarna//NN|UTR|PLU|DEF|NOM//obl//8 ,//MID//punct//24 liksom//PP//mark//30 den//DT|UTR|SIN|DEF//det//30 nu//AB//advmod//29 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//30 bestämmelsen//NN|UTR|SIN|DEF|NOM//appos//24 ,//MID//punct//8 är//VB|PRS|AKT//cop//34 att//IE//mark//34 betrakta//VB|INF|AKT//conj//8 som//KN//case//36 nödlösningar//NN|UTR|PLU|IND|NOM//obl//34 vilka//HP|UTR/NEU|PLU|IND//nsubj//40 inte//AB//advmod//40 kan//VB|PRS|AKT//aux//40 dölja//VB|INF|AKT//acl:relcl//36 de//DT|UTR/NEU|PLU|DEF//det//43 fundamentala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 bristerna//NN|UTR|PLU|DEF|NOM//obj//40 i//PP//case//45 fastighetsbeskattningen//NN|UTR|SIN|DEF|NOM//nmod//43 .//MAD//punct//8
Allmänt om förslaget;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//49 är//VB|PRS|AKT//cop//49 otillräckligt//JJ|POS|NEU|SIN|IND|NOM//conj//8 och//KN//cc//51 förhindrar//VB|PRS|AKT//conj//49 inte//AB//advmod//51 den//DT|UTR|SIN|DEF//det//55 ständiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//55 höjningen//NN|UTR|SIN|DEF|NOM//obj//51 av//PP//case//57 fastighetsskatten//NN|UTR|SIN|DEF|NOM//nmod//55 utan//KN//cc//59 skjuter//VB|PRS|AKT//conj//49 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//59 bara//AB//advmod//59 på//PP//case//63 framtiden//NN|UTR|SIN|DEF|NOM//obl//59 .//MAD//punct//8
Allmänt om förslaget;Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 kommunförbundet//NN|NEU|SIN|DEF|NOM//nsubj//9 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Behovet//NN|NEU|SIN|DEF|NOM//appos//1 att//IE//mark//6 införa//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//8 dämpningsregel//NN|UTR|SIN|IND|NOM//obj//6 understryker//VB|PRS|AKT//ROOT//9 bara//AB//advmod//9 att//SN//mark//18 principen//NN|UTR|SIN|DEF|NOM//nsubj//18 för//PP//case//14 fastighetsbeskattningen//NN|UTR|SIN|DEF|NOM//nmod//12 i//PP//case//16 grunden//NN|UTR|SIN|DEF|NOM//nmod//14 är//VB|PRS|AKT//cop//18 felkonstruerad//PC|PRF|UTR|SIN|IND|NOM//ccomp//9 .//MAD//punct//9
Allmänt om förslaget;I//PP//case//21 förening//NN|UTR|SIN|IND|NOM//obl//24 med//PP//case//23 begränsningsregeln//NN|UTR|SIN|DEF|NOM//nmod//21 påvisar//VB|PRS|AKT//parataxis//9 förslaget//NN|NEU|SIN|DEF|NOM//nsubj//24 att//SN//mark//32 fastighetsskatten//NN|UTR|SIN|DEF|NOM//nsubj//32 är//VB|PRS|AKT//cop//32 ett//DT|NEU|SIN|IND//det//32 växande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 ekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//32 problem//NN|NEU|SIN|IND|NOM//ccomp//24 för//PP//case//36 allt//AB//advmod//35 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//36 fastighetsägare//NN|UTR|PLU|IND|NOM//obl//32 .//MAD//punct//24
Allmänt om förslaget;Skattens//NN|UTR|SIN|DEF|GEN//nmod:poss//39 konstruktion//NN|UTR|SIN|IND|NOM//nsubj//43 är//VB|PRS|AKT//cop//43 en//DT|UTR|SIN|IND//det//43 teoretisk//JJ|POS|UTR|SIN|IND|NOM//amod//43 fiktion//NN|UTR|SIN|IND|NOM//parataxis//24 som//HP|-|-|-//nsubj//46 inte//AB//advmod//46 finns//VB|PRS|SFO//acl:relcl//43 förankrad//PC|PRF|UTR|SIN|IND|NOM//xcomp//46 hos//PP//case//49 fastighetsägarna//NN|UTR|PLU|DEF|NOM//obl//47 eftersom//SN//mark//55 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//55 inte//AB//advmod//55 är//VB|PRS|AKT//cop//55 en//DT|UTR|SIN|IND//det//55 skatt//NN|UTR|SIN|IND|NOM//advcl//24 på//PP//case//57 värdeökningar//NN|UTR|PLU|IND|NOM//nmod//55 .//MAD//punct//24
Allmänt om förslaget;Ett//DT|NEU|SIN|IND//det//61 annat//JJ|POS|NEU|SIN|IND|NOM//amod//61 problem//NN|NEU|SIN|IND|NOM//nsubj//63 är//VB|PRS|AKT//cop//63 förmögenhetsskatten//NN|UTR|SIN|DEF|NOM//parataxis//24 .//MAD//punct//9
Allmänt om förslaget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//66 krävs//VB|PRS|SFO//parataxis//9 en//DT|UTR|SIN|IND//det//69 genomgripande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//69 reform//NN|UTR|SIN|IND|NOM//nsubj:pass//66 av//PP//case//71 fastighetsbeskattningen//NN|UTR|SIN|DEF|NOM//nmod//69 .//MAD//punct//66
Allmänt om förslaget;Ett//DT|NEU|SIN|IND//det//74 alternativ//NN|NEU|SIN|IND|NOM//parataxis//9 är//VB|PRS|AKT//cop//74 att//SN//mark//78 skatten//NN|UTR|SIN|DEF|NOM//nsubj:pass//78 utformas//VB|PRS|SFO//csubj//74 ur//PP//case//86 ett//DT|NEU|SIN|IND//det//83 mer//AB|KOM//advmod//82 renodlat//PC|PRF|NEU|SIN|IND|NOM//amod//83 kommunalt//JJ|POS|NEU|SIN|IND|NOM//amod//86 ///MID//cc//85 regionalt//JJ|POS|NEU|SIN|IND|NOM//amod//86 perspektiv//NN|NEU|SIN|IND|NOM//obl//78 .//MAD//punct//9
Allmänt om förslaget;Sveriges//PM|GEN//nmod:poss//1 advokatsamfund//NN|NEU|SIN|IND|NOM//nsubj//5 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//5 löser//VB|PRS|AKT//ROOT//5 inte//AB//advmod//5 det//DT|NEU|SIN|DEF//det//9 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 problemet//NN|NEU|SIN|DEF|NOM//obj//5 som//HP|-|-|-//nsubj//11 består//VB|PRS|AKT//acl:relcl//9 i//PP//mark//15 att//SN//mark//15 fastighetsskatten//NN|UTR|SIN|DEF|NOM//nsubj:pass//15 tas//VB|PRS|SFO//advcl//11 ut//PL//compound:prt//15 utan//PP//case//18 hänsyn//NN|UTR|SIN|IND|NOM//obl//15 till//PP//case//22 de//DT|UTR/NEU|PLU|DEF//det//21 skattskyldigas//JJ|POS|UTR/NEU|PLU|IND/DEF|GEN//nmod:poss//22 betalningsförmåga//NN|UTR|SIN|IND|NOM//obl//15 .//MAD//punct//5
Allmänt om förslaget;Hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 systemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//29 för//PP//case//27 fastighetsbeskattningen//NN|UTR|SIN|DEF|NOM//nmod//25 bör//VB|PRS|AKT//aux//29 ses//VB|INF|SFO//parataxis//5 över//PL//compound:prt//29 och//KN//cc//32 reformeras//VB|INF|SFO//conj//29 från//PP//case//34 grunden//NN|UTR|SIN|DEF|NOM//obl//32 .//MAD//punct//5
Allmänt om förslaget;Landsorganisationen//NN|UTR|SIN|DEF|NOM//nsubj//21 i//PP//case//2 Sverige//PM|NOM//nmod//0 ://MID//punct//0
Allmänt om förslaget; //_SP////3 Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//8 inte//AB//advmod//8 är//VB|PRS|AKT//cop//8 önskvärt//JJ|POS|NEU|SIN|IND|NOM//parataxis//0 att//IE//mark//11 ytterligare//AB|KOM//advmod//11 minska//VB|INF|AKT//csubj//8 intäkterna//NN|UTR|PLU|DEF|NOM//obj//11 från//PP//case//14 fastighetsskatten//NN|UTR|SIN|DEF|NOM//nmod//12 .//MAD//punct//0
