Utredningens samtliga förslag;I//PP//case//2 det//DT|NEU|SIN|DEF//det//2 följande//NN|NEU|SIN|IND|NOM//obl//3 finns//VB|PRS|SFO//ROOT//3 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//5 förslag//NN|NEU|PLU|IND|NOM//nsubj//3 från//PP//case//8 respektive//AB//amod//8 kapitel//NN|NEU|SIN|IND|NOM//nmod//5 redovisade//VB|PRT|AKT//advcl//3 .//MAD//punct//3
Förslag från kapitel 4;det//PN|NEU|SIN|DEF|SUB/OBJ//expl//13 bör//VB|PRS|AKT//aux//13 eftersträvas//VB|INF|SFO//parataxis//7 att//IE//mark//15 hålla//VB|INF|AKT//advcl//13 värdet//NN|NEU|SIN|DEF|NOM//obj//15 under//PP//case//19 80//RG|NOM//nummod//19 procent//NN|UTR|PLU|IND|NOM//obl//15 .//MAD//punct//7
Förslag från kapitel 4;Alla//DT|UTR/NEU|PLU|IND/DEF//det//1 fordon//NN|NEU|PLU|IND|NOM//nsubj:pass//3 bör//VB|PRS|AKT//aux//3 utrustas//VB|INF|SFO//ROOT//3 med//PP//case//5 videobevakningssystem//NN|NEU|PLU|IND|NOM//obl//3 som//HP|-|-|-//nsubj//7 gör//VB|PRS|AKT//acl:relcl//5 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//7 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//7 att//IE//mark//11 bevaka//VB|INF|AKT//advcl//7 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//13 djur//NN|NEU|PLU|IND|NOM//obj//11 från//PP//case//15 förarhytten//NN|UTR|SIN|DEF|NOM//obl//11 .//MAD//punct//3
Förslag från kapitel 4;Detaljerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//1 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//12 om//PP//case//4 lastrampernas//NN|NEU|PLU|DEF|GEN//nmod:poss//4 utformning//NN|UTR|SIN|IND|NOM//nmod//1 i//PP//case//8 fråga//NN|UTR|SIN|IND|NOM//fixed//5 om//PP//fixed//5 lutning//NN|UTR|SIN|IND|NOM//nmod//4 och//KN//cc//10 sidoskydd//NN|NEU|SIN|IND|NOM//conj//8 bör//VB|PRS|AKT//aux//12 införas//VB|INF|SFO//ROOT//12 i//PP//case//14 direktivet//NN|NEU|SIN|DEF|NOM//obl//12 .//MAD//punct//12
Förslag från kapitel 4;Lastrampers//PM|GEN//nmod:poss//1 lutning//NN|UTR|SIN|IND|NOM//nsubj//5 bör//VB|PRS|AKT//aux//5 vara//VB|INF|AKT//cop//5 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//5 0//RG|NOM//nummod//6 o//NN|AN//discourse//17  //_SP////6 och//KN//cc//11 får//VB|PRS|AKT//aux//11 inte//AB//advmod//9 överstiga//VB|INF|AKT//conj//6 20//RG|NOM//nummod//13 o//NN|NEU|PLU|IND|NOM//nsubj//6 .//MAD//punct//6
Förslag från kapitel 4;Medlemsstaterna//NN|UTR|PLU|DEF|NOM//nsubj//17 bör//VB|PRS|AKT//aux//17 ges//VB|INF|SFO//ROOT//17 möjlighet//NN|UTR|SIN|IND|NOM//nsubj:pass//17 att//IE//mark//20 föreskriva//VB|INF|AKT//acl//18 om//PP//compound:prt//20 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 lutningsgrader//NN|UTR|PLU|IND|NOM//obj//20 än//KN//case//26 20//RG|NOM//nummod//26 grader//NN|UTR|PLU|IND|NOM//obl//20 .//MAD//punct//17
Förslag från kapitel 4;Beläggningsgraden//NN|UTR|SIN|DEF|NOM//nsubj//4 för//PP//case//2 djur//NN|NEU|PLU|IND|NOM//nmod//0 bör//VB|PRS|AKT//aux//4 vara//VB|INF|AKT//ROOT//4 enligt//PP//case//7 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 förslag//NN|NEU|SIN|IND|NOM//obl//4 i//PP//case//10 tabell//NN|UTR|SIN|IND|NOM//nmod//10 4.6//RG|NOM//nmod//7 .//MAD//punct//4
Förslag från kapitel 4;Bestämmelser//NN|UTR|PLU|IND|NOM//ROOT//0 för//PP//case//2 transportörer//NN|UTR|PLU|IND|NOM//nmod//0
Förslag från kapitel 4;Krav//NN|NEU|PLU|IND|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 införas//VB|INF|SFO//ROOT//2 om//PP//case//5 obligatorisk//JJ|POS|UTR|SIN|IND|NOM//amod//5 utbildning//NN|UTR|SIN|IND|NOM//obl//2 för//PP//case//7 transportörer//NN|UTR|PLU|IND|NOM//nmod//5 och//KN//cc//10 den//DT|UTR|SIN|DEF//det//10 personal//NN|UTR|SIN|IND|NOM//conj//5 transportören//NN|UTR|SIN|DEF|NOM//nsubj//12 anlitar//VB|PRS|AKT//acl:relcl//10 .//MAD//punct//2
Förslag från kapitel 4;"Obligatorisk//JJ|POS|UTR|SIN|IND|NOM//amod//1 licensiering//NN|UTR|SIN|IND|NOM//nsubj:pass//5 av//PP//case//3 transportörer//NN|UTR|PLU|IND|NOM//nmod//1 bör//VB|PRS|AKT//aux//5 införas//VB|INF|SFO//ROOT//5 ;//MID//punct//5"
Förslag från kapitel 4;denna//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//10 kan//VB|PRS|AKT//aux//10 först//AB//advmod//10 medges//VB|INF|SFO//parataxis//5 efter//PP//case//13 godkänd//PC|PRF|UTR|SIN|IND|NOM//amod//13 utbildning//NN|UTR|SIN|IND|NOM//obl//10 ,//MID//punct//13 vilken//HP|UTR|SIN|IND//nsubj:pass//16 verifieras//VB|PRS|SFO//acl:relcl//13 med//PP//case//19 ett//DT|NEU|SIN|IND//det//19 prov//NN|NEU|SIN|IND|NOM//obl//16 .//MAD//punct//5
Förslag från kapitel 4;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 bör//VB|PRS|AKT//aux//3 vara//VB|INF|AKT//cop//3 möjligt//JJ|POS|NEU|SIN|IND|NOM//ROOT//3 att//IE//mark//5 stryka//VB|INF|AKT//csubj//3 transportörer//NN|UTR|PLU|IND|NOM//obj//5 från//PP//case//8 transportörsregistret//NN|NEU|SIN|DEF|NOM//obl//5 och//KN//cc//10 dra//VB|INF|AKT//conj//5 in//PL//compound:prt//10 licensen//NN|UTR|SIN|DEF|NOM//obj//10 om//SN//mark//15 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//15 gör//VB|PRS|AKT//advcl//10 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//15 skyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//15 till//PP//case//19 överträdelser//NN|UTR|PLU|IND|NOM//obl//15 .//MAD//punct//3
Förslag från kapitel 4;Ett//DT|NEU|SIN|IND//det//1 krav//NN|NEU|SIN|IND|NOM//nsubj:pass//12 om//PP//case//3 besiktning//NN|UTR|SIN|IND|NOM//nmod//1 av//PP//case//5 transportfordon//NN|NEU|PLU|IND|NOM//nmod//3 innan//SN//mark//8 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//8 tas//VB|PRS|SFO//acl:relcl//1 i//PP//case//10 bruk//NN|NEU|SIN|IND|NOM//obl//8 bör//VB|PRS|AKT//aux//12 införas//VB|INF|SFO//ROOT//12 .//MAD//punct//12
Förslag från kapitel 4;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 bestämmelser//NN|UTR|PLU|IND|NOM//ROOT//1
Förslag från kapitel 4;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 bör//VB|PRS|AKT//aux//3 vara//VB|INF|AKT//cop//3 förbjudet//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 att//IE//mark//5 transportera//VB|INF|AKT//csubj//3 nötkreatur//NN|NEU|SIN|IND|NOM//obj//5 (//PAD//punct//6 även//AB//advmod//9 kalvar//NN|UTR|PLU|IND|NOM//appos//6 )//PAD//punct//5 i//PP//case//15 mer//AB|KOM//fixed//11 än//KN//fixed//11 ett//DT|NEU|SIN|IND//det//15 plan//NN|NEU|SIN|IND|NOM//obl//5 .//MAD//punct//3
Förslag från kapitel 4;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 bör//VB|PRS|AKT//aux//3 vara//VB|INF|AKT//cop//3 förbjudet//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 att//IE//mark//5 använda//VB|INF|AKT//csubj//3 elpåfösare//NN|UTR|PLU|IND|NOM//obj//5 i//PP//case//8 samband//NN|NEU|SIN|IND|NOM//obl//5 med//PP//case//10 transport//NN|UTR|SIN|IND|NOM//obl//5 .//MAD//punct//3
Förslag från kapitel 4;Djur//NN|NEU|PLU|IND|NOM//nsubj:pass//7 som//HP|-|-|-//nsubj//3 är//VB|PRS|AKT//cop//3 okända//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//0 för//PP//case//5 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obl//3 bör//VB|PRS|AKT//aux//7 skiljas//VB|INF|SFO//ROOT//7 åt//PL//compound:prt//7 med//PP//case//10 mellanväggar//NN|UTR|PLU|IND|NOM//obl//7 om//SN//mark//13 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//13 transporteras//VB|PRS|SFO//advcl//7 i//PP//case//16 samma//DT|UTR/NEU|SIN/PLU|IND//det//16 fordon//NN|NEU|SIN|IND|NOM//obl//13 .//MAD//punct//7
Förslag från kapitel 4;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 bör//VB|PRS|AKT//aux//3 vara//VB|INF|AKT//cop//3 förbjudet//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 att//IE//mark//5 transportera//VB|INF|AKT//csubj//3 hovbärande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 tamdjur//NN|NEU|PLU|IND|NOM//obj//5 i//PP//case//12 annat//PN|NEU|SIN|IND|SUB/OBJ//fixed//8 än//KN//fixed//8 individuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 bås//NN|NEU|PLU|IND|NOM//obl//5 med//PP//case//14 undantag//NN|NEU|SIN|IND|NOM//obl//5 för//PP//case//16 ston//NN|NEU|PLU|IND|NOM//nmod//14 med//PP//case//18 föl//NN|NEU|SIN|IND|NOM//nmod//16 .//MAD//punct//3
Förslag från kapitel 4;Mellanstationer//NN|UTR|PLU|IND|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 avvecklas//VB|INF|SFO//ROOT//2 .//MAD//punct//2
Förslag från kapitel 4;Förprövning//NN|UTR|SIN|IND|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 införas//VB|INF|SFO//ROOT//2 ,//MID//punct//7 förslagsvis//AB//advmod//7 enligt//PP//case//7 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//7 modell//NN|UTR|SIN|IND|NOM//obl//2 ,//MID//punct//11 för//PP//case//10 byggnader//NN|UTR|PLU|IND|NOM//obl//11 avsedda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl//7 för//PP//case//13 djur//NN|NEU|PLU|IND|NOM//obl//11 .//MAD//punct//7
Förslag från kapitel 4;I//PP//case//16 denna//PN|UTR|SIN|DEF|SUB/OBJ//obl//18 bör//VB|PRS|AKT//aux//18 ingå//VB|INF|AKT//conj//2 faciliteter//NN|UTR|PLU|IND|NOM//obj//18 för//PP//case//21 lastning//NN|UTR|SIN|IND|NOM//nmod//19 vid//PP//case//23 transport//NN|UTR|SIN|IND|NOM//nmod//21 .//MAD//punct//2
Förslag från kapitel 4;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//2 bör//VB|PRS|AKT//aux//2 ge//VB|INF|AKT//ROOT//2 Jordbruksverket//NN|NEU|SIN|DEF|NOM//obj//2 i//PP//case//5 uppdrag//NN|NEU|SIN|IND|NOM//obl//2 att//IE//mark//7 se//VB|INF|AKT//acl//5 över//PL//case//9 föreskrifterna//NN|UTR|PLU|DEF|NOM//obj//7 för//PP//case//11 djurtransporter//NN|UTR|PLU|IND|NOM//nmod//9 i//PP//case//13 syfte//NN|NEU|SIN|IND|NOM//nmod//11 att//IE//mark//15 öka//VB|INF|AKT//advcl//7 djurskyddet//NN|NEU|SIN|DEF|NOM//obj//15 där//HA//advmod//20 EG-rätten//NN|UTR|SIN|DEF|NOM//nsubj//20 så//AB//advmod//20 medger//VB|PRS|AKT//acl:relcl//16 .//MAD//punct//2
Förslag från kapitel 4;Mer//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 resurser//NN|UTR|PLU|IND|NOM//nsubj:pass//3 bör//VB|PRS|AKT//aux//3 tillföras//VB|INF|SFO//ROOT//3 kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 tillsynsorgan//NN|NEU|SIN|IND|NOM//nsubj:pass//3 .//MAD//punct//3
Förslag från kapitel 4;Animo-systemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//2 bör//VB|PRS|AKT//aux//2 ses//VB|INF|SFO//ROOT//2 över//PL//compound:prt//2 i//PP//case//5 syfte//NN|NEU|SIN|IND|NOM//obl//2 att//IE//mark//7 underlätta//VB|INF|AKT//acl//5 samarbete//NN|NEU|SIN|IND|NOM//obj//7 mellan//PP//case//12 medlemsstaternas//NN|UTR|PLU|DEF|GEN//nmod:poss//12 behöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 myndigheter//NN|UTR|PLU|IND|NOM//obl//7 .//MAD//punct//2
Förslag från kapitel 4;Systemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//16 bör//VB|PRS|AKT//aux//16 utvecklas//VB|INF|SFO//parataxis//2 i//PP//case//22 riktning//NN|UTR|SIN|IND|NOM//fixed//17 mot//PP//case//22 ett//DT|NEU|SIN|IND//det//22 online-baserat//JJ|POS|NEU|SIN|IND|NOM//amod//22 system//NN|NEU|SIN|IND|NOM//obl//16 som//HP|-|-|-//nsubj//24 möjliggör//VB|PRS|AKT//acl:relcl//22 spårning//NN|UTR|SIN|IND|NOM//obj//24 av//PP//case//27 transporter//NN|UTR|PLU|IND|NOM//nmod//25 och//KN//cc//31 därmed//AB//advmod//30 flygande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 fältkontroller//NN|UTR|PLU|IND|NOM//conj//25 i//PP//case//33 medlemsstaterna//NN|UTR|PLU|DEF|NOM//nmod//31 .//MAD//punct//2
Förslag från kapitel 4;Utformningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//5 av//PP//case//3 djurens//NN|NEU|PLU|DEF|GEN//nmod:poss//3 resehandlingar//NN|UTR|PLU|IND|NOM//nmod//0 bör//VB|PRS|AKT//aux//5 utvecklas//VB|INF|SFO//ROOT//5 för//PP//mark//8 att//IE//mark//8 försvåra//VB|INF|AKT//advcl//5 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 överträdelser//NN|UTR|PLU|IND|NOM//obj//8 och//KN//cc//12 upptäcka//VB|INF|AKT//conj//8 sådana//PN|UTR/NEU|PLU|IND|SUB/OBJ//obj//12 vid//PP//case//15 kontroll//NN|UTR|SIN|IND|NOM//obl//12 .//MAD//punct//5
Förslag från kapitel 4;Bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//4 om//PP//case//2 färdplan//NN|UTR|SIN|IND|NOM//nmod//0 bör//VB|PRS|AKT//aux//4 ändras//VB|INF|SFO//ROOT//4 så//SN//mark//8 att//SN//mark//8 veterinären//NN|UTR|SIN|DEF|NOM//nsubj//8 ges//VB|PRS|SFO//advcl//4 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 inflytande//NN|NEU|SIN|IND|NOM//obj//8 över//PP//case//12 denna//PN|UTR|SIN|DEF|SUB/OBJ//obl//8 .//MAD//punct//4
Förslag från kapitel 4;Ett//DT|NEU|SIN|IND//det//2 standardiserat//PC|PRF|NEU|SIN|IND|NOM//amod//2 rapporteringssystem//NN|NEU|SIN|IND|NOM//nsubj:pass//19 för//PP//case//4 insamling//NN|UTR|SIN|IND|NOM//nmod//2 av//PP//case//6 data//NN|NEU|PLU|IND|NOM//nmod//4 till//PP//case//9 gemensam//JJ|POS|UTR|SIN|IND|NOM//amod//9 statistik//NN|UTR|SIN|IND|NOM//nmod//6 över//PP//case//11 dödlighet//NN|UTR|SIN|IND|NOM//nmod//9 och//KN//cc//13 skador//NN|UTR|PLU|IND|NOM//conj//11 i//PP//case//17 samband//NN|NEU|SIN|IND|NOM//fixed//14 med//PP//fixed//14 transport//NN|UTR|SIN|IND|NOM//nmod//13 bör//VB|PRS|AKT//aux//19 införas//VB|INF|SFO//ROOT//19 inom//PP//case//21 EU//PM|NOM//obl//19 .//MAD//punct//19
Förslag från kapitel 4;Ett//DT|NEU|SIN|IND//det//1 kodsystem//NN|NEU|SIN|IND|NOM//nsubj//13 som//HP|-|-|-//nsubj//3 möjliggör//VB|PRS|AKT//acl:relcl//1 enkel//JJ|POS|UTR|SIN|IND|NOM//amod//5 beräkning//NN|UTR|SIN|IND|NOM//obj//3 av//PP//mark//8 hur//HA//advmod//8 lång//JJ|POS|UTR|SIN|IND|NOM//acl//5 en//DT|UTR|SIN|IND//det//10 transport//NN|UTR|SIN|IND|NOM//nsubj//8 kommer//VB|PRS|AKT//aux//13 att//IE//mark//13 bli//VB|INF|AKT//ROOT//13 i//PP//case//15 tid//NN|UTR|SIN|IND|NOM//obl//13 bör//VB|PRS|AKT//aux//17 utvecklas//VB|INF|SFO//xcomp//13 och//KN//cc//19 införas//VB|INF|SFO//conj//17 .//MAD//punct//13
Förslag från kapitel 4;Koder//NN|UTR|PLU|IND|NOM//xcomp//13 för//PP//case//23 avståndsbestämning//NN|UTR|SIN|IND|NOM//nmod//21 bör//VB|PRS|AKT//aux//25 finnas//VB|INF|SFO//conj//13 i//PP//case//27 färdplanen//NN|UTR|SIN|DEF|NOM//obl//25 innan//SN//mark//30 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//30 godkänns//VB|PRS|SFO//advcl//25 och//KN//cc//33 resan//NN|UTR|SIN|DEF|NOM//nsubj//33 börjar//VB|PRS|AKT//conj//30 .//MAD//punct//13
Förslag från kapitel 4;Kontroll//NN|UTR|SIN|IND|NOM//nsubj:pass//19 av//PP//case//3 dels//KN//advmod//3 djurtransporter//NN|UTR|PLU|IND|NOM//nmod//0 ,//MID//punct//7 dels//KN//advmod//7 de//DT|UTR/NEU|PLU|DEF//det//7 dokument//NN|NEU|PLU|IND|NOM//appos//0 som//HP|-|-|-//nsubj:pass//10 skall//VB|PRS|AKT//aux//10 medföras//VB|INF|SFO//acl:relcl//7 vid//PP//case//12 passage//NN|UTR|SIN|IND|NOM//obl//10 av//PP//case//15 intern//JJ|POS|UTR|SIN|IND|NOM//nmod:poss//15 gräns//NN|UTR|SIN|IND|NOM//nmod//12 ,//MID//punct//19 måste//VB|PRS|AKT//aux//19 få//VB|INF|AKT//aux//19 utföras//VB|INF|SFO//ROOT//19 såväl//KN//advmod//22 av//PP//case//22 djurskyddsmyndighet//NN|UTR|SIN|IND|NOM//obl//19 som//KN//mark//25 av//PP//case//25 tullmyndighet//NN|UTR|SIN|IND|NOM//obl//19 i//PP//case//28 respektive//AB//amod//28 land//NN|NEU|SIN|IND|NOM//nmod//25 .//MAD//punct//19
Förslag från kapitel 4;Mer//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 resurser//NN|UTR|PLU|IND|NOM//nsubj:pass//3 bör//VB|PRS|AKT//aux//3 tillföras//VB|INF|SFO//ROOT//3 för//PP//case//6 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 utbildningsinsatser//NN|UTR|PLU|IND|NOM//obl//3 och//KN//cc//10 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//10 oanmälda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//10 kontroller//NN|UTR|PLU|IND|NOM//conj//6 i//PP//case//12 Sverige//PM|NOM//nmod//10 .//MAD//punct//3
Förslag från kapitel 4;Anmälningsplikt//NN|UTR|SIN|IND|NOM//nsubj:pass//8 till//PP//case//4 ansvarig//JJ|POS|UTR|SIN|IND|NOM//amod//3 lokal//JJ|POS|UTR|SIN|IND|NOM//amod//4 tillsynsmyndighet//NN|UTR|SIN|IND|NOM//nmod//0 för//PP//case//6 transporter//NN|UTR|PLU|IND|NOM//nmod//4 bör//VB|PRS|AKT//aux//8 införas//VB|INF|SFO//ROOT//8 .//MAD//punct//8
Förslag från kapitel 4;Anmälan//NN|UTR|SIN|IND|NOM//nsubj//12 skall//VB|PRS|AKT//aux//12 ske//VB|INF|AKT//parataxis//8 senast//AB|SUV//advmod//14 24//RG|NOM//nummod//15 timmar//NN|UTR|PLU|IND|NOM//obl//12 innan//SN//mark//18 transporten//NN|UTR|SIN|DEF|NOM//nsubj:pass//18 påbörjas//VB|PRS|SFO//advcl//12 och//KN//cc//24 kan//VB|PRS|AKT//aux//24 vara//VB|INF|AKT//cop//24 av//PP//case//24 enkelt//JJ|POS|NEU|SIN|IND|NOM//amod//24 slag//NN|NEU|SIN|IND|NOM//conj//18 .//MAD//punct//12
Förslag från kapitel 4;Anmälningsplikt//NN|UTR|SIN|IND|NOM//nsubj//28 bör//VB|PRS|AKT//aux//28 gälla//VB|INF|AKT//conj//12 alla//DT|UTR/NEU|PLU|IND/DEF//det//30 transporter//NN|UTR|PLU|IND|NOM//obj//28 över//AB//case//33 två//RG|NOM//nummod//33 djurenheter//NN|UTR|PLU|IND|NOM//nmod//30 .//MAD//punct//37
Förslag från kapitel 4;Anmälningsplikt//NN|UTR|SIN|IND|NOM//nsubj//37 skall//VB|PRS|AKT//aux//37 gälla//VB|INF|AKT//conj//28 de//PN|UTR/NEU|PLU|DEF|SUB//obj//37 som//KN//mark//40 yrkesmässigt//AB|POS//xcomp//37 eller//KN//cc//44 i//PP//case//44 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 omfattning//NN|UTR|SIN|IND|NOM//obl//45 håller//VB|PRS|AKT//conj//28 djur//NN|NEU|PLU|IND|NOM//obj//45 .//MAD//punct//8
Förslag från kapitel 4;Tillsynen//NN|UTR|SIN|DEF|NOM//nsubj//11 av//PP//case//2 transporter//NN|UTR|PLU|IND|NOM//nmod//0 i//PP//case//6 samband//NN|NEU|SIN|IND|NOM//fixed//3 med//PP//fixed//3 på-//NN|UTR|-|-|SMS//nmod//2 och//KN//cc//8 avlastning//NN|UTR|SIN|IND|NOM//conj//6 är//VB|PRS|AKT//cop//11 särskilt//AB//advmod//11 viktig//JJ|POS|UTR|SIN|IND|NOM//ROOT//11 och//KN//cc//14 bör//VB|PRS|AKT//aux//14 prioriteras//VB|INF|SFO//conj//11 .//MAD//punct//11
Förslag från kapitel 4;Den//DT|UTR|SIN|DEF//det//2 centrala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 tillsynsmyndigheten//NN|UTR|SIN|DEF|NOM//nsubj//6 för//PP//case//4 djurskyddet//NN|NEU|SIN|DEF|NOM//nmod//2 skall//VB|PRS|AKT//aux//6 godkänna//VB|INF|AKT//ROOT//6 den//DT|UTR|SIN|DEF//det//8 utbildning//NN|UTR|SIN|IND|NOM//obj//6 som//HP|-|-|-//nsubj//12 i//PP//advmod//12 dag//NN|UTR|SIN|IND|NOM//fixed//10 sker//VB|PRS|AKT//acl:relcl//8 av//PP//case//14 transportörer//NN|UTR|PLU|IND|NOM//obl//12 .//MAD//punct//6

Förslag från kapitel 6;Begreppet//NN|NEU|SIN|DEF|NOM//nmod//1 ”//PAD//nsubj//59 nära//PP//case//3 uppfödningsplatsen//NN|UTR|SIN|DEF|NOM//nmod//4 ”//PM|NOM//punct//1 för//PP//case//6 tamdjur//NN|NEU|PLU|IND|NOM//obl//14 (//PAD//punct//9 förutom//PP//case//9 fjäderfä//NN|NEU|SIN|IND|NOM//appos//6 )//PAD//punct//6 till//PP//case//12 slakt//NN|UTR|SIN|IND|NOM//nmod//6 bör//VB|PRS|AKT//aux//14 användas//VB|INF|SFO//advcl//1 för//PP//case//16 djur//NN|NEU|PLU|IND|NOM//obl//14 som//HP|-|-|-//nsubj:pass//18 transporterats//VB|SUP|SFO//acl:relcl//16 maximalt//AB|POS//advmod//20 tre//RG|NOM//nummod//21 timmar//NN|UTR|PLU|IND|NOM//obl//18 till//PP//case//23 slakteri//NN|NEU|SIN|IND|NOM//nmod//21 ,//MID//punct//26 inklusive//PP//case//26 på-//NN|UTR|-|-|SMS//conj//21 och//KN//cc//28 avlastning//NN|UTR|SIN|IND|NOM//conj//26 ,//MID//punct//32 från//PP//case//32 en//DT|UTR|SIN|IND//det//32 uppfödare//NN|UTR|SIN|IND|NOM//obl//14 hos//PP//case//34 vilken//HP|UTR|SIN|IND//obl//36 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//36 tillbringat//VB|SUP|AKT//acl:relcl//32 minst//AB|SUV//advmod//38 sex//RG|NOM//nummod//39 månader//NN|UTR|PLU|IND|NOM//obj//36 för//PP//case//41 nötkreatur//NN|NEU|SIN|IND|NOM//nmod//39 och//KN//cc//43 häst//NN|UTR|SIN|IND|NOM//conj//41 och//KN//cc//47 minst//AB|SUV//advmod//46 två//RG|NOM//nummod//47 månader//NN|UTR|PLU|IND|NOM//conj//41 för//PP//case//50 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 djurslag//NN|NEU|PLU|IND|NOM//nmod//47 .//MAD//punct//14
Förslag från kapitel 6;För//PP//case//53 fjäderfä//NN|NEU|SIN|IND|NOM//nmod//1 bör//VB|PRS|AKT//punct//1 ”//PM|NOM//nmod//58 nära//PP//case//57 uppfödningsplatsen//NN|UTR|SIN|DEF|NOM//nmod//58 ”//PM|NOM//obl//59 betyda//VB|INF|AKT//ROOT//59 att//SN//mark//62 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//62 transporterats//VB|SUP|SFO//ccomp//59 maximalt//AB|POS//advmod//64 tre//RG|NOM//nummod//65 timmar//NN|UTR|PLU|IND|NOM//obl//62 inklusive//PP//case//67 på-//NN|UTR|-|-|SMS//nmod//65 och//KN//cc//69 avlastning//NN|UTR|SIN|IND|NOM//conj//67 från//PP//case//71 gård//NN|UTR|SIN|IND|NOM//nmod//65 till//PP//case//73 slakteri//NN|NEU|SIN|IND|NOM//nmod//71 .//MAD//punct//59
Förslag från kapitel 6;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 bör//VB|PRS|AKT//aux//2 skapas//VB|INF|SFO//ROOT//2 ett//DT|NEU|SIN|IND//det//4 märkningssystem//NN|NEU|SIN|IND|NOM//obj//2 som//HP|-|-|-//nsubj//6 talar//VB|PRS|AKT//acl:relcl//4 om//PP//mark//11 hur//HA//advmod//9 länge//AB|POS//advmod//11 djur//NN|NEU|PLU|IND|NOM//nsubj:pass//11 transporterats//VB|SUP|SFO//ccomp//6 till//PP//case//13 slakteri//NN|NEU|SIN|IND|NOM//obl//11 ,//MID//punct//20 gärna//AB|POS//advmod//20 utifrån//PP//case//20 begreppet//NN|NEU|SIN|DEF|NOM//nmod//18 ”//PAD//punct//20 nära//PP//case//20 uppfödningsplatsen//NN|UTR|SIN|DEF|NOM//appos//11 ”//PM|NOM//punct//20 .//MAD//punct//2
