Till statsrådet Lars-Erik Lövdén ;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 12//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obl//6 1998//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 chefen//NN|UTR|SIN|DEF|NOM//obj//6 för//PP//case//10 Inrikesdepartementet//NN|NEU|SIN|DEF|NOM//nmod//8 ,//MID//punct//6 statsrådet//NN|NEU|SIN|DEF|NOM//appos//6 Engqvist//PM|NOM//flat//12 ,//MID//punct//12 att//IE//mark//16 tillkalla//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//19 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//19 utredare//NN|UTR|SIN|IND|NOM//obj//16 för//PP//mark//22 att//IE//mark//22 göra//VB|INF|AKT//advcl//16 en//DT|UTR|SIN|IND//det//24 översyn//NN|UTR|SIN|IND|NOM//obj//22 av//PP//case//27 Fastighetsmäklarnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 tillsyn//NN|UTR|SIN|IND|NOM//nmod//24 över//PP//case//29 fastighetsmäklare//NN|UTR|PLU|IND|NOM//nmod//27 .//MAD//punct//6
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?; //_SP////39 Av//PP//case//42 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//2 skall//VB|PRS|AKT//aux//47 minst//AB|SUV//advmod//45 20//RG|NOM//nummod//46 poäng//NN|UTR|PLU|IND|NOM//nsubj//47 hänföra//VB|INF|AKT//conj//2 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//47 till//PP//case//50 fastighetsförmedling//NN|UTR|SIN|IND|NOM//obl//47 och//KN//cc//54 minst//AB|SUV//advmod//53 10//RG|NOM//nummod//54 poäng//NN|UTR|PLU|IND|NOM//conj//50 vardera//PN|UTR/NEU|PLU|DEF|SUB/OBJ//xcomp//47 till//PP//case//57 civilrätt//NN|UTR|SIN|IND|NOM//obl//55 med//PP//case//59 fastighetsrätt//NN|UTR|SIN|IND|NOM//obl//47 ,//MID//punct//61 skatterätt//NN|UTR|SIN|IND|NOM//conj//59 ,//MID//punct//63 ekonomi//NN|UTR|SIN|IND|NOM//conj//59 samt//KN//cc//65 byggnads-//NN|UTR|-|-|SMS//conj//59 och//KN//cc//67 värderingsteknik//NN|UTR|SIN|IND|NOM//conj//65 .//MAD//punct//47
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;Till//PP//advmod//47 följd//NN|UTR|SIN|IND|NOM//fixed//69 av//PP//case//72 övergångsbestämmelser//NN|UTR|PLU|IND|NOM//nmod//70 slår//VB|PRS|AKT//conj//2 dock//AB//advmod//73 kravet//NN|NEU|SIN|DEF|NOM//obj//73 på//PP//case//77 högskoleutbildning//NN|UTR|SIN|IND|NOM//nmod//75 inte//AB//advmod//73 igenom//PL//compound:prt//73 fullt//AB|POS//advmod//81 ut//AB//advmod//73 förrän//PP//case//87 om//PP//fixed//82 fem//RG|NOM//nummod//87 ,//MID//punct//84 sex//RG|NOM//nummod//87 år//NN|NEU|PLU|IND|NOM//obl//73 .//MAD//punct//2
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;Nämnden//NN|UTR|SIN|DEF|NOM//nsubj//90 har//VB|PRS|AKT//parataxis//2 möjlighet//NN|UTR|SIN|IND|NOM//obj//90 ,//MID//punct//91 om//SN//mark//95 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//95 finns//VB|PRS|SFO//advcl//90 synnerliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 skäl//NN|NEU|PLU|IND|NOM//nsubj//95 ,//MID//punct//97 att//IE//mark//100 godta//VB|INF|AKT//acl//97 betyg//NN|NEU|PLU|IND|NOM//obj//100 eller//KN//cc//103 intyg//NN|NEU|SIN|IND|NOM//conj//101 som//HP|-|-|-//nsubj//105 visar//VB|PRS|AKT//acl:relcl//103 att//SN//mark//112 sökanden//NN|UTR|SIN|DEF|NOM//nsubj//112 på//PP//case//110 annat//JJ|POS|NEU|SIN|IND|NOM//amod//110 sätt//NN|NEU|SIN|IND|NOM//nmod//107 har//VB|PRS|AKT//aux//112 tillägnat//VB|SUP|AKT//ccomp//105 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//112 tillfredsställande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//115 utbildning//NN|UTR|SIN|IND|NOM//obj//112 .//MAD//punct//2
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;För//PP//mark//10 att//IE//mark//2 bli//VB|INF|AKT//advcl//10 registrerad//PC|PRF|UTR|SIN|IND|NOM//xcomp//2 skall//VB|PRS|AKT//aux//10 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//10 som//HP|-|-|-//nsubj//7 ansöker//VB|PRS|AKT//acl:relcl//5 också//AB//advmod//7 kunna//VB|INF|AKT//aux//10 visa//VB|INF|AKT//advcl//46 upp//PL//compound:prt//10 ett//DT|NEU|SIN|IND//det//13 intyg//NN|NEU|SIN|IND|NOM//obj//10 om//PP//mark//19 att//SN//mark//19 han//PN|UTR|SIN|DEF|SUB//nsubj//19 eller//KN//cc//18 hon//PN|UTR|SIN|DEF|SUB//conj//16 har//VB|PRS|AKT//acl//13 tillfredsställande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 praktisk//JJ|POS|UTR|SIN|IND|NOM//amod//22 utbildning//NN|UTR|SIN|IND|NOM//obj//19 ,//MID//punct//22 dvs.//AB|AN//advmod//25 intyg//NN|NEU|SIN|IND|NOM//appos//22 om//PP//case//31 minst//AB|SUV//advmod//28 tio//RG|NOM//nummod//29 veckors//NN|UTR|PLU|IND|GEN//nmod:poss//31 handledd//PC|PRF|UTR|SIN|IND|NOM//amod//31 yrkespraktik//NN|UTR|SIN|IND|NOM//nmod//25 hos//PP//case//35 en//DT|UTR|SIN|IND//det//35 registrerad//PC|PRF|UTR|SIN|IND|NOM//amod//35 mäklare//NN|UTR|SIN|IND|NOM//nmod//31 under//PP//case//41 eller//KN//cc//41 efter//PP//case//41 den//DT|UTR|SIN|DEF//det//41 teoretiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 utbildningen//NN|UTR|SIN|DEF|NOM//nmod//25 .//MAD//punct//10
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;Här//AB//advmod//46 kan//VB|PRS|AKT//aux//46 nämnden//NN|UTR|SIN|DEF|NOM//nsubj//46 medge//VB|INF|AKT//ROOT//46 undantag//NN|NEU|SIN|IND|NOM//obj//46 om//SN//mark//50 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//50 finns//VB|PRS|SFO//advcl//46 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//52 skäl//NN|NEU|PLU|IND|NOM//nsubj//50 för//PP//case//54 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//50 .//MAD//punct//46
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;2.3.3//RG|NOM//nmod//57 Verksamhetskrav//NN|NEU|PLU|IND|NOM//parataxis//46
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;För//PP//mark//6 att//SN//fixed//0 man//PN|UTR|SIN|IND|SUB//nsubj:pass//6 skall//VB|PRS|AKT//aux//6 få//VB|INF|AKT//aux//6 vara//VB|INF|AKT//cop//6 registrerad//PC|PRF|UTR|SIN|IND|NOM//advcl//7 ställs//VB|PRS|SFO//ROOT//7 ett//DT|NEU|SIN|IND//det//9 krav//NN|NEU|SIN|IND|NOM//nsubj:pass//7 på//PP//mark//13 att//SN//mark//13 man//PN|UTR|SIN|IND|SUB//nsubj//13 har//VB|PRS|AKT//acl//9 för//PP//case//15 avsikt//NN|UTR|SIN|IND|NOM//obj//13 att//IE//mark//18 vara//VB|INF|AKT//cop//18 yrkesverksam//JJ|POS|UTR|SIN|IND|NOM//acl//15 som//KN//case//20 fastighetsmäklare//NN|UTR|SIN|IND|NOM//nmod//18 ,//MID//punct//24 samt//KN//cc//24 är//VB|PRS|AKT//cop//24 redbar//JJ|POS|UTR|SIN|IND|NOM//conj//7 och//KN//cc//28 i//PP//advmod//28 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//26 lämplig//JJ|POS|UTR|SIN|IND|NOM//conj//24 som//KN//case//30 fastighetsmäklare//NN|UTR|SIN|IND|NOM//obl//28 (//PAD//punct//30 6//RG|NOM//nummod//33 §//NN|AN//nmod//34 pp//NN|AN//nmod//30 .//MAD//punct//7
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;4–5//NN|NEU|SIN|DEF|NOM//nsubj//44 fastighetsmäklarlagen//NN|NEU|PLU|DEF|NOM//iobj//36 )//PAD//punct//37 .//MAD//punct//36
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;I//PP//case//43 de//DT|UTR/NEU|PLU|DEF//det//43 sista//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//43 kraven//NN|NEU|PLU|DEF|NOM//obl//44 ligger//VB|PRS|AKT//parataxis//7 att//SN//mark//49 mäklaren//NN|UTR|SIN|DEF|NOM//nsubj//49 skall//VB|PRS|AKT//aux//49 kunna//VB|INF|AKT//aux//49 följa//VB|INF|AKT//ccomp//44 fastighetsmäklarlagens//NN|UTR|SIN|DEF|GEN//nmod:poss//51 regler//NN|UTR|PLU|IND|NOM//obj//49 samt//KN//cc//55 i//PP//advmod//55 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//53 iaktta//VB|INF|AKT//conj//49 god//JJ|POS|UTR|SIN|IND|NOM//amod//57 fastighetsmäklarsed//NN|UTR|SIN|IND|NOM//obj//55 .//MAD//punct//44
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;Vad//HP|NEU|SIN|IND//det//61 god//JJ|POS|UTR|SIN|IND|NOM//amod//61 fastighetsmäklarsed//NN|UTR|SIN|IND|NOM//nsubj//62 är//VB|PRS|AKT//cop//67 kan//VB|PRS|AKT//aux//67 man//PN|UTR|SIN|IND|SUB//nsubj//67 inte//AB//advmod//67 enkelt//AB|POS//advmod//67 läsa//VB|INF|AKT//parataxis//7 till//PL//case//69 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//67 .//MAD//punct//7
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//72 utvecklas//VB|PRS|SFO//parataxis//7 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//74 tiden//NN|UTR|SIN|DEF|NOM//obl//72 av//PP//case//76 Fastighetsmäklarnämnden//PM|NOM//nmod//74 ,//MID//punct//72 genom//PP//case//80 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 branschåtgärder//NN|UTR|PLU|IND|NOM//obl//72 och//KN//cc//82 förvaltningsdomstolar//NN|UTR|PLU|IND|NOM//conj//80 praxis//NN|UTR|SIN|IND|NOM//obj//82 i//PP//case//85 rättstillämpning//NN|UTR|SIN|IND|NOM//nmod//83 genom//PP//case//87 praxis//NN|UTR|SIN|IND|NOM//nmod//85 och//KN//cc//89 uttalanden//NN|NEU|PLU|IND|NOM//conj//87 .//MAD//punct//7
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;I//PP//case//1 verksamhetsrekvisitet//NN|NEU|SIN|DEF|NOM//obl//2 ligger//VB|PRS|AKT//ROOT//2 ett//DT|NEU|SIN|IND//det//4 krav//NN|NEU|SIN|IND|NOM//nsubj//2 på//PP//mark//10 att//SN//mark//10 man//PN|UTR|SIN|IND|SUB//nsubj//10 aktivt//AB|POS//advmod//10 skall//VB|PRS|AKT//aux//10 arbeta//VB|INF|AKT//acl//4 som//KN//mark//12 fastighetsmäklare//NN|UTR|SIN|IND|NOM//obl//10 .//MID//punct//2
2.3 Vilka krav ställs på den som vill bli fastighetsmäklare?;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 räcker//VB|PRS|AKT//parataxis//2 inte//AB//advmod//15 att//IE//mark//19 exempelvis//AB//advmod//19 ha//VB|INF|AKT//csubj//15 en//DT|UTR|SIN|IND//det//21 fastighetsmäklarfirma//NN|UTR|SIN|IND|NOM//obj//19 och//KN//cc//26 en//RG|UTR|SIN|IND|NOM//nummod//26 eller//KN//cc//25 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//conj//23 anställda//NN|UTR|PLU|IND|NOM//conj//21 utan//PP//mark//31 att//IE//mark//31 själv//JJ|POS|UTR|SIN|IND|NOM//amod//31 aktiv//JJ|POS|UTR|SIN|IND|NOM//amod//31 delta//VB|INF|AKT//advcl//19 .//MAD//punct//15


3.1 Fastighetsmarknaden;Fastighetsmarknadens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 storlek//NN|UTR|SIN|IND|NOM//nsubj:pass//5 och//KN//cc//3 utveckling//NN|UTR|SIN|IND|NOM//conj//1 kan//VB|PRS|AKT//aux//5 studeras//VB|INF|SFO//ROOT//5 med//PP//case//9 hjälp//NN|UTR|SIN|IND|NOM//fixed//6 av//PP//fixed//6 SCB//PM|NOM//obl//5 ://MID//punct//9 s//NN|NEU|SIN|IND|GEN//nummod//12 fastighetsstatistik//NN|UTR|SIN|IND|NOM//appos//9 .//MAD//punct//5
3.1 Fastighetsmarknaden;I//PP//case//1 tabell//NN|UTR|SIN|IND|NOM//obl//3 3:1//RG|NOM//nmod//1 visas//VB|PRS|SFO//ROOT//3 antalet//NN|NEU|SIN|DEF|NOM//nsubj:pass//3 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 köp//NN|NEU|PLU|IND|NOM//nsubj:pass//3 av//PP//case//9 fast//JJ|POS|UTR|SIN|IND|NOM//amod//9 egendom//NN|UTR|SIN|IND|NOM//nmod//6 mellan//PP//case//12 åren//NN|NEU|PLU|DEF|NOM//nmod//12 1985–1998//NN|NEU|PLU|IND|NOM//nmod//9 .//MAD//punct//3 *//MID//punct//21 )//PAD//punct//21
3.1 Fastighetsmarknaden;Siffrorna//NN|UTR|PLU|DEF|NOM//nsubj//21 för//PP//case//18 1998//RG|NOM//nmod//16 ännu//AB//advmod//21 är//VB|PRS|AKT//cop//21 preliminära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//3 och//KN//cc//23 antalet//NN|NEU|SIN|DEF|NOM//conj//21 köp//NN|NEU|PLU|IND|NOM//nsubj//27 kommer//VB|PRS|AKT//aux//27 att//IE//mark//27 öka//VB|INF|AKT//advcl//21 .//MAD//punct//3
3.1 Fastighetsmarknaden;Källa//NN|UTR|SIN|IND|NOM//ROOT//0 ://MID//punct//0
3.1 Fastighetsmarknaden;SCB//PM|NOM//appos//0 och//KN//cc//4 Lantmäteriverket//NN|NEU|SIN|DEF|NOM//conj//2
3.1 Fastighetsmarknaden;Under//PP//advmod//4 framför//PP//case//4 allt//PN|NEU|SIN|IND|SUB/OBJ//det//4 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//4 hälften//NN|UTR|SIN|DEF|NOM//obl//7 av//PP//case//6 1970-talet//NN|NEU|SIN|DEF|NOM//nmod//4 skedde//VB|PRT|AKT//advcl//17 en//DT|UTR|SIN|IND//det//10 rejäl//JJ|POS|UTR|SIN|IND|NOM//amod//10 prisökning//NN|UTR|SIN|IND|NOM//nsubj//7 på//PP//case//12 fastigheter//NN|UTR|PLU|IND|NOM//nmod//10 .//MAD//punct//7
3.1 Fastighetsmarknaden;Omkring//PP//advmod//16 år//NN|NEU|SIN|IND|NOM//nmod//16 1980//RG|NOM//punct//7 bröts//VB|PRT|SFO//ROOT//17 den//DT|UTR|SIN|DEF//nsubj:pass//17 trenden//NN|UTR|SIN|DEF|NOM//nsubj:pass//17 och//KN//cc//21 följdes//VB|PRT|SFO//conj//17 av//PP//case//24 en//DT|UTR|SIN|IND//det//24 period//NN|UTR|SIN|IND|NOM//obl//21 om//PP//case//27 4–5//RG|NOM//nummod//27 år//NN|NEU|PLU|IND|NOM//nmod//24 med//PP//case//30 stagnerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 försäljning//NN|UTR|SIN|IND|NOM//nmod//27 och//KN//cc//32 fastighetspriser//NN|UTR|PLU|IND|NOM//conj//30 .//MAD//punct//17
3.1 Fastighetsmarknaden;Under//PP//case//35 1985//RG|NOM//nmod//17 började//VB|PRT|AKT//conj//17 åter//AB//advmod//36 en//DT|UTR|SIN|IND//det//39 pris-//NN|NEU|-|-|SMS//obj//36 och//KN//cc//41 försäljningsökning//NN|UTR|SIN|IND|NOM//conj//39 som//HP|-|-|-//nsubj//43 fortsatte//VB|PRT|AKT//acl:relcl//41 årtiondet//NN|NEU|SIN|DEF|NOM//obj//43 ut//PL//advmod//43 fram//AB//advmod//48 till//PP//case//48 1991//RG|NOM//obl//43 .//MAD//punct//17
3.1 Fastighetsmarknaden;Därefter//AB//advmod//51 föll//VB|PRT|AKT//parataxis//17 priserna//NN|NEU|PLU|DEF|NOM//nsubj//51 kraftigt//AB|POS//advmod//51 för//PP//mark//57 att//IE//mark//57 återigen//AB//advmod//57 börja//VB|INF|AKT//advcl//51 stiga//VB|INF|AKT//xcomp//57 mot//PP//case//60 mitten//NN|UTR|SIN|DEF|NOM//obl//58 av//PP//case//62 1990-talet//NN|NEU|SIN|DEF|NOM//nmod//60 .//MAD//punct//51
3.1 Fastighetsmarknaden;Genom//PP//case//1 fastighetsmäklarna//NN|UTR|PLU|DEF|NOM//obl//2 förmedlas//VB|PRS|SFO//ROOT//2 bara//AB//advmod//2 en//DT|UTR|SIN|IND//det//5 del//NN|UTR|SIN|IND|NOM//nsubj:pass//2 av//PP//case//9 det//DT|NEU|SIN|DEF//det//9 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 antalet//NN|NEU|SIN|DEF|NOM//nmod//10 försäljningar//NN|UTR|PLU|IND|NOM//nmod//5 på//PP//case//12 fastighetsmarknaden//NN|UTR|SIN|DEF|NOM//nmod//10 .//MAD//punct//2
3.1 Fastighetsmarknaden;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 finns//VB|PRS|SFO//parataxis//2 ingen//DT|UTR|SIN|IND//det//18 officiell//JJ|POS|UTR|SIN|IND|NOM//amod//18 statistik//NN|UTR|SIN|IND|NOM//nsubj//15 på//PP//case//22 hur//HA//advmod//21 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 överlåtelser//NN|UTR|PLU|IND|NOM//obl//15 eller//KN//cc//24 upplåtelser//NN|UTR|PLU|IND|NOM//conj//22 som//HP|-|-|-//nsubj:pass//26 förmedlas//VB|PRS|SFO//acl:relcl//24 av//PP//case//28 mäklare//NN|UTR|SIN|IND|NOM//obl:agent//26 .//MAD//punct//15
3.1 Fastighetsmarknaden;Enligt//PP//case//32 en//DT|UTR|SIN|IND//det//32 postenkät//NN|UTR|SIN|IND|NOM//obl//33 gjord//PC|PRF|UTR|SIN|IND|NOM//advcl//15 av//PP//case//35 SPK//PM|NOM//obl:agent//33 under//PP//case//37 1992//RG|NOM//obl//33 ,//MID//punct//39 framkom//VB|PRT|AKT//conj//2 att//SN//mark//42 mäklarna//NN|UTR|PLU|DEF|NOM//nsubj//42 trodde//VB|PRT|AKT//ccomp//39 att//SN//mark//51 ungefär//AB//advmod//45 80//RG|NOM//nummod//46 procent//NN|UTR|PLU|IND|NOM//nsubj:pass//51 av//PP//case//48 försäljningen//NN|UTR|SIN|DEF|NOM//nmod//46 av//PP//case//50 villor//NN|UTR|PLU|IND|NOM//nmod//48 förmedlades//VB|PRT|SFO//ccomp//42 genom//PP//case//53 mäklare//NN|UTR|SIN|IND|NOM//obl//51 ,//MID//punct//56 vilket//HP|NEU|SIN|IND//nsubj//56 motsvarade//VB|PRT|AKT//advcl//39 ca//AB|AN//advmod//58 60//RG|NOM//nummod//59 procent//NN|UTR|PLU|IND|NOM//obj//56 av//PP//case//61 förmedlingsintäkterna//NN|UTR|PLU|DEF|NOM//nmod//59 .//MAD//punct//56
3.1 Fastighetsmarknaden;Förmedlingen//NN|UTR|SIN|DEF|NOM//nsubj:pass//70 av//PP//case//65 fritidshus//NN|NEU|PLU|IND|NOM//nmod//63 och//KN//cc//67 bostadsrätter//NN|UTR|PLU|IND|NOM//conj//65 genom//PP//case//69 mäklare//NN|UTR|PLU|IND|NOM//nmod//63 uppskattades//VB|PRT|SFO//conj//2 till//PP//case//73 75//RG|NOM//nummod//73 procent//NN|UTR|PLU|IND|NOM//obl//70 respektive//AB//cc//76 70//RG|NOM//nummod//76 procent//NN|UTR|PLU|IND|NOM//conj//70 .//MAD//punct//70
3.1 Fastighetsmarknaden;I//PP//advmod//80 dag//NN|UTR|SIN|IND|NOM//fixed//78 sker//VB|PRS|AKT//parataxis//70 uppskattningsvis//AB//advmod//80 70//RG|NOM//nummod//83 procent//NN|UTR|PLU|IND|NOM//nsubj//80 av//PP//case//86 alla//DT|UTR/NEU|PLU|IND/DEF//det//86 småhusaffärer//NN|UTR|PLU|IND|NOM//nmod//83 med//PP//case//91 hjälp//NN|UTR|SIN|IND|NOM//fixed//87 av//PP//fixed//87 en//DT|UTR|SIN|IND//det//91 fastighetsmäklare//NN|UTR|SIN|IND|NOM//nmod//86 .//MAD//punct//70
3.1 Fastighetsmarknaden;Fastighetsmäklare//NN|UTR|PLU|IND|NOM//nsubj//1 förmedlar//VB|PRS|AKT//ROOT//1 också//AB//advmod//1 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 typer//NN|UTR|PLU|IND|NOM//obj//1 av//PP//case//6 objekt//NN|NEU|PLU|IND|NOM//nmod//4 .//MAD//punct//1
3.1 Fastighetsmarknaden;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//11 kan//VB|PRS|AKT//aux//11 vara//VB|INF|AKT//cop//11 flerbostadshus//NN|NEU|PLU|IND|NOM//parataxis//1 och//KN//cc//13 jordbruksfastigheter//NN|UTR|PLU|IND|NOM//conj//11 eller//KN//cc//16 separata//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 fastighetsbesiktningar//NN|UTR|PLU|IND|NOM//conj//11 och//KN//cc//18 värderingar//NN|UTR|PLU|IND|NOM//conj//16 .//MAD//punct//11
3.1 Fastighetsmarknaden;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//21 förekommer//VB|PRS|AKT//conj//1 också//AB//advmod//21 att//SN//mark//25 mäklaren//NN|UTR|SIN|DEF|NOM//nsubj//25 får//VB|PRS|AKT//ccomp//21 s.k.//AB|AN//amod//27 skrivuppdrag//NN|NEU|PLU|IND|NOM//obj//25 ,//MID//punct//27 där//HA//advmod//32 kunden//NN|UTR|SIN|DEF|NOM//nsubj//32 själv//JJ|POS|UTR|SIN|IND|NOM//amod//30 skaffat//VB|SUP|AKT//acl:relcl//27 köpare//NN|UTR|SIN|IND|NOM//obj//32 och//KN//cc//41 där//HA//advmod//41 mäklarens//NN|UTR|SIN|DEF|GEN//nmod:poss//37 uppgift//NN|UTR|SIN|IND|NOM//nsubj//41 bara//AB//advmod//41 är//VB|PRS|AKT//cop//41 att//IE//mark//41 upprätta//VB|INF|AKT//conj//32 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 handlingar//NN|UTR|PLU|IND|NOM//obj//41 .//MAD//punct//1

3.2 Konkurrenssituationen;Konkurrensförutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj//1 beror//VB|PRS|AKT//ROOT//1 bl.a.//AB|AN//advmod//1 på//PP//case//5 produktens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 särart//NN|UTR|SIN|IND|NOM//obl//1 ,//MID//punct//9 den//DT|UTR|SIN|DEF//det//9 relativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 omsättningen//NN|UTR|SIN|DEF|NOM//appos//5 och//KN//cc//13 på//PP//case//13 konsumentens//NN|UTR|SIN|DEF|GEN//nmod:poss//13 produktkännedom//NN|UTR|SIN|IND|NOM//conj//9 och//KN//cc//15 marknadsöverblick//NN|UTR|SIN|IND|NOM//conj//13 .//MAD//punct//1
3.2 Konkurrenssituationen;En//DT|UTR|SIN|IND//det//19 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//19 information//NN|UTR|SIN|IND|NOM//nsubj//25 till//PP//case//22 marknadens//NN|UTR|SIN|DEF|GEN//nmod:poss//22 aktörer//NN|UTR|PLU|IND|NOM//nmod//19 är//VB|PRS|AKT//cop//25 en//DT|UTR|SIN|IND//det//25 förutsättning//NN|UTR|SIN|IND|NOM//parataxis//1 för//PP//case//30 en//DT|UTR|SIN|IND//det//30 väl//AB|POS//advmod//29 fungerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//30 marknad//NN|UTR|SIN|IND|NOM//nmod//25 och//KN//cc//34 en//DT|UTR|SIN|IND//det//34 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//34 konkurrens//NN|UTR|SIN|IND|NOM//conj//30 .//MAD//punct//25
3.2 Konkurrenssituationen;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//2 kan//VB|PRS|AKT//aux//2 konstateras//VB|INF|SFO//ROOT//2 att//SN//mark//8 konsumenten//NN|UTR|SIN|DEF|NOM//nsubj//8 i//PP//advmod//8 gemen//NN|UTR|SIN|IND|NOM//fixed//5 ofta//AB|POS//fixed//5 har//VB|PRS|AKT//dep//2 dålig//JJ|POS|UTR|SIN|IND|NOM//amod//10 information//NN|UTR|SIN|IND|NOM//obj//8 om//PP//case//12 marknaden//NN|UTR|SIN|DEF|NOM//nmod//10 för//PP//case//14 tjänster//NN|UTR|PLU|IND|NOM//nmod//12 vid//PP//case//16 överlåtelser//NN|UTR|PLU|IND|NOM//nmod//14 av//PP//case//18 villor//NN|UTR|PLU|IND|NOM//nmod//16 och//KN//cc//20 bostadsrätter//NN|UTR|PLU|IND|NOM//conj//18 m.m.//AB|AN//conj//16
3.2 Konkurrenssituationen;Detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//8 till//PP//mark//32 följd//NN|UTR|SIN|IND|NOM//fixed//23 av//PP//fixed//23 att//SN//mark//32 både//KN//cc//28 säljare//NN|UTR|PLU|IND|NOM//nsubj//32 och//KN//cc//30 köpare//NN|UTR|PLU|IND|NOM//conj//28 ofta//AB|POS//advmod//32 har//VB|PRS|AKT//advcl//8 liten//JJ|POS|UTR|SIN|IND|NOM//amod//34 erfarenhet//NN|UTR|SIN|IND|NOM//obj//32 av//PP//case//36 vad//HP|NEU|SIN|IND//obl//32 som//HP|-|-|-//nsubj:pass//39 bör//VB|PRS|AKT//aux//39 iakttas//VB|INF|SFO//acl:relcl//36 vid//PP//case//42 en//DT|UTR|SIN|IND//det//42 överlåtelse//NN|UTR|SIN|IND|NOM//obl//39 .//MAD//punct//2
