KG HAMMAR  ,  ärkebiskopen, samtalsledare ;ELISABETH//PM|NOM//nmod//1 GERLE//PM|NOM//ROOT//1  //_SP////1 ,//MID//punct//5  //_SP////3 präst//NN|UTR|SIN|IND|NOM//conj//1 och//KN//cc//7 forskare//NN|UTR|PLU|IND|NOM//conj//5 vid//PP//case//10 teologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 institutionen//NN|UTR|SIN|DEF|NOM//nmod//7 i//PP//case//12 Lund//PM|NOM//nmod//10
Religiös täckmantel;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//157 väcktes//VB|PRT|SFO//parataxis//3 av//PP//case//162 en//DT|UTR|SIN|IND//det//162 extrem//JJ|POS|UTR|SIN|IND|NOM//amod//162 nationalistisk//JJ|POS|UTR|SIN|IND|NOM//amod//162 propaganda//NN|UTR|SIN|IND|NOM//obl//157 ,//MID//punct//166 man//PN|UTR|SIN|IND|SUB//nsubj//166 var//VB|PRT|AKT//cop//166 muslim//NN|UTR|SIN|IND|NOM//parataxis//3 ,//MID//punct//170 man//PN|UTR|SIN|IND|SUB//nsubj//170 var//VB|PRT|AKT//cop//170 serb//NN|UTR|SIN|IND|NOM//conj//3 ,//MID//punct//174 man//PN|UTR|SIN|IND|SUB//nsubj//174 var//VB|PRT|AKT//cop//174 kroat//NN|UTR|SIN|IND|NOM//parataxis//3 .//MAD//punct//3
Religiös täckmantel;Många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 människor//NN|UTR|PLU|IND|NOM//nsubj//3 var//VB|PRT|AKT//cop//3 blandade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//3 och//KN//cc//7 blandäktenskap//NN|UTR|SIN|IND|NOM//nsubj//7 var//VB|PRT|AKT//cop//7 vanliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//3 ,//MID//punct//12 men//KN//cc//12 i//PP//case//12 en//DT|UTR|SIN|IND//det//12 situation//NN|UTR|SIN|IND|NOM//conj//3 ,//MID//punct//12 där//HA//advmod//17 man//PN|UTR|SIN|IND|SUB//nsubj//17 inte//AB//advmod//17 hade//VB|PRT|AKT//acl:relcl//12 någon//DT|UTR|SIN|IND//det//19 annan//JJ|POS|UTR|SIN|IND|NOM//obj//17 att//IE//mark//21 lita//VB|INF|AKT//acl//19 på//PP//compound:prt//21 ,//MID//punct//24 blev//VB|PRT|AKT//conj//3 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//24 väldigt//AB|POS//advmod//27 viktigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//24 att//SN//mark//31 man//PN|UTR|SIN|IND|SUB//nsubj//31 var//VB|PRT|AKT//cop//31 serb//NN|UTR|SIN|IND|NOM//acl//27 och//KN//cc//33 ortodox//JJ|POS|UTR|SIN|IND|NOM//conj//31 eller//KN//cc//35 kroat//JJ|POS|UTR|SIN|IND|NOM//conj//33 ,//MID//punct//37 katolik//JJ|POS|UTR|SIN|IND|NOM//conj//31 eller//KN//cc//39 muslim//NN|UTR|SIN|IND|NOM//conj//31 .//MAD//punct//3 –//PAD//punct//44
Religiös täckmantel;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//44 är//VB|PRS|AKT//cop//44 viktigt//JJ|POS|NEU|SIN|IND|NOM//parataxis//3 att//IE//mark//46 tänka//VB|INF|AKT//csubj//44 på//PP//mark//50 hur//HA//advmod//50 vi//PN|UTR|PLU|DEF|SUB//nsubj//50 deﬁnierar//VB|PRS|AKT//advcl//44 religion//NN|UTR|SIN|IND|NOM//obj//50 i//PP//case//56 förhållande//NN|NEU|SIN|IND|NOM//fixed//52 till//PP//fixed//52 vår//PS|UTR|SIN|DEF//nmod:poss//56 etniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//obl//50 ,//MID//punct//58 släkt-//NN|UTR|-|-|SMS//conj//56 och//KN//cc//60 familjegemenskap//NN|UTR|SIN|IND|NOM//conj//56 ,//MID//punct//62 fortsätter//VB|PRS|AKT//parataxis//44 Elisabeth//PM|NOM//nsubj//62 Gerle//PM|NOM//flat//63 .//MAD//punct//44
Religiös täckmantel;Sverige//PM|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 varit//VB|SUP|AKT//cop//5 ett//DT|NEU|SIN|IND//det//5 kristet//JJ|POS|NEU|SIN|IND|NOM//amod//5 land//NN|NEU|SIN|IND|NOM//ROOT//5 ,//MID//punct//5 vi//PN|UTR|PLU|DEF|SUB//nsubj//9 har//VB|PRS|AKT//aux//9 haft//VB|SUP|AKT//conj//5 en//DT|UTR|SIN|IND//det//11 kyrka//NN|UTR|SIN|IND|NOM//obj//9 nära//PP//case//13 förbunden//NN|NEU|PLU|DEF|NOM//obl//9 med//PP//case//15 staten//NN|UTR|SIN|DEF|NOM//nmod//13 och//KN//cc//19 vi//PN|UTR|PLU|DEF|SUB//nsubj//19 har//VB|PRS|AKT//aux//19 sett//VB|SUP|AKT//conj//9 oss//PN|UTR|PLU|DEF|OBJ//obj//19 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 som//KN//case//25 ett//DT|NEU|SIN|IND//det//25 kristet//JJ|POS|NEU|SIN|IND|NOM//amod//25 folk//NN|NEU|SIN|IND|NOM//obl//19 utan//PP//mark//28 att//IE//mark//28 tänka//VB|INF|AKT//advcl//19 så//AB//advmod//30 mycket//AB|POS//advmod//28 på//PP//case//32 skillnader//NN|UTR|PLU|IND|NOM//obl//28 vad//HP|NEU|SIN|IND//nsubj//34 gäller//VB|PRS|AKT//conj//5 nationalitet//NN|UTR|SIN|IND|NOM//obj//34 ,//MID//punct//37 etnicitet//NN|UTR|SIN|IND|NOM//conj//35 eller//KN//cc//40 religiös//JJ|POS|UTR|SIN|IND|NOM//amod//40 identitet//NN|UTR|SIN|IND|NOM//conj//35 .//MID//punct//5
Religiös täckmantel;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//43 håller//VB|PRS|AKT//conj//5 på//PL//compound:prt//43 att//IE//mark//46 förändras//VB|INF|SFO//xcomp//43 ,//MID//punct//5 och//KN//cc//50 jag//PN|UTR|SIN|DEF|SUB//nsubj//50 tycker//VB|PRS|AKT//conj//5 att//SN//mark//54 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//54 är//VB|PRS|AKT//cop//54 hälsosamt//JJ|POS|NEU|SIN|IND|NOM//ccomp//50 att//SN//mark//57 så//AB//advmod//57 sker//VB|PRS|AKT//csubj//54 ,//MID//punct//57 eftersom//SN//mark//61 vi//PN|UTR|PLU|DEF|SUB//nsubj//61 har//VB|PRS|AKT//advcl//57 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 invånare//NN|UTR|PLU|IND|NOM//obj//61 i//PP//case//65 Sverige//PM|NOM//obl//61 som//HP|-|-|-//nsubj//69 inte//AB//advmod//69 är//VB|PRS|AKT//cop//69 kristna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//65 .//MAD//punct//5
Religiös täckmantel;Vi//PN|UTR|PLU|DEF|SUB//nsubj//72 har//VB|PRS|AKT//parataxis//5 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//75 muslimska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//75 invandrare//NN|UTR|PLU|IND|NOM//obj//72 ,//MID//punct//81 och//KN//cc//81 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//81 är//VB|PRS|AKT//cop//81 också//AB//advmod//81 invånare//NN|UTR|PLU|IND|NOM//conj//72 här//AB//advmod//81 .//MAD//punct//72
Religiös täckmantel;Detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//87 måste//VB|PRS|AKT//aux//87 vi//PN|UTR|PLU|DEF|SUB//nsubj//87 tackla//VB|INF|AKT//conj//5 på//PP//case//91 ett//DT|NEU|SIN|IND//det//91 nytt//JJ|POS|NEU|SIN|IND|NOM//amod//91 sätt//NN|NEU|SIN|IND|NOM//obl//87 .//MAD//punct//5
Religiös täckmantel;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//95 är//VB|PRS|AKT//cop//95 viktigt//JJ|POS|NEU|SIN|IND|NOM//parataxis//5 att//IE//mark//97 inse//VB|INF|AKT//csubj//95 att//SN//mark//102 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//102 av//PP//case//101 oss//PN|UTR|PLU|DEF|OBJ//nmod//99 tänker//VB|PRS|AKT//ccomp//97 på//PP//case//105 religiös//JJ|POS|UTR|SIN|IND|NOM//amod//105 identitet//NN|UTR|SIN|IND|NOM//obl//102 som//KN//case//107 någonting//PN|NEU|SIN|IND|SUB/OBJ//obl//102 som//HP|-|-|-//nsubj//110 också//AB//advmod//110 hänger//VB|PRS|AKT//acl:relcl//107 ihop//PL//compound:prt//110 med//PP//case//114 vår//PS|UTR|SIN|DEF//nmod:poss//114 etnicitet//NN|UTR|SIN|IND|NOM//obl//110 ,//MID//punct//102 med//PP//case//118 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//118 ord//NN|NEU|PLU|IND|NOM//obl//102 ”//PAD//punct//95 jag//PN|UTR|SIN|DEF|SUB//nsubj//122 är//VB|PRS|AKT//cop//122 svensk//JJ|POS|UTR|SIN|IND|NOM//conj//5 ,//MID//punct//127 så//KN//advmod//127 jag//PN|UTR|SIN|DEF|SUB//nsubj//127 är//VB|PRS|AKT//cop//127 kristen//JJ|POS|UTR|SIN|IND|NOM//conj//5 ,//MID//punct//5 jag//PN|UTR|SIN|DEF|SUB//nsubj//131 är//VB|PRS|AKT//cop//131 svensk//JJ|POS|UTR|SIN|IND|NOM//conj//5 ,//MID//punct//5 så//KN//advmod//136 jag//PN|UTR|SIN|DEF|SUB//nsubj//136 är//VB|PRS|AKT//cop//136 lutheran//NN|UTR|SIN|IND|NOM//acl:relcl//5 ”//PM|NOM//punct//5 .//MAD//punct//5
Religiös täckmantel;Vad//HP|NEU|SIN|IND//dislocated//2 som//HP|-|-|-//nsubj//2 hände//VB|PRT|AKT//advcl//6 i//PP//case//4 Jugoslavien//PM|NOM//obl//2 behöver//VB|PRS|AKT//aux//6 användas//VB|INF|SFO//ROOT//6 för//PP//case//10 vår//PS|UTR|SIN|DEF//nmod:poss//10 inre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 eftertanke//NN|UTR|SIN|IND|NOM//obl//6 även//AB//advmod//6 här//AB//fixed//11 ,//MID//punct//18 annars//AB//advmod//18 kan//VB|PRS|AKT//aux//18 religion//NN|UTR|SIN|IND|NOM//nsubj//18 kanske//AB//advmod//18 bli//VB|INF|AKT//advcl//6 ett//DT|NEU|SIN|IND//det//20 medel//NN|NEU|SIN|IND|NOM//xcomp//18 för//PP//mark//23 att//IE//mark//23 tänka//VB|INF|AKT//acl//20 i//PP//case//25 termer//NN|UTR|PLU|IND|NOM//obl//23 av//PP//case//28 ”//PM|NOM//punct//28 vi//PN|UTR|PLU|DEF|SUB//nmod//25 och//KN//cc//30 de//DT|UTR/NEU|PLU|DEF//conj//28 ”//PAD//punct//6 ,//MID//punct//36 och//KN//cc//36 i//PP//case//36 en//DT|UTR|SIN|IND//det//36 kris//NN|UTR|SIN|IND|NOM//obj//51 då//HA//mark//39 man//PN|UTR|SIN|IND|SUB//nsubj//39 vänder//VB|PRS|AKT//acl:relcl//36 tillbaka//PL//advmod//39 för//PP//mark//43 att//IE//mark//43 ﬁnna//VB|INF|AKT//advcl//39 en//DT|UTR|SIN|IND//det//45 känsla//NN|UTR|SIN|IND|NOM//obj//43 av//PP//case//47 trygghet//NN|UTR|SIN|IND|NOM//nmod//45 kan//VB|PRS|AKT//aux//51 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//51 vara//VB|INF|AKT//cop//51 riskabelt//JJ|POS|NEU|SIN|IND|NOM//parataxis//6 .//MAD//punct//6
Religiös täckmantel;DÖLJA//DT|UTR/NEU|PLU|DEF//det//2 ANDRA//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 KONFLIKTER//NN|UTR|PLU|IND|NOM//ROOT//2
Religiös täckmantel;Elisabeth//PM|NOM//nsubj//2 Gerle//PM|NOM//flat//0 förklarar//VB|PRS|AKT//ROOT//2 varför//HA//advmod//5 hon//PN|UTR|SIN|DEF|SUB//nsubj//5 använder//VB|PRS|AKT//ccomp//2 ordet//NN|NEU|SIN|DEF|NOM//nmod//7 täckmantel//NN|UTR|SIN|IND|NOM//obj//5 om//PP//case//9 religion//NN|UTR|SIN|IND|NOM//nmod//7 .//MAD//punct//2 –//PAD//punct//13
Religiös täckmantel;Jag//PN|UTR|SIN|DEF|SUB//nsubj//13 tror//VB|PRS|AKT//parataxis//2 att//SN//mark//27 religion//NN|UTR|SIN|IND|NOM//nsubj:pass//27 och//KN//cc//17 känslan//NN|UTR|SIN|DEF|NOM//conj//15 av//PP//case//19 gemenskap//NN|UTR|SIN|IND|NOM//nmod//17 och//KN//cc//21 tillhörighet//NN|UTR|SIN|IND|NOM//conj//19 till//PP//mark//27 ens//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//25 religiösa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 identitet//NN|UTR|SIN|IND|NOM//nsubj:pass//27 ofta//AB|POS//advmod//27 används//VB|PRS|SFO//ccomp//13 som//KN//case//30 en//DT|UTR|SIN|IND//det//30 täckmantel//NN|UTR|SIN|IND|NOM//obl//27 för//PP//mark//33 att//IE//mark//33 dölja//VB|INF|AKT//advcl//27 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 konﬂikter//NN|UTR|PLU|IND|NOM//obj//33 ,//MID//punct//39 som//HP|-|-|-//nsubj//39 är//VB|PRS|AKT//cop//39 sammanﬂätade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//35 eller//KN//cc//41 djupare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//39 .//MAD//punct//2
Religiös täckmantel;Många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//8 av//PP//case//2 konﬂikterna//NN|UTR|PLU|DEF|NOM//nmod//0 i//PP//case//5 forna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 Jugoslavien//PM|NOM//nmod//2 hade//VB|PRT|AKT//aux//8 att//IE//mark//8 göra//VB|INF|AKT//ROOT//8 med//PP//case//11 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 privilegier//NN|NEU|PLU|IND|NOM//obl//8 .//MAD//punct//8
Religiös täckmantel;Serberna//NN|UTR|PLU|DEF|NOM//nsubj//14 hade//VB|PRT|AKT//parataxis//8 en//DT|UTR|SIN|IND//det//17 militär//JJ|POS|UTR|SIN|IND|NOM//amod//17 armé//NN|UTR|SIN|IND|NOM//obj//14 ,//MID//punct//21 men//KN//cc//21 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//21 hade//VB|PRT|AKT//conj//8 inte//AB//advmod//21 den//DT|UTR|SIN|DEF//det//24 hightechkommunikation//NN|UTR|SIN|IND|NOM//obj//21 med//PP//case//26 Tyskland//PM|NOM//nmod//24 som//KN//mark//28 Slovenien//PM|NOM//obl//21 och//KN//cc//30 Kroatien//PM|NOM//conj//28 hade//VB|PRT|AKT//conj//8 .//MAD//punct//8
Religiös täckmantel;I//PP//case//34 Nordirland//PM|NOM//obl//35 gick//VB|PRT|AKT//parataxis//8 också//AB//advmod//35 uppdelningen//NN|UTR|SIN|DEF|NOM//nsubj//35 mellan//PP//case//39 katoliker//NN|UTR|PLU|IND|NOM//nmod//37 och//KN//cc//41 protestanter//NN|UTR|PLU|IND|NOM//conj//39 parallellt//AB|POS//advmod//45 med//PP//case//45 en//DT|UTR|SIN|IND//det//45 uppdelning//NN|UTR|SIN|IND|NOM//obl//35 i//PP//case//48 socio-ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//48 kapacitet//NN|UTR|SIN|IND|NOM//nmod//45 .//MID//punct//8
Religiös täckmantel;Religion//NN|UTR|SIN|IND|NOM//nsubj:pass//52 kan//VB|PRS|AKT//aux//52 användas//VB|INF|SFO//parataxis//8 som//KN//case//55 en//DT|UTR|SIN|IND//det//55 täckmantel//NN|UTR|SIN|IND|NOM//obl//52 ,//MID//punct//58 som//KN//case//58 någonting//PN|NEU|SIN|IND|SUB/OBJ//obl//52 som//HP|-|-|-//nsubj//60 hjälper//VB|PRS|AKT//acl:relcl//58 till//PL//compound:prt//60 att//IE//mark//63 dölja//VB|INF|AKT//advcl//60 det//DT|NEU|SIN|DEF//det//65 faktum//NN|NEU|SIN|DEF|NOM//obj//63 att//SN//mark//74 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//74 av//PP//case//69 grundorsakerna//NN|UTR|PLU|DEF|NOM//nmod//67 mycket//AB|POS//advmod//71 väl//AB|POS//advmod//74 kan//VB|PRS|AKT//aux//74 vara//VB|INF|AKT//cop//74 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 och//KN//cc//76 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//74 orättvisor//NN|UTR|PLU|IND|NOM//obj//63 ,//MID//punct//81 som//HP|-|-|-//nsubj//81 bara//AB//advmod//81 råkar//VB|PRS|AKT//acl:relcl//77 följa//VB|INF|AKT//xcomp//81 samma//DT|UTR/NEU|SIN/PLU|IND//det//84 uppdelning//NN|UTR|SIN|IND|NOM//obj//82 som//KN//mark//86 religionerna//NN|UTR|PLU|DEF|NOM//acl//84 .//MAD//punct//8
Religiös täckmantel;Det//DT|NEU|SIN|DEF//det//1 viktigt//JJ|POS|NEU|SIN|IND|NOM//ROOT//1 för//PP//case//3 oss//PN|UTR|PLU|DEF|OBJ//nmod//1 att//IE//mark//5 inse//VB|INF|AKT//csubj//1 att//SN//mark//8 vi//PN|UTR|PLU|DEF|SUB//nsubj//8 lever//VB|PRS|AKT//ccomp//5 i//PP//case//12 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 överlappande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 gemenskaper//NN|UTR|PLU|IND|NOM//obl//8 .//MAD//punct//1

Gå i försvarsposition;–//PAD//punct//2 Jag//PN|UTR|SIN|DEF|SUB//nsubj//2 ser//VB|PRS|AKT//ROOT//2 saker//NN|UTR|PLU|IND|NOM//obj//2 och//KN//cc//5 ting//NN|NEU|PLU|IND|NOM//conj//3 ur//PP//case//12 en//DT|UTR|SIN|IND//det//12 mer//AB|KOM//advmod//9 personlig//JJ|POS|UTR|SIN|IND|NOM//amod//12 ,//MID//punct//9 mystisk//JJ|POS|UTR|SIN|IND|NOM//amod//12 synvinkel//NN|UTR|SIN|IND|NOM//obl//2 ,//MID//punct//14 säger//VB|PRS|AKT//parataxis//2 Magnus//PM|NOM//nsubj//14 Almgren//PM|NOM//flat:name//15 .//MAD//punct//14
Gå i försvarsposition;Frågan//NN|UTR|SIN|DEF|NOM//nsubj//31 vad//HP|NEU|SIN|IND//nsubj//20 avser//VB|PRS|AKT//acl:relcl//18 ens//PS|UTR/NEU|SIN/PLU|DEF//advmod//20 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//23 identitet//NN|UTR|SIN|IND|NOM//obj//20 och//KN//cc//27 ens//PS|UTR/NEU|SIN/PLU|DEF//advmod//27 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//27 relation//NN|UTR|SIN|IND|NOM//nsubj//31 till//PP//case//29 Gud//PM|NOM//nmod//27 är//VB|PRS|AKT//cop//31 viktig//JJ|POS|UTR|SIN|IND|NOM//parataxis//2 ,//MID//punct//35 och//KN//cc//35 väldigt//AB|POS//advmod//35 mycket//AB|POS//nsubj//40 av//PP//case//37 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//35 är//VB|PRS|AKT//cop//40 en//DT|UTR|SIN|IND//det//40 fråga//NN|UTR|SIN|IND|NOM//obl//31 om//PP//mark//43 att//IE//mark//43 ha//VB|INF|AKT//acl//40 rätt//NN|UTR|SIN|IND|NOM//obj//43 eller//KN//cc//47 att//IE//mark//47 ha//VB|INF|AKT//conj//43 fel//PL//obj//47 .//MID//punct//31
Gå i försvarsposition;Om//SN//mark//52 man//PN|UTR|SIN|IND|SUB//nsubj//52 tror//VB|PRS|AKT//advcl//61 att//SN//mark//55 man//PN|UTR|SIN|IND|SUB//nsubj//55 har//VB|PRS|AKT//ccomp//52 rätt//PL//obj//55 ,//MID//punct//52 så//AB//advcl//61 måste//VB|PRS|AKT//aux//61 man//PN|UTR|SIN|IND|SUB//nsubj//61 hindra//VB|INF|AKT//conj//31 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//61 från//PP//mark//66 att//IE//mark//66 vara//VB|INF|AKT//cop//66 fel//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//61 .//MAD//punct//61
Gå i försvarsposition;Ens//PS|UTR/NEU|SIN/PLU|DEF//amod//69 ståndpunkt//NN|UTR|SIN|IND|NOM//nsubj//70 blir//VB|PRS|AKT//parataxis//61 väldigt//AB|POS//advmod//72 viktigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//70 att//IE//mark//74 försvara//VB|INF|AKT//acl//72 .//MAD//punct//31
Gå i försvarsposition;Men//KN//cc//15 kristendomen//NN|UTR|SIN|DEF|NOM//nsubj//15 och//KN//cc//6 de//DT|UTR/NEU|PLU|DEF//det//6 ﬂesta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 religioner//NN|UTR|PLU|IND|NOM//conj//1 ,//MID//punct//1 var//PN|UTR|SIN|IND|SUB/OBJ//amod//1 och//KN//fixed//8 en//PN|UTR|SIN|IND|SUB/OBJ//fixed//8 på//PP//case//13 sitt//PS|NEU|SIN|DEF//nmod:poss//13 sätt//NN|NEU|SIN|IND|NOM//obl//8 ,//MID//punct//8 förser//VB|PRS|AKT//ROOT//15 oss//PN|UTR|PLU|DEF|OBJ//obj//15 med//PP//case//18 tanken//NN|UTR|SIN|DEF|NOM//obl//15 på//PP//case//20 nåd//NN|UTR|SIN|IND|NOM//nmod//18 ,//MID//punct//15 och//KN//cc//31 när//HA//mark//25 man//PN|UTR|SIN|IND|SUB//nsubj//25 har//VB|PRS|AKT//advcl//31 nåd//NN|UTR|SIN|IND|NOM//obj//25 så//AB//advcl//31 behöver//VB|PRS|AKT//aux//31 man//PN|UTR|SIN|IND|SUB//nsubj//31 inte//AB//advmod//31 ha//VB|INF|AKT//conj//15 rätt//PL//advmod//33 längre//AB|KOM//advmod//31 .//MID//punct//15
Gå i försvarsposition;Om//SN//mark//37 man//PN|UTR|SIN|IND|SUB//nsubj//37 lever//VB|PRS|AKT//advcl//42 i//PP//case//39 nåd//NN|UTR|SIN|IND|NOM//obl//37 är//VB|PRS|AKT//cop//42 man//PN|UTR|SIN|IND|SUB//nsubj//42 nöjd//PC|PRF|UTR|SIN|IND|NOM//parataxis//15 och//KN//cc//44 inspirerad//PC|PRF|UTR|SIN|IND|NOM//conj//42 för//PP//mark//47 att//IE//mark//47 inspirera//VB|INF|AKT//advcl//42 och//KN//cc//49 hjälpa//VB|INF|AKT//conj//47 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//obj//49 .//MAD//punct//15
Gå i försvarsposition;Man//PN|UTR|SIN|IND|SUB//nsubj//55 behöver//VB|PRS|AKT//aux//55 inte//AB//advmod//55 försvara//VB|INF|AKT//parataxis//15 någonting//PN|NEU|SIN|IND|SUB/OBJ//obj//55 ,//MID//punct//55 för//KN//mark//61 där//AB//advmod//61 ﬁnns//VB|PRS|SFO//nsubj//61 ingenting//PN|NEU|SIN|IND|SUB/OBJ//advcl//55 att//IE//mark//63 försvara//VB|INF|AKT//acl//61 .//MAD//punct//55
Gå i försvarsposition;Man//PN|UTR|SIN|IND|SUB//nsubj//66 lever//VB|PRS|AKT//parataxis//55 i//PP//case//68 nåd//NN|UTR|SIN|IND|NOM//obl//66 ,//MID//punct//74 men//KN//cc//74 man//PN|UTR|SIN|IND|SUB//nsubj//74 kan//VB|PRS|AKT//aux//74 inte//AB//advmod//74 äga//VB|INF|AKT//conj//66 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//74 .//MAD//punct//55
Gå i försvarsposition;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//80 är//VB|PRS|AKT//cop//80 en//DT|UTR|SIN|IND//det//80 gåva//NN|UTR|SIN|IND|NOM//parataxis//55 .//MAD//punct//80
Gå i försvarsposition;FÖRDJUPA//PM|NOM//amod//1 LOKALA//PM|NOM//nsubj//41 RELIGIONER//PM|NOM//flat//1 –//PAD//punct//8 Vad//HP|NEU|SIN|IND//obj//8 jag//PN|UTR|SIN|DEF|SUB//nsubj//8 skulle//VB|PRT|AKT//aux//8 vilja//VB|INF|AKT//aux//8 se//VB|INF|AKT//acl//2 är//VB|PRS|AKT//cop//11 en//DT|UTR|SIN|IND//det//11 fördjupning//NN|UTR|SIN|IND|NOM//obj//8 av//PP//case//14 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 religioner//NN|UTR|PLU|IND|NOM//nmod//11 ,//MID//punct//16 fortsätter//VB|PRS|AKT//parataxis//1 han//PN|UTR|SIN|DEF|SUB//nsubj//16 .//MID//punct//16
Gå i försvarsposition;Alla//DT|UTR/NEU|PLU|IND/DEF//det//20 religioner//NN|UTR|PLU|IND|NOM//nsubj//23 är//VB|PRS|AKT//cop//23 fantastiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 vägar//NN|UTR|PLU|IND|NOM//parataxis//16 för//PP//mark//26 att//IE//mark//26 möta//VB|INF|AKT//acl//23 en//DT|UTR|SIN|IND//det//29 gudomlig//JJ|POS|UTR|SIN|IND|NOM//amod//29 verklighet//NN|UTR|SIN|IND|NOM//obj//26 och//KN//cc//31 har//VB|PRS|AKT//conj//1 man//PN|UTR|SIN|IND|SUB//nsubj//31 denna//DT|UTR|SIN|DEF//det//35 fantastiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 upplevelse//NN|UTR|SIN|IND|NOM//obj//31 ,//MID//punct//31 så//KN//advmod//41 är//VB|PRS|AKT//cop//41 de//PN|UTR/NEU|PLU|DEF|SUB//det//40 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//41 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//41 .//MAD//punct//41
Gå i försvarsposition;Jag//PN|UTR|SIN|DEF|SUB//nsubj//44 önskar//VB|PRS|AKT//parataxis//41 att//SN//mark//49 denna//DT|UTR|SIN|DEF//det//47 erfarenhet//NN|UTR|SIN|IND|NOM//nsubj:pass//49 kunde//VB|PRT|AKT//aux//49 fördjupas//VB|INF|SFO//ccomp//44 ,//MID//punct//49 eftersom//SN//mark//54 om//SN//fixed//51 man//PN|UTR|SIN|IND|SUB//nsubj//54 kopplar//VB|PRS|AKT//advcl//49 upp//PL//compound:prt//54 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//54 till//PP//case//58 Gud//PM|NOM//obl//54 ,//MID//punct//44 eller//KN//cc//64 vad//HP|NEU|SIN|IND//obj//64 man//PN|UTR|SIN|IND|SUB//nsubj//64 nu//AB//advmod//64 kallar//VB|PRS|AKT//conj//44 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//64 för//PP//advmod//64 ,//MID//punct//64 så//AB//advcl//72 behöver//VB|PRS|AKT//aux//72 man//PN|UTR|SIN|IND|SUB//nsubj//72 inte//AB//advmod//72 kämpa//VB|INF|AKT//conj//44 .//MAD//punct//44
