Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//2 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//2 kommitté//NN|UTR|SIN|IND|NOM//nsubj:pass//3 tillkallas//VB|PRS|SFO//ROOT//3 med//PP//case//5 uppdrag//NN|NEU|SIN|IND|NOM//obl//3 att//IE//mark//7 förbereda//VB|INF|AKT//acl//5 den//DT|UTR|SIN|DEF//det//10 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 ställningstaganden//NN|NEU|PLU|IND|NOM//obj//7 inför//PP//case//13 FN//PM|NOM//nmod//11 ://MID//punct//11 s//NN|AN//case//16 livsmedels-//NN|NEU|-|-|SMS//appos//11 och//KN//cc//18 jordbruksorganisations//NN|UTR|SIN|IND|NOM//conj//16 (//PAD//punct//16 FAO//PM|NOM//conj//16 )//PAD//punct//16 världslivsmedelstoppmöte//NN|NEU|SIN|IND|NOM//parataxis//3 den//DT|UTR|SIN|DEF//det//25 10–13//RG|NOM//nummod//25 juni//NN|UTR|SIN|IND|NOM//obl//22 2002//RG|NOM//nummod//25 .//MAD//punct//3
Uppdraget;Toppmötet//NN|NEU|SIN|DEF|NOM//nsubj//24 kommer//VB|PRS|AKT//aux//24 att//IE//mark//24 göra//VB|INF|AKT//parataxis//6 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//24 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//24 att//IE//mark//28 bedöma//VB|INF|AKT//advcl//24 om//SN//case//31 Rom-deklarationens//NN|UTR|SIN|DEF|GEN//nmod:poss//31 målsättning//NN|UTR|SIN|IND|NOM//obl//28 ,//MID//punct//31 att//IE//mark//34 minska//VB|INF|AKT//advcl//24 antalet//NN|NEU|SIN|DEF|NOM//obj//34 svältande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 med//PP//case//38 hälften//NN|UTR|SIN|DEF|NOM//obl//36 till//PP//case//41 år//NN|NEU|SIN|IND|NOM//nmod//41 2015//RG|NOM//nmod//38 ,//MID//punct//46 kommer//VB|PRS|AKT//aux//46 att//IE//mark//46 kunna//VB|INF|AKT//aux//46 infrias//VB|INF|SFO//conj//24 eller//KN//cc//52 om//SN//mark//52 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//50 åtgärder//NN|UTR|PLU|IND|NOM//nsubj:pass//52 behöver//VB|PRS|AKT//aux//52 vidtas//VB|INF|SFO//conj//46 .//MAD//punct//24
Uppdraget;Mötet//NN|NEU|SIN|DEF|NOM//nsubj//57 kommer//VB|PRS|AKT//aux//57 att//IE//mark//57 bli//VB|INF|AKT//parataxis//24 ett//DT|NEU|SIN|IND//det//60 viktigt//JJ|POS|NEU|SIN|IND|NOM//amod//60 inslag//NN|NEU|SIN|IND|NOM//xcomp//57 i//PP//case//62 kampen//NN|UTR|SIN|DEF|NOM//obl//57 mot//PP//case//64 svält//NN|UTR|SIN|IND|NOM//nmod//62 och//KN//cc//66 fattigdom//NN|UTR|SIN|IND|NOM//conj//64 .//MAD//punct//24
Uppdraget;För//PP//mark//2 att//IE//mark//2 förbereda//VB|INF|AKT//advcl//9 den//DT|UTR|SIN|DEF//det//5 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 ställningstaganden//NN|NEU|PLU|IND|NOM//obj//2 inför//PP//case//8 WFSfyl//UO//nmod//6 inrättas//VB|PRS|SFO//ROOT//9 en//DT|UTR|SIN|IND//det//12 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//12 kommitté//NN|UTR|SIN|IND|NOM//nsubj:pass//9 .//MAD//punct//9
Uppdraget;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//15 uppgift//NN|UTR|SIN|IND|NOM//nsubj//16 är//VB|PRS|AKT//parataxis//9 att//IE//mark//18 ta//VB|INF|AKT//ccomp//16 fram//PL//compound:prt//18 underlag//NN|NEU|SIN|IND|NOM//obj//18 för//PP//case//23 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 positioner//NN|UTR|PLU|IND|NOM//nmod//20 vid//PP//case//25 toppmötet//NN|NEU|SIN|DEF|NOM//nmod//23 .//MAD//punct//9
Uppdraget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//29 bör//VB|PRS|AKT//aux//29 ha//VB|INF|AKT//parataxis//9 en//DT|UTR|SIN|IND//det//32 bred//JJ|POS|UTR|SIN|IND|NOM//amod//32 inriktning//NN|UTR|SIN|IND|NOM//obj//29 på//PP//case//35 sitt//PS|NEU|SIN|DEF//nmod:poss//35 arbete//NN|NEU|SIN|IND|NOM//nmod//32 och//KN//cc//37 ha//VB|INF|AKT//conj//29 ett//DT|NEU|SIN|IND//det//39 informationsutbyte//NN|NEU|SIN|IND|NOM//obj//37 med//PP//case//43 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 processer//NN|UTR|PLU|IND|NOM//obl//37 inom//PP//case//49 ramen//NN|UTR|SIN|DEF|NOM//fixed//44 för//PP//fixed//44 det//DT|NEU|SIN|DEF//det//49 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//49 samarbetet//NN|NEU|SIN|DEF|NOM//obl//37 ,//MID//punct//49 särskilt//AB//advmod//53 vad//HA//nsubj//53 gäller//VB|PRS|AKT//conj//29 utvecklingsfinansiering//NN|UTR|SIN|IND|NOM//obj//53 ,//MID//punct//56 uppföljningen//NN|UTR|SIN|DEF|NOM//conj//54 av//PP//case//58 barntoppmötet//NN|NEU|SIN|DEF|NOM//nmod//56 och//KN//cc//61 hållbar//JJ|POS|UTR|SIN|IND|NOM//amod//61 utveckling//NN|UTR|SIN|IND|NOM//conj//58 .//MAD//punct//29
Uppdraget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//65 skall//VB|PRS|AKT//aux//65 följa//VB|INF|AKT//conj//29 den//DT|UTR|SIN|DEF//det//68 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//68 diskussionen//NN|UTR|SIN|DEF|NOM//obj//65 och//KN//cc//71 därvid//AB//advmod//71 lägga//VB|INF|AKT//conj//65 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//73 vikt//NN|UTR|SIN|IND|NOM//obj//71 vid//PP//case//75 genomförandet//NN|NEU|SIN|DEF|NOM//obl//71 av//PP//case//78 millenniedeklarationens//NN|UTR|SIN|DEF|GEN//nmod:poss//78 mål//NN|NEU|SIN|IND|NOM//nmod//75 för//PP//case//80 utveckling//NN|UTR|SIN|IND|NOM//nmod//78 och//KN//cc//82 fattigdomsbekämpning//NN|UTR|SIN|IND|NOM//conj//80 .//MID//punct//65
Uppdraget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//87 skall//VB|PRS|AKT//aux//87 vidare//AB|KOM//advmod//87 följa//VB|INF|AKT//conj//65 diskussionen//NN|UTR|SIN|DEF|NOM//obj//87 i//PP//case//90 utvecklingsländerna//NN|NEU|PLU|DEF|NOM//obl//87 om//PP//case//94 de//DT|UTR/NEU|PLU|DEF//det//94 hittillsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//94 erfarenheterna//NN|UTR|PLU|DEF|NOM//obl//87 av//PP//case//96 FAO//PM|NOM//nmod//94 ://MID//punct//96 s//PP//nummod//99 handlingsplan//NN|UTR|SIN|IND|NOM//nmod//94 .//MAD//punct//65
Uppdraget;Den//DT|UTR|SIN|DEF//det//102 samordning//NN|UTR|SIN|IND|NOM//nsubj:pass//112 inför//PP//case//104 WFSfyl//UO//nmod//102 som//HP|-|-|-//nsubj//106 sker//VB|PRS|AKT//acl:relcl//104 bland//PP//case//108 medlemsländerna//NN|NEU|PLU|DEF|NOM//obl//106 i//PP//case//110 EU//PM|NOM//nmod//108 bör//VB|PRS|AKT//aux//112 uppmärksammas//VB|INF|SFO//parataxis//65 .//MAD//punct//29
Uppdraget;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 arbete//NN|NEU|SIN|IND|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 resultera//VB|INF|AKT//ROOT//3 i//PP//case//6 kortare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 rapporter//NN|UTR|PLU|IND|NOM//obl//3 som//HP|-|-|-//nsubj//9 kan//VB|PRS|AKT//aux//9 utgöra//VB|INF|AKT//acl:relcl//6 underlag//NN|NEU|SIN|IND|NOM//obj//9 för//PP//case//13 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//13 ställningstaganden//NN|NEU|PLU|IND|NOM//nmod//10 vid//PP//case//15 toppmötet//NN|NEU|SIN|DEF|NOM//obl//9 .//MAD//punct//3
Uppdraget;En//DT|UTR|SIN|IND//det//19 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//19 del//NN|UTR|SIN|IND|NOM//appos//3 av//PP//case//22 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//22 arbete//NN|NEU|SIN|IND|NOM//nmod//19 är//VB|PRS|AKT//cop//19 att//IE//mark//25 öka//VB|INF|AKT//csubj//19 kunskapen//NN|UTR|SIN|DEF|NOM//obj//25 i//PP//case//30 det//DT|NEU|SIN|DEF//det//30 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 samhället//NN|NEU|SIN|DEF|NOM//obl//25 om//PP//case//32 livsmedelssituationen//NN|UTR|SIN|DEF|NOM//obl//25 i//PP//case//34 världen//NN|UTR|SIN|DEF|NOM//nmod//32 ,//MID//punct//25 om//SN//case//37 sambanden//NN|NEU|PLU|DEF|NOM//obl//25 mellan//PP//case//39 fattigdom//NN|UTR|SIN|IND|NOM//nmod//37 och//KN//cc//41 svält//NN|UTR|SIN|IND|NOM//conj//39 samt//KN//cc//43 betydelsen//NN|UTR|SIN|DEF|NOM//conj//39 av//PP//case//46 det//DT|NEU|SIN|DEF//det//46 arbete//NN|NEU|SIN|IND|NOM//nmod//43 som//HP|-|-|-//obj//53 FAO//PM|NOM//nsubj//53 och//KN//cc//52 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 aktörer//NN|UTR|PLU|IND|NOM//conj//48 bedriver//VB|PRS|AKT//acl:relcl//46 för//PP//mark//57 att//IE//mark//57 kunna//VB|INF|AKT//aux//57 uppnå//VB|INF|AKT//advcl//53 handlingsplanens//NN|UTR|SIN|DEF|GEN//nmod:poss//59 mål//NN|NEU|PLU|IND|NOM//obj//57 .//MAD//punct//19
Uppdraget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//63 bör//VB|PRS|AKT//aux//63 lägga//VB|INF|AKT//conj//3 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//65 vikt//NN|UTR|SIN|IND|NOM//obj//63 vid//PP//case//67 dialog//NN|UTR|SIN|IND|NOM//obl//63 med//PP//case//70 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//70 intresseorganisationer//NN|UTR|PLU|IND|NOM//nmod//67 .//MAD//punct//72
Uppdraget;Seminarier//NN|NEU|PLU|IND|NOM//nsubj//84 och//KN//cc//74 konferenser//NN|UTR|PLU|IND|NOM//conj//72 som//HP|-|-|-//nsubj//76 behandlar//VB|PRS|AKT//acl:relcl//74 frågor//NN|UTR|PLU|IND|NOM//obj//76 med//PP//case//79 anknytning//NN|UTR|SIN|IND|NOM//nmod//77 till//PP//case//81 toppmötet//NN|NEU|SIN|DEF|NOM//nmod//79 kan//VB|PRS|AKT//aux//84 vara//VB|INF|AKT//cop//84 inslag//NN|NEU|SIN|IND|NOM//conj//63 i//PP//case//86 kunskapsspridningen//NN|UTR|SIN|DEF|NOM//obl//84 .//MAD//punct//63
Uppdraget;I//PP//case//2 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//2 arbete//NN|NEU|SIN|IND|NOM//obl//3 ingår//VB|PRS|AKT//ROOT//3 att//IE//mark//5 utarbeta//VB|INF|AKT//xcomp//3 en//DT|UTR|SIN|IND//det//7 slutrapport//NN|UTR|SIN|IND|NOM//obj//5 där//HA//mark//12 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//12 bl.a.//AB|AN//advmod//12 skall//VB|PRS|AKT//aux//12 ingå//VB|INF|AKT//acl:relcl//7 en//DT|UTR|SIN|IND//det//14 bedömning//NN|UTR|SIN|IND|NOM//obj//12 av//PP//case//17 toppmötets//NN|NEU|SIN|DEF|GEN//nmod:poss//17 genomförande//NN|NEU|SIN|IND|NOM//nmod//14 och//KN//cc//19 resultat//NN|NEU|SIN|IND|NOM//conj//17 .//MAD//punct//3
Uppdraget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//24 skall//VB|PRS|AKT//aux//24 också//AB//advmod//24 redovisa//VB|INF|AKT//conj//3 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 konsekvenser//NN|UTR|PLU|IND|NOM//obj//24 av//PP//case//30 de//DT|UTR/NEU|PLU|DEF//det//30 förslag//NN|NEU|PLU|IND|NOM//obl//24 och//KN//cc//32 rapporter//NN|UTR|PLU|IND|NOM//conj//30 som//HP|-|-|-//obj//35 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//35 presenterar//VB|PRS|AKT//acl:relcl//32 .//MAD//punct//3
Uppdraget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 vidare//AB|KOM//advmod//3 bidra//VB|INF|AKT//ROOT//3 till//PP//case//5 genomförandet//NN|NEU|SIN|DEF|NOM//obl//3 av//PP//case//8 den//DT|UTR|SIN|DEF//det//8 konferens//NN|UTR|SIN|IND|NOM//nmod//5 om//PP//case//12 ”//PM|NOM//punct//12 The//PM|NOM//det//12 Role//PM|NOM//nmod//8 of//PM|NOM//case//15 Women//PM|NOM//nmod//15 Fighting//PM|NOM//nmod//12 Poverty//PM|NOM//conj//12 and//PM|NOM//punct//12 Hunger//PM|NOM//conj//12 ”//PM|NOM//punct//12 som//HP|-|-|-//obl//25 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//25 tillsammans//AB//advmod//24 med//PP//case//24 FAO//PM|NOM//obl//25 planerar//VB|PRS|AKT//acl:relcl//12 att//IE//mark//27 genomföra//VB|INF|AKT//xcomp//25 i//PP//case//29 anslutning//NN|UTR|SIN|IND|NOM//obl//27 till//PP//case//31 toppmötet//NN|NEU|SIN|DEF|NOM//obl//27 i//PP//case//33 Rom//PM|NOM//nmod//31 .//MAD//punct//12
Uppdraget;Regeringskansliets//NN|NEU|SIN|DEF|GEN//nmod:poss//1 stöd//NN|NEU|SIN|IND|NOM//nsubj//18 till//PP//case//4 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//4 arbete//NN|NEU|SIN|IND|NOM//nmod//1 i//PP//case//6 förberedelserna//NN|UTR|PLU|DEF|NOM//nmod//4 inför//PP//case//8 WFSfyl//UO//nmod//1 och//KN//cc//10 arrangemang//NN|NEU|PLU|IND|NOM//conj//8 i//PP//case//12 anslutning//NN|UTR|SIN|IND|NOM//nmod//10 till//PP//case//14 toppmötet//NN|NEU|SIN|DEF|NOM//nmod//10 är//VB|PRS|AKT//cop//18 av//PP//case//18 interdepartemental//JJ|POS|UTR|SIN|IND|NOM//nmod//18 karaktär//NN|UTR|SIN|IND|NOM//ROOT//18 .//MAD//punct//18

Redovisning av uppdraget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//3 redovisa//VB|INF|AKT//ROOT//3 sitt//PS|NEU|SIN|DEF//nmod:poss//5 arbete//NN|NEU|SIN|IND|NOM//obj//3 för//PP//case//7 regeringen//NN|UTR|SIN|DEF|NOM//obl//3 .//MAD//punct//3
Redovisning av uppdraget;Rapporteringen//NN|UTR|SIN|DEF|NOM//conj//3 skall//VB|PRS|AKT//aux//12 huvudsakligen//AB//advmod//12 ske//VB|INF|AKT//conj//3 genom//PP//case//16 korta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 skriftliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 rapporter//NN|UTR|PLU|IND|NOM//obl//12 som//HP|-|-|-//nsubj//19 kan//VB|PRS|AKT//aux//19 utgöra//VB|INF|AKT//acl:relcl//16 underlag//NN|NEU|SIN|IND|NOM//obj//19 för//PP//case//23 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//23 ställningstaganden//NN|NEU|PLU|IND|NOM//nmod//20 inför//PP//case//25 toppmötet//NN|NEU|SIN|DEF|NOM//obl//19 .//MAD//punct//3
Redovisning av uppdraget;Efter//PP//case//28 toppmötet//NN|NEU|SIN|DEF|NOM//obl//31 skall//VB|PRS|AKT//aux//31 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//31 utarbeta//VB|INF|AKT//conj//3 en//DT|UTR|SIN|IND//det//33 slutrapport//NN|UTR|SIN|IND|NOM//obj//31 om//PP//case//36 sitt//PS|NEU|SIN|DEF//nmod:poss//36 arbete//NN|NEU|SIN|IND|NOM//obl//31 som//HP|-|-|-//nsubj//40 också//AB//advmod//40 skall//VB|PRS|AKT//aux//40 innehålla//VB|INF|AKT//acl:relcl//36 en//DT|UTR|SIN|IND//det//42 utvärdering//NN|UTR|SIN|IND|NOM//obj//40 av//PP//case//45 toppmötets//NN|NEU|SIN|DEF|GEN//nmod:poss//45 genomförande//NN|NEU|SIN|IND|NOM//nmod//42 och//KN//cc//47 resultat//NN|NEU|PLU|IND|NOM//conj//45 .//MAD//punct//31
Redovisning av uppdraget;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//50 slutrapport//NN|UTR|SIN|IND|NOM//nsubj:pass//52 skall//VB|PRS|AKT//aux//52 redovisas//VB|INF|SFO//parataxis//31 senast//AB|SUV//case//56 den//DT|UTR|SIN|DEF//det//55 31//RG|NOM//nummod//56 augusti//NN|UTR|SIN|IND|NOM//obl//52 2002//RG|NOM//nummod//56 .//MAD//punct//3
Redovisning av uppdraget;(//PAD//punct//1 Jordbruksdepartementet//NN|NEU|SIN|DEF|NOM//ROOT//1 )//PAD//punct//1

