Sammanfattning i delrapporten (SOU:152) Vindkraften en ren energikälla tar plats;(//PAD//punct//1 Utdrag//NN|NEU|SIN|IND|NOM//ROOT//1 )//PAD//punct//1
Områdesskydd;Enligt//PP//case//87 18//RG|NOM//nummod//87 §//NN|AN//obl//90 får//VB|PRS|AKT//aux//90 länsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//90 meddela//VB|INF|AKT//conj//9 dispens//NN|UTR|SIN|IND|NOM//obj//90 från//PP//case//93 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//90 i//PP//case//96 16//RG|NOM//nummod//96 §//NN|AN//nmod//93 ,//MID//punct//90 om//SN//mark//100 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//100 finns//VB|PRS|SFO//advcl//90 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//102 skäl//NN|NEU|PLU|IND|NOM//nsubj//100 .//MAD//punct//9
Områdesskydd;Särskilt//AB//advmod//1 skydds-//NN|NEU|-|-|SMS//ROOT//1 eller//KN//cc//3 bevarandeområde//NN|NEU|SIN|IND|NOM//conj//1
Områdesskydd;Enligt//PP//case//2 28//RG|NOM//nummod//2 §//NN|AN//obl//5 får//VB|PRS|AKT//aux//5 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//5 förklara//VB|INF|AKT//ROOT//5 ett//DT|NEU|SIN|IND//det//7 område//NN|NEU|SIN|IND|NOM//obj//5 som//KN//mark//10 särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//10 skyddsområde//NN|NEU|SIN|IND|NOM//acl//7  //_SP////10 om//PP//case//13 området//NN|NEU|SIN|DEF|NOM//obl//5 enligt//PP//case//16 ministerrådets//NN|NEU|SIN|DEF|GEN//nmod:poss//16 direktiv//NN|NEU|SIN|IND|NOM//nmod//13 om//PP//case//18 bevarande//NN|NEU|SIN|IND|NOM//nmod//13 av//PP//case//21 vilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 fåglar//NN|UTR|PLU|IND|NOM//nmod//18 är//VB|PRS|AKT//cop//24 särskilt//AB//advmod//24 betydelsefullt//JJ|POS|NEU|SIN|IND|NOM//ccomp//5 för//PP//case//26 skyddet//NN|NEU|SIN|DEF|NOM//obl//24 av//PP//case//29 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//29 fåglar//NN|UTR|PLU|IND|NOM//nmod//26 .//MAD//punct//5
Områdesskydd;Ett//DT|NEU|SIN|IND//det//1 område//NN|NEU|SIN|IND|NOM//nsubj:pass//15 som//HP|-|-|-//nsubj:pass//4 har//VB|PRS|AKT//aux//4 utpekats//VB|SUP|SFO//acl:relcl//1 som//KN//case//7 ett//DT|NEU|SIN|IND//det//7 område//NN|NEU|SIN|IND|NOM//obl//4 av//PP//case//9 intresse//NN|NEU|SIN|IND|NOM//nmod//7 för//PP//case//11 EG//PM|NOM//nmod//9 skall//VB|PRS|AKT//aux//15 av//PP//case//14 regeringen//NN|UTR|SIN|DEF|NOM//obl//15 förklaras//VB|PRS|SFO//ROOT//15 som//KN//mark//18 särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//18 bevarandeområde//NN|NEU|SIN|IND|NOM//xcomp//15  //_SP////18 enligt//PP//case//22 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//22 direktiv//NN|NEU|SIN|IND|NOM//obl//15 om//PP//case//24 bevarande//NN|NEU|SIN|IND|NOM//nmod//22 av//PP//case//26 livsmiljöer//NN|UTR|PLU|IND|NOM//nmod//24 samt//KN//cc//29 vilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 djur//NN|NEU|PLU|IND|NOM//conj//26 och//KN//cc//31 växter//NN|UTR|PLU|IND|NOM//conj//29 .//MAD//punct//15
Områdesskydd;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 får//VB|PRS|AKT//aux//15 efter//PP//case//3 samråd//NN|NEU|SIN|IND|NOM//obl//1 med//PP//case//5 kommissionen//NN|UTR|SIN|DEF|NOM//nmod//3 upphäva//VB|INF|AKT//conj//1 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//8 förklarin//NN|NEU|PLU|IND|NOM//obj//6 gar//VB|PRS|AKT//obj//1 om//PP//case//12 områdets//NN|NEU|SIN|DEF|GEN//nmod:poss//12 naturvärden//NN|NEU|PLU|IND|NOM//nmod//9 inte//AB//advmod//14 längre//AB|KOM//advmod//15 motiverar//VB|PRS|AKT//ROOT//15 en//DT|UTR|SIN|IND//det//17 förklaring//NN|UTR|SIN|IND|NOM//obj//15 .//MAD//punct//15
Områdesskydd;Av//PP//case//2 29//RG|NOM//nummod//2 §//NN|AN//obl//3 framgår//VB|PRS|AKT//ROOT//3 att//SN//mark//18 för//PP//case//7 ett//DT|NEU|SIN|IND//det//7 område//NN|NEU|SIN|IND|NOM//obl//18 som//HP|-|-|-//nsubj:pass//10 har//VB|PRS|AKT//aux//10 förklarats//VB|SUP|SFO//acl:relcl//7 som//KN//mark//14 ett//DT|NEU|SIN|IND//det//14 särskilt//PC|PRF|NEU|SIN|IND|NOM//amod//14 skyddsområde//NN|NEU|SIN|IND|NOM//obl//10 eller//KN//cc//17 särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//17 bevarandeområde//NN|NEU|SIN|IND|NOM//conj//14 får//VB|PRS|AKT//csubj//3 beslut//NN|NEU|SIN|IND|NOM//obj//18 om//PP//mark//25 att//IE//mark//25 helt//AB|POS//advmod//25 eller//KN//cc//24 delvis//AB//conj//22 upphäva//VB|INF|AKT//acl//19 områdesskyddet//NN|NEU|SIN|DEF|NOM//obj//25 ,//MID//punct//29 om//SN//mark//29 dispens//NN|UTR|SIN|IND|NOM//conj//25 från//PP//case//31 skyddsföreskrifter//NN|UTR|PLU|IND|NOM//obl//29 eller//KN//cc//34 om//SN//case//34 tillstånd//NN|NEU|SIN|IND|NOM//nsubj:pass//40 enligt//PP//case//38 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//38 före//PP//case//38 skrifter//NN|UTR|PLU|IND|NOM//nmod//34 inte//AB//advmod//40 meddelas//VB|PRS|SFO//conj//25 utan//PP//case//43 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//43 tillåtelse//NN|UTR|SIN|IND|NOM//obl//40 .//MAD//punct//3
Områdesskydd;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//46 gäller//VB|PRS|AKT//parataxis//3 dock//AB//advmod//46 inte//AB//advmod//46 beslut//NN|NEU|SIN|IND|NOM//obj//46 om//PP//case//51 dispens//NN|UTR|SIN|IND|NOM//obl//46 eller//KN//cc//53 tillstånd//NN|NEU|SIN|IND|NOM//conj//51 för//PP//case//62 en//DT|UTR|SIN|IND//det//57 viss//JJ|POS|UTR|SIN|IND|NOM//amod//57 _//PM|NOM//nmod//58 _//PM|NOM//nmod//59 _//PM|NOM//nmod//60 _//PM|NOM//nmod//61 _//PM|NOM//nmod:poss//62 verksamhet//NN|UTR|SIN|IND|NOM//obl//46 ,//MID//punct//46 om//SN//mark//67 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//67 är//VB|PRS|AKT//cop//67 uppenbart//JJ|POS|NEU|SIN|IND|NOM//advcl//46 att//SN//mark//73 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj//73 inte//AB//advmod//73 kommer//VB|PRS|AKT//aux//73 att//IE//mark//73 orsaka//VB|INF|AKT//csubj//67 mer//AB|KOM//advmod//77 än//KN//case//77 obetydlig//JJ|POS|UTR|SIN|IND|NOM//amod//77 skada//NN|UTR|SIN|IND|NOM//obj//73 på//PP//case//80 områdets//NN|NEU|SIN|DEF|GEN//nmod:poss//80 naturvärden//NN|NEU|PLU|IND|NOM//nmod//77 .//MAD//punct//3
Områdesskydd;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//3 förordningen//NN|UTR|SIN|DEF|NOM//obl//12 (//PAD//punct//3 1998:1252//RG|NOM//appos//3 )//PAD//punct//5 om//PP//mark//8 områdesskydd//NN|NEU|SIN|IND|NOM//conj//3 enligt//PP//case//11 MB//PM|NOM//nmod//11 m.m.//AB|AN//obl//8 anges//VB|PRS|SFO//ROOT//12 närmare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//12 om//PP//case//16 biotopskyddsområden//NN|NEU|PLU|IND|NOM//nmod//14 ,//MID//punct//18 5–8//RG|NOM//conj//12 §//NN|AN//nmod//20 §//NN|AN//obl//18 ,//MID//punct//18 om//SN//case//23 djur-//NN|NEU|-|-|SMS//obl//18 och//KN//cc//25 växtskyddsområden//NN|NEU|PLU|IND|NOM//conj//23 ,//MID//punct//23 9–10//NN|NEU|SIN|DEF|NOM//nummod//28 §//NN|AN//nmod//29 §//NN|AN//conj//23 ,//MID//punct//18 om//SN//case//32 strandskydsområden//NN|UTR|SIN|DEF|NOM//obl//18 ,//MID//punct//32 11–12//RG|NOM//nummod//35 §//NN|AN//nmod//36 §//NN|AN//nmod//32 och//KN//cc//40 om//SN//case//40 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//40 skydds-//NN|NEU|-|-|SMS//conj//32 eller//KN//cc//42 bevarandeområden//NN|NEU|PLU|IND|NOM//conj//40 ,//MID//punct//40 16–20//RG|NOM//nummod//46 §//NN|AN//nmod//46 §//NN|AN//conj//32 .//MAD//punct//12

Miljökonsekvensbeskrivningar och samråd;Enligt//PP//case//2 6//RG|NOM//nummod//2 kap.//NN|AN//nmod//5 1//RG|NOM//nummod//4 §//NN|AN//nmod//5 MB//PM|NOM//ROOT//5 skall//VB|PRS|AKT//punct//5 för//PP//case//8 verksamheter//NN|UTR|PLU|IND|NOM//obl//6 som//HP|-|-|-//nsubj:pass//11 kan//VB|PRS|AKT//aux//11 antas//VB|INF|SFO//acl:relcl//8 medföra//VB|INF|AKT//xcomp//11 bet//NN|UTR|SIN|IND|NOM//nsubj//12 ydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 miljöpåverkan//NN|UTR|SIN|IND|NOM//obj//12 i//PP//case//18 en//DT|UTR|SIN|IND//det//18 ansökan//NN|UTR|SIN|IND|NOM//nmod//15 om//PP//case//20 tillstånd//NN|NEU|SIN|IND|NOM//nmod//18 enligt//PP//case//22 MB//PM|NOM//nmod//20 ingå//VB|INF|AKT//xcomp//12 en//DT|UTR|SIN|IND//det//26 miljöko//AB//amod//26 nsekvensbeskrivning//NN|UTR|SIN|IND|NOM//nsubj//23 (//PAD//punct//26 MKB//PM|NOM//appos//26 )//PAD//punct//26 .//MAD//punct//36
Miljökonsekvensbeskrivningar och samråd;Enligt//PP//case//32 den//DT|UTR|SIN|DEF//det//36 till//PP//case//34 MB//PM|NOM//nmod//36 knutna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//36 förordningen//NN|UTR|SIN|DEF|NOM//conj//5 (//PAD//punct//38 1998:905//RG|NOM//appos//36 )//PAD//punct//38 om//PP//case//41 miljökonsekvensbeskrivningar//NN|UTR|PLU|IND|NOM//nmod//36 skall//VB|PRS|AKT//aux//61 en//DT|UTR|SIN|IND//det//44 gruppstation//NN|UTR|SIN|IND|NOM//nsubj:pass//61 med//PP//case//46 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//44 eller//KN//cc//48 vindkraftverk//NN|NEU|PLU|IND|NOM//conj//46 med//PP//case//51 enstaka//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 aggregat//NN|NEU|PLU|IND|NOM//nmod//48 med//PP//case//54 en//DT|UTR|SIN|IND//det//54 uteffekt//NN|UTR|SIN|IND|NOM//nmod//44 av//PP//case//56 mer//AB|KOM//nmod//54 än//KN//case//59 1//RG|NOM//nummod//59 MW//NN|AN//nmod//56 alltid//AB//advmod//61 antas//VB|PRS|SFO//punct//5 medföra//VB|INF|AKT//xcomp//61 en//DT|UTR|SIN|IND//det//65 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//65 miljöpåverkan//NN|UTR|SIN|IND|NOM//obj//62 ,//MID//punct//65 dvs.//AB|AN//advmod//69 en//DT|UTR|SIN|IND//det//69 MKB//PM|NOM//nsubj:pass//71 skall//VB|PRS|AKT//aux//71 upprättas//VB|INF|SFO//acl:relcl//65 för//PP//case//74 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//74 etableringar//NN|UTR|PLU|IND|NOM//obl//71 .//MAD//punct//5
Miljökonsekvensbeskrivningar och samråd;Enligt//PP//case//4 6//RG|NOM//nummod//2 kap.//NN|AN//nmod//4 4//RG|NOM//nummod//4 §//NN|AN//obl//6 är//VB|PRS|AKT//cop//6 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//16 som//HP|-|-|-//nsubj//8 avser//VB|PRS|AKT//acl:relcl//6 att//IE//mark//10 bedriva//VB|INF|AKT//xcomp//8 en//PN|UTR|SIN|IND|SUB/OBJ//det//15 enligt//PP//case//13 MB//PM|NOM//obl//14 tillståndspliktig//JJ|POS|UTR|SIN|IND|NOM//amod//15 verksamhet//NN|UTR|SIN|IND|NOM//obj//10 skyldig//JJ|POS|UTR|SIN|IND|NOM//ROOT//16 att//IE//mark//24 i//PP//case//20 god//JJ|POS|UTR|SIN|IND|NOM//amod//20 tid//NN|UTR|SIN|IND|NOM//obl//24 innan//SN//case//23 en//DT|UTR|SIN|IND//det//23 ansökan//NN|UTR|SIN|IND|NOM//nsubj:pass//24 görs//VB|PRS|SFO//advcl//16 och//KN//cc//29 en//DT|UTR|SIN|IND//det//27 MKB//PM|NOM//nmod//28 up//UO//nummod//29 prättas//UO//conj//24 informera//VB|INF|AKT//xcomp//24 och//KN//cc//32 samråda//VB|INF|AKT//conj//30 med//PP//case//34 länsstyrelsen//NN|UTR|SIN|DEF|NOM//obl//24 och//KN//cc//36 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//34 som//HP|-|-|-//nsubj:pass//39 kan//VB|PRS|AKT//aux//39 antas//VB|INF|SFO//acl:relcl//34 bli//VB|INF|AKT//advcl//16 särskilt//AB//advmod//42 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//40 .//MAD//punct//16
Miljökonsekvensbeskrivningar och samråd;Enligt//PP//case//4 6//RG|NOM//nummod//2 kap.//NN|AN//obl//3 5//RG|NOM//nummod//4 §//NN|AN//obl//15 skall//VB|PRS|AKT//aux//15 med//PP//case//8 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//8 myndigheter//NN|UTR|PLU|IND|NOM//obl//15 ,//MID//punct//10 kommuner//NN|UTR|PLU|IND|NOM//conj//8 ,//MID//punct//12 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//8 och//KN//cc//14 organisationer//NN|UTR|PLU|IND|NOM//conj//8 ske//VB|INF|AKT//ROOT//15 ett//DT|NEU|SIN|IND//det//18 utökat//PC|PRF|NEU|SIN|IND|NOM//amod//18 samråd//NN|NEU|SIN|IND|NOM//nsubj//15 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//21 verksamhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//21 lokalisering//NN|UTR|SIN|IND|NOM//nmod//18 ,//MID//punct//23 omfattning//NN|UTR|SIN|IND|NOM//conj//21 ,//MID//punct//25 utformning//NN|UTR|SIN|IND|NOM//conj//21 och//KN//cc//27 miljöpåverkan//NN|UTR|SIN|IND|NOM//conj//21 samt//KN//cc//29 miljökonsekvensbeskri//VB|SUP|AKT//conj//18 vningens//NN|NEU|PLU|DEF|GEN//nmod:poss//31 innehåll//NN|NEU|SIN|IND|NOM//obj//29 och//KN//cc//33 utformning//NN|UTR|SIN|IND|NOM//conj//31 .//MAD//punct//15

Plan och bygglagen;Plan//NN|UTR|SIN|IND|NOM//nsubj//9 och//KN//cc//2 bygglagen//NN|UTR|SIN|DEF|NOM//conj//0 (//PAD//punct//2 1987:10//RG|NOM//conj//0 )//PAD//punct//0 ,//MID//punct//7 PBL//PM|NOM//conj//0 ,//MID//punct//0 innehåller//VB|PRS|AKT//ROOT//9 bestämmelser//NN|UTR|PLU|IND|NOM//obj//9 om//PP//case//13 fysisk//JJ|POS|UTR|SIN|IND|NOM//amod//13 planläggning//NN|UTR|SIN|IND|NOM//nmod//10 och//KN//cc//15 bygglov//NN|NEU|SIN|IND|NOM//conj//13 .//MAD//punct//9
Plan och bygglagen;Enligt//PP//case//2 8//RG|NOM//nummod//2 kap.//NN|AN//obl//4 2//RG|NOM//nummod//4 §//NN|AN//nsubj:pass//8 första//RO|NOM//amod//6 stycket//NN|NEU|SIN|DEF|NOM//nmod//4 6//RG|NOM//nummod//6 krävs//VB|PRS|SFO//ROOT//8 bygglov//NN|NEU|SIN|IND|NOM//nsubj:pass//8 för//PP//mark//12 att//IE//mark//12 uppföra//VB|INF|AKT//advcl//8 vindkraf//NN|UTR|SIN|IND|NOM//amod//14 tverk//NN|NEU|PLU|IND|NOM//obj//12 ·//AB|AN//obj//12 om//PP//mark//20 vindturbinens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 diameter//NN|UTR|SIN|IND|NOM//nsubj//20 är//VB|PRS|AKT//cop//20 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//8 än//KN//case//23 2//RG|NOM//nummod//23 m//NN|AN//nmod//20 ,//MID//punct//23 ·//AB|AN//conj//20 om//SN//case//27 kraftverket//NN|NEU|SIN|DEF|NOM//nmod//25 placeras//VB|PRS|SFO//conj//8 mindre//AB|KOM//advmod//32 än//KN//fixed//29 kraftverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//32 höjd//NN|UTR|SIN|IND|NOM//obl//28 innanför//PP//case//35 tomtgrä//NN|UTR|SIN|DEF|GEN//amod//35 nsen//NN|UTR|SIN|DEF|NOM//nmod//32 eller//KN//punct//8
Plan och bygglagen;Dispens//NN|UTR|SIN|IND|NOM//nsubj:pass//4 från//PP//case//2 bygglov//NN|NEU|SIN|IND|NOM//nmod//0 kan//VB|PRS|AKT//aux//4 ges//VB|INF|SFO//ROOT//4 om//SN//case//7 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//amod//7 reglering//NN|UTR|SIN|IND|NOM//obl//4 sker//VB|PRS|AKT//advcl//4 genom//PP//case//10 detaljplan//NN|UTR|SIN|IND|NOM//obl//8 .//MAD//punct//4
Plan och bygglagen;Om//SN//mark//5 en//DT|UTR|SIN|IND//det//2 anläggning//NN|UTR|SIN|IND|NOM//nsubj:pass//5 inte//AB//advmod//5 kan//VB|PRS|AKT//aux//5 prövas//VB|INF|SFO//advcl//22 i//PP//case//9 samband//NN|NEU|SIN|IND|NOM//fixed//6 med//PP//fixed//6 bygglov//NN|NEU|SIN|IND|NOM//obl//5 eller//KN//cc//11 förhandsb//PC|PRF|NEU|SIN|IND|NOM//conj//9 esked//NN|UTR|SIN|IND|NOM//conj//9 och//KN//cc//19 om//SN//mark//19 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//amod//16 reglering//NN|UTR|SIN|IND|NOM//nsubj//19 inte//AB//advmod//19 har//VB|PRS|AKT//aux//19 skett//VB|SUP|AKT//conj//5 genom//PP//case//21 områdesbestämmelser//NN|UTR|PLU|IND|NOM//obl//19 krävs//VB|PRS|SFO//ROOT//22 ,//MID//punct//22 enligt//PP//case//26 5//RG|NOM//nummod//26 kap.//NN|AN//nmod//29 1//RG|NOM//nummod//28 §//NN|AN//nmod//29 PBL//PM|NOM//obl//22 ,//MID//punct//31 detaljplan//NN|UTR|SIN|DEF|NOM//conj//29 för//PP//case//35 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//35 bygglovpliktig//JJ|POS|UTR|SIN|IND|NOM//amod//35 anläggning//NN|UTR|SIN|IND|NOM//nmod//31 ·//RG|NOM//conj//29 som//HP|-|-|-//nsubj:pass//39 skall//VB|PRS|AKT//aux//39 förläggas//VB|INF|SFO//acl:relcl//29 inom//PP//case//42 ett//DT|NEU|SIN|IND//det//42 område//NN|NEU|SIN|IND|NOM//obl//39 där//HA//advmod//45 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//45 råder//VB|PRS|AKT//acl:relcl//29 stor//JJ|POS|UTR|SIN|IND|NOM//amod//47 efterfrågan//NN|UTR|SIN|IND|NOM//nsubj//45 på//PP//case//49 mark//NN|UTR|SIN|IND|NOM//nmod//47 för//PP//case//51 bebyggelse//NN|UTR|SIN|IND|NOM//obl//45 .//MAD//punct//22
Plan och bygglagen;Enligt//PP//case//4 5//RG|NOM//nummod//2 kap.//NN|AN//obl//3 18//RG|NOM//nummod//4 §//NN|AN//obl//8 skall//VB|PRS|AKT//aux//8 en//DT|UTR|SIN|IND//det//7 detaljplan//NN|UTR|SIN|IND|NOM//nsubj:pass//8 grundas//VB|PRS|SFO//ROOT//8 på//PP//case//11 ett//DT|NEU|SIN|IND//det//11 program//NN|NEU|SIN|IND|NOM//obl//8 som//HP|-|-|-//nsubj//13 anger//VB|PRS|AKT//acl:relcl//11 utgångspunkter//NN|UTR|PLU|IND|NOM//obj//13 och//KN//cc//16 mål//NN|NEU|PLU|IND|NOM//conj//14 för//PP//case//18 planen//NN|UTR|SIN|DEF|NOM//obl//13 ,//MID//punct//8 om//SN//mark//24 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//24 inte//AB//advmod//24 är//VB|PRS|AKT//cop//24 onödigt//JJ|POS|NEU|SIN|IND|NOM//advcl//8 .//MAD//punct//24
Plan och bygglagen;En//DT|UTR|SIN|IND//det//27 detaljplan//NN|UTR|SIN|IND|NOM//nsubj:pass//30 får//VB|PRS|AKT//aux//30 inte//AB//advmod//30 göras//VB|INF|SFO//parataxis//24 mer//AB|KOM//advmod//32 detaljerad//PC|PRF|UTR|SIN|IND|NOM//xcomp//30 än//KN//mark//36 som//HP|-|-|-//nsubj//36 är//VB|PRS|AKT//cop//36 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//acl//32 med//PP//case//40 hänsyn//NN|UTR|SIN|IND|NOM//fixed//37 till//PP//fixed//37 syftet//NN|NEU|SIN|DEF|NOM//obl//36 med//PP//case//42 den//PN|UTR|SIN|DEF|SUB/OBJ//nmod//40 .//MAD//punct//8
Plan och bygglagen;(//PAD//punct//8 5//RG|NOM//nummod//46 kap.//NN|AN//nmod//48 7//RG|NOM//nummod//48 §//NN|AN//obl//8 .//MAD//punct//8 )//PAD//punct//8
Plan och bygglagen;En//DT|UTR|SIN|IND//det//52 MKB//PM|NOM//nsubj:pass//54 skall//VB|PRS|AKT//aux//54 upprättas//VB|INF|SFO//conj//8 om//SN//mark//57 planen//NN|UTR|SIN|DEF|NOM//nsubj//57 medger//VB|PRS|AKT//advcl//54 en//DT|UTR|SIN|IND//det//59 användning//NN|UTR|SIN|IND|NOM//obj//57 som//HP|-|-|-//nsubj//61 innebär//VB|PRS|AKT//acl:relcl//59 en//DT|UTR|SIN|IND//det//64 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//64 påverkan//NN|UTR|SIN|IND|NOM//obj//61 på//PP//case//66 miljön//NN|UTR|SIN|DEF|NOM//nmod//64 ,//MID//punct//68 hälsan//NN|UTR|SIN|DEF|NOM//conj//64 eller//KN//cc//70 hushål//VB|PRT|AKT//conj//64 lningen//NN|UTR|SIN|DEF|NOM//obj//70 med//PP//case//73 mark//NN|UTR|SIN|IND|NOM//obl//70 och//KN//cc//75 vatten//NN|NEU|SIN|IND|NOM//conj//73 och//KN//cc//78 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//78 resurser//NN|UTR|PLU|IND|NOM//conj//73 .//MAD//punct//8
Plan och bygglagen;Enligt//PP//case//4 5//RG|NOM//nummod//2 kap.//NN|AN//nmod//3 16//RG|NOM//nummod//4 §//NN|AN//obl//7 kan//VB|PRS|AKT//aux//7 områdesbestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//7 antas//VB|INF|SFO//ROOT//7 för//PP//advmod//9 begränsade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advmod//10 o//KN//nummod//11 mråden//NN|NEU|PLU|IND|NOM//obl//7 för//PP//mark//14 att//IE//mark//14 säkerställa//VB|INF|AKT//acl//11 att//SN//mark//20 syftet//NN|NEU|SIN|DEF|NOM//nsubj:pass//20 med//PP//case//19 en//DT|UTR|SIN|IND//det//19 översiktsplan//NN|UTR|SIN|IND|NOM//nmod//16 uppnås//VB|INF|SFO//ccomp//14 eller//KN//cc//27 att//SN//mark//27 ett//DT|NEU|SIN|IND//det//24 riksintresse//NN|NEU|SIN|IND|NOM//nsubj:pass//27 enligt//PP//case//26 miljöbalken//NN|UTR|SIN|DEF|NOM//nmod//24 tillgodoses//VB|PRS|SFO//conj//20 .//MAD//punct//7
Plan och bygglagen;Enligt//PP//case//5 2//RG|NOM//nummod//2 kap.//NN|AN//nmod//5 1//RG|NOM//nummod//4 §//NN|AN//nmod//5 PBL//PM|NOM//obl//10 skall//VB|PRS|AKT//aux//10 mark-//NN|UTR|-|-|SMS//nsubj:pass//10 och//KN//cc//9 vattenområden//NN|NEU|PLU|IND|NOM//conj//7 användas//VB|INF|SFO//ROOT//10 för//PP//case//12 det//DT|NEU|SIN|DEF//obl//10 eller//KN//cc//15 de//DT|UTR/NEU|PLU|DEF//det//15 ändamål//NN|NEU|PLU|IND|NOM//conj//12 för//PP//mark//21 vilka//HP|UTR/NEU|PLU|IND//det//18 områdena//NN|NEU|PLU|DEF|NOM//nsubj//21 är//VB|PRS|AKT//cop//21 mest//AB|SUV//advmod//21 lämpade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//10 med//PP//case//25 hänsyn//NN|UTR|SIN|IND|NOM//fixed//22 till//PP//fixed//22 beskaffe//UO//obl//21 nhet//NN|UTR|SIN|IND|NOM//conj//25 och//KN//cc//28 läge//NN|NEU|SIN|IND|NOM//conj//26 samt//KN//cc//31 föreliggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 behov//NN|NEU|SIN|IND|NOM//conj//25 .//MAD//punct//10
Plan och bygglagen;Företräde//NN|NEU|SIN|IND|NOM//nsubj//35 skall//VB|PRS|AKT//aux//35 ges//VB|INF|SFO//parataxis//10 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//37 användning//NN|UTR|SIN|IND|NOM//obj//35 som//HP|-|-|-//nsubj//39 medför//VB|PRS|AKT//acl:relcl//37 en//DT|UTR|SIN|IND//det//45 från//PP//case//43 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//43 synpunkt//NN|UTR|SIN|IND|NOM//obl//44 god//JJ|POS|UTR|SIN|IND|NOM//amod//45 hushållning//NN|UTR|SIN|IND|NOM//obj//39 .//MAD//punct//35
Plan och bygglagen;Vid//PP//case//48 planläggning//NN|UTR|SIN|IND|NOM//obl//62 och//KN//cc//51 i//PP//case//51 ärenden//NN|NEU|PLU|IND|NOM//conj//48 om//PP//case//53 bygglov//NN|NEU|SIN|IND|NOM//nmod//51 skall//VB|PRS|AKT//aux//62 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//62 i//PP//case//61 3//RG|NOM//nummod//60 och//KN//cc//57 4//RG|NOM//nummod//57 kap.//NN|AN//nmod//61 MB//PM|NOM//obl//62 tillämpas//VB|PRS|SFO//advcl//35 .//MAD//punct//10
