"""%(/6 /#( +/34.!$%2";Bilagor//NN|UTR|PLU|IND|NOM//ROOT//0

Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;blästerugnar//NN|UTR|PLU|IND|NOM//ROOT//0 .//MID//punct//0
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande; //_SP////1 Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//6 var//VB|PRT|AKT//cop//6 vanligen//AB//advmod//6 sluttningar//NN|UTR|PLU|IND|NOM//parataxis//0 eller//KN//cc//8 avsatser//NN|UTR|PLU|IND|NOM//conj//6 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//10 myrar//NN|UTR|PLU|IND|NOM//nmod//6 eller//KN//cc//13 låglänt//JJ|POS|UTR|SIN|IND|NOM//amod//13 mark//NN|UTR|SIN|IND|NOM//conj//10 som//HP|-|-|-//nsubj:pass//15 togs//VB|PRT|SFO//acl:relcl//13 i//PP//case//17 anspråk//NN|NEU|SIN|IND|NOM//obl//15 eftersom//SN//mark//20 järnråvarorna//NN|UTR|PLU|DEF|NOM//nsubj:pass//20 utgjordes//VB|PRT|SFO//advcl//15 av//PP//case//22 myrmalm//NN|UTR|SIN|IND|NOM//obl:agent//20 eller//KN//cc//24 rödjord//NN|UTR|SIN|IND|NOM//conj//22 .//MAD//punct//6
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;Lämningar//NN|UTR|PLU|IND|NOM//nsubj:pass//32 efter//PP//case//30 den//DT|UTR|SIN|DEF//det//30 lågtekniska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 järnframställningen//NN|UTR|SIN|DEF|NOM//nmod//26 har//VB|PRS|AKT//aux//32 påträffats//VB|SUP|SFO//conj//6 på//PP//case//35 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 håll//NN|NEU|PLU|IND|NOM//obl//32 i//PP//case//37 landet//NN|NEU|SIN|DEF|NOM//nmod//35 .//MAD//punct//6
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;(//PAD//punct//40 Se//VB|IMP|AKT//parataxis//0 SNA//PM|NOM//obj//40 s.//NN|AN//nmod//43 54-55//RG|NOM//obj//40 )//PAD//punct//40 .//MAD//punct//40
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;Spår//NN|NEU|PLU|IND|NOM//nsubj//8 efter//PP//case//2 metallframställning//NN|UTR|SIN|IND|NOM//nmod//0 ,//MID//punct//6 framför//PP//case//6 allt//DT|NEU|SIN|IND/DEF//det//6 järn//NN|NEU|SIN|IND|NOM//conj//0 ,//MID//punct//8 finns//VB|PRS|SFO//ROOT//8 åtminstone//AB//advmod//8 från//PP//case//11 århundradena//NN|NEU|PLU|DEF|NOM//obl//8 före//PP//case//13 Kristus//PM|NOM//nmod//11 och//KN//cc//15 framöver//AB//conj//13 .//MAD//punct//8
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;Bergsbruket//NN|NEU|SIN|DEF|NOM//nsubj//22 i//PP//case//21 mer//AB|KOM//advmod//20 industriell//JJ|POS|UTR|SIN|IND|NOM//amod//21 mening//NN|UTR|SIN|IND|NOM//nmod//17 uppstod//VB|PRT|AKT//parataxis//8 under//PP//case//25 tidig//JJ|POS|UTR|SIN|IND|NOM//amod//25 medeltid//NN|UTR|SIN|IND|NOM//obl//22 ,//MID//punct//28 och//KN//cc//28 rörde//VB|PRT|AKT//conj//22 såväl//KN//advmod//31 järnsom//PP//case//31 koppar-//NN|UTR|-|-|SMS//obj//28 och//KN//cc//33 silverframställning//NN|UTR|SIN|IND|NOM//conj//31 .//MAD//punct//28
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;"Bergsbruket//NN|NEU|SIN|DEF|NOM//nsubj//36 hade//VB|PRT|AKT//parataxis//28 till//PP//case//39 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 delar//NN|UTR|PLU|IND|NOM//obl//36 en//DT|UTR|SIN|IND//det//42 permanent//JJ|POS|UTR|SIN|IND|NOM//amod//42 karaktär//NN|UTR|SIN|IND|NOM//obj//36 då//HA//mark//45 man//PN|UTR|SIN|IND|SUB//nsubj//45 tog//VB|PRT|AKT//acl:relcl//42 malmen//NN|UTR|SIN|DEF|NOM//obj//45 från//PP//case//48 gruvor//NN|UTR|PLU|IND|NOM//obl//45  //_SP////48 och//KN//cc//53 då//HA//advmod//53 bearbetningen//NN|UTR|SIN|DEF|NOM//nsubj//53 skedde//VB|PRT|AKT//conj//45 på//PP//case//55 hyttor//NN|UTR|PLU|IND|NOM//obl//53  //_SP////55 med//PP//case//58 masugnar//NN|UTR|PLU|IND|NOM//obl//53 ,//MID//punct//60 vattenhjul//NN|NEU|PLU|IND|NOM//conj//58 ,//MID//punct//62 rostningsgropar//NN|UTR|PLU|IND|NOM//conj//58 ,//MID//punct//64 smedjor//NN|UTR|PLU|IND|NOM//conj//58 ,//MID//punct//66 bodar//NN|UTR|PLU|IND|NOM//conj//58 ,//MID//punct//68 slaggvarp//NN|NEU|PLU|IND|NOM//conj//58 etc.//AB|AN//conj//58 En//DT|UTR|SIN|IND//det//72 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//72 råvara//NN|UTR|SIN|IND|NOM//nsubj:pass//73 utgjordes//VB|PRT|SFO//conj//36 dock//AB//advmod//73 av//PP//case//76 träkol//NN|NEU|SIN|IND|NOM//obl:agent//73 ,//MID//punct//76 som//HP|-|-|-//nsubj:pass//79 framställdes//VB|PRT|SFO//acl:relcl//76 i//PP//case//81 kolmilor//NN|UTR|PLU|IND|NOM//obl//79 ;//MID//punct//28"
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;av//PP//case//84 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//expl//85 återfinns//VB|PRS|SFO//conj//22 idag//AB//advmod//85 kolbottnar//NN|UTR|PLU|IND|NOM//nsubj//85  //_SP////87 i//PP//case//90 tusental//NN|NEU|PLU|IND|NOM//obl//87 .//MAD//punct//85
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;Till//PP//case//93 bergsbruket//NN|NEU|SIN|DEF|NOM//obl//94 hörde//VB|PRT|AKT//conj//8 även//AB//advmod//94 hundratals//NN|NEU|PLU|IND|GEN//nmod:poss//97 hammare//NN|UTR|PLU|IND|NOM//obj//94  //_SP////97 för//PP//case//100 vidareförädling//NN|UTR|SIN|IND|NOM//obl//94 .//MAD//punct//94
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;Lokaliseringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 av//PP//case//2 gruvor//NN|UTR|PLU|IND|NOM//nmod//0 styrdes//VB|PRT|SFO//ROOT//3 förstås//AB//advmod//3 av//PP//case//6 fyndigheterna//NN|UTR|PLU|DEF|NOM//obl:agent//3 .//MAD//punct//3
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;Hyttorna//NN|UTR|PLU|DEF|NOM//nsubj//10 kunde//VB|PRT|AKT//aux//10 ha//VB|INF|AKT//parataxis//3 en//DT|UTR|SIN|IND//det//13 friare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//13 placering//NN|UTR|SIN|IND|NOM//obj//10 ,//MID//punct//10 men//KN//cc//18 redan//AB//advmod//17 tidigt//AB|POS//advmod//18 infördes//VB|PRT|SFO//conj//10 vattendrivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//20 blåsbälgar//NN|UTR|PLU|IND|NOM//nsubj:pass//18 ,//MID//punct//20 varför//HA//advmod//24 man//PN|UTR|SIN|IND|SUB//nsubj//24 lade//VB|PRT|AKT//acl:relcl//20 hyttorna//NN|UTR|PLU|DEF|NOM//obj//24 vid//PP//case//27 bäckar//NN|UTR|PLU|IND|NOM//obl//24 av//PP//case//30 lagom//JJ|POS|UTR|SIN|IND|NOM//amod//30 storlek//NN|UTR|SIN|IND|NOM//nmod//27 och//KN//cc//32 fall//NN|NEU|SIN|IND|NOM//conj//30 .//MAD//punct//10
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;Det//DT|NEU|SIN|DEF//det//36 medeltida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//36 bergsbruket//NN|NEU|SIN|DEF|NOM//nsubj//40 är//VB|PRS|AKT//cop//40 relativt//AB|POS//advmod//39 väl//AB|POS//advmod//40 avgränsat//PC|PRF|NEU|SIN|IND|NOM//parataxis//10 till//PP//case//43 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//43 Bergslagen//PM|NOM//obl//40 och//KN//cc//47 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 områden//NN|NEU|PLU|IND|NOM//conj//43 .//MAD//punct//10
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;(//PAD//punct//50 Se//VB|IMP|AKT//parataxis//10 SNA//PM|NOM//obj//50 s.//NN|AN//nmod//53 56-59//RG|NOM//obl//50 )//PAD//punct//50 .//MAD//punct//3
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;I//PP//case//3 alla//DT|UTR/NEU|PLU|IND/DEF//det//2 landets//NN|NEU|SIN|DEF|GEN//nmod:poss//3 skogsbygder//NN|UTR|PLU|IND|NOM//obl//7 har//VB|PRS|AKT//aux//7 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//7 även//AB//advmod//7 förekommit//VB|SUP|AKT//ROOT//7 varierande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 verksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//7 av//PP//case//15 husbehovsutnyttjande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15  //_SP////11 eller//KN//cc//14 tidig//JJ|POS|UTR|SIN|IND|NOM//amod//15 skogsindustri//NN|UTR|SIN|IND|NOM//nmod//9  //_SP////15 som//HP|-|-|-//nsubj//18 efterlämnat//VB|SUP|AKT//acl:relcl//15 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 spår//NN|NEU|PLU|IND|NOM//obj//18 .//MAD//punct//9
Bilaga 6: / Ålderdomlig metallhantering och äldre tiders skogsutnyttjande;Regionalt//AB|POS//amod//9 eller//KN//cc//24 lokalt//AB|POS//conj//22 finns//VB|PRS|SFO//conj//7 exempelvis//AB//advmod//25 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 lämningar//NN|UTR|PLU|IND|NOM//nsubj//25 efter//PP//case//30 tjärbränning//NN|UTR|SIN|IND|NOM//obl//25 ,//MID//punct//32 pottaskebränning//NN|UTR|SIN|IND|NOM//conj//30 ,//MID//punct//34 kolning//NN|UTR|SIN|IND|NOM//conj//30 ,//MID//punct//36 flottning//NN|UTR|SIN|IND|NOM//conj//30 ,//MID//punct//36 etc.//AB|AN//conj//30


"Bilaga 6: / ""%(/6 /#( +/34.!$%2";Bilaga//NN|UTR|SIN|IND|NOM//ROOT//0 4//RG|NOM//nummod//0


Bilaga 6: / Komprimerad sammanfattning:;Denna//DT|UTR|SIN|DEF//det//1 studie//NN|UTR|SIN|IND|NOM//nsubj//2 utgör//VB|PRS|AKT//ROOT//2 ett//DT|NEU|SIN|IND//det//4 försök//NN|NEU|SIN|IND|NOM//obj//2 att//IE//mark//6 beräkna//VB|INF|AKT//acl//4 hur//HA//advmod//8 stor//JJ|POS|UTR|SIN|IND|NOM//amod//9 areal//NN|UTR|SIN|IND|NOM//nmod//11 skyddad//PC|PRF|UTR|SIN|IND|NOM//amod//11 skog//NN|UTR|SIN|IND|NOM//obj//6 av//PP//case//14 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 skogstyper//NN|UTR|PLU|IND|NOM//nmod//11 som//HP|-|-|-//nsubj//16 är//VB|PRS|AKT//acl:relcl//11 nog//AB//advmod//16 för//PP//mark//21 att//IE//mark//21 långsiktigt//AB|POS//advmod//21 bevara//VB|INF|AKT//advcl//16 den//DT|UTR|SIN|DEF//det//24 biologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 mångfalden//NN|UTR|SIN|DEF|NOM//obj//21 i//PP//case//27 Sveriges//PM|GEN//nmod:poss//27 skogar//NN|UTR|PLU|IND|NOM//obl//21 .//MAD//punct//2
Bilaga 6: / Komprimerad sammanfattning:;Förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//55 för//PP//case//31 förekomst//NN|UTR|SIN|IND|NOM//nmod//29 av//PP//case//34 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 skogstyper//NN|UTR|PLU|IND|NOM//nmod//31 i//PP//case//37 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 delar//NN|UTR|PLU|IND|NOM//nmod//34 av//PP//case//39 Sverige//PM|NOM//nmod//37 och//KN//cc//43 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 ekologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 kunskaper//NN|UTR|PLU|IND|NOM//conj//37 om//PP//case//45 tröskelvärden//NN|NEU|PLU|IND|NOM//nmod//43 för//PP//mark//49 hur//HA//advmod//49 djurpopulationer//NN|UTR|PLU|IND|NOM//nsubj:pass//49 påverkas//VB|PRS|SFO//acl//29 av//PP//case//51 fragmentering//NN|UTR|SIN|IND|NOM//obl:agent//49 av//PP//case//54 sin//PS|UTR|SIN|DEF//nmod:poss//54 livsmiljö//NN|UTR|SIN|IND|NOM//nmod//51 används//VB|PRS|SFO//parataxis//2 för//PP//mark//58 att//IE//mark//58 formulera//VB|INF|AKT//advcl//55 mätbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 mål//NN|NEU|PLU|IND|NOM//obj//58 för//PP//case//64 14//RG|NOM//nummod//64 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 skogstyper//NN|UTR|PLU|IND|NOM//obl//58 .//MAD//punct//55
Bilaga 6: / Komprimerad sammanfattning:;I//PP//case//68 en//DT|UTR|SIN|IND//det//68 bristanalys//NN|UTR|SIN|IND|NOM//obl//69 jämförs//VB|PRS|SFO//conj//55 dessa//DT|UTR/NEU|PLU|DEF//det//71 mål//NN|NEU|PLU|IND|NOM//nsubj:pass//69 med//PP//case//74 hur//HA//advmod//74 mycket//PN|NEU|SIN|IND|SUB/OBJ//advmod//69 som//HP|-|-|-//nsubj//76 finns//VB|PRS|SFO//acl:relcl//74 idag//AB//advmod//76 av//PP//case//81 dessa//DT|UTR/NEU|PLU|DEF//det//81 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//81 skogstyper//NN|UTR|PLU|IND|NOM//obl//76 i//PP//case//85 fyra//RG|NOM//nummod//85 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//85 delar//NN|UTR|PLU|IND|NOM//nmod//81 av//PP//case//87 Sverige//PM|NOM//nmod//85 .//MAD//punct//55
Bilaga 6: / Komprimerad sammanfattning:;Den//DT|UTR|SIN|DEF//det//91 fjällnära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//91 skogen//NN|UTR|SIN|DEF|NOM//nsubj:pass//105 ,//MID//punct//91 som//HP|-|-|-//nsubj//103 till//PP//case//96 stor//JJ|POS|UTR|SIN|IND|NOM//amod//96 del//NN|UTR|SIN|IND|NOM//obl//103 (//PAD//punct//96 43//RG|NOM//nummod//99 %//NN|AN//appos//96 )//PAD//punct//96 redan//AB//advmod//103 är//VB|PRS|AKT//cop//103 skyddad//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//91 ,//MID//punct//91 behandlas//VB|PRS|SFO//parataxis//55 inte//AB//advmod//105 i//PP//case//109 denna//DT|UTR|SIN|DEF//det//109 undersökning//NN|UTR|SIN|IND|NOM//obl//105 .//MAD//punct//2
Bilaga 6: / Komprimerad sammanfattning:;Enligt//PP//case//2 denna//DT|UTR|SIN|DEF//det//2 bristanalys//NN|UTR|SIN|IND|NOM//obl//3 krävs//VB|PRS|SFO//nsubj:pass//125 för//PP//case//9 den//DT|UTR|SIN|DEF//det//7 biologiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 mångfaldens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 långsiktiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 bevarande//NN|NEU|SIN|IND|NOM//obl//3 i//PP//case//11 Sveriges//PM|GEN//nmod//9 i//PP//case//14 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 skogsmiljöer//NN|UTR|PLU|IND|NOM//nmod//11 nedanför//PP//case//16 gränsen//NN|UTR|SIN|DEF|NOM//nmod//14 för//PP//case//19 fjällnära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 skog//NN|UTR|SIN|IND|NOM//nmod//16 att//IE//mark//37 på//PP//case//23 lång//JJ|POS|UTR|SIN|IND|NOM//amod//23 sikt//NN|UTR|SIN|IND|NOM//obl//37 (//PAD//punct//23 ca//AB|AN//advmod//26 40//RG|NOM//nummod//27 år//NN|NEU|PLU|IND|NOM//appos//23 )//PAD//punct//23 totalt//AB|POS//advmod//30 9-16//RG|NOM//nummod//31 %//NN|AN//appos//23 av//PP//case//33 skogsmarken//NN|UTR|SIN|DEF|NOM//nmod//31 i//PP//case//36 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 regioner//NN|UTR|PLU|IND|NOM//nmod//33 har//VB|PRS|AKT//aux//39 som//KN//mark//39 huvudsyfte//NN|NEU|SIN|IND|NOM//advmod//3 att//IE//mark//41 uppnå//VB|INF|AKT//advcl//3 skogsvårdslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//43 miljömål//NN|NEU|SIN|IND|NOM//obj//41 .//MAD//punct//3
Bilaga 6: / Komprimerad sammanfattning:;Naturhänsynen//NN|UTR|SIN|DEF|NOM//nsubj//51 på//PP//case//48 dessa//DT|UTR/NEU|PLU|DEF//det//48 arealer//NN|UTR|PLU|IND|NOM//nmod//45 skall//VB|PRS|AKT//aux//51 väl//AB//advmod//51 överstiga//VB|INF|AKT//parataxis//3 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//51 som//HP|-|-|-//nsubj:pass//56 idag//AB//advmod//56 kan//VB|PRS|AKT//aux//56 betraktats//VB|SUP|SFO//acl:relcl//52 som//KN//case//59 generella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 naturhänsyn//NN|UTR|SIN|IND|NOM//obl//56 och//KN//cc//64 till//PP//case//63 övervägande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 del//NN|UTR|SIN|IND|NOM//obl//64 innebära//VB|INF|AKT//conj//56 undantag//NN|NEU|PLU|IND|NOM//obj//64 från//PP//case//67 skogsbruk//NN|NEU|SIN|IND|NOM//nmod//65 .//MAD//punct//51
Bilaga 6: / Komprimerad sammanfattning:;På//PP//case//71 kort//JJ|POS|UTR|SIN|IND|NOM//amod//71 sikt//NN|UTR|SIN|IND|NOM//obl//51 (//PAD//punct//71 inom//PP//case//75 10-20//RG|NOM//nummod//75 år//NN|NEU|PLU|IND|NOM//nmod//71 )//PAD//punct//51 bör//VB|PRS|AKT//aux//109 ,//MID//punct//82 utöver//PP//case//82 de//DT|UTR/NEU|PLU|DEF//det//81 0,8//RG|NOM//nummod//82 %//NN|AN//nsubj:pass//109 som//HP|-|-|-//nsubj//86 redan//AB//advmod//86 är//VB|PRS|AKT//cop//86 skyddade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//82 med//PP//case//88 stöd//NN|NEU|SIN|IND|NOM//obl//86 av//PP//case//90 naturvårdslagen//NN|UTR|SIN|DEF|NOM//nmod//88 ,//MID//punct//82 de//DT|UTR/NEU|PLU|DEF//det//93 skogsmiljöer//NN|UTR|PLU|IND|NOM//nsubj//107 med//PP//case//97 höga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 befintliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 naturvärden//NN|NEU|PLU|IND|NOM//nmod//93 (//PAD//punct//93 ca//AB|AN//advmod//100 3//RG|NOM//nummod//101 %//NN|AN//nmod//93 av//PP//case//103 skogsmarken//NN|UTR|SIN|DEF|NOM//nmod//101 eller//KN//cc//106 700//RG|NOM//nummod//106 000//RG|NOM//conj//103 ha//NN|AN//parataxis//82 )//PAD//punct//107 avsättas//VB|INF|SFO//conj//3 för//PP//case//111 naturvårdsändamål//NN|NEU|PLU|IND|NOM//obl//109 .//MAD//punct//3
Bilaga 6: / Komprimerad sammanfattning:;Ytterligare//AB|KOM//advmod//115 ca//AB|AN//advmod//115 1//RG|NOM//nummod//116 %//NN|AN//nsubj:pass//3 av//PP//case//118 skogsmarken//NN|UTR|SIN|DEF|NOM//nmod//116 (//PAD//punct//116 200//RG|NOM//nummod//121 000//RG|NOM//nummod//122 ha//NN|AN//appos//116 )//PAD//punct//116 behöver//VB|PRS|AKT//aux//125 brukas//VB|INF|SFO//ROOT//125 med//PP//case//128 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//128 hänsyn//NN|UTR|SIN|IND|NOM//obl//125 .//MAD//punct//125
Bilaga 6: / Komprimerad sammanfattning:;Dessutom//AB//advmod//131 fordrar//VB|PRS|AKT//parataxis//125 en//DT|UTR|SIN|IND//det//135 ca//AB|AN//advmod//134 200-årig//JJ|POS|UTR|SIN|IND|NOM//amod//135 miljöskuld//NN|UTR|SIN|IND|NOM//nsubj//131 att//SN//mark//139 ett//DT|NEU|SIN|IND//det//139 aktivt//JJ|POS|NEU|SIN|IND|NOM//advmod//139 återskapande//NN|NEU|SIN|IND|NOM//acl//135 av//PP//case//142 skogliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//142 livsmiljöer//NN|UTR|PLU|IND|NOM//nmod//139 påbörjas//VB|PRS|SFO//advcl//131 .//MAD//punct//131
Bilaga 6: / Komprimerad sammanfattning:;Den//DT|UTR|SIN|DEF//det//147 bedömda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//147 omfattningen//NN|UTR|SIN|DEF|NOM//nsubj//151 av//PP//case//150 detta//DT|NEU|SIN|DEF//det//150 restaueringsbehov//NN|NEU|SIN|IND|NOM//nmod//147 tilltar//VB|PRS|AKT//parataxis//131 kraftigt//AB|POS//advmod//151 från//PP//case//154 nordligaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//obl//151 (//PAD//punct//151 ca//AB|AN//advmod//157 3//RG|NOM//nummod//158 %//NN|AN//appos//151 av//PP//case//162 den//DT|UTR|SIN|DEF//det//162 produktiva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//162 skogsmarken//NN|UTR|SIN|DEF|NOM//nmod//158 )//PAD//punct//151 till//PP//advmod//151 sydligaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//fixed//164 (//PAD//punct//151 11//RG|NOM//nummod//168 %//NN|AN//appos//151 )//PAD//punct//168 Sverige//PM|NOM//obl//151 .//MAD//punct//131
Bilaga 6: / Komprimerad sammanfattning:;För//PP//mark//3 att//IE//mark//3 kunna//VB|INF|AKT//aux//3 identifiera//VB|INF|AKT//advcl//16 hur//HA//advmod//5 skydd//NN|NEU|SIN|IND|NOM//nsubj//16 och//KN//cc//7 skötsel//NN|UTR|SIN|IND|NOM//conj//5 av//PP//case//9 skog//NN|UTR|SIN|IND|NOM//nmod//7 för//PP//case//11 bevarande//NN|NEU|SIN|IND|NOM//nmod//9 av//PP//case//14 biologisk//JJ|POS|UTR|SIN|IND|NOM//amod//14 mångfald//NN|UTR|SIN|IND|NOM//nmod//11 skall//VB|PRS|AKT//aux//16 gå//VB|INF|AKT//advcl//33 till//PL//compound:prt//16 i//PP//case//19 praktiken//NN|UTR|SIN|DEF|NOM//obl//16 i//PP//case//22 Sveriges//PM|GEN//nmod:poss//22 skogar//NN|UTR|PLU|IND|NOM//obl//16 måste//VB|PRS|AKT//aux//33 tillgången//NN|UTR|SIN|DEF|NOM//nsubj:pass//33 på//PP//case//28 heltäckande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 rumsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 data//NN|NEU|PLU|IND|NOM//nmod//24 för//PP//case//32 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 skogliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 miljöer//NN|UTR|PLU|IND|NOM//nmod//28 förbättras//VB|PRS|SFO//ROOT//33 .//MAD//punct//33
Bilaga 6: / Komprimerad sammanfattning:;Vidare//AB|KOM//advmod//51 bör//VB|PRS|AKT//aux//51 de//DT|UTR/NEU|PLU|DEF//det//40 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 exempel//NN|NEU|PLU|IND|NOM//nsubj:pass//51 som//HP|-|-|-//nsubj//42 finns//VB|PRS|SFO//acl:relcl//40 på//PP//case//44 landskapsperspektiv//NN|NEU|PLU|IND|NOM//obl//42 i//PP//case//46 skydd//NN|NEU|SIN|IND|NOM//nmod//44 och//KN//cc//48 restaurering//NN|UTR|SIN|IND|NOM//conj//46 av//PP//case//50 skogsmiljöer//NN|UTR|PLU|IND|NOM//nmod//48 spridas//VB|INF|SFO//parataxis//33 till//PP//case//53 beslutsfattare//NN|UTR|PLU|IND|NOM//obl//51 och//KN//cc//55 allmänhet//NN|UTR|SIN|IND|NOM//conj//53 .//MAD//punct//33


1.1 Beskrivning av uppdraget;Denna//DT|UTR|SIN|DEF//det//1 rapport//NN|UTR|SIN|IND|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 resultatet//NN|NEU|SIN|DEF|NOM//ROOT//3 av//PP//case//6 ett//DT|NEU|SIN|IND//det//6 uppdrag//NN|NEU|SIN|IND|NOM//nmod//3 från//PP//case//8 Miljövårdsberedningen//PM|NOM//nmod//6 (//PAD//punct//3 Jo1968//PM|NOM//discourse//12 ://MID//punct//10
1.1 Beskrivning av uppdraget;A//NN|NEU|SIN|IND|NOM//appos//3 )//PAD//punct//12 .//MAD//punct//3
