Ny instansordning för va-målen ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Va-nämndsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
1.2.2 Bakgrund;Fastighetsdomstolarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//1 verksamhet//NN|UTR|SIN|IND|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 varit//VB|SUP|AKT//cop//4 föremål//NN|NEU|SIN|IND|NOM//ROOT//4 för//PP//case//7 en//DT|UTR|SIN|IND//det//7 översyn//NN|UTR|SIN|IND|NOM//obl//4 av//PP//case//9 Domstolsverket//NN|NEU|SIN|DEF|NOM//nmod//7 (//PAD//punct//9 DV-rapport//NN|UTR|SIN|IND|NOM//appos//9 2006:2//RG|NOM//nummod//11 )//PAD//punct//9 .//MAD//punct//4
1.2.2 Bakgrund;Verket//NN|NEU|SIN|DEF|NOM//nsubj//16 föreslog//VB|PRT|AKT//conj//4 att//SN//mark//21 antalet//NN|NEU|SIN|DEF|NOM//nsubj//21 fastighetsdomstolar//NN|UTR|PLU|IND|NOM//nmod//18 skulle//VB|PRT|AKT//aux//21 minska//VB|INF|AKT//ccomp//16 från//PP//case//23 25//RG|NOM//obl//21 till//PP//case//25 7//RG|NOM//obl//21 och//KN//cc//32 att//SN//mark//32 dessa//DT|UTR/NEU|PLU|DEF//det//29 domstolar//NN|UTR|PLU|IND|NOM//nsubj:pass//32 huvudsakligen//AB//advmod//32 skulle//VB|PRT|AKT//aux//32 lokaliseras//VB|INF|SFO//conj//21 till//PP//case//35 de//DT|UTR/NEU|PLU|DEF//det//35 tingsrätter//NN|UTR|PLU|IND|NOM//obl//32 som//HP|-|-|-//nsubj//38 var//VB|PRT|AKT//cop//38 miljödomstolar//NN|UTR|PLU|IND|NOM//acl:relcl//35 .//MAD//punct//16
1.2.2 Bakgrund;Vid//PP//case//41 remissomgången//NN|UTR|SIN|DEF|NOM//obl//46 var//VB|PRT|AKT//cop//46 de//DT|UTR/NEU|PLU|DEF//det//45 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//45 remissinstanserna//NN|UTR|PLU|DEF|NOM//nsubj//46 positiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//16 till//PP//case//50 en//DT|UTR|SIN|IND//det//50 förändrad//PC|PRF|UTR|SIN|IND|NOM//amod//50 organisation//NN|UTR|SIN|IND|NOM//obl//46 .//MID//punct//46
1.2.2 Bakgrund;Flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//53 domstolar//NN|UTR|PLU|IND|NOM//nsubj//54 pekade//VB|PRT|AKT//parataxis//46 dock//AB//advmod//54 på//PP//mark//62 att//SN//mark//62 en//DT|UTR|SIN|IND//det//60 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//60 organisationsförändring//NN|UTR|SIN|IND|NOM//nsubj:pass//62 borde//VB|PRT|AKT//aux//62 samordnas//VB|INF|SFO//advcl//54 med//PP//case//64 förändringen//NN|UTR|SIN|DEF|NOM//obl//62 av//PP//case//66 miljödomstolarna//NN|UTR|PLU|DEF|NOM//nmod//64 .//MAD//punct//46
1.2.2 Bakgrund;Även//AB//advmod//70 i//PP//case//70 remisssvaren//NN|UTR|SIN|DEF|NOM//obl//46 till//PP//case//73 PBL-kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//73 slutbetänkande//NN|NEU|SIN|IND|NOM//nmod//70 framfördes//VB|PRT|SFO//advcl//16 att//SN//mark//78 fastighetsdomstolarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//78 borde//VB|PRT|AKT//aux//78 införlivas//VB|INF|SFO//ccomp//74 i//PP//case//82 den//DT|UTR|SIN|DEF//det//82 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//82 organisationen//NN|UTR|SIN|DEF|NOM//obl//78 för//PP//case//84 miljödomstolarna//NN|UTR|PLU|DEF|NOM//nmod//82 .//MAD//punct//16
1.2.2 Bakgrund;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//6 som//HP|-|-|-//nsubj//2 arbetar//VB|PRS|AKT//acl:relcl//0 med//PP//case//4 fastighetsmål//NN|NEU|PLU|IND|NOM//obl//2 har//VB|PRS|AKT//aux//6 ansetts//VB|SUP|SFO//ROOT//6 behöva//VB|INF|AKT//xcomp//6 både//KN//cc//9 kännedom//NN|UTR|SIN|IND|NOM//obj//7 om//PP//case//13 ett//DT|NEU|SIN|IND//det//13 komplext//JJ|POS|NEU|SIN|IND|NOM//amod//13 regelverk//NN|NEU|SIN|IND|NOM//nmod//9 och//KN//cc//15 förmåga//NN|UTR|SIN|IND|NOM//conj//13 att//IE//mark//17 sätta//VB|INF|AKT//acl//9 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//17 in//PL//compound:prt//17 i//PP//case//25 invecklade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//25 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 och//KN//cc//24 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//22 frågor//NN|UTR|PLU|IND|NOM//obl//17 .//MAD//punct//6
1.2.2 Bakgrund;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//28 krävs//VB|PRS|SFO//parataxis//6 också//AB//advmod//28 en//DT|UTR|SIN|IND//det//35 kontinuerlig//JJ|POS|UTR|SIN|IND|NOM//amod//35 och//KN//cc//33 tillräckligt//AB|POS//advmod//34 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 måltillströmning//NN|UTR|SIN|IND|NOM//nsubj:pass//28 för//PP//mark//44 att//SN//mark//44 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//44 som//HP|-|-|-//nsubj//40 arbetar//VB|PRS|AKT//acl:relcl//38 med//PP//case//42 fastighetsmålen//NN|UTR|SIN|DEF|NOM//obl//40 ska//VB|PRS|AKT//aux//44 ha//VB|INF|AKT//acl//35 möjlighet//NN|UTR|SIN|IND|NOM//obj//44 att//IE//mark//47 specialisera//VB|INF|AKT//acl//45 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//47 på//PP//case//50 området//NN|NEU|SIN|DEF|NOM//obl//47 .//MAD//punct//28
1.2.2 Bakgrund;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//54 har//VB|PRS|AKT//aux//54 ansetts//VB|SUP|SFO//conj//6 vara//VB|INF|AKT//cop//56 svårt//JJ|POS|NEU|SIN|IND|NOM//xcomp//54 att//IE//mark//58 uppnå//VB|INF|AKT//acl//56 vid//PP//case//62 de//DT|UTR/NEU|PLU|DEF//det//62 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//62 fastighetsdomstolarna//NN|UTR|PLU|DEF|NOM//obl//58 .//MAD//punct//6
1.2.2 Bakgrund;Fastighetsmålen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//aux//10 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//3 beröringspunkter//NN|UTR|PLU|IND|NOM//obj//1 med//PP//case//5 miljömålen//NN|NEU|PLU|DEF|NOM//nmod//3 .//MAD//punct//1
1.2.2 Bakgrund;I//PP//case//9 båda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 måltyperna//NN|UTR|PLU|DEF|NOM//obl//10 dominerar//VB|PRS|AKT//ROOT//10 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 inslag//NN|NEU|PLU|IND|NOM//obj//10 och//KN//cc//14 behovet//NN|NEU|SIN|DEF|NOM//conj//12 av//PP//case//17 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//17 sakkunskap//NN|UTR|SIN|IND|NOM//nmod//14 .//MAD//punct//10
1.2.2 Bakgrund;Syn//NN|UTR|SIN|IND|NOM//nsubj//26 och//KN//cc//21 inhämtande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//19 av//PP//case//23 yttrande//NN|NEU|SIN|IND|NOM//nmod//21 från//PP//case//25 myndigheter//NN|UTR|PLU|IND|NOM//nmod//23 förekommer//VB|PRS|AKT//parataxis//10 i//PP//case//29 stor//JJ|POS|UTR|SIN|IND|NOM//amod//29 utsträckning//NN|UTR|SIN|IND|NOM//obl//26 och//KN//cc//31 officialprincipen//NN|UTR|SIN|DEF|NOM//conj//26 präglar//VB|PRS|AKT//conj//26 prövningen//NN|UTR|SIN|DEF|NOM//obj//32 i//PP//case//36 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 fall//NN|NEU|PLU|IND|NOM//obl//32 .//MAD//punct//26
1.2.2 Bakgrund;Vid//PP//case//39 prövningen//NN|UTR|SIN|DEF|NOM//obl//26 ställs//VB|PRS|SFO//conj//10 ofta//AB|POS//advmod//40 frågor//NN|UTR|PLU|IND|NOM//obj//40 om//PP//case//44 markanvändning//NN|UTR|SIN|IND|NOM//nmod//42 ,//MID//punct//47 fysisk//JJ|POS|UTR|SIN|IND|NOM//amod//47 planering//NN|UTR|SIN|IND|NOM//conj//44 och//KN//cc//49 ekonomi//NN|UTR|SIN|IND|NOM//conj//44 på//PP//case//52 sin//PS|UTR|SIN|DEF//nmod:poss//52 spets//NN|UTR|SIN|IND|NOM//nmod//44 .//MAD//punct//10
1.2.2 Bakgrund;Genom//PP//case//55 sammanläggningen//NN|UTR|SIN|DEF|NOM//obl//60 av//PP//case//57 miljödomstolarna//NN|UTR|PLU|DEF|NOM//nmod//55 och//KN//cc//59 fastighetsdomstolarna//NN|UTR|PLU|DEF|NOM//conj//57 antas//VB|PRS|SFO//conj//10 resursutnyttjandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//60 således//AB//advmod//64 kunna//VB|INF|AKT//aux//64 förbättras//VB|INF|SFO//xcomp//60 och//KN//cc//71 kvaliteten//NN|UTR|SIN|DEF|NOM//nsubj//71 i//PP//case//70 den//DT|UTR|SIN|DEF//det//70 dömande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//70 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//66 öka//VB|INF|AKT//conj//64 .//MAD//punct//10
1.2.2 Bakgrund;Vissa//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj:pass//10 av//PP//case//3 de//DT|UTR/NEU|PLU|DEF//det//3 måltyper//NN|UTR|PLU|IND|NOM//nmod//0 som//HP|-|-|-//nsubj:pass//5 handlagts//VB|SUP|SFO//acl:relcl//3 av//PP//case//7 fastighetsdomstolarna//NN|UTR|PLU|DEF|NOM//obl:agent//5 har//VB|PRS|AKT//aux//10 dock//AB//advmod//10 undantagits//VB|SUP|SFO//ROOT//10 från//PP//case//12 samorganisationen//NN|UTR|SIN|DEF|NOM//obl//10 .//MAD//punct//10
1.2.2 Bakgrund;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 gäller//VB|PRS|AKT//parataxis//10 de//DT|UTR/NEU|PLU|DEF//det//17 mål//NN|NEU|PLU|IND|NOM//obj//15 som//HP|-|-|-//nsubj//20 mera//AB|KOM//advmod//20 påminner//VB|PRS|AKT//acl:relcl//17 om//PP//case//22 tvistemål//NN|NEU|PLU|IND|NOM//obl//20 i//PP//advmod//20 allmänhet//NN|UTR|SIN|IND|NOM//fixed//23 och//KN//cc//33 där//HA//advmod//33 behovet//NN|NEU|SIN|DEF|NOM//nsubj//33 av//PP//case//30 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//30 kompetens//NN|UTR|SIN|IND|NOM//nmod//27 är//VB|PRS|AKT//cop//33 mindre//AB|KOM//advmod//33 påkallat//PC|PRF|NEU|SIN|IND|NOM//conj//15 .//MAD//punct//33
1.2.2 Bakgrund;Av//PP//case//37 det//DT|NEU|SIN|DEF//det//37 skälet//NN|NEU|SIN|DEF|NOM//obl//38 har//VB|PRS|AKT//conj//10 arrendemålen//NN|UTR|SIN|DEF|NOM//obj//38 enligt//PP//case//41 jordabalken//NN|UTR|SIN|DEF|NOM//obl//38 och//KN//cc//43 lagen//NN|UTR|SIN|DEF|NOM//conj//41 om//PP//case//45 fiskearrenden//NN|UTR|SIN|DEF|NOM//nsubj:pass//48 i//PP//advmod//48 stället//NN|NEU|SIN|DEF|NOM//fixed//46 flyttats//VB|SUP|SFO//advcl//38 till//PP//case//50 tingsrätt//NN|UTR|SIN|IND|NOM//obl//48 .//MAD//punct//10
1.2.2 Bakgrund;Lokalisering//NN|UTR|SIN|IND|NOM//ROOT//0 och//KN//cc//2 indelning//NN|UTR|SIN|IND|NOM//conj//0 i//PP//case//4 domsområden//NN|UTR|SIN|DEF|NOM//nmod//2
1.2.2 Bakgrund;Mark-//NN|UTR|-|-|SMS//nsubj:pass//4 och//KN//cc//2 miljödomstolarna//NN|UTR|PLU|DEF|NOM//conj//0 har//VB|PRS|AKT//aux//4 lokaliserats//VB|SUP|SFO//ROOT//4 till//PP//case//7 de//DT|UTR/NEU|PLU|DEF//det//7 orter//NN|UTR|PLU|IND|NOM//obl//4 där//HA//advmod//11 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//11 tidigare//AB|KOM//advmod//11 funnits//VB|SUP|SFO//acl:relcl//7 miljödomstolar//NN|UTR|PLU|IND|NOM//obj//11 ,//MID//punct//4 dvs.//AB|AN//advmod//16 till//PP//case//16 Stockholm//PM|NOM//obl//4 (//PAD//punct//18 Nacka//PM|NOM//appos//16 )//PAD//punct//18 ,//MID//punct//21 Umeå//PM|NOM//conj//16 ,//MID//punct//23 Östersund//PM|NOM//conj//16 ,//MID//punct//25 Växjö//PM|NOM//conj//16 och//KN//cc//27 Vänersborg//PM|NOM//conj//16 .//MAD//punct//4
1.2.2 Bakgrund;Domstolarna//NN|UTR|PLU|DEF|NOM//nsubj//34 i//PP//case//31 Umeå//PM|NOM//nmod//29 och//KN//cc//33 Östersund//PM|NOM//conj//31 bedöms//VB|PRS|SFO//parataxis//4 få//VB|INF|AKT//xcomp//34 ett//DT|NEU|SIN|IND//det//39 betydligt//AB//advmod//38 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 målunderlag//NN|NEU|SIN|IND|NOM//obj//35 än//KN//case//43 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 tre//RG|NOM//nummod//43 domstolar//NN|UTR|PLU|IND|NOM//nmod//39 men//KN//cc//47 lokaliseringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//47 kan//VB|PRS|AKT//aux//47 motiveras//VB|INF|SFO//conj//34 av//PP//case//51 de//DT|UTR/NEU|PLU|DEF//det//51 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 avstånden//NN|NEU|PLU|DEF|NOM//obl:agent//47 i//PP//case//54 norra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//54 Sverige//PM|NOM//nmod//51 .//MAD//punct//34
1.2.2 Bakgrund;En//DT|UTR|SIN|IND//det//58 annan//JJ|POS|UTR|SIN|IND|NOM//amod//58 ordning//NN|UTR|SIN|IND|NOM//appos//34 än//KN//mark//65 den//DT|UTR|SIN|DEF//nsubj//65 nu//AB//advmod//62 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//60 skulle//VB|PRT|AKT//aux//65 nämligen//AB//advmod//65 innebära//VB|INF|AKT//acl//58 att//SN//mark//73 avstånden//NN|NEU|PLU|DEF|NOM//nsubj//73 mellan//PP//case//69 domstol//NN|UTR|SIN|IND|NOM//nmod//67 och//KN//cc//71 förrättningsort//NN|UTR|SIN|IND|NOM//conj//69 skulle//VB|PRT|AKT//aux//73 medföra//VB|INF|AKT//ccomp//65 att//SN//mark//82 personalen//NN|UTR|SIN|DEF|NOM//nsubj//82 i//PP//case//80 allt//PN|NEU|SIN|IND|SUB/OBJ//det//80 för//AB//advmod//79 stor//JJ|POS|UTR|SIN|IND|NOM//amod//80 utsträckning//NN|UTR|SIN|IND|NOM//obl//82 skulle//VB|PRT|AKT//aux//82 befinna//VB|INF|AKT//ccomp//73 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//82 på//PP//case//85 resa//NN|UTR|SIN|IND|NOM//obl//82 i//PP//case//89 samband//NN|NEU|SIN|IND|NOM//fixed//86 med//PP//fixed//86 syn//NN|UTR|SIN|IND|NOM//obl//82 eller//KN//cc//91 undersökning//NN|UTR|SIN|IND|NOM//conj//89 på//PP//case//93 platsen//NN|UTR|SIN|DEF|NOM//obl//82 .//MAD//punct//99
1.2.2 Bakgrund;För//PP//case//96 domstolen//NN|UTR|SIN|DEF|NOM//obl//99 i//PP//case//98 Växjö//PM|NOM//nmod//96 övervägdes//VB|PRT|SFO//advcl//34 om//SN//mark//103 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//103 skulle//VB|PRT|AKT//aux//103 flyttas//VB|INF|SFO//advcl//99 till//PP//case//105 Malmö//PM|NOM//obl//103 med//PP//mark//116 hänsyn//NN|UTR|SIN|IND|NOM//fixed//106 till//PP//fixed//106 att//SN//mark//116 storstadsregionen//NN|UTR|SIN|DEF|NOM//nsubj:pass//116 kring//PP//case//112 Malmö//PM|NOM//nmod//110 och//KN//cc//115 övriga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//115 Skåne//PM|NOM//conj//112 förväntas//VB|PRS|SFO//advcl//103 generera//VB|INF|AKT//xcomp//116 den//DT|UTR|SIN|DEF//det//120 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//120 andelen//NN|UTR|SIN|DEF|NOM//nmod//121 mål//NN|NEU|SIN|IND|NOM//obj//117 .//MAD//punct//4
1.2.2 Bakgrund;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//126 skulle//VB|PRT|AKT//aux//126 dock//AB//advmod//126 innebära//VB|INF|AKT//parataxis//4 mycket//AB|POS//advmod//128 långa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//129 avstånd//NN|NEU|PLU|IND|NOM//obj//126 till//PP//case//133 domsområdets//NN|NEU|SIN|DEF|GEN//nmod:poss//133 norra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//133 delar//NN|UTR|PLU|IND|NOM//obl//126 .//MAD//punct//126
1.2.2 Bakgrund;Frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//149 om//PP//mark//138 att//IE//mark//138 inrätta//VB|INF|AKT//acl//135 en//DT|UTR|SIN|IND//det//140 mark-//NN|UTR|-|-|SMS//obj//138 och//KN//cc//142 miljödomstol//NN|UTR|SIN|IND|NOM//conj//140 i//PP//case//144 Malmö//PM|NOM//obl//138 utöver//PP//case//146 den//DT|UTR|SIN|DEF//obl//138 i//PP//case//148 Växjö//PM|NOM//obl//138 avvisades//VB|PRT|SFO//parataxis//126 också//AB//advmod//149 med//PP//case//152 argumentet//NN|NEU|SIN|DEF|NOM//obl//149 att//SN//mark//158 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//158 för//PP//advmod//158 närvarande//NN|NEU|SIN|IND|NOM//fixed//155 är//VB|PRS|AKT//cop//158 svårt//JJ|POS|NEU|SIN|IND|NOM//ccomp//149 att//IE//mark//160 bedöma//VB|INF|AKT//csubj//158 om//SN//mark//166 måltillströmningen//NN|UTR|SIN|DEF|NOM//nsubj//166 till//PP//case//164 Växjö//PM|NOM//nmod//162 skulle//VB|PRT|AKT//aux//166 bli//VB|INF|AKT//ccomp//160 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//xcomp//166 för//PP//mark//170 att//IE//mark//170 säkerställa//VB|INF|AKT//advcl//166 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//170 för//PP//case//173 specialisering//NN|UTR|SIN|IND|NOM//obl//170 ,//MID//punct//175 kompetensutveckling//NN|UTR|SIN|IND|NOM//conj//173 och//KN//cc//177 rekrytering//NN|UTR|SIN|IND|NOM//conj//173 .//MAD//punct//149
1.2.2 Bakgrund;Domstolen//NN|UTR|SIN|DEF|NOM//obl//149 i//PP//case//181 Nacka//PM|NOM//nmod//179 bedömdes//VB|PRT|SFO//conj//149 uppfylla//VB|INF|AKT//xcomp//182 alla//DT|UTR/NEU|PLU|IND/DEF//det//185 krav//NN|NEU|PLU|IND|NOM//obj//183 vad//HP|NEU|SIN|IND//nsubj//187 avser//VB|PRS|AKT//acl:relcl//185 geografisk//JJ|POS|UTR|SIN|IND|NOM//amod//189 placering//NN|UTR|SIN|IND|NOM//obj//187 och//KN//cc//191 förväntat//PC|PRF|NEU|SIN|IND|NOM//conj//187 målunderlag//NN|NEU|PLU|IND|NOM//obj//191 .//MAD//punct//126
1.2.2 Bakgrund;Mark-//NN|UTR|-|-|SMS//amod//3 och//KN//cc//2 miljödomstolarnas//NN|UTR|PLU|DEF|GEN//conj//0 indelning//NN|UTR|SIN|IND|NOM//nsubj:pass//7 i//PP//case//5 domsområden//NN|UTR|SIN|DEF|NOM//nmod//3 har//VB|PRS|AKT//aux//7 anpassats//VB|SUP|SFO//ROOT//7 till//PP//case//11 den//DT|UTR|SIN|DEF//det//11 administrativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//11 indelningen//NN|UTR|SIN|DEF|NOM//obl//7 av//PP//case//13 landet//NN|NEU|SIN|DEF|NOM//nmod//11 vilket//HP|NEU|SIN|IND//nsubj//17 är//VB|PRS|AKT//cop//17 en//DT|UTR|SIN|IND//det//17 ändring//NN|UTR|SIN|IND|NOM//parataxis//7 jämfört//PC|PRF|NEU|SIN|IND|NOM//amod//17 med//PP//case//20 miljödomstolarna//NN|UTR|PLU|DEF|NOM//obl//18 vars//HS|DEF//nmod:poss//22 domsområden//NN|UTR|SIN|DEF|NOM//nsubj//24 var//VB|PRT|AKT//cop//24 indelade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//17 efter//PP//case//27 naturgeografiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 förhållanden//NN|NEU|PLU|IND|NOM//obl//24 (//PAD//punct//17 särskilt//AB//advmod//30 definierade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//31 huvudavrinningsområden//NN|NEU|PLU|IND|NOM//appos//17 )//PAD//punct//17 .//MAD//punct//7
1.2.2 Bakgrund;Vid//PP//case//35 bildandet//NN|NEU|SIN|DEF|NOM//obl//40 av//PP//case//37 mark-//NN|UTR|-|-|SMS//nmod//35 och//KN//cc//39 miljödomstolarna//NN|UTR|PLU|DEF|NOM//conj//37 tillfördes//VB|PRT|SFO//conj//7 dessa//DT|UTR/NEU|PLU|DEF//det//42 mål//NN|NEU|PLU|IND|NOM//nsubj:pass//40 enligt//PP//case//44 miljöbalken//NN|UTR|SIN|DEF|NOM//nmod//42 ,//MID//punct//46 mål//NN|NEU|SIN|IND|NOM//conj//44 från//PP//case//48 fastighetsdomstolarna//NN|UTR|PLU|DEF|NOM//nmod//46 och//KN//cc//50 mål//NN|NEU|PLU|IND|NOM//conj//48 och//KN//cc//52 ärenden//NN|NEU|PLU|IND|NOM//conj//44 enligt//PP//case//54 plan-//NN|UTR|-|-|SMS//nmod//52 och//KN//cc//56 bygglagen//NN|UTR|SIN|DEF|NOM//conj//54 .//MAD//punct//40
1.2.2 Bakgrund;I//PP//case//61 den//DT|UTR|SIN|DEF//det//61 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//61 organisationen//NN|UTR|SIN|DEF|NOM//obl//65 ville//VB|PRT|AKT//aux//65 man//PN|UTR|SIN|IND|SUB//nsubj//65 inte//AB//advmod//65 ha//VB|INF|AKT//advcl//40 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 indelningsgrunder//NN|UTR|PLU|IND|NOM//obj//65 för//PP//case//70 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//70 måltyper//NN|UTR|PLU|IND|NOM//obl//65 .//MAD//punct//40
1.2.2 Bakgrund;För//PP//case//75 de//DT|UTR/NEU|PLU|DEF//det//75 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//75 vattenmålen//NN|NEU|PLU|IND|NOM//obl//77 var//VB|PRT|AKT//cop//77 indelning//NN|UTR|SIN|IND|NOM//parataxis//40 efter//PP//case//79 avrinningsområde//NN|NEU|SIN|IND|NOM//nmod//77 naturligt//JJ|POS|NEU|SIN|IND|NOM//advmod//40 eftersom//SN//mark//87 en//DT|UTR|SIN|IND//det//83 reglering//NN|UTR|SIN|IND|NOM//nsubj//87 av//PP//case//86 ett//DT|NEU|SIN|IND//det//86 vattendrag//NN|NEU|SIN|IND|NOM//nmod//83 påverkar//VB|PRS|AKT//advcl//40 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//89 vattendraget//NN|NEU|SIN|DEF|NOM//obj//87 .//MAD//punct//7
1.2.2 Bakgrund;För//PP//case//92 miljödomstolarna//NN|UTR|PLU|DEF|NOM//obl//95 var//VB|PRT|AKT//cop//95 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//95 betydelsefullt//JJ|POS|NEU|SIN|IND|NOM//conj//7 att//IE//mark//97 ha//VB|INF|AKT//acl//95 överblick//NN|UTR|SIN|IND|NOM//obj//97 och//KN//cc//100 kunskap//NN|UTR|SIN|IND|NOM//conj//98 om//PP//case//103 ett//DT|NEU|SIN|IND//det//103 vattendrag//NN|NEU|SIN|IND|NOM//nmod//100 i//PP//case//106 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//106 helhet//NN|UTR|SIN|IND|NOM//nmod//103 när//HA//mark//109 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//109 prövade//VB|PRT|AKT//advcl//97 tillstånd//NN|NEU|PLU|IND|NOM//obj//109 till//PP//case//113 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//113 verksamheter//NN|UTR|PLU|IND|NOM//obl//109 .//MAD//punct//116
1.2.2 Bakgrund;För//PP//case//116 fastighetsmål//NN|NEU|SIN|IND|NOM//nsubj//125 och//KN//cc//118 mål//NN|NEU|PLU|IND|NOM//conj//116 och//KN//cc//120 ärenden//NN|NEU|PLU|IND|NOM//conj//116 enligt//PP//case//122 plan-//NN|UTR|-|-|SMS//nmod//120 och//KN//cc//124 bygglagen//NN|UTR|SIN|DEF|NOM//conj//122 framstod//VB|PRT|AKT//conj//7 dock//AB//advmod//125 en//DT|UTR|SIN|IND//det//128 indelning//NN|UTR|SIN|IND|NOM//nsubj//125 efter//PP//case//130 huvudavrinningsområde//NN|NEU|SIN|IND|NOM//nmod//128 som//KN//mark//132 onaturlig//JJ|POS|UTR|SIN|IND|NOM//acl//130 såväl//KN//advmod//137 i//PP//case//137 förhållande//NN|NEU|SIN|IND|NOM//fixed//134 till//PP//fixed//134 indelningen//NN|UTR|SIN|DEF|NOM//nmod//128 i//PP//case//139 kommuner//NN|UTR|PLU|IND|NOM//nmod//137 som//HP|-|-|-//mark//142 till//PP//case//142 fastighetsindelning//NN|UTR|SIN|IND|NOM//nmod//128 .//MAD//punct//125
