Romers rätt;–//RG|NOM//punct//2 en//DT|UTR|SIN|IND//det//2 strategi//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//4 romer//NN|UTR|PLU|IND|NOM//nmod//2 i//PP//case//6 Sverige//PM|NOM//nmod//4
1.4 Sammanträden / Referensgruppen;Informationsmöte//NN|NEU|SIN|IND|NOM//ROOT//0 december//NN|UTR|SIN|IND|NOM//nmod//2 2009//RG|NOM//obl//0
1.4 Sammanträden / Referensgruppen;Den//DT|UTR|SIN|DEF//det//2 17//RG|NOM//nummod//2 december//NN|UTR|SIN|IND|NOM//obl//4 2009//RG|NOM//nummod//2 hölls//VB|PRT|SFO//ROOT//4 ett//DT|NEU|SIN|IND//det//6 informationsmöte//NN|NEU|SIN|IND|NOM//nsubj:pass//4 för//PP//case//9 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 referensgrupp//NN|UTR|SIN|IND|NOM//nmod//6 ,//MID//punct//6 ledamöter//NN|UTR|PLU|IND|NOM//conj//6 och//KN//cc//13 experter//NN|UTR|PLU|IND|NOM//conj//11 om//PP//case//16 de//DT|UTR/NEU|PLU|DEF//det//16 förändringar//NN|UTR|PLU|IND|NOM//obl//4 som//HP|-|-|-//nsubj//19 skulle//VB|PRT|AKT//aux//19 ske//VB|INF|AKT//acl:relcl//16 vid//PP//case//21 årsskiftet//NN|NEU|SIN|DEF|NOM//obl//19 .//MAD//punct//4
1.4 Sammanträden / Referensgruppen;Företrädare//NN|UTR|SIN|IND|NOM//parataxis//4 för//PP//case//25 Diskrimineringsenheten//NN|UTR|SIN|DEF|NOM//nmod//23 vid//PP//case//27 Integrations-//PM|SMS//nmod//25 och//KN//cc//29 jämställdhetsdepartementet//NN|NEU|SIN|DEF|NOM//conj//27 ,//MID//punct//23 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//nsubj//39 i//PP//case//33 Stockholm//PM|NOM//nmod//31 och//KN//cc//35 Delegationen//NN|UTR|SIN|DEF|NOM//conj//31 för//PP//case//38 romska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 frågor//NN|UTR|PLU|IND|NOM//nmod//35 informerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//4 och//KN//cc//41 besvarade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//39 frågor//NN|UTR|PLU|IND|NOM//obj//41 .//MAD//punct//4
1.4 Sammanträden / Referensgruppen;Möte//NN|NEU|SIN|IND|NOM//ROOT//0 maj//NN|UTR|SIN|IND|NOM//obj//0 2010//RG|NOM//nummod//1
1.4 Sammanträden / Referensgruppen;Den//DT|UTR|SIN|DEF//det//4 20//RG|NOM//nummod//4 och//KN//cc//1 21//RG|NOM//nummod//1 maj//NN|UTR|SIN|IND|NOM//obl//6 2010//RG|NOM//nummod//4 genomförds//VB|PRT|AKT//ROOT//6 ett//DT|NEU|SIN|IND//det//8 sammanträdet//NN|NEU|SIN|DEF|NOM//obj//6 med//PP//case//11 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 referensgrupp//NN|UTR|SIN|IND|NOM//nmod//8 ,//MID//punct//8 ledamöter//NN|UTR|PLU|IND|NOM//appos//8 ,//MID//punct//15 experter//NN|UTR|PLU|IND|NOM//conj//13 och//KN//cc//17 kansli//NN|NEU|PLU|IND|NOM//conj//13 där//HA//advmod//22 huvudfrågan//NN|UTR|SIN|DEF|NOM//nsubj//22 var//VB|PRT|AKT//cop//22 de//DT|UTR/NEU|PLU|DEF//det//22 förslag//NN|NEU|PLU|IND|NOM//appos//8 som//HP|-|-|-//nsubj:pass//25 ska//VB|PRS|AKT//aux//25 presenteras//VB|INF|SFO//acl:relcl//22 i//PP//case//28 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 betänkande//NN|NEU|SIN|IND|NOM//obl//25 och//KN//cc//34 vilka//HD|UTR/NEU|PLU|IND//det//31 mål//NN|NEU|PLU|IND|NOM//obj//34 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//34 ska//VB|PRS|AKT//aux//34 leda//VB|INF|AKT//conj//6 fram//PL//advmod//34 till//PP//compound:prt//34 .//MAD//punct//6
1.4 Sammanträden / Referensgruppen;I//PP//case//41 samband//NN|NEU|SIN|IND|NOM//fixed//38 med//PP//case//41 sammanträdet//NN|NEU|SIN|DEF|NOM//obl//42 besöktes//VB|PRT|SFO//conj//6 utställningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//42 (//PAD//punct//43 o//NN|NEU|SIN|IND|NOM//advmod//42 )//PAD//punct//42 mänskligt//AB|POS//advmod//42 på//PP//case//50 Etnografiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//50 museet//NN|NEU|SIN|DEF|NOM//nmod//47 och//KN//cc//55 de//DT|UTR/NEU|PLU|DEF//det//55 tre//RG|NOM//nummod//55 första//RO|NOM//amod//55 pristagarna//NN|UTR|PLU|DEF|NOM//conj//47 i//PP//case//57 uppsatstävlingen//NN|UTR|SIN|DEF|NOM//nmod//55 Jag//PN|UTR|SIN|DEF|SUB//nsubj//59 vet//VB|PRS|AKT//acl:cleft//47 vad//HP|NEU|SIN|IND//obj//62 jag//PN|UTR|SIN|DEF|SUB//nsubj//62 vill//VB|PRS|AKT//ccomp//59  //_SP////62 uppmärksammades//VB|PRT|SFO//obl//62 .//MAD//punct//6

1.4 Sammanträden / Övriga möten;Samrådsmöte//NN|NEU|SIN|IND|NOM//ROOT//0 augusti//NN|UTR|SIN|IND|NOM//obj//0 2008//RG|NOM//nummod//1
1.4 Sammanträden / Övriga möten;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 hade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 23//RG|NOM//nummod//4 augusti//NN|UTR|SIN|IND|NOM//amod//5 möte//NN|NEU|SIN|IND|NOM//obj//1 med//PP//case//9 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//9 romska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 krisitoria//NN|UTR|SIN|IND|NOM//nmod//5 (//PAD//punct//9 rättsskipare//NN|UTR|PLU|IND|NOM//appos//9 ///MID//cc//13 äldremän//NN|UTR|PLU|IND|NOM//conj//11 )//PAD//punct//11  //_SP////14 boende//NN|UTR|PLU|IND|NOM//obj//1 i//PP//case//18 Stockholmsområdet//NN|NEU|SIN|DEF|NOM//nmod//16 .//MAD//punct//1
1.4 Sammanträden / Övriga möten;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//1 var//VB|PRT|AKT//ROOT//1 att//IE//mark//3 utbyta//VB|INF|AKT//ccomp//1 erfarenheter//NN|UTR|PLU|IND|NOM//obj//3 och//KN//cc//6 tankar//NN|UTR|PLU|IND|NOM//conj//4 kring//PP//case//9 romernas//NN|UTR|PLU|DEF|GEN//nmod:poss//9 framtid//NN|UTR|SIN|IND|NOM//obl//3 i//PP//case//11 Sverige//PM|NOM//nmod//9 ,//MID//punct//15 samt//KN//cc//15 att//IE//mark//15 informera//VB|INF|AKT//conj//1 om//PP//case//18 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 uppdrag//NN|NEU|SIN|IND|NOM//obl//15 och//KN//cc//20 aktiviteter//NN|UTR|PLU|IND|NOM//conj//18 .//MAD//punct//1
1.4 Sammanträden / Övriga möten;De//DT|UTR/NEU|PLU|DEF//det//1 inbjudna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advmod//2 ansåg//VB|PRT|AKT//ROOT//2 att//SN//mark//15 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 och//KN//cc//6 ordförandens//NN|UTR|SIN|DEF|GEN//conj//4 arbete//NN|NEU|SIN|IND|NOM//nsubj//15 för//PP//mark//10 att//IE//mark//10 förbättra//VB|INF|AKT//acl//7 romernas//NN|UTR|PLU|DEF|GEN//nmod:poss//12 situation//NN|UTR|SIN|IND|NOM//obj//10 är//VB|PRS|AKT//cop//15 mycket//AB|POS//advmod//15 angeläget//JJ|POS|NEU|SIN|IND|NOM//ccomp//2 och//KN//cc//17 gav//VB|PRT|AKT//conj//15 delegationen//NN|UTR|SIN|DEF|NOM//obj//17 och//KN//cc//20 kansliet//NN|NEU|SIN|DEF|NOM//conj//18 sitt//PS|NEU|SIN|DEF//nmod:poss//23 fulla//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 stöd//NN|NEU|SIN|IND|NOM//obj//17 i//PP//case//27 det//DT|NEU|SIN|DEF//det//27 fortsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//27 arbetet//NN|NEU|SIN|DEF|NOM//obl//17 .//MAD//punct//2
1.4 Sammanträden / Övriga möten;Mötet//NN|NEU|SIN|DEF|NOM//nsubj//1 diskuterade//VB|PRT|AKT//ROOT//1 romers//NN|UTR|PLU|IND|GEN//nmod:poss//3 utbildningssituation//NN|UTR|SIN|IND|NOM//obj//1 ,//MID//punct//7 den//DT|UTR|SIN|DEF//det//7 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 arbetslösheten//NN|UTR|SIN|DEF|NOM//conj//3 och//KN//cc//11 det//DT|NEU|SIN|DEF//det//11 växande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 drog-//NN|NEU|-|-|SMS//conj//3 och//KN//cc//13 alkoholmissbruket//NN|NEU|SIN|DEF|NOM//conj//11 som//HP|-|-|-//mark//16 en//DT|UTR|SIN|IND//det//16 följd//NN|UTR|SIN|IND|NOM//conj//3 av//PP//case//18 utanförskapet//NN|NEU|SIN|DEF|NOM//nmod//16 .//MID//punct//1
1.4 Sammanträden / Övriga möten;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//21 uttalades//VB|PRT|SFO//parataxis//1 en//DT|UTR|SIN|IND//det//25 mycket//AB|POS//advmod//24 stor//JJ|POS|UTR|SIN|IND|NOM//amod//25 oro//NN|UTR|SIN|IND|NOM//nsubj:pass//21 för//PP//case//30 de//DT|UTR/NEU|PLU|DEF//det//29 unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 romernas//NN|UTR|PLU|DEF|GEN//nmod:poss//30 framtid//NN|UTR|SIN|IND|NOM//obl//21 .//MAD//punct//21
1.4 Sammanträden / Övriga möten;Mötet//NN|NEU|SIN|DEF|NOM//nsubj//1 diskuterade//VB|PRT|AKT//ROOT//1 även//AB//advmod//1 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 arbete//NN|NEU|SIN|IND|NOM//obj//1 med//PP//case//6 försoningsprocess//NN|UTR|SIN|IND|NOM//obl//1 och//KN//cc//8 vitbok//NN|UTR|SIN|IND|NOM//conj//6 ,//MID//punct//10 utbildningsfrågor//NN|UTR|PLU|IND|NOM//conj//6 ,//MID//punct//14 det//DT|NEU|SIN|DEF//det//14 romska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 kulturarvet//NN|NEU|SIN|DEF|NOM//parataxis//1 och//KN//cc//16 formerna//NN|UTR|PLU|DEF|NOM//conj//14 för//PP//case//20 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 romsk//JJ|POS|UTR|SIN|IND|NOM//amod//20 representation//NN|UTR|SIN|IND|NOM//nmod//16 .//MAD//punct//1


1.5.1 Nationella minoriteter;De//DT|UTR/NEU|PLU|DEF//nsubj//3 i//PP//case//2 Sverige//PM|NOM//obl//3 erkända//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//csubj//8 fem//RG|NOM//nummod//6 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 minoriteterna//NN|UTR|PLU|DEF|NOM//obj//3 är//VB|PRS|AKT//cop//8 samer//NN|UTR|PLU|IND|NOM//ROOT//8 som//HP|-|-|-//nsubj//13 även//AB//advmod//13 är//VB|PRS|AKT//cop//13 ett//DT|NEU|SIN|IND//det//13 urfolk//NN|NEU|SIN|IND|NOM//acl:relcl//8 ,//MID//punct//15 judar//NN|UTR|PLU|IND|NOM//conj//13 ,//MID//punct//17 romer//NN|UTR|PLU|IND|NOM//conj//13 ,//MID//punct//19 sverigefinnar//NN|UTR|PLU|IND|NOM//conj//13 och//KN//cc//21 tornedalingar//NN|UTR|PLU|IND|NOM//conj//13 .//MAD//punct//8
1.5.1 Nationella minoriteter;De//DT|UTR/NEU|PLU|DEF//det//25 historiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 minoritetsspråken//NN|NEU|PLU|DEF|NOM//nsubj//27 är//VB|PRS|AKT//cop//27 samiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//8 (//PAD//punct//30 alla//DT|UTR/NEU|PLU|IND/DEF//det//30 varieteter//NN|UTR|PLU|IND|NOM//appos//27 )//PAD//punct//30 ,//MID//punct//33 jiddisch//NN|UTR|SIN|IND|NOM//conj//27 ,//MID//punct//33 romani//UO//nmod//36 chib//UO//conj//27 (//PAD//punct//36 alla//DT|UTR/NEU|PLU|IND/DEF//det//39 varieteter//NN|UTR|PLU|IND|NOM//appos//36 )//PAD//punct//36 ,//MID//punct//42 finska//NN|UTR|SIN|IND|NOM//conj//27 och//KN//cc//44 meänkieli//NN|UTR|SIN|IND|NOM//conj//42 (//PAD//punct//27 prop//NN|UTR|SIN|IND|NOM//appos//27 .//MAD//punct//27
1.5.1 Nationella minoriteter;1998/99:143//RG|NOM//conj//27 )//PAD//punct//48 .//MAD//punct//8
1.5.1 Nationella minoriteter;Gemensamt//AB|POS//advmod//2 för//PP//case//2 minoritetsgrupperna//NN|UTR|PLU|DEF|NOM//obl//47 är//VB|PRS|AKT//cop//2 att//SN//mark//7 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//7 har//VB|PRS|AKT//aux//7 befolkat//VB|SUP|AKT//ccomp//3 Sverige//PM|NOM//obj//7 under//PP//case//11 lång//JJ|POS|UTR|SIN|IND|NOM//amod//11 tid//NN|UTR|SIN|IND|NOM//obl//7 och//KN//cc//16 att//SN//mark//16 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//16 är//VB|PRS|AKT//cop//16 grupper//NN|UTR|PLU|IND|NOM//conj//7 med//PP//case//20 en//DT|UTR|SIN|IND//det//20 uttalad//PC|PRF|UTR|SIN|IND|NOM//amod//20 samhörighet//NN|UTR|SIN|IND|NOM//nmod//16 .//MAD//punct//2
1.5.1 Nationella minoriteter;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//23 har//VB|PRS|AKT//aux//47 också//AB//advmod//23 en//DT|UTR|SIN|IND//det//32 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//32 religiös//JJ|POS|UTR|SIN|IND|NOM//amod//32 ,//MID//punct//29 språklig//JJ|POS|UTR|SIN|IND|NOM//conj//27 eller//KN//cc//31 kulturell//JJ|POS|UTR|SIN|IND|NOM//conj//27 tillhörighet//NN|UTR|SIN|IND|NOM//obj//23 tillsammans//AB//advmod//36 med//PP//case//36 en//DT|UTR|SIN|IND//det//36 vilja//NN|UTR|SIN|IND|NOM//obl//23 att//IE//mark//38 behålla//VB|INF|AKT//acl//36 sin//PS|UTR|SIN|DEF//nmod:poss//40 identitet//NN|UTR|SIN|IND|NOM//obj//38 .//MAD//punct//23
1.5.1 Nationella minoriteter;De//DT|UTR/NEU|PLU|DEF//det//44 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 minoriteterna//NN|UTR|PLU|DEF|NOM//nsubj//47 har//VB|PRS|AKT//aux//47 aktivt//AB|POS//advmod//47 värnat//VB|SUP|AKT//ROOT//47 den//DT|UTR|SIN|DEF//det//50 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//50 gruppens//NN|UTR|SIN|DEF|GEN//nmod:poss//51 kultur//NN|UTR|SIN|IND|NOM//obj//47 och//KN//cc//53 språk//NN|NEU|SIN|IND|NOM//conj//51 .//MID//punct//47
1.5.1 Nationella minoriteter;Dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//56 kulturer//NN|UTR|PLU|IND|NOM//nsubj//57 utgör//VB|PRS|AKT//parataxis//47 en//DT|UTR|SIN|IND//det//60 levande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//60 del//NN|UTR|SIN|IND|NOM//obj//57 av//PP//case//64 det//DT|NEU|SIN|DEF//det//64 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 samhället//NN|NEU|SIN|DEF|NOM//nmod//60 och//KN//cc//68 vårt//PS|NEU|SIN|DEF//nmod:poss//68 gemensamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//68 kulturarv//NN|NEU|SIN|IND|NOM//conj//64 .//MAD//punct//47

1.5.2 Romer;Beteckningar//NN|UTR|PLU|IND|NOM//nsubj:pass//13 som//KN//case//2 romer//NN|UTR|PLU|IND|NOM//nmod//0 ,//MID//punct//4 resande//NN|NEU|SIN|IND|NOM//conj//2 ,//MID//punct//6 resandefolket//NN|NEU|SIN|DEF|NOM//conj//2 ,//MID//punct//8 resanderomer//NN|UTR|PLU|IND|NOM//conj//2 ,//MID//punct//10 zigenare//NN|UTR|PLU|IND|NOM//conj//2 och//KN//cc//12 tattare//NN|UTR|PLU|IND|NOM//conj//2 används//VB|PRS|SFO//ROOT//13 i//PP//case//16 detta//DT|NEU|SIN|DEF//det//16 betänkande//NN|NEU|SIN|IND|NOM//obl//13 .//MAD//punct//13
1.5.2 Romer;Under//PP//case//20 historiens//NN|UTR|SIN|DEF|GEN//nmod:poss//20 gång//NN|UTR|SIN|IND|NOM//obl//23 har//VB|PRS|AKT//aux//23 beteckningarna//NN|UTR|PLU|DEF|NOM//nsubj//23 varierat//VB|SUP|AKT//amod//27 och//KN//cc//25 omfattat//VB|SUP|AKT//conj//23 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 grupper//NN|UTR|PLU|IND|NOM//obl//13 .//MAD//punct//27
1.5.2 Romer;Med//PP//case//30 romer//NN|UTR|PLU|IND|NOM//obl//32  //_SP////30 avser//VB|PRS|AKT//conj//13 vi//PN|UTR|PLU|DEF|SUB//nsubj//32 de//DT|UTR/NEU|PLU|DEF//det//35 personer//NN|UTR|PLU|IND|NOM//obj//32 som//HP|-|-|-//nsubj//37 ingår//VB|PRS|AKT//acl:relcl//35 i//PP//case//42 den//DT|UTR|SIN|DEF//det//41 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 minoriteten//NN|UTR|SIN|DEF|NOM//nmod//42 romer//NN|UTR|PLU|IND|NOM//obl//37 och//KN//cc//45 som//HP|-|-|-//nsubj:pass//45 omfattas//VB|PRS|SFO//conj//37 av//PP//case//49 den//DT|UTR|SIN|DEF//det//49 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//49 minoritetspolitiken//NN|UTR|SIN|DEF|NOM//obl:agent//45 .//MAD//punct//13
1.5.2 Romer;Romerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//3 i//PP//case//2 Sverige//PM|NOM//nmod//0 delas//VB|PRS|SFO//ROOT//3 in//PL//compound:prt//3 i//PP//case//7 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 grupper//NN|UTR|PLU|IND|NOM//obl//3 ://MID//punct//7
1.5.2 Romer;Svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 romer//NN|UTR|PLU|IND|NOM//appos//7  //_SP////10 som//HP|-|-|-//nsubj//13 började//VB|PRT|AKT//acl:relcl//10 invandra//VB|INF|AKT//xcomp//13 till//PP//case//16 Sverige//PM|NOM//obl//13 vid//PP//case//18 slutet//NN|NEU|SIN|DEF|NOM//obl//13 av//PP//case//20 1800-talet//NN|NEU|SIN|DEF|NOM//nmod//18 ,//MID//punct//23 finska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 romer//NN|UTR|PLU|IND|NOM//conj//20  //_SP////23 som//HP|-|-|-//nsubj//26 anlände//VB|PRT|AKT//acl:relcl//23 till//PP//case//28 Sverige//PM|NOM//obl//26 redan//AB//advmod//31 på//PP//case//31 1500-talet//NN|NEU|SIN|DEF|NOM//obl//26 och//KN//cc//35 som//HP|-|-|-//nsubj:pass//35 senare//AB|KOM//advmod//35 förpassades//VB|PRT|SFO//conj//26 till//PP//case//39 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 östra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 delarna//NN|UTR|PLU|DEF|NOM//obl//35 av//PP//case//43 det//DT|NEU|SIN|DEF//det//43 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//43 riket//NN|NEU|SIN|DEF|NOM//nmod//39 som//HP|-|-|-//nsubj//47 idag//AB//advmod//47 är//VB|PRS|AKT//cop//47 Finland//PM|NOM//acl:relcl//43 samt//KN//cc//52 de//DT|UTR/NEU|PLU|DEF//det//51 utomnordiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 grupperna//NN|UTR|PLU|DEF|NOM//nmod//52 romer//NN|UTR|PLU|IND|NOM//conj//47  //_SP////52 som//HP|-|-|-//nsubj//55 kom//VB|PRT|AKT//acl:relcl//52 till//PP//case//57 Sverige//PM|NOM//obl//55 från//PP//case//59 Polen//PM|NOM//obl//55 och//KN//cc//62 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//62 länder//NN|NEU|PLU|IND|NOM//conj//59 i//PP//case//65 östra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//65 Europa//PM|NOM//nmod//62 från//PP//case//67 1960-talet//NN|NEU|SIN|DEF|NOM//nmod//62 och//KN//cc//69 framåt//AB//conj//67 .//MID//punct//3
1.5.2 Romer;Ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//72 en//DT|UTR|SIN|IND//det//73 grupp//NN|UTR|SIN|IND|NOM//nsubj:pass//74 utgörs//VB|PRS|SFO//parataxis//3 av//PP//case//77 de//DT|UTR/NEU|PLU|DEF//det//77 nyanlända//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//obl:agent//74 romerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//74  //_SP////78 som//HP|-|-|-//nsubj//81 kommer//VB|PRS|AKT//acl:relcl//78 främst//AB|SUV//advmod//81 från//PP//case//85 forna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//85 Jugoslavien//PM|NOM//obl//81 .//MAD//punct//3
1.5.2 Romer;Härutöver//AB//obl//3 finns//VB|PRS|SFO//advcl//3 även//AB//advmod//88 de//DT|UTR/NEU|PLU|DEF//det//91 resande//NN|UTR|PLU|IND|NOM//nsubj//88 ///MID//cc//93 resandefolket//NN|NEU|SIN|DEF|NOM//conj//91  //_SP////93 som//HP|-|-|-//nsubj//96 invandrade//VB|PRT|AKT//acl:relcl//93 till//PP//case//98 Sverige//PM|NOM//obl//96 på//PP//case//100 1500-talet//NN|NEU|SIN|DEF|NOM//obl//96 (//PAD//punct//100 ibid//NN|UTR|SIN|IND|NOM//appos//100 )//PAD//punct//3 .//MAD//punct//3
1.5.2 Romer;Med//PP//case//1 resande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//3  //_SP////1 avses//VB|PRS|SFO//ROOT//3 ,//MID//punct//6 dels//KN//advmod//6 resande//NN|NEU|SIN|IND|NOM//nsubj//3 som//HP|-|-|-//nsubj//8 definierar//VB|PRS|AKT//acl:relcl//6 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//8 som//KN//case//11 romer//NN|UTR|PLU|IND|NOM//obl//8 ,//MID//punct//6 dels//KN//advmod//14 resande//NN|NEU|SIN|IND|NOM//appos//6 som//HP|-|-|-//nsubj//17 inte//AB//advmod//17 identifierar//VB|PRS|AKT//acl:relcl//14 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//17 med//PP//case//21 minoriteten//NN|UTR|SIN|DEF|NOM//nmod//21 romer//NN|UTR|PLU|IND|NOM//obl//17 .//MAD//punct//6
1.5.2 Romer;Resanderomer//PM|NOM//nsubj//28  //_SP////23 är//VB|PRS|AKT//cop//28 ytterligare//AB|KOM//advmod//28 ett//DT|NEU|SIN|IND//det//28 begrepp//NN|NEU|SIN|IND|NOM//parataxis//3 som//HP|-|-|-//nsubj:pass//31 ibland//AB//advmod//31 används//VB|PRS|SFO//acl:relcl//28 av//PP//case//33 personer//NN|UTR|PLU|IND|NOM//obl:agent//31 inom//PP//case//36 gruppen//NN|UTR|SIN|DEF|NOM//nmod//36 resande//NN|NEU|SIN|IND|NOM//obl//31 som//HP|-|-|-//nsubj//38 räknar//VB|PRS|AKT//acl:relcl//36 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//38 till//PP//case//41 romerna//NN|UTR|PLU|DEF|NOM//obl//38 för//PP//mark//45 att//IE//mark//45 därmed//AB//advmod//45 särskilja//VB|INF|AKT//advcl//38 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//45 från//PP//case//49 de//DT|UTR/NEU|PLU|DEF//det//49 resande//NN|UTR|PLU|IND|NOM//obl//45 som//HP|-|-|-//nsubj//52 inte//AB//advmod//52 räknar//VB|PRS|AKT//acl:relcl//49 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//52 till//PP//case//55 romerna//NN|UTR|PLU|DEF|NOM//obl//52 .//MAD//punct//3
1.5.2 Romer;I//PP//case//3 de//DT|UTR/NEU|PLU|DEF//det//3 historiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 delarna//NN|UTR|PLU|DEF|NOM//obl//6 i//PP//case//5 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//3 använder//VB|PRS|AKT//ROOT//6 vi//PN|UTR|PLU|DEF|SUB//nsubj//6 oss//PN|UTR|PLU|DEF|OBJ//obj//6 av//PP//case//10 begreppen//NN|NEU|PLU|DEF|NOM//nmod//12 ”//PM|NOM//punct//12 zigenare//NN|UTR|PLU|IND|NOM//obl//6 ”//PM|NOM//punct//12 och//KN//cc//16 ”//PAD//punct//16 tattare//NN|UTR|SIN|IND|NOM//conj//12 ”//RG|NOM//punct//6 ,//MID//punct//6 inom//PP//case//20 citattecken//NN|NEU|PLU|IND|NOM//obl//6 då//HA//mark//24 dessa//DT|UTR/NEU|PLU|DEF//det//23 begrepp//NN|NEU|PLU|IND|NOM//nsubj//24 härrör//VB|PRS|AKT//acl:relcl//20 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//24 från//PP//case//29 den//DT|UTR|SIN|DEF//det//28 tidens//NN|UTR|SIN|DEF|GEN//nmod:poss//29 beteckningar//NN|UTR|PLU|IND|NOM//obl//24 .//MAD//punct//6
1.5.2 Romer;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//33 är//VB|PRS|AKT//cop//33 begrepp//NN|NEU|PLU|IND|NOM//parataxis//6 som//HP|-|-|-//nsubj:pass//38 i//PP//advmod//38 första//RO|NOM//fixed//35 hand//NN|UTR|SIN|IND|NOM//fixed//35 använts//VB|SUP|SFO//acl:relcl//33 av//PP//case//40 majoritetssamhället//NN|NEU|SIN|DEF|NOM//obl:agent//38 för//PP//mark//43 att//IE//mark//43 benämna//VB|INF|AKT//advcl//38 grupperna//NN|UTR|PLU|DEF|NOM//obj//43 .//MAD//punct//33
