Till statsrådet Maj-Inger Klingvall ;"Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 18//RG|NOM//nummod//4 december//NN|UTR|SIN|IND|NOM//obl//6 1997//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 statsrådet//NN|NEU|SIN|DEF|NOM//obj//6 Maj-Inger//PM|NOM//nsubj//6 Klingvall//PM|NOM//flat:name//9 att//IE//mark//12 utse//VB|INF|AKT//acl//9 en//DT|UTR|SIN|IND//det//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obj//12 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//12 att//IE//mark//19 lämna//VB|INF|AKT//acl//17 förslag//NN|NEU|SIN|IND|NOM//obj//19 till//PP//case//22 konstruktion//NN|UTR|SIN|IND|NOM//nmod//20 av//PP//case//25 övergångsvis//AB//amod//25 garantipension//NN|UTR|SIN|IND|NOM//nmod//22 för//PP//case//28 de//DT|UTR/NEU|PLU|DEF//det//28 ålderspensionärer//NN|UTR|PLU|IND|NOM//obl//19 som//HP|-|-|-//nsubj:pass//33 inte//AB//advmod//33 kommer//VB|PRS|AKT//aux//33 att//IE//mark//33 omfattas//VB|INF|SFO//acl:relcl//28 av//PP//case//35 regelsystemet//NN|NEU|SIN|DEF|NOM//obl//33 för//PP//case//37 garantipension//NN|UTR|SIN|IND|NOM//nmod//35 inom//PP//case//41 den//DT|UTR|SIN|DEF//det//41 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//41 ålderspensioneringen//NN|UTR|SIN|DEF|NOM//nmod//37 ;//MID//punct//6"
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;15//RG|NOM//nummod//31 §//NN|AN//appos//5
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;För//PP//case//1 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//32 som//HP|-|-|-//nsubj//4 är//VB|PRS|AKT//cop//4 född//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//1 år//NN|NEU|SIN|IND|NOM//nmod//6 1937//RG|NOM//obl//4 eller//KN//cc//8 tidigare//AB|KOM//conj//4 skall//VB|PRS|AKT//aux//32 ,//MID//punct//32 i//PP//case//14 stället//NN|NEU|SIN|DEF|NOM//fixed//11 för//PP//fixed//11 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//32 om//PP//case//16 tillgodoräknande//NN|NEU|SIN|IND|NOM//nmod//14 och//KN//cc//18 fastställande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//16 av//PP//case//20 pensionspoäng//NN|UTR|PLU|IND|NOM//obl//18 i//PP//case//24 4//RG|NOM//nummod//23 kap.//NN|AN//nmod//24 lagen//NN|UTR|SIN|DEF|NOM//nmod//20 (//PAD//punct//26 1998:674//RG|NOM//appos//24 )//PAD//punct//26 om//PP//case//30 inkomstgrundad//PC|PRF|UTR|SIN|IND|NOM//amod//30 ålderspension//NN|UTR|SIN|IND|NOM//nmod//24 ,//MID//punct//32 gälla//VB|INF|AKT//ROOT//32 vad//HP|NEU|SIN|IND//dislocated//35 som//HP|-|-|-//nsubj:pass//35 föreskrivs//VB|PRS|SFO//ccomp//32 om//PP//case//37 tillgodoräknande//NN|NEU|SIN|IND|NOM//obl:agent//35 av//PP//case//40 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//40 pensionspoäng//NN|UTR|SIN|IND|NOM//nmod//37 i//PP//case//43 11//RG|NOM//nummod//43 kap.//NN|AN//nmod//37 6//RG|NOM//nummod//45 §//NN|AN//nmod//46 lagen//NN|UTR|SIN|DEF|NOM//obl//35 (//PAD//punct//48 1962:381//RG|NOM//appos//46 )//PAD//punct//48 om//PP//case//52 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//52 försäkring//NN|UTR|SIN|IND|NOM//nmod//46 i//PP//case//55 paragrafens//NN|UTR|SIN|DEF|GEN//nmod:poss//55 lydelse//NN|UTR|SIN|IND|NOM//nmod//52 före//PP//case//59 den//DT|UTR|SIN|DEF//det//59 1//RO|NOM//nummod//59 januari//NN|UTR|SIN|IND|NOM//obl//35 1999//RG|NOM//nummod//59 .//MAD//punct//32
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;Därvid//AB//advmod//68 skall//VB|PRS|AKT//aux//68 1//RG|NOM//discourse//68 .//MAD//punct//64
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;vad//HP|NEU|SIN|IND//dislocated//68 som//HP|-|-|-//nsubj//68 sägs//VB|PRS|SFO//conj//32 om//PP//mark//73 tilläggspensionsavgift//NN|UTR|SIN|IND|NOM//mark//73 i//PP//advmod//73 stället//NN|NEU|SIN|DEF|NOM//fixed//71 avse//VB|INF|AKT//advcl//68 ålderspensionsavgift//NN|UTR|SIN|IND|NOM//obj//73 och//KN//cc//77 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//77 pensionsavgift//NN|UTR|SIN|IND|NOM//conj//74 ,//MID//punct//68 2//RG|NOM//nummod//68 .//MAD//punct//32
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;vad//HP|NEU|SIN|IND//dislocated//83 som//HP|-|-|-//nsubj//83 sägs//VB|PRS|SFO//ccomp//32 om//PP//case//85 inkomst//NN|UTR|SIN|IND|NOM//obl//83 som//HP|-|-|-//nsubj:pass//87 avses//VB|PRS|SFO//acl:relcl//85 i//PP//case//90 11//RG|NOM//nummod//90 kap.//NN|AN//obl//87 3//RG|NOM//nummod//92 §//NN|AN//nmod//94 första//RO|NOM//amod//94 stycket//NN|NEU|SIN|DEF|NOM//obl//87 d//NN|NEU|SIN|IND|NOM//case//96 lagen//NN|UTR|SIN|DEF|NOM//nmod//94 om//PP//case//99 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//99 försäkring//NN|UTR|SIN|IND|NOM//nmod//96 i//PP//advmod//102 stället//NN|NEU|SIN|DEF|NOM//fixed//100 gälla//VB|INF|AKT//advcl//83 inkomst//NN|UTR|SIN|IND|NOM//obj//102 som//HP|-|-|-//nsubj:pass//105 avses//VB|PRS|SFO//acl:relcl//103 i//PP//case//112 2//RG|NOM//nummod//108 kap.//NN|AN//nmod//110 6//RG|NOM//nummod//110 §//NN|AN//nmod//112 första//RO|NOM//amod//112 stycket//NN|NEU|SIN|DEF|NOM//obl//105 4//RG|NOM//nummod//114 lagen//NN|UTR|SIN|DEF|NOM//obl//83 om//PP//case//117 inkomstgrundad//PC|PRF|UTR|SIN|IND|NOM//amod//117 ålderspension//NN|UTR|SIN|IND|NOM//nmod//114 ,//MID//punct//32 och//KN//cc//120 3//RG|NOM//conj//32 .//MID//punct//32
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;med//PP//case//123 basbelopp//NN|NEU|SIN|IND|NOM//obl//124 avses//VB|PRS|SFO//conj//32 det//DT|NEU|SIN|DEF//det//127 förhöjda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//127 prisbasbeloppet//NN|NEU|SIN|DEF|NOM//nsubj:pass//124 enligt//PP//case//133 1//RG|NOM//nummod//130 kap.//NN|AN//nmod//131 6//RG|NOM//nummod//132 §//NN|AN//nmod//133 lagen//NN|UTR|SIN|DEF|NOM//obl//124 om//PP//case//136 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//136 försäkring//NN|UTR|SIN|IND|NOM//nmod//133 .//MAD//punct//32
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;För//PP//case//1 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//34 som//HP|-|-|-//nsubj:pass//4 har//VB|PRS|AKT//aux//4 beviljats//VB|SUP|SFO//acl:relcl//1 förtidspension//NN|UTR|SIN|IND|NOM//obj//4 för//PP//case//7 tid//NN|UTR|SIN|IND|NOM//obl//4 med//PP//case//9 början//NN|UTR|SIN|DEF|NOM//nmod//7 efter//PP//case//11 utgången//NN|UTR|SIN|DEF|NOM//nmod//9 av//PP//case//14 år//NN|NEU|SIN|IND|NOM//nmod//14 1998//RG|NOM//nmod//11 och//KN//cc//19 som//HP|-|-|-//nsubj//19 inte//AB//advmod//19 har//VB|PRS|AKT//aux//19 uppburit//VB|SUP|AKT//acl:relcl//1 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//21 pension//NN|UTR|SIN|IND|NOM//obj//19 till//PP//case//24 någon//DT|UTR|SIN|IND//det//24 del//NN|UTR|SIN|IND|NOM//obl//19 omedelbart//AB|POS//advmod//19 före//PP//case//27 ingången//NN|UTR|SIN|DEF|NOM//obl//19 av//PP//case//30 år//NN|NEU|SIN|IND|NOM//nmod//30 1999//RG|NOM//nmod//27 skall//VB|PRS|AKT//aux//34 dock//AB//advmod//34 för//PP//case//34 tillgodoräknande//NN|NEU|SIN|IND|NOM//advcl//41 av//PP//case//36 pensionspoäng//NN|UTR|SIN|IND|NOM//nmod//34 med//PP//case//38 anledning//NN|UTR|SIN|IND|NOM//nmod//36 av//PP//case//40 förtidspension//NN|UTR|SIN|IND|NOM//nmod//38 gälla//VB|INF|AKT//ROOT//41 de//DT|UTR/NEU|PLU|DEF//det//44 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 bestämmelserna//NN|UTR|PLU|DEF|NOM//obj//41 i//PP//case//47 4//RG|NOM//nummod//47 kap.//NN|AN//obl//41 9//RG|NOM//nummod//49 §//NN|AN//nmod//50 lagen//NN|UTR|SIN|DEF|NOM//obj//41 om//PP//case//53 inkomstgrundad//PC|PRF|UTR|SIN|IND|NOM//amod//53 ålderspension//NN|UTR|SIN|IND|NOM//nmod//50 .//MAD//punct//41
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;Vidare//AB|KOM//advmod//59 skall//VB|PRS|AKT//aux//59 vad//HP|NEU|SIN|IND//dislocated//59 som//HP|-|-|-//nsubj//59 sägs//VB|PRS|SFO//parataxis//41 i//PP//case//64 11//RG|NOM//nummod//62 kap.//NN|AN//nmod//64 6//RG|NOM//nummod//64 §//NN|AN//obl//59 första//RO|NOM//amod//66 stycket//NN|NEU|SIN|DEF|NOM//nmod//64 lagen//NN|UTR|SIN|DEF|NOM//obl//59 om//PP//case//70 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//70 försäkring//NN|UTR|SIN|IND|NOM//nmod//67 i//PP//case//73 styckets//NN|NEU|SIN|DEF|GEN//nmod:poss//73 lydelse//NN|UTR|SIN|IND|NOM//nmod//70 före//PP//case//77 den//DT|UTR|SIN|DEF//det//77 1//RO|NOM//nummod//77 januari//NN|UTR|SIN|IND|NOM//obl//92 1999//RG|NOM//nummod//77 om//PP//case//80 inkomster//NN|UTR|PLU|IND|NOM//nmod//77 som//HP|-|-|-//nsubj:pass//82 avses//VB|PRS|SFO//acl:relcl//80 i//PP//case//84 punkt//NN|UTR|SIN|IND|NOM//obl//82 2//RG|NOM//nummod//84 i//PP//case//88 första//RO|NOM//amod//88 stycket//NN|NEU|SIN|DEF|NOM//obl//82 i//PP//case//91 denna//DT|UTR|SIN|DEF//det//91 paragraf//NN|UTR|SIN|IND|NOM//nmod//88 tillämpas//VB|PRS|SFO//advcl//59 endast//AB//advmod//92 beträffande//PP//case//95 inkomster//NN|UTR|PLU|IND|NOM//obl//92 som//HP|-|-|-//nsubj:pass//109 ,//MID//punct//99 med//PP//case//99 tillämpning//NN|UTR|SIN|IND|NOM//obl//109 av//PP//case//101 bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//99 i//PP//case//104 13//RG|NOM//nummod//104 §//NN|AN//nmod//101 denna//DT|UTR|SIN|DEF//det//106 lag//NN|UTR|SIN|IND|NOM//nmod//99 ,//MID//punct//109 skall//VB|PRS|AKT//aux//109 anses//VB|INF|SFO//acl:relcl//95 hänförliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//109 till//PP//case//112 tiden//NN|UTR|SIN|DEF|NOM//obl//109 före//PP//case//114 utgången//NN|UTR|SIN|DEF|NOM//obl//109 av//PP//case//117 år//NN|NEU|SIN|IND|NOM//nmod//117 1998//RG|NOM//nmod//114 .//MAD//punct//41
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;Pensionspoäng//NN|UTR|SIN|IND|NOM//nsubj:pass//3 skall//VB|PRS|AKT//aux//3 inte//AB//advmod//3 tillgodoräknas//VB|INF|SFO//ROOT//3 enligt//PP//case//8 första//RO|NOM//amod//8 och//KN//cc//7 andra//RO|NOM//conj//5 styckena//NN|NEU|PLU|DEF|NOM//obl//3 för//PP//case//11 det//DT|NEU|SIN|DEF//det//11 år//NN|NEU|SIN|IND|NOM//obl//3 under//PP//case//13 vilket//HP|NEU|SIN|IND//obl//15 den//DT|UTR|SIN|DEF//nsubj//15 försäkrade//PC|PRF|UTR/NEU|SIN|DEF|NOM//nsubj//17 har//VB|PRS|AKT//aux//17 avlidit//VB|SUP|AKT//conj//3 .//MAD//punct//3
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;För//PP//case//1 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//25 som//HP|-|-|-//nsubj//4 är//VB|PRS|AKT//cop//4 född//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//1 år//NN|NEU|SIN|IND|NOM//nmod//6 1937//RG|NOM//obl//4 eller//KN//cc//8 tidigare//AB|KOM//conj//4 skall//VB|PRS|AKT//aux//25 vid//PP//case//11 beräkningen//NN|UTR|SIN|DEF|NOM//obl//25 av//PP//case//13 tilläggspension//NN|UTR|SIN|IND|NOM//nmod//11 enligt//PP//case//16 6//RG|NOM//nummod//16 kap.//NN|AN//nmod//11 2//RG|NOM//nummod//18 §//NN|AN//nmod//11 2//RG|NOM//nummod//18 lagen//NN|UTR|SIN|DEF|NOM//nmod//11 om//PP//case//23 inkomstgrundad//PC|PRF|UTR|SIN|IND|NOM//amod//23 ålderspension//NN|UTR|SIN|IND|NOM//nmod//20 även//AB//advmod//25 tillämpas//VB|INF|SFO//ROOT//25 5//RG|NOM//nummod//27 kap.//NN|AN//nmod//29 4//RG|NOM//nummod//29 §//NN|AN//nmod//30 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//25 om//PP//case//33 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//33 försäkring//NN|UTR|SIN|IND|NOM//nmod//30 och//KN//cc//35 punkt//NN|UTR|SIN|IND|NOM//conj//33 6//RG|NOM//nummod//35 i//PP//case//38 övergångsbestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//30 till//PP//case//40 lagen//NN|UTR|SIN|DEF|NOM//nmod//30 (//PAD//punct//42 1992:1277//RG|NOM//nmod//30 )//PAD//punct//42 om//PP//case//45 ändring//NN|UTR|SIN|IND|NOM//nmod//30 i//PP//case//48 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//48 lag//NN|NEU|SIN|IND|NOM//nmod//45 i//PP//case//51 bestämmelsernas//NN|UTR|PLU|DEF|GEN//nmod:poss//51 lydelse//NN|UTR|SIN|IND|NOM//nmod//48 före//PP//case//55 den//DT|UTR|SIN|DEF//det//55 1//RO|NOM//nummod//55 januari//NN|UTR|SIN|IND|NOM//nmod//45 2001//RG|NOM//nummod//55 .//MAD//punct//55
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;26//RG|NOM//nummod//59 §//NN|AN//nmod//55
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;Inkomstpension//NN|UTR|SIN|IND|NOM//nsubj:pass//10 enligt//PP//case//2 lagen//NN|UTR|SIN|DEF|NOM//nmod//0 (//PAD//punct//4 1998:674//RG|NOM//appos//0 )//PAD//punct//4 om//PP//case//8 inkomstgrundad//PC|PRF|UTR|SIN|IND|NOM//amod//8 ålderspension//NN|UTR|SIN|IND|NOM//nsubj:pass//10 skall//VB|PRS|AKT//aux//10 betalas//VB|INF|SFO//ROOT//10 ut//PL//compound:prt//10 utan//PP//case//13 ansökan//NN|UTR|SIN|IND|NOM//obl//10 från//PP//case//17 och//KN//fixed//14 med//PP//fixed//14 januari//NN|UTR|SIN|IND|NOM//obl//10 år//NN|NEU|SIN|IND|NOM//nmod//19 2001//RG|NOM//nummod//17 till//PP//case//21 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//10 som//HP|-|-|-//nsubj//28 vid//PP//case//24 utgången//NN|UTR|SIN|DEF|NOM//obl//28 av//PP//case//27 år//NN|NEU|SIN|IND|NOM//nmod//27 2000//RG|NOM//nmod//24 uppbär//VB|PRS|AKT//acl:relcl//21 ålderspension//NN|UTR|SIN|IND|NOM//obj//28 enligt//PP//case//31 lagen//NN|UTR|SIN|DEF|NOM//obl//28 (//PAD//punct//33 1962:381//RG|NOM//nmod//31 )//PAD//punct//33 om//PP//case//37 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//37 försäkring//NN|UTR|SIN|IND|NOM//obl//28 .//MAD//punct//10
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 om//PP//case//2 utbetalning//NN|UTR|SIN|IND|NOM//nmod//0 av//PP//case//4 tilläggspension//NN|UTR|SIN|IND|NOM//nmod//2 till//PP//case//6 annan//JJ|POS|UTR|SIN|IND|NOM//nmod//2 som//HP|-|-|-//nsubj:pass//8 fattats//VB|SUP|SFO//acl:relcl//6 med//PP//case//10 stöd//NN|NEU|SIN|IND|NOM//obl//8 av//PP//case//12 bestämmelsen//NN|UTR|SIN|DEF|NOM//nmod//10 i//PP//case//15 16//RG|NOM//nummod//15 kap.//NN|AN//nmod//12 12//RG|NOM//nummod//17 §//NN|AN//nmod//18 lagen//NN|UTR|SIN|DEF|NOM//nsubj//28 om//PP//case//21 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//21 försäkring//NN|UTR|SIN|IND|NOM//nmod//18 före//PP//case//23 utgången//NN|UTR|SIN|DEF|NOM//nmod//21 av//PP//case//26 år//NN|NEU|SIN|IND|NOM//nmod//26 2000//RG|NOM//nmod//23 skall//VB|PRS|AKT//aux//28 fortsätta//VB|INF|AKT//acl:relcl//0 att//IE//mark//30 tillämpas//VB|INF|SFO//advcl//28 för//PP//case//32 utbetalning//NN|UTR|SIN|IND|NOM//obl//30 av//PP//case//34 tilläggspension//NN|UTR|SIN|IND|NOM//nmod//32 enligt//PP//case//36 lagen//NN|UTR|SIN|DEF|NOM//obl//30 om//PP//case//39 inkomstgrundad//PC|PRF|UTR|SIN|IND|NOM//amod//39 ålderspension//NN|UTR|SIN|IND|NOM//nmod//36 .//MAD//punct//0
3 Förslag till Lag om ändring i lagen (1998:675) om införande av lagen (1998:674) om inkomstgrundad ålderspension;Denna//DT|UTR|SIN|DEF//det//1 lag//NN|UTR|SIN|IND|NOM//nsubj//2 träder//VB|PRS|AKT//ROOT//2 i//PP//compound:prt//2 kraft//NN|UTR|SIN|IND|NOM//fixed//3 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 januari//NN|UTR|SIN|IND|NOM//obl//2 2001//RG|NOM//nummod//7 .//MAD//punct//2

4 Förslag till Lag om ändring i lagen (1998:705) om ändring i lagen (1969:205) om pensionstillskott;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//IE//mark//27 i//PP//advmod//10 fråga//VB|INF|AKT//fixed//3 lagen//NN|UTR|SIN|DEF|NOM//fixed//3 (//PAD//punct//7 1969:205//RG|NOM//fixed//3 )//PAD//punct//7 om//PP//case//10 pensionstillskott//NN|NEU|SIN|IND|NOM//obl//27 att//SN//mark//27 punkten//NN|UTR|SIN|DEF|NOM//nsubj//27 2//RG|NOM//nmod//12 i//PP//case//15 övergångsbestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//12 till//PP//case//17 lagen//NN|UTR|SIN|DEF|NOM//nmod//15 (//PAD//punct//19 1998:705//RG|NOM//nmod//12 )//PAD//punct//19 om//PP//case//22 ändring//NN|UTR|SIN|IND|NOM//nsubj//27 i//PP//case//25 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//25 lag//NN|NEU|SIN|IND|NOM//nmod//22 skall//VB|PRS|AKT//aux//27 ha//VB|INF|AKT//dep//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//29 lydelse//NN|UTR|SIN|IND|NOM//obj//27 .//MAD//punct//1

5 Förslag till Lag om ändring i kommunalskattelagen (1928:370);Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 att//SN//mark//20 punkten//NN|UTR|SIN|DEF|NOM//nsubj//20 2//RG|NOM//nmod//3 i//PP//case//6 övergångsbestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//3 till//PP//case//8 lagen//NN|UTR|SIN|DEF|NOM//nmod//6 (//PAD//punct//10 1998:682//RG|NOM//conj//8 )//PAD//punct//10 om//PP//case//13 ändring//NN|UTR|SIN|IND|NOM//nmod//3 i//PP//case//15 kommunalskattelagen//NN|UTR|SIN|DEF|NOM//nmod//13 (//PAD//punct//17 1928:370//RG|NOM//conj//13 )//PAD//punct//3 skall//VB|PRS|AKT//aux//20 upphöra//VB|INF|AKT//ccomp//1 att//IE//mark//22 gälla//VB|INF|AKT//xcomp//20 .//MAD//punct//1
5 Förslag till Lag om ändring i kommunalskattelagen (1928:370);Äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 fortsätta//VB|INF|AKT//ROOT//3 att//IE//mark//5 gälla//VB|INF|AKT//advcl//3 för//PP//case//7 personer//NN|UTR|PLU|IND|NOM//obl//5 som//HP|-|-|-//nsubj//10 är//VB|PRS|AKT//cop//10 födda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//7 år//NN|NEU|SIN|IND|NOM//nmod//12 1937//RG|NOM//obl//10 eller//KN//cc//14 tidigare//AB|KOM//conj//12 .//MAD//punct//3
5 Förslag till Lag om ändring i kommunalskattelagen (1928:370);Denna//DT|UTR|SIN|DEF//det//1 lag//NN|UTR|SIN|IND|NOM//nsubj//2 träder//VB|PRS|AKT//ROOT//2 i//PP//compound:prt//2 kraft//NN|UTR|SIN|IND|NOM//fixed//3 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 januari//NN|UTR|SIN|IND|NOM//obl//2 2001//RG|NOM//nummod//7 och//KN//cc//10 tillämpas//VB|PRS|SFO//conj//2 första//RO|NOM//amod//12 gången//NN|UTR|SIN|DEF|NOM//obl//10 vid//PP//case//16 2002//RG|NOM//nummod//15 års//NN|NEU|SIN|IND|GEN//nmod:poss//16 taxering//NN|UTR|SIN|IND|NOM//obl//10 .//MAD//punct//2

6 Förslag till Lag om ändring i lagen (1998:707) om ändring i lagen (1990:773) om särskilt pensionstillägg till ålderspension för långvarig vård av sjukt eller handikappat barn;Härigenom//AB//nsubj:pass//1 föreskrivs//VB|PRS|SFO//ROOT//1 i//PP//advmod//1 fråga//NN|UTR|SIN|IND|NOM//fixed//2 om//PP//fixed//2 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 (//PAD//punct//7 1998:707//RG|NOM//conj//5 )//PAD//punct//7 om//PP//case//10 ändring//NN|UTR|SIN|IND|NOM//obl//1 i//PP//case//13 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//13 lag//NN|UTR|SIN|IND|NOM//nmod//10 att//SN//mark//21 5//RG|NOM//nummod//18 och//KN//cc//15 6//RG|NOM//nummod//15 §//NN|AN//nmod//19 §//NN|AN//nsubj//21 skall//VB|PRS|AKT//aux//21 ha//VB|INF|AKT//acl//13 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 lydelse//NN|UTR|SIN|IND|NOM//obj//21 .//MAD//punct//10
6 Förslag till Lag om ändring i lagen (1998:707) om ändring i lagen (1990:773) om särskilt pensionstillägg till ålderspension för långvarig vård av sjukt eller handikappat barn;5//RG|NOM//nummod//26 §//NN|AN//appos//10
6 Förslag till Lag om ändring i lagen (1998:707) om ändring i lagen (1990:773) om särskilt pensionstillägg till ålderspension för långvarig vård av sjukt eller handikappat barn;För//PP//case//1 sex//RG|NOM//nummod//3 tillgodoräknade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//3 vårdår//NN|NEU|PLU|IND|NOM//ROOT//3 är//VB|PRS|AKT//cop//7 det//DT|NEU|SIN|DEF//det//7 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//7 pensionstillägget//NN|NEU|SIN|DEF|NOM//nsubj//3 per//PP//case//9 kalenderår//NN|NEU|SIN|IND|NOM//nmod//7 fem//RG|NOM//nummod//11 procent//NN|UTR|PLU|IND|NOM//nmod//7 av//PP//case//13 prisbasbeloppet//NN|NEU|SIN|DEF|NOM//nmod//11 enligt//PP//case//16 1//RG|NOM//nummod//16 kap.//NN|AN//nmod//13 6//RG|NOM//nummod//18 §//NN|AN//nmod//19 lagen//NN|UTR|SIN|DEF|NOM//nmod//11 (//PAD//punct//21 1962:381//RG|NOM//appos//19 )//PAD//punct//21 om//PP//case//25 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//25 försäkring//NN|UTR|SIN|IND|NOM//conj//19 .//MAD//punct//7
6 Förslag till Lag om ändring i lagen (1998:707) om ändring i lagen (1990:773) om särskilt pensionstillägg till ålderspension för långvarig vård av sjukt eller handikappat barn;För//PP//case//29 varje//DT|UTR/NEU|SIN|IND//det//29 vårdår//NN|NEU|SIN|IND|NOM//obl//33 som//HP|-|-|-//nsubj:pass//31 tillgodoräknas//VB|PRS|SFO//acl:relcl//29 därutöver//AB//advmod//31 ökar//VB|PRS|AKT//csubj//3 tillägget//NN|NEU|SIN|DEF|NOM//obj//33 med//PP//case//37 fem//RG|NOM//nummod//37 procent//NN|UTR|PLU|IND|NOM//obl//33 av//PP//case//39 prisbasbeloppet//NN|NEU|SIN|DEF|NOM//nmod//37 .//MAD//punct//3
